년도,월,나이,홍천군,홍천읍,화촌면,두촌면,내촌면,서석면,동면,남면,서면,북방면,내면,영귀미면
2020,3,20,"3,824","2,255",219,89,68,172,141,460,151,165,104,
2020,3,30,"3,389","2,105",198,48,60,108,118,322,163,157,110,
2020,3,40,"4,536","2,739",243,101,128,195,206,320,213,218,173,
2020,3,50,"6,779","3,096",469,242,252,427,425,557,405,464,442,
2020,3,60,"6,816","2,397",621,339,347,483,531,620,547,502,429,
2020,3,70,"3,442","1,087",348,183,201,243,315,324,273,255,213,
2020,3,80,"1,469",462,132,99,77,106,121,161,103,122,86,
2020,3,90,168,49,23,11,7,14,11,16,17,9,11,
2020,3,100,8,1,3,0,0,0,1,0,0,2,1,
2020,4,총,"35,194","17,476","2,398","1,176","1,239","1,929","2,022","3,170","1,991","2,067","1,726",
2020,4,0,"1,960","1,373",57,21,31,74,45,189,44,61,65,
2020,4,10,"2,733","1,884",88,42,67,108,95,181,75,105,88,
2020,4,20,"3,868","2,280",215,89,69,176,143,473,151,166,106,
2020,4,30,"3,394","2,109",195,49,61,107,116,328,163,156,110,
2020,4,40,"4,489","2,707",246,96,126,192,210,319,212,215,166,
2020,4,50,"6,784","3,101",459,244,253,424,427,553,405,469,449,
2020,4,60,"6,854","2,423",629,338,344,480,538,622,547,504,429,
2020,4,70,"3,453","1,090",349,186,204,247,315,326,268,253,215,
2020,4,80,"1,483",460,134,100,77,108,121,163,108,126,86,
2020,4,90,168,48,23,11,7,13,11,16,18,10,11,
2020,4,100,8,1,3,0,0,0,1,0,0,2,1,
2020,5,총,"35,290","17,514","2,409","1,207","1,249","1,929","2,027","3,173","1,995","2,061","1,726",
2020,5,0,"1,949","1,359",59,23,31,71,46,190,45,63,62,
2020,5,10,"2,754","1,887",87,66,66,107,95,183,75,102,86,
2020,5,20,"3,887","2,294",224,88,69,174,145,471,151,165,106,
2020,5,30,"3,392","2,116",193,49,62,107,113,325,159,158,110,
2020,5,40,"4,501","2,716",245,95,127,193,210,321,217,210,167,
2020,5,50,"6,807","3,120",462,246,254,425,426,554,399,472,449,
2020,5,60,"6,871","2,424",622,338,352,482,542,621,554,503,433,
2020,5,70,"3,461","1,087",358,191,204,246,312,328,269,252,214,
2020,5,80,"1,488",460,132,100,77,110,126,164,107,124,88,
2020,5,90,171,50,24,11,7,13,11,16,19,10,10,
2020,5,100,9,1,3,0,0,1,1,0,0,2,1,
2020,6,총,"35,452","17,534","2,393","1,213","1,248","1,927","2,033","3,315","1,985","2,075","1,729",
2020,6,0,"1,951","1,356",58,23,31,72,47,192,47,62,63,
2020,6,10,"2,746","1,874",88,66,64,106,97,187,72,108,84,
2020,6,20,"4,047","2,338",213,86,68,173,154,585,147,174,109,
2020,6,30,"3,385","2,108",189,52,62,105,112,334,156,156,111,
2020,6,40,"4,501","2,703",246,97,126,190,210,327,218,215,169,
2020,6,50,"6,790","3,125",455,245,258,424,421,556,395,468,443,
2020,6,60,"6,899","2,424",628,341,353,484,547,623,558,504,437,
2020,6,70,"3,462","1,091",355,192,202,248,309,333,266,251,215,
2020,6,80,"1,490",463,135,100,76,112,124,161,107,125,87,
2020,6,90,172,51,23,11,8,12,11,17,19,10,10,
2020,6,100,9,1,3,0,0,1,1,0,0,2,1,
2020,7,총,"35,669","17,643","2,444","1,212","1,260","1,920","2,032","3,372","1,990","2,072","1,724",
2020,7,0,"1,944","1,354",59,23,31,71,47,191,47,59,62,
2020,7,10,"2,745","1,872",89,66,67,108,95,185,72,108,83,
2020,7,20,"4,235","2,429",263,86,67,168,156,637,147,172,110,
2020,7,30,"3,375","2,100",192,51,63,105,112,338,159,147,108,
2020,7,40,"4,493","2,714",243,94,127,185,208,326,211,217,168,
2020,7,50,"6,808","3,133",456,243,260,427,423,553,397,470,446,
2020,7,60,"6,919","2,430",626,344,360,484,544,628,559,509,435,
2020,7,70,"3,463","1,093",354,192,201,247,304,336,271,250,215,
2020,7,80,"1,507",466,137,102,75,113,130,161,107,129,87,
2020,7,90,171,51,22,11,9,11,12,17,20,9,9,
2020,7,100,9,1,3,0,0,1,1,0,0,2,1,
2020,8,총,"35,613","17,605","2,451","1,212","1,255","1,907","2,033","3,370","1,996","2,067","1,717",
2020,8,0,"1,939","1,345",61,25,33,71,46,191,47,59,61,
2020,8,10,"2,719","1,867",89,64,65,105,93,180,71,107,78,
2020,8,20,"4,207","2,409",263,87,64,167,155,634,143,171,114,
2020,8,30,"3,372","2,089",191,52,63,104,114,349,162,142,106,
2020,8,40,"4,472","2,704",243,91,128,180,207,323,212,215,169,
2020,8,50,"6,799","3,140",456,243,255,425,422,550,393,473,442,
2020,8,60,"6,955","2,443",631,347,361,485,547,631,568,509,433,
2020,8,70,"3,453","1,088",352,192,201,245,307,334,267,250,217,
2020,8,80,"1,518",470,139,99,76,113,130,161,113,130,87,
2020,8,90,170,49,23,12,9,11,11,17,20,9,9,
2020,8,100,9,1,3,0,0,1,1,0,0,2,1,
2020,9,총,"35,605","17,598","2,462","1,213","1,257","1,905","2,038","3,370","1,986","2,061","1,715",
2020,9,0,"1,926","1,332",59,27,33,68,47,192,48,59,61,
2020,9,10,"2,717","1,874",92,65,63,103,92,178,68,105,77,
2020,9,20,"4,189","2,400",262,84,65,168,152,629,142,172,115,
2020,9,30,"3,361","2,083",190,53,64,102,118,345,159,141,106,
2020,9,40,"4,454","2,690",245,90,125,179,210,321,215,212,167,
2020,9,50,"6,808","3,152",460,244,257,426,415,555,389,469,441,
2020,9,60,"7,006","2,462",637,348,362,491,555,639,565,514,433,
2020,9,70,"3,449","1,090",354,190,201,242,306,332,266,249,219,
2020,9,80,"1,516",460,139,100,78,115,132,163,114,129,86,
2020,9,90,172,54,23,12,9,10,10,16,20,9,9,
2020,9,100,7,1,1,0,0,1,1,0,0,2,1,
2020,10,총,"35,608","17,610","2,466","1,228","1,249","1,908","2,032","3,370","1,981","2,049","1,715",
2020,10,0,"1,900","1,314",59,27,32,68,46,186,48,58,62,
2020,10,10,"2,727","1,884",93,76,59,101,87,180,68,104,75,
2020,10,20,"4,174","2,402",258,87,67,173,148,621,136,166,116,
2020,10,30,"3,360","2,077",191,53,60,102,121,349,160,140,107,
2020,10,40,"4,452","2,684",243,91,126,179,208,327,218,211,165,
2020,10,50,"6,785","3,155",464,240,254,419,412,552,383,465,441,
2020,10,60,"7,055","2,477",641,354,363,499,559,646,566,516,434,
2020,10,70,"3,439","1,089",354,189,199,242,302,332,264,249,219,
2020,10,80,"1,534",471,138,99,80,113,137,162,118,130,86,
2020,10,90,174,56,24,11,9,11,11,15,20,8,9,
2020,10,100,8,1,1,1,0,1,1,0,0,2,1,
2020,11,총,"35,637","17,639","2,466","1,215","1,251","1,897","2,043","3,376","1,995","2,039","1,716",
2020,11,0,"1,909","1,316",60,27,32,67,48,190,50,57,62,
2020,11,10,"2,695","1,861",92,73,55,101,90,176,67,103,77,
2020,11,20,"4,186","2,420",260,86,69,168,147,619,135,164,118,
2020,11,30,"3,356","2,070",191,53,61,98,122,355,167,136,103,
2020,11,40,"4,445","2,688",242,85,130,175,204,324,220,214,163,
2020,11,50,"6,760","3,157",450,245,252,416,411,550,385,454,440,
2020,11,60,"7,121","2,501",648,352,363,506,569,652,568,526,436,
2020,11,70,"3,431","1,084",358,186,197,242,305,331,262,245,221,
2020,11,80,"1,551",485,140,94,83,113,135,164,120,130,87,
2020,11,90,175,56,24,13,9,10,11,15,21,8,8,
2020,11,100,8,1,1,1,0,1,1,0,0,2,1,
2020,12,총,"35,663","17,663","2,454","1,208","1,252","1,907","2,049","3,362","2,019","2,039","1,710",
2020,12,0,"1,911","1,318",59,28,31,67,50,190,51,54,63,
2020,12,10,"2,673","1,856",89,66,53,102,92,171,68,102,74,
2020,12,20,"4,185","2,423",258,86,73,169,144,608,139,162,123,
2020,12,30,"3,367","2,077",188,56,61,102,124,356,166,135,102,
2020,12,40,"4,457","2,699",243,86,129,173,204,322,226,212,163,
2020,12,50,"6,711","3,130",444,243,252,414,410,544,387,458,429,
2020,12,60,"7,181","2,523",653,352,365,512,569,656,581,529,441,
2020,12,70,"3,441","1,096",356,185,196,245,308,331,260,247,217,
2020,12,80,"1,559",484,141,92,83,113,136,169,122,130,89,
2020,12,90,171,56,23,13,9,9,11,15,19,8,8,
2020,12,100,7,1,0,1,0,1,1,0,0,2,1,
2021,1,총,"35,625","17,643","2,465","1,208","1,249","1,903","2,059","3,335","2,019","2,042","1,702",
2021,1,0,"1,898","1,314",60,28,31,65,49,184,50,54,63,
2021,1,10,"2,648","1,849",91,55,46,100,98,166,70,102,71,
2021,1,20,"4,171","2,417",256,90,70,169,139,610,137,161,122,
2021,1,30,"3,327","2,057",188,57,61,103,123,342,160,136,100,
2021,1,40,"4,444","2,689",245,89,128,170,210,320,221,211,161,
2021,1,50,"6,672","3,129",440,244,252,414,404,530,387,450,422,
2021,1,60,"7,264","2,541",662,355,372,516,577,667,589,536,449,
2021,1,70,"3,449","1,098",355,184,194,246,310,334,262,250,216,
2021,1,80,"1,576",492,145,93,86,110,137,168,124,132,89,
2021,1,90,169,56,23,12,9,9,11,14,19,8,8,
2021,1,100,7,1,0,1,0,1,1,0,0,2,1,
2021,2,총,"35,564","17,579","2,466","1,215","1,244","1,904","2,061","3,346","2,006","2,047","1,696",
2021,2,0,"1,894","1,288",62,29,32,72,47,192,51,54,67,
2021,2,10,"2,623","1,836",92,56,44,100,94,165,66,101,69,
2021,2,20,"4,152","2,403",257,90,68,169,143,610,135,160,117,
2021,2,30,"3,323","2,061",181,59,59,101,124,349,156,132,101,
2021,2,40,"4,400","2,661",246,91,125,165,208,315,216,215,158,
2021,2,50,"6,633","3,116",434,242,250,410,406,528,382,449,416,
2021,2,60,"7,336","2,568",672,354,376,519,582,675,593,542,455,
2021,2,70,"3,439","1,088",358,185,196,247,309,326,263,252,215,
2021,2,80,"1,589",500,142,96,85,111,136,172,125,133,89,
2021,2,90,167,57,22,12,9,9,11,14,19,6,8,
2021,2,100,8,1,0,1,0,1,1,0,0,3,1,
2021,3,총,"35,381","17,450","2,445","1,202","1,239","1,898","2,072","3,329","2,003","2,045","1,698",
2021,3,0,"1,874","1,269",61,28,32,72,49,191,51,53,68,
2021,3,10,"2,613","1,815",90,56,39,94,116,166,64,105,68,
2021,3,20,"4,104","2,367",256,88,70,174,139,603,138,154,115,
2021,3,30,"3,279","2,047",167,56,57,100,123,343,150,134,102,
2021,3,40,"4,353","2,638",249,91,123,161,204,303,213,219,152,
2021,3,50,"6,573","3,096",430,233,249,403,399,527,376,440,420,
2021,3,60,"7,411","2,574",675,362,380,532,585,686,603,553,461,
2021,3,70,"3,428","1,086",357,184,193,243,312,324,266,250,213,
2021,3,80,"1,585",504,140,93,86,108,135,172,125,132,90,
2021,3,90,157,53,20,11,10,10,9,14,17,5,8,
2021,3,100,4,1,0,0,0,1,1,0,0,0,1,
2021,4,총,"35,370","17,408","2,453","1,207","1,244","1,901","2,068","3,339","2,001","2,054","1,695",
2021,4,0,"1,886","1,275",63,28,32,71,48,193,52,56,68,
2021,4,10,"2,597","1,802",88,57,38,95,114,167,63,105,68,
2021,4,20,"4,084","2,354",251,86,70,175,140,603,134,153,118,
2021,4,30,"3,248","2,020",168,59,55,101,126,338,149,135,97,
2021,4,40,"4,346","2,632",253,94,122,159,201,307,213,217,148,
2021,4,50,"6,545","3,080",431,227,249,402,394,530,370,438,424,
2021,4,60,"7,474","2,596",679,366,386,536,588,691,609,561,462,
2021,4,70,"3,432","1,092",359,183,193,240,312,324,268,250,211,
2021,4,80,"1,596",504,141,97,89,111,135,171,124,133,91,
2021,4,90,158,52,20,10,10,10,9,15,19,6,7,
2021,4,100,4,1,0,0,0,1,1,0,0,0,1,
2021,5,총,"35,339","17,407","2,438","1,218","1,235","1,911","2,068","3,332","1,995","2,046","1,689",
2021,5,0,"1,889","1,279",63,28,32,68,50,192,52,55,70,
2021,5,10,"2,573","1,789",84,57,35,97,113,167,59,106,66,
2021,5,20,"4,065","2,342",251,88,70,176,140,596,132,151,119,
2021,5,30,"3,222","2,011",167,57,55,104,127,325,150,133,93,
2021,5,40,"4,326","2,623",254,92,120,155,197,314,210,216,145,
2021,5,50,"6,524","3,079",420,235,244,404,394,527,372,434,415,
2021,5,60,"7,545","2,627",681,372,388,541,592,701,608,562,473,
2021,5,70,"3,431","1,094",359,183,194,243,308,322,268,251,209,
2021,5,80,"1,608",511,140,97,87,113,136,174,126,133,91,
2021,5,90,152,51,19,9,10,9,10,14,18,5,7,
2021,5,100,4,1,0,0,0,1,1,0,0,0,1,
2021,6,총,"35,342","17,396","2,433","1,223","1,229","1,906",0,"3,324","2,002","2,057","1,691","2,081"
2021,6,0,"1,878","1,273",61,29,31,65,0,189,52,58,70,50
2021,6,10,"2,574","1,781",86,58,35,96,0,165,65,106,67,115
2021,6,20,"4,033","2,324",248,87,69,176,0,590,128,154,118,139
2021,6,30,"3,208","2,002",166,58,52,100,0,332,150,129,93,126
2021,6,40,"4,322","2,633",249,91,121,158,0,305,208,216,147,194
2021,6,50,"6,486","3,062",422,232,240,401,0,516,376,433,403,401
2021,6,60,"7,638","2,664",680,381,392,545,0,716,611,568,485,596
2021,6,70,"3,420","1,086",360,179,188,240,0,322,271,255,207,312
2021,6,80,"1,624",518,141,98,91,116,0,175,123,133,92,137
2021,6,90,155,52,20,10,10,8,0,14,18,5,8,10
2021,6,100,4,1,0,0,0,1,0,0,0,0,1,1
2021,7,총,"35,305","17,375","2,428","1,227","1,235","1,900",,"3,316","2,007","2,037","1,690","2,090"
2021,7,0,"1,862","1,275",56,29,29,66,,188,50,51,69,49
2021,7,10,"2,561","1,768",88,58,36,95,,163,65,103,68,117
2021,7,20,"3,985","2,298",246,85,70,174,,578,133,147,115,139
2021,7,30,"3,213","2,001",167,56,51,101,,335,153,128,94,127
2021,7,40,"4,312","2,634",245,94,121,159,,302,205,213,146,193
2021,7,50,"6,468","3,056",419,230,239,396,,515,377,431,402,403
2021,7,60,"7,688","2,677",685,387,397,546,,721,614,572,489,600
2021,7,70,"3,432","1,088",361,179,190,239,,325,270,257,208,315
2021,7,80,"1,627",526,142,99,92,115,,174,122,131,91,135
2021,7,90,153,51,19,10,10,8,,15,18,4,7,11
2021,7,100,4,1,0,0,0,1,,0,0,0,1,1
2021,8,총,"35,273","17,348","2,431","1,223","1,230","1,902",,"3,311","2,003","2,040","1,685","2,100"
2021,8,0,"1,853","1,263",59,29,28,67,,188,49,52,68,50
2021,8,10,"2,542","1,760",88,55,36,94,,162,64,100,69,114
2021,8,20,"3,941","2,280",237,85,68,171,,570,136,146,115,133
2021,8,30,"3,205","1,992",165,53,50,101,,339,152,130,92,131
2021,8,40,"4,315","2,630",245,96,116,160,,303,202,215,147,201
2021,8,50,"6,456","3,059",422,223,240,395,,517,376,430,395,399
2021,8,60,"7,737","2,700",688,395,398,548,,720,615,573,492,608
2021,8,70,"3,423","1,086",359,179,189,241,,320,269,258,206,316
2021,8,80,"1,643",527,148,98,95,115,,177,123,131,93,136
2021,8,90,154,50,20,10,10,9,,15,17,5,7,11
2021,8,100,4,1,0,0,0,1,,0,0,0,1,1
2021,9,총,"35,256","17,314","2,422","1,216","1,242","1,905",,"3,311","2,002","2,053","1,684","2,107"
2021,9,0,"1,846","1,255",60,28,28,67,,186,50,54,68,50
2021,9,10,"2,527","1,749",89,56,43,93,,163,61,95,67,111
2021,9,20,"3,934","2,279",235,83,69,166,,565,136,156,114,131
2021,9,30,"3,179","1,981",160,52,51,99,,336,147,130,94,129
2021,9,40,"4,295","2,623",240,95,114,160,,306,200,213,146,198
2021,9,50,"6,459","3,053",417,221,242,400,,513,375,434,394,410
2021,9,60,"7,781","2,710",694,396,400,550,,728,623,574,493,613
2021,9,70,"3,418","1,085",361,176,187,243,,322,263,260,207,314
2021,9,80,"1,656",527,145,98,98,117,,178,130,132,93,138
2021,9,90,158,51,21,11,10,10,,14,17,5,7,12
2021,9,100,3,1,0,0,0,0,,0,0,0,1,1
2021,10,총,"35,274","17,307","2,422","1,221","1,246","1,912",,"3,322","1,985","2,059","1,690","2,110"
2021,10,0,"1,842","1,249",62,28,28,67,,188,48,54,66,52
2021,10,10,"2,528","1,755",86,55,43,93,,163,60,95,67,111
2021,10,20,"3,933","2,284",235,81,72,168,,563,132,154,114,130
2021,10,30,"3,149","1,959",158,51,50,99,,333,144,134,91,130
2021,10,40,"4,299","2,615",244,93,113,159,,312,199,216,149,199
2021,10,50,"6,464","3,063",416,222,240,399,,511,377,432,396,408
2021,10,60,"7,818","2,716",692,402,407,553,,738,623,574,497,616
2021,10,70,"3,412","1,083",361,178,185,245,,322,254,264,205,315
2021,10,80,"1,673",534,147,100,98,118,,179,132,131,97,137
2021,10,90,153,48,21,11,10,11,,13,16,5,7,11
2021,10,100,3,1,0,0,0,0,,0,0,0,1,1
2021,11,총,"35,246","17,305","2,420","1,219","1,250","1,917",,"3,301","1,973","2,066","1,678","2,117"
2021,11,0,"1,831","1,245",62,27,27,71,,184,45,53,64,53
2021,11,10,"2,511","1,757",83,51,43,90,,160,57,96,68,106
2021,11,20,"3,941","2,297",245,81,72,170,,546,137,153,111,129
2021,11,30,"3,127","1,954",156,51,51,99,,330,135,134,87,130
2021,11,40,"4,277","2,595",242,91,110,159,,309,204,215,147,205
2021,11,50,"6,460","3,062",411,222,241,400,,509,371,436,398,410
2021,11,60,"7,858","2,727",697,406,415,554,,746,622,578,493,620
2021,11,70,"3,399","1,081",352,178,183,245,,325,253,264,204,314
2021,11,80,"1,683",538,151,101,97,117,,179,133,132,98,137
2021,11,90,156,48,21,11,11,12,,13,16,5,7,12
2021,11,100,3,1,0,0,0,0,,0,0,0,1,1
2021,12,총,"35,184","17,266","2,414","1,212","1,244","1,906",,"3,312","1,976","2,067","1,673","2,114"
2021,12,0,"1,811","1,233",54,26,27,71,,183,46,56,62,53
2021,12,10,"2,503","1,751",86,47,41,90,,160,58,97,70,103
2021,12,20,"3,938","2,296",245,80,68,163,,558,136,156,105,131
2021,12,30,"3,114","1,940",154,51,52,102,,335,135,132,85,128
2021,12,40,"4,261","2,586",234,91,111,157,,304,204,217,150,207
2021,12,50,"6,436","3,059",416,222,239,398,,505,363,433,392,409
2021,12,60,"7,881","2,736",697,405,418,553,,746,631,577,500,618
2021,12,70,"3,401","1,075",354,177,180,244,,330,257,265,205,314
2021,12,80,"1,676",537,154,102,97,116,,177,130,129,96,138
2021,12,90,161,53,20,11,11,12,,14,16,5,7,12
2021,12,100,2,0,0,0,0,0,,0,0,0,1,1
