년도,월,나이,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 압량면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020,11,70,"10,794","1,217","1,317",664,410,457,314,292,,257,412,390,862,"1,473","1,075",437,"1,217"
2020,11,80,"6,047",681,770,413,290,299,242,268,,171,210,234,373,726,464,255,651
2020,11,90,845,79,76,56,42,44,43,51,,36,27,27,62,104,61,38,99
2020,11,100,55,10,7,4,3,3,2,3,,0,2,3,7,5,2,1,3
2020,12,총,"130,923","12,750","17,405","9,799","2,768","2,737","1,583","1,809",,"1,484","5,152","3,333","10,212","19,135","15,955","7,419","19,382"
2020,12,0,"10,035",778,"1,168","1,103",79,73,38,60,,45,303,106,999,"1,453","1,717",510,"1,603"
2020,12,10,"10,922","1,312","1,764",557,133,114,53,73,,48,290,178,911,"2,043","1,151",355,"1,940"
2020,12,20,"16,315","1,660","2,321","1,417",198,202,69,105,,102,751,460,965,"2,174","1,836","1,661","2,394"
2020,12,30,"15,393","1,155","1,727","1,793",217,152,76,83,,85,564,294,"1,325","2,055","2,367","1,109","2,391"
2020,12,40,"20,253","2,086","3,077","1,273",237,233,95,161,,116,674,397,"1,772","3,299","2,435",945,"3,453"
2020,12,50,"22,363","2,069","3,222","1,376",510,535,267,320,,273,"1,021",648,"1,542","3,280","2,818","1,172","3,310"
2020,12,60,"17,856","1,702","1,958","1,138",653,618,381,393,,350,898,592,"1,386","2,522","2,012",935,"2,318"
2020,12,70,"10,796","1,220","1,314",660,404,460,321,293,,256,412,394,865,"1,467","1,085",435,"1,210"
2020,12,80,"6,086",682,770,424,291,303,239,265,,173,210,233,376,730,473,258,659
2020,12,90,850,76,77,54,43,44,43,53,,36,27,28,64,107,59,38,101
2020,12,100,54,10,7,4,3,3,1,3,,0,2,3,7,5,2,1,3
2021,1,총,"131,164","12,728","17,395","9,790","2,756","2,731","1,581","1,804",,"1,481","5,139","3,324","10,197","19,055","16,383","7,384","19,416"
2021,1,0,"9,956",768,"1,152","1,092",77,69,38,57,,48,298,100,989,"1,438","1,749",495,"1,586"
2021,1,10,"10,931","1,306","1,761",551,130,114,54,72,,47,287,175,905,"2,030","1,204",355,"1,940"
2021,1,20,"16,337","1,661","2,300","1,416",196,204,66,107,,100,742,465,970,"2,170","1,887","1,649","2,404"
2021,1,30,"15,351","1,141","1,727","1,777",208,152,73,83,,82,568,289,"1,307","2,026","2,428","1,103","2,387"
2021,1,40,"20,246","2,081","3,068","1,274",241,235,96,158,,117,668,399,"1,778","3,250","2,507",927,"3,447"
2021,1,50,"22,472","2,063","3,235","1,393",509,526,265,323,,272,"1,009",639,"1,541","3,276","2,916","1,174","3,331"
2021,1,60,"17,972","1,707","1,966","1,137",649,622,379,388,,349,908,600,"1,396","2,545","2,048",941,"2,337"
2021,1,70,"10,849","1,231","1,318",664,407,456,324,296,,258,416,393,856,"1,478","1,096",436,"1,220"
2021,1,80,"6,134",684,782,427,289,306,242,263,,172,213,234,384,728,487,262,661
2021,1,90,861,76,79,55,47,44,43,53,,36,28,27,64,109,59,41,100
2021,1,100,55,10,7,4,3,3,1,4,,0,2,3,7,5,2,1,3
2021,2,총,"131,248","12,743","17,358","9,811","2,746","2,731","1,579","1,794",,"1,467","5,110","3,346","10,166","19,015","16,533","7,380","19,469"
2021,2,0,"9,887",766,"1,132","1,092",77,68,40,60,,44,289,101,977,"1,418","1,762",481,"1,580"
2021,2,10,"10,959","1,309","1,746",551,129,119,52,70,,48,286,182,901,"2,037","1,228",367,"1,934"
2021,2,20,"16,364","1,682","2,293","1,429",191,194,65,103,,99,738,466,965,"2,161","1,897","1,654","2,427"
2021,2,30,"15,263","1,150","1,705","1,779",207,154,72,82,,80,551,290,"1,286","2,015","2,429","1,095","2,368"
2021,2,40,"20,252","2,064","3,067","1,267",243,231,96,153,,113,666,399,"1,775","3,243","2,543",928,"3,464"
2021,2,50,"22,433","2,062","3,244","1,384",500,518,262,317,,271,"1,003",643,"1,543","3,263","2,928","1,156","3,339"
2021,2,60,"18,126","1,705","1,984","1,152",650,627,379,394,,347,916,604,"1,411","2,549","2,089",951,"2,368"
2021,2,70,"10,847","1,227","1,313",663,410,458,325,294,,257,417,394,845,"1,479","1,105",439,"1,221"
2021,2,80,"6,173",691,784,432,288,311,244,263,,173,213,237,393,732,488,264,660
2021,2,90,889,77,83,58,48,48,43,54,,35,29,27,63,113,62,44,105
2021,2,100,55,10,7,4,3,3,1,4,,0,2,3,7,5,2,1,3
2021,3,총,"131,099","12,653","17,344","9,804","2,729","2,730","1,582","1,802",,"1,462","5,093","3,303","10,137","18,998","16,546","7,414","19,502"
2021,3,0,"9,854",757,"1,140","1,098",74,68,41,60,,40,279,99,983,"1,411","1,747",486,"1,571"
2021,3,10,"10,927","1,293","1,732",557,125,120,51,73,,49,286,182,892,"2,024","1,233",379,"1,931"
2021,3,20,"16,326","1,676","2,283","1,408",191,197,70,98,,97,754,460,953,"2,149","1,892","1,659","2,439"
2021,3,30,"15,221","1,139","1,714","1,790",201,155,73,86,,78,544,277,"1,275","2,018","2,418","1,105","2,348"
2021,3,40,"20,172","2,049","3,042","1,261",241,228,96,153,,113,653,394,"1,767","3,225","2,559",927,"3,464"
2021,3,50,"22,379","2,041","3,248","1,382",498,505,257,314,,269,"1,000",633,"1,548","3,266","2,918","1,147","3,353"
2021,3,60,"18,228","1,697","2,002","1,161",646,635,383,399,,349,916,607,"1,409","2,574","2,104",961,"2,385"
2021,3,70,"10,871","1,230","1,320",652,411,457,322,295,,258,419,386,849,"1,485","1,110",444,"1,233"
2021,3,80,"6,196",690,776,434,292,312,247,266,,174,213,238,395,731,503,261,664
2021,3,90,899,78,84,58,50,50,41,54,,35,29,27,65,112,60,45,111
2021,3,100,26,3,3,3,0,3,1,4,,0,0,0,1,3,2,0,3
2021,4,총,"131,419","12,628","17,313","9,801","2,718","2,711","1,579","1,811",,"1,446","5,093","3,276","10,122","18,859","17,193","7,368","19,501"
2021,4,0,"9,840",747,"1,138","1,095",70,66,41,64,,36,285,96,976,"1,391","1,817",465,"1,553"
2021,4,10,"10,956","1,274","1,723",557,124,118,49,74,,49,285,182,892,"2,005","1,317",373,"1,934"
2021,4,20,"16,329","1,687","2,270","1,399",187,193,71,99,,92,740,450,956,"2,121","1,943","1,672","2,449"
2021,4,30,"15,204","1,126","1,704","1,778",197,154,72,89,,76,552,270,"1,263","1,972","2,532","1,091","2,328"
2021,4,40,"20,256","2,037","3,026","1,269",235,227,98,152,,110,658,394,"1,764","3,207","2,697",920,"3,462"
2021,4,50,"22,402","2,051","3,241","1,374",495,494,256,311,,265,994,629,"1,549","3,224","3,018","1,141","3,360"
2021,4,60,"18,369","1,697","2,035","1,172",655,639,381,404,,352,918,603,"1,414","2,598","2,156",949,"2,396"
2021,4,70,"10,888","1,227","1,309",652,409,456,319,294,,257,416,389,848,"1,490","1,138",452,"1,232"
2021,4,80,"6,237",696,780,442,295,312,249,265,,174,216,237,395,735,511,260,670
2021,4,90,912,83,84,60,51,49,42,55,,35,29,26,64,113,62,45,114
2021,4,100,26,3,3,3,0,3,1,4,,0,0,0,1,3,2,0,3
2021,5,총,"132,081","12,756","17,260","9,757","2,709","2,714","1,573","1,802",,"1,440","5,047","3,264","10,130","18,801","18,023","7,342","19,463"
2021,5,0,"9,836",767,"1,127","1,077",68,67,40,63,,35,270,97,964,"1,379","1,907",444,"1,531"
2021,5,10,"11,021","1,284","1,701",557,123,117,51,75,,49,281,181,896,"1,982","1,414",372,"1,938"
2021,5,20,"16,452","1,697","2,275","1,396",183,194,70,99,,90,733,446,959,"2,123","2,041","1,696","2,450"
2021,5,30,"15,240","1,140","1,681","1,764",198,153,75,90,,72,542,271,"1,250","1,960","2,654","1,086","2,304"
2021,5,40,"20,254","2,054","2,993","1,260",229,228,98,148,,114,642,382,"1,760","3,170","2,838",900,"3,438"
2021,5,50,"22,582","2,078","3,249","1,371",499,492,248,309,,258,992,632,"1,560","3,229","3,161","1,136","3,368"
2021,5,60,"18,529","1,710","2,045","1,177",651,641,379,406,,358,924,598,"1,427","2,610","2,248",948,"2,407"
2021,5,70,"10,929","1,236","1,315",653,408,452,319,293,,258,417,387,852,"1,492","1,162",456,"1,229"
2021,5,80,"6,296",700,784,438,301,318,251,262,,174,215,243,397,739,533,259,682
2021,5,90,916,87,87,61,49,49,41,54,,32,31,26,64,114,63,45,113
2021,5,100,26,3,3,3,0,3,1,3,,0,0,1,1,3,2,0,3
2021,6,총,"132,509","13,130","17,122","9,720","2,687","2,706","1,568","1,792",,"1,439","5,054","3,249","10,134","18,744","18,384","7,341","19,439"
2021,6,0,"9,806",814,"1,107","1,056",67,66,37,60,,33,267,92,951,"1,365","1,934",442,"1,515"
2021,6,10,"11,060","1,314","1,670",561,119,117,51,76,,48,283,178,900,"1,976","1,452",375,"1,940"
2021,6,20,"16,501","1,741","2,269","1,382",180,196,70,94,,92,735,438,958,"2,111","2,085","1,694","2,456"
2021,6,30,"15,260","1,212","1,660","1,754",193,148,73,90,,71,542,274,"1,241","1,950","2,682","1,085","2,285"
2021,6,40,"20,270","2,124","2,930","1,257",225,224,99,144,,115,636,375,"1,771","3,161","2,899",902,"3,408"
2021,6,50,"22,656","2,129","3,226","1,363",498,492,246,307,,253,"1,001",633,"1,558","3,209","3,232","1,130","3,379"
2021,6,60,"18,720","1,750","2,067","1,187",649,642,381,410,,362,916,601,"1,439","2,627","2,305",956,"2,428"
2021,6,70,"10,963","1,247","1,308",663,406,453,321,293,,260,423,387,852,"1,490","1,177",455,"1,228"
2021,6,80,"6,329",707,793,434,303,317,248,263,,174,220,245,400,736,548,258,683
2021,6,90,918,89,89,60,47,48,41,52,,31,31,25,63,116,68,44,114
2021,6,100,26,3,3,3,0,3,1,3,,0,0,1,1,3,2,0,3
2021,7,총,"132,909","13,483","17,040","9,694","2,681","2,698","1,567","1,786",,"1,430","5,052","3,246","10,110","18,768","18,579","7,324","19,451"
2021,7,0,"9,825",868,"1,084","1,054",69,63,37,58,,33,260,90,951,"1,358","1,952",441,"1,507"
2021,7,10,"11,062","1,336","1,643",560,120,118,51,77,,47,279,179,898,"1,976","1,473",364,"1,941"
2021,7,20,"16,536","1,800","2,263","1,379",181,195,70,91,,89,742,433,938,"2,112","2,110","1,688","2,445"
2021,7,30,"15,296","1,273","1,652","1,727",190,154,73,86,,71,545,278,"1,235","1,962","2,691","1,078","2,281"
2021,7,40,"20,303","2,199","2,893","1,255",218,222,98,146,,112,635,380,"1,762","3,153","2,939",895,"3,396"
2021,7,50,"22,709","2,174","3,215","1,368",498,486,240,306,,247,997,627,"1,548","3,213","3,262","1,133","3,395"
2021,7,60,"18,848","1,775","2,081","1,193",649,642,388,408,,363,919,600,"1,452","2,633","2,336",962,"2,447"
2021,7,70,"11,014","1,256","1,318",663,407,453,319,297,,263,427,383,854,"1,495","1,188",459,"1,232"
2021,7,80,"6,362",712,795,431,301,313,249,263,,172,217,250,407,748,554,258,692
2021,7,90,926,86,93,61,48,49,41,51,,33,31,25,64,114,72,46,112
2021,7,100,28,4,3,3,0,3,1,3,,0,0,1,1,4,2,0,3
2021,8,총,"133,172","13,641","17,064","9,666","2,671","2,692","1,565","1,786",,"1,424","5,028","3,231","10,126","18,769","18,656","7,366","19,487"
2021,8,0,"9,824",903,"1,069","1,050",66,62,35,60,,32,249,90,950,"1,360","1,960",444,"1,494"
2021,8,10,"11,052","1,339","1,644",548,117,119,51,78,,46,281,175,905,"1,974","1,464",362,"1,949"
2021,8,20,"16,588","1,824","2,270","1,380",175,191,74,91,,88,743,431,936,"2,100","2,123","1,706","2,456"
2021,8,30,"15,326","1,302","1,651","1,710",190,154,71,86,,71,547,284,"1,225","1,963","2,710","1,080","2,282"
2021,8,40,"20,284","2,218","2,873","1,264",215,218,96,148,,110,625,371,"1,767","3,142","2,931",903,"3,403"
2021,8,50,"22,783","2,206","3,240","1,366",495,482,242,301,,248,990,623,"1,547","3,221","3,296","1,138","3,388"
2021,8,60,"18,907","1,781","2,095","1,193",650,646,387,409,,359,916,593,"1,458","2,648","2,343",960,"2,469"
2021,8,70,"11,063","1,269","1,325",662,406,454,318,297,,263,426,389,864,"1,492","1,195",467,"1,236"
2021,8,80,"6,381",706,798,426,310,314,250,263,,172,221,249,406,750,560,262,694
2021,8,90,936,89,96,64,47,49,41,50,,34,30,25,67,115,72,44,113
2021,8,100,28,4,3,3,0,3,0,3,,1,0,1,1,4,2,0,3
