년도,월,나이,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 동백동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 상현3동
2020,2,80,"25,795","7,154",914,762,752,581,469,624,601,639,723,741,348,"10,055",982,,433,528,636,366,774,540,294,"1,201","1,087",580,503,483,,616,"1,032","8,586",890,879,992,"1,395",448,824,"1,010",874,"1,274",,,,,
2020,2,90,"3,911","1,074",110,111,123,93,72,90,111,93,115,88,68,"1,549",125,,71,140,101,39,120,75,53,186,160,77,79,72,,92,159,"1,288",114,107,131,196,78,140,180,139,203,,,,,
2020,2,100,181,70,1,7,7,6,5,8,7,11,9,3,6,63,5,,0,2,8,3,5,3,3,7,9,2,5,1,,3,7,48,9,5,3,4,1,3,9,5,9,,,,,
2020,3,총,"1,065,613","254,216","32,975","25,750","20,127","23,216","8,247","8,439","18,304","24,304","43,871","35,751","13,232","438,790","39,074",,"30,692","16,959","42,157","13,541","33,373","21,112","25,412","39,481","32,435","32,892","27,399","22,865",,"24,944","36,454","372,607","36,748","42,274","38,319","57,198","18,670","46,443","49,052","34,377","49,526",,,,,
2020,3,0,"104,630","21,936","2,475","2,025","1,646","3,155",360,242,"1,314","1,629","5,003","3,333",754,"45,098","3,566",,"3,699","1,902","4,487","1,043","3,261","1,970","3,329","3,595","2,858","3,752","2,861","3,041",,"2,143","3,591","37,596","2,958","4,990","3,750","5,489","1,586","5,337","4,954","3,515","5,017",,,,,
2020,3,10,"122,266","25,060","3,742","2,348","1,842","1,747",553,499,"1,847","2,244","4,531","4,503","1,204","51,368","3,784",,"3,584","1,286","3,541","1,354","4,347","2,179","2,389","4,924","3,136","5,723","4,733","2,946",,"2,905","4,537","45,838","3,897","5,913","5,368","7,307","1,643","5,113","6,352","4,311","5,934",,,,,
2020,3,20,"133,904","33,471","4,602","3,209","2,086","2,012",781,835,"2,219","4,328","6,723","4,765","1,911","54,824","5,177",,"3,688","2,316","6,564","1,953","3,907","2,458","4,596","4,235","4,047","3,391","3,005","2,138",,"3,329","4,020","45,609","5,425","4,968","4,048","7,652","2,806","5,298","6,289","3,873","5,250",,,,,
2020,3,30,"148,528","34,447","4,051","3,177","2,381","4,324",739,758,"2,268","3,128","7,479","4,675","1,467","61,774","6,370",,"4,973","3,128","8,211","1,937","4,082","2,814","4,750","4,503","4,253","3,578","2,631","3,218",,"2,951","4,375","52,307","6,138","6,446","4,185","7,298","3,389","7,522","6,978","4,543","5,808",,,,,
2020,3,40,"200,892","43,397","6,065","4,337","3,411","3,861","1,114","1,037","3,048","3,905","7,666","6,875","2,078","84,780","6,808",,"6,132","2,688","7,100","2,470","6,595","3,825","4,333","7,885","5,472","8,055","6,450","4,940",,"4,635","7,392","72,715","6,365","9,172","8,184","11,199","3,087","8,934","9,541","6,658","9,575",,,,,
2020,3,50,"160,068","42,595","5,717","4,570","3,677","3,175","1,630","1,689","3,304","4,136","6,226","5,872","2,599","64,070","6,096",,"4,592","2,658","6,337","2,246","4,876","3,359","3,185","5,632","4,963","4,277","4,038","2,556",,"4,204","5,051","53,403","5,412","5,659","5,575","8,464","2,868","6,530","6,919","4,954","7,022",,,,,
2020,3,60,"101,021","29,345","3,456","3,393","2,724","2,763","1,588","1,701","2,415","2,757","3,564","3,119","1,865","39,399","3,831",,"2,413","1,558","3,340","1,217","3,236","2,485","1,693","4,185","3,673","2,014","1,868","1,891",,"2,564","3,431","32,277","3,279","2,379","3,352","4,894","1,726","4,300","4,019","3,016","5,312",,,,,
2020,3,70,"64,118","15,600","1,843","1,801","1,471","1,493",930,954,"1,162","1,429","1,820","1,765",932,"25,675","2,322",,"1,104",746,"1,827",902,"2,157","1,404",780,"3,121","2,775","1,439","1,224","1,536",,"1,490","2,848","22,843","2,236","1,753","2,727","3,286","1,037","2,441","2,774","2,480","4,109",,,,,
2020,3,80,"26,061","7,208",914,772,756,586,475,629,609,638,730,751,348,"10,180",982,,434,534,639,379,786,539,304,"1,210","1,087",585,507,524,,625,"1,045","8,673",910,881,998,"1,408",448,822,"1,036",880,"1,290",,,,,
2020,3,90,"3,943","1,088",109,111,126,95,73,87,111,99,119,90,68,"1,562",132,,73,141,104,38,119,75,51,186,164,76,78,74,,94,157,"1,293",115,108,129,196,79,142,181,142,201,,,,,
2020,3,100,182,69,1,7,7,5,4,8,7,11,10,3,6,60,6,,0,2,7,2,7,4,2,5,7,2,4,1,,4,7,53,13,5,3,5,1,4,9,5,8,,,,,
2020,4,총,"1,068,519","254,483","32,997","25,801","20,124","23,265","8,222","8,458","18,341","24,300","43,969","35,791","13,215","439,725","39,099",,"30,761","17,166","42,259","13,523","33,514","21,125","25,515","39,521","32,473","32,921","27,378","23,027",,"24,952","36,491","374,311","36,780","42,224","38,345","57,165","18,696","47,964","49,081","34,364","49,692",,,,,
2020,4,0,"104,429","21,861","2,435","2,004","1,640","3,163",361,238,"1,324","1,614","5,029","3,307",746,"44,819","3,554",,"3,682","1,905","4,482","1,034","3,239","1,961","3,300","3,551","2,852","3,712","2,812","3,036",,"2,131","3,568","37,749","2,910","4,952","3,738","5,432","1,583","5,656","4,955","3,515","5,008",,,,,
2020,4,10,"122,169","25,019","3,793","2,349","1,824","1,753",563,500,"1,812","2,221","4,516","4,480","1,208","51,347","3,750",,"3,581","1,291","3,535","1,348","4,358","2,169","2,414","4,923","3,101","5,730","4,745","2,963",,"2,889","4,550","45,803","3,866","5,885","5,349","7,289","1,631","5,230","6,335","4,301","5,917",,,,,
2020,4,20,"134,919","33,624","4,634","3,222","2,099","2,022",755,837,"2,239","4,342","6,774","4,803","1,897","55,330","5,195",,"3,698","2,399","6,624","1,949","3,964","2,454","4,690","4,274","4,079","3,415","3,032","2,165",,"3,351","4,041","45,965","5,454","5,003","4,073","7,677","2,837","5,421","6,334","3,882","5,284",,,,,
2020,4,30,"148,801","34,374","4,023","3,168","2,367","4,314",742,762,"2,275","3,131","7,472","4,664","1,456","61,691","6,367",,"4,969","3,182","8,172","1,937","4,084","2,808","4,728","4,477","4,255","3,568","2,615","3,228",,"2,935","4,366","52,736","6,187","6,453","4,194","7,268","3,381","7,880","6,983","4,542","5,848",,,,,
2020,4,40,"200,923","43,342","6,040","4,346","3,397","3,880","1,096","1,031","3,039","3,894","7,680","6,862","2,077","84,701","6,815",,"6,121","2,700","7,126","2,444","6,606","3,813","4,344","7,891","5,461","8,042","6,430","4,924",,"4,612","7,372","72,880","6,317","9,142","8,147","11,174","3,088","9,280","9,498","6,661","9,573",,,,,
2020,4,50,"160,852","42,670","5,719","4,584","3,692","3,183","1,623","1,690","3,326","4,148","6,212","5,896","2,597","64,463","6,113",,"4,630","2,686","6,359","2,257","4,923","3,392","3,191","5,643","4,992","4,311","4,043","2,593",,"4,245","5,085","53,719","5,423","5,669","5,607","8,495","2,876","6,650","6,956","4,954","7,089",,,,,
2020,4,60,"101,577","29,496","3,453","3,411","2,743","2,767","1,600","1,709","2,426","2,772","3,590","3,150","1,875","39,652","3,843",,"2,450","1,575","3,376","1,218","3,264","2,505","1,706","4,213","3,689","2,029","1,878","1,908",,"2,561","3,437","32,429","3,321","2,372","3,360","4,904","1,733","4,391","4,015","3,006","5,327",,,,,
2020,4,70,"64,420","15,688","1,871","1,819","1,481","1,502",923,959,"1,171","1,422","1,830","1,773",937,"25,796","2,333",,"1,118",748,"1,833",913,"2,160","1,400",783,"3,133","2,781","1,443","1,233","1,572",,"1,498","2,848","22,936","2,245","1,749","2,748","3,293","1,035","2,477","2,779","2,473","4,137",,,,,
2020,4,80,"26,252","7,239",917,776,748,583,482,636,606,645,735,763,348,"10,279",987,,437,534,642,383,788,542,310,"1,221","1,097",588,508,558,,630,"1,054","8,734",924,887,997,"1,429",450,831,"1,038",882,"1,296",,,,,
2020,4,90,"3,990","1,101",110,115,126,93,73,88,116,100,122,90,68,"1,583",136,,75,144,103,38,119,77,47,190,158,81,78,79,,95,163,"1,306",120,107,128,199,81,144,179,143,205,,,,,
2020,4,100,187,69,2,7,7,5,4,8,7,11,9,3,6,64,6,,0,2,7,2,9,4,2,5,8,2,4,1,,5,7,54,13,5,4,5,1,4,9,5,8,,,,,
2020,5,총,"1,070,987","255,729","33,083","25,820","20,124","23,265","8,217","8,494","19,395","24,302","44,051","35,779","13,199","440,274","39,041",,"30,802","17,308","42,362","13,520","33,510","21,150","25,608","39,495","32,478","32,964","27,382","23,131",,"25,000","36,523","374,984","36,788","42,163","38,338","57,173","18,680","48,692","49,081","34,333","49,736",,,,,
2020,5,0,"104,156","21,765","2,416","1,990","1,643","3,159",355,241,"1,319","1,605","5,007","3,292",738,"44,629","3,528",,"3,668","1,914","4,493","1,026","3,220","1,940","3,299","3,516","2,844","3,702","2,799","3,030",,"2,110","3,540","37,762","2,879","4,937","3,714","5,397","1,578","5,784","4,949","3,509","5,015",,,,,
2020,5,10,"123,010","25,965","3,846","2,340","1,814","1,763",566,548,"2,719","2,215","4,506","4,461","1,187","51,310","3,744",,"3,581","1,285","3,526","1,338","4,356","2,159","2,432","4,910","3,110","5,721","4,751","2,974",,"2,885","4,538","45,735","3,824","5,869","5,327","7,270","1,630","5,285","6,318","4,286","5,926",,,,,
2020,5,20,"135,480","33,797","4,663","3,243","2,102","2,015",743,835,"2,312","4,332","6,840","4,797","1,915","55,594","5,185",,"3,731","2,453","6,633","1,958","3,969","2,452","4,747","4,248","4,071","3,431","3,059","2,182",,"3,385","4,090","46,089","5,453","4,981","4,111","7,727","2,822","5,483","6,337","3,894","5,281",,,,,
2020,5,30,"148,644","34,295","3,986","3,158","2,371","4,281",739,757,"2,293","3,158","7,467","4,638","1,447","61,548","6,331",,"4,958","3,215","8,177","1,937","4,074","2,805","4,705","4,459","4,248","3,551","2,598","3,195",,"2,932","4,363","52,801","6,223","6,429","4,162","7,238","3,377","8,030","6,996","4,509","5,837",,,,,
2020,5,40,"200,769","43,283","6,019","4,335","3,383","3,911","1,098","1,026","3,042","3,873","7,681","6,856","2,059","84,587","6,788",,"6,111","2,717","7,111","2,439","6,589","3,815","4,356","7,876","5,471","8,028","6,400","4,948",,"4,599","7,339","72,899","6,280","9,133","8,128","11,145","3,093","9,415","9,477","6,643","9,585",,,,,
2020,5,50,"161,534","42,789","5,770","4,588","3,686","3,179","1,615","1,676","3,365","4,143","6,228","5,938","2,601","64,835","6,151",,"4,646","2,689","6,403","2,267","4,946","3,401","3,201","5,675","4,986","4,376","4,079","2,603",,"4,278","5,134","53,910","5,404","5,704","5,642","8,508","2,879","6,744","6,961","4,964","7,104",,,,,
2020,5,60,"102,000","29,631","3,463","3,432","2,755","2,769","1,614","1,712","2,444","2,789","3,614","3,153","1,886","39,770","3,827",,"2,458","1,593","3,406","1,222","3,265","2,532","1,719","4,227","3,679","2,021","1,872","1,931",,"2,570","3,448","32,599","3,381","2,371","3,369","4,922","1,731","4,454","4,031","3,014","5,326",,,,,
2020,5,70,"64,731","15,772","1,886","1,831","1,488","1,510",925,962,"1,170","1,431","1,839","1,784",946,"25,920","2,350",,"1,131",746,"1,859",903,"2,169","1,416",789,"3,151","2,785","1,455","1,233","1,595",,"1,510","2,828","23,039","2,270","1,741","2,747","3,313","1,037","2,511","2,790","2,484","4,146",,,,,
2020,5,80,"26,481","7,251",921,779,750,578,482,638,607,645,737,767,347,"10,431",995,,445,549,644,390,795,547,314,"1,240","1,116",594,510,593,,630,"1,069","8,799",940,887,"1,009","1,445",452,837,"1,041",885,"1,303",,,,,
2020,5,90,"3,991","1,112",112,117,125,95,76,92,115,100,123,90,67,"1,581",134,,72,145,103,38,118,80,44,186,160,83,77,79,,96,166,"1,298",120,106,127,203,80,145,172,140,205,,,,,
2020,5,100,191,69,1,7,7,5,4,7,9,11,9,3,6,69,8,,1,2,7,2,9,3,2,7,8,2,4,1,,5,8,53,14,5,2,5,1,4,9,5,8,,,,,
2020,6,총,"1,073,115","256,918","33,154","25,829","20,178","23,287","8,217","8,800","19,969","24,389","44,145","35,795","13,155","440,831","39,088",,"30,782","17,380","42,397","13,558","33,551","21,167","25,632","39,507","32,502","32,972","27,369","23,268",,"25,062","36,596","375,366","36,865","42,146","38,342","57,158","18,601","49,016","49,039","34,339","49,860",,,,,
2020,6,0,"103,820","21,697","2,407","1,974","1,643","3,167",345,235,"1,322","1,619","4,985","3,268",732,"44,446","3,530",,"3,656","1,915","4,495","1,024","3,191","1,927","3,298","3,497","2,806","3,685","2,758","3,022",,"2,101","3,541","37,677","2,872","4,898","3,709","5,358","1,572","5,812","4,945","3,515","4,996",,,,,
2020,6,10,"123,661","26,675","3,828","2,354","1,820","1,785",559,833,"3,144","2,209","4,496","4,458","1,189","51,317","3,719",,"3,585","1,290","3,505","1,337","4,361","2,163","2,440","4,901","3,126","5,721","4,762","2,983",,"2,877","4,547","45,669","3,792","5,871","5,326","7,238","1,615","5,311","6,285","4,286","5,945",,,,,
2020,6,20,"135,948","33,984","4,682","3,231","2,103","2,019",750,860,"2,393","4,356","6,900","4,801","1,889","55,773","5,189",,"3,739","2,449","6,653","1,962","3,971","2,467","4,755","4,265","4,088","3,454","3,067","2,197",,"3,403","4,114","46,191","5,454","4,979","4,099","7,777","2,815","5,522","6,338","3,889","5,318",,,,,
2020,6,30,"148,399","34,258","3,998","3,129","2,367","4,272",746,757,"2,295","3,149","7,483","4,633","1,429","61,455","6,332",,"4,948","3,249","8,159","1,935","4,054","2,796","4,695","4,432","4,236","3,519","2,593","3,208",,"2,936","4,363","52,686","6,263","6,419","4,159","7,184","3,352","8,042","6,978","4,490","5,799",,,,,
2020,6,40,"200,871","43,412","6,041","4,376","3,405","3,932","1,092","1,033","3,064","3,884","7,682","6,844","2,059","84,519","6,777",,"6,062","2,730","7,115","2,444","6,589","3,801","4,356","7,889","5,482","8,004","6,383","4,957",,"4,586","7,344","72,940","6,251","9,136","8,127","11,121","3,082","9,490","9,459","6,651","9,623",,,,,
2020,6,50,"161,887","42,786","5,778","4,582","3,683","3,156","1,619","1,663","3,380","4,155","6,237","5,950","2,583","65,053","6,178",,"4,671","2,690","6,412","2,271","4,985","3,413","3,196","5,667","5,007","4,402","4,106","2,608",,"4,289","5,158","54,048","5,406","5,711","5,638","8,545","2,857","6,801","6,988","4,970","7,132",,,,,
2020,6,60,"102,704","29,847","3,490","3,440","2,788","2,772","1,619","1,723","2,473","2,819","3,645","3,176","1,902","40,033","3,853",,"2,473","1,610","3,443","1,238","3,283","2,544","1,735","4,251","3,674","2,038","1,877","1,958",,"2,598","3,458","32,824","3,461","2,396","3,382","4,939","1,729","4,508","4,031","3,029","5,349",,,,,
2020,6,70,"65,051","15,833","1,888","1,845","1,490","1,502",930,963,"1,176","1,441","1,844","1,803",951,"26,085","2,364",,"1,136",747,"1,870",908,"2,184","1,422",800,"3,159","2,792","1,466","1,231","1,637",,"1,536","2,833","23,133","2,290","1,735","2,757","3,329","1,042","2,535","2,792","2,486","4,167",,,,,
2020,6,80,"26,574","7,235",928,774,746,576,476,634,599,645,741,768,348,"10,506","1,005",,440,550,637,399,809,549,313,"1,249","1,128",596,509,618,,636,"1,068","8,833",945,889,"1,016","1,455",454,841,"1,040",880,"1,313",,,,,
2020,6,90,"4,007","1,121",113,117,126,101,77,93,113,100,123,91,67,"1,576",133,,70,148,101,38,115,82,42,191,156,85,79,79,,95,162,"1,310",118,107,127,207,82,150,173,137,209,,,,,
2020,6,100,193,70,1,7,7,5,4,6,10,12,9,3,6,68,8,,2,2,7,2,9,3,2,6,7,2,4,1,,5,8,55,13,5,2,5,1,4,10,6,9,,,,,
2020,7,총,"1,074,968","257,732","33,216","25,860","20,179","23,368","8,228","9,032","20,078","24,457","44,307","35,840","13,167","441,190","39,065",,"30,757","17,464","42,334","13,540","33,603","21,206","25,680","39,518","32,488","33,000","27,430","23,356",,"25,080","36,669","376,046","36,929","42,073","38,341","57,128","18,605","49,159","49,046","34,277","50,488",,,,,
2020,7,0,"103,560","21,654","2,390","1,955","1,626","3,211",342,236,"1,309","1,615","4,986","3,260",724,"44,251","3,501",,"3,652","1,917","4,457","1,023","3,169","1,913","3,304","3,470","2,801","3,670","2,754","3,016",,"2,097","3,507","37,655","2,864","4,883","3,693","5,325","1,569","5,814","4,927","3,504","5,076",,,,,
2020,7,10,"123,882","26,940","3,878","2,356","1,816","1,790",568,"1,047","3,175","2,204","4,483","4,437","1,186","51,319","3,713",,"3,579","1,286","3,488","1,327","4,380","2,156","2,450","4,901","3,122","5,730","4,761","2,995",,"2,866","4,565","45,623","3,769","5,864","5,310","7,212","1,615","5,309","6,270","4,268","6,006",,,,,
2020,7,20,"136,408","34,166","4,680","3,241","2,122","2,001",756,886,"2,438","4,355","6,976","4,813","1,898","55,941","5,197",,"3,750","2,476","6,653","1,960","3,978","2,481","4,769","4,263","4,098","3,462","3,090","2,216",,"3,415","4,133","46,301","5,454","4,938","4,088","7,806","2,818","5,535","6,349","3,891","5,422",,,,,
2020,7,30,"148,107","34,193","3,997","3,094","2,360","4,276",742,742,"2,293","3,174","7,475","4,617","1,423","61,242","6,321",,"4,901","3,259","8,111","1,908","4,045","2,798","4,671","4,420","4,203","3,531","2,580","3,193",,"2,940","4,361","52,672","6,255","6,411","4,167","7,163","3,337","8,063","6,978","4,447","5,851",,,,,
2020,7,40,"200,884","43,501","6,045","4,410","3,364","3,977","1,085","1,036","3,085","3,885","7,708","6,858","2,048","84,395","6,732",,"6,037","2,745","7,100","2,452","6,595","3,816","4,370","7,846","5,468","7,995","6,369","4,949",,"4,573","7,348","72,988","6,232","9,137","8,115","11,087","3,074","9,511","9,438","6,624","9,770",,,,,
2020,7,50,"162,562","42,873","5,770","4,595","3,697","3,129","1,622","1,640","3,385","4,165","6,283","5,991","2,596","65,418","6,213",,"4,692","2,704","6,436","2,269","5,028","3,432","3,194","5,708","5,036","4,434","4,146","2,623",,"4,295","5,208","54,271","5,403","5,698","5,642","8,568","2,862","6,856","7,011","4,984","7,247",,,,,
