년도,월,나이,함평군,함평읍,손불면,신광면,학교면,엄다면,대동면,나산면,해보면,월야면
2020,8,60,"2,827",641,303,206,353,175,276,291,265,317
2020,8,70,"3,021",625,402,176,389,215,293,278,258,385
2020,8,80,"2,375",464,280,160,332,193,237,244,195,270
2020,8,90,372,73,35,29,55,27,43,45,28,37
2020,8,100,24,3,1,1,4,1,1,2,7,4
2020,9,총,"16,093","4,301","1,714",938,"1,966","1,008","1,532","1,461","1,413","1,760"
2020,9,0,680,269,82,31,65,27,45,47,48,66
2020,9,10,976,350,93,31,107,41,109,74,63,108
2020,9,20,"1,029",363,76,62,102,49,92,80,107,98
2020,9,30,"1,010",364,79,47,108,48,85,83,90,106
2020,9,40,"1,438",529,120,67,150,72,132,108,137,123
2020,9,50,"2,316",618,239,132,289,158,217,207,212,244
2020,9,60,"2,836",640,309,201,364,177,277,294,265,309
2020,9,70,"3,010",617,397,179,390,215,291,277,255,389
2020,9,80,"2,393",475,283,158,330,193,239,242,199,274
2020,9,90,380,72,35,29,57,27,44,47,30,39
2020,9,100,25,4,1,1,4,1,1,2,7,4
2020,10,총,"16,079","4,290","1,719",936,"1,969","1,001","1,527","1,463","1,421","1,753"
2020,10,0,674,266,82,31,62,27,47,45,48,66
2020,10,10,979,351,91,31,113,41,106,76,65,105
2020,10,20,"1,027",358,77,61,102,50,94,80,106,99
2020,10,30,"1,011",367,80,47,109,46,82,85,93,102
2020,10,40,"1,424",524,115,66,149,72,131,106,135,126
2020,10,50,"2,321",613,243,130,289,158,219,208,217,244
2020,10,60,"2,829",641,312,206,362,172,273,294,266,303
2020,10,70,"3,011",617,394,179,391,214,290,280,251,395
2020,10,80,"2,400",478,288,155,332,194,241,241,200,271
2020,10,90,379,71,36,29,56,26,43,46,33,39
2020,10,100,24,4,1,1,4,1,1,2,7,3
2020,11,총,"16,033","4,267","1,711",937,"1,960","1,003","1,522","1,454","1,419","1,760"
2020,11,0,667,267,80,30,58,28,47,43,48,66
2020,11,10,979,352,90,31,113,41,104,75,66,107
2020,11,20,"1,026",355,74,66,102,49,91,80,107,102
2020,11,30,994,353,81,46,108,47,84,81,93,101
2020,11,40,"1,420",524,117,62,150,73,127,108,133,126
2020,11,50,"2,310",615,237,130,285,156,222,204,216,245
2020,11,60,"2,833",634,314,208,363,173,274,290,269,308
2020,11,70,"3,016",618,396,176,395,217,288,283,251,392
2020,11,80,"2,384",473,284,158,328,191,241,241,198,270
2020,11,90,380,72,37,28,55,27,43,47,31,40
2020,11,100,24,4,1,2,3,1,1,2,7,3
2020,12,총,"15,988","4,266","1,704",929,"1,951",999,"1,518","1,451","1,404","1,766"
2020,12,0,666,269,78,29,59,30,47,45,45,64
2020,12,10,965,347,89,31,112,41,101,72,66,106
2020,12,20,"1,018",351,73,63,102,47,91,81,100,110
2020,12,30,995,355,82,45,109,49,80,81,93,101
2020,12,40,"1,411",519,116,59,148,74,128,107,132,128
2020,12,50,"2,294",609,238,131,281,150,222,203,216,244
2020,12,60,"2,845",643,315,208,362,173,277,292,265,310
2020,12,70,"3,008",621,394,174,391,218,286,281,251,392
2020,12,80,"2,386",471,283,159,332,189,242,241,198,271
2020,12,90,377,77,36,28,52,27,43,46,31,37
2020,12,100,23,4,0,2,3,1,1,2,7,3
2021,1,총,"15,936","4,249","1,709",930,"1,945",989,"1,513","1,447","1,393","1,761"
2021,1,0,649,263,77,27,58,30,44,45,44,61
2021,1,10,961,345,90,32,114,39,101,71,65,104
2021,1,20,"1,006",344,74,62,99,46,91,81,99,110
2021,1,30,976,353,85,45,104,46,77,78,91,97
2021,1,40,"1,418",525,117,60,146,72,127,109,130,132
2021,1,50,"2,290",608,239,132,284,151,221,202,211,242
2021,1,60,"2,844",645,314,207,362,172,277,291,266,310
2021,1,70,"2,987",611,393,173,389,214,286,280,251,390
2021,1,80,"2,401",472,285,161,333,188,246,243,198,275
2021,1,90,379,79,35,29,53,29,41,45,31,37
2021,1,100,25,4,0,2,3,2,2,2,7,3
2021,2,총,"15,893","4,233","1,705",930,"1,946",989,"1,502","1,441","1,390","1,757"
2021,2,0,643,261,72,28,57,30,46,44,46,59
2021,2,10,942,340,93,36,110,39,88,70,65,101
2021,2,20,994,341,71,59,101,45,92,79,99,107
2021,2,30,966,348,83,45,104,45,75,80,88,98
2021,2,40,"1,413",526,119,59,144,74,124,109,129,129
2021,2,50,"2,279",604,236,132,286,147,220,197,214,243
2021,2,60,"2,857",651,315,208,364,174,278,291,259,317
2021,2,70,"2,968",602,391,170,383,212,288,278,257,387
2021,2,80,"2,425",475,289,162,340,192,248,247,196,276
2021,2,90,380,81,35,29,54,29,41,44,30,37
2021,2,100,26,4,1,2,3,2,2,2,7,3
2021,3,총,"15,772","4,224","1,684",929,"1,904",980,"1,521","1,424","1,347","1,759"
2021,3,0,627,254,73,27,56,30,43,46,41,57
2021,3,10,969,342,91,36,108,40,114,70,64,104
2021,3,20,984,343,70,58,95,43,92,76,99,108
2021,3,30,939,343,78,45,100,44,73,79,83,94
2021,3,40,"1,389",524,112,57,140,69,125,106,126,130
2021,3,50,"2,245",603,232,132,275,145,219,195,200,244
2021,3,60,"2,856",653,314,208,362,174,279,288,257,321
2021,3,70,"2,931",596,389,172,373,210,288,275,247,381
2021,3,80,"2,430",479,288,164,337,194,244,248,198,278
2021,3,90,386,83,36,28,56,30,42,41,31,39
2021,3,100,16,4,1,2,2,1,2,0,1,3
2021,4,총,"15,719","4,185","1,679",918,"1,898",974,"1,520","1,425","1,360","1,760"
2021,4,0,621,253,72,27,54,30,43,46,41,55
2021,4,10,975,345,92,35,108,39,115,69,67,105
2021,4,20,974,334,70,53,94,43,93,76,100,111
2021,4,30,926,340,74,45,100,41,73,80,84,89
2021,4,40,"1,374",511,114,53,136,69,124,107,126,134
2021,4,50,"2,215",595,227,129,272,141,218,194,202,237
2021,4,60,"2,876",652,317,210,366,180,279,287,260,325
2021,4,70,"2,913",592,391,169,371,208,283,276,245,378
2021,4,80,"2,442",477,285,168,338,192,247,249,202,284
2021,4,90,390,84,36,28,57,30,43,41,32,39
2021,4,100,13,2,1,1,2,1,2,0,1,3
2021,5,총,"15,702","4,186","1,674",916,"1,889",975,"1,515","1,423","1,361","1,763"
2021,5,0,618,250,71,26,55,30,42,46,41,57
2021,5,10,962,345,89,34,103,38,114,68,66,105
2021,5,20,981,340,72,53,95,45,91,76,99,110
2021,5,30,919,336,75,45,98,41,68,81,87,88
2021,5,40,"1,366",512,115,49,137,68,124,106,123,132
2021,5,50,"2,214",590,228,132,265,139,217,194,207,242
2021,5,60,"2,876",655,310,209,368,182,279,289,259,325
2021,5,70,"2,902",588,390,171,370,208,285,271,244,375
2021,5,80,"2,455",483,287,168,339,192,247,251,201,287
2021,5,90,396,86,36,28,58,31,45,41,33,38
2021,5,100,13,1,1,1,1,1,3,0,1,4
2021,6,총,"15,637","4,169","1,668",916,"1,873",966,"1,507","1,417","1,359","1,762"
2021,6,0,615,246,74,26,56,29,42,46,41,55
2021,6,10,948,344,87,35,99,38,113,61,65,106
2021,6,20,967,335,71,50,94,43,88,78,99,109
2021,6,30,903,326,75,47,95,40,66,79,88,87
2021,6,40,"1,355",506,116,48,132,66,122,109,123,133
2021,6,50,"2,206",598,225,131,262,137,215,189,206,243
2021,6,60,"2,881",657,309,208,366,184,280,293,257,327
2021,6,70,"2,890",586,390,171,368,207,285,269,243,371
2021,6,80,"2,464",484,284,171,342,190,247,252,203,291
2021,6,90,394,85,36,28,58,31,46,41,33,36
2021,6,100,14,2,1,1,1,1,3,0,1,4
2021,7,총,"15,609","4,165","1,655",915,"1,869",960,"1,502","1,411","1,359","1,773"
2021,7,0,611,246,71,24,53,29,42,46,44,56
2021,7,10,946,348,88,35,100,35,110,60,64,106
2021,7,20,957,327,70,51,97,43,86,75,96,112
2021,7,30,894,326,73,47,94,40,64,77,87,86
2021,7,40,"1,353",509,112,45,133,64,123,106,124,137
2021,7,50,"2,189",595,221,134,259,137,210,186,206,241
2021,7,60,"2,895",655,313,206,367,182,283,298,257,334
2021,7,70,"2,887",585,389,173,366,206,286,272,241,369
2021,7,80,"2,463",486,280,171,340,189,247,251,207,292
2021,7,90,399,86,37,28,58,34,48,40,32,36
2021,7,100,15,2,1,1,2,1,3,0,1,4
2021,8,총,"15,603","4,189","1,646",915,"1,863",961,"1,504","1,405","1,352","1,768"
2021,8,0,607,247,69,23,54,29,43,47,41,54
2021,8,10,942,350,89,35,97,37,106,58,65,105
2021,8,20,959,330,68,52,98,43,89,74,94,111
2021,8,30,890,332,68,47,93,38,65,76,86,85
2021,8,40,"1,336",509,109,43,128,64,123,102,122,136
2021,8,50,"2,202",599,221,135,257,138,212,187,207,246
2021,8,60,"2,909",656,314,208,370,183,284,299,261,334
2021,8,70,"2,868",595,386,173,362,202,280,268,238,364
2021,8,80,"2,474",483,282,170,342,193,251,253,207,293
2021,8,90,401,86,39,28,60,33,48,41,30,36
2021,8,100,15,2,1,1,2,1,3,0,1,4
2021,9,총,"15,574","4,194","1,640",910,"1,858",959,"1,493","1,406","1,351","1,763"
2021,9,0,599,247,66,22,52,32,39,48,37,56
2021,9,10,941,353,89,36,96,36,104,58,66,103
2021,9,20,947,324,71,50,93,43,89,72,98,107
2021,9,30,881,327,67,46,92,37,63,78,85,86
2021,9,40,"1,330",508,107,42,132,63,123,99,121,135
2021,9,50,"2,214",613,219,133,256,141,213,190,204,245
2021,9,60,"2,904",656,310,208,373,179,282,298,263,335
2021,9,70,"2,858",593,386,176,359,199,275,268,240,362
2021,9,80,"2,483",483,283,169,345,195,254,253,206,295
2021,9,90,402,88,41,27,58,33,48,42,30,35
2021,9,100,15,2,1,1,2,1,3,0,1,4
2021,10,총,"15,594","4,206","1,646",910,"1,859",958,"1,483","1,409","1,357","1,766"
2021,10,0,593,245,66,22,51,31,36,47,38,57
2021,10,10,930,352,90,35,93,35,100,56,66,103
2021,10,20,956,332,71,51,93,45,88,75,99,102
2021,10,30,880,322,68,46,92,35,63,79,88,87
2021,10,40,"1,329",507,107,40,133,63,120,101,122,136
2021,10,50,"2,220",620,219,136,253,140,213,188,207,244
2021,10,60,"2,921",660,312,209,373,181,285,297,262,342
2021,10,70,"2,850",596,385,175,363,196,273,264,238,360
2021,10,80,"2,495",485,287,167,345,199,252,257,206,297
2021,10,90,404,86,40,28,61,32,50,45,29,33
2021,10,100,16,1,1,1,2,1,3,0,2,5
2021,11,총,"15,567","4,192","1,646",908,"1,852",947,"1,482","1,409","1,365","1,766"
2021,11,0,585,242,64,23,47,29,37,46,38,59
2021,11,10,924,352,90,34,92,35,100,56,64,101
2021,11,20,963,331,72,50,96,44,86,77,103,104
2021,11,30,860,319,61,47,91,30,61,80,90,81
2021,11,40,"1,335",507,110,42,133,65,118,101,123,136
2021,11,50,"2,217",618,220,134,248,138,217,188,208,246
2021,11,60,"2,921",655,313,209,374,182,283,297,265,343
2021,11,70,"2,842",598,386,174,362,191,270,265,236,360
2021,11,80,"2,497",485,288,167,343,199,256,254,207,298
2021,11,90,407,84,41,27,64,33,51,45,29,33
2021,11,100,16,1,1,1,2,1,3,0,2,5
2021,12,총,"15,544","4,191","1,654",904,"1,839",947,"1,480","1,408","1,371","1,750"
2021,12,0,584,242,64,23,47,29,36,48,39,56
2021,12,10,917,357,86,34,90,34,98,56,64,98
2021,12,20,968,328,74,50,95,45,90,78,103,105
2021,12,30,851,317,62,47,90,29,60,80,87,79
2021,12,40,"1,330",512,109,40,130,65,116,101,123,134
2021,12,50,"2,221",616,222,134,246,140,223,189,209,242
2021,12,60,"2,912",652,316,208,373,181,281,291,268,342
2021,12,70,"2,818",594,383,175,359,190,266,260,233,358
2021,12,80,"2,515",486,294,166,342,202,257,256,214,298
2021,12,90,413,86,43,27,65,31,50,49,29,33
2021,12,100,15,1,1,0,2,1,3,0,2,5
