년도,월,나이,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021,6,50,"4,210",836,198,83,181,519,614,360,846,573
2021,6,60,"4,803",912,248,141,282,668,687,373,941,551
2021,6,70,"2,288",444,118,59,126,301,308,161,503,268
2021,6,80,"1,011",199,40,38,44,166,128,88,188,120
2021,6,90,71,14,2,0,3,13,6,9,14,10
2021,6,100,4,1,0,1,0,0,0,0,2,0
2021,7,총,"21,075","4,298",861,449,875,"2,656","3,004","1,532","4,314","3,086"
2021,7,0,884,200,15,13,24,92,132,49,216,143
2021,7,10,"1,458",348,37,22,37,158,235,101,314,206
2021,7,20,"1,927",441,63,34,45,228,233,125,413,345
2021,7,30,"1,582",344,37,20,48,168,240,70,297,358
2021,7,40,"2,810",554,103,38,84,344,420,198,570,499
2021,7,50,"4,196",830,198,84,178,517,606,356,847,580
2021,7,60,"4,837",920,247,138,283,675,693,374,950,557
2021,7,70,"2,293",444,118,59,128,299,310,162,503,270
2021,7,80,"1,014",202,41,40,45,162,129,88,189,118
2021,7,90,70,14,2,0,3,13,6,9,13,10
2021,7,100,4,1,0,1,0,0,0,0,2,0
2021,8,총,"21,057","4,293",864,454,876,"2,648","3,006","1,527","4,294","3,095"
2021,8,0,876,200,14,14,25,91,127,49,216,140
2021,8,10,"1,458",349,37,22,35,161,236,99,312,207
2021,8,20,"1,915",436,64,34,47,221,232,125,409,347
2021,8,30,"1,558",338,37,23,45,164,237,67,291,356
2021,8,40,"2,804",558,102,37,84,340,423,197,564,499
2021,8,50,"4,205",827,201,83,181,521,607,354,844,587
2021,8,60,"4,845",924,247,140,282,671,698,374,952,557
2021,8,70,"2,295",441,119,59,129,301,311,165,498,272
2021,8,80,"1,028",205,41,41,45,165,129,89,193,120
2021,8,90,69,14,2,0,3,13,6,8,13,10
2021,8,100,4,1,0,1,0,0,0,0,2,0
2021,9,총,"21,036","4,294",869,455,877,"2,641","3,003","1,522","4,283","3,092"
2021,9,0,862,200,14,14,25,90,123,49,209,138
2021,9,10,"1,450",349,36,21,34,161,237,96,309,207
2021,9,20,"1,912",434,67,34,47,215,232,125,413,345
2021,9,30,"1,535",337,37,23,43,164,230,67,280,354
2021,9,40,"2,802",561,102,37,84,337,422,193,570,496
2021,9,50,"4,187",819,203,82,180,519,610,349,835,590
2021,9,60,"4,885",933,246,142,284,673,703,382,962,560
2021,9,70,"2,297",441,121,60,131,303,311,165,492,273
2021,9,80,"1,035",205,41,41,46,166,129,89,198,120
2021,9,90,67,14,2,0,3,13,6,7,13,9
2021,9,100,4,1,0,1,0,0,0,0,2,0
2021,10,총,"21,085","4,308",871,448,873,"2,647","3,009","1,535","4,290","3,104"
2021,10,0,862,200,14,14,25,91,122,52,209,135
2021,10,10,"1,445",353,36,18,34,161,232,97,308,206
2021,10,20,"1,919",438,66,32,45,215,236,124,419,344
2021,10,30,"1,543",339,38,21,43,167,230,71,277,357
2021,10,40,"2,778",560,101,35,81,334,418,191,565,493
2021,10,50,"4,197",820,202,80,175,523,611,352,835,599
2021,10,60,"4,932",936,247,145,292,675,712,385,972,568
2021,10,70,"2,300",443,123,60,130,304,310,166,491,273
2021,10,80,"1,037",203,41,42,45,165,132,90,199,120
2021,10,90,68,15,3,0,3,12,6,7,13,9
2021,10,100,4,1,0,1,0,0,0,0,2,0
2021,11,총,"21,095","4,318",868,448,874,"2,636","3,012","1,532","4,288","3,119"
2021,11,0,857,201,14,14,25,89,121,51,208,134
2021,11,10,"1,439",350,36,18,34,159,232,97,308,205
2021,11,20,"1,931",441,65,30,41,218,235,124,422,355
2021,11,30,"1,535",342,38,22,45,159,227,69,276,357
2021,11,40,"2,776",558,99,36,79,337,414,192,560,501
2021,11,50,"4,197",822,203,79,179,520,614,351,837,592
2021,11,60,"4,946",935,248,144,290,678,718,387,974,572
2021,11,70,"2,306",449,122,62,132,302,310,164,489,276
2021,11,80,"1,032",203,40,41,46,161,133,89,202,117
2021,11,90,73,16,3,1,3,13,8,8,11,10
2021,11,100,3,1,0,1,0,0,0,0,1,0
2021,12,총,"21,091","4,302",866,445,877,"2,641","3,004","1,537","4,294","3,125"
2021,12,0,850,196,15,15,25,89,118,50,207,135
2021,12,10,"1,445",354,37,18,34,160,230,99,309,204
2021,12,20,"1,920",431,64,29,40,224,232,122,426,352
2021,12,30,"1,532",340,36,20,45,158,229,70,273,361
2021,12,40,"2,775",555,99,37,77,337,414,192,558,506
2021,12,50,"4,192",822,200,78,183,520,611,349,835,594
2021,12,60,"4,961",935,252,144,292,676,716,395,979,572
2021,12,70,"2,301",449,122,62,131,303,311,162,485,276
2021,12,80,"1,040",203,39,41,47,161,134,90,210,115
2021,12,90,73,16,2,1,3,13,9,8,11,10
2021,12,100,2,1,0,0,0,0,0,0,1,0
