년도,월,나이,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020,3,90,"3,155",633,129,87,182,109,126,314,107,123,263,162,123,214,89,110,107,114,146,141,111,114,149,135
2020,3,100,153,40,6,6,15,8,5,21,8,6,23,5,5,9,2,3,2,4,1,4,1,7,8,4
2020,4,총,"1,688,178","527,820","133,498","111,389","87,317","96,996","98,620","172,050","65,470","56,119","274,576","51,541","129,950","176,363","13,173","32,912","30,770","26,053","20,795","22,788","17,276","18,986","30,067","21,469"
2020,4,0,"144,164","44,728","11,374","8,931","6,667","7,273","10,483","15,176","5,236","4,422","26,139","2,975","14,506","18,362",579,"2,218","1,816","1,421",884,"1,063",782,973,"2,018",866
2020,4,10,"172,578","53,440","12,725","12,707","7,266","9,858","10,884","18,949","6,739","5,382","32,587","4,243","14,785","17,557",851,"3,237","2,265","2,235","1,643","1,605","1,143","1,556","3,019","1,342"
2020,4,20,"212,272","73,448","20,204","18,457","10,672","12,574","11,541","24,764","6,341","6,497","37,463","5,369","13,871","22,014","1,160","3,273","2,934","2,365","1,967","2,213","1,459","1,857","3,458","1,819"
2020,4,30,"216,549","72,733","18,803","16,132","11,104","11,982","14,712","21,456","7,734","6,605","36,965","4,831","20,775","26,230",996,"3,098","2,976","2,298","1,360","1,645","1,244","1,412","2,658","1,533"
2020,4,40,"279,024","85,910","20,832","17,571","13,466","15,609","18,432","27,349","11,731","9,542","49,440","6,995","25,951","30,691","1,720","5,214","4,053","3,706","2,559","2,986","2,016","2,476","4,129","2,556"
2020,4,50,"297,854","93,506","25,077","21,666","14,762","17,492","14,509","28,474","11,631","9,732","49,323","9,714","20,529","29,440","2,581","6,251","5,941","4,989","3,953","4,694","3,580","3,722","5,442","4,352"
2020,4,60,"218,853","66,932","16,521","11,887","13,793","13,770","10,961","20,929","9,591","7,606","27,917","9,809","13,008","19,922","2,693","5,460","5,808","4,684","3,908","4,390","3,598","3,466","4,753","4,379"
2020,4,70,"106,000","28,185","6,118","3,137","7,184","6,545","5,201","10,987","4,935","4,488","11,060","5,355","4,932","9,060","1,648","2,884","3,406","2,976","2,938","2,725","2,290","2,267","2,935","2,929"
2020,4,80,"37,566","8,265","1,712",808,"2,204","1,778","1,763","3,633","1,412","1,715","3,396","2,084","1,465","2,863",852,"1,165","1,462","1,262","1,434","1,320","1,055","1,135","1,494","1,554"
2020,4,90,"3,164",633,126,87,184,107,129,312,112,124,263,161,123,215,91,109,107,113,148,143,107,115,153,135
2020,4,100,154,40,6,6,15,8,5,21,8,6,23,5,5,9,2,3,2,4,1,4,2,7,8,4
2020,5,총,"1,687,289","527,377","133,709","111,068","87,221","96,813","98,566","172,037","65,363","56,099","274,740","51,488","129,761","176,340","13,180","32,826","30,755","26,048","20,747","22,723","17,246","18,973","30,135","21,451"
2020,5,0,"143,574","44,533","11,363","8,865","6,614","7,231","10,460","15,114","5,203","4,420","26,104","2,964","14,434","18,280",577,"2,194","1,802","1,407",875,"1,057",776,972,"2,000",862
2020,5,10,"171,960","53,229","12,697","12,613","7,235","9,811","10,873","18,894","6,712","5,364","32,422","4,224","14,713","17,537",850,"3,213","2,262","2,240","1,614","1,597","1,142","1,552","3,068","1,327"
2020,5,20,"212,058","73,297","20,220","18,379","10,669","12,506","11,523","24,744","6,318","6,479","37,545","5,342","13,882","21,988","1,165","3,252","2,920","2,369","1,970","2,181","1,444","1,840","3,503","1,819"
2020,5,30,"215,883","72,551","18,850","16,089","11,033","11,950","14,629","21,489","7,673","6,579","36,918","4,813","20,614","26,164",984,"3,066","2,961","2,287","1,338","1,629","1,235","1,414","2,647","1,521"
2020,5,40,"278,340","85,735","20,818","17,470","13,451","15,554","18,442","27,263","11,707","9,532","49,373","6,973","25,933","30,646","1,708","5,182","4,016","3,688","2,542","2,945","2,009","2,460","4,101","2,527"
2020,5,50,"297,968","93,532","25,136","21,620","14,766","17,476","14,534","28,480","11,630","9,734","49,401","9,684","20,572","29,471","2,569","6,242","5,929","4,997","3,950","4,691","3,579","3,713","5,447","4,347"
2020,5,60,"219,855","67,146","16,624","11,964","13,793","13,797","10,968","21,030","9,607","7,610","28,127","9,866","13,053","20,024","2,729","5,494","5,859","4,695","3,910","4,417","3,602","3,492","4,784","4,410"
2020,5,70,"106,545","28,368","6,148","3,174","7,239","6,575","5,232","11,038","4,978","4,530","11,121","5,372","4,967","9,121","1,649","2,878","3,433","2,983","2,954","2,738","2,285","2,269","2,921","2,940"
2020,5,80,"37,787","8,305","1,721",803,"2,217","1,793","1,771","3,656","1,415","1,722","3,443","2,085","1,466","2,882",854,"1,191","1,465","1,265","1,450","1,322","1,063","1,140","1,505","1,558"
2020,5,90,"3,163",640,126,85,188,112,129,308,112,123,263,160,122,218,93,111,106,113,143,142,109,114,150,136
2020,5,100,156,41,6,6,16,8,5,21,8,6,23,5,5,9,2,3,2,4,1,4,2,7,9,4
2020,6,총,"1,686,331","527,035","133,960","110,851","87,093","96,577","98,554","172,027","65,214","56,072","274,583","51,496","129,682","176,445","13,191","32,793","30,708","26,011","20,733","22,637","17,236","18,943","30,123","21,402"
2020,6,0,"142,949","44,370","11,375","8,831","6,579","7,183","10,402","15,069","5,158","4,396","25,996","2,963","14,349","18,236",581,"2,180","1,790","1,391",865,"1,043",761,959,"1,985",857
2020,6,10,"171,651","53,034","12,652","12,548","7,215","9,757","10,862","18,816","6,709","5,351","32,344","4,208","14,716","17,632",847,"3,213","2,265","2,254","1,602","1,577","1,153","1,552","3,058","1,320"
2020,6,20,"211,521","73,132","20,242","18,310","10,598","12,474","11,508","24,706","6,292","6,488","37,426","5,314","13,854","21,918","1,167","3,241","2,904","2,353","1,982","2,160","1,441","1,821","3,523","1,799"
2020,6,30,"215,095","72,424","18,916","16,045","10,982","11,888","14,593","21,510","7,581","6,527","36,828","4,803","20,467","26,067",967,"3,014","2,924","2,263","1,329","1,617","1,222","1,414","2,631","1,507"
2020,6,40,"278,217","85,693","20,857","17,441","13,469","15,466","18,460","27,249","11,684","9,508","49,366","6,962","25,954","30,681","1,712","5,192","4,011","3,680","2,536","2,921","1,994","2,463","4,095","2,516"
2020,6,50,"297,444","93,274","25,088","21,501","14,717","17,444","14,524","28,476","11,616","9,747","49,341","9,641","20,612","29,441","2,561","6,227","5,898","4,989","3,949","4,653","3,576","3,684","5,436","4,323"
2020,6,60,"221,240","67,583","16,799","12,081","13,834","13,826","11,043","21,099","9,646","7,652","28,378","9,956","13,145","20,142","2,748","5,525","5,897","4,713","3,917","4,461","3,622","3,521","4,814","4,421"
2020,6,70,"107,021","28,495","6,163","3,191","7,281","6,611","5,249","11,104","4,983","4,560","11,170","5,394","4,994","9,197","1,654","2,890","3,442","2,985","2,964","2,743","2,298","2,266","2,923","2,959"
2020,6,80,"37,881","8,359","1,734",814,"2,221","1,807","1,783","3,673","1,423","1,717","3,448","2,087","1,462","2,899",860,"1,198","1,470","1,266","1,443","1,313","1,061","1,142","1,500","1,560"
2020,6,90,"3,152",630,128,83,181,113,125,304,114,120,263,162,123,222,92,110,105,113,145,145,106,114,149,135
2020,6,100,160,41,6,6,16,8,5,21,8,6,23,6,6,10,2,3,2,4,1,4,2,7,9,5
2020,7,총,"1,685,427","526,732","134,031","110,694","87,011","96,379","98,617","171,907","65,125","56,194","274,482","51,484","129,586","176,482","13,154","32,748","30,641","25,971","20,711","22,621","17,216","18,927","30,078","21,368"
2020,7,0,"142,316","44,200","11,344","8,814","6,550","7,144","10,348","15,008","5,107","4,415","25,873","2,939","14,293","18,189",570,"2,160","1,763","1,370",853,"1,039",746,947,"1,982",862
2020,7,10,"171,277","52,891","12,596","12,476","7,203","9,723","10,893","18,759","6,711","5,339","32,262","4,198","14,712","17,633",845,"3,197","2,272","2,251","1,587","1,571","1,157","1,555","3,037","1,300"
2020,7,20,"211,161","72,943","20,209","18,255","10,567","12,413","11,499","24,700","6,283","6,498","37,470","5,308","13,802","21,876","1,165","3,219","2,889","2,347","1,991","2,146","1,422","1,807","3,508","1,787"
2020,7,30,"214,141","72,196","18,965","15,981","10,893","11,814","14,543","21,469","7,504","6,529","36,606","4,784","20,336","25,955",957,"3,003","2,903","2,244","1,314","1,606","1,224","1,402","2,624","1,485"
2020,7,40,"278,104","85,712","20,842","17,414","13,476","15,444","18,536","27,200","11,674","9,538","49,332","6,959","25,946","30,727","1,710","5,169","3,997","3,669","2,533","2,903","1,978","2,462","4,078","2,517"
2020,7,50,"297,364","93,186","25,102","21,466","14,701","17,412","14,505","28,458","11,578","9,736","49,394","9,627","20,636","29,468","2,545","6,242","5,857","4,997","3,953","4,661","3,576","3,686","5,448","4,316"
2020,7,60,"222,280","67,891","16,885","12,179","13,862","13,853","11,112","21,158","9,718","7,719","28,564","9,990","13,246","20,227","2,758","5,537","5,919","4,723","3,926","4,468","3,639","3,540","4,820","4,437"
2020,7,70,"107,422","28,634","6,212","3,203","7,328","6,638","5,253","11,149","4,994","4,565","11,222","5,417","5,017","9,254","1,651","2,904","3,458","2,984","2,963","2,755","2,307","2,261","2,924","2,963"
2020,7,80,"38,046","8,412","1,740",818,"2,235","1,821","1,798","3,681","1,432","1,726","3,470","2,092","1,468","2,925",861,"1,202","1,475","1,269","1,444","1,325","1,056","1,146","1,502","1,560"
2020,7,90,"3,153",626,130,82,180,109,125,303,116,122,266,163,123,218,90,112,106,113,146,143,109,114,146,137
2020,7,100,163,41,6,6,16,8,5,22,8,7,23,7,7,10,2,3,2,4,1,4,2,7,9,4
2020,8,총,"1,684,134","526,309","134,043","110,519","87,023","96,161","98,563","171,852","64,957","56,204","274,363","51,453","129,473","176,488","13,153","32,707","30,605","25,895","20,687","22,558","17,203","18,905","30,013","21,309"
2020,8,0,"141,613","44,001","11,302","8,734","6,548","7,109","10,308","14,979","5,063","4,397","25,706","2,931","14,194","18,098",574,"2,143","1,756","1,366",848,"1,039",744,942,"1,971",861
2020,8,10,"170,840","52,759","12,572","12,433","7,179","9,699","10,876","18,692","6,678","5,324","32,191","4,182","14,731","17,667",832,"3,200","2,263","2,217","1,561","1,546","1,149","1,554","3,015","1,279"
2020,8,20,"210,757","72,785","20,199","18,198","10,543","12,347","11,498","24,704","6,258","6,489","37,460","5,283","13,784","21,804","1,158","3,211","2,871","2,342","2,005","2,138","1,419","1,788","3,478","1,780"
2020,8,30,"213,188","71,926","18,946","15,946","10,895","11,691","14,448","21,409","7,443","6,520","36,486","4,783","20,147","25,860",954,"2,974","2,879","2,215","1,307","1,590","1,200","1,399","2,623","1,473"
2020,8,40,"277,686","85,649","20,827","17,403","13,484","15,432","18,503","27,162","11,626","9,532","49,200","6,930","25,985","30,754","1,700","5,141","3,982","3,649","2,510","2,875","1,992","2,453","4,039","2,507"
2020,8,50,"297,180","92,976","25,069","21,387","14,652","17,356","14,512","28,480","11,546","9,737","49,521","9,595","20,633","29,478","2,545","6,225","5,861","4,989","3,931","4,659","3,567","3,694","5,471","4,272"
2020,8,60,"223,810","68,403","17,028","12,285","13,942","13,920","11,228","21,249","9,800","7,778","28,783","10,047","13,366","20,370","2,777","5,578","5,931","4,748","3,981","4,496","3,653","3,554","4,832","4,464"
2020,8,70,"107,545","28,691","6,225","3,225","7,326","6,660","5,255","11,147","4,983","4,563","11,246","5,437","5,018","9,291","1,649","2,917","3,479","2,979","2,948","2,740","2,306","2,256","2,920","2,975"
2020,8,80,"38,179","8,446","1,736",818,"2,255","1,830","1,807","3,709","1,431","1,733","3,477","2,092","1,483","2,939",873,"1,204","1,472","1,272","1,447","1,326","1,059","1,143","1,509","1,564"
2020,8,90,"3,171",632,133,84,183,109,123,299,121,123,270,166,124,217,89,111,109,114,148,145,112,115,146,130
2020,8,100,165,41,6,6,16,8,5,22,8,8,23,7,8,10,2,3,2,4,1,4,2,7,9,4
2020,9,총,"1,683,263","526,005","133,962","110,319","87,047","96,105","98,572","171,950","64,870","56,183","274,295","51,425","129,325","176,549","13,129","32,687","30,533","25,847","20,641","22,512","17,179","18,879","29,993","21,261"
2020,9,0,"140,778","43,787","11,245","8,674","6,546","7,067","10,255","14,905","5,021","4,365","25,557","2,898","14,119","18,004",569,"2,129","1,733","1,358",837,"1,020",736,929,"1,954",857
2020,9,10,"170,537","52,602","12,535","12,365","7,176","9,649","10,877","18,683","6,679","5,327","32,139","4,166","14,729","17,645",829,"3,197","2,238","2,213","1,557","1,547","1,138","1,557","3,023","1,268"
2020,9,20,"210,474","72,717","20,195","18,186","10,494","12,324","11,518","24,695","6,241","6,462","37,414","5,291","13,738","21,832","1,146","3,197","2,853","2,325","1,999","2,108","1,406","1,787","3,485","1,778"
2020,9,30,"212,123","71,695","18,876","15,858","10,908","11,679","14,374","21,426","7,374","6,499","36,306","4,776","19,932","25,709",931,"2,939","2,853","2,181","1,299","1,572","1,188","1,387","2,596","1,460"
2020,9,40,"277,115","85,470","20,787","17,341","13,458","15,405","18,479","27,130","11,602","9,524","49,133","6,891","25,961","30,741","1,691","5,139","3,968","3,621","2,485","2,849","1,987","2,437","4,005","2,481"
2020,9,50,"297,280","92,883","25,023","21,332","14,643","17,336","14,549","28,505","11,548","9,736","49,576","9,574","20,713","29,547","2,558","6,219","5,860","4,999","3,917","4,664","3,554","3,690","5,478","4,259"
2020,9,60,"225,508","68,899","17,166","12,419","14,010","14,002","11,302","21,400","9,858","7,839","29,061","10,135","13,482","20,533","2,791","5,621","5,950","4,776","4,016","4,533","3,682","3,575","4,870","4,487"
2020,9,70,"107,673","28,773","6,255","3,231","7,336","6,677","5,274","11,147","4,976","4,551","11,307","5,427","5,040","9,334","1,651","2,922","3,482","2,975","2,922","2,744","2,311","2,239","2,913","2,959"
2020,9,80,"38,407","8,505","1,742",826,"2,276","1,847","1,814","3,738","1,440","1,748","3,511","2,090","1,481","2,972",871,"1,210","1,484","1,277","1,460","1,323","1,063","1,151","1,508","1,575"
2020,9,90,"3,200",633,132,81,184,111,125,299,123,124,267,170,122,221,90,111,110,118,148,148,112,120,151,133
2020,9,100,168,41,6,6,16,8,5,22,8,8,24,7,8,11,2,3,2,4,1,4,2,7,10,4
2020,10,총,"1,682,733","525,799","133,919","110,135","86,988","96,164","98,593","172,010","64,774","56,105","274,251","51,422","129,230","176,551","13,157","32,635","30,574","25,799","20,646","22,488","17,159","18,871","30,006","21,256"
2020,10,0,"139,714","43,490","11,174","8,603","6,524","7,026","10,163","14,816","4,940","4,329","25,364","2,885","14,023","17,873",570,"2,098","1,722","1,343",834,997,724,919,"1,944",843
2020,10,10,"170,311","52,470","12,510","12,291","7,134","9,627","10,908","18,661","6,677","5,313","32,094","4,157","14,683","17,664",831,"3,181","2,238","2,223","1,567","1,553","1,126","1,559","3,022","1,292"
2020,10,20,"210,724","72,761","20,177","18,177","10,490","12,365","11,552","24,751","6,258","6,440","37,479","5,300","13,784","21,843","1,153","3,210","2,850","2,322","1,991","2,112","1,405","1,790","3,501","1,774"
2020,10,30,"210,767","71,345","18,808","15,788","10,841","11,642","14,266","21,361","7,272","6,455","36,090","4,742","19,714","25,521",930,"2,912","2,851","2,152","1,287","1,558","1,179","1,372","2,594","1,432"
2020,10,40,"276,787","85,384","20,760","17,292","13,430","15,409","18,493","27,111","11,575","9,495","49,055","6,892","25,940","30,818","1,677","5,125","3,970","3,579","2,484","2,817","1,984","2,423","3,984","2,474"
2020,10,50,"297,544","92,887","25,012","21,274","14,659","17,326","14,616","28,533","11,578","9,747","49,688","9,548","20,829","29,565","2,577","6,215","5,832","4,991","3,920","4,652","3,542","3,696","5,480","4,264"
2020,10,60,"226,982","69,350","17,296","12,545","14,041","14,112","11,356","21,552","9,913","7,877","29,277","10,193","13,570","20,645","2,802","5,652","6,027","4,812","4,040","4,572","3,708","3,587","4,899","4,506"
2020,10,70,"107,961","28,880","6,292","3,243","7,374","6,689","5,282","11,155","4,981","4,555","11,372","5,439","5,067","9,385","1,653","2,922","3,495","2,973","2,914","2,752","2,306","2,243","2,908","2,961"
2020,10,80,"38,552","8,546","1,750",835,"2,284","1,849","1,828","3,748","1,449","1,760","3,540","2,089","1,487","3,003",871,"1,206","1,477","1,280","1,460","1,323","1,070","1,160","1,509","1,574"
2020,10,90,"3,220",644,134,81,194,111,124,301,123,125,267,170,125,223,91,110,110,120,148,148,113,115,155,132
2020,10,100,171,42,6,6,17,8,5,21,8,9,25,7,8,11,2,4,2,4,1,4,2,7,10,4
2020,11,총,"1,681,719","525,467","133,706","109,935","87,002","96,186","98,638","171,968","64,656","56,068","274,299","51,374","129,085","176,428","13,146","32,576","30,495","25,795","20,757","22,422","17,137","18,849","29,987","21,210"
2020,11,0,"138,815","43,250","11,091","8,553","6,517","7,000","10,089","14,766","4,886","4,276","25,247","2,863","13,925","17,759",563,"2,070","1,690","1,315",837,971,713,908,"1,940",836
2020,11,10,"169,920","52,310","12,478","12,215","7,108","9,601","10,908","18,590","6,673","5,308","32,013","4,140","14,676","17,620",831,"3,177","2,229","2,264","1,599","1,542","1,111","1,549","2,998","1,290"
2020,11,20,"210,604","72,564","20,069","18,107","10,485","12,350","11,553","24,777","6,254","6,435","37,579","5,288","13,776","21,810","1,153","3,210","2,859","2,314","2,033","2,097","1,412","1,780","3,511","1,752"
2020,11,30,"209,653","71,104","18,724","15,757","10,794","11,635","14,194","21,312","7,206","6,401","35,961","4,710","19,492","25,352",924,"2,886","2,799","2,138","1,290","1,549","1,153","1,369","2,587","1,420"
2020,11,40,"276,528","85,308","20,728","17,235","13,427","15,393","18,525","27,034","11,545","9,507","48,990","6,889","25,968","30,851","1,665","5,114","3,959","3,571","2,489","2,804","1,988","2,415","3,974","2,457"
2020,11,50,"297,450","92,763","24,938","21,211","14,675","17,274","14,665","28,544","11,547","9,773","49,793","9,508","20,880","29,584","2,568","6,180","5,818","4,988","3,921","4,619","3,539","3,696","5,484","4,245"
2020,11,60,"228,418","69,891","17,446","12,680","14,110","14,230","11,425","21,675","9,967","7,915","29,476","10,239","13,652","20,787","2,818","5,679","6,047","4,830","4,047","4,606","3,724","3,604","4,911","4,550"
2020,11,70,"108,200","28,981","6,337","3,248","7,368","6,718","5,310","11,169","4,989","4,553","11,391","5,463","5,097","9,415","1,659","2,939","3,504","2,957","2,924","2,759","2,313","2,245","2,899","2,943"
2020,11,80,"38,722","8,612","1,754",844,"2,308","1,867","1,839","3,778","1,459","1,765","3,550","2,095","1,485","3,011",875,"1,207","1,477","1,293","1,468","1,320","1,071","1,159","1,516","1,581"
2020,11,90,"3,233",642,135,79,193,110,125,302,122,126,274,170,125,228,88,110,111,121,147,151,111,116,157,132
2020,11,100,176,42,6,6,17,8,5,21,8,9,25,9,9,11,2,4,2,4,2,4,2,8,10,4
2020,12,총,"1,681,423","525,278","133,544","109,642","87,418","95,938","98,736","172,107","64,502","56,010","274,313","51,356","128,978","176,641","13,140","32,561","30,452","25,760","20,707","22,364","17,110","18,853","30,082","21,209"
2020,12,0,"138,139","43,093","11,042","8,491","6,578","6,921","10,061","14,731","4,854","4,231","25,138","2,856","13,823","17,680",548,"2,047","1,670","1,301",841,954,697,903,"1,940",832
2020,12,10,"169,631","52,239","12,470","12,184","7,142","9,564","10,879","18,597","6,661","5,300","31,857","4,117","14,651","17,598",819,"3,160","2,220","2,269","1,570","1,546","1,119","1,551","3,072","1,285"
2020,12,20,"210,511","72,430","19,970","18,024","10,502","12,338","11,596","24,825","6,228","6,423","37,641","5,296","13,758","21,869","1,167","3,221","2,837","2,293","2,040","2,064","1,402","1,759","3,502","1,756"
2020,12,30,"208,912","70,891","18,688","15,661","10,859","11,521","14,162","21,267","7,121","6,389","35,869","4,701","19,352","25,291",925,"2,864","2,780","2,125","1,279","1,554","1,142","1,366","2,578","1,418"
2020,12,40,"276,112","85,182","20,696","17,160","13,458","15,337","18,531","27,057","11,506","9,454","48,948","6,860","25,962","30,869","1,647","5,083","3,962","3,551","2,472","2,783","1,953","2,406","3,974","2,443"
2020,12,50,"297,249","92,635","24,862","21,155","14,688","17,217","14,713","28,467","11,528","9,786","49,810","9,481","20,931","29,635","2,577","6,185","5,803","4,976","3,910","4,597","3,523","3,691","5,484","4,230"
2020,12,60,"230,016","70,363","17,576","12,752","14,239","14,302","11,494","21,861","9,999","7,965","29,715","10,273","13,742","20,958","2,834","5,721","6,090","4,860","4,071","4,635","3,765","3,630","4,953","4,581"
2020,12,70,"108,436","29,069","6,337","3,282","7,405","6,726","5,319","11,166","5,007","4,544","11,449","5,485","5,126","9,468","1,647","2,951","3,499","2,961","2,905","2,756","2,322","2,259","2,886","2,936"
2020,12,80,"38,987","8,682","1,762",848,"2,331","1,891","1,850","3,817","1,472","1,781","3,584","2,107","1,494","3,030",884,"1,216","1,482","1,302","1,469","1,316","1,076","1,165","1,522","1,588"
2020,12,90,"3,253",651,135,79,199,112,126,299,118,128,276,171,130,232,90,109,107,118,148,155,109,115,161,136
2020,12,100,177,43,6,6,17,9,5,20,8,9,26,9,9,11,2,4,2,4,2,4,2,8,10,4
2021,1,총,"1,680,383","524,947","133,265","109,349","87,863","95,637","98,833","172,072","64,398","55,985","274,253","51,291","128,819","176,705","13,146","32,487","30,468","25,763","20,661","22,299","17,085","18,809","30,058","21,137"
2021,1,0,"137,066","42,817","10,939","8,403","6,636","6,862","9,977","14,603","4,811","4,197","24,925","2,841","13,701","17,558",543,"2,010","1,661","1,285",835,939,696,890,"1,929",825
2021,1,10,"169,474","52,047","12,414","12,102","7,160","9,488","10,883","18,623","6,641","5,301","31,805","4,100","14,645","17,653",803,"3,188","2,276","2,280","1,568","1,541","1,103","1,546","3,086","1,268"
2021,1,20,"209,823","72,229","19,857","17,935","10,527","12,279","11,631","24,779","6,233","6,419","37,564","5,257","13,708","21,773","1,155","3,196","2,798","2,284","2,010","2,048","1,399","1,750","3,474","1,747"
2021,1,30,"207,891","70,601","18,573","15,611","10,946","11,420","14,051","21,255","7,026","6,363","35,718","4,689","19,173","25,147",921,"2,820","2,797","2,104","1,271","1,524","1,142","1,361","2,569","1,410"
2021,1,40,"275,701","85,178","20,670","17,084","13,535","15,270","18,619","26,996","11,500","9,414","48,859","6,830","25,944","30,912","1,651","5,063","3,926","3,518","2,458","2,763","1,932","2,386","3,953","2,418"
2021,1,50,"296,962","92,504","24,792","21,078","14,739","17,154","14,741","28,422","11,489","9,781","49,892","9,467","20,978","29,610","2,567","6,159","5,790","4,977","3,899","4,581","3,512","3,668","5,469","4,197"
2021,1,60,"231,794","70,849","17,720","12,879","14,296","14,373","11,581","22,026","10,053","8,020","30,069","10,294","13,869","21,212","2,875","5,755","6,109","4,904","4,078","4,660","3,791","3,644","4,979","4,607"
2021,1,70,"108,848","29,208","6,366","3,316","7,434","6,748","5,344","11,194","5,038","4,555","11,506","5,516","5,144","9,519","1,642","2,958","3,508","2,977","2,921","2,758","2,317","2,272","2,889","2,926"
2021,1,80,"39,359","8,821","1,790",859,"2,375","1,924","1,873","3,849","1,478","1,801","3,610","2,111","1,515","3,073",893,"1,225","1,496","1,313","1,468","1,323","1,083","1,165","1,536","1,599"
2021,1,90,"3,288",650,138,76,198,110,128,305,121,125,279,177,133,237,94,109,105,117,151,158,108,119,164,136
2021,1,100,177,43,6,6,17,9,5,20,8,9,26,9,9,11,2,4,2,4,2,4,2,8,10,4
2021,2,총,"1,679,295","524,688","133,019","109,060","88,555","95,265","98,789","171,924","64,198","55,939","274,198","51,214","128,574","176,863","13,141","32,425","30,473","25,707","20,634","22,217","17,082","18,827","30,100","21,091"
2021,2,0,"136,256","42,610","10,852","8,316","6,785","6,748","9,909","14,533","4,749","4,170","24,799","2,818","13,564","17,498",541,"1,993","1,649","1,269",836,926,684,884,"1,918",815
2021,2,10,"169,087","51,880","12,386","12,017","7,203","9,418","10,856","18,547","6,594","5,270","31,719","4,081","14,602","17,689",798,"3,187","2,301","2,265","1,563","1,535","1,108","1,568","3,116","1,264"
2021,2,20,"208,823","71,920","19,701","17,861","10,551","12,182","11,625","24,680","6,196","6,371","37,501","5,212","13,623","21,683","1,140","3,154","2,774","2,268","1,989","2,015","1,386","1,736","3,465","1,710"
2021,2,30,"206,711","70,425","18,561","15,558","11,059","11,303","13,944","21,190","6,919","6,346","35,492","4,650","18,925","24,990",918,"2,794","2,799","2,067","1,257","1,510","1,125","1,351","2,553","1,400"
2021,2,40,"275,500","85,150","20,587","17,011","13,728","15,212","18,612","26,948","11,461","9,375","48,837","6,822","25,943","31,009","1,649","5,040","3,919","3,511","2,454","2,727","1,927","2,371","3,959","2,398"
2021,2,50,"297,063","92,431","24,720","21,024","14,749","17,115","14,823","28,432","11,485","9,789","49,980","9,422","21,075","29,698","2,560","6,157","5,796","4,970","3,907","4,574","3,503","3,662","5,449","4,173"
2021,2,60,"233,377","71,289","17,854","12,978","14,389","14,419","11,649","22,166","10,105","8,085","30,371","10,360","13,979","21,360","2,894","5,788","6,110","4,912","4,092","4,673","3,827","3,689","5,028","4,649"
