년도,월,나이,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021,6,총,"15,510","4,996","1,061","1,174","1,872",796,980,"1,155","1,354","1,098","1,024"
2021,6,0,610,317,26,38,68,25,19,34,37,25,21
2021,6,10,"1,055",491,55,45,145,51,53,49,61,50,55
2021,6,20,"1,478",693,80,91,210,49,65,61,93,73,63
2021,6,30,"1,120",460,56,65,157,36,64,59,85,71,67
2021,6,40,"1,779",659,96,137,227,78,110,135,121,112,104
2021,6,50,"2,799",870,187,240,331,176,178,209,262,161,185
2021,6,60,"3,297",784,262,283,371,190,243,276,332,282,274
2021,6,70,"2,049",477,167,170,223,106,152,196,209,193,156
2021,6,80,"1,198",218,122,96,120,76,85,127,145,116,93
2021,6,90,122,26,10,9,20,8,10,9,9,15,6
2021,6,100,3,1,0,0,0,1,1,0,0,0,0
2021,7,총,"15,488","4,990","1,060","1,169","1,869",795,982,"1,156","1,355","1,092","1,020"
2021,7,0,611,318,26,38,69,25,18,34,36,26,21
2021,7,10,"1,040",485,52,45,144,50,51,49,60,50,54
2021,7,20,"1,485",690,86,88,209,52,69,62,95,70,64
2021,7,30,"1,105",455,56,64,157,36,62,59,81,68,67
2021,7,40,"1,773",663,92,135,223,74,111,135,124,114,102
2021,7,50,"2,786",871,185,239,325,177,177,208,258,160,186
2021,7,60,"3,307",781,266,283,379,190,240,277,338,281,272
2021,7,70,"2,057",480,168,169,222,107,156,198,207,193,157
2021,7,80,"1,200",220,119,99,121,76,87,125,146,115,92
2021,7,90,121,26,10,9,20,7,10,9,10,15,5
2021,7,100,3,1,0,0,0,1,1,0,0,0,0
2021,8,총,"15,475","4,978","1,057","1,170","1,874",796,981,"1,150","1,356","1,096","1,017"
2021,8,0,614,319,26,38,69,24,19,34,38,27,20
2021,8,10,"1,037",479,53,43,147,52,51,47,62,50,53
2021,8,20,"1,476",687,83,89,208,52,67,62,95,71,62
2021,8,30,"1,100",451,56,63,155,36,62,59,80,71,67
2021,8,40,"1,755",655,92,134,223,72,110,132,122,113,102
2021,8,50,"2,780",870,184,236,326,179,175,205,258,161,186
2021,8,60,"3,323",785,267,289,379,190,242,279,338,281,273
2021,8,70,"2,064",485,167,171,224,107,157,197,208,193,155
2021,8,80,"1,200",220,119,99,123,76,87,125,145,113,93
2021,8,90,123,26,10,8,20,7,10,10,10,16,6
2021,8,100,3,1,0,0,0,1,1,0,0,0,0
2021,9,총,"15,434","4,965","1,055","1,165","1,860",795,978,"1,151","1,356","1,093","1,016"
2021,9,0,604,316,27,35,66,24,20,34,38,27,17
2021,9,10,"1,026",474,53,44,140,52,51,49,60,49,54
2021,9,20,"1,455",679,81,87,208,54,65,60,94,69,58
2021,9,30,"1,095",448,56,61,151,37,63,59,83,71,66
2021,9,40,"1,741",657,90,131,221,71,107,132,118,112,102
2021,9,50,"2,788",874,184,236,328,177,175,204,260,163,187
2021,9,60,"3,326",781,266,291,381,188,243,279,340,281,276
2021,9,70,"2,073",488,169,172,222,109,157,199,207,195,155
2021,9,80,"1,196",218,119,100,124,75,86,124,144,111,95
2021,9,90,126,28,10,8,19,7,10,11,12,15,6
2021,9,100,4,2,0,0,0,1,1,0,0,0,0
2021,10,총,"15,450","4,971","1,050","1,166","1,874",793,976,"1,152","1,355","1,096","1,017"
2021,10,0,603,317,23,34,68,24,20,35,38,26,18
2021,10,10,"1,024",475,53,44,140,51,51,50,60,49,51
2021,10,20,"1,461",672,81,88,216,54,64,58,95,73,60
2021,10,30,"1,093",453,54,60,155,38,62,57,80,67,67
2021,10,40,"1,732",651,90,131,218,71,107,135,117,112,100
2021,10,50,"2,796",883,184,233,330,175,174,205,262,164,186
2021,10,60,"3,328",780,267,297,378,190,242,278,340,280,276
2021,10,70,"2,081",492,166,169,227,109,159,199,207,195,158
2021,10,80,"1,202",219,123,102,122,74,86,125,143,113,95
2021,10,90,127,27,9,8,20,7,10,10,13,17,6
2021,10,100,3,2,0,0,0,0,1,0,0,0,0
2021,11,총,"15,430","4,979","1,048","1,168","1,862",792,974,"1,154","1,348","1,093","1,012"
2021,11,0,601,318,21,33,67,23,21,36,38,26,18
2021,11,10,"1,012",473,53,45,139,51,50,48,55,49,49
2021,11,20,"1,461",671,82,92,210,54,64,58,100,71,59
2021,11,30,"1,090",455,54,59,154,38,64,57,76,64,69
2021,11,40,"1,712",642,90,130,214,72,108,134,113,113,96
2021,11,50,"2,802",892,181,233,326,176,174,203,264,168,185
2021,11,60,"3,341",786,269,296,382,186,240,284,340,280,278
2021,11,70,"2,071",493,165,168,226,109,159,199,205,190,157
2021,11,80,"1,205",219,122,104,123,76,83,126,143,115,94
2021,11,90,132,28,11,8,21,7,10,9,14,17,7
2021,11,100,3,2,0,0,0,0,1,0,0,0,0
2021,12,총,"15,472","5,010","1,058","1,156","1,862",789,981,"1,159","1,348","1,092","1,017"
2021,12,0,604,316,23,34,65,24,26,39,37,22,18
2021,12,10,"1,017",474,53,45,145,49,51,47,56,50,47
2021,12,20,"1,486",693,85,88,208,54,65,61,98,74,60
2021,12,30,"1,090",459,56,56,150,38,66,56,75,66,68
2021,12,40,"1,711",638,91,130,213,70,103,137,115,113,101
2021,12,50,"2,797",892,174,235,327,170,179,201,261,171,187
2021,12,60,"3,367",803,278,291,386,190,240,283,344,276,276
2021,12,70,"2,059",487,165,169,225,111,159,199,203,185,156
2021,12,80,"1,204",217,122,101,122,77,81,126,143,118,97
2021,12,90,134,29,11,7,21,6,10,10,16,17,7
2021,12,100,3,2,0,0,0,0,1,0,0,0,0
