년도,월,나이,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020,6,총,"101,601","10,931","4,215","3,858","3,217","2,189","3,104","1,175","4,228","6,031","4,437","3,049","29,610","9,490","4,857","6,935","4,275"
2020,6,0,"5,818",401,101,108,72,68,70,17,132,271,77,85,"2,734",679,178,563,262
2020,6,10,"6,713",493,152,170,90,83,87,33,159,233,144,88,"2,998",918,283,573,209
2020,6,20,"10,285",965,334,239,184,109,186,69,267,"1,037",267,204,"3,560","1,241",502,701,420
2020,6,30,"9,495",807,298,229,184,97,162,51,238,473,255,194,"3,743","1,037",400,851,476
2020,6,40,"12,855","1,295",376,345,284,170,254,60,403,508,411,260,"4,884","1,455",565,"1,071",514
2020,6,50,"18,295","2,279",812,668,586,403,591,265,700,899,794,568,"5,223","1,670",913,"1,118",806
2020,6,60,"18,096","2,240",995,924,757,542,794,280,960,"1,108","1,071",815,"3,651","1,260",958,996,745
2020,6,70,"12,377","1,577",706,703,630,390,573,218,842,916,843,502,"1,773",799,680,709,516
2020,6,80,"6,868",795,385,426,385,291,341,160,468,528,511,296,947,386,342,325,282
2020,6,90,758,77,53,45,45,35,40,21,58,55,61,36,92,40,35,21,44
2020,6,100,41,2,3,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020,7,총,"101,515","10,928","4,209","3,849","3,198","2,185","3,109","1,166","4,234","5,968","4,451","3,052","29,584","9,535","4,846","6,927","4,274"
2020,7,0,"5,805",404,105,105,69,68,68,18,131,273,78,83,"2,708",686,182,565,262
