년도,월,나이,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 장전제3동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020,11,80,"3,142",114,134,205,120,149,227,200,190,186,306,,53,214,417,205,408,14
2020,11,90,281,5,10,11,11,17,22,20,10,15,34,,7,27,33,12,44,3
2020,11,100,42,1,4,0,1,2,1,2,0,2,23,,1,0,1,1,2,1
2020,12,총,"113,595","3,009","4,892","5,743","4,353","4,150","8,089","7,728","6,369","9,186","13,138",,"1,272","4,941","14,531","9,469","16,194",531
2020,12,0,"6,663",55,169,184,154,164,475,590,269,427,"1,390",,42,267,633,694,"1,116",34
2020,12,10,"9,137",152,242,281,195,227,753,680,458,597,"1,354",,59,371,"1,069",942,"1,694",63
2020,12,20,"17,914",316,636,692,468,499,"1,283","1,189",840,"3,229","1,781",,121,634,"2,507","1,356","2,314",49
2020,12,30,"13,129",306,522,634,471,443,913,"1,003",784,"1,114","1,781",,126,496,"1,676","1,117","1,709",34
2020,12,40,"16,018",450,658,761,605,624,"1,143","1,082",908,"1,127","2,323",,125,605,"1,832","1,403","2,285",87
2020,12,50,"19,265",619,971,"1,158",829,698,"1,391","1,300","1,059","1,084","1,738",,270,854,"2,638","1,698","2,872",86
2020,12,60,"18,084",614,"1,031","1,172",974,799,"1,248","1,127","1,165",896,"1,501",,290,881,"2,403","1,359","2,512",112
2020,12,70,"9,883",373,513,637,521,530,633,528,683,505,906,,175,592,"1,322",683,"1,234",48
2020,12,80,"3,172",118,136,212,123,148,226,207,193,190,307,,56,213,416,203,410,14
2020,12,90,287,4,10,12,12,16,23,20,10,15,34,,7,28,34,13,46,3
2020,12,100,43,2,4,0,1,2,1,2,0,2,23,,1,0,1,1,2,1
2021,1,총,"113,238","2,982","4,859","5,730","4,338","4,111","8,080","7,707","6,331","9,121","13,124",,"1,286","4,926","14,471","9,497","16,146",529
2021,1,0,"6,625",55,171,180,152,162,472,585,262,433,"1,391",,44,265,635,686,"1,099",33
2021,1,10,"9,084",151,240,272,191,224,751,674,453,587,"1,354",,60,370,"1,049",954,"1,692",62
2021,1,20,"17,788",306,636,697,472,487,"1,282","1,175",832,"3,178","1,768",,120,635,"2,487","1,359","2,305",49
2021,1,30,"13,013",300,509,624,466,436,909,"1,007",771,"1,095","1,771",,133,490,"1,667","1,118","1,682",35
2021,1,40,"15,979",450,645,762,604,622,"1,139","1,076",909,"1,130","2,321",,125,603,"1,818","1,412","2,276",87
2021,1,50,"19,169",607,971,"1,151",820,688,"1,392","1,293","1,046","1,092","1,733",,271,851,"2,624","1,692","2,853",85
2021,1,60,"18,150",613,"1,029","1,180",976,802,"1,252","1,131","1,168",887,"1,509",,292,882,"2,411","1,373","2,533",112
2021,1,70,"9,888",374,506,634,518,525,628,535,686,510,911,,174,587,"1,319",687,"1,245",49
2021,1,80,"3,203",120,138,218,126,147,231,206,193,192,307,,59,214,426,202,411,13
2021,1,90,296,4,10,12,12,16,23,23,11,15,36,,7,29,34,13,48,3
2021,1,100,43,2,4,0,1,2,1,2,0,2,23,,1,0,1,1,2,1
2021,2,총,"113,219","2,956","4,824","5,738","4,326","4,109","8,062","7,713","6,312","9,243","13,145",,"1,282","4,932","14,419","9,480","16,149",529
2021,2,0,"6,621",54,165,184,150,160,466,574,258,430,"1,413",,45,267,632,691,"1,097",35
2021,2,10,"9,030",148,233,270,189,227,743,683,448,589,"1,344",,57,369,"1,037",949,"1,682",62
2021,2,20,"17,814",308,623,697,468,485,"1,287","1,172",822,"3,295","1,758",,121,622,"2,453","1,340","2,315",48
2021,2,30,"12,968",293,508,620,463,435,904,"1,005",759,"1,092","1,778",,130,500,"1,656","1,111","1,678",36
2021,2,40,"15,968",441,640,761,603,627,"1,132","1,083",921,"1,136","2,315",,129,598,"1,818","1,406","2,272",86
2021,2,50,"19,118",607,962,"1,146",814,685,"1,388","1,295","1,033","1,092","1,742",,263,852,"2,608","1,697","2,850",84
2021,2,60,"18,219",610,"1,027","1,191",977,799,"1,260","1,132","1,173",893,"1,514",,299,886,"2,421","1,382","2,543",112
2021,2,70,"9,891",366,515,638,519,524,624,533,695,505,915,,170,589,"1,324",678,"1,247",49
2021,2,80,"3,253",123,137,218,130,148,233,212,193,195,308,,60,221,436,212,414,13
2021,2,90,295,4,10,13,12,17,24,22,10,14,36,,7,28,33,13,49,3
2021,2,100,42,2,4,0,1,2,1,2,0,2,22,,1,0,1,1,2,1
2021,3,총,"112,741","2,903","4,766","5,707","4,285","4,076","8,031","7,696","6,280","9,346","13,078",,"1,268","4,864","14,351","9,469","16,102",519
2021,3,0,"6,577",53,162,186,149,157,463,573,259,421,"1,404",,47,265,621,689,"1,094",34
2021,3,10,"9,037",146,238,266,186,225,741,689,443,618,"1,356",,57,363,"1,036",942,"1,669",62
2021,3,20,"17,790",304,618,698,458,487,"1,278","1,159",811,"3,385","1,749",,117,608,"2,442","1,323","2,306",47
2021,3,30,"12,891",286,506,617,459,424,898,"1,000",767,"1,100","1,758",,131,486,"1,641","1,108","1,673",37
2021,3,40,"15,865",438,637,752,590,616,"1,127","1,085",908,"1,135","2,320",,129,585,"1,801","1,413","2,247",82
2021,3,50,"18,936",585,941,"1,140",807,686,"1,372","1,285","1,031","1,083","1,729",,254,844,"2,584","1,683","2,830",82
2021,3,60,"18,246",615,"1,017","1,183",987,791,"1,264","1,140","1,170",880,"1,508",,301,885,"2,431","1,399","2,563",112
2021,3,70,"9,870",353,506,637,515,526,628,532,691,513,913,,167,586,"1,314",688,"1,254",47
2021,3,80,"3,254",118,134,220,126,148,236,213,190,197,313,,58,216,447,212,414,12
2021,3,90,266,3,7,8,7,16,24,19,10,14,27,,6,26,33,12,51,3
2021,3,100,9,2,0,0,1,0,0,1,0,0,1,,1,0,1,0,1,1
2021,4,총,"112,515","2,874","4,730","5,702","4,280","4,076","8,028","7,693","6,258","9,287","13,059",,"1,268","4,854","14,310","9,456","16,125",515
2021,4,0,"6,549",55,163,184,152,156,464,572,257,416,"1,391",,42,266,609,690,"1,098",34
2021,4,10,"8,972",145,235,268,183,217,735,681,434,608,"1,359",,58,362,"1,026",940,"1,660",61
2021,4,20,"17,747",298,605,693,456,487,"1,276","1,172",820,"3,355","1,746",,118,605,"2,432","1,324","2,313",47
2021,4,30,"12,846",283,503,622,459,430,898,"1,008",751,"1,090","1,747",,131,479,"1,635","1,101","1,672",37
2021,4,40,"15,813",439,628,745,587,614,"1,127","1,069",904,"1,140","2,330",,134,580,"1,783","1,403","2,248",82
2021,4,50,"18,851",572,932,"1,130",802,683,"1,368","1,285","1,032","1,078","1,715",,250,848,"2,568","1,687","2,820",81
2021,4,60,"18,318",609,"1,017","1,191",990,799,"1,275","1,141","1,163",880,"1,519",,305,889,"2,447","1,402","2,582",109
2021,4,70,"9,870",349,507,639,519,518,627,537,696,510,914,,162,582,"1,319",684,"1,259",48
2021,4,80,"3,275",119,133,222,125,156,234,209,190,195,312,,62,218,456,212,420,12
2021,4,90,266,3,7,8,6,16,24,18,11,15,25,,6,25,34,13,52,3
2021,4,100,8,2,0,0,1,0,0,1,0,0,1,,0,0,1,0,1,1
2021,5,총,"112,308","2,857","4,701","5,698","4,260","4,062","7,984","7,699","6,258","9,314","13,075",,"1,259","4,838","14,272","9,447","16,070",514
2021,5,0,"6,487",52,159,180,147,159,458,572,259,416,"1,389",,41,264,597,681,"1,079",34
2021,5,10,"8,957",143,229,266,184,215,734,676,432,607,"1,362",,57,361,"1,021",952,"1,658",60
2021,5,20,"17,683",297,609,694,454,478,"1,259","1,171",824,"3,374","1,737",,117,607,"2,407","1,306","2,300",49
2021,5,30,"12,792",278,496,614,452,441,892,"1,006",745,"1,094","1,750",,130,478,"1,615","1,096","1,668",37
2021,5,40,"15,749",432,616,740,581,607,"1,128","1,076",906,"1,131","2,328",,131,572,"1,777","1,409","2,236",79
2021,5,50,"18,832",572,927,"1,127",799,679,"1,354","1,293","1,035","1,084","1,715",,246,837,"2,592","1,682","2,810",80
2021,5,60,"18,369",609,"1,020","1,203",993,793,"1,266","1,146","1,164",883,"1,533",,309,888,"2,451","1,414","2,586",111
2021,5,70,"9,862",347,507,645,516,514,633,537,696,513,914,,159,586,"1,313",679,"1,255",48
2021,5,80,"3,307",122,131,221,127,160,236,202,187,197,321,,63,220,466,215,427,12
2021,5,90,261,3,7,8,6,15,24,19,10,15,25,,6,25,32,13,50,3
2021,5,100,9,2,0,0,1,1,0,1,0,0,1,,0,0,1,0,1,1
2021,6,총,"112,056","2,833","4,688","5,679","4,237","4,050","7,977","7,685","6,239","9,296","13,051",,"1,250","4,829","14,233","9,444","16,056",509
2021,6,0,"6,450",51,152,171,148,163,456,570,261,410,"1,387",,38,259,594,680,"1,077",33
2021,6,10,"8,910",140,235,268,179,213,723,671,430,600,"1,365",,56,360,"1,006",945,"1,658",61
2021,6,20,"17,602",295,607,693,453,470,"1,270","1,161",824,"3,360","1,719",,116,603,"2,393","1,308","2,283",47
2021,6,30,"12,772",279,492,616,450,442,890,"1,004",738,"1,106","1,747",,128,466,"1,607","1,101","1,670",36
2021,6,40,"15,707",424,609,733,571,598,"1,123","1,070",905,"1,134","2,325",,132,580,"1,784","1,411","2,231",77
2021,6,50,"18,750",558,926,"1,118",791,676,"1,353","1,299","1,025","1,083","1,712",,245,835,"2,573","1,663","2,813",80
2021,6,60,"18,421",610,"1,027","1,206",996,801,"1,264","1,148","1,161",888,"1,535",,311,888,"2,469","1,420","2,586",111
2021,6,70,"9,862",347,500,651,514,513,636,541,698,502,911,,157,590,"1,307",687,"1,259",49
2021,6,80,"3,309",124,132,216,128,158,236,200,187,198,325,,61,222,467,216,428,11
2021,6,90,264,3,8,7,6,15,26,20,10,15,24,,6,26,32,13,50,3
2021,6,100,9,2,0,0,1,1,0,1,0,0,1,,0,0,1,0,1,1
2021,7,총,"112,049","2,823","4,661","5,672","4,221","4,046","8,135","7,663","6,245","9,279","13,031",,"1,254","4,816","14,227","9,435","16,035",506
2021,7,0,"6,424",51,150,171,145,159,467,576,263,397,"1,384",,39,256,591,677,"1,068",30
2021,7,10,"8,887",137,233,262,176,214,737,662,430,599,"1,361",,56,361,996,938,"1,663",62
2021,7,20,"17,550",290,598,693,449,467,"1,291","1,154",827,"3,347","1,710",,115,599,"2,384","1,309","2,271",46
2021,7,30,"12,780",274,493,623,437,440,932,999,736,"1,103","1,744",,128,470,"1,604","1,094","1,668",35
2021,7,40,"15,693",420,601,731,574,597,"1,147","1,065",905,"1,135","2,305",,132,572,"1,779","1,421","2,232",77
2021,7,50,"18,740",555,917,"1,115",788,671,"1,374","1,294","1,026","1,077","1,732",,249,828,"2,579","1,652","2,802",81
2021,7,60,"18,462",616,"1,032","1,201",998,806,"1,273","1,148","1,159",894,"1,528",,311,889,"2,471","1,431","2,596",109
2021,7,70,"9,895",350,497,652,513,514,648,543,700,509,913,,156,595,"1,313",685,"1,256",51
2021,7,80,"3,342",125,132,217,134,162,240,202,189,203,330,,62,219,476,213,427,11
2021,7,90,267,3,8,7,6,15,26,19,10,15,23,,6,27,33,15,51,3
2021,7,100,9,2,0,0,1,1,0,1,0,0,1,,0,0,1,0,1,1
2021,8,총,"112,060","2,812","4,644","5,666","4,206","4,026","8,378","7,635","6,232","9,323","12,999",,"1,251","4,809","14,196","9,420","15,957",506
2021,8,0,"6,392",51,147,169,147,159,493,570,258,398,"1,366",,41,255,583,673,"1,053",29
2021,8,10,"8,879",139,229,260,175,212,766,656,428,604,"1,357",,55,364,986,934,"1,650",64
2021,8,20,"17,511",281,595,690,442,460,"1,316","1,138",824,"3,377","1,710",,115,593,"2,371","1,293","2,262",44
2021,8,30,"12,801",273,487,625,433,435,982,"1,002",737,"1,115","1,732",,128,471,"1,598","1,101","1,648",34
2021,8,40,"15,694",422,600,733,570,597,"1,197","1,062",905,"1,129","2,311",,134,567,"1,762","1,415","2,213",77
2021,8,50,"18,698",552,907,"1,106",790,666,"1,409","1,282","1,020","1,075","1,726",,245,829,"2,572","1,653","2,783",83
2021,8,60,"18,512",616,"1,038","1,211",997,804,"1,284","1,151","1,159",895,"1,534",,309,887,"2,487","1,431","2,601",108
