년도,월,나이,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021,7,80,"1,012",868,144
2021,7,90,135,113,22
2021,7,100,2,2,0
2021,8,총,"17,422","16,542",880
2021,8,0,"1,432","1,413",19
2021,8,10,"1,603","1,565",38
2021,8,20,"1,805","1,760",45
2021,8,30,"1,986","1,944",42
2021,8,40,"2,526","2,457",69
2021,8,50,"2,824","2,678",146
2021,8,60,"2,624","2,411",213
2021,8,70,"1,471","1,328",143
2021,8,80,"1,012",867,145
2021,8,90,137,117,20
2021,8,100,2,2,0
2021,9,총,"17,415","16,536",879
2021,9,0,"1,428","1,408",20
2021,9,10,"1,607","1,570",37
2021,9,20,"1,793","1,747",46
2021,9,30,"1,970","1,929",41
2021,9,40,"2,526","2,458",68
2021,9,50,"2,830","2,683",147
2021,9,60,"2,645","2,431",214
2021,9,70,"1,459","1,320",139
2021,9,80,"1,017",870,147
2021,9,90,138,118,20
2021,9,100,2,2,0
2021,10,총,"17,414","16,539",875
2021,10,0,"1,427","1,407",20
2021,10,10,"1,608","1,571",37
2021,10,20,"1,792","1,746",46
2021,10,30,"1,956","1,916",40
2021,10,40,"2,514","2,447",67
2021,10,50,"2,833","2,688",145
2021,10,60,"2,658","2,443",215
2021,10,70,"1,465","1,325",140
2021,10,80,"1,015",871,144
2021,10,90,144,123,21
2021,10,100,2,2,0
2021,11,총,"17,404","16,540",864
2021,11,0,"1,410","1,392",18
2021,11,10,"1,604","1,570",34
2021,11,20,"1,787","1,740",47
2021,11,30,"1,950","1,913",37
2021,11,40,"2,513","2,446",67
2021,11,50,"2,834","2,690",144
2021,11,60,"2,674","2,461",213
2021,11,70,"1,468","1,330",138
2021,11,80,"1,015",872,143
2021,11,90,147,124,23
2021,11,100,2,2,0
2021,12,총,"17,433","16,572",861
2021,12,0,"1,412","1,393",19
2021,12,10,"1,594","1,562",32
2021,12,20,"1,782","1,738",44
2021,12,30,"1,953","1,915",38
2021,12,40,"2,518","2,450",68
2021,12,50,"2,852","2,709",143
2021,12,60,"2,686","2,472",214
2021,12,70,"1,467","1,331",136
2021,12,80,"1,018",874,144
2021,12,90,148,126,22
2021,12,100,3,2,1
