년도,월,나이,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020,4,총,"48,383","3,252",704,,"1,890","1,495",490,"1,331","2,001",853,"1,026","1,308",891,358,"1,018","1,354",636,177,"1,337",554,201,"1,028",997,415,"6,129","4,708","3,705","4,001","1,878","4,646"
2020,4,0,"2,778",158,26,,50,59,15,55,40,27,28,47,30,10,35,71,18,4,48,8,4,14,33,15,504,396,290,277,115,401
2020,4,10,"4,170",238,31,,101,73,23,79,150,47,49,85,41,20,54,73,37,6,81,29,13,49,46,20,763,475,385,427,201,574
2020,4,20,"4,905",259,52,,142,104,33,97,135,48,74,104,63,21,72,102,42,13,73,28,10,73,58,21,754,583,426,468,209,841
2020,4,30,"4,210",271,46,,127,80,19,93,125,50,70,67,49,18,66,100,48,6,91,20,6,67,39,17,738,618,384,381,157,457
2020,4,40,"6,310",428,69,,224,156,44,143,201,87,88,147,105,43,110,144,63,19,179,59,17,119,116,49,875,710,568,571,295,681
2020,4,50,"9,040",602,148,,379,306,122,230,357,191,232,280,194,76,223,271,150,41,273,100,45,168,190,92,"1,030",821,678,818,331,692
2020,4,60,"8,658",649,143,,426,325,106,307,476,186,251,317,218,101,216,295,141,48,282,141,36,243,219,97,826,672,527,558,268,584
2020,4,70,"5,437",415,127,,281,248,68,197,335,134,152,168,113,45,159,174,84,28,198,110,37,195,182,67,466,302,303,349,214,286
2020,4,80,"2,627",214,57,,153,127,55,118,165,74,77,84,70,24,72,109,49,12,100,57,30,93,100,33,160,124,132,140,81,117
2020,4,90,238,16,5,,7,15,5,12,16,9,5,8,7,0,11,15,4,0,11,2,3,7,14,4,13,7,12,11,7,12
2020,4,100,10,2,0,,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,5,총,"48,286","3,244",697,,"1,889","1,498",489,"1,328","1,992",850,"1,020","1,302",886,357,"1,021","1,365",632,177,"1,333",547,198,"1,019",991,410,"6,134","4,699","3,722","3,996","1,861","4,629"
2020,5,0,"2,778",162,27,,51,61,15,57,38,26,28,46,29,11,36,70,18,4,45,9,2,14,33,15,503,394,290,279,111,404
2020,5,10,"4,132",237,31,,101,73,22,77,150,46,48,85,41,19,55,73,37,6,82,28,13,48,46,20,758,473,387,421,200,555
2020,5,20,"4,880",254,49,,142,103,34,98,130,51,71,105,62,20,70,105,40,12,73,26,10,73,56,20,762,579,433,461,200,841
2020,5,30,"4,193",267,46,,125,82,19,93,128,47,71,64,46,18,68,99,49,6,89,20,6,66,41,16,731,607,387,385,157,460
2020,5,40,"6,281",428,66,,224,158,45,138,201,89,88,148,106,44,109,146,61,19,176,56,15,116,112,48,876,713,569,563,293,674
2020,5,50,"9,034",602,147,,377,307,123,227,355,187,230,278,192,74,223,274,150,40,275,99,45,164,186,91,"1,036",820,683,825,328,696
2020,5,60,"8,673",648,141,,427,326,104,311,472,189,249,315,221,103,216,299,140,50,283,142,37,242,217,98,823,678,530,558,271,583
2020,5,70,"5,448",415,130,,282,246,67,197,337,132,151,170,113,44,162,173,83,28,198,109,35,195,186,66,472,302,304,351,213,287
2020,5,80,"2,623",211,55,,153,126,56,119,164,73,79,82,69,24,72,111,50,12,100,56,32,93,100,31,160,127,129,141,82,116
2020,5,90,234,18,5,,7,14,4,11,16,10,5,8,6,0,10,15,4,0,11,2,3,8,14,5,13,6,10,11,6,12
2020,5,100,10,2,0,,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,6,총,"48,175","3,236",694,,"1,882","1,498",487,"1,329","1,993",844,"1,024","1,304",882,359,"1,016","1,357",636,175,"1,321",542,199,"1,022",995,409,"6,110","4,661","3,726","3,994","1,853","4,627"
2020,6,0,"2,777",165,26,,50,61,14,54,39,28,28,46,29,12,35,69,18,4,45,8,2,14,35,15,501,391,293,278,114,403
2020,6,10,"4,110",236,30,,103,72,22,78,153,46,47,82,41,19,54,72,38,5,80,28,13,48,46,20,750,468,386,421,200,552
2020,6,20,"4,851",248,49,,137,103,33,100,128,50,72,108,62,21,70,103,39,9,74,26,10,75,59,19,762,571,426,461,196,840
2020,6,30,"4,164",262,45,,124,85,19,92,123,44,69,64,49,19,67,99,50,6,88,20,6,67,43,16,711,594,395,391,156,460
2020,6,40,"6,260",426,69,,221,158,44,140,202,89,85,149,104,43,109,145,61,18,172,58,16,114,111,48,878,708,571,555,292,674
2020,6,50,"8,972",604,146,,372,304,123,223,351,185,232,279,188,73,220,272,150,41,270,94,44,165,181,92,"1,034",809,681,823,323,693
2020,6,60,"8,717",648,141,,434,327,105,315,474,185,254,317,221,103,220,297,141,52,282,143,38,244,218,99,829,682,529,562,271,586
2020,6,70,"5,464",414,130,,283,248,67,197,342,136,151,171,112,46,159,175,85,28,198,108,35,193,188,65,473,304,304,349,213,290
