년도,월,나이,임실군,임실읍,청웅면,운암면,신평면,성수면,오수면,신덕면,삼계면,관촌면,강진면,덕치면,지사면
2020,5,80,977,173,68,55,58,86,153,53,77,95,50,52,57
2020,5,90,94,10,7,13,6,7,17,3,9,10,6,1,5
2020,5,100,7,1,2,0,0,1,1,1,0,0,0,1,0
2020,6,총,"14,175","3,813",678,861,756,880,"1,915",700,759,"1,754",848,593,618
2020,6,0,729,365,16,22,33,27,67,27,17,83,23,16,33
2020,6,10,947,371,29,40,46,51,137,29,33,94,58,26,33
2020,6,20,"1,283",441,52,64,58,72,169,55,44,149,100,35,44
2020,6,30,"1,131",426,39,56,68,55,144,37,45,139,44,45,33
2020,6,40,"1,811",604,95,97,78,95,221,79,85,225,119,51,62
2020,6,50,"2,704",576,121,191,140,167,377,156,144,382,182,148,120
2020,6,60,"2,588",499,137,213,151,172,375,155,162,321,150,120,133
2020,6,70,"1,895",345,112,111,119,146,253,103,141,254,115,98,98
2020,6,80,984,175,68,54,57,87,153,55,79,96,51,52,57
2020,6,90,96,10,7,13,6,7,18,3,9,11,6,1,5
2020,6,100,7,1,2,0,0,1,1,1,0,0,0,1,0
2020,7,총,"14,145","3,804",678,857,753,879,"1,901",700,759,"1,758",839,594,623
2020,7,0,731,369,17,21,31,27,67,27,17,83,22,15,35
2020,7,10,930,364,30,38,46,50,134,29,32,91,58,26,32
2020,7,20,"1,280",442,51,65,58,71,167,55,45,151,96,34,45
2020,7,30,"1,121",421,40,55,66,54,142,37,44,141,40,46,35
2020,7,40,"1,802",603,94,94,79,96,215,78,85,226,118,52,62
2020,7,50,"2,693",576,118,190,137,170,367,159,143,380,183,149,121
2020,7,60,"2,610",501,140,217,153,172,384,154,163,323,149,122,132
2020,7,70,"1,887",344,112,110,118,147,250,101,141,254,114,97,99
2020,7,80,985,172,68,54,59,84,155,54,80,98,53,51,57
2020,7,90,99,11,6,13,6,7,19,5,9,11,6,1,5
2020,7,100,7,1,2,0,0,1,1,1,0,0,0,1,0
2020,8,총,"14,144","3,823",677,858,749,877,"1,894",699,759,"1,755",836,597,620
2020,8,0,736,370,18,23,30,27,66,28,18,84,22,16,34
2020,8,10,921,366,28,38,45,50,135,28,32,90,56,25,28
2020,8,20,"1,273",441,53,64,58,70,165,53,45,149,93,35,47
2020,8,30,"1,107",420,38,53,64,52,139,36,42,141,41,45,36
2020,8,40,"1,807",606,96,93,80,100,218,75,85,222,115,55,62
2020,8,50,"2,702",588,118,194,137,167,360,163,143,382,183,149,118
2020,8,60,"2,618",503,138,217,152,170,384,155,165,325,152,123,134
2020,8,70,"1,896",348,113,109,117,150,254,101,140,253,115,97,99
2020,8,80,982,170,68,55,60,84,154,54,80,98,53,51,55
2020,8,90,95,10,5,12,6,6,18,5,9,11,6,0,7
2020,8,100,7,1,2,0,0,1,1,1,0,0,0,1,0
2020,9,총,"14,097","3,821",667,852,753,874,"1,886",694,755,"1,749",830,595,621
2020,9,0,734,370,19,22,30,26,66,27,18,85,22,16,33
2020,9,10,920,367,28,39,45,51,137,27,31,89,54,24,28
2020,9,20,"1,256",443,50,61,58,68,162,53,44,147,90,33,47
2020,9,30,"1,091",415,36,52,65,53,135,34,42,139,40,45,35
2020,9,40,"1,789",597,95,93,82,98,217,76,81,218,115,55,62
2020,9,50,"2,698",594,115,196,133,167,356,162,144,380,183,147,121
2020,9,60,"2,621",504,138,213,156,169,388,152,165,325,151,126,134
2020,9,70,"1,894",351,112,108,118,151,252,100,139,254,116,97,96
2020,9,80,992,169,67,56,60,84,153,57,83,101,53,51,58
2020,9,90,95,10,5,12,6,6,19,5,8,11,6,0,7
2020,9,100,7,1,2,0,0,1,1,1,0,0,0,1,0
2020,10,총,"14,070","3,831",659,846,752,860,"1,891",692,754,"1,753",826,591,615
2020,10,0,725,369,16,22,28,23,69,27,19,86,22,15,29
2020,10,10,907,365,27,39,46,51,133,26,30,89,51,23,27
2020,10,20,"1,258",443,49,59,59,66,165,54,45,150,89,32,47
2020,10,30,"1,089",417,36,52,65,49,135,35,42,140,40,44,34
2020,10,40,"1,775",593,93,91,81,98,219,75,80,213,115,54,63
2020,10,50,"2,686",600,115,196,132,163,352,161,146,376,183,146,116
2020,10,60,"2,638",513,138,213,154,171,387,151,160,332,153,128,138
2020,10,70,"1,901",352,110,107,119,150,259,101,141,257,115,96,94
2020,10,80,985,168,68,54,61,82,152,56,83,97,52,52,60
2020,10,90,100,10,6,13,7,6,19,5,8,13,6,0,7
2020,10,100,6,1,1,0,0,1,1,1,0,0,0,1,0
2020,11,총,"14,024","3,817",655,837,747,868,"1,889",690,756,"1,734",822,592,617
2020,11,0,716,365,15,22,27,24,70,26,18,83,21,15,30
2020,11,10,901,366,28,39,47,52,129,25,30,88,49,22,26
2020,11,20,"1,251",439,49,58,60,64,165,54,49,144,90,32,47
2020,11,30,"1,076",414,35,48,60,52,135,34,41,138,40,44,35
2020,11,40,"1,757",594,90,87,80,97,215,74,78,208,115,55,64
2020,11,50,"2,681",598,114,192,134,163,353,162,147,374,183,146,115
2020,11,60,"2,647",514,140,220,151,176,387,151,158,332,153,127,138
2020,11,70,"1,904",351,108,106,121,150,262,101,144,255,114,97,95
2020,11,80,983,165,69,54,59,83,152,56,83,99,51,53,59
2020,11,90,102,10,6,11,8,6,20,6,8,13,6,0,8
2020,11,100,6,1,1,0,0,1,1,1,0,0,0,1,0
2020,12,총,"13,966","3,811",653,836,741,869,"1,882",684,758,"1,714",820,588,610
2020,12,0,715,369,14,23,26,25,67,22,19,85,20,14,31
2020,12,10,886,366,28,37,45,49,128,24,30,82,50,21,26
2020,12,20,"1,235",429,48,58,61,65,163,53,48,141,89,34,46
2020,12,30,"1,066",410,36,49,60,52,136,35,39,135,41,41,32
2020,12,40,"1,736",589,87,86,76,96,214,73,78,206,113,55,63
2020,12,50,"2,669",598,116,193,133,162,352,160,149,368,179,145,114
2020,12,60,"2,669",524,138,215,153,180,390,153,160,334,158,128,136
2020,12,70,"1,899",350,111,110,121,149,262,100,143,251,113,96,93
2020,12,80,984,165,68,54,58,84,150,57,83,100,51,53,61
2020,12,90,101,10,6,11,8,6,19,6,9,12,6,0,8
2020,12,100,6,1,1,0,0,1,1,1,0,0,0,1,0
2021,1,총,"13,938","3,804",652,840,742,871,"1,876",683,760,"1,707",817,581,605
2021,1,0,715,365,13,25,27,26,69,22,19,87,20,11,31
2021,1,10,882,369,30,37,45,48,128,22,30,80,47,21,25
2021,1,20,"1,224",426,47,58,59,66,156,52,48,144,90,33,45
2021,1,30,"1,070",412,36,48,59,53,140,36,38,132,44,40,32
2021,1,40,"1,715",592,84,85,77,96,205,73,77,202,109,51,64
2021,1,50,"2,658",594,118,195,130,162,353,155,148,368,177,145,113
2021,1,60,"2,688",525,139,214,157,181,393,159,163,333,160,130,134
2021,1,70,"1,886",344,110,111,121,148,260,97,142,251,114,96,92
2021,1,80,990,166,67,56,59,84,152,60,86,97,50,53,60
2021,1,90,104,10,7,11,8,6,19,6,9,13,6,0,9
2021,1,100,6,1,1,0,0,1,1,1,0,0,0,1,0
2021,2,총,"13,910","3,803",649,842,732,859,"1,877",686,759,"1,701",816,579,607
2021,2,0,716,367,13,27,23,24,69,22,20,90,20,10,31
2021,2,10,875,368,29,37,45,47,130,22,29,78,46,21,23
2021,2,20,"1,200",416,45,54,55,66,153,51,46,142,91,34,47
2021,2,30,"1,065",419,35,49,56,52,139,36,37,131,42,37,32
2021,2,40,"1,705",591,84,87,76,93,206,72,76,199,110,50,61
2021,2,50,"2,643",595,119,194,129,154,353,154,149,364,173,144,115
2021,2,60,"2,711",524,139,216,159,184,396,164,162,336,163,131,137
2021,2,70,"1,877",346,111,110,120,145,256,98,139,249,115,97,91
2021,2,80,"1,008",166,67,57,61,87,154,60,91,99,50,54,62
2021,2,90,104,10,6,11,8,6,20,6,10,13,6,0,8
2021,2,100,6,1,1,0,0,1,1,1,0,0,0,1,0
2021,3,총,"13,864","3,790",649,841,737,856,"1,856",687,761,"1,687",804,585,611
2021,3,0,715,364,13,27,25,24,70,21,20,88,20,11,32
2021,3,10,870,372,29,38,44,46,124,21,29,79,43,21,24
2021,3,20,"1,188",411,45,55,57,63,154,53,46,141,84,35,44
2021,3,30,"1,049",409,35,48,55,51,138,36,37,127,43,37,33
2021,3,40,"1,686",601,82,83,76,90,198,71,75,190,109,50,61
2021,3,50,"2,630",588,120,197,130,155,347,152,145,364,172,144,116
2021,3,60,"2,735",527,140,214,162,185,399,167,166,336,165,134,140
2021,3,70,"1,878",347,111,113,119,145,253,99,140,249,113,97,92
2021,3,80,"1,004",161,66,55,61,90,153,60,93,100,49,55,61
2021,3,90,105,10,7,11,8,6,20,6,10,13,6,0,8
2021,3,100,4,0,1,0,0,1,0,1,0,0,0,1,0
2021,4,총,"13,856","3,793",645,837,734,859,"1,847",686,763,"1,694",807,582,609
2021,4,0,714,365,13,26,23,25,69,21,20,88,20,12,32
2021,4,10,866,374,28,38,44,45,125,19,29,78,43,19,24
2021,4,20,"1,187",415,44,55,59,62,153,53,44,142,81,37,42
2021,4,30,"1,032",409,34,47,54,51,136,34,36,120,44,36,31
2021,4,40,"1,682",602,83,80,72,91,197,72,75,193,109,47,61
2021,4,50,"2,632",589,117,197,133,155,338,154,145,369,173,145,117
2021,4,60,"2,755",521,143,216,161,192,401,167,170,341,168,136,139
2021,4,70,"1,861",346,109,112,120,139,254,95,140,246,112,95,93
2021,4,80,"1,014",160,64,55,60,92,154,64,94,104,51,54,62
2021,4,90,109,12,9,11,8,6,20,6,10,13,6,0,8
2021,4,100,4,0,1,0,0,1,0,1,0,0,0,1,0
2021,5,총,"13,839","3,791",644,839,731,861,"1,839",685,763,"1,692",805,579,610
2021,5,0,710,362,13,27,22,25,66,21,20,89,20,12,33
2021,5,10,867,379,29,36,44,44,125,20,29,76,43,18,24
2021,5,20,"1,188",415,45,57,57,63,152,54,44,143,81,35,42
2021,5,30,"1,019",401,34,47,53,53,134,34,35,120,42,35,31
2021,5,40,"1,656",598,78,80,71,88,191,72,75,185,108,47,63
2021,5,50,"2,618",591,121,191,134,155,338,148,143,364,176,142,115
2021,5,60,"2,785",528,139,220,161,196,404,169,172,350,165,141,140
2021,5,70,"1,864",344,113,116,119,136,255,96,142,246,112,92,93
2021,5,80,"1,020",160,63,55,62,94,154,64,92,106,53,56,61
2021,5,90,108,13,8,10,8,6,20,6,11,13,5,0,8
2021,5,100,4,0,1,0,0,1,0,1,0,0,0,1,0
2021,6,총,"13,828","3,788",639,838,726,865,"1,834",690,766,"1,690",801,583,608
2021,6,0,701,358,13,26,20,26,66,20,20,88,20,11,33
2021,6,10,870,384,27,37,43,41,126,21,29,77,41,19,25
2021,6,20,"1,185",414,47,56,57,65,151,55,44,140,80,36,40
2021,6,30,"1,009",401,31,44,51,54,131,33,34,120,41,37,32
2021,6,40,"1,646",589,77,84,71,87,190,71,75,183,107,48,64
2021,6,50,"2,604",591,116,185,132,154,338,149,145,365,175,141,113
2021,6,60,"2,820",533,143,225,164,200,406,174,172,351,168,142,142
2021,6,70,"1,855",343,112,116,118,138,254,95,144,245,110,90,90
2021,6,80,"1,026",162,64,55,63,93,151,65,93,108,54,58,60
2021,6,90,108,13,8,10,7,6,21,6,10,13,5,0,9
2021,6,100,4,0,1,0,0,1,0,1,0,0,0,1,0
2021,7,총,"13,800","3,762",641,846,726,859,"1,830",693,769,"1,689",796,587,602
2021,7,0,693,349,13,29,19,25,66,20,20,88,20,11,33
2021,7,10,863,383,27,37,42,41,122,21,28,78,40,20,24
2021,7,20,"1,176",408,48,57,57,62,151,56,45,142,79,35,36
2021,7,30,"1,004",396,33,47,51,52,130,33,34,118,40,37,33
2021,7,40,"1,642",585,77,82,70,90,190,72,77,180,106,49,64
2021,7,50,"2,584",587,116,185,131,150,336,147,145,362,174,139,112
2021,7,60,"2,832",536,144,226,167,202,408,176,172,350,168,144,139
2021,7,70,"1,870",343,110,118,120,139,255,95,145,248,111,93,93
2021,7,80,"1,025",162,65,55,62,91,151,66,93,110,54,57,59
2021,7,90,107,13,7,10,7,6,21,6,10,13,4,1,9
2021,7,100,4,0,1,0,0,1,0,1,0,0,0,1,0
2021,8,총,"13,748","3,740",637,844,727,854,"1,826",691,771,"1,675",794,589,600
2021,8,0,683,345,13,27,20,24,66,20,20,85,20,10,33
2021,8,10,857,382,25,37,40,42,122,20,28,78,39,20,24
2021,8,20,"1,147",394,44,58,55,61,149,55,44,137,80,35,35
2021,8,30,"1,004",400,32,46,53,49,130,33,35,117,39,37,33
2021,8,40,"1,622",580,78,79,68,88,190,72,73,177,105,50,62
2021,8,50,"2,583",585,118,186,131,152,337,143,147,362,173,138,111
2021,8,60,"2,846",540,146,227,170,203,406,179,173,349,166,146,141
2021,8,70,"1,873",339,107,119,122,138,256,96,147,248,113,94,94
2021,8,80,"1,022",162,66,55,61,90,150,66,94,108,55,57,58
2021,8,90,107,13,7,10,7,6,20,6,10,14,4,1,9
2021,8,100,4,0,1,0,0,1,0,1,0,0,0,1,0
2021,9,총,"13,682","3,727",626,833,719,849,"1,820",690,768,"1,661",792,590,607
2021,9,0,672,347,11,25,19,24,63,19,20,84,19,10,31
2021,9,10,844,379,23,33,41,41,121,20,28,74,38,20,26
2021,9,20,"1,124",387,43,52,52,60,146,54,43,133,80,36,38
2021,9,30,993,401,28,45,53,47,126,34,34,117,39,35,34
2021,9,40,"1,618",576,77,80,66,86,196,69,74,171,106,52,65
2021,9,50,"2,585",586,120,186,127,154,339,145,145,365,174,136,108
2021,9,60,"2,833",539,141,226,172,202,401,177,174,345,167,145,144
2021,9,70,"1,877",336,109,121,122,137,258,98,148,248,110,97,93
2021,9,80,"1,025",164,66,55,60,90,150,67,94,109,55,57,58
2021,9,90,107,12,7,10,7,7,20,6,8,15,4,1,10
2021,9,100,4,0,1,0,0,1,0,1,0,0,0,1,0
2021,10,총,"13,672","3,720",630,834,719,849,"1,819",690,764,"1,654",794,591,608
2021,10,0,671,345,10,25,18,24,63,21,21,83,19,10,32
2021,10,10,845,382,24,31,41,44,119,20,26,74,38,20,26
2021,10,20,"1,117",383,42,55,52,59,148,53,41,132,78,35,39
2021,10,30,992,402,29,44,53,47,125,35,34,115,40,35,33
2021,10,40,"1,614",572,79,80,65,88,191,70,73,174,107,52,63
2021,10,50,"2,577",588,122,186,124,150,341,142,145,359,176,134,110
2021,10,60,"2,835",540,140,223,175,204,401,177,172,345,166,149,143
2021,10,70,"1,880",332,111,124,125,136,258,98,149,246,110,97,94
2021,10,80,"1,031",164,65,56,60,90,153,67,95,110,56,57,58
2021,10,90,107,12,7,10,6,7,20,6,8,16,4,1,10
2021,10,100,3,0,1,0,0,0,0,1,0,0,0,1,0
2021,11,총,"13,646","3,705",627,832,724,849,"1,810",690,764,"1,658",796,594,597
2021,11,0,664,345,10,25,18,24,63,21,21,78,19,11,29
2021,11,10,839,380,23,32,40,46,115,19,26,74,38,20,26
2021,11,20,"1,112",378,43,54,55,59,149,54,41,131,77,35,36
2021,11,30,993,404,29,44,53,45,123,35,34,117,41,36,32
2021,11,40,"1,600",567,78,81,69,88,190,67,71,173,102,52,62
2021,11,50,"2,561",588,123,182,121,145,336,143,144,359,177,134,109
2021,11,60,"2,851",533,139,223,176,209,404,177,174,350,173,150,143
2021,11,70,"1,878",333,108,126,126,135,258,99,151,245,107,97,93
2021,11,80,"1,039",164,66,56,60,90,152,68,95,115,58,57,58
2021,11,90,106,13,7,9,6,8,20,6,7,16,4,1,9
2021,11,100,3,0,1,0,0,0,0,1,0,0,0,1,0
2021,12,총,"13,692","3,726",631,841,732,850,"1,803",684,759,"1,659",799,609,599
2021,12,0,665,345,11,25,20,24,62,22,20,78,19,11,28
2021,12,10,844,384,23,35,40,44,118,17,26,73,37,22,25
2021,12,20,"1,112",381,44,52,57,57,149,51,41,130,78,37,35
2021,12,30,"1,002",410,29,45,54,48,118,35,32,117,42,38,34
2021,12,40,"1,604",566,78,83,70,91,190,65,73,173,103,50,62
2021,12,50,"2,566",590,124,180,119,145,335,146,142,359,176,143,107
2021,12,60,"2,866",535,139,229,179,207,403,172,174,355,175,151,147
2021,12,70,"1,887",334,110,127,127,136,259,102,151,245,107,98,91
2021,12,80,"1,032",167,65,56,60,89,148,68,91,113,58,56,61
2021,12,90,111,14,7,9,6,9,21,5,9,16,4,2,9
2021,12,100,3,0,1,0,0,0,0,1,0,0,0,1,0
