년도,월,나이,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020,7,30,850,514,39,22,19,37,37,17,45,13,54,16,23,14
2020,7,40,"1,237",704,53,29,30,56,60,44,52,14,123,19,23,30
2020,7,50,"2,108",734,141,112,79,120,130,117,149,58,235,60,90,83
2020,7,60,"2,502",717,168,129,103,155,156,148,196,97,293,94,115,131
2020,7,70,"2,409",508,170,122,118,162,150,168,195,95,314,122,145,140
2020,7,80,"2,126",376,173,110,118,146,156,148,151,82,232,116,164,154
2020,7,90,345,48,29,20,18,21,24,20,24,13,47,23,31,27
2020,7,100,7,3,1,0,1,0,0,0,0,1,0,0,0,1
2020,8,총,"13,730","4,822",861,599,544,791,810,749,914,400,"1,500",493,620,627
2020,8,0,547,343,17,12,20,13,21,20,20,7,47,8,7,12
2020,8,10,718,423,25,16,8,31,33,24,32,9,79,12,13,13
2020,8,20,892,449,46,30,29,50,48,40,50,13,80,22,8,27
2020,8,30,840,512,40,21,19,36,36,18,42,12,52,16,23,13
2020,8,40,"1,235",706,49,30,28,57,58,45,56,14,121,19,23,29
2020,8,50,"2,095",734,142,109,79,119,130,112,148,59,235,60,88,80
2020,8,60,"2,521",724,169,131,107,156,154,152,197,96,290,94,117,134
2020,8,70,"2,400",506,172,120,117,161,151,166,194,95,314,123,143,138
2020,8,80,"2,129",373,171,110,118,147,154,152,151,82,234,117,167,153
2020,8,90,347,49,29,20,19,21,25,20,24,12,48,22,31,27
2020,8,100,6,3,1,0,0,0,0,0,0,1,0,0,0,1
2020,9,총,"13,710","4,816",859,596,544,785,814,749,915,401,"1,500",489,616,626
2020,9,0,541,341,18,10,20,13,20,20,19,7,46,8,6,13
2020,9,10,719,422,24,16,8,31,37,24,32,9,78,12,13,13
2020,9,20,893,452,47,29,27,47,47,41,51,13,82,22,8,27
2020,9,30,837,511,38,19,20,36,38,16,42,13,53,14,23,14
2020,9,40,"1,233",707,50,31,29,56,55,46,56,14,120,19,21,29
2020,9,50,"2,083",728,140,107,76,119,133,113,150,58,238,57,85,79
2020,9,60,"2,529",726,171,135,110,155,154,148,194,97,290,93,121,135
2020,9,70,"2,386",501,169,118,118,160,148,168,194,95,313,123,143,136
2020,9,80,"2,136",375,174,112,117,146,156,153,152,81,231,119,166,154
2020,9,90,346,49,27,19,19,22,26,20,25,13,49,22,30,25
2020,9,100,7,4,1,0,0,0,0,0,0,1,0,0,0,1
2020,10,총,"13,707","4,836",856,592,540,786,812,742,915,400,"1,501",483,615,629
2020,10,0,537,340,16,9,19,12,19,22,19,7,48,8,5,13
2020,10,10,713,419,24,15,9,30,37,21,31,9,80,12,14,12
2020,10,20,896,458,48,30,26,48,47,40,51,13,79,22,8,26
2020,10,30,837,510,37,18,20,38,38,16,42,12,55,14,23,14
2020,10,40,"1,223",705,49,32,28,55,54,44,56,15,120,17,19,29
2020,10,50,"2,073",729,143,105,75,118,133,108,148,57,234,56,87,80
2020,10,60,"2,550",736,172,137,110,157,152,151,195,99,290,93,122,136
2020,10,70,"2,380",509,166,116,118,162,149,166,194,91,309,120,142,138
2020,10,80,"2,145",376,173,110,117,144,157,154,155,83,236,120,165,155
2020,10,90,346,51,26,20,18,22,26,20,24,13,50,21,30,25
2020,10,100,7,3,2,0,0,0,0,0,0,1,0,0,0,1
2020,11,총,"13,672","4,832",855,593,538,779,808,745,914,398,"1,492",482,613,623
2020,11,0,527,333,15,8,18,11,19,22,20,7,49,8,5,12
2020,11,10,708,417,24,15,10,26,39,21,31,9,78,12,14,12
2020,11,20,900,467,48,29,24,48,48,44,47,12,78,23,7,25
2020,11,30,823,501,36,19,21,34,37,17,41,12,53,15,23,14
2020,11,40,"1,217",706,49,31,26,58,53,42,57,15,118,16,19,27
2020,11,50,"2,073",730,143,106,78,120,130,109,150,57,232,55,85,78
2020,11,60,"2,548",739,170,138,109,153,150,152,195,98,290,94,123,137
2020,11,70,"2,381",513,167,116,117,164,149,164,194,92,305,119,143,138
2020,11,80,"2,147",374,175,111,117,144,157,155,156,82,238,120,164,154
2020,11,90,341,49,26,20,18,21,26,19,23,13,51,20,30,25
2020,11,100,7,3,2,0,0,0,0,0,0,1,0,0,0,1
2020,12,총,"13,660","4,851",849,607,542,776,801,731,907,399,"1,484",481,615,617
2020,12,0,526,335,13,8,18,11,20,21,20,7,49,8,5,11
2020,12,10,703,424,23,14,10,26,35,21,29,10,74,12,14,11
2020,12,20,897,471,49,29,22,47,46,42,46,12,79,21,8,25
2020,12,30,819,504,34,22,22,33,38,16,37,10,52,17,22,12
2020,12,40,"1,222",705,49,34,26,55,54,40,58,17,119,16,21,28
2020,12,50,"2,080",739,141,107,80,121,130,105,151,55,234,55,85,77
2020,12,60,"2,547",737,168,142,110,153,151,149,194,100,288,94,124,137
2020,12,70,"2,359",506,166,117,116,164,148,164,189,89,303,120,141,136
2020,12,80,"2,162",379,179,113,120,145,152,156,160,85,235,119,165,154
2020,12,90,338,48,25,21,18,21,27,17,23,13,51,19,30,25
2020,12,100,7,3,2,0,0,0,0,0,0,1,0,0,0,1
2021,1,총,"13,632","4,850",849,599,544,773,792,736,907,401,"1,478",476,614,613
2021,1,0,517,328,13,7,19,11,20,22,18,7,47,8,6,11
2021,1,10,702,426,23,14,9,25,34,21,30,10,74,12,13,11
2021,1,20,882,465,49,28,23,44,46,41,46,12,79,19,8,22
2021,1,30,815,500,35,19,22,33,38,17,39,10,51,16,22,13
2021,1,40,"1,218",708,48,35,25,50,54,41,56,17,120,15,21,28
2021,1,50,"2,055",738,137,104,82,120,127,104,148,51,230,55,83,76
2021,1,60,"2,585",748,171,144,111,160,151,151,198,106,290,94,125,136
2021,1,70,"2,343",510,166,118,113,162,144,163,188,89,301,120,138,131
2021,1,80,"2,158",378,178,107,122,145,151,155,162,84,235,115,167,159
2021,1,90,351,47,27,23,18,23,27,21,22,14,51,22,31,25
2021,1,100,6,2,2,0,0,0,0,0,0,1,0,0,0,1
2021,2,총,"13,616","4,846",845,597,544,769,787,743,906,398,"1,480",474,611,616
2021,2,0,515,327,13,6,19,12,19,22,17,7,47,8,7,11
2021,2,10,701,424,24,14,9,27,33,23,28,10,74,11,12,12
2021,2,20,868,462,47,27,23,41,44,41,46,11,79,17,8,22
2021,2,30,814,501,35,20,23,34,37,19,37,10,49,16,21,12
2021,2,40,"1,213",699,47,33,24,51,54,44,56,17,122,15,21,30
2021,2,50,"2,043",742,135,103,79,118,126,102,144,50,228,56,84,76
2021,2,60,"2,610",755,172,146,115,160,154,155,205,107,291,91,123,136
2021,2,70,"2,323",504,164,118,111,160,143,160,188,86,300,120,138,131
2021,2,80,"2,169",384,179,107,122,143,149,156,162,85,238,118,167,159
2021,2,90,355,47,27,23,19,23,28,21,23,14,52,22,30,26
2021,2,100,5,1,2,0,0,0,0,0,0,1,0,0,0,1
2021,3,총,"13,558","4,819",850,601,541,773,783,747,905,396,"1,460",469,606,608
2021,3,0,517,325,13,8,19,14,19,24,17,6,46,8,7,11
2021,3,10,694,424,24,13,8,26,30,23,28,11,71,11,13,12
2021,3,20,859,464,46,27,24,40,43,40,45,11,76,15,8,20
2021,3,30,812,498,35,20,24,34,37,19,37,10,48,17,21,12
2021,3,40,"1,190",691,45,31,24,52,52,45,58,16,113,13,20,30
2021,3,50,"2,002",732,133,103,69,115,121,102,140,48,232,54,80,73
2021,3,60,"2,627",753,177,147,119,164,158,157,205,108,290,90,124,135
2021,3,70,"2,317",505,166,120,111,160,143,160,187,86,293,122,136,128
2021,3,80,"2,176",378,182,109,122,145,150,156,164,85,240,117,167,161
2021,3,90,358,48,27,23,21,23,30,21,24,14,51,22,29,25
2021,3,100,6,1,2,0,0,0,0,0,0,1,0,0,1,1
2021,4,총,"13,555","4,829",851,603,538,773,780,743,908,396,"1,456",470,600,608
2021,4,0,514,324,13,6,19,14,19,24,18,6,44,9,7,11
2021,4,10,687,422,24,12,7,26,30,20,27,10,73,11,13,12
2021,4,20,863,470,45,28,24,39,41,41,46,11,76,15,9,18
2021,4,30,805,490,35,20,22,34,38,20,38,9,48,17,21,13
2021,4,40,"1,184",692,43,32,24,50,52,42,58,16,111,13,21,30
2021,4,50,"2,006",738,132,104,70,117,121,102,139,47,230,54,79,73
2021,4,60,"2,638",759,184,149,117,164,158,158,206,111,288,88,121,135
2021,4,70,"2,306",504,164,121,111,161,139,158,179,86,296,123,136,128
2021,4,80,"2,176",378,180,106,121,144,152,156,173,85,239,118,162,162
2021,4,90,371,51,29,25,23,24,30,22,24,14,51,22,31,25
2021,4,100,5,1,2,0,0,0,0,0,0,1,0,0,0,1
2021,5,총,"13,538","4,833",854,600,538,772,770,744,900,395,"1,457",467,601,607
2021,5,0,505,320,13,6,20,15,18,23,18,6,42,8,7,9
2021,5,10,693,427,24,12,9,26,30,20,24,10,74,12,13,12
2021,5,20,850,468,45,28,24,36,36,40,44,10,77,14,10,18
2021,5,30,796,486,36,19,21,34,33,20,39,9,48,18,21,12
2021,5,40,"1,185",697,42,30,25,50,53,42,58,16,109,12,20,31
2021,5,50,"2,003",737,131,103,70,120,119,101,140,48,229,54,77,74
2021,5,60,"2,650",764,187,151,116,161,162,162,202,109,292,87,122,135
2021,5,70,"2,294",503,164,119,111,159,140,157,176,86,293,122,138,126
2021,5,80,"2,181",380,180,107,119,146,148,157,174,84,243,119,160,164
2021,5,90,376,50,30,25,23,25,31,22,25,16,50,21,33,25
2021,5,100,5,1,2,0,0,0,0,0,0,1,0,0,0,1
2021,6,총,"13,491","4,816",852,600,534,766,768,743,894,396,"1,453",466,602,601
2021,6,0,500,319,13,6,19,15,18,23,17,6,40,8,7,9
2021,6,10,688,426,24,12,10,26,30,20,22,10,73,12,11,12
2021,6,20,845,457,45,28,24,35,37,39,47,11,79,14,11,18
2021,6,30,783,478,37,22,20,33,33,19,36,9,47,17,20,12
2021,6,40,"1,179",699,40,30,23,50,51,42,59,17,105,13,20,30
2021,6,50,"1,983",733,130,100,70,119,118,101,136,46,227,54,75,74
2021,6,60,"2,659",764,190,153,117,159,163,162,202,110,296,87,125,131
2021,6,70,"2,287",509,162,118,109,157,139,158,175,86,292,122,136,124
2021,6,80,"2,188",379,180,107,120,147,149,157,176,85,244,117,164,163
2021,6,90,374,51,29,24,22,25,30,22,24,15,50,22,33,27
2021,6,100,5,1,2,0,0,0,0,0,0,1,0,0,0,1
2021,7,총,"13,475","4,810",847,598,534,765,768,743,890,395,"1,455",466,602,602
2021,7,0,498,318,14,6,19,14,18,23,16,6,41,8,6,9
2021,7,10,688,426,24,14,10,27,30,20,21,10,72,12,10,12
2021,7,20,838,454,44,28,24,34,36,36,46,11,81,14,12,18
2021,7,30,777,472,37,21,20,32,33,20,35,9,49,16,20,13
2021,7,40,"1,169",695,37,30,22,50,49,43,58,17,105,13,20,30
2021,7,50,"1,984",736,131,98,71,117,119,103,135,47,223,56,74,74
2021,7,60,"2,679",771,189,151,119,163,166,162,205,109,297,87,128,132
2021,7,70,"2,265",504,160,120,105,157,137,155,173,87,288,122,134,123
2021,7,80,"2,196",380,179,107,122,145,150,158,178,82,249,117,166,163
2021,7,90,376,53,30,23,22,26,30,23,23,16,50,21,32,27
2021,7,100,5,1,2,0,0,0,0,0,0,1,0,0,0,1
2021,8,총,"13,436","4,798",847,591,531,760,763,740,888,393,"1,457",469,604,595
2021,8,0,494,316,14,5,19,12,18,21,16,7,42,10,5,9
2021,8,10,685,423,24,14,10,27,29,21,20,10,72,12,11,12
2021,8,20,822,454,43,25,23,31,38,34,43,12,80,13,10,16
2021,8,30,770,471,36,19,18,31,31,22,34,9,51,16,20,12
2021,8,40,"1,161",687,37,31,22,52,49,41,57,17,103,14,21,30
2021,8,50,"1,972",736,130,98,71,117,118,100,135,47,219,58,73,70
2021,8,60,"2,698",777,192,151,116,162,165,164,206,108,304,85,132,136
2021,8,70,"2,247",500,162,119,107,154,135,151,170,85,288,122,133,121
2021,8,80,"2,206",381,177,106,123,148,151,161,184,81,249,117,167,161
2021,8,90,376,52,30,23,22,26,29,25,23,16,49,22,32,27
2021,8,100,5,1,2,0,0,0,0,0,0,1,0,0,0,1
2021,9,총,"13,380","4,791",844,582,528,753,760,738,883,393,"1,448",464,603,593
2021,9,0,484,313,14,4,19,12,17,20,15,8,40,9,5,8
2021,9,10,689,425,24,12,11,27,29,21,21,10,73,13,10,13
2021,9,20,788,443,40,23,21,28,38,34,39,11,74,12,10,15
2021,9,30,764,468,38,17,18,30,31,22,31,9,51,16,20,13
2021,9,40,"1,158",692,38,31,21,52,49,40,54,16,102,14,21,28
2021,9,50,"1,968",734,128,97,72,118,118,98,139,47,215,58,73,71
2021,9,60,"2,695",780,188,152,117,160,165,163,204,109,307,83,132,135
2021,9,70,"2,229",496,164,117,104,151,132,151,174,82,286,120,131,121
2021,9,80,"2,215",385,176,106,124,149,149,162,182,85,251,117,168,161
2021,9,90,385,54,32,23,21,26,32,27,24,15,49,22,33,27
2021,9,100,5,1,2,0,0,0,0,0,0,1,0,0,0,1
2021,10,총,"13,378","4,778",844,585,531,760,759,742,884,392,"1,449",462,600,592
2021,10,0,482,311,14,4,19,12,16,20,15,8,41,9,5,8
2021,10,10,690,423,23,13,11,28,29,21,21,10,75,13,10,13
2021,10,20,777,437,40,22,21,28,39,33,39,11,74,11,9,13
2021,10,30,767,468,35,17,19,32,32,22,31,9,52,17,19,14
2021,10,40,"1,157",695,38,32,21,53,46,41,53,16,98,14,22,28
2021,10,50,"1,969",732,129,98,72,118,119,95,139,47,218,58,72,72
2021,10,60,"2,704",780,190,151,119,162,165,167,206,109,305,82,133,135
2021,10,70,"2,217",491,163,119,103,153,130,149,174,80,284,120,130,121
2021,10,80,"2,219",385,178,105,124,149,151,166,180,87,252,115,167,160
2021,10,90,391,55,32,24,22,25,32,28,26,14,50,23,33,27
2021,10,100,5,1,2,0,0,0,0,0,0,1,0,0,0,1
2021,11,총,"13,351","4,778",845,585,526,759,754,736,884,388,"1,440",467,596,593
2021,11,0,478,312,14,4,20,12,15,17,15,8,40,9,4,8
2021,11,10,692,425,23,13,11,28,31,23,21,10,69,13,10,15
2021,11,20,767,428,41,23,21,29,37,33,38,10,75,11,8,13
2021,11,30,755,465,34,16,20,30,30,22,31,9,51,17,18,12
2021,11,40,"1,160",704,40,31,19,52,46,41,51,15,95,13,23,30
2021,11,50,"1,976",735,129,101,71,118,120,95,140,47,218,62,71,69
2021,11,60,"2,702",778,191,151,118,164,162,167,207,108,304,85,131,136
2021,11,70,"2,194",486,161,115,102,152,128,146,175,80,278,120,131,120
2021,11,80,"2,225",390,177,107,121,149,153,165,180,86,258,115,164,160
2021,11,90,397,54,33,24,23,25,32,27,26,14,52,22,36,29
2021,11,100,5,1,2,0,0,0,0,0,0,1,0,0,0,1
2021,12,총,"13,356","4,777",843,585,529,762,757,733,885,393,"1,433",467,598,594
2021,12,0,471,309,12,5,19,12,14,17,15,10,37,9,4,8
2021,12,10,686,423,22,12,14,28,32,23,21,9,64,13,10,15
2021,12,20,766,424,40,24,22,27,38,33,39,10,78,11,8,12
2021,12,30,746,461,34,15,20,30,28,21,30,10,51,18,17,11
2021,12,40,"1,163",708,41,31,21,51,46,41,50,16,92,12,24,30
2021,12,50,"1,983",738,126,100,71,119,126,93,142,47,219,61,71,70
2021,12,60,"2,711",780,193,150,120,166,160,166,207,108,307,86,132,136
2021,12,70,"2,194",487,162,114,100,154,130,148,173,82,275,118,132,119
2021,12,80,"2,229",394,177,109,118,150,151,165,182,86,258,115,163,161
2021,12,90,401,52,34,24,24,25,32,26,26,14,52,24,37,31
2021,12,100,6,1,2,1,0,0,0,0,0,1,0,0,0,1
