년도,월,나이,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2020,4,10,"34,146","12,083","2,720",107,902,507,652,"4,415","1,887","1,052","3,332","1,777","3,335","1,377"
2020,4,20,"41,134","14,451","3,474",188,"1,388",895,"1,431","4,676","3,246","1,041","3,268","2,197","3,187","1,692"
2020,4,30,"51,175","21,870","6,892",201,"1,156",631,"1,251","3,634","3,128","1,146","3,569","2,427","3,414","1,856"
2020,4,40,"60,360","21,213","6,144",290,"1,733",982,"1,462","6,401","3,619","1,698","5,463","3,407","5,568","2,380"
2020,4,50,"58,334","16,581","4,842",643,"2,882","1,987","2,515","6,114","4,606","1,571","4,875","3,819","5,117","2,782"
2020,4,60,"40,545","10,131","3,809",912,"2,466","1,833","2,255","3,253","2,790","1,091","3,378","2,729","3,905","1,993"
2020,4,70,"20,365","4,259","1,768",617,"1,369",871,985,"1,928","1,115",536,"1,640","1,510","2,656","1,111"
2020,4,80,"8,369","1,627",598,299,597,457,401,781,442,231,622,700,"1,126",488
2020,4,90,"1,017",230,84,47,79,83,48,69,65,22,78,60,99,53
2020,4,100,57,8,2,2,9,7,9,2,3,0,9,2,4,0
2020,5,총,"351,373","118,972","35,418","3,386","13,123","8,410","11,542","34,004","22,344","9,153","28,836","20,108","31,017","15,060"
2020,5,0,"35,747","16,442","5,062",81,570,202,463,"2,776","1,458",781,"2,556","1,519","2,612","1,225"
2020,5,10,"34,115","12,111","2,731",105,899,500,663,"4,386","1,874","1,044","3,328","1,766","3,326","1,382"
2020,5,20,"41,056","14,382","3,448",183,"1,376",884,"1,460","4,651","3,269","1,035","3,261","2,209","3,192","1,706"
2020,5,30,"51,003","21,823","6,865",206,"1,146",612,"1,268","3,604","3,107","1,149","3,564","2,397","3,374","1,888"
2020,5,40,"60,307","21,258","6,187",287,"1,719",975,"1,463","6,355","3,583","1,676","5,477","3,396","5,557","2,374"
2020,5,50,"58,399","16,632","4,831",642,"2,871","1,976","2,500","6,138","4,611","1,572","4,895","3,792","5,121","2,818"
2020,5,60,"40,750","10,172","3,823",918,"2,480","1,838","2,271","3,281","2,805","1,099","3,387","2,740","3,930","2,006"
2020,5,70,"20,493","4,283","1,787",615,"1,373",874,994,"1,949","1,124",539,"1,652","1,517","2,671","1,115"
2020,5,80,"8,415","1,633",596,300,599,461,400,792,443,236,628,707,"1,129",491
2020,5,90,"1,031",227,86,47,81,81,52,70,67,22,79,63,101,55
2020,5,100,57,9,2,2,9,7,8,2,3,0,9,2,4,0
2020,6,총,"351,596","119,162","35,398","3,382","13,093","8,523","11,572","33,950","22,346","9,124","28,826","20,061","31,037","15,122"
2020,6,0,"35,678","16,433","5,044",85,566,202,468,"2,761","1,457",774,"2,540","1,512","2,610","1,226"
2020,6,10,"34,236","12,150","2,751",109,896,604,661,"4,366","1,858","1,034","3,332","1,757","3,335","1,383"
2020,6,20,"40,924","14,377","3,423",171,"1,360",884,"1,463","4,636","3,261","1,025","3,242","2,185","3,186","1,711"
2020,6,30,"50,838","21,774","6,825",205,"1,133",616,"1,272","3,568","3,117","1,146","3,536","2,397","3,350","1,899"
2020,6,40,"60,368","21,347","6,201",292,"1,722",968,"1,472","6,344","3,561","1,665","5,487","3,384","5,547","2,378"
2020,6,50,"58,406","16,651","4,836",636,"2,841","1,978","2,496","6,156","4,609","1,567","4,897","3,779","5,134","2,826"
2020,6,60,"40,972","10,209","3,836",920,"2,510","1,849","2,286","3,289","2,833","1,109","3,403","2,753","3,951","2,024"
2020,6,70,"20,612","4,339","1,792",615,"1,377",877,990,"1,970","1,130",547,"1,665","1,516","2,670","1,124"
2020,6,80,"8,463","1,645",601,301,597,459,404,785,448,234,636,712,"1,145",496
2020,6,90,"1,040",228,87,46,82,79,52,73,69,23,78,64,104,55
2020,6,100,59,9,2,2,9,7,8,2,3,0,10,2,5,0
2020,7,총,"351,651","119,218","35,351","3,390","13,081","8,517","11,600","33,950","22,319","9,123","28,817","20,056","31,094","15,135"
2020,7,0,"35,569","16,412","5,015",86,565,202,475,"2,737","1,446",771,"2,520","1,498","2,615","1,227"
2020,7,10,"34,238","12,180","2,752",107,886,620,655,"4,362","1,835","1,031","3,336","1,762","3,336","1,376"
2020,7,20,"40,854","14,353","3,400",167,"1,358",890,"1,457","4,639","3,249","1,024","3,250","2,167","3,187","1,713"
2020,7,30,"50,654","21,682","6,776",211,"1,136",607,"1,275","3,555","3,107","1,150","3,521","2,394","3,340","1,900"
2020,7,40,"60,387","21,406","6,218",293,"1,710",963,"1,488","6,326","3,549","1,659","5,471","3,368","5,559","2,377"
2020,7,50,"58,469","16,681","4,827",636,"2,829","1,961","2,497","6,161","4,622","1,573","4,912","3,785","5,158","2,827"
2020,7,60,"41,183","10,281","3,864",923,"2,519","1,846","2,288","3,315","2,846","1,111","3,416","2,784","3,956","2,034"
2020,7,70,"20,690","4,341","1,800",615,"1,385",882,"1,001","1,985","1,140",549,"1,672","1,521","2,682","1,117"
2020,7,80,"8,515","1,653",611,304,603,463,403,795,453,231,628,710,"1,154",507
2020,7,90,"1,033",220,86,46,81,76,53,73,69,24,81,65,102,57
2020,7,100,59,9,2,2,9,7,8,2,3,0,10,2,5,0
2020,8,총,"351,691","119,356","35,370","3,422","13,056","8,521","11,617","33,823","22,372","9,115","28,708","20,116","31,059","15,156"
2020,8,0,"35,417","16,366","5,019",87,556,199,480,"2,712","1,435",768,"2,489","1,489","2,588","1,229"
2020,8,10,"34,279","12,249","2,777",118,883,609,653,"4,331","1,844","1,034","3,315","1,785","3,318","1,363"
2020,8,20,"40,731","14,313","3,366",166,"1,362",894,"1,447","4,611","3,258","1,021","3,237","2,172","3,184","1,700"
2020,8,30,"50,396","21,611","6,724",209,"1,116",620,"1,279","3,515","3,106","1,142","3,482","2,373","3,311","1,908"
2020,8,40,"60,487","21,488","6,282",301,"1,702",958,"1,487","6,296","3,554","1,663","5,452","3,393","5,535","2,376"
2020,8,50,"58,480","16,719","4,812",637,"2,819","1,953","2,504","6,150","4,621","1,567","4,911","3,786","5,176","2,825"
2020,8,60,"41,493","10,358","3,887",929,"2,535","1,850","2,294","3,350","2,866","1,118","3,434","2,799","3,993","2,080"
2020,8,70,"20,750","4,358","1,810",621,"1,390",888,"1,005","1,985","1,152",547,"1,675","1,528","2,685","1,106"
2020,8,80,"8,559","1,668",606,305,601,464,404,794,462,230,625,723,"1,163",514
2020,8,90,"1,041",218,85,47,83,78,56,77,71,25,78,66,102,55
2020,8,100,58,8,2,2,9,8,8,2,3,0,10,2,4,0
2020,9,총,"351,874","119,472","35,422","3,393","13,043","8,503","11,620","33,781","22,348","9,129","28,735","20,208","31,031","15,189"
2020,9,0,"35,212","16,307","4,968",85,552,197,472,"2,686","1,425",769,"2,474","1,468","2,576","1,233"
2020,9,10,"34,297","12,302","2,810",107,874,604,645,"4,308","1,824","1,027","3,328","1,813","3,302","1,353"
2020,9,20,"40,762","14,293","3,359",162,"1,368",903,"1,467","4,615","3,265","1,022","3,228","2,174","3,197","1,709"
2020,9,30,"50,129","21,533","6,685",211,"1,102",602,"1,273","3,492","3,090","1,136","3,465","2,370","3,267","1,903"
2020,9,40,"60,494","21,561","6,320",290,"1,703",956,"1,483","6,253","3,528","1,675","5,448","3,388","5,520","2,369"
2020,9,50,"58,586","16,730","4,822",626,"2,800","1,945","2,498","6,187","4,641","1,560","4,927","3,824","5,190","2,836"
2020,9,60,"41,829","10,459","3,928",926,"2,553","1,851","2,302","3,373","2,892","1,127","3,472","2,832","4,019","2,095"
2020,9,70,"20,822","4,379","1,824",632,"1,393",896,"1,008","1,984","1,146",555,"1,676","1,534","2,678","1,117"
2020,9,80,"8,635","1,679",618,304,607,465,409,802,467,232,629,733,"1,173",517
2020,9,90,"1,049",221,86,48,82,76,55,79,67,26,77,70,105,57
2020,9,100,59,8,2,2,9,8,8,2,3,0,11,2,4,0
2020,10,총,"351,910","119,510","35,406","3,370","13,008","8,476","11,586","33,735","22,384","9,153","28,717","20,278","31,055","15,232"
2020,10,0,"34,954","16,189","4,940",86,552,189,469,"2,653","1,424",770,"2,457","1,440","2,549","1,236"
2020,10,10,"34,320","12,381","2,808",101,866,594,642,"4,294","1,827","1,016","3,312","1,824","3,301","1,354"
2020,10,20,"40,821","14,329","3,335",165,"1,347",898,"1,453","4,619","3,256","1,035","3,252","2,198","3,211","1,723"
2020,10,30,"49,696","21,333","6,629",210,"1,090",594,"1,258","3,463","3,086","1,146","3,403","2,347","3,239","1,898"
2020,10,40,"60,655","21,695","6,357",282,"1,698",950,"1,483","6,244","3,528","1,673","5,458","3,408","5,522","2,357"
2020,10,50,"58,583","16,737","4,824",609,"2,792","1,935","2,492","6,169","4,642","1,555","4,932","3,844","5,214","2,838"
2020,10,60,"42,144","10,525","3,969",929,"2,558","1,867","2,312","3,401","2,919","1,146","3,496","2,858","4,043","2,121"
2020,10,70,"20,933","4,391","1,834",635,"1,403",898,"1,012","1,998","1,159",557,"1,690","1,551","2,688","1,117"
2020,10,80,"8,682","1,694",620,303,609,465,402,812,472,228,631,731,"1,185",530
2020,10,90,"1,063",228,88,48,84,78,55,80,68,27,75,75,99,58
2020,10,100,59,8,2,2,9,8,8,2,3,0,11,2,4,0
2020,11,총,"351,797","119,630","35,387","3,360","12,968","8,424","11,551","33,684","22,379","9,166","28,698","20,313","31,015","15,222"
2020,11,0,"34,757","16,120","4,906",85,545,189,465,"2,622","1,414",766,"2,432","1,431","2,541","1,241"
2020,11,10,"34,263","12,421","2,829",101,862,538,634,"4,274","1,828","1,011","3,305","1,821","3,286","1,353"
2020,11,20,"40,786","14,347","3,307",166,"1,334",897,"1,436","4,629","3,257","1,038","3,257","2,203","3,197","1,718"
2020,11,30,"49,379","21,258","6,582",209,"1,090",584,"1,253","3,426","3,049","1,130","3,368","2,333","3,217","1,880"
2020,11,40,"60,742","21,776","6,386",277,"1,691",955,"1,491","6,214","3,526","1,678","5,455","3,413","5,510","2,370"
2020,11,50,"58,611","16,752","4,816",603,"2,773","1,926","2,483","6,188","4,649","1,567","4,937","3,873","5,211","2,833"
2020,11,60,"42,428","10,623","4,008",934,"2,569","1,871","2,313","3,424","2,938","1,163","3,528","2,866","4,063","2,128"
2020,11,70,"20,976","4,394","1,837",628,"1,407",904,"1,010","2,003","1,164",554,"1,693","1,560","2,704","1,118"
2020,11,80,"8,724","1,702",627,308,602,471,403,820,481,232,635,737,"1,182",524
2020,11,90,"1,072",229,87,47,86,81,55,82,70,27,77,74,100,57
2020,11,100,59,8,2,2,9,8,8,2,3,0,11,2,4,0
2020,12,총,"352,229","120,421","35,265","3,366","12,918","8,371","11,506","33,637","22,309","9,144","28,714","20,264","31,027","15,287"
2020,12,0,"34,597","16,119","4,855",86,542,191,450,"2,587","1,408",765,"2,395","1,403","2,534","1,262"
2020,12,10,"34,280","12,536","2,826",104,846,501,623,"4,272","1,823","1,008","3,313","1,810","3,274","1,344"
2020,12,20,"40,831","14,439","3,290",169,"1,318",871,"1,435","4,618","3,215","1,046","3,265","2,216","3,204","1,745"
2020,12,30,"49,219","21,305","6,521",206,"1,090",581,"1,242","3,423","3,042","1,116","3,342","2,292","3,199","1,860"
2020,12,40,"60,781","21,960","6,379",277,"1,677",952,"1,477","6,176","3,501","1,656","5,442","3,399","5,506","2,379"
2020,12,50,"58,726","16,895","4,788",599,"2,749","1,919","2,480","6,201","4,631","1,560","4,959","3,895","5,214","2,836"
2020,12,60,"42,785","10,772","4,047",941,"2,588","1,890","2,310","3,442","2,964","1,174","3,574","2,860","4,088","2,135"
2020,12,70,"21,083","4,438","1,838",622,"1,405",908,"1,020","2,003","1,171",561,"1,691","1,567","2,721","1,138"
2020,12,80,"8,781","1,716",634,312,607,472,405,826,482,230,643,744,"1,182",528
2020,12,90,"1,087",233,85,48,87,78,56,87,69,28,79,76,101,60
2020,12,100,59,8,2,2,9,8,8,2,3,0,11,2,4,0
2021,1,총,"352,421","120,919","35,214","3,367","12,898","8,322","11,470","33,526","22,251","9,110","28,703","20,290","31,021","15,330"
2021,1,0,"34,397","16,084","4,826",83,540,193,449,"2,545","1,384",756,"2,388","1,391","2,502","1,256"
2021,1,10,"34,354","12,664","2,819",106,837,481,621,"4,237","1,817","1,005","3,300","1,815","3,296","1,356"
2021,1,20,"40,685","14,402","3,268",165,"1,315",845,"1,429","4,618","3,198","1,037","3,256","2,213","3,206","1,733"
2021,1,30,"48,928","21,248","6,481",206,"1,091",576,"1,238","3,376","3,023","1,101","3,310","2,273","3,147","1,858"
2021,1,40,"60,913","22,173","6,394",274,"1,653",943,"1,460","6,133","3,479","1,657","5,440","3,404","5,506","2,397"
2021,1,50,"58,703","16,968","4,765",601,"2,732","1,910","2,454","6,202","4,602","1,545","4,978","3,896","5,225","2,825"
2021,1,60,"43,273","10,928","4,100",941,"2,619","1,908","2,326","3,488","3,011","1,188","3,588","2,902","4,111","2,163"
2021,1,70,"21,131","4,476","1,834",625,"1,402",905,"1,017","2,010","1,170",562,"1,708","1,565","2,713","1,144"
2021,1,80,"8,867","1,734",637,316,608,471,410,827,493,231,644,753,"1,207",536
2021,1,90,"1,110",234,88,48,92,82,58,88,70,28,80,76,104,62
2021,1,100,60,8,2,2,9,8,8,2,4,0,11,2,4,0
2021,2,총,"352,682","121,010","35,216","3,378","12,897","8,300","11,521","33,465","22,287","9,107","28,705","20,348","31,058","15,390"
2021,2,0,"34,275","16,037","4,807",80,541,191,451,"2,520","1,373",752,"2,368","1,382","2,511","1,262"
2021,2,10,"34,402","12,690","2,828",112,832,485,642,"4,249","1,808",995,"3,302","1,813","3,266","1,380"
2021,2,20,"40,561","14,326","3,247",164,"1,315",815,"1,435","4,563","3,202","1,046","3,261","2,221","3,226","1,740"
2021,2,30,"48,575","21,122","6,410",202,"1,077",581,"1,249","3,343","3,018","1,090","3,265","2,254","3,103","1,861"
2021,2,40,"61,106","22,324","6,454",279,"1,643",938,"1,470","6,101","3,472","1,650","5,425","3,425","5,516","2,409"
2021,2,50,"58,826","17,051","4,747",601,"2,738","1,897","2,437","6,229","4,618","1,546","4,986","3,910","5,243","2,823"
2021,2,60,"43,552","10,984","4,131",952,"2,629","1,918","2,336","3,498","3,038","1,202","3,623","2,932","4,144","2,165"
2021,2,70,"21,235","4,485","1,854",623,"1,404",910,"1,018","2,030","1,182",557,"1,730","1,569","2,725","1,148"
2021,2,80,"8,963","1,745",645,314,619,474,413,842,501,238,652,764,"1,216",540
2021,2,90,"1,126",238,91,49,90,83,62,88,71,31,82,76,104,61
2021,2,100,61,8,2,2,9,8,8,2,4,0,11,2,4,1
2021,3,총,"352,830","120,932","35,122","3,367","12,851","8,335","11,465","33,341","22,202","9,110","28,426","20,287","30,747","16,645"
2021,3,0,"34,144","15,954","4,780",81,533,183,448,"2,488","1,357",746,"2,286","1,379","2,439","1,470"
2021,3,10,"34,502","12,694","2,839",110,823,587,630,"4,219","1,796","1,010","3,272","1,820","3,219","1,483"
2021,3,20,"40,459","14,260","3,229",163,"1,305",814,"1,431","4,536","3,167","1,051","3,240","2,197","3,207","1,859"
2021,3,30,"48,498","21,043","6,357",201,"1,073",571,"1,249","3,299","3,012","1,080","3,191","2,252","3,038","2,132"
2021,3,40,"61,125","22,327","6,452",274,"1,631",925,"1,452","6,065","3,463","1,653","5,378","3,417","5,428","2,660"
2021,3,50,"58,665","17,015","4,718",599,"2,696","1,877","2,410","6,241","4,593","1,537","4,947","3,871","5,189","2,972"
2021,3,60,"43,997","11,116","4,154",960,"2,669","1,915","2,343","3,516","3,066","1,214","3,644","2,965","4,168","2,267"
2021,3,70,"21,271","4,516","1,857",625,"1,400",901,"1,024","2,041","1,168",549,"1,727","1,556","2,719","1,188"
2021,3,80,"9,017","1,761",643,306,623,471,420,847,507,240,657,758,"1,233",551
2021,3,90,"1,119",241,92,48,94,82,58,87,72,30,80,70,104,61
2021,3,100,33,5,1,0,4,9,0,2,1,0,4,2,3,2
2021,4,총,"353,291","120,926","35,123","3,375","12,833","8,302","11,497","33,349","22,134","9,091","28,318","20,313","30,625","17,405"
2021,4,0,"34,018","15,867","4,767",82,524,177,450,"2,470","1,341",734,"2,235","1,388","2,409","1,574"
2021,4,10,"34,505","12,731","2,868",111,821,587,622,"4,196","1,771","1,010","3,271","1,803","3,190","1,524"
2021,4,20,"40,426","14,219","3,214",161,"1,299",812,"1,415","4,547","3,163","1,054","3,204","2,202","3,192","1,944"
2021,4,30,"48,469","20,936","6,302",201,"1,065",566,"1,269","3,307","3,007","1,075","3,168","2,268","3,020","2,285"
2021,4,40,"61,205","22,383","6,476",280,"1,627",923,"1,458","6,018","3,457","1,649","5,363","3,394","5,389","2,788"
2021,4,50,"58,699","17,007","4,714",599,"2,690","1,846","2,408","6,262","4,559","1,544","4,934","3,863","5,169","3,104"
2021,4,60,"44,393","11,222","4,175",964,"2,682","1,925","2,365","3,553","3,092","1,212","3,668","2,993","4,178","2,364"
2021,4,70,"21,348","4,545","1,863",623,"1,395",900,"1,023","2,063","1,161",545,"1,729","1,566","2,727","1,208"
2021,4,80,"9,064","1,770",647,308,630,471,427,845,510,238,664,764,"1,241",549
2021,4,90,"1,132",242,96,46,96,86,60,86,72,30,78,70,107,63
2021,4,100,32,4,1,0,4,9,0,2,1,0,4,2,3,2
2021,5,총,"353,415","120,820","35,135","3,358","12,783","8,280","11,551","33,290","22,106","9,049","28,289","20,366","30,582","17,806"
2021,5,0,"33,860","15,767","4,735",79,514,172,454,"2,455","1,337",730,"2,240","1,387","2,376","1,614"
2021,5,10,"34,493","12,762","2,892",108,821,582,621,"4,159","1,767","1,001","3,259","1,790","3,173","1,558"
2021,5,20,"40,331","14,142","3,220",159,"1,288",807,"1,417","4,551","3,152","1,038","3,188","2,211","3,179","1,979"
2021,5,30,"48,272","20,793","6,245",198,"1,057",562,"1,284","3,277","2,989","1,069","3,160","2,268","3,004","2,366"
2021,5,40,"61,142","22,398","6,475",277,"1,596",916,"1,464","6,000","3,436","1,645","5,337","3,386","5,369","2,843"
2021,5,50,"58,791","17,040","4,735",587,"2,685","1,826","2,422","6,263","4,546","1,532","4,934","3,876","5,167","3,178"
2021,5,60,"44,775","11,325","4,206",971,"2,694","1,939","2,367","3,566","3,130","1,217","3,702","3,032","4,220","2,406"
2021,5,70,"21,462","4,568","1,878",625,"1,393",907,"1,033","2,075","1,159",548,"1,729","1,577","2,734","1,236"
2021,5,80,"9,097","1,774",652,307,634,474,429,855,514,239,657,763,"1,244",555
2021,5,90,"1,159",247,96,46,97,86,60,87,75,30,79,74,113,69
2021,5,100,33,4,1,1,4,9,0,2,1,0,4,2,3,2
2021,6,총,"353,686","120,892","35,086","3,354","12,753","8,285","11,542","33,250","22,117","9,039","28,323","20,397","30,622","18,026"
2021,6,0,"33,730","15,713","4,715",78,509,175,461,"2,441","1,326",726,"2,229","1,368","2,360","1,629"
2021,6,10,"34,533","12,811","2,900",108,815,578,600,"4,140","1,771","1,011","3,270","1,802","3,160","1,567"
2021,6,20,"40,169","14,090","3,180",157,"1,263",808,"1,426","4,536","3,121","1,032","3,167","2,203","3,181","2,005"
2021,6,30,"48,197","20,744","6,189",200,"1,062",562,"1,279","3,257","3,001","1,069","3,152","2,257","3,023","2,402"
2021,6,40,"61,217","22,457","6,502",276,"1,586",909,"1,462","5,986","3,433","1,635","5,334","3,392","5,361","2,884"
2021,6,50,"58,769","17,027","4,733",583,"2,672","1,824","2,401","6,257","4,535","1,526","4,941","3,887","5,161","3,222"
2021,6,60,"45,148","11,434","4,235",969,"2,713","1,947","2,385","3,605","3,160","1,226","3,726","3,059","4,248","2,441"
2021,6,70,"21,545","4,568","1,881",627,"1,387",913,"1,035","2,077","1,176",548,"1,755","1,579","2,753","1,246"
2021,6,80,"9,174","1,797",655,310,643,474,433,862,514,237,665,773,"1,258",553
2021,6,90,"1,170",247,95,45,99,86,60,87,78,29,80,75,114,75
2021,6,100,34,4,1,1,4,9,0,2,2,0,4,2,3,2
2021,7,총,"353,981","120,988","35,093","3,369","12,753","8,283","11,566","33,223","22,116","9,028","28,384","20,398","30,666","18,114"
2021,7,0,"33,609","15,666","4,705",78,501,170,461,"2,425","1,322",720,"2,215","1,367","2,340","1,639"
2021,7,10,"34,609","12,866","2,907",114,806,591,595,"4,138","1,761","1,017","3,276","1,802","3,175","1,561"
2021,7,20,"40,020","14,012","3,162",155,"1,256",815,"1,423","4,504","3,118","1,017","3,172","2,192","3,185","2,009"
2021,7,30,"48,100","20,693","6,171",198,"1,067",560,"1,286","3,256","2,986","1,065","3,147","2,241","3,012","2,418"
2021,7,40,"61,283","22,510","6,519",277,"1,573",899,"1,466","5,953","3,416","1,633","5,372","3,394","5,373","2,898"
2021,7,50,"58,772","17,046","4,717",587,"2,665","1,807","2,398","6,264","4,539","1,528","4,945","3,870","5,168","3,238"
2021,7,60,"45,542","11,547","4,273",974,"2,743","1,949","2,402","3,638","3,198","1,233","3,745","3,101","4,268","2,471"
2021,7,70,"21,619","4,599","1,886",626,"1,391",919,"1,039","2,083","1,180",543,"1,758","1,583","2,766","1,246"
2021,7,80,"9,223","1,804",655,314,649,475,436,872,516,243,668,773,"1,258",560
2021,7,90,"1,169",241,97,45,98,89,60,88,77,29,82,73,118,72
2021,7,100,35,4,1,1,4,9,0,2,3,0,4,2,3,2
2021,8,총,"353,798","120,965","35,089","3,357","12,743","8,245","11,532","33,164","22,070","9,000","28,430","20,434","30,614","18,155"
2021,8,0,"33,407","15,593","4,675",78,489,166,452,"2,405","1,313",708,"2,184","1,367","2,324","1,653"
2021,8,10,"34,615","12,930","2,922",116,804,581,594,"4,108","1,746","1,012","3,287","1,801","3,170","1,544"
2021,8,20,"39,836","13,912","3,149",153,"1,254",801,"1,413","4,500","3,077","1,017","3,181","2,200","3,159","2,020"
2021,8,30,"47,887","20,645","6,117",195,"1,055",561,"1,269","3,232","2,987","1,057","3,141","2,234","2,984","2,410"
2021,8,40,"61,271","22,540","6,555",273,"1,557",887,"1,459","5,936","3,409","1,626","5,368","3,395","5,371","2,895"
2021,8,50,"58,852","17,067","4,732",583,"2,676","1,803","2,399","6,257","4,533","1,526","4,985","3,879","5,170","3,242"
2021,8,60,"45,747","11,605","4,284",975,"2,760","1,952","2,413","3,669","3,216","1,238","3,765","3,112","4,257","2,501"
2021,8,70,"21,679","4,618","1,890",625,"1,393",921,"1,035","2,082","1,185",544,"1,761","1,590","2,785","1,250"
2021,8,80,"9,285","1,809",667,313,652,474,439,883,522,239,672,779,"1,271",565
2021,8,90,"1,184",242,97,45,99,90,59,90,79,33,82,75,120,73
2021,8,100,35,4,1,1,4,9,0,2,3,0,4,2,3,2
2021,9,총,"353,662","121,006","35,056","3,344","12,706","8,198","11,502","33,152","22,064","8,975","28,445","20,421","30,620","18,173"
2021,9,0,"33,283","15,573","4,645",76,492,163,451,"2,375","1,312",695,"2,174","1,363","2,306","1,658"
2021,9,10,"34,594","12,985","2,941",111,793,540,579,"4,106","1,739","1,011","3,287","1,798","3,161","1,543"
2021,9,20,"39,622","13,839","3,122",148,"1,229",789,"1,397","4,510","3,064","1,006","3,153","2,195","3,148","2,022"
2021,9,30,"47,630","20,524","6,062",189,"1,059",565,"1,276","3,206","2,986","1,048","3,134","2,207","2,969","2,405"
2021,9,40,"61,322","22,606","6,577",265,"1,543",884,"1,452","5,913","3,420","1,627","5,382","3,394","5,374","2,885"
2021,9,50,"59,000","17,120","4,753",590,"2,669","1,798","2,411","6,287","4,510","1,530","4,997","3,885","5,191","3,259"
2021,9,60,"45,896","11,653","4,285",973,"2,772","1,956","2,408","3,689","3,232","1,234","3,793","3,116","4,277","2,508"
2021,9,70,"21,766","4,642","1,902",632,"1,392",930,"1,031","2,090","1,194",547,"1,763","1,603","2,786","1,254"
2021,9,80,"9,329","1,816",673,313,652,474,439,884,527,243,676,784,"1,283",565
2021,9,90,"1,187",244,95,46,102,90,58,90,78,34,82,74,122,72
2021,9,100,33,4,1,1,3,9,0,2,2,0,4,2,3,2
2021,10,총,"353,783","121,099","35,093","3,355","12,699","8,143","11,507","33,100","22,001","8,942","28,528","20,438","30,648","18,230"
2021,10,0,"33,096","15,492","4,626",73,480,162,447,"2,365","1,302",683,"2,165","1,359","2,280","1,662"
2021,10,10,"34,566","13,041","2,955",109,799,507,578,"4,086","1,722","1,006","3,291","1,783","3,146","1,543"
2021,10,20,"39,532","13,779","3,127",152,"1,219",770,"1,384","4,494","3,053","1,007","3,159","2,203","3,167","2,018"
2021,10,30,"47,542","20,495","6,047",181,"1,064",565,"1,288","3,204","2,971","1,031","3,138","2,211","2,931","2,416"
2021,10,40,"61,223","22,667","6,572",270,"1,531",872,"1,439","5,877","3,398","1,627","5,367","3,364","5,352","2,887"
2021,10,50,"59,255","17,152","4,786",594,"2,673","1,801","2,413","6,312","4,511","1,532","5,053","3,900","5,248","3,280"
2021,10,60,"46,093","11,734","4,301",976,"2,781","1,960","2,422","3,681","3,238","1,225","3,813","3,143","4,297","2,522"
2021,10,70,"21,829","4,655","1,909",634,"1,393",937,"1,043","2,093","1,181",554,"1,769","1,608","2,797","1,256"
2021,10,80,"9,423","1,835",674,320,654,470,438,895,545,243,686,788,"1,301",574
2021,10,90,"1,189",244,95,45,102,90,55,91,78,34,82,77,126,70
2021,10,100,35,5,1,1,3,9,0,2,2,0,5,2,3,2
2021,11,총,"354,071","120,795","36,182","3,360","12,656","8,057","11,488","32,949","21,900","8,915","28,488","20,401","30,636","18,244"
2021,11,0,"32,943","15,361","4,721",76,478,159,446,"2,333","1,285",675,"2,152","1,328","2,266","1,663"
