년도,월,나이,화성시,봉담읍,우정읍,향남읍,남양읍,매송면,비봉면,마도면,송산면,서신면,팔탄면,장안면,양감면,정남면,새솔동,진안동,병점1동,병점2동,반월동,기배동,화산동,동탄1동,동탄2동,동탄3동,동탄4동,동탄5동,동탄6동,동탄7동,동탄8동
2020,5,90,413,43,27,34,24,14,14,9,33,15,20,19,9,14,2,23,8,8,14,4,9,10,8,15,7,8,8,11,3
2020,5,100,33,4,3,5,0,2,2,0,0,3,0,5,0,2,0,1,0,0,1,0,2,0,1,0,0,0,1,1,0
2020,6,총,"433,894","39,999","9,492","45,216","21,763","3,835","3,297","4,101","5,863","3,941","6,020","5,884","2,445","6,594","9,889","23,751","14,418","11,984","16,501","7,095","12,297","26,014","17,754","21,549","26,747","19,716","15,906","39,032","12,791"
2020,6,0,"54,183","4,148",518,"5,663","2,099",162,136,151,250,97,170,235,63,245,"1,794","2,399","1,447","1,351","2,286",760,987,"3,330","2,343","3,115","5,017","3,223","2,336","7,543","2,315"
2020,6,10,"48,369","4,869",756,"5,028","1,773",265,175,220,440,167,254,341,89,424,955,"2,043","1,616","2,012","2,062",970,"1,213","3,540","3,301","2,778","4,303","2,015","1,490","4,200","1,070"
2020,6,20,"54,306","5,119","1,107","5,575","3,181",480,362,482,572,368,677,598,267,839,"1,180","4,028","2,550","1,475","2,217",919,"1,797","3,972","1,878","3,267","2,100","2,029","2,199","3,668","1,400"
2020,6,30,"78,331","5,591",994,"8,954","4,054",377,321,513,526,326,698,579,251,765,"2,251","5,316","2,422","1,572","2,988",832,"1,681","4,883","2,034","4,419","4,366","4,840","4,133","9,056","3,589"
2020,6,40,"85,399","8,025","1,683","9,326","3,693",571,434,667,837,513,"1,015",871,355,"1,090","1,863","4,355","2,606","2,694","3,104","1,412","2,208","5,210","4,284","4,338","6,812","4,017","2,984","8,116","2,316"
2020,6,50,"59,947","6,328","1,991","5,843","3,391",866,732,880,"1,274",946,"1,519","1,361",608,"1,472","1,177","3,042","1,997","1,641","2,194","1,159","2,163","3,379","2,441","2,109","2,783","1,969","1,649","3,871","1,162"
2020,6,60,"33,424","3,733","1,358","3,029","2,237",649,645,677,"1,054",874,"1,068","1,112",490,"1,048",532,"1,647","1,107",716,"1,177",650,"1,443","1,121",888,862,953,"1,062",763,"1,858",671
2020,6,70,"14,575","1,675",768,"1,294",973,324,319,371,592,414,423,520,220,497,108,671,512,378,367,309,607,438,440,497,329,448,276,597,208
2020,6,80,"4,916",464,287,465,338,126,157,130,285,217,177,244,93,198,27,227,153,138,91,79,187,131,136,148,77,105,68,111,57
2020,6,90,411,43,27,34,24,13,14,10,33,16,19,18,9,14,2,22,8,7,14,5,9,10,8,16,7,8,7,11,3
2020,6,100,33,4,3,5,0,2,2,0,0,3,0,5,0,2,0,1,0,0,1,0,2,0,1,0,0,0,1,1,0
2020,7,총,"435,377","40,038","9,506","45,336","21,865","3,822","3,311","4,103","5,862","3,949","6,006","5,903","2,441","6,608","10,290","23,512","14,416","11,976","16,524","7,082","12,301","26,075","17,749","21,608","26,763","19,810","16,010","39,636","12,875"
2020,7,0,"54,149","4,140",515,"5,638","2,098",163,136,150,250,96,172,233,63,244,"1,876","2,370","1,433","1,341","2,274",756,981,"3,322","2,335","3,112","4,996","3,235","2,343","7,554","2,323"
2020,7,10,"48,593","4,885",747,"5,056","1,773",261,176,222,439,167,249,340,89,430,990,"2,032","1,624","2,010","2,075",965,"1,211","3,533","3,317","2,791","4,325","2,033","1,500","4,266","1,087"
2020,7,20,"54,509","5,132","1,116","5,570","3,191",483,364,481,571,363,671,606,270,831,"1,215","3,998","2,546","1,474","2,227",920,"1,797","4,003","1,872","3,258","2,105","2,023","2,207","3,816","1,399"
2020,7,30,"78,306","5,579",984,"8,957","4,081",374,320,515,521,322,694,574,253,769,"2,329","5,154","2,417","1,562","2,979",825,"1,670","4,875","2,027","4,408","4,343","4,857","4,131","9,201","3,585"
2020,7,40,"85,720","7,994","1,677","9,386","3,703",562,437,668,835,511,"1,009",888,351,"1,082","1,962","4,339","2,601","2,669","3,102","1,409","2,203","5,216","4,263","4,364","6,825","4,031","3,029","8,249","2,355"
2020,7,50,"60,306","6,363","2,003","5,860","3,407",855,736,876,"1,276",946,"1,527","1,357",595,"1,479","1,218","3,042","2,011","1,664","2,202","1,152","2,173","3,405","2,450","2,139","2,802","1,999","1,676","3,924","1,169"
2020,7,60,"33,744","3,743","1,376","3,062","2,259",659,650,681,"1,052",892,"1,064","1,116",498,"1,060",557,"1,656","1,108",728,"1,193",658,"1,456","1,138",899,867,956,"1,065",770,"1,895",686
2020,7,70,"14,658","1,678",771,"1,300",988,323,317,373,596,417,424,522,220,500,113,675,511,384,367,313,612,441,440,501,328,454,277,604,209
2020,7,80,"4,949",477,286,468,341,127,158,126,289,216,177,244,94,197,28,223,157,138,91,79,187,132,138,151,78,105,69,115,58
2020,7,90,410,43,28,34,24,13,15,11,33,16,19,18,8,14,2,22,8,6,13,5,9,10,7,17,5,8,7,11,4
2020,7,100,33,4,3,5,0,2,2,0,0,3,0,5,0,2,0,1,0,0,1,0,2,0,1,0,0,0,1,1,0
2020,8,총,"437,083","40,086","9,503","45,499","22,017","3,833","3,309","4,133","5,856","3,959","6,006","5,882","2,444","6,593","10,571","23,491","14,424","11,937","16,504","7,073","12,299","26,207","17,755","21,634","26,775","19,964","16,016","40,389","12,924"
2020,8,0,"54,122","4,123",513,"5,659","2,110",163,133,155,247,94,172,229,59,238,"1,931","2,357","1,426","1,336","2,273",745,973,"3,318","2,322","3,094","4,970","3,243","2,339","7,573","2,327"
2020,8,10,"48,771","4,868",752,"5,053","1,773",261,177,227,440,166,250,340,91,433,"1,027","2,029","1,618","2,010","2,066",955,"1,210","3,537","3,318","2,804","4,363","2,044","1,501","4,357","1,101"
2020,8,20,"54,849","5,171","1,108","5,604","3,229",482,358,478,571,363,667,606,267,822,"1,225","3,999","2,560","1,462","2,212",925,"1,797","4,074","1,875","3,253","2,105","2,076","2,208","3,955","1,397"
2020,8,30,"78,488","5,565",980,"8,964","4,089",378,321,519,523,326,699,562,258,766,"2,391","5,127","2,394","1,545","2,981",832,"1,669","4,898","2,015","4,410","4,292","4,895","4,105","9,413","3,571"
