년도,월,나이,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020,10,10,"3,195",455,"1,942",177,194,149,69,50,116,9,34
2020,10,20,"5,386","1,253","2,451",332,461,235,144,81,329,42,58
2020,10,30,"4,240","1,025","2,177",195,274,184,123,65,145,10,42
2020,10,40,"5,006",811,"2,703",293,408,251,144,85,235,17,59
2020,10,50,"7,179","1,062","3,190",592,707,517,343,156,439,32,141
2020,10,60,"7,471","1,117","2,708",694,854,547,468,235,655,34,159
2020,10,70,"5,067",881,"1,536",500,573,430,269,227,503,26,122
2020,10,80,"2,807",516,864,313,296,235,149,96,254,13,71
2020,10,90,403,79,150,30,46,16,23,10,36,1,12
2020,10,100,46,5,21,4,8,2,2,1,2,1,0
2020,11,총,"43,531","7,891","19,333","3,229","3,939","2,637","1,783","1,028","2,769",197,725
2020,11,0,"2,752",707,"1,583",93,122,81,50,23,60,9,24
2020,11,10,"3,191",449,"1,944",178,193,149,68,51,116,9,34
2020,11,20,"5,375","1,247","2,444",335,465,232,142,81,328,42,59
2020,11,30,"4,242","1,020","2,183",191,269,183,124,67,152,12,41
2020,11,40,"4,985",812,"2,690",297,407,248,144,80,231,17,59
2020,11,50,"7,163","1,064","3,184",591,700,513,342,157,439,32,141
2020,11,60,"7,507","1,115","2,731",695,855,552,472,238,651,35,163
2020,11,70,"5,053",878,"1,532",504,572,430,267,223,499,26,122
2020,11,80,"2,819",514,869,312,304,232,151,97,257,13,70
2020,11,90,399,81,152,29,44,15,21,10,34,1,12
2020,11,100,45,4,21,4,8,2,2,1,2,1,0
2020,12,총,"43,516","7,869","19,358","3,214","3,933","2,652","1,781","1,028","2,762",200,719
2020,12,0,"2,730",690,"1,576",91,124,84,52,23,60,9,21
2020,12,10,"3,193",448,"1,953",176,189,149,71,50,113,9,35
2020,12,20,"5,364","1,245","2,436",332,461,238,142,81,327,44,58
2020,12,30,"4,259","1,015","2,204",192,269,183,125,68,151,12,40
2020,12,40,"4,978",806,"2,688",297,406,251,140,81,231,19,59
2020,12,50,"7,132","1,062","3,181",580,695,511,338,157,438,32,138
2020,12,60,"7,547","1,130","2,743",703,864,556,468,238,648,34,163
2020,12,70,"5,045",875,"1,536",500,564,432,266,223,500,26,123
2020,12,80,"2,821",512,868,310,309,230,156,96,257,13,70
2020,12,90,400,82,151,29,44,15,21,10,35,1,12
2020,12,100,47,4,22,4,8,3,2,1,2,1,0
2021,1,총,"43,438","7,829","19,349","3,208","3,938","2,626","1,782","1,026","2,757",201,722
2021,1,0,"2,702",681,"1,562",92,124,80,52,23,59,8,21
2021,1,10,"3,179",448,"1,949",172,188,146,70,50,110,10,36
2021,1,20,"5,334","1,226","2,429",330,464,233,140,80,327,47,58
2021,1,30,"4,243","1,019","2,195",191,267,176,125,67,152,12,39
2021,1,40,"4,954",796,"2,678",298,401,250,139,81,233,19,59
2021,1,50,"7,106","1,066","3,180",576,697,496,337,158,430,31,135
2021,1,60,"7,596","1,130","2,762",705,870,569,473,236,649,34,168
2021,1,70,"5,042",867,"1,547",496,563,428,264,222,505,26,124
2021,1,80,"2,833",510,873,315,313,229,158,98,255,12,70
2021,1,90,403,82,152,29,44,16,22,10,35,1,12
2021,1,100,46,4,22,4,7,3,2,1,2,1,0
2021,2,총,"43,368","7,834","19,299","3,192","3,933","2,638","1,775","1,021","2,754",202,720
2021,2,0,"2,679",681,"1,539",90,126,80,51,23,60,8,21
2021,2,10,"3,157",447,"1,934",171,187,147,68,50,108,10,35
2021,2,20,"5,321","1,225","2,420",326,460,240,141,77,329,46,57
2021,2,30,"4,225","1,026","2,183",193,262,173,125,66,145,13,39
2021,2,40,"4,932",800,"2,662",291,402,245,139,79,237,19,58
2021,2,50,"7,068","1,054","3,175",573,692,502,330,158,420,32,132
2021,2,60,"7,650","1,134","2,788",705,876,576,476,238,654,34,169
2021,2,70,"5,034",868,"1,551",498,556,422,261,220,505,26,127
2021,2,80,"2,844",512,869,311,319,234,160,98,259,12,70
2021,2,90,412,83,156,30,46,16,22,11,35,1,12
2021,2,100,46,4,22,4,7,3,2,1,2,1,0
2021,3,총,"43,063","7,827","19,153","3,167","3,862","2,615","1,770","1,015","2,728",197,729
2021,3,0,"2,655",676,"1,520",90,123,82,49,25,60,7,23
2021,3,10,"3,123",447,"1,919",169,182,143,66,47,106,9,35
2021,3,20,"5,325","1,234","2,422",332,457,235,137,77,325,48,58
2021,3,30,"4,176","1,019","2,158",185,254,172,126,66,144,11,41
2021,3,40,"4,863",802,"2,620",279,398,243,130,75,238,17,61
2021,3,50,"6,998","1,044","3,159",566,679,491,330,159,406,32,132
2021,3,60,"7,657","1,137","2,794",706,861,577,487,237,655,34,169
2021,3,70,"5,011",867,"1,541",500,551,420,259,218,501,26,128
2021,3,80,"2,828",513,859,308,313,234,161,99,259,12,70
2021,3,90,404,84,154,29,41,17,23,11,32,1,12
2021,3,100,23,4,7,3,3,1,2,1,2,0,0
2021,4,총,"43,080","7,807","19,195","3,166","3,870","2,623","1,771","1,004","2,715",195,734
2021,4,0,"2,648",670,"1,526",92,119,81,49,23,59,6,23
2021,4,10,"3,119",443,"1,909",171,187,147,68,46,104,9,35
2021,4,20,"5,296","1,241","2,411",320,453,233,138,76,320,46,58
2021,4,30,"4,156",995,"2,160",184,257,176,126,63,142,12,41
2021,4,40,"4,870",803,"2,631",278,397,240,132,76,234,17,62
2021,4,50,"7,004","1,044","3,173",570,679,492,327,151,406,31,131
2021,4,60,"7,707","1,138","2,819",711,866,580,489,240,658,35,171
2021,4,70,"5,002",867,"1,541",496,553,420,256,217,495,26,131
2021,4,80,"2,845",515,863,311,315,235,160,101,263,12,70
2021,4,90,409,86,155,30,41,18,24,10,32,1,12
2021,4,100,24,5,7,3,3,1,2,1,2,0,0
2021,5,총,"43,071","7,811","19,214","3,161","3,859","2,611","1,765",999,"2,722",195,734
2021,5,0,"2,643",683,"1,513",93,117,80,49,23,58,5,22
2021,5,10,"3,119",434,"1,921",168,191,143,67,45,104,10,36
2021,5,20,"5,288","1,248","2,415",321,445,231,133,75,319,45,56
2021,5,30,"4,146",991,"2,156",186,255,167,127,60,147,13,44
2021,5,40,"4,841",796,"2,631",275,392,239,128,76,226,16,62
2021,5,50,"6,999","1,044","3,173",567,676,495,325,148,408,31,132
2021,5,60,"7,768","1,152","2,847",713,873,579,495,243,662,35,169
2021,5,70,"4,964",858,"1,522",494,550,420,254,212,496,26,132
2021,5,80,"2,870",516,874,310,315,238,161,106,268,13,69
2021,5,90,409,84,155,31,42,18,24,10,32,1,12
2021,5,100,24,5,7,3,3,1,2,1,2,0,0
2021,6,총,"43,042","7,787","19,222","3,163","3,848","2,616","1,758","1,004","2,720",195,729
2021,6,0,"2,622",682,"1,496",91,119,81,45,23,58,5,22
2021,6,10,"3,106",432,"1,923",167,183,141,66,45,103,11,35
2021,6,20,"5,268","1,227","2,413",325,451,233,130,73,317,43,56
2021,6,30,"4,161",998,"2,159",185,258,171,127,61,146,13,43
2021,6,40,"4,819",788,"2,624",277,383,236,130,76,227,16,62
2021,6,50,"6,974","1,037","3,165",566,673,491,323,150,408,30,131
2021,6,60,"7,821","1,154","2,873",715,879,587,496,244,666,38,169
2021,6,70,"4,956",860,"1,529",490,542,423,252,211,494,24,131
2021,6,80,"2,877",518,876,312,316,236,162,110,266,13,68
2021,6,90,414,86,157,32,41,16,25,10,33,2,12
2021,6,100,24,5,7,3,3,1,2,1,2,0,0
2021,7,총,"42,985","7,759","19,216","3,157","3,869","2,610","1,755",995,"2,702",196,726
2021,7,0,"2,603",672,"1,493",88,120,79,46,22,56,5,22
2021,7,10,"3,086",428,"1,920",166,181,140,64,44,99,11,33
2021,7,20,"5,241","1,227","2,387",324,461,235,127,69,313,43,55
2021,7,30,"4,158",996,"2,163",178,258,169,129,63,144,13,45
2021,7,40,"4,799",781,"2,623",270,386,234,132,75,223,16,59
2021,7,50,"6,976","1,036","3,175",567,675,491,318,146,407,30,131
2021,7,60,"7,866","1,160","2,886",723,884,591,499,244,669,39,171
2021,7,70,"4,914",847,"1,519",485,543,417,249,208,493,24,129
2021,7,80,"2,906",523,884,320,319,237,164,113,264,13,69
2021,7,90,410,84,159,32,39,16,25,10,31,2,12
2021,7,100,26,5,7,4,3,1,2,1,3,0,0
2021,8,총,"42,942","7,741","19,196","3,150","3,895","2,598","1,749",999,"2,697",193,724
2021,8,0,"2,599",672,"1,482",88,121,82,45,22,60,5,22
2021,8,10,"3,070",424,"1,904",165,189,138,65,47,96,8,34
2021,8,20,"5,209","1,207","2,383",316,471,230,126,67,309,45,55
2021,8,30,"4,139","1,003","2,148",179,253,165,129,64,142,13,43
2021,8,40,"4,799",780,"2,620",270,396,233,129,75,223,15,58
2021,8,50,"6,957","1,026","3,171",565,675,491,319,143,405,28,134
2021,8,60,"7,909","1,169","2,910",726,888,590,500,246,670,40,170
2021,8,70,"4,900",847,"1,524",479,541,411,244,209,493,24,128
2021,8,80,"2,927",526,887,326,320,241,166,115,264,13,69
2021,8,90,407,82,160,32,38,16,24,10,32,2,11
2021,8,100,26,5,7,4,3,1,2,1,3,0,0
2021,9,총,"42,842","7,713","19,172","3,123","3,885","2,588","1,748",995,"2,707",191,720
2021,9,0,"2,578",674,"1,472",84,117,82,43,22,59,4,21
2021,9,10,"3,057",409,"1,906",161,188,138,64,47,100,9,35
2021,9,20,"5,158","1,197","2,357",312,467,224,126,66,313,44,52
2021,9,30,"4,110","1,004","2,134",173,251,161,127,62,142,13,43
2021,9,40,"4,772",770,"2,614",268,389,230,132,75,222,15,57
2021,9,50,"6,960","1,031","3,182",557,674,490,318,143,402,27,136
2021,9,60,"7,933","1,172","2,917",724,897,591,502,248,674,40,168
2021,9,70,"4,891",844,"1,523",481,537,413,245,206,491,24,127
2021,9,80,"2,943",524,898,327,323,241,162,115,269,13,71
2021,9,90,414,83,162,32,39,17,27,10,32,2,10
2021,9,100,26,5,7,4,3,1,2,1,3,0,0
2021,10,총,"42,797","7,690","19,169","3,119","3,882","2,576","1,748",994,"2,703",191,725
2021,10,0,"2,568",676,"1,462",81,120,79,43,22,60,4,21
2021,10,10,"3,050",398,"1,924",156,181,138,64,45,99,9,36
2021,10,20,"5,156","1,194","2,352",320,467,216,127,67,316,44,53
2021,10,30,"4,097","1,009","2,119",175,254,159,125,60,141,13,42
2021,10,40,"4,756",763,"2,606",265,384,231,131,77,223,15,61
2021,10,50,"6,938","1,020","3,172",558,677,486,317,144,402,26,136
2021,10,60,"7,965","1,171","2,943",725,900,592,506,249,671,41,167
2021,10,70,"4,867",839,"1,519",479,535,411,242,204,489,23,126
2021,10,80,"2,961",529,906,327,322,246,163,115,266,14,73
2021,10,90,413,86,159,30,39,17,27,10,33,2,10
2021,10,100,26,5,7,3,3,1,3,1,3,0,0
2021,11,총,"42,739","7,685","19,132","3,114","3,880","2,575","1,747",992,"2,703",192,719
2021,11,0,"2,555",680,"1,447",84,119,77,43,21,59,4,21
2021,11,10,"3,044",391,"1,929",154,182,133,64,43,102,10,36
2021,11,20,"5,125","1,189","2,339",322,462,214,122,68,316,43,50
2021,11,30,"4,096","1,022","2,109",175,252,158,125,60,138,13,44
2021,11,40,"4,734",754,"2,590",268,385,233,133,75,221,16,59
2021,11,50,"6,951","1,023","3,181",541,679,492,324,147,404,25,135
2021,11,60,"7,973","1,175","2,945",730,906,589,500,248,673,40,167
2021,11,70,"4,849",831,"1,521",479,531,410,241,204,485,24,123
2021,11,80,"2,968",530,905,327,322,249,163,115,268,15,74
2021,11,90,419,85,159,31,40,19,29,10,34,2,10
2021,11,100,25,5,7,3,2,1,3,1,3,0,0
2021,12,총,"42,721","7,670","19,124","3,116","3,895","2,567","1,741","1,003","2,696",191,718
2021,12,0,"2,541",678,"1,445",84,119,69,43,21,57,4,21
2021,12,10,"3,048",394,"1,935",154,172,136,65,45,102,10,35
2021,12,20,"5,114","1,176","2,331",329,464,212,122,70,318,42,50
2021,12,30,"4,099","1,025","2,110",171,259,156,124,63,137,13,41
2021,12,40,"4,727",755,"2,594",270,379,229,132,74,217,16,61
2021,12,50,"6,946","1,028","3,171",538,680,495,323,152,399,25,135
2021,12,60,"8,009","1,171","2,956",734,925,591,501,250,673,40,168
2021,12,70,"4,823",825,"1,516",474,531,409,237,203,483,24,121
2021,12,80,"2,982",533,902,329,323,251,164,115,274,15,76
2021,12,90,414,82,157,30,41,18,29,10,35,2,10
2021,12,100,18,3,7,3,2,1,1,0,1,0,0
