년도,월,나이,동해시,천곡동,송정동,북삼동,부곡동,동호동,발한동,묵호동,북평동,망상동,삼화동
2020,3,60,"6,349","1,999",354,"1,004",512,381,356,317,784,341,301
2020,3,70,"3,595",869,230,540,309,278,295,234,418,244,178
2020,3,80,"1,286",266,106,182,100,89,97,112,156,107,71
2020,3,90,102,25,8,13,8,5,11,13,5,9,5
2020,3,100,9,0,1,0,2,1,1,0,0,3,1
2020,4,총,"45,698","15,000","2,301","10,191","2,600","2,674","1,857","1,580","6,058","1,877","1,560"
2020,4,0,"3,495","1,472",86,839,114,165,67,57,541,90,64
2020,4,10,"4,681","1,655",157,"1,457",191,237,99,93,572,110,110
2020,4,20,"5,441","1,913",416,"1,284",271,286,171,101,685,170,144
2020,4,30,"4,961","1,853",199,"1,089",230,267,162,118,739,175,129
2020,4,40,"7,702","2,537",325,"1,901",409,432,281,258,"1,061",280,218
2020,4,50,"8,038","2,391",414,"1,889",456,526,313,278,"1,081",350,340
2020,4,60,"6,387","2,017",359,"1,005",510,386,358,316,795,338,303
2020,4,70,"3,586",871,230,534,311,281,296,229,416,243,175
2020,4,80,"1,296",267,106,180,98,88,98,117,162,109,71
2020,4,90,102,24,8,13,8,5,11,13,6,9,5
2020,4,100,9,0,1,0,2,1,1,0,0,3,1
2020,5,총,"45,769","15,142","2,280","10,140","2,603","2,651","1,837","1,578","6,111","1,867","1,560"
2020,5,0,"3,495","1,491",85,828,114,157,62,57,554,86,61
2020,5,10,"4,651","1,651",157,"1,442",187,237,92,92,574,111,108
2020,5,20,"5,462","1,930",410,"1,279",276,281,172,103,697,171,143
2020,5,30,"4,984","1,909",199,"1,072",231,261,153,117,744,171,127
2020,5,40,"7,679","2,546",316,"1,884",407,432,279,257,"1,067",275,216
2020,5,50,"8,059","2,414",410,"1,887",453,520,321,277,"1,086",349,342
2020,5,60,"6,407","2,035",355,"1,008",514,383,354,316,797,340,305
2020,5,70,"3,613",871,234,546,313,284,292,228,423,242,180
2020,5,80,"1,306",271,104,180,99,90,98,118,163,111,72
2020,5,90,104,24,9,14,7,5,13,13,6,8,5
2020,5,100,9,0,1,0,2,1,1,0,0,3,1
2020,6,총,"45,832","15,248","2,261","10,076","2,581","2,647","1,832","1,573","6,199","1,867","1,548"
2020,6,0,"3,493","1,505",85,809,112,158,59,56,565,85,59
2020,6,10,"4,632","1,648",154,"1,432",190,235,86,90,578,111,108
2020,6,20,"5,476","1,942",401,"1,282",270,282,177,103,709,168,142
2020,6,30,"4,976","1,939",194,"1,048",220,259,150,116,756,169,125
2020,6,40,"7,690","2,556",313,"1,872",405,437,280,254,"1,089",276,208
2020,6,50,"8,063","2,435",412,"1,880",448,513,321,275,"1,092",345,342
2020,6,60,"6,457","2,054",356,"1,010",518,382,354,315,815,346,307
2020,6,70,"3,623",868,232,550,312,287,295,231,424,245,179
2020,6,80,"1,308",277,104,179,97,88,96,120,164,111,72
2020,6,90,105,24,9,14,7,5,13,13,7,8,5
2020,6,100,9,0,1,0,2,1,1,0,0,3,1
2020,7,총,"45,847","15,294","2,247","10,064","2,564","2,638","1,829","1,569","6,229","1,868","1,545"
2020,7,0,"3,488","1,506",84,810,110,157,55,55,567,86,58
2020,7,10,"4,634","1,656",153,"1,425",188,237,88,90,583,108,106
2020,7,20,"5,466","1,934",398,"1,295",262,279,181,102,707,167,141
2020,7,30,"4,967","1,956",187,"1,041",210,257,152,114,752,173,125
2020,7,40,"7,676","2,567",314,"1,851",404,431,273,251,"1,104",270,211
2020,7,50,"8,064","2,428",411,"1,876",454,512,322,278,"1,094",350,339
2020,7,60,"6,499","2,076",357,"1,019",519,381,352,316,824,346,309
2020,7,70,"3,633",868,230,556,311,290,297,229,426,248,178
2020,7,80,"1,306",279,103,178,96,88,95,121,165,109,72
2020,7,90,105,24,9,13,8,5,13,13,7,8,5
2020,7,100,9,0,1,0,2,1,1,0,0,3,1
2020,8,총,"45,887","15,320","2,247","10,073","2,533","2,661","1,823","1,574","6,259","1,854","1,543"
2020,8,0,"3,483","1,504",85,805,108,151,57,56,573,86,58
2020,8,10,"4,607","1,643",150,"1,410",178,253,90,90,582,105,106
2020,8,20,"5,493","1,951",402,"1,307",259,283,179,103,712,162,135
2020,8,30,"4,968","1,958",188,"1,030",202,258,152,117,764,172,127
2020,8,40,"7,656","2,563",315,"1,865",399,427,263,249,"1,098",268,209
2020,8,50,"8,078","2,423",409,"1,881",454,514,322,281,"1,108",347,339
2020,8,60,"6,542","2,100",357,"1,024",516,388,352,317,827,348,313
2020,8,70,"3,638",871,229,560,310,293,298,230,421,248,178
2020,8,80,"1,308",284,102,178,97,88,96,119,167,105,72
2020,8,90,105,23,9,13,8,5,13,12,7,10,5
2020,8,100,9,0,1,0,2,1,1,0,0,3,1
2020,9,총,"45,906","15,335","2,242","10,022","2,541","2,655","1,817","1,578","6,322","1,838","1,556"
2020,9,0,"3,474","1,489",86,793,109,156,55,60,583,84,59
2020,9,10,"4,595","1,650",148,"1,395",180,248,89,90,584,102,109
2020,9,20,"5,485","1,953",402,"1,287",265,283,180,102,714,163,136
2020,9,30,"4,981","1,967",189,"1,030",200,250,147,116,780,169,133
2020,9,40,"7,647","2,566",317,"1,860",394,430,259,246,"1,100",262,213
2020,9,50,"8,067","2,415",405,"1,872",455,510,323,282,"1,122",344,339
2020,9,60,"6,584","2,114",357,"1,028",520,390,354,320,838,354,309
2020,9,70,"3,649",875,226,564,311,291,300,229,426,246,181
2020,9,80,"1,305",282,101,178,97,91,96,121,167,101,71
2020,9,90,110,24,10,15,8,5,13,12,8,10,5
2020,9,100,9,0,1,0,2,1,1,0,0,3,1
2020,10,총,"45,947","15,361","2,251","9,998","2,539","2,637","1,803","1,573","6,411","1,828","1,546"
2020,10,0,"3,474","1,479",87,793,107,154,54,61,600,83,56
2020,10,10,"4,590","1,659",144,"1,380",181,249,89,90,586,101,111
2020,10,20,"5,511","1,964",401,"1,296",266,280,178,104,724,164,134
2020,10,30,"4,962","1,956",195,"1,018",197,247,143,110,807,163,126
2020,10,40,"7,601","2,560",321,"1,845",385,420,252,243,"1,103",259,213
2020,10,50,"8,089","2,425",403,"1,868",458,509,324,284,"1,135",344,339
2020,10,60,"6,643","2,132",355,"1,041",526,392,353,322,852,360,310
2020,10,70,"3,651",883,230,566,310,289,301,225,427,240,180
2020,10,80,"1,306",279,104,176,99,91,95,121,168,102,71
2020,10,90,111,24,10,15,8,5,13,13,9,9,5
2020,10,100,9,0,1,0,2,1,1,0,0,3,1
2020,11,총,"45,930","15,348","2,248","9,994","2,526","2,635","1,795","1,577","6,453","1,812","1,542"
2020,11,0,"3,456","1,473",87,789,105,149,51,60,600,85,57
2020,11,10,"4,574","1,648",145,"1,370",186,250,88,91,592,97,107
2020,11,20,"5,508","1,958",398,"1,307",261,281,174,104,732,159,134
2020,11,30,"4,947","1,947",197,"1,010",197,251,141,109,808,161,126
2020,11,40,"7,581","2,562",318,"1,838",381,421,255,242,"1,099",254,211
2020,11,50,"8,088","2,429",399,"1,878",450,499,320,283,"1,146",346,338
2020,11,60,"6,687","2,138",358,"1,045",529,397,356,329,865,359,311
2020,11,70,"3,643",891,229,560,306,289,297,223,433,236,179
2020,11,80,"1,324",277,106,182,101,92,98,123,169,103,73
2020,11,90,113,25,10,15,8,5,14,13,9,9,5
2020,11,100,9,0,1,0,2,1,1,0,0,3,1
2020,12,총,"45,991","15,399","2,232","9,976","2,538","2,631","1,798","1,576","6,498","1,808","1,535"
2020,12,0,"3,414","1,462",79,768,102,148,51,59,603,87,55
2020,12,10,"4,589","1,658",148,"1,366",188,245,89,92,597,99,107
2020,12,20,"5,560","1,987",389,"1,314",262,289,171,106,752,157,133
2020,12,30,"4,941","1,947",192,"1,016",199,239,145,107,807,160,129
2020,12,40,"7,580","2,566",321,"1,822",382,423,255,244,"1,112",247,208
2020,12,50,"8,073","2,424",399,"1,865",457,499,318,281,"1,147",344,339
2020,12,60,"6,719","2,149",357,"1,065",527,400,359,323,867,363,309
2020,12,70,"3,654",900,230,564,305,290,295,227,433,234,176
2020,12,80,"1,341",280,108,181,106,91,100,126,171,105,73
2020,12,90,111,26,8,15,8,6,14,11,9,9,5
2020,12,100,9,0,1,0,2,1,1,0,0,3,1
2021,1,총,"45,914","15,354","2,213","9,961","2,525","2,613","1,785","1,575","6,549","1,803","1,536"
2021,1,0,"3,385","1,436",77,759,104,149,53,56,613,85,53
2021,1,10,"4,568","1,655",144,"1,358",187,233,89,92,606,98,106
2021,1,20,"5,554","1,996",387,"1,319",254,286,165,104,751,156,136
2021,1,30,"4,896","1,921",185,"1,012",192,235,142,107,819,155,128
2021,1,40,"7,535","2,550",318,"1,802",382,425,251,243,"1,109",248,207
2021,1,50,"8,095","2,428",396,"1,869",460,497,313,284,"1,161",345,342
2021,1,60,"6,739","2,156",360,"1,077",523,401,362,322,865,363,310
2021,1,70,"3,663",901,228,566,306,290,294,226,443,236,173
2021,1,80,"1,359",285,108,184,107,90,102,130,173,105,75
2021,1,90,110,26,9,15,8,5,13,11,9,9,5
2021,1,100,10,0,1,0,2,2,1,0,0,3,1
2021,2,총,"45,855","15,348","2,189","9,931","2,502","2,599","1,777","1,586","6,592","1,794","1,537"
2021,2,0,"3,363","1,429",75,743,104,146,50,57,624,82,53
2021,2,10,"4,561","1,659",141,"1,350",187,228,89,95,608,99,105
2021,2,20,"5,530","1,991",384,"1,318",250,286,163,103,747,152,136
2021,2,30,"4,845","1,903",178,"1,001",186,232,138,106,818,156,127
2021,2,40,"7,535","2,550",316,"1,801",373,423,254,239,"1,129",248,202
2021,2,50,"8,068","2,420",390,"1,860",459,486,315,292,"1,159",340,347
2021,2,60,"6,807","2,177",366,"1,093",517,411,362,327,876,366,312
2021,2,70,"3,653",906,224,556,309,288,291,229,447,230,173
2021,2,80,"1,376",287,104,195,108,92,103,127,174,110,76
2021,2,90,107,26,10,14,7,5,11,11,10,8,5
2021,2,100,10,0,1,0,2,2,1,0,0,3,1
2021,3,총,"45,660","15,287","2,150","9,886","2,495","2,593","1,755","1,576","6,618","1,773","1,527"
2021,3,0,"3,347","1,414",74,735,106,148,52,57,628,82,51
2021,3,10,"4,524","1,646",135,"1,339",186,229,84,94,613,98,100
2021,3,20,"5,466","1,963",373,"1,302",253,282,158,105,743,150,137
2021,3,30,"4,807","1,899",175,988,184,225,137,102,816,154,127
2021,3,40,"7,508","2,545",314,"1,796",373,419,250,237,"1,126",248,200
2021,3,50,"8,040","2,412",380,"1,862",453,486,313,295,"1,162",336,341
2021,3,60,"6,844","2,187",363,"1,096",517,418,365,326,896,361,315
2021,3,70,"3,638",903,222,556,312,285,288,223,447,230,172
2021,3,80,"1,381",291,103,198,105,95,98,130,177,106,78
2021,3,90,102,27,11,14,6,5,10,7,10,7,5
2021,3,100,3,0,0,0,0,1,0,0,0,1,1
2021,4,총,"45,622","15,221","2,115","10,029","2,475","2,596","1,756","1,564","6,572","1,774","1,520"
2021,4,0,"3,337","1,398",72,752,99,145,53,55,632,83,48
2021,4,10,"4,509","1,627",129,"1,362",184,230,83,91,606,98,99
2021,4,20,"5,470","1,957",361,"1,329",250,276,157,104,746,156,134
2021,4,30,"4,763","1,878",165,"1,005",180,226,134,100,800,151,124
2021,4,40,"7,494","2,526",305,"1,821",371,421,253,241,"1,106",251,199
2021,4,50,"8,073","2,424",381,"1,886",453,492,311,294,"1,158",332,342
2021,4,60,"6,856","2,190",364,"1,107",515,421,370,319,889,362,319
2021,4,70,"3,627",904,220,552,312,281,285,223,449,231,170
2021,4,80,"1,393",291,107,202,105,98,100,131,177,103,79
2021,4,90,98,26,11,13,6,5,10,6,9,7,5
2021,4,100,2,0,0,0,0,1,0,0,0,0,1
2021,5,총,"45,667","15,164","2,088","10,227","2,450","2,599","1,739","1,558","6,575","1,768","1,499"
2021,5,0,"3,316","1,380",66,771,100,143,52,52,628,80,44
2021,5,10,"4,494","1,621",125,"1,373",178,228,82,90,603,99,95
2021,5,20,"5,494","1,947",359,"1,375",246,279,158,104,739,152,135
2021,5,30,"4,763","1,865",163,"1,043",176,219,125,101,806,146,119
2021,5,40,"7,477","2,511",302,"1,858",365,420,253,237,"1,090",255,186
2021,5,50,"8,087","2,427",370,"1,906",449,493,308,296,"1,164",327,347
2021,5,60,"6,912","2,193",363,"1,130",514,430,370,321,906,368,317
2021,5,70,"3,615",905,220,547,311,282,280,222,447,230,171
2021,5,80,"1,410",287,109,211,106,99,101,130,183,105,79
2021,5,90,97,28,11,13,5,5,10,5,9,6,5
2021,5,100,2,0,0,0,0,1,0,0,0,0,1
2021,6,총,"45,702","15,161","2,084","10,274","2,439","2,596","1,735","1,553","6,598","1,770","1,492"
2021,6,0,"3,311","1,371",66,782,102,145,48,52,624,81,40
2021,6,10,"4,483","1,603",123,"1,376",179,227,85,90,609,98,93
2021,6,20,"5,506","1,961",362,"1,382",241,281,156,100,738,154,131
2021,6,30,"4,755","1,857",160,"1,044",174,215,127,100,811,147,120
2021,6,40,"7,469","2,519",302,"1,863",360,414,253,234,"1,085",253,186
2021,6,50,"8,098","2,424",369,"1,916",445,492,306,300,"1,174",327,345
2021,6,60,"6,949","2,198",365,"1,142",517,433,371,317,919,369,318
2021,6,70,"3,595",908,214,541,308,284,275,224,441,228,172
2021,6,80,"1,434",292,112,214,108,99,104,130,188,107,80
2021,6,90,100,28,11,14,5,5,10,6,9,6,6
2021,6,100,2,0,0,0,0,1,0,0,0,0,1
2021,7,총,"45,732","15,168","2,081","10,302","2,429","2,598","1,724","1,552","6,615","1,774","1,489"
2021,7,0,"3,296","1,369",63,777,99,146,46,52,622,81,41
2021,7,10,"4,461","1,601",123,"1,367",177,225,83,89,608,96,92
2021,7,20,"5,519","1,959",358,"1,395",245,279,155,99,741,157,131
2021,7,30,"4,747","1,849",162,"1,037",169,217,128,100,818,146,121
2021,7,40,"7,466","2,517",296,"1,879",360,413,248,233,"1,084",253,183
2021,7,50,"8,115","2,436",370,"1,915",441,494,309,297,"1,183",325,345
2021,7,60,"6,976","2,202",372,"1,159",517,433,371,320,918,367,317
2021,7,70,"3,607",909,214,545,309,286,272,226,440,234,172
2021,7,80,"1,438",295,112,214,107,99,102,130,192,108,79
2021,7,90,105,31,11,14,5,5,10,6,9,7,7
2021,7,100,2,0,0,0,0,1,0,0,0,0,1
2021,8,총,"45,716","15,168","2,058","10,321","2,426","2,594","1,725","1,557","6,608","1,772","1,487"
2021,8,0,"3,291","1,376",59,778,98,149,46,53,614,79,39
2021,8,10,"4,445","1,595",122,"1,362",175,224,79,89,610,96,93
2021,8,20,"5,483","1,942",346,"1,399",243,271,156,99,736,157,134
2021,8,30,"4,720","1,854",159,"1,035",162,216,125,99,807,145,118
2021,8,40,"7,478","2,508",297,"1,875",367,421,249,233,"1,092",252,184
2021,8,50,"8,117","2,435",364,"1,929",443,483,309,301,"1,185",325,343
2021,8,60,"7,022","2,216",374,"1,168",520,437,375,320,924,369,319
2021,8,70,"3,613",917,213,545,307,288,273,228,438,234,170
2021,8,80,"1,434",293,112,216,106,99,100,129,193,108,78
2021,8,90,111,32,12,14,5,5,13,6,9,7,8
2021,8,100,2,0,0,0,0,1,0,0,0,0,1
2021,9,총,"45,730","15,168","2,053","10,328","2,426","2,607","1,719","1,549","6,620","1,772","1,488"
2021,9,0,"3,253","1,351",55,775,94,151,45,51,616,77,38
2021,9,10,"4,470","1,607",121,"1,365",179,226,77,90,615,98,92
2021,9,20,"5,460","1,947",343,"1,392",243,265,155,99,726,155,135
2021,9,30,"4,719","1,860",162,"1,036",163,220,124,91,806,143,114
2021,9,40,"7,470","2,512",292,"1,872",362,419,252,237,"1,087",252,185
2021,9,50,"8,129","2,428",370,"1,930",446,492,309,298,"1,192",320,344
2021,9,60,"7,069","2,223",376,"1,182",520,441,373,320,936,378,320
2021,9,70,"3,594",916,212,542,307,281,270,226,438,230,172
2021,9,80,"1,450",292,110,219,107,106,101,131,194,112,78
2021,9,90,114,32,12,15,5,5,13,6,10,7,9
2021,9,100,2,0,0,0,0,1,0,0,0,0,1
2021,10,총,"45,756","15,185","2,047","10,364","2,424","2,613","1,710","1,551","6,613","1,766","1,483"
2021,10,0,"3,252","1,346",59,780,93,150,44,54,614,75,37
2021,10,10,"4,457","1,602",118,"1,360",180,230,74,87,617,98,91
2021,10,20,"5,457","1,953",344,"1,402",238,261,151,104,718,151,135
2021,10,30,"4,709","1,857",159,"1,039",167,221,125,90,798,140,113
2021,10,40,"7,465","2,521",286,"1,874",361,420,246,235,"1,084",251,187
2021,10,50,"8,144","2,431",363,"1,945",446,495,311,296,"1,192",324,341
2021,10,60,"7,095","2,229",381,"1,185",517,442,378,323,942,379,319
2021,10,70,"3,592",917,212,539,307,279,268,226,442,230,172
2021,10,80,"1,468",297,112,226,110,109,101,129,195,111,78
2021,10,90,115,32,13,14,5,5,12,7,11,7,9
2021,10,100,2,0,0,0,0,1,0,0,0,0,1
2021,11,총,"45,735","15,222","2,043","10,363","2,416","2,600","1,708","1,539","6,611","1,758","1,475"
2021,11,0,"3,231","1,342",58,773,85,152,46,52,612,75,36
2021,11,10,"4,455","1,604",117,"1,354",185,227,76,86,618,97,91
2021,11,20,"5,471","1,965",340,"1,413",237,258,149,105,721,150,133
2021,11,30,"4,674","1,836",162,"1,037",164,221,125,90,790,138,111
2021,11,40,"7,457","2,535",287,"1,872",354,418,242,230,"1,084",251,184
2021,11,50,"8,157","2,444",365,"1,935",452,492,314,296,"1,198",320,341
2021,11,60,"7,093","2,229",378,"1,199",513,440,376,319,940,382,317
2021,11,70,"3,613",938,213,540,310,277,265,227,441,227,175
2021,11,80,"1,469",298,111,226,111,109,103,127,196,111,77
2021,11,90,113,31,12,14,5,5,12,7,11,7,9
2021,11,100,2,0,0,0,0,1,0,0,0,0,1
2021,12,총,"45,795","15,291","2,050","10,386","2,403","2,586","1,702","1,538","6,607","1,764","1,468"
2021,12,0,"3,229","1,341",57,775,87,151,46,52,614,73,33
2021,12,10,"4,449","1,618",122,"1,350",179,225,75,86,611,95,88
2021,12,20,"5,520","1,982",349,"1,435",235,253,154,101,725,153,133
2021,12,30,"4,680","1,853",164,"1,035",162,218,122,90,790,136,110
2021,12,40,"7,413","2,522",280,"1,857",356,413,236,223,"1,085",254,187
2021,12,50,"8,191","2,460",366,"1,954",450,494,309,301,"1,192",323,342
2021,12,60,"7,096","2,228",380,"1,197",512,438,379,325,940,381,316
2021,12,70,"3,624",951,209,541,308,279,265,224,444,231,172
2021,12,80,"1,476",305,111,228,109,109,104,128,194,111,77
2021,12,90,116,31,12,14,5,5,12,8,12,7,10
2021,12,100,1,0,0,0,0,1,0,0,0,0,0
