년도,월,나이,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020,11,50,"3,513",163,259,583,898,422,98,71,349,670
2020,11,60,"4,161",177,302,615,"1,055",567,114,129,402,800
2020,11,70,"2,883",89,240,456,727,357,76,80,283,575
2020,11,80,"1,310",49,103,188,320,184,40,34,149,243
2020,11,90,271,18,32,59,51,36,10,6,25,34
2020,11,100,65,3,4,4,10,19,3,1,7,14
2020,12,총,"21,241","1,262","1,437","3,449","5,507","2,458",524,456,"2,352","3,796"
2020,12,0,631,18,42,101,194,44,8,7,81,136
2020,12,10,995,35,60,202,271,87,17,15,102,206
2020,12,20,"2,873",367,144,478,758,286,52,31,394,363
2020,12,30,"2,047",203,110,321,540,216,50,40,277,290
2020,12,40,"2,455",132,146,439,663,253,58,39,276,449
2020,12,50,"3,512",162,259,583,903,415,94,71,347,678
2020,12,60,"4,182",184,296,613,"1,068",565,117,130,409,800
2020,12,70,"2,884",90,238,460,723,356,75,80,284,578
2020,12,80,"1,329",51,105,189,328,182,41,35,150,248
2020,12,90,268,17,33,59,49,35,9,7,25,34
2020,12,100,65,3,4,4,10,19,3,1,7,14
2021,1,총,"21,280","1,287","1,424","3,452","5,523","2,465",527,454,"2,347","3,801"
2021,1,0,616,16,41,94,195,40,8,7,80,135
2021,1,10,"1,008",34,57,205,272,95,17,15,102,211
2021,1,20,"2,879",375,145,486,754,284,52,29,394,360
2021,1,30,"2,068",214,105,322,547,217,51,38,283,291
2021,1,40,"2,436",136,143,435,654,251,57,39,269,452
2021,1,50,"3,516",163,257,578,916,414,94,72,345,677
2021,1,60,"4,197",185,296,617,"1,069",572,119,132,407,800
2021,1,70,"2,884",93,234,462,730,354,75,79,279,578
2021,1,80,"1,338",52,109,188,325,183,41,36,155,249
2021,1,90,271,16,33,61,51,36,10,5,25,34
2021,1,100,67,3,4,4,10,19,3,2,8,14
2021,2,총,"21,289","1,308","1,411","3,449","5,535","2,492",528,447,"2,341","3,778"
2021,2,0,618,16,42,93,194,43,9,6,83,132
2021,2,10,"1,027",33,57,207,286,101,18,16,101,208
2021,2,20,"2,885",396,139,491,752,287,51,29,387,353
2021,2,30,"2,066",213,102,326,544,220,51,36,283,291
2021,2,40,"2,434",141,145,434,654,252,58,40,269,441
2021,2,50,"3,484",160,251,572,917,412,92,71,340,669
2021,2,60,"4,204",185,294,617,"1,070",581,119,129,411,798
2021,2,70,"2,885",92,234,461,728,354,76,79,278,583
2021,2,80,"1,349",53,111,185,327,187,41,34,156,255
2021,2,90,269,16,32,59,52,36,10,5,25,34
2021,2,100,68,3,4,4,11,19,3,2,8,14
2021,3,총,"21,201","1,299","1,394","3,431","5,554","2,486",527,437,"2,310","3,763"
2021,3,0,615,16,38,92,196,41,8,6,81,137
2021,3,10,"1,016",32,56,202,288,100,18,16,101,203
2021,3,20,"2,889",409,137,481,761,291,50,30,378,352
2021,3,30,"2,063",213,99,328,544,216,51,35,280,297
2021,3,40,"2,420",134,144,431,658,256,58,37,274,428
2021,3,50,"3,461",158,249,571,911,412,92,70,334,664
2021,3,60,"4,205",183,293,611,"1,079",583,119,128,407,802
2021,3,70,"2,889",88,234,471,729,353,77,77,273,587
2021,3,80,"1,360",50,112,182,335,190,42,34,157,258
2021,3,90,267,15,31,60,51,39,10,3,24,34
2021,3,100,16,1,1,2,2,5,2,1,1,1
2021,4,총,"21,189","1,327","1,392","3,429","5,530","2,497",518,432,"2,325","3,739"
2021,4,0,607,16,38,90,188,43,8,6,82,136
2021,4,10,997,30,56,200,281,98,18,16,97,201
2021,4,20,"2,899",426,134,478,762,289,50,27,386,347
2021,4,30,"2,063",224,98,332,537,215,47,36,278,296
2021,4,40,"2,414",134,142,429,648,264,58,38,278,423
2021,4,50,"3,448",160,253,562,908,414,88,70,333,660
2021,4,60,"4,213",179,292,621,"1,091",580,119,123,415,793
2021,4,70,"2,899",91,235,472,726,358,77,78,274,588
2021,4,80,"1,368",51,112,184,338,191,42,34,157,259
2021,4,90,265,15,31,59,49,40,9,3,24,35
2021,4,100,16,1,1,2,2,5,2,1,1,1
2021,5,총,"21,144","1,328","1,396","3,426","5,520","2,490",516,434,"2,318","3,716"
2021,5,0,594,17,37,90,180,44,8,6,81,131
2021,5,10,989,29,55,198,281,97,18,16,97,198
2021,5,20,"2,909",425,140,480,763,287,52,27,392,343
2021,5,30,"2,040",230,97,328,524,212,45,35,273,296
2021,5,40,"2,391",136,139,420,649,257,58,38,274,420
2021,5,50,"3,437",158,256,571,909,408,87,71,330,647
2021,5,60,"4,228",174,297,618,"1,096",588,119,125,414,797
2021,5,70,"2,896",93,229,476,722,358,76,77,277,588
2021,5,80,"1,374",50,114,184,344,192,42,35,153,260
2021,5,90,269,15,31,59,50,41,9,3,26,35
2021,5,100,17,1,1,2,2,6,2,1,1,1
2021,6,총,"20,762","1,344","1,343","3,377","5,466","2,392",485,410,"2,275","3,670"
2021,6,0,576,13,36,88,179,40,8,6,80,126
2021,6,10,973,29,54,198,273,92,17,16,98,196
2021,6,20,"2,929",432,143,481,765,290,48,26,398,346
2021,6,30,"2,018",239,95,319,515,214,42,34,271,289
2021,6,40,"2,348",136,134,412,637,254,56,35,267,417
2021,6,50,"3,388",160,241,563,906,397,81,68,328,644
2021,6,60,"4,139",178,281,612,"1,088",564,112,116,406,782
2021,6,70,"2,803",94,219,464,714,333,70,71,261,577
2021,6,80,"1,328",47,113,182,338,169,41,35,146,257
2021,6,90,246,15,26,56,49,35,8,2,20,35
2021,6,100,14,1,1,2,2,4,2,1,0,1
2021,7,총,"20,804","1,391","1,340","3,369","5,475","2,396",482,410,"2,274","3,667"
2021,7,0,569,12,37,86,176,43,7,6,77,125
2021,7,10,978,32,53,200,273,93,17,16,96,198
2021,7,20,"2,927",434,141,478,768,284,46,25,404,347
2021,7,30,"2,044",270,100,316,516,213,42,34,271,282
2021,7,40,"2,344",142,131,405,634,256,54,34,266,422
2021,7,50,"3,382",167,237,564,911,394,82,67,325,635
2021,7,60,"4,148",175,281,611,"1,093",573,114,116,405,780
2021,7,70,"2,810",96,220,465,711,333,68,73,262,582
2021,7,80,"1,340",47,113,187,341,168,42,35,148,259
2021,7,90,248,15,26,55,50,35,8,3,20,36
2021,7,100,14,1,1,2,2,4,2,1,0,1
2021,8,총,"20,851","1,450","1,339","3,359","5,458","2,395",483,403,"2,296","3,668"
2021,8,0,560,13,36,85,173,39,8,5,78,123
2021,8,10,970,29,51,199,269,95,18,15,97,197
2021,8,20,"2,961",464,146,481,756,283,44,25,416,346
2021,8,30,"2,055",291,96,307,527,209,42,31,273,279
2021,8,40,"2,353",147,132,405,629,256,53,37,269,425
2021,8,50,"3,372",169,237,559,903,395,83,66,325,635
2021,8,60,"4,161",176,282,615,"1,094",576,114,114,402,788
2021,8,70,"2,808",97,220,464,711,334,68,72,267,575
2021,8,80,"1,348",48,112,188,343,168,43,33,149,264
2021,8,90,248,15,26,54,50,36,8,4,20,35
2021,8,100,15,1,1,2,3,4,2,1,0,1
2021,9,총,"20,845","1,473","1,329","3,350","5,460","2,395",479,401,"2,298","3,660"
2021,9,0,559,14,36,82,170,43,8,5,79,122
2021,9,10,963,27,49,197,270,95,18,15,96,196
2021,9,20,"2,999",486,141,484,764,287,42,25,423,347
2021,9,30,"2,059",293,96,311,532,211,44,28,267,277
2021,9,40,"2,339",148,130,403,632,254,51,39,266,416
2021,9,50,"3,349",169,233,551,892,391,81,63,331,638
2021,9,60,"4,148",177,279,613,"1,096",572,116,113,398,784
2021,9,70,"2,814",96,224,464,702,340,67,73,273,575
2021,9,80,"1,356",47,113,190,349,165,42,35,145,270
2021,9,90,244,16,27,53,49,34,8,3,20,34
2021,9,100,15,0,1,2,4,3,2,2,0,1
2021,10,총,"20,838","1,491","1,320","3,351","5,461","2,391",479,392,"2,297","3,656"
2021,10,0,551,14,37,84,169,42,7,4,75,119
2021,10,10,947,26,48,193,264,88,20,15,97,196
2021,10,20,"3,012",497,136,492,760,293,43,22,425,344
2021,10,30,"2,054",302,98,307,535,204,42,26,267,273
2021,10,40,"2,331",149,131,405,629,253,49,37,261,417
2021,10,50,"3,335",168,229,536,897,394,83,64,332,632
2021,10,60,"4,155",178,277,622,"1,096",575,115,112,394,786
2021,10,70,"2,824",96,225,461,701,340,69,72,280,580
2021,10,80,"1,372",46,112,196,358,167,41,35,146,271
2021,10,90,243,15,26,53,49,32,8,3,20,37
2021,10,100,14,0,1,2,3,3,2,2,0,1
2021,11,총,"20,779","1,489","1,321","3,330","5,445","2,386",477,389,"2,301","3,641"
2021,11,0,543,15,37,86,166,41,8,3,74,113
2021,11,10,934,26,48,192,257,84,20,15,95,197
2021,11,20,"2,992",497,131,480,764,290,41,21,428,340
2021,11,30,"2,045",305,102,300,532,202,42,26,265,271
2021,11,40,"2,320",146,135,403,625,252,49,37,261,412
2021,11,50,"3,337",169,230,537,896,395,82,62,332,634
2021,11,60,"4,138",174,277,620,"1,090",571,114,113,397,782
2021,11,70,"2,836",96,224,462,702,344,70,73,282,583
2021,11,80,"1,382",46,112,194,362,173,41,34,146,274
2021,11,90,242,15,25,54,49,31,8,4,21,35
2021,11,100,10,0,0,2,2,3,2,1,0,0
2021,12,총,"20,769","1,532","1,314","3,326","5,437","2,367",478,386,"2,290","3,639"
2021,12,0,527,16,36,86,159,40,8,3,72,107
2021,12,10,935,27,49,193,254,84,22,14,93,199
2021,12,20,"3,003",513,133,482,766,287,39,23,420,340
2021,12,30,"2,066",327,100,301,534,200,43,25,268,268
2021,12,40,"2,310",146,133,402,627,247,50,38,258,409
2021,12,50,"3,305",168,223,528,889,392,80,62,330,633
2021,12,60,"4,148",177,279,627,"1,091",562,118,111,396,787
2021,12,70,"2,833",94,224,459,699,347,68,72,286,584
2021,12,80,"1,392",48,113,192,365,174,41,34,147,278
2021,12,90,243,16,24,55,51,32,8,3,20,34
2021,12,100,7,0,0,1,2,2,1,1,0,0
