년도,월,나이,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021,10,10,"6,893",434,"1,141","1,870",918,982,"1,548"
2021,10,20,"10,835","1,112","1,862","2,421","1,542","1,465","2,433"
2021,10,30,"11,129","1,207","1,909","2,441","1,219","1,739","2,614"
2021,10,40,"12,155",795,"2,013","3,111","1,593","1,773","2,870"
2021,10,50,"15,276","1,054","2,624","3,691","2,142","2,094","3,671"
2021,10,60,"11,589","1,132","2,021","2,941","1,465","1,388","2,642"
2021,10,70,"4,863",507,"1,124","1,146",572,551,963
2021,10,80,"2,872",284,677,581,371,373,586
2021,10,90,577,66,106,121,84,71,129
2021,10,100,21,2,3,2,6,1,7
2021,11,총,"82,303","6,999","14,490","19,773","10,596","11,460","18,985"
2021,11,0,"6,113",415,994,"1,447",693,"1,084","1,480"
2021,11,10,"6,864",426,"1,139","1,862",910,983,"1,544"
2021,11,20,"10,830","1,101","1,856","2,419","1,556","1,451","2,447"
2021,11,30,"11,130","1,217","1,924","2,433","1,206","1,724","2,626"
2021,11,40,"12,082",796,"2,005","3,090","1,584","1,754","2,853"
2021,11,50,"15,275","1,052","2,624","3,693","2,140","2,073","3,693"
2021,11,60,"11,670","1,135","2,042","2,976","1,473","1,393","2,651"
2021,11,70,"4,849",505,"1,119","1,141",568,550,966
2021,11,80,"2,884",285,679,586,373,374,587
2021,11,90,586,65,105,124,87,73,132
2021,11,100,20,2,3,2,6,1,6
2021,12,총,"82,208","7,000","14,473","19,782","10,585","11,389","18,979"
2021,12,0,"6,124",410,"1,002","1,458",696,"1,074","1,484"
2021,12,10,"6,830",423,"1,127","1,859",906,978,"1,537"
2021,12,20,"10,771","1,096","1,841","2,413","1,556","1,431","2,434"
2021,12,30,"11,137","1,221","1,930","2,443","1,204","1,708","2,631"
2021,12,40,"12,028",789,"2,009","3,079","1,571","1,743","2,837"
2021,12,50,"15,246","1,044","2,612","3,688","2,131","2,070","3,701"
2021,12,60,"11,735","1,151","2,050","2,983","1,486","1,393","2,672"
2021,12,70,"4,836",507,"1,111","1,147",564,549,958
2021,12,80,"2,886",288,680,586,378,368,586
2021,12,90,597,69,109,124,87,74,134
2021,12,100,18,2,2,2,6,1,5
