년도,월,나이,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020,9,30,"1,749",602,143,121,50,93,381,140,39,38,72,70
2020,9,40,"2,407",889,225,151,65,138,411,218,64,51,111,84
2020,9,50,"3,257",978,241,307,153,251,362,350,120,105,207,183
2020,9,60,"3,423","1,023",311,310,152,279,289,349,131,134,239,206
2020,9,70,"3,336",922,238,279,170,277,325,314,136,161,308,206
2020,9,80,"2,513",649,193,217,144,227,220,231,97,110,277,148
2020,9,90,381,96,25,29,26,24,29,44,20,18,33,37
2020,9,100,36,12,5,1,1,1,0,4,1,1,2,8
2020,10,총,"21,758","6,818","1,809","1,728",874,"1,513","2,978","2,068",744,700,"1,447","1,079"
2020,10,0,"1,401",482,147,88,31,68,372,99,30,19,39,26
2020,10,10,"1,566",577,133,80,33,94,319,141,44,25,75,45
2020,10,20,"1,729",600,145,149,54,67,286,180,61,39,85,63
2020,10,30,"1,718",594,146,119,50,90,371,135,36,37,71,69
2020,10,40,"2,401",884,227,151,62,142,409,216,66,51,108,85
2020,10,50,"3,228",969,235,305,151,246,355,351,118,106,208,184
2020,10,60,"3,442","1,030",312,311,151,283,289,349,132,134,242,209
2020,10,70,"3,333",923,240,279,170,274,327,311,137,158,308,206
2020,10,80,"2,520",650,194,215,144,224,221,238,99,112,276,147
2020,10,90,385,98,25,30,27,24,29,44,20,18,33,37
2020,10,100,35,11,5,1,1,1,0,4,1,1,2,8
2020,11,총,"21,727","6,811","1,815","1,730",877,"1,509","2,982","2,042",744,700,"1,445","1,072"
2020,11,0,"1,394",473,151,86,32,69,369,97,31,19,40,27
2020,11,10,"1,563",581,136,82,34,89,318,135,45,25,73,45
2020,11,20,"1,718",594,140,153,55,65,294,174,59,39,85,60
2020,11,30,"1,735",599,151,121,50,93,375,133,36,35,73,69
2020,11,40,"2,382",878,226,148,62,143,407,213,66,52,103,84
2020,11,50,"3,222",971,232,303,153,246,354,351,117,104,211,180
2020,11,60,"3,449","1,039",311,312,153,282,285,349,132,135,239,212
2020,11,70,"3,335",924,237,282,168,274,328,308,137,159,312,206
2020,11,80,"2,512",640,201,211,142,225,223,234,100,113,276,147
2020,11,90,382,101,25,31,27,22,29,44,20,18,31,34
2020,11,100,35,11,5,1,1,1,0,4,1,1,2,8
2020,12,총,"21,683","6,824","1,830","1,721",875,"1,505","2,961","2,025",740,692,"1,440","1,070"
2020,12,0,"1,378",477,153,82,31,69,362,91,30,17,40,26
2020,12,10,"1,552",583,137,84,34,84,315,133,41,24,72,45
2020,12,20,"1,731",597,143,153,55,65,302,172,60,42,84,58
2020,12,30,"1,720",598,155,119,48,93,368,128,38,32,74,67
2020,12,40,"2,370",879,224,147,62,138,406,211,65,51,104,83
2020,12,50,"3,213",977,235,303,153,249,346,350,116,101,208,175
2020,12,60,"3,448","1,036",312,310,153,280,284,344,134,137,240,218
2020,12,70,"3,325",923,238,279,166,277,325,311,136,154,309,207
2020,12,80,"2,527",640,204,212,145,225,225,238,99,114,276,149
2020,12,90,384,103,24,31,27,24,28,43,20,19,31,34
2020,12,100,35,11,5,1,1,1,0,4,1,1,2,8
2021,1,총,"21,632","6,861","1,823","1,727",874,"1,498","2,911","2,004",741,693,"1,430","1,070"
2021,1,0,"1,349",481,145,84,30,69,340,88,30,18,39,25
2021,1,10,"1,549",583,140,84,35,84,310,130,41,24,71,47
2021,1,20,"1,732",605,140,154,55,60,306,165,60,44,84,59
2021,1,30,"1,683",595,152,121,47,93,339,125,41,34,72,64
2021,1,40,"2,376",891,221,145,64,136,414,208,64,51,100,82
2021,1,50,"3,193",977,235,304,150,247,341,346,113,96,207,177
2021,1,60,"3,464","1,045",318,313,155,282,283,341,133,137,239,218
2021,1,70,"3,306",922,236,274,163,273,320,310,140,153,308,207
2021,1,80,"2,560",646,207,216,145,230,232,243,99,116,277,149
2021,1,90,386,106,24,31,29,23,26,44,19,19,31,34
2021,1,100,34,10,5,1,1,1,0,4,1,1,2,8
2021,2,총,"21,658","6,886","1,836","1,719",873,"1,487","2,905","2,019",737,697,"1,430","1,069"
2021,2,0,"1,353",487,149,80,30,68,339,90,28,21,35,26
2021,2,10,"1,549",587,143,85,35,84,299,133,39,25,72,47
2021,2,20,"1,717",601,139,151,54,57,310,163,61,44,80,57
2021,2,30,"1,693",596,156,119,48,87,347,128,43,35,72,62
2021,2,40,"2,377",901,219,143,65,139,404,212,60,50,101,83
2021,2,50,"3,209",976,243,306,150,247,341,353,113,97,207,176
2021,2,60,"3,472","1,053",313,316,156,277,284,340,135,136,243,219
2021,2,70,"3,299",922,238,272,160,276,322,308,137,153,303,208
2021,2,80,"2,560",646,205,214,146,227,232,243,101,115,281,150
2021,2,90,395,107,26,32,28,24,27,45,19,20,34,33
2021,2,100,34,10,5,1,1,1,0,4,1,1,2,8
2021,3,총,"21,477","6,802","1,837","1,716",860,"1,483","2,884","1,985",733,699,"1,429","1,049"
2021,3,0,"1,342",486,150,81,29,66,333,88,27,22,35,25
2021,3,10,"1,527",582,137,83,34,82,296,132,39,25,70,47
2021,3,20,"1,703",605,138,153,54,57,304,154,59,42,81,56
2021,3,30,"1,673",585,154,121,46,85,350,126,43,33,72,58
2021,3,40,"2,360",890,221,143,65,141,396,213,60,51,98,82
2021,3,50,"3,174",960,242,298,145,252,340,347,111,100,208,171
2021,3,60,"3,461","1,036",310,316,155,275,291,335,138,138,246,221
2021,3,70,"3,272",907,246,275,158,275,317,304,135,151,300,204
2021,3,80,"2,556",644,207,212,148,223,231,244,101,116,281,149
2021,3,90,393,104,27,33,25,26,26,42,20,20,36,34
2021,3,100,16,3,5,1,1,1,0,0,0,1,2,2
2021,4,총,"21,451","6,796","1,813","1,722",856,"1,478","2,907","1,980",729,695,"1,425","1,050"
2021,4,0,"1,329",475,142,81,28,66,341,88,25,23,35,25
2021,4,10,"1,524",593,137,82,34,79,291,127,39,26,68,48
2021,4,20,"1,708",605,135,154,52,55,316,152,59,41,83,56
2021,4,30,"1,652",569,146,120,48,84,361,122,42,34,68,58
2021,4,40,"2,356",897,217,143,64,141,392,214,57,50,98,83
2021,4,50,"3,175",962,241,300,144,251,341,350,112,93,209,172
2021,4,60,"3,475","1,038",311,321,151,279,289,338,140,142,245,221
2021,4,70,"3,246",898,246,272,160,270,312,302,134,150,299,203
2021,4,80,"2,572",649,206,214,150,226,235,245,101,115,282,149
2021,4,90,399,107,29,34,24,26,28,42,20,20,36,33
2021,4,100,15,3,3,1,1,1,1,0,0,1,2,2
2021,5,총,"21,428","6,791","1,822","1,710",859,"1,470","2,881","1,978",736,695,"1,432","1,054"
2021,5,0,"1,306",470,141,78,29,63,330,86,25,23,36,25
2021,5,10,"1,520",592,137,83,34,76,288,128,41,26,68,47
2021,5,20,"1,676",593,132,151,52,56,307,152,57,39,81,56
2021,5,30,"1,643",570,145,116,49,81,356,123,41,36,68,58
2021,5,40,"2,343",890,221,141,64,136,389,209,58,48,102,85
2021,5,50,"3,182",959,245,302,138,254,339,353,114,94,211,173
2021,5,60,"3,499","1,044",314,322,157,280,294,336,141,144,245,222
2021,5,70,"3,242",901,244,269,161,268,314,303,135,149,298,200
2021,5,80,"2,598",659,211,213,150,230,237,243,104,114,285,152
2021,5,90,403,109,29,34,24,25,26,45,20,21,36,34
2021,5,100,16,4,3,1,1,1,1,0,0,1,2,2
2021,6,총,"21,391","6,791","1,803","1,711",853,"1,475","2,864","1,978",735,694,"1,431","1,056"
2021,6,0,"1,287",470,134,77,30,63,320,87,25,22,34,25
2021,6,10,"1,520",592,135,83,33,77,289,126,41,26,70,48
2021,6,20,"1,662",582,132,158,51,58,299,151,59,39,79,54
2021,6,30,"1,622",569,143,114,46,80,351,118,43,33,66,59
2021,6,40,"2,343",893,217,144,64,133,384,211,58,49,104,86
2021,6,50,"3,169",954,240,298,138,258,344,351,113,95,206,172
2021,6,60,"3,514","1,050",316,323,156,277,297,338,139,144,251,223
2021,6,70,"3,247",906,243,264,163,267,313,308,137,148,297,201
2021,6,80,"2,606",665,209,214,149,232,241,243,101,115,286,151
2021,6,90,404,106,30,35,22,29,25,45,19,22,36,35
2021,6,100,17,4,4,1,1,1,1,0,0,1,2,2
2021,7,총,"21,351","6,766","1,794","1,706",851,"1,472","2,870","1,989",728,689,"1,433","1,053"
2021,7,0,"1,274",464,129,76,29,61,323,87,24,22,33,26
2021,7,10,"1,512",591,136,81,34,76,286,127,40,25,70,46
2021,7,20,"1,650",562,134,154,49,59,309,155,59,39,76,54
2021,7,30,"1,626",571,141,113,46,80,352,122,42,33,68,58
2021,7,40,"2,332",893,212,144,66,133,378,210,59,48,103,86
2021,7,50,"3,160",957,236,292,135,256,348,352,111,93,207,173
2021,7,60,"3,523","1,050",322,327,155,276,296,339,137,146,253,222
2021,7,70,"3,248",904,244,266,163,268,311,312,136,146,295,203
2021,7,80,"2,605",661,207,216,151,234,242,242,101,114,289,148
2021,7,90,405,109,30,36,22,28,24,43,19,22,37,35
2021,7,100,16,4,3,1,1,1,1,0,0,1,2,2
2021,8,총,"21,321","6,762","1,784","1,706",852,"1,470","2,827","1,993",750,688,"1,429","1,060"
2021,8,0,"1,273",465,127,77,26,60,317,88,31,24,32,26
2021,8,10,"1,505",588,136,78,35,79,281,127,42,25,68,46
2021,8,20,"1,634",559,131,162,50,57,293,155,57,37,78,55
2021,8,30,"1,617",569,137,113,46,80,347,126,46,31,65,57
2021,8,40,"2,318",889,210,142,67,130,369,208,66,47,103,87
2021,8,50,"3,159",957,240,293,135,256,346,353,114,91,201,173
2021,8,60,"3,547","1,060",319,327,157,278,296,343,138,149,254,226
2021,8,70,"3,239",902,244,261,162,265,312,310,135,147,298,203
2021,8,80,"2,605",662,206,216,151,236,241,240,102,112,290,149
2021,8,90,408,107,31,36,22,28,24,43,19,24,38,36
2021,8,100,16,4,3,1,1,1,1,0,0,1,2,2
2021,9,총,"21,249","6,748","1,786","1,704",851,"1,458","2,811","1,980",743,683,"1,421","1,064"
2021,9,0,"1,262",458,130,79,26,57,311,87,30,26,30,28
2021,9,10,"1,500",588,139,76,36,77,278,127,41,24,68,46
2021,9,20,"1,603",549,121,160,48,55,296,151,57,37,78,51
2021,9,30,"1,596",560,140,111,45,79,340,126,45,30,61,59
2021,9,40,"2,306",892,211,138,66,128,368,205,63,46,102,87
2021,9,50,"3,156",959,243,299,134,255,344,349,115,90,198,170
2021,9,60,"3,558","1,064",321,327,159,276,297,341,138,145,259,231
2021,9,70,"3,222",904,241,258,163,264,308,308,132,147,293,204
2021,9,80,"2,613",659,206,219,152,237,243,242,102,112,292,149
2021,9,90,417,111,31,36,21,29,25,44,20,25,38,37
2021,9,100,16,4,3,1,1,1,1,0,0,1,2,2
2021,10,총,"21,271","6,760","1,795","1,709",856,"1,454","2,807","1,972",740,693,"1,421","1,064"
2021,10,0,"1,251",457,129,77,27,56,301,87,30,28,30,29
2021,10,10,"1,509",589,140,79,38,78,280,126,42,23,68,46
2021,10,20,"1,607",557,127,155,48,54,297,149,53,37,77,53
2021,10,30,"1,591",557,138,115,44,78,344,120,44,30,60,61
2021,10,40,"2,314",892,215,138,64,130,366,204,64,50,104,87
2021,10,50,"3,173",969,247,300,138,256,346,349,113,90,195,170
2021,10,60,"3,570","1,066",323,331,156,275,296,341,140,149,264,229
2021,10,70,"3,202",898,237,257,166,260,306,310,130,148,289,201
2021,10,80,"2,622",661,205,221,152,237,245,241,104,112,294,150
2021,10,90,416,110,31,35,22,29,25,45,20,25,38,36
2021,10,100,16,4,3,1,1,1,1,0,0,1,2,2
2021,11,총,"21,246","6,751","1,798","1,693",848,"1,450","2,817","1,977",740,686,"1,428","1,058"
2021,11,0,"1,244",456,133,72,27,55,297,90,28,28,29,29
2021,11,10,"1,510",594,139,78,38,79,278,125,43,23,69,44
2021,11,20,"1,602",554,128,150,44,54,305,151,52,33,77,54
2021,11,30,"1,589",554,138,113,42,78,349,116,43,32,63,61
2021,11,40,"2,306",892,214,137,64,128,365,209,64,47,103,83
2021,11,50,"3,178",970,248,300,136,250,348,353,114,91,196,172
2021,11,60,"3,571","1,066",323,329,156,279,297,339,142,149,265,226
2021,11,70,"3,185",894,237,258,164,260,303,306,130,145,287,201
2021,11,80,"2,628",659,205,219,151,238,248,243,104,112,298,151
2021,11,90,418,108,31,36,25,28,26,45,20,25,39,35
2021,11,100,15,4,2,1,1,1,1,0,0,1,2,2
2021,12,총,"21,159","6,724","1,799","1,700",841,"1,435","2,803","1,963",744,687,"1,408","1,055"
2021,12,0,"1,216",443,132,70,26,55,290,89,29,26,28,28
2021,12,10,"1,510",598,138,81,37,70,284,124,40,26,69,43
2021,12,20,"1,568",546,126,156,44,51,290,141,57,33,71,53
2021,12,30,"1,559",539,139,113,40,76,342,116,42,31,62,59
2021,12,40,"2,319",892,214,140,63,130,372,210,65,48,101,84
2021,12,50,"3,179",972,251,301,133,250,352,352,114,90,192,172
2021,12,60,"3,560","1,061",319,326,160,278,294,340,144,149,264,225
2021,12,70,"3,181",900,242,256,160,257,305,305,128,142,283,203
2021,12,80,"2,643",666,206,222,153,238,249,240,105,115,299,150
2021,12,90,412,103,30,35,24,29,24,46,20,26,37,38
2021,12,100,12,4,2,0,1,1,1,0,0,1,2,0
