년도,월,나이,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020,8,80,"5,269",239,314,208,292,287,445,169,474,350,376,507,375,346,446,441
2020,8,90,916,45,53,47,63,43,76,29,98,54,72,79,56,46,74,81
2020,8,100,164,18,9,6,7,12,20,5,7,10,10,11,11,12,19,7
2020,9,총,"179,969","11,820","10,094","8,020","11,561","8,459","15,141","6,262","18,453","11,868","13,306","14,940","9,007","11,570","14,061","15,407"
2020,9,0,"9,847",208,434,371,598,365,739,280,"1,632",541,817,"1,172",373,440,897,980
2020,9,10,"12,936",416,524,373,703,497,923,270,"2,716",728,917,"1,316",454,598,"1,199","1,302"
2020,9,20,"33,156","5,414","2,302","1,478","2,178","1,341","2,246","1,397","2,096","2,311","1,974","2,020","1,392","2,601","1,907","2,499"
2020,9,30,"28,592","2,061","1,802","1,440","2,015","1,298","2,246","1,449","2,252","1,905","2,044","2,327","1,216","2,162","1,967","2,408"
2020,9,40,"26,822",977,"1,249","1,073","1,523","1,170","2,115",800,"4,150","1,706","2,073","2,445","1,190","1,596","2,286","2,469"
2020,9,50,"28,103",983,"1,442","1,309","1,893","1,508","2,803",796,"2,668","1,894","2,280","2,431","1,498","1,665","2,378","2,555"
2020,9,60,"22,047",892,"1,225","1,076","1,501","1,235","2,301",667,"1,524","1,482","1,847","1,776","1,554","1,323","1,849","1,795"
2020,9,70,"12,096",570,739,633,787,704,"1,224",401,827,883,890,854,890,780,"1,040",874
2020,9,80,"5,291",236,316,215,294,288,445,170,480,349,384,509,372,349,448,436
2020,9,90,912,44,52,46,62,41,79,27,101,59,69,79,57,44,70,82
2020,9,100,167,19,9,6,7,12,20,5,7,10,11,11,11,12,20,7
2020,10,총,"179,821","11,871","10,053","7,991","11,590","8,442","15,091","6,282","18,405","11,872","13,277","14,957","8,985","11,541","14,059","15,405"
2020,10,0,"9,757",202,428,371,594,360,733,283,"1,625",536,804,"1,170",373,430,887,961
2020,10,10,"12,850",395,516,365,707,489,923,266,"2,712",727,907,"1,323",452,593,"1,178","1,297"
2020,10,20,"33,277","5,482","2,309","1,470","2,175","1,347","2,249","1,393","2,095","2,319","1,981","2,036","1,392","2,597","1,911","2,521"
2020,10,30,"28,444","2,075","1,773","1,433","2,022","1,297","2,222","1,462","2,223","1,906","2,022","2,312","1,216","2,138","1,958","2,385"
2020,10,40,"26,781",967,"1,245","1,066","1,529","1,163","2,100",809,"4,152","1,703","2,064","2,440","1,183","1,617","2,268","2,475"
2020,10,50,"28,084",980,"1,446","1,302","1,897","1,509","2,799",784,"2,673","1,887","2,292","2,420","1,488","1,657","2,392","2,558"
2020,10,60,"22,131",898,"1,216","1,084","1,515","1,232","2,295",681,"1,517","1,491","1,852","1,799","1,555","1,324","1,871","1,801"
2020,10,70,"12,118",571,746,630,788,702,"1,224",402,825,883,896,860,884,779,"1,045",883
2020,10,80,"5,302",238,314,217,297,291,445,171,473,351,378,506,375,349,461,436
2020,10,90,912,44,51,47,60,40,82,26,103,59,71,80,56,44,68,81
2020,10,100,165,19,9,6,6,12,19,5,7,10,10,11,11,13,20,7
2020,11,총,"179,659","11,902","10,088","8,060","11,575","8,435","15,070","6,267","18,385","11,838","13,205","14,946","8,939","11,535","14,042","15,372"
2020,11,0,"9,649",202,429,369,583,361,714,284,"1,611",524,792,"1,166",368,419,883,944
2020,11,10,"12,817",390,517,366,708,475,921,269,"2,705",730,896,"1,330",448,598,"1,178","1,286"
2020,11,20,"33,297","5,486","2,330","1,509","2,164","1,356","2,236","1,380","2,094","2,316","1,961","2,028","1,386","2,611","1,917","2,523"
2020,11,30,"28,390","2,098","1,772","1,462","2,026","1,298","2,220","1,465","2,207","1,894","2,005","2,293","1,198","2,127","1,947","2,378"
2020,11,40,"26,703",958,"1,256","1,062","1,519","1,150","2,081",811,"4,156","1,696","2,054","2,442","1,176","1,612","2,266","2,464"
2020,11,50,"28,034",983,"1,444","1,295","1,902","1,502","2,801",773,"2,680","1,887","2,278","2,418","1,486","1,657","2,371","2,557"
2020,11,60,"22,197",910,"1,218","1,093","1,516","1,243","2,311",676,"1,520","1,491","1,858","1,806","1,553","1,313","1,882","1,807"
2020,11,70,"12,135",569,743,630,798,695,"1,228",409,827,877,900,860,879,789,"1,047",884
2020,11,80,"5,361",243,319,221,295,302,452,168,475,357,381,512,378,351,464,443
2020,11,90,910,44,51,47,58,41,87,27,103,56,70,80,55,45,67,79
2020,11,100,166,19,9,6,6,12,19,5,7,10,10,11,12,13,20,7
2020,12,총,"179,372","11,924","10,089","8,106","11,549","8,402","14,986","6,281","18,318","11,840","13,145","14,916","8,933","11,512","13,993","15,378"
2020,12,0,"9,595",199,428,370,585,352,709,283,"1,592",524,789,"1,166",365,414,874,945
2020,12,10,"12,712",383,501,370,699,466,901,262,"2,694",720,886,"1,336",448,599,"1,168","1,279"
2020,12,20,"33,419","5,522","2,365","1,542","2,166","1,366","2,237","1,394","2,090","2,321","1,944","2,009","1,387","2,619","1,921","2,536"
2020,12,30,"28,287","2,082","1,769","1,472","2,024","1,311","2,193","1,471","2,183","1,885","1,989","2,284","1,202","2,106","1,938","2,378"
2020,12,40,"26,599",971,"1,252","1,063","1,520","1,136","2,056",815,"4,144","1,691","2,037","2,440","1,173","1,609","2,246","2,446"
2020,12,50,"27,941",984,"1,440","1,290","1,892","1,481","2,793",762,"2,684","1,881","2,277","2,420","1,476","1,641","2,363","2,557"
2020,12,60,"22,241",907,"1,214","1,093","1,508","1,238","2,312",685,"1,528","1,516","1,863","1,789","1,556","1,321","1,897","1,814"
2020,12,70,"12,114",570,737,632,795,695,"1,222",409,818,879,901,866,877,786,"1,036",891
2020,12,80,"5,384",243,321,222,296,302,458,168,473,356,379,517,380,360,463,446
2020,12,90,916,45,53,46,58,43,86,27,105,57,70,78,57,44,68,79
2020,12,100,164,18,9,6,6,12,19,5,7,10,10,11,12,13,19,7
2021,1,총,"179,103","11,928","10,080","8,106","11,553","8,374","14,936","6,274","18,297","11,804","13,117","14,906","8,892","11,515","13,954","15,367"
2021,1,0,"9,470",197,425,367,580,349,693,278,"1,558",511,781,"1,156",358,407,866,944
2021,1,10,"12,658",384,495,363,694,459,882,261,"2,703",723,886,"1,331",444,589,"1,167","1,277"
2021,1,20,"33,343","5,523","2,375","1,544","2,151","1,369","2,224","1,384","2,081","2,321","1,946","2,003","1,379","2,615","1,907","2,521"
2021,1,30,"28,249","2,085","1,763","1,478","2,036","1,298","2,190","1,470","2,172","1,875","1,972","2,277","1,200","2,127","1,922","2,384"
2021,1,40,"26,515",974,"1,251","1,058","1,527","1,130","2,038",812,"4,142","1,678","2,032","2,434","1,161","1,603","2,233","2,442"
2021,1,50,"27,890",979,"1,436","1,293","1,889","1,478","2,784",763,"2,691","1,869","2,270","2,430","1,470","1,631","2,369","2,538"
2021,1,60,"22,370",907,"1,216","1,095","1,518","1,238","2,330",695,"1,540","1,533","1,868","1,802","1,554","1,339","1,898","1,837"
2021,1,70,"12,100",570,731,633,797,690,"1,227",409,822,872,899,864,874,783,"1,038",891
2021,1,80,"5,420",246,323,225,296,304,464,170,477,356,382,520,380,363,466,448
2021,1,90,927,45,56,44,59,47,85,27,104,56,71,80,60,45,69,79
2021,1,100,161,18,9,6,6,12,19,5,7,10,10,9,12,13,19,6
2021,2,총,"178,713","11,925","10,070","8,068","11,519","8,347","14,901","6,240","18,274","11,800","13,047","14,901","8,891","11,502","13,914","15,314"
2021,2,0,"9,339",193,416,364,569,343,680,269,"1,539",504,772,"1,159",357,400,848,926
2021,2,10,"12,609",403,491,359,688,454,879,259,"2,713",714,860,"1,333",443,584,"1,165","1,264"
2021,2,20,"33,207","5,497","2,367","1,550","2,147","1,365","2,212","1,363","2,063","2,324","1,930","1,984","1,388","2,626","1,886","2,505"
2021,2,30,"28,113","2,091","1,758","1,463","2,013","1,287","2,190","1,467","2,150","1,872","1,961","2,268","1,181","2,130","1,911","2,371"
2021,2,40,"26,452",976,"1,259","1,051","1,513","1,132","2,025",800,"4,158","1,679","2,028","2,435","1,160","1,584","2,226","2,426"
2021,2,50,"27,820",966,"1,435","1,273","1,886","1,478","2,783",770,"2,693","1,864","2,255","2,440","1,455","1,631","2,356","2,535"
2021,2,60,"22,495",922,"1,225","1,097","1,538","1,235","2,343",695,"1,541","1,541","1,875","1,800","1,576","1,332","1,921","1,854"
2021,2,70,"12,118",567,727,629,795,691,"1,222",409,825,875,903,870,874,794,"1,042",895
