년도,월,나이,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020,6,50,"76,688","5,908","8,517","4,097","12,380","7,875","7,852","5,472","7,556","8,517","8,514"
2020,6,60,"53,865","4,955","6,478","2,865","7,732","3,938","6,296","4,483","5,862","5,730","5,526"
2020,6,70,"24,723","2,352","3,129","1,218","3,035","1,536","3,050","1,945","2,752","3,051","2,655"
2020,6,80,"12,972","1,101","1,549",679,"1,805",838,"1,447",947,"1,523","1,684","1,399"
2020,6,90,"2,308",199,230,129,368,183,279,164,274,260,222
2020,6,100,183,26,22,10,15,4,23,19,26,21,17
2020,7,총,"415,304","31,937","45,166","21,400","68,246","44,455","41,775","29,020","49,280","42,324","41,701"
2020,7,0,"28,970","1,500","2,835","1,401","4,959","4,093","2,361","1,896","4,999","2,355","2,571"
2020,7,10,"35,051","1,977","3,558","1,870","5,757","4,955","3,125","2,243","4,586","3,575","3,405"
2020,7,20,"57,379","5,075","6,135","3,066","10,033","6,025","5,668","3,827","5,605","5,982","5,963"
2020,7,30,"57,660","4,321","5,921","2,727","11,177","6,735","5,396","3,888","7,741","4,621","5,133"
2020,7,40,"65,151","4,499","6,755","3,318","10,923","8,222","6,246","4,066","8,373","6,493","6,256"
2020,7,50,"76,591","5,899","8,491","4,085","12,381","7,883","7,836","5,470","7,545","8,500","8,501"
2020,7,60,"54,202","4,973","6,544","2,886","7,776","3,972","6,324","4,524","5,869","5,769","5,565"
2020,7,70,"24,818","2,362","3,130","1,222","3,050","1,545","3,073","1,970","2,748","3,057","2,661"
2020,7,80,"12,981","1,102","1,546",684,"1,803",839,"1,441",952,"1,518","1,686","1,410"
2020,7,90,"2,320",203,230,131,372,184,282,165,270,265,218
2020,7,100,181,26,21,10,15,2,23,19,26,21,18
2020,8,총,"414,454","31,880","45,088","21,373","68,173","44,315","41,653","28,978","49,160","42,211","41,623"
2020,8,0,"28,696","1,479","2,828","1,395","4,925","4,048","2,339","1,874","4,930","2,335","2,543"
2020,8,10,"34,900","1,972","3,524","1,866","5,736","4,931","3,119","2,217","4,590","3,549","3,396"
2020,8,20,"57,210","5,047","6,124","3,057","10,046","6,013","5,619","3,797","5,589","5,968","5,950"
2020,8,30,"57,281","4,331","5,883","2,716","11,087","6,696","5,333","3,895","7,657","4,590","5,093"
2020,8,40,"65,008","4,482","6,749","3,316","10,908","8,202","6,223","4,051","8,390","6,461","6,226"
2020,8,50,"76,388","5,860","8,446","4,064","12,381","7,860","7,802","5,472","7,552","8,481","8,470"
2020,8,60,"54,577","5,007","6,587","2,906","7,837","3,998","6,381","4,553","5,883","5,803","5,622"
2020,8,70,"24,849","2,373","3,131","1,232","3,056","1,536","3,083","1,975","2,754","3,047","2,662"
2020,8,80,"13,023","1,097","1,567",678,"1,800",850,"1,447",961,"1,516","1,688","1,419"
2020,8,90,"2,338",205,228,133,382,179,284,164,272,268,223
2020,8,100,184,27,21,10,15,2,23,19,27,21,19
2020,9,총,"414,119","31,843","45,074","21,335","68,153","44,284","41,574","29,019","49,167","42,153","41,517"
2020,9,0,"28,511","1,472","2,810","1,395","4,872","4,038","2,324","1,878","4,896","2,310","2,516"
2020,9,10,"34,825","1,956","3,517","1,852","5,740","4,930","3,110","2,217","4,595","3,524","3,384"
2020,9,20,"57,093","5,024","6,121","3,058","10,050","5,992","5,595","3,796","5,587","5,956","5,914"
2020,9,30,"57,116","4,324","5,846","2,702","11,033","6,679","5,338","3,913","7,637","4,584","5,060"
2020,9,40,"64,796","4,463","6,732","3,296","10,924","8,173","6,175","4,034","8,403","6,420","6,176"
2020,9,50,"76,287","5,851","8,444","4,048","12,328","7,876","7,786","5,470","7,542","8,483","8,459"
2020,9,60,"54,933","5,031","6,627","2,922","7,927","4,020","6,393","4,568","5,935","5,831","5,679"
2020,9,70,"24,932","2,378","3,150","1,240","3,070","1,534","3,105","1,981","2,751","3,065","2,658"
2020,9,80,"13,062","1,104","1,570",675,"1,801",858,"1,447",974,"1,520","1,687","1,426"
2020,9,90,"2,376",213,233,137,392,181,278,170,274,273,225
2020,9,100,188,27,24,10,16,3,23,18,27,20,20
2020,10,총,"413,667","31,766","45,044","21,310","68,037","44,244","41,527","29,070","49,156","42,055","41,458"
2020,10,0,"28,306","1,445","2,791","1,384","4,853","4,011","2,305","1,869","4,855","2,291","2,502"
2020,10,10,"34,678","1,935","3,503","1,848","5,690","4,901","3,111","2,224","4,619","3,496","3,351"
2020,10,20,"56,993","5,009","6,127","3,049","10,024","5,992","5,555","3,815","5,573","5,931","5,918"
2020,10,30,"56,873","4,328","5,812","2,703","10,989","6,663","5,311","3,912","7,579","4,560","5,016"
2020,10,40,"64,643","4,431","6,694","3,281","10,898","8,155","6,166","4,043","8,443","6,386","6,146"
2020,10,50,"76,192","5,847","8,433","4,051","12,306","7,869","7,757","5,471","7,546","8,463","8,449"
2020,10,60,"55,306","5,029","6,684","2,927","8,007","4,070","6,453","4,582","5,959","5,873","5,722"
2020,10,70,"25,022","2,395","3,166","1,242","3,073","1,547","3,111","1,990","2,759","3,072","2,667"
2020,10,80,"13,110","1,107","1,580",678,"1,800",852,"1,459",978,"1,524","1,692","1,440"
2020,10,90,"2,356",213,231,137,381,181,276,168,272,271,226
2020,10,100,188,27,23,10,16,3,23,18,27,20,21
2020,11,총,"413,151","31,738","45,017","21,279","67,999","44,170","41,391","29,043","49,116","41,976","41,422"
2020,11,0,"28,112","1,432","2,754","1,368","4,842","3,992","2,273","1,868","4,828","2,275","2,480"
2020,11,10,"34,506","1,935","3,494","1,844","5,667","4,871","3,094","2,208","4,600","3,473","3,320"
2020,11,20,"56,937","5,026","6,166","3,033","10,018","5,989","5,491","3,792","5,572","5,928","5,922"
2020,11,30,"56,675","4,303","5,790","2,714","10,975","6,618","5,292","3,914","7,526","4,527","5,016"
2020,11,40,"64,422","4,429","6,656","3,262","10,875","8,146","6,130","4,024","8,454","6,336","6,110"
2020,11,50,"76,064","5,833","8,421","4,035","12,278","7,859","7,732","5,463","7,541","8,459","8,443"
2020,11,60,"55,644","5,027","6,714","2,939","8,072","4,112","6,487","4,600","6,005","5,915","5,773"
2020,11,70,"25,118","2,401","3,182","1,257","3,089","1,540","3,129","2,006","2,767","3,070","2,677"
2020,11,80,"13,126","1,118","1,583",680,"1,789",856,"1,464",981,"1,519","1,704","1,432"
2020,11,90,"2,359",207,233,137,378,184,276,169,277,269,229
2020,11,100,188,27,24,10,16,3,23,18,27,20,20
2020,12,총,"412,360","31,635","44,933","21,215","67,938","44,029","41,408","29,008","48,991","41,856","41,347"
2020,12,0,"27,843","1,422","2,731","1,351","4,809","3,955","2,263","1,851","4,770","2,249","2,442"
