년도,월,나이,진안군,진안읍,용담면,안천면,동향면,상전면,백운면,성수면,마령면,부귀면,정천면,주천면
2020,3,40,"1,675",798,39,45,64,48,135,118,103,187,53,85
2020,3,50,"2,636",977,96,106,152,97,202,190,202,325,109,180
2020,3,60,"2,449",814,113,112,153,106,194,189,188,306,117,157
2020,3,70,"1,716",552,71,78,108,69,148,142,148,179,78,143
2020,3,80,766,250,22,47,43,33,76,50,74,65,44,62
2020,3,90,96,31,2,5,10,2,5,6,9,12,6,8
2020,3,100,9,4,1,0,1,0,0,2,1,0,0,0
2020,4,총,"12,888","5,143",412,515,670,454,"1,021",899,920,"1,514",566,774
2020,4,0,685,363,7,23,29,14,46,45,33,73,29,23
2020,4,10,883,437,15,30,39,19,54,45,49,123,33,39
2020,4,20,"1,132",533,23,38,48,36,88,67,65,143,46,45
2020,4,30,846,401,24,29,25,31,68,41,48,98,47,34
2020,4,40,"1,662",791,40,43,63,48,131,120,101,185,55,85
2020,4,50,"2,620",969,97,108,149,95,206,185,201,326,109,175
2020,4,60,"2,458",813,108,113,153,106,196,198,186,310,117,158
2020,4,70,"1,725",548,72,79,111,70,150,140,152,180,80,143
2020,4,80,774,253,23,47,42,33,78,50,75,65,44,64
2020,4,90,94,31,2,5,10,2,4,6,9,11,6,8
2020,4,100,9,4,1,0,1,0,0,2,1,0,0,0
2020,5,총,"12,877","5,131",410,518,671,454,"1,021",901,919,"1,520",561,771
2020,5,0,684,359,7,23,29,16,46,45,32,75,29,23
2020,5,10,880,430,15,36,38,19,54,45,50,122,32,39
2020,5,20,"1,130",539,22,36,47,35,86,65,67,144,44,45
2020,5,30,847,401,23,27,26,32,69,43,48,97,47,34
2020,5,40,"1,652",784,40,46,64,47,129,119,96,188,54,85
2020,5,50,"2,611",962,97,108,147,94,206,190,201,326,107,173
2020,5,60,"2,462",817,107,111,155,107,196,197,186,308,119,159
2020,5,70,"1,728",549,73,79,112,69,152,139,151,185,79,140
2020,5,80,782,255,23,47,42,33,79,51,78,64,44,66
2020,5,90,92,31,2,5,10,2,4,5,9,11,6,7
2020,5,100,9,4,1,0,1,0,0,2,1,0,0,0
2020,6,총,"12,876","5,114",417,519,669,451,"1,021",895,917,"1,520",575,778
2020,6,0,678,356,7,23,29,15,45,41,31,75,33,23
2020,6,10,884,430,16,35,39,20,53,46,49,124,34,38
2020,6,20,"1,124",534,23,36,46,33,87,64,67,144,45,45
2020,6,30,842,401,23,27,25,32,67,42,45,95,50,35
2020,6,40,"1,651",777,41,47,65,47,130,116,99,183,58,88
2020,6,50,"2,596",956,99,108,143,95,206,186,198,325,107,173
2020,6,60,"2,469",821,108,110,156,105,196,198,186,309,119,161
2020,6,70,"1,742",547,73,81,111,68,151,143,154,193,79,142
2020,6,80,790,257,24,47,44,34,82,52,78,62,44,66
2020,6,90,91,31,2,5,10,2,4,5,9,10,6,7
2020,6,100,9,4,1,0,1,0,0,2,1,0,0,0
2020,7,총,"12,873","5,107",418,517,668,448,"1,022",895,922,"1,523",575,778
2020,7,0,668,348,6,23,30,15,46,42,28,73,34,23
2020,7,10,890,436,15,35,38,20,52,43,51,126,35,39
2020,7,20,"1,116",528,24,35,47,30,87,66,67,143,44,45
2020,7,30,838,404,24,22,22,34,66,40,47,97,48,34
2020,7,40,"1,659",781,41,51,67,46,128,114,103,180,60,88
2020,7,50,"2,581",948,98,107,142,93,210,189,198,325,102,169
2020,7,60,"2,479",822,110,111,154,106,198,194,185,312,122,165
2020,7,70,"1,750",548,73,82,113,68,150,147,155,194,78,142
2020,7,80,793,258,24,47,44,34,81,53,77,63,46,66
2020,7,90,90,30,2,4,10,2,4,5,10,10,6,7
2020,7,100,9,4,1,0,1,0,0,2,1,0,0,0
2020,8,총,"12,845","5,095",416,517,667,450,"1,011",897,920,"1,525",573,774
2020,8,0,652,340,7,21,26,16,44,42,26,74,33,23
2020,8,10,897,441,15,37,40,19,53,43,50,127,35,37
2020,8,20,"1,113",526,23,35,46,32,83,68,67,142,45,46
2020,8,30,826,401,23,21,21,34,65,40,46,96,45,34
2020,8,40,"1,645",777,41,52,68,46,126,113,100,177,60,85
2020,8,50,"2,577",945,96,107,143,94,209,188,199,323,103,170
2020,8,60,"2,492",824,109,112,156,105,198,194,186,318,124,166
2020,8,70,"1,740",547,74,82,110,67,148,148,158,194,74,138
2020,8,80,803,260,25,44,46,35,81,54,78,64,48,68
2020,8,90,91,30,2,6,10,2,4,5,9,10,6,7
2020,8,100,9,4,1,0,1,0,0,2,1,0,0,0
2020,9,총,"12,845","5,090",415,519,665,453,"1,016",899,922,"1,519",575,772
2020,9,0,650,339,8,20,24,16,44,42,27,75,32,23
2020,9,10,894,439,15,38,39,19,52,45,49,125,36,37
2020,9,20,"1,113",530,22,36,46,33,82,67,69,138,44,46
2020,9,30,825,399,22,21,21,35,67,40,46,96,46,32
2020,9,40,"1,628",767,41,51,67,47,126,113,98,178,58,82
2020,9,50,"2,577",942,97,108,141,92,212,187,198,323,104,173
2020,9,60,"2,510",829,112,112,157,107,199,196,188,319,127,164
2020,9,70,"1,744",552,71,83,113,67,149,146,159,191,73,140
2020,9,80,804,259,24,44,46,35,81,56,78,64,49,68
2020,9,90,91,30,2,6,10,2,4,5,9,10,6,7
2020,9,100,9,4,1,0,1,0,0,2,1,0,0,0
2020,10,총,"12,815","5,074",411,525,666,449,"1,018",897,923,"1,516",566,770
2020,10,0,633,329,9,20,23,17,44,40,29,71,28,23
2020,10,10,895,438,15,39,40,19,52,45,48,124,38,37
2020,10,20,"1,108",527,21,39,46,31,83,66,67,138,42,48
2020,10,30,803,388,18,22,20,34,65,40,46,96,44,30
2020,10,40,"1,620",766,41,49,67,48,125,115,97,180,54,78
2020,10,50,"2,565",935,98,109,142,90,210,183,202,316,106,174
2020,10,60,"2,526",835,112,113,156,106,203,199,184,326,127,165
2020,10,70,"1,754",558,70,83,115,65,150,146,162,191,73,141
2020,10,80,810,263,24,45,46,37,82,56,78,64,48,67
2020,10,90,92,31,2,6,10,2,4,5,9,10,6,7
2020,10,100,9,4,1,0,1,0,0,2,1,0,0,0
2020,11,총,"12,784","5,060",411,534,665,446,"1,010",899,924,"1,500",564,771
2020,11,0,627,328,8,19,24,16,43,40,30,69,27,23
2020,11,10,890,434,15,42,41,18,52,46,47,119,39,37
2020,11,20,"1,099",525,21,39,42,30,83,65,67,138,41,48
2020,11,30,798,386,18,25,20,34,63,41,46,93,44,28
2020,11,40,"1,605",757,40,49,65,47,124,116,97,178,53,79
2020,11,50,"2,547",936,98,109,143,88,202,180,201,312,106,172
2020,11,60,"2,546",836,113,116,158,108,206,202,184,326,128,169
2020,11,70,"1,764",563,71,84,115,66,150,148,163,190,73,141
2020,11,80,808,261,24,45,46,37,82,54,79,65,48,67
2020,11,90,91,30,2,6,10,2,5,5,9,10,5,7
2020,11,100,9,4,1,0,1,0,0,2,1,0,0,0
2020,12,총,"12,832","5,097",417,534,664,451,"1,011",903,933,"1,485",571,766
2020,12,0,626,329,9,19,23,16,41,38,32,69,28,22
2020,12,10,888,430,17,42,42,18,53,47,45,117,40,37
2020,12,20,"1,127",542,19,42,44,35,82,68,73,129,46,47
2020,12,30,791,386,19,24,21,34,63,43,45,90,42,24
2020,12,40,"1,601",765,39,47,66,45,121,115,96,175,53,79
2020,12,50,"2,551",940,99,108,139,89,205,181,201,313,105,171
2020,12,60,"2,573",845,116,117,159,108,208,203,186,327,131,173
2020,12,70,"1,762",564,71,83,115,66,148,149,166,189,73,138
2020,12,80,814,264,25,45,44,38,85,52,79,66,48,68
2020,12,90,90,28,2,7,10,2,5,5,9,10,5,7
2020,12,100,9,4,1,0,1,0,0,2,1,0,0,0
2021,1,총,"12,798","5,080",413,532,658,445,"1,019",910,934,"1,477",567,763
2021,1,0,616,323,8,18,22,16,42,37,32,67,30,21
2021,1,10,887,434,17,43,41,16,50,49,42,118,40,37
2021,1,20,"1,106",533,18,41,41,32,82,70,75,125,43,46
2021,1,30,790,386,18,25,22,34,65,44,45,86,42,23
2021,1,40,"1,580",757,38,49,64,42,118,114,95,174,52,77
2021,1,50,"2,551",934,100,104,140,91,211,182,202,317,102,168
2021,1,60,"2,592",851,115,120,157,110,213,206,185,327,131,177
2021,1,70,"1,763",565,71,82,115,65,149,148,167,189,75,137
2021,1,80,815,265,25,44,45,37,84,53,81,64,47,70
2021,1,90,89,28,2,6,10,2,5,5,9,10,5,7
2021,1,100,9,4,1,0,1,0,0,2,1,0,0,0
2021,2,총,"12,773","5,071",411,533,656,444,"1,020",910,930,"1,472",564,762
2021,2,0,614,318,8,18,22,16,44,38,33,66,30,21
2021,2,10,878,435,15,44,41,16,49,48,40,114,40,36
2021,2,20,"1,099",530,19,40,41,32,83,71,73,122,41,47
2021,2,30,782,387,16,24,21,33,64,42,44,87,42,22
2021,2,40,"1,573",754,36,51,63,42,117,114,94,172,52,78
2021,2,50,"2,523",928,98,103,137,90,209,177,200,314,101,166
2021,2,60,"2,621",857,120,120,159,111,216,211,187,332,131,177
2021,2,70,"1,763",564,70,83,116,65,149,150,165,190,73,138
2021,2,80,824,268,26,44,45,37,84,52,83,66,49,70
2021,2,90,87,26,2,6,10,2,5,5,10,9,5,7
2021,2,100,9,4,1,0,1,0,0,2,1,0,0,0
2021,3,총,"12,753","5,077",410,529,653,445,"1,022",901,921,"1,466",566,763
2021,3,0,606,320,8,17,22,15,45,35,32,65,28,19
2021,3,10,873,431,13,43,42,16,49,48,42,112,40,37
2021,3,20,"1,104",536,18,40,37,32,83,72,72,125,42,47
2021,3,30,764,383,15,23,20,31,62,39,41,87,42,21
2021,3,40,"1,558",745,40,50,64,41,116,109,93,166,53,81
2021,3,50,"2,519",932,97,102,136,89,209,179,199,315,99,162
2021,3,60,"2,650",862,118,121,166,116,222,212,185,333,135,180
2021,3,70,"1,758",565,71,83,114,65,146,150,163,191,73,137
2021,3,80,830,271,27,44,44,38,84,53,85,64,49,71
2021,3,90,86,28,2,6,8,2,6,4,9,8,5,8
2021,3,100,5,4,1,0,0,0,0,0,0,0,0,0
2021,4,총,"12,756","5,072",415,533,654,444,"1,024",900,922,"1,469",564,759
2021,4,0,598,319,8,17,20,15,45,33,32,64,26,19
2021,4,10,875,430,16,43,44,15,50,46,42,114,40,35
2021,4,20,"1,093",528,17,41,36,31,82,72,73,123,42,48
2021,4,30,766,384,15,22,19,30,62,40,42,89,43,20
2021,4,40,"1,552",741,42,48,65,42,116,109,92,165,53,79
2021,4,50,"2,518",933,97,106,136,88,212,176,196,315,99,160
2021,4,60,"2,676",870,119,123,168,116,222,217,190,335,133,183
2021,4,70,"1,754",563,71,84,114,67,145,150,160,191,73,136
2021,4,80,831,273,26,43,44,38,84,52,85,65,50,71
2021,4,90,88,27,3,6,8,2,6,5,10,8,5,8
2021,4,100,5,4,1,0,0,0,0,0,0,0,0,0
2021,5,총,"12,748","5,074",408,530,652,446,"1,023",898,925,"1,470",562,760
2021,5,0,590,316,7,18,19,15,45,31,32,63,25,19
2021,5,10,870,430,12,42,45,17,50,46,43,111,41,33
2021,5,20,"1,087",525,18,40,36,31,83,70,72,121,41,50
2021,5,30,766,381,15,21,19,31,63,40,43,92,41,20
2021,5,40,"1,540",742,39,47,63,41,114,109,89,161,56,79
2021,5,50,"2,521",935,98,106,136,88,209,176,200,317,97,159
2021,5,60,"2,681",875,118,123,166,117,220,218,188,337,134,185
2021,5,70,"1,763",564,70,83,117,67,149,150,163,193,72,135
2021,5,80,836,276,27,44,43,37,84,53,85,66,50,71
2021,5,90,89,26,3,6,8,2,6,5,10,9,5,9
2021,5,100,5,4,1,0,0,0,0,0,0,0,0,0
2021,6,총,"12,724","5,063",408,527,651,445,"1,020",894,925,"1,468",564,759
2021,6,0,589,316,7,18,20,16,43,29,32,64,27,17
2021,6,10,872,433,12,41,44,17,50,45,43,113,40,34
2021,6,20,"1,077",520,18,39,36,26,83,71,72,118,43,51
2021,6,30,756,375,15,20,20,32,62,39,43,90,41,19
2021,6,40,"1,533",741,39,45,61,43,113,107,89,160,55,80
2021,6,50,"2,509",928,100,105,137,90,207,174,200,314,99,155
2021,6,60,"2,707",883,114,128,167,116,225,220,190,341,134,189
2021,6,70,"1,751",564,72,80,115,67,147,150,162,190,71,133
2021,6,80,840,275,27,45,43,36,84,54,85,69,50,72
2021,6,90,85,24,3,6,8,2,6,5,9,9,4,9
2021,6,100,5,4,1,0,0,0,0,0,0,0,0,0
2021,7,총,"12,698","5,038",408,525,646,446,"1,027",895,924,"1,470",559,760
2021,7,0,587,314,5,19,20,16,44,30,32,66,24,17
2021,7,10,866,430,11,41,44,18,52,45,41,112,38,34
2021,7,20,"1,071",513,19,38,36,24,85,68,73,118,46,51
2021,7,30,750,370,14,21,18,32,62,40,42,91,39,21
2021,7,40,"1,517",739,38,43,57,42,113,104,87,158,57,79
2021,7,50,"2,488",917,96,101,137,90,202,177,201,315,97,155
2021,7,60,"2,737",886,120,131,169,119,231,223,192,344,133,189
2021,7,70,"1,748",564,73,80,114,66,148,149,161,188,71,134
2021,7,80,843,277,28,45,43,37,84,54,85,69,50,71
2021,7,90,86,24,3,6,8,2,6,5,10,9,4,9
2021,7,100,5,4,1,0,0,0,0,0,0,0,0,0
2021,8,총,"12,683","5,045",406,526,643,442,"1,019",895,921,"1,467",559,760
2021,8,0,585,314,7,19,17,15,44,30,34,63,25,17
2021,8,10,874,434,11,41,46,19,51,44,42,113,38,35
2021,8,20,"1,056",509,15,40,35,24,83,67,70,117,46,50
2021,8,30,748,372,14,19,18,30,62,42,42,89,39,21
2021,8,40,"1,497",730,40,44,58,42,109,102,85,157,55,75
2021,8,50,"2,502",929,94,100,138,90,203,176,201,318,98,155
2021,8,60,"2,738",886,120,129,167,119,229,226,190,344,134,194
2021,8,70,"1,748",565,73,82,110,66,149,149,162,188,71,133
2021,8,80,846,278,29,46,46,35,83,54,85,70,49,71
2021,8,90,84,24,2,6,8,2,6,5,10,8,4,9
2021,8,100,5,4,1,0,0,0,0,0,0,0,0,0
2021,9,총,"12,639","5,032",407,522,643,437,"1,010",889,917,"1,466",565,751
2021,9,0,565,305,6,17,16,14,44,29,32,59,27,16
2021,9,10,870,435,12,39,46,17,47,43,42,113,41,35
2021,9,20,"1,032",499,15,40,34,24,81,66,68,114,44,47
2021,9,30,745,371,13,19,19,29,61,39,42,90,41,21
2021,9,40,"1,498",731,40,44,58,41,110,103,85,159,54,73
2021,9,50,"2,487",926,93,100,138,89,200,174,199,315,99,154
2021,9,60,"2,752",891,121,130,168,120,231,226,189,348,135,193
2021,9,70,"1,751",566,74,81,110,66,149,149,165,188,71,132
2021,9,80,850,279,30,46,46,35,80,55,85,72,50,72
2021,9,90,84,25,2,6,8,2,7,5,10,8,3,8
2021,9,100,5,4,1,0,0,0,0,0,0,0,0,0
2021,10,총,"12,622","5,027",411,520,640,437,"1,007",885,919,"1,461",559,756
2021,10,0,563,306,6,17,14,14,44,29,33,58,26,16
2021,10,10,869,435,12,39,48,16,46,41,43,115,40,34
2021,10,20,"1,025",498,16,40,34,24,82,66,69,105,43,48
2021,10,30,743,366,13,19,18,29,61,40,41,92,42,22
2021,10,40,"1,488",727,41,43,57,41,109,102,85,156,54,73
2021,10,50,"2,475",924,93,100,137,89,198,170,198,317,97,152
2021,10,60,"2,770",898,123,130,170,120,231,228,190,346,134,200
2021,10,70,"1,744",563,74,80,110,67,149,148,165,190,69,129
2021,10,80,857,281,31,46,46,35,79,56,84,74,51,74
2021,10,90,84,25,2,6,6,2,8,5,11,8,3,8
2021,10,100,4,4,0,0,0,0,0,0,0,0,0,0
2021,11,총,"12,638","5,040",416,515,642,438,"1,010",888,915,"1,461",557,756
2021,11,0,560,306,6,16,12,14,43,30,33,57,27,16
2021,11,10,876,443,13,35,50,17,45,42,43,115,40,33
2021,11,20,"1,019",497,16,41,33,25,84,64,66,105,40,48
2021,11,30,740,363,12,18,18,28,62,42,39,93,42,23
2021,11,40,"1,481",723,41,43,57,43,111,100,83,153,54,73
2021,11,50,"2,475",932,92,100,136,89,192,170,199,315,97,153
2021,11,60,"2,793",901,126,131,171,119,235,230,193,351,136,200
2021,11,70,"1,740",565,77,78,111,66,146,148,165,191,68,125
2021,11,80,869,283,31,47,48,35,84,57,85,73,49,77
2021,11,90,82,24,2,6,6,2,8,5,9,8,4,8
2021,11,100,3,3,0,0,0,0,0,0,0,0,0,0
2021,12,총,"12,667","5,042",419,515,646,434,"1,017",890,923,"1,468",555,758
2021,12,0,562,306,6,16,12,14,44,31,33,56,27,17
2021,12,10,867,440,13,36,49,16,44,41,44,114,38,32
2021,12,20,"1,032",508,15,39,35,25,84,66,65,107,42,46
2021,12,30,743,361,13,18,19,28,63,43,38,93,41,26
2021,12,40,"1,475",715,41,43,56,44,112,100,87,154,51,72
2021,12,50,"2,489",940,93,98,138,89,193,169,199,318,99,153
2021,12,60,"2,799",900,126,134,173,116,240,231,197,346,135,201
2021,12,70,"1,737",561,79,78,110,64,145,144,164,198,69,125
2021,12,80,884,289,31,48,48,36,84,60,87,74,49,78
2021,12,90,79,22,2,5,6,2,8,5,9,8,4,8
2021,12,100,0,0,0,0,0,0,0,0,0,0,0,0
