년도,월,나이,북구,고성동,칠성동,침산1동,침산2동,침산3동,산격1동,산격2동,산격3동,산격4동,대현동,복현1동,복현2동,검단동,무태조야동,관문동,태전1동,태전2동,구암동,관음동,읍내동,동천동,노원동,국우동
2020,5,50,"77,441",843,"3,331",958,"2,782","3,488","1,977","2,343","1,323","1,639","3,011","1,234","5,029","1,288","5,071","5,973","4,277","4,764","7,104","3,592","5,537","5,256","2,478","4,143"
2020,5,60,"51,501",803,"2,609",863,"1,849","2,334","1,993","1,672","1,201","1,550","2,704",988,"3,381","1,258","3,496","4,038","2,932","3,110","3,112","2,465","3,342","1,851","2,197","1,753"
2020,5,70,"27,743",532,"1,611",435,"1,020","1,435","1,282",883,754,911,"1,770",492,"1,506",676,"1,817","1,852","1,449","1,613","1,570","1,129","1,581","1,133","1,231","1,061"
2020,5,80,"11,762",227,780,152,419,624,577,358,327,372,771,203,673,295,606,653,690,579,728,553,772,564,351,488
2020,5,90,"1,308",32,108,28,53,56,43,44,32,39,100,15,89,29,64,70,82,69,92,50,76,39,42,56
2020,5,100,88,5,10,2,2,4,5,0,4,0,16,1,8,1,1,4,4,1,1,3,6,1,7,2
2020,6,총,"438,608","5,107","23,407","4,292","19,607","20,625","9,669","11,377","9,032","8,702","18,741","7,549","27,709","6,950","33,131","37,621","22,453","25,106","36,863","17,376","27,286","29,435","12,353","24,217"
2020,6,0,"34,805",306,"2,464",183,"2,341","1,823",274,630,305,324,"1,325",198,"2,119",358,"3,191","4,669","1,439","1,711","2,856","1,022","1,796","2,481",694,"2,296"
2020,6,10,"44,367",359,"2,060",236,"2,274","2,349",512,960,515,505,"1,193",395,"3,000",461,"3,824","3,166","1,856","2,594","5,246","1,685","2,635","4,608",654,"3,280"
2020,6,20,"61,048",602,"2,714",492,"2,176","2,454","1,065","1,728","2,367","1,277","2,819","2,186","3,998",783,"3,614","4,059","3,720","3,739","5,382","2,516","4,373","4,181","1,422","3,381"
2020,6,30,"54,527",629,"3,698",450,"2,965","2,481",763,"1,208","1,121","1,026","2,304","1,007","3,379",874,"4,320","6,706","2,731","2,843","3,627","1,684","3,137","3,002","1,625","2,947"
2020,6,40,"73,327",709,"4,031",491,"3,705","3,559","1,180","1,552","1,112","1,081","2,718",840,"4,522",931,"6,594","6,414","3,271","4,053","7,130","2,643","4,024","6,284","1,692","4,791"
2020,6,50,"77,610",869,"3,332",958,"2,785","3,478","1,961","2,327","1,305","1,621","3,006","1,217","5,020","1,281","5,408","5,962","4,271","4,754","7,096","3,590","5,511","5,271","2,455","4,132"
2020,6,60,"51,864",833,"2,608",864,"1,858","2,351","1,989","1,687","1,195","1,549","2,699",989,"3,394","1,255","3,646","4,062","2,940","3,141","3,122","2,490","3,370","1,868","2,186","1,768"
2020,6,70,"27,865",542,"1,602",438,"1,024","1,441","1,293",880,748,913,"1,785",499,"1,502",683,"1,848","1,854","1,452","1,620","1,591","1,137","1,577","1,140","1,230","1,066"
2020,6,80,"11,799",223,783,151,424,630,585,359,329,367,773,201,674,295,619,655,689,580,721,553,783,562,348,495
2020,6,90,"1,310",30,105,27,52,54,42,45,32,39,103,16,94,28,66,70,82,70,92,53,74,37,40,59
2020,6,100,86,5,10,2,3,5,5,1,3,0,16,1,7,1,1,4,2,1,0,3,6,1,7,2
2020,7,총,"439,432","5,169","23,328","4,289","19,622","20,568","9,675","11,364","9,061","8,693","18,724","7,572","27,640","6,913","34,337","37,589","22,448","25,079","36,833","17,321","27,275","29,418","12,324","24,190"
2020,7,0,"34,807",333,"2,441",182,"2,336","1,811",277,631,306,328,"1,308",201,"2,100",349,"3,326","4,676","1,433","1,695","2,829","1,013","1,796","2,466",690,"2,280"
2020,7,10,"44,220",365,"2,056",233,"2,282","2,332",517,953,510,501,"1,187",381,"2,986",453,"3,868","3,152","1,836","2,592","5,228","1,668","2,610","4,589",654,"3,267"
2020,7,20,"61,348",605,"2,721",501,"2,167","2,449","1,051","1,720","2,379","1,271","2,848","2,226","3,995",781,"3,812","4,048","3,745","3,728","5,399","2,502","4,371","4,206","1,408","3,415"
2020,7,30,"54,599",670,"3,671",445,"2,951","2,471",761,"1,206","1,126","1,033","2,296","1,012","3,369",854,"4,528","6,662","2,722","2,836","3,602","1,681","3,154","3,002","1,637","2,910"
2020,7,40,"73,284",733,"4,012",499,"3,708","3,535","1,180","1,550","1,106","1,067","2,698",831,"4,502",935,"6,769","6,431","3,259","4,044","7,094","2,625","4,002","6,255","1,677","4,772"
2020,7,50,"77,770",857,"3,323",944,"2,795","3,489","1,954","2,324","1,319","1,613","3,001","1,208","4,997","1,275","5,656","5,947","4,268","4,730","7,126","3,581","5,510","5,267","2,442","4,144"
2020,7,60,"52,135",834,"2,603",865,"1,860","2,342","1,994","1,683","1,201","1,556","2,702","1,001","3,409","1,252","3,787","4,066","2,943","3,167","3,127","2,500","3,388","1,892","2,190","1,773"
2020,7,70,"28,004",519,"1,611",438,"1,033","1,447","1,303",892,750,921,"1,784",495,"1,514",691,"1,882","1,876","1,460","1,630","1,605","1,144","1,572","1,137","1,232","1,068"
2020,7,80,"11,856",219,773,153,435,632,590,359,329,364,780,200,665,296,640,656,695,585,727,552,792,567,347,500
2020,7,90,"1,324",29,107,27,52,55,43,45,32,39,104,16,96,26,69,71,85,71,96,52,74,36,40,59
2020,7,100,85,5,10,2,3,5,5,1,3,0,16,1,7,1,0,4,2,1,0,3,6,1,7,2
2020,8,총,"439,690","5,107","23,407","4,280","19,559","20,540","9,657","11,326","9,102","8,680","18,705","7,608","27,649","6,892","34,911","37,523","22,471","25,217","36,791","17,292","27,209","29,357","12,281","24,126"
2020,8,0,"34,693",340,"2,441",178,"2,320","1,795",278,626,298,321,"1,289",198,"2,104",348,"3,392","4,655","1,433","1,697","2,807","1,001","1,769","2,460",675,"2,268"
2020,8,10,"43,983",372,"2,052",229,"2,260","2,315",502,946,505,499,"1,190",379,"2,987",446,"3,898","3,141","1,817","2,572","5,194","1,648","2,594","4,555",648,"3,234"
2020,8,20,"61,680",583,"2,776",501,"2,171","2,461","1,040","1,713","2,447","1,281","2,856","2,267","3,994",777,"3,910","4,032","3,785","3,764","5,427","2,503","4,356","4,216","1,395","3,425"
2020,8,30,"54,532",680,"3,693",449,"2,917","2,445",762,"1,198","1,128","1,032","2,270","1,004","3,374",841,"4,619","6,615","2,730","2,863","3,583","1,679","3,145","2,990","1,636","2,879"
2020,8,40,"73,138",735,"4,016",493,"3,710","3,523","1,175","1,546","1,097","1,062","2,689",827,"4,501",928,"6,859","6,429","3,240","4,054","7,050","2,613","3,949","6,212","1,659","4,771"
2020,8,50,"77,788",825,"3,313",938,"2,794","3,490","1,952","2,308","1,308","1,603","3,003","1,208","4,981","1,280","5,769","5,940","4,256","4,742","7,128","3,574","5,518","5,292","2,439","4,127"
2020,8,60,"52,511",818,"2,622",874,"1,868","2,360","1,997","1,693","1,212","1,560","2,723","1,012","3,432","1,255","3,840","4,094","2,967","3,198","3,171","2,522","3,422","1,887","2,200","1,784"
2020,8,70,"28,018",504,"1,603",435,"1,026","1,458","1,312",895,743,919,"1,775",494,"1,505",691,"1,901","1,878","1,460","1,652","1,598","1,147","1,580","1,133","1,236","1,073"
2020,8,80,"11,923",216,772,155,437,632,590,354,328,365,792,201,666,299,651,661,697,599,738,546,799,576,347,502
2020,8,90,"1,336",29,109,26,53,56,44,46,33,38,102,17,98,26,71,74,84,74,94,56,71,35,39,61
2020,8,100,88,5,10,2,3,5,5,1,3,0,16,1,7,1,1,4,2,2,1,3,6,1,7,2
2020,9,총,"440,500","5,058","23,519","4,282","19,510","20,492","9,638","11,238","9,092","8,640","18,646","7,634","28,296","6,818","35,827","37,547","22,460","25,183","36,677","17,276","27,137","29,218","12,217","24,095"
2020,9,0,"34,591",345,"2,422",180,"2,296","1,793",273,607,301,314,"1,263",191,"2,198",324,"3,496","4,643","1,405","1,670","2,777","1,001","1,753","2,422",666,"2,251"
2020,9,10,"43,868",369,"2,055",223,"2,270","2,304",493,943,493,486,"1,187",376,"3,032",440,"3,949","3,143","1,797","2,565","5,150","1,631","2,573","4,523",638,"3,228"
2020,9,20,"61,937",575,"2,831",494,"2,155","2,441","1,041","1,691","2,475","1,279","2,880","2,299","4,080",761,"4,054","4,032","3,823","3,766","5,428","2,475","4,349","4,200","1,391","3,417"
2020,9,30,"54,630",696,"3,711",461,"2,885","2,440",758,"1,191","1,126","1,035","2,244","1,012","3,526",840,"4,803","6,614","2,707","2,827","3,540","1,669","3,103","2,968","1,621","2,853"
2020,9,40,"73,103",726,"4,057",488,"3,713","3,507","1,163","1,519","1,081","1,049","2,668",829,"4,603",913,"6,987","6,435","3,237","4,041","6,975","2,608","3,921","6,162","1,642","4,779"
2020,9,50,"78,011",810,"3,297",941,"2,797","3,483","1,946","2,303","1,292","1,602","3,000","1,205","5,049","1,272","5,936","5,929","4,244","4,757","7,167","3,588","5,517","5,303","2,444","4,129"
2020,9,60,"52,873",801,"2,641",878,"1,875","2,358","2,011","1,690","1,213","1,552","2,718","1,014","3,502","1,259","3,938","4,120","2,995","3,226","3,194","2,552","3,450","1,905","2,187","1,794"
2020,9,70,"28,058",498,"1,608",430,"1,030","1,462","1,311",890,741,921,"1,773",488,"1,520",688,"1,931","1,889","1,464","1,654","1,597","1,142","1,594","1,120","1,230","1,077"
2020,9,80,"11,991",206,780,157,432,643,592,356,335,365,795,199,678,293,658,662,703,601,754,551,798,578,352,503
2020,9,90,"1,346",27,106,28,53,56,45,46,32,37,102,20,101,27,74,76,83,74,94,56,73,36,38,62
2020,9,100,92,5,11,2,4,5,5,2,3,0,16,1,7,1,1,4,2,2,1,3,6,1,8,2
2020,10,총,"440,832","5,021","23,553","4,270","19,512","20,473","9,625","11,218","9,095","8,631","18,634","7,612","28,674","6,782","36,267","37,536","22,431","25,159","36,645","17,203","27,025","29,172","12,179","24,115"
2020,10,0,"34,439",341,"2,409",176,"2,291","1,780",270,602,297,305,"1,248",184,"2,247",316,"3,554","4,609","1,397","1,660","2,748",980,"1,728","2,405",652,"2,240"
2020,10,10,"43,712",368,"2,063",220,"2,266","2,288",486,919,480,490,"1,183",369,"3,045",441,"3,953","3,158","1,783","2,557","5,122","1,614","2,546","4,500",633,"3,228"
2020,10,20,"62,064",568,"2,860",492,"2,153","2,447","1,042","1,703","2,483","1,278","2,899","2,298","4,127",751,"4,121","4,030","3,821","3,767","5,435","2,473","4,325","4,180","1,386","3,425"
2020,10,30,"54,476",685,"3,691",462,"2,865","2,422",749,"1,200","1,127","1,038","2,230","1,011","3,588",829,"4,875","6,552","2,681","2,794","3,525","1,658","3,104","2,933","1,604","2,853"
2020,10,40,"72,994",725,"4,064",489,"3,726","3,506","1,168","1,503","1,086","1,038","2,676",826,"4,666",911,"7,008","6,435","3,223","4,041","6,922","2,573","3,888","6,133","1,633","4,754"
2020,10,50,"78,172",803,"3,284",931,"2,792","3,490","1,958","2,305","1,293","1,585","2,982","1,206","5,101","1,262","6,056","5,946","4,246","4,739","7,203","3,578","5,467","5,355","2,431","4,159"
2020,10,60,"53,299",796,"2,662",882,"1,890","2,365","1,991","1,689","1,205","1,569","2,724","1,018","3,570","1,262","4,009","4,166","3,015","3,266","3,229","2,570","3,493","1,919","2,199","1,810"
2020,10,70,"28,181",501,"1,616",424,"1,037","1,472","1,319",889,753,925,"1,771",481,"1,533",691,"1,952","1,888","1,480","1,655","1,613","1,144","1,598","1,122","1,241","1,076"
2020,10,80,"12,042",202,781,163,435,642,594,362,333,368,800,198,686,292,662,669,698,602,755,557,796,586,354,507
2020,10,90,"1,357",27,111,29,52,56,43,44,35,35,105,20,104,26,75,79,85,76,91,53,74,38,38,61
2020,10,100,96,5,12,2,5,5,5,2,3,0,16,1,7,1,2,4,2,2,2,3,6,1,8,2
2020,11,총,"440,736","4,989","23,540","4,264","19,456","20,455","9,597","11,190","9,081","8,612","18,622","7,631","28,840","6,756","36,508","37,454","22,399","25,182","36,577","17,196","26,991","29,149","12,152","24,095"
2020,11,0,"34,189",343,"2,385",173,"2,268","1,755",264,607,296,305,"1,236",179,"2,256",312,"3,550","4,587","1,376","1,650","2,702",979,"1,719","2,381",636,"2,230"
2020,11,10,"43,547",365,"2,062",217,"2,266","2,288",483,912,462,491,"1,182",362,"3,052",429,"3,954","3,159","1,785","2,547","5,090","1,606","2,518","4,472",638,"3,207"
2020,11,20,"62,209",568,"2,861",490,"2,151","2,449","1,039","1,677","2,491","1,268","2,916","2,329","4,170",743,"4,189","3,992","3,828","3,768","5,446","2,468","4,335","4,203","1,386","3,442"
2020,11,30,"54,195",675,"3,677",458,"2,831","2,411",749,"1,201","1,143","1,031","2,214","1,016","3,580",821,"4,875","6,503","2,656","2,802","3,507","1,640","3,099","2,891","1,581","2,834"
2020,11,40,"72,884",723,"4,070",494,"3,715","3,502","1,154","1,499","1,061","1,029","2,673",825,"4,695",908,"7,015","6,448","3,208","4,036","6,909","2,579","3,843","6,117","1,642","4,739"
2020,11,50,"78,259",798,"3,285",922,"2,810","3,499","1,950","2,292","1,293","1,582","2,970","1,201","5,138","1,252","6,149","5,913","4,247","4,759","7,196","3,574","5,476","5,376","2,418","4,159"
2020,11,60,"53,609",790,"2,669",885,"1,883","2,373","1,988","1,701","1,207","1,574","2,737","1,013","3,607","1,268","4,058","4,214","3,021","3,276","3,262","2,589","3,515","1,946","2,198","1,835"
2020,11,70,"28,253",498,"1,619",424,"1,040","1,472","1,324",887,754,923,"1,769",485,"1,548",700,"1,964","1,882","1,488","1,654","1,618","1,137","1,606","1,131","1,249","1,081"
2020,11,80,"12,115",196,788,169,435,643,597,372,333,371,799,198,689,295,668,671,704,606,754,569,800,595,357,506
2020,11,90,"1,379",28,112,30,52,58,44,41,38,38,109,22,99,27,84,80,84,81,91,52,74,36,39,60
2020,11,100,97,5,12,2,5,5,5,1,3,0,17,1,6,1,2,5,2,3,2,3,6,1,8,2
2020,12,총,"440,263","4,971","23,524","4,256","19,399","20,393","9,572","11,140","9,175","8,649","18,533","7,667","28,772","6,761","36,690","37,371","22,376","25,104","36,509","17,166","26,950","29,099","12,100","24,086"
2020,12,0,"34,031",341,"2,384",174,"2,244","1,735",257,611,294,314,"1,210",178,"2,261",319,"3,537","4,565","1,377","1,639","2,700",970,"1,714","2,365",625,"2,217"
2020,12,10,"43,304",362,"2,055",216,"2,265","2,280",476,909,457,491,"1,176",352,"3,032",428,"3,963","3,161","1,773","2,511","5,047","1,605","2,485","4,463",628,"3,169"
2020,12,20,"62,136",562,"2,870",482,"2,142","2,434","1,033","1,657","2,559","1,284","2,908","2,364","4,143",750,"4,202","3,955","3,812","3,735","5,410","2,457","4,341","4,179","1,381","3,476"
2020,12,30,"54,010",677,"3,688",462,"2,805","2,374",749,"1,186","1,160","1,043","2,183","1,029","3,586",821,"4,873","6,461","2,647","2,784","3,489","1,644","3,094","2,863","1,579","2,813"
2020,12,40,"72,657",718,"4,057",489,"3,719","3,507","1,155","1,480","1,054","1,030","2,672",824,"4,687",912,"7,036","6,442","3,182","4,012","6,875","2,561","3,811","6,092","1,625","4,717"
2020,12,50,"78,202",798,"3,264",921,"2,806","3,493","1,930","2,295","1,297","1,578","2,965","1,202","5,112","1,245","6,219","5,914","4,229","4,753","7,201","3,551","5,450","5,393","2,409","4,177"
2020,12,60,"53,923",785,"2,670",886,"1,883","2,368","2,001","1,699","1,218","1,575","2,726","1,017","3,611","1,263","4,120","4,231","3,060","3,306","3,314","2,611","3,566","1,969","2,194","1,850"
2020,12,70,"28,316",500,"1,623",429,"1,040","1,489","1,325",889,757,922,"1,762",483,"1,543",698,"1,972","1,883","1,501","1,657","1,629","1,135","1,595","1,141","1,250","1,093"
2020,12,80,"12,187",193,790,166,440,647,598,370,337,373,804,194,689,300,676,673,708,621,751,576,812,597,362,510
2020,12,90,"1,403",30,111,30,50,61,43,43,39,39,110,23,103,24,90,81,85,84,91,53,76,36,39,62
2020,12,100,94,5,12,1,5,5,5,1,3,0,17,1,5,1,2,5,2,2,2,3,6,1,8,2
2021,1,총,"439,906","4,960","23,516","4,240","19,373","20,318","9,568","11,106","9,144","8,637","18,483","7,668","28,849","6,742","36,791","37,340","22,316","25,060","36,448","17,098","26,962","29,078","12,098","24,111"
2021,1,0,"33,711",345,"2,358",173,"2,224","1,713",255,608,288,305,"1,187",179,"2,265",314,"3,535","4,526","1,359","1,619","2,680",942,"1,698","2,324",619,"2,195"
2021,1,10,"43,117",357,"2,056",209,"2,267","2,269",467,904,439,484,"1,170",350,"3,022",423,"3,951","3,155","1,753","2,489","5,026","1,607","2,489","4,450",628,"3,152"
2021,1,20,"62,073",567,"2,872",483,"2,156","2,419","1,025","1,649","2,568","1,279","2,899","2,349","4,140",747,"4,235","3,948","3,774","3,727","5,409","2,442","4,321","4,176","1,376","3,512"
2021,1,30,"53,822",676,"3,679",464,"2,773","2,351",754,"1,177","1,157","1,044","2,152","1,036","3,602",826,"4,861","6,404","2,654","2,762","3,483","1,626","3,103","2,854","1,573","2,811"
2021,1,40,"72,340",711,"4,055",483,"3,708","3,482","1,139","1,471","1,039","1,029","2,672",820,"4,681",899,"7,030","6,469","3,155","4,002","6,818","2,542","3,798","6,036","1,619","4,682"
2021,1,50,"78,296",792,"3,264",911,"2,820","3,497","1,933","2,267","1,283","1,578","2,961","1,213","5,106","1,233","6,261","5,919","4,214","4,748","7,227","3,545","5,460","5,455","2,404","4,205"
2021,1,60,"54,352",782,"2,679",891,"1,888","2,389","2,013","1,726","1,226","1,580","2,731","1,016","3,677","1,267","4,151","4,254","3,105","3,333","3,334","2,630","3,606","1,997","2,201","1,876"
2021,1,70,"28,364",499,"1,622",426,"1,032","1,481","1,329",884,763,921,"1,762",489,"1,565",705,"1,974","1,896","1,505","1,666","1,630","1,132","1,587","1,141","1,260","1,095"
