년도,월,나이,태백시,황지동,황연동,삼수동,상장동,문곡소도동,장성동,구문소동,철암동
2020,11,10,"3,856",578,310,512,"1,654",269,234,196,103
2020,11,20,"3,686",613,353,408,"1,439",279,308,154,132
2020,11,30,"3,796",605,283,541,"1,547",274,260,157,129
2020,11,40,"6,460",928,625,939,"2,591",510,397,276,194
2020,11,50,"7,402","1,134",822,970,"2,190",753,721,433,379
2020,11,60,"7,674","1,111",997,"1,090","1,736",911,726,597,506
2020,11,70,"4,907",680,630,772,954,514,464,488,405
2020,11,80,"2,080",260,236,342,376,199,241,218,208
2020,11,90,280,46,41,46,47,26,30,20,24
2020,11,100,64,15,8,9,8,5,7,4,8
2020,12,총,"42,719","6,452","4,474","6,045","13,609","3,905","3,512","2,604","2,118"
2020,12,0,"2,574",478,188,399,"1,103",155,132,77,42
2020,12,10,"3,831",577,305,515,"1,637",272,241,184,100
2020,12,20,"3,679",616,353,405,"1,441",274,302,156,132
2020,12,30,"3,779",603,277,547,"1,523",283,258,158,130
2020,12,40,"6,434",927,622,943,"2,585",505,394,271,187
2020,12,50,"7,376","1,131",807,965,"2,194",750,723,426,380
2020,12,60,"7,682","1,111","1,003","1,095","1,735",916,720,600,502
2020,12,70,"4,924",685,631,776,958,517,464,489,404
2020,12,80,"2,093",266,237,344,378,202,241,218,207
2020,12,90,282,43,43,47,47,26,30,21,25
2020,12,100,65,15,8,9,8,5,7,4,9
2021,1,총,"42,586","6,407","4,480","6,040","13,550","3,906","3,521","2,583","2,099"
2021,1,0,"2,537",471,188,389,"1,086",156,132,73,42
2021,1,10,"3,806",575,303,518,"1,630",267,246,170,97
2021,1,20,"3,653",612,355,406,"1,421",275,298,155,131
2021,1,30,"3,743",589,280,543,"1,508",286,256,155,126
2021,1,40,"6,391",913,620,935,"2,574",499,392,271,187
2021,1,50,"7,345","1,122",796,966,"2,194",749,722,426,370
2021,1,60,"7,717","1,109","1,013","1,100","1,749",923,729,597,497
2021,1,70,"4,928",691,635,777,952,515,462,488,408
2021,1,80,"2,118",267,241,349,380,205,246,224,206
2021,1,90,282,42,42,48,48,26,30,20,26
2021,1,100,66,16,7,9,8,5,8,4,9
2021,2,총,"42,381","6,370","4,471","6,003","13,480","3,889","3,519","2,563","2,086"
2021,2,0,"2,504",468,184,380,"1,076",155,132,69,40
2021,2,10,"3,753",569,301,512,"1,606",264,243,164,94
2021,2,20,"3,642",603,353,401,"1,418",274,304,156,133
2021,2,30,"3,659",576,278,532,"1,468",280,252,147,126
2021,2,40,"6,365",914,619,929,"2,567",490,392,268,186
2021,2,50,"7,299","1,113",786,966,"2,183",744,712,426,369
2021,2,60,"7,756","1,111","1,024","1,102","1,765",924,738,601,491
2021,2,70,"4,919",690,631,776,955,516,459,485,407
2021,2,80,"2,134",268,244,348,386,211,249,223,205
2021,2,90,285,43,44,48,48,26,30,20,26
2021,2,100,65,15,7,9,8,5,8,4,9
2021,3,총,"42,249","6,336","4,444","5,980","13,417","3,889","3,514","2,601","2,068"
2021,3,0,"2,495",461,180,381,"1,080",152,135,66,40
2021,3,10,"3,764",562,303,500,"1,591",261,242,216,89
2021,3,20,"3,621",619,346,406,"1,394",275,292,155,134
2021,3,30,"3,629",563,280,534,"1,449",279,257,144,123
2021,3,40,"6,325",907,612,912,"2,564",490,388,267,185
2021,3,50,"7,246","1,108",780,952,"2,170",740,709,420,367
2021,3,60,"7,801","1,116","1,030","1,116","1,778",928,741,604,488
2021,3,70,"4,886",682,625,770,950,521,460,475,403
2021,3,80,"2,168",273,245,352,388,210,253,234,213
2021,3,90,291,43,43,50,51,28,30,20,26
2021,3,100,23,2,0,7,2,5,7,0,0
2021,4,총,"42,183","6,327","4,444","5,975","13,394","3,875","3,507","2,602","2,059"
2021,4,0,"2,467",456,179,374,"1,067",149,138,65,39
2021,4,10,"3,754",562,304,507,"1,578",258,243,212,90
2021,4,20,"3,596",613,346,404,"1,394",272,285,155,127
2021,4,30,"3,608",570,274,519,"1,442",276,256,146,125
2021,4,40,"6,315",901,611,914,"2,559",493,384,269,184
2021,4,50,"7,207","1,096",772,948,"2,173",732,712,412,362
2021,4,60,"7,846","1,127","1,039","1,120","1,790",928,742,612,488
2021,4,70,"4,887",683,622,775,950,522,456,476,403
2021,4,80,"2,191",275,253,357,390,213,254,235,214
2021,4,90,288,42,43,50,49,27,30,20,27
2021,4,100,24,2,1,7,2,5,7,0,0
2021,5,총,"41,718","6,188","4,442","5,838","13,345","3,820","3,437","2,600","2,048"
2021,5,0,"2,442",447,183,367,"1,063",149,132,63,38
2021,5,10,"3,746",557,305,506,"1,576",259,241,215,87
2021,5,20,"3,573",599,338,402,"1,401",267,284,153,129
2021,5,30,"3,552",576,272,499,"1,428",269,242,141,125
2021,5,40,"6,215",889,606,878,"2,549",480,363,271,179
2021,5,50,"7,134","1,083",778,910,"2,172",712,705,411,363
2021,5,60,"7,754","1,112","1,042","1,083","1,775",914,725,618,485
2021,5,70,"4,835",642,619,777,945,522,455,473,402
2021,5,80,"2,169",251,254,360,385,216,255,235,213
2021,5,90,275,30,44,49,49,27,29,20,27
2021,5,100,23,2,1,7,2,5,6,0,0
2021,6,총,"41,419","6,187","4,303","5,804","13,291","3,837","3,430","2,565","2,002"
2021,6,0,"2,412",449,177,358,"1,054",144,127,65,38
2021,6,10,"3,736",559,304,499,"1,576",263,243,211,81
2021,6,20,"3,561",593,335,405,"1,394",270,285,151,128
2021,6,30,"3,517",573,266,486,"1,409",277,242,142,122
2021,6,40,"6,164",895,585,872,"2,529",478,357,265,183
2021,6,50,"7,085","1,080",758,907,"2,175",710,700,401,354
2021,6,60,"7,724","1,120","1,016","1,078","1,775",916,728,617,474
2021,6,70,"4,798",635,596,781,944,531,458,467,386
2021,6,80,"2,144",251,233,364,384,216,254,228,214
2021,6,90,256,30,33,47,49,27,30,18,22
2021,6,100,22,2,0,7,2,5,6,0,0
2021,7,총,"41,341","6,189","4,305","5,792","13,256","3,817","3,425","2,560","1,997"
2021,7,0,"2,397",438,177,358,"1,050",143,127,65,39
2021,7,10,"3,721",559,301,495,"1,579",259,239,210,79
2021,7,20,"3,540",593,339,402,"1,376",269,287,145,129
2021,7,30,"3,503",579,258,491,"1,400",274,243,141,117
2021,7,40,"6,132",897,588,861,"2,515",473,354,260,184
2021,7,50,"7,074","1,075",761,911,"2,176",704,697,397,353
2021,7,60,"7,734","1,127","1,014","1,073","1,778",914,725,627,476
2021,7,70,"4,803",632,600,779,948,532,465,466,381
2021,7,80,"2,161",257,234,367,384,217,253,231,218
2021,7,90,254,30,33,48,48,27,29,18,21
2021,7,100,22,2,0,7,2,5,6,0,0
2021,8,총,"41,295","6,166","4,312","5,780","13,249","3,833","3,410","2,552","1,993"
2021,8,0,"2,386",429,173,359,"1,054",143,126,64,38
2021,8,10,"3,709",558,300,495,"1,561",269,236,210,80
2021,8,20,"3,527",593,340,395,"1,373",268,288,142,128
2021,8,30,"3,451",573,258,478,"1,380",276,236,136,114
2021,8,40,"6,137",887,588,871,"2,514",474,355,261,187
2021,8,50,"7,075","1,073",761,908,"2,188",707,696,394,348
2021,8,60,"7,756","1,129","1,026","1,070","1,786",918,719,629,479
2021,8,70,"4,809",632,600,784,954,528,465,467,379
2021,8,80,"2,168",259,234,366,388,217,254,230,220
2021,8,90,254,31,32,47,48,28,29,19,20
2021,8,100,23,2,0,7,3,5,6,0,0
2021,9,총,"41,145","6,164","4,298","5,770","13,182","3,820","3,394","2,523","1,994"
2021,9,0,"2,369",437,165,355,"1,046",142,124,61,39
2021,9,10,"3,677",552,304,497,"1,543",267,228,205,81
2021,9,20,"3,478",587,334,387,"1,354",265,289,135,127
2021,9,30,"3,415",573,262,474,"1,357",270,230,132,117
2021,9,40,"6,120",884,584,871,"2,508",473,355,259,186
2021,9,50,"7,059","1,068",754,911,"2,187",707,695,393,344
2021,9,60,"7,758","1,137","1,027","1,062","1,788",918,719,624,483
2021,9,70,"4,813",631,601,792,956,526,464,464,379
2021,9,80,"2,180",263,235,368,391,217,257,231,218
2021,9,90,252,30,32,45,49,30,27,19,20
2021,9,100,24,2,0,8,3,5,6,0,0
2021,10,총,"41,055","6,150","4,289","5,762","13,157","3,823","3,378","2,513","1,983"
2021,10,0,"2,344",427,166,343,"1,039",145,126,60,38
2021,10,10,"3,667",552,305,501,"1,542",266,215,205,81
2021,10,20,"3,480",590,327,392,"1,360",263,287,133,128
2021,10,30,"3,373",566,263,467,"1,333",265,231,131,117
2021,10,40,"6,112",882,579,865,"2,510",480,354,255,187
2021,10,50,"7,043","1,066",743,919,"2,189",705,692,393,336
2021,10,60,"7,766","1,138","1,038","1,063","1,778",918,721,620,490
2021,10,70,"4,823",634,604,792,964,529,464,465,371
2021,10,80,"2,173",261,232,367,391,217,257,232,216
2021,10,90,250,32,32,45,48,30,25,19,19
2021,10,100,24,2,0,8,3,5,6,0,0
2021,11,총,"40,982","6,139","4,284","5,748","13,140","3,821","3,372","2,502","1,976"
2021,11,0,"2,320",430,164,338,"1,025",145,124,57,37
2021,11,10,"3,671",554,303,499,"1,549",267,216,204,79
2021,11,20,"3,485",576,326,390,"1,370",270,287,133,133
2021,11,30,"3,329",560,265,462,"1,306",261,230,133,112
2021,11,40,"6,114",884,580,866,"2,511",481,350,256,186
2021,11,50,"7,015","1,060",742,917,"2,187",702,686,389,332
2021,11,60,"7,785","1,144","1,040","1,071","1,784",911,728,616,491
2021,11,70,"4,803",633,597,789,962,529,460,461,372
2021,11,80,"2,191",262,235,370,395,219,260,234,216
2021,11,90,252,34,32,45,48,31,25,19,18
2021,11,100,17,2,0,1,3,5,6,0,0
2021,12,총,"40,844","6,128","4,262","5,725","13,106","3,810","3,334","2,497","1,982"
2021,12,0,"2,301",434,158,339,"1,011",143,121,58,37
2021,12,10,"3,665",556,304,503,"1,543",266,213,201,79
2021,12,20,"3,452",564,319,383,"1,368",271,282,135,130
2021,12,30,"3,296",556,261,458,"1,290",258,227,130,116
2021,12,40,"6,095",879,577,862,"2,515",478,346,252,186
2021,12,50,"6,981","1,060",737,909,"2,184",700,681,382,328
2021,12,60,"7,804","1,148","1,038","1,068","1,789",912,725,622,502
2021,12,70,"4,789",629,599,788,963,521,459,462,368
2021,12,80,"2,204",265,238,370,394,229,255,236,217
2021,12,90,255,36,31,44,49,32,25,19,19
2021,12,100,2,1,0,1,0,0,0,0,0
