년도,월,나이,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020,8,30,"2,029",611,129,206,82,108,479,148,68,43,78,77
2020,8,40,"3,245","1,050",247,272,120,257,515,322,109,61,165,127
2020,8,50,"4,291","1,207",370,398,216,334,488,446,163,132,283,254
2020,8,60,"3,725",966,296,379,211,304,331,392,156,146,279,265
2020,8,70,"2,616",726,205,229,114,220,211,232,116,124,241,198
2020,8,80,"1,180",284,90,100,72,121,96,88,48,68,141,72
2020,8,90,117,23,10,15,10,8,10,14,6,5,9,7
2020,8,100,5,1,1,0,0,0,0,0,2,0,0,1
2020,9,총,"22,969","6,711","1,835","1,994",980,"1,959","3,269","2,104",814,696,"1,453","1,154"
2020,9,0,"1,432",527,160,84,23,78,353,92,29,14,42,30
2020,9,10,"1,746",620,159,93,43,103,344,137,52,36,106,53
2020,9,20,"2,611",707,167,217,90,427,458,236,68,70,101,70
2020,9,30,"1,998",605,125,205,82,107,465,145,66,41,82,75
2020,9,40,"3,237","1,050",248,275,121,257,509,319,108,61,163,126
2020,9,50,"4,284","1,198",373,397,213,334,490,447,162,131,283,256
2020,9,60,"3,753",976,300,381,212,303,334,397,156,145,284,265
2020,9,70,"2,606",722,202,226,113,221,210,231,116,124,243,198
2020,9,80,"1,180",283,91,101,72,121,96,87,49,69,139,72
2020,9,90,117,22,9,15,11,8,10,13,6,5,10,8
2020,9,100,5,1,1,0,0,0,0,0,2,0,0,1
2020,10,총,"22,862","6,693","1,835","1,996",975,"1,927","3,231","2,095",811,693,"1,455","1,151"
2020,10,0,"1,416",524,164,85,22,75,343,89,29,11,44,30
2020,10,10,"1,747",623,160,95,43,105,340,135,52,38,104,52
2020,10,20,"2,571",703,166,214,89,400,452,235,66,68,107,71
2020,10,30,"1,965",605,125,203,78,105,453,143,64,40,79,70
2020,10,40,"3,201","1,035",249,279,122,252,498,314,104,61,163,124
2020,10,50,"4,289","1,205",369,400,210,333,492,445,162,133,282,258
2020,10,60,"3,758",974,301,379,213,308,333,401,157,146,280,266
2020,10,70,"2,615",722,202,226,113,219,213,232,119,124,247,198
2020,10,80,"1,175",278,89,100,74,122,96,88,50,66,139,73
2020,10,90,120,23,9,15,11,8,11,13,6,6,10,8
2020,10,100,5,1,1,0,0,0,0,0,2,0,0,1
2020,11,총,"22,816","6,681","1,843","2,003",973,"1,905","3,214","2,083",814,696,"1,452","1,152"
2020,11,0,"1,405",522,168,85,21,77,332,85,29,12,45,29
2020,11,10,"1,746",624,157,95,40,107,342,132,52,38,104,55
2020,11,20,"2,535",700,167,212,92,374,447,235,67,67,102,72
2020,11,30,"1,949",593,121,209,77,103,446,144,66,39,80,71
2020,11,40,"3,194","1,035",249,280,119,249,501,314,104,61,160,122
2020,11,50,"4,282","1,199",376,394,210,335,490,438,164,136,282,258
2020,11,60,"3,786",989,302,387,212,312,335,403,156,147,276,267
2020,11,70,"2,613",719,203,225,117,218,213,228,119,124,253,194
2020,11,80,"1,180",277,90,101,74,121,96,90,50,66,140,75
2020,11,90,121,22,9,15,11,9,12,14,5,6,10,8
2020,11,100,5,1,1,0,0,0,0,0,2,0,0,1
2020,12,총,"22,781","6,693","1,864","2,005",977,"1,873","3,191","2,073",816,695,"1,446","1,148"
2020,12,0,"1,403",527,177,81,18,80,320,83,30,12,45,30
2020,12,10,"1,731",628,160,93,41,106,336,124,52,37,102,52
2020,12,20,"2,542",704,169,212,96,346,458,243,67,69,103,75
2020,12,30,"1,941",589,126,213,77,101,441,143,64,39,78,70
2020,12,40,"3,166","1,040",244,275,118,249,496,302,105,60,159,118
2020,12,50,"4,268","1,194",380,395,209,333,483,440,163,135,280,256
2020,12,60,"3,812",988,305,393,215,313,337,409,159,147,278,268
2020,12,70,"2,612",723,203,228,117,216,214,224,118,122,251,196
2020,12,80,"1,183",277,90,101,75,121,94,92,51,68,140,74
2020,12,90,118,22,9,14,11,8,12,13,5,6,10,8
2020,12,100,5,1,1,0,0,0,0,0,2,0,0,1
2021,1,총,"22,698","6,710","1,870","1,996",980,"1,830","3,154","2,058",819,693,"1,445","1,143"
2021,1,0,"1,385",525,176,83,19,81,307,79,30,11,45,29
2021,1,10,"1,720",633,157,90,38,104,330,121,52,36,104,55
2021,1,20,"2,489",697,170,210,97,301,462,234,70,73,101,74
2021,1,30,"1,931",589,129,210,80,97,426,148,65,39,80,68
2021,1,40,"3,134","1,035",248,270,115,249,484,297,101,60,159,116
2021,1,50,"4,268","1,198",382,397,207,334,482,437,167,130,279,255
2021,1,60,"3,837","1,003",305,393,221,317,339,411,159,148,276,265
2021,1,70,"2,611",727,200,228,115,216,217,224,116,121,251,196
2021,1,80,"1,195",278,92,101,77,123,94,94,52,69,140,75
2021,1,90,124,24,10,14,11,8,13,13,6,6,10,9
2021,1,100,4,1,1,0,0,0,0,0,1,0,0,1
2021,2,총,"22,774","6,731","1,889","2,001",982,"1,802","3,186","2,073",817,698,"1,455","1,140"
2021,2,0,"1,392",532,183,79,20,80,307,77,30,11,44,29
2021,2,10,"1,725",637,160,95,37,110,325,119,50,35,104,53
2021,2,20,"2,482",695,169,209,98,276,483,240,71,71,101,69
2021,2,30,"1,957",594,130,209,80,97,434,152,63,41,84,73
2021,2,40,"3,136","1,043",250,274,115,241,474,301,102,58,160,118
2021,2,50,"4,266","1,196",383,394,207,335,487,438,165,133,276,252
2021,2,60,"3,870","1,001",309,398,222,314,353,412,161,151,283,266
2021,2,70,"2,612",729,201,227,115,215,215,227,116,122,248,197
2021,2,80,"1,206",279,93,102,77,126,95,94,52,70,145,73
2021,2,90,124,24,10,14,11,8,13,13,6,6,10,9
2021,2,100,4,1,1,0,0,0,0,0,1,0,0,1
2021,3,총,"22,652","6,675","1,888","2,001",973,"1,777","3,180","2,065",820,690,"1,451","1,132"
2021,3,0,"1,369",522,179,78,19,81,301,77,32,10,43,27
2021,3,10,"1,721",633,165,94,37,108,322,121,50,33,104,54
2021,3,20,"2,463",692,171,210,96,253,492,239,73,67,103,67
2021,3,30,"1,919",578,132,210,74,93,426,150,60,39,82,75
2021,3,40,"3,109","1,035",247,272,116,240,469,297,104,57,157,115
2021,3,50,"4,254","1,189",379,395,208,333,489,437,166,133,277,248
2021,3,60,"3,894","1,001",310,404,222,321,361,409,161,153,285,267
2021,3,70,"2,593",721,202,223,114,216,211,227,116,120,245,198
2021,3,80,"1,203",280,92,100,76,124,97,95,52,72,144,71
2021,3,90,126,24,10,15,11,8,12,13,6,6,11,10
2021,3,100,1,0,1,0,0,0,0,0,0,0,0,0
2021,4,총,"22,627","6,665","1,878","2,008",974,"1,756","3,200","2,055",815,695,"1,447","1,134"
2021,4,0,"1,362",518,172,77,20,83,306,72,31,11,43,29
2021,4,10,"1,710",632,163,94,35,103,322,124,50,33,103,51
2021,4,20,"2,461",696,169,217,94,239,506,236,71,63,103,67
2021,4,30,"1,902",570,128,205,76,92,431,144,61,40,80,75
2021,4,40,"3,090","1,037",246,274,113,235,466,291,100,55,158,115
2021,4,50,"4,251","1,180",378,396,208,332,491,443,168,136,276,243
2021,4,60,"3,920","1,009",314,406,225,324,357,406,158,158,288,275
2021,4,70,"2,589",717,205,221,115,217,209,232,117,119,241,196
2021,4,80,"1,217",282,93,102,77,124,100,94,53,74,145,73
2021,4,90,124,24,9,16,11,7,12,13,6,6,10,10
2021,4,100,1,0,1,0,0,0,0,0,0,0,0,0
2021,5,총,"22,601","6,669","1,888","2,014",970,"1,748","3,175","2,054",816,689,"1,444","1,134"
2021,5,0,"1,347",514,174,76,21,83,299,71,30,9,41,29
2021,5,10,"1,695",635,160,90,34,97,316,125,51,31,105,51
