년도,월,나이,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020,11,10,"3,852",278,136,308,262,212,141,237,758,"1,138",91,291
2020,11,20,"6,595",554,243,497,435,389,277,312,"1,063","1,934",378,513
2020,11,30,"5,769",577,205,429,385,408,225,338,"1,024","1,501",196,481
2020,11,40,"7,999",811,275,559,640,530,393,504,"1,338","2,006",256,687
2020,11,50,"10,002","1,072",357,746,942,619,490,560,"1,622","2,401",261,932
2020,11,60,"10,559","1,075",374,815,901,686,484,579,"1,620","2,520",330,"1,175"
2020,11,70,"6,336",653,234,523,634,395,376,406,922,"1,359",202,632
2020,11,80,"2,064",228,83,190,244,142,135,124,280,403,52,183
2020,11,90,149,12,4,19,10,16,8,14,18,29,10,9
2020,11,100,33,2,4,3,5,4,4,3,6,0,1,1
2020,12,총,"55,846","5,480","2,015","4,267","4,552","3,574","2,593","3,251","9,158","14,014","1,881","5,061"
2020,12,0,"2,593",205,100,207,126,181,67,178,510,750,98,171
2020,12,10,"3,833",278,134,300,257,213,142,237,756,"1,140",92,284
2020,12,20,"6,573",547,248,494,430,390,274,316,"1,080","1,911",376,507
2020,12,30,"5,720",581,203,422,377,399,225,332,"1,002","1,502",202,475
2020,12,40,"7,953",807,274,553,637,527,387,504,"1,337","1,992",253,682
2020,12,50,"9,979","1,077",347,745,935,618,498,551,"1,620","2,397",264,927
2020,12,60,"10,590","1,077",383,806,901,689,482,587,"1,623","2,529",328,"1,185"
2020,12,70,"6,334",661,233,529,624,394,370,402,922,"1,361",205,633
2020,12,80,"2,088",232,85,189,250,144,136,127,284,403,52,186
2020,12,90,150,13,4,19,10,15,8,14,18,29,10,10
2020,12,100,33,2,4,3,5,4,4,3,6,0,1,1
2021,1,총,"55,697","5,486","2,015","4,242","4,532","3,561","2,582","3,249","9,146","13,964","1,879","5,041"
2021,1,0,"2,563",206,99,204,122,180,68,176,504,739,99,166
2021,1,10,"3,814",277,136,298,248,212,139,241,761,"1,141",87,274
2021,1,20,"6,536",541,241,492,429,389,274,316,"1,073","1,901",376,504
2021,1,30,"5,685",574,205,423,374,393,228,334,992,"1,492",196,474
2021,1,40,"7,897",813,270,544,632,521,380,503,"1,327","1,973",261,673
2021,1,50,"9,934","1,070",347,739,925,615,493,543,"1,623","2,390",265,924
2021,1,60,"10,659","1,095",388,808,912,693,480,592,"1,635","2,539",326,"1,191"
2021,1,70,"6,318",662,235,522,622,391,371,396,924,"1,353",208,634
2021,1,80,"2,107",233,86,191,253,148,137,130,283,404,52,190
2021,1,90,150,13,4,18,10,15,8,15,18,31,8,10
2021,1,100,34,2,4,3,5,4,4,3,6,1,1,1
2021,2,총,"55,571","5,490","2,011","4,245","4,512","3,551","2,575","3,237","9,131","13,923","1,870","5,026"
2021,2,0,"2,547",209,98,202,120,181,67,176,502,727,97,168
2021,2,10,"3,773",277,134,295,243,208,140,234,764,"1,125",80,273
2021,2,20,"6,533",544,234,499,433,381,272,319,"1,063","1,907",383,498
2021,2,30,"5,647",575,204,427,372,395,224,327,976,"1,480",194,473
2021,2,40,"7,862",802,275,536,621,522,378,502,"1,333","1,965",259,669
2021,2,50,"9,896","1,075",343,734,924,611,491,544,"1,615","2,382",262,915
2021,2,60,"10,677","1,099",387,814,911,696,479,591,"1,645","2,540",324,"1,191"
2021,2,70,"6,330",663,235,527,615,387,371,398,923,"1,363",208,640
2021,2,80,"2,116",229,93,189,257,150,141,128,286,401,54,188
2021,2,90,157,15,4,19,11,16,8,15,19,32,8,10
2021,2,100,33,2,4,3,5,4,4,3,5,1,1,1
2021,3,총,"54,997","5,440","1,970","4,179","4,409","3,501","2,521","3,172","9,063","13,862","1,863","5,017"
2021,3,0,"2,541",213,96,201,116,182,68,176,507,718,99,165
2021,3,10,"3,733",273,129,291,240,208,136,232,747,"1,118",83,276
2021,3,20,"6,513",548,229,499,433,384,275,311,"1,059","1,908",378,489
2021,3,30,"5,591",576,194,422,365,388,222,326,977,"1,468",193,460
2021,3,40,"7,789",789,274,536,602,519,369,494,"1,319","1,956",263,668
2021,3,50,"9,746","1,061",332,717,907,594,468,533,"1,606","2,359",253,916
2021,3,60,"10,597","1,080",385,796,897,687,472,582,"1,629","2,552",321,"1,196"
2021,3,70,"6,287",660,237,521,595,387,368,385,921,"1,359",209,645
2021,3,80,"2,068",230,90,180,246,139,139,121,281,396,55,191
2021,3,90,128,10,4,16,7,12,4,12,17,28,8,10
2021,3,100,4,0,0,0,1,1,0,0,0,0,1,1
2021,4,총,"54,958","5,465","1,964","4,175","4,381","3,491","2,563","3,171","9,057","13,831","1,854","5,006"
2021,4,0,"2,513",210,89,199,112,181,76,174,497,712,98,165
2021,4,10,"3,724",273,130,293,240,205,136,236,754,"1,103",84,270
2021,4,20,"6,514",556,227,498,431,381,281,310,"1,056","1,903",379,492
2021,4,30,"5,567",584,192,425,358,374,230,323,974,"1,470",188,449
2021,4,40,"7,772",779,278,542,594,524,375,490,"1,319","1,946",259,666
2021,4,50,"9,726","1,065",330,702,899,596,480,536,"1,600","2,352",254,912
2021,4,60,"10,633","1,093",384,801,901,689,473,584,"1,630","2,558",319,"1,201"
2021,4,70,"6,290",662,238,525,591,388,366,387,924,"1,355",210,644
2021,4,80,"2,082",233,92,172,248,139,142,118,286,402,55,195
2021,4,90,133,10,4,18,6,13,4,13,17,30,7,11
2021,4,100,4,0,0,0,1,1,0,0,0,0,1,1
2021,5,총,"55,016","5,426","1,943","4,128","4,342","3,413","3,204","3,124","8,935","13,691","1,834","4,976"
2021,5,0,"2,541",202,88,187,117,171,173,168,485,695,94,161
2021,5,10,"3,711",267,126,285,236,195,197,230,734,"1,086",85,270
2021,5,20,"6,488",553,222,489,431,372,338,305,"1,041","1,877",372,488
2021,5,30,"5,610",575,189,437,354,360,342,314,956,"1,464",183,436
2021,5,40,"7,761",776,278,522,594,513,494,479,"1,300","1,903",253,649
2021,5,50,"9,713","1,060",320,699,889,579,571,532,"1,573","2,320",255,915
2021,5,60,"10,661","1,096",382,792,884,685,538,581,"1,625","2,556",323,"1,199"
2021,5,70,"6,295",653,240,528,580,387,395,383,919,"1,353",206,651
2021,5,80,"2,096",232,94,170,250,137,151,119,286,407,54,196
2021,5,90,135,12,4,19,6,13,5,13,16,29,8,10
2021,5,100,5,0,0,0,1,1,0,0,0,1,1,1
2021,6,총,"55,061","5,402","1,906","4,114","4,315","3,383","3,568","3,091","8,918","13,592","1,837","4,935"
2021,6,0,"2,538",194,83,187,116,171,207,168,485,682,91,154
2021,6,10,"3,709",263,117,285,234,194,237,226,730,"1,070",86,267
2021,6,20,"6,469",556,215,487,429,364,377,296,"1,029","1,862",369,485
2021,6,30,"5,626",573,181,433,347,363,415,314,954,"1,436",186,424
2021,6,40,"7,771",771,269,521,598,511,544,476,"1,297","1,886",255,643
2021,6,50,"9,698","1,044",311,698,881,570,620,525,"1,569","2,309",252,919
2021,6,60,"10,691","1,104",388,791,877,679,588,574,"1,628","2,552",328,"1,182"
2021,6,70,"6,298",651,241,519,577,380,416,384,924,"1,350",207,649
2021,6,80,"2,121",234,97,175,249,135,158,116,286,415,55,201
2021,6,90,135,12,4,18,6,15,6,12,16,29,7,10
2021,6,100,5,0,0,0,1,1,0,0,0,1,1,1
2021,7,총,"54,999","5,394","1,917","4,095","4,284","3,369","3,707","3,057","8,844","13,584","1,834","4,914"
2021,7,0,"2,546",195,82,184,115,174,223,169,481,679,94,150
2021,7,10,"3,681",266,117,275,232,188,243,221,716,"1,072",90,261
2021,7,20,"6,427",556,211,486,423,362,398,292,"1,008","1,851",357,483
2021,7,30,"5,596",572,182,430,338,357,440,303,954,"1,423",181,416
2021,7,40,"7,745",763,273,516,597,505,565,472,"1,282","1,877",258,637
2021,7,50,"9,691","1,039",315,696,870,565,641,526,"1,546","2,322",250,921
2021,7,60,"10,721","1,107",389,787,875,686,611,569,"1,631","2,555",332,"1,179"
2021,7,70,"6,317",650,247,523,580,383,419,378,924,"1,354",209,650
2021,7,80,"2,133",234,97,180,246,132,161,115,287,423,55,203
2021,7,90,137,12,4,18,7,16,6,12,15,27,7,13
2021,7,100,5,0,0,0,1,1,0,0,0,1,1,1
2021,8,총,"54,888","5,399","1,902","4,071","4,264","3,378","3,742","3,055","8,827","13,524","1,820","4,906"
2021,8,0,"2,528",197,82,179,116,173,229,171,477,664,92,148
2021,8,10,"3,661",269,112,274,231,189,247,222,715,"1,052",89,261
2021,8,20,"6,403",555,208,479,421,360,398,289,"1,007","1,846",361,479
2021,8,30,"5,583",568,182,428,337,362,440,300,949,"1,422",177,418
2021,8,40,"7,716",765,270,508,589,502,581,471,"1,278","1,860",257,635
2021,8,50,"9,651","1,029",314,700,860,572,644,528,"1,537","2,308",245,914
2021,8,60,"10,718","1,112",383,779,878,688,614,571,"1,625","2,562",325,"1,181"
2021,8,70,"6,340",653,253,523,581,382,422,377,934,"1,353",211,651
2021,8,80,"2,139",237,94,184,242,134,158,114,289,426,55,206
2021,8,90,144,14,4,17,8,15,9,12,16,30,7,12
2021,8,100,5,0,0,0,1,1,0,0,0,1,1,1
2021,9,총,"54,786","5,400","1,902","4,069","4,237","3,358","3,778","3,037","8,809","13,498","1,810","4,888"
2021,9,0,"2,525",198,81,179,117,169,234,172,469,668,91,147
2021,9,10,"3,629",262,111,273,232,186,248,217,720,"1,040",86,254
2021,9,20,"6,397",558,213,483,414,360,399,280,"1,003","1,849",363,475
2021,9,30,"5,561",567,172,426,333,357,452,300,942,"1,418",172,422
2021,9,40,"7,678",758,270,507,586,497,589,469,"1,270","1,850",256,626
2021,9,50,"9,626","1,030",318,692,852,566,647,525,"1,535","2,306",245,910
2021,9,60,"10,728","1,116",387,782,874,691,619,573,"1,621","2,559",323,"1,183"
2021,9,70,"6,342",659,254,523,577,384,423,373,937,"1,356",212,644
2021,9,80,"2,152",238,93,189,243,132,159,116,295,420,54,213
2021,9,90,143,14,3,15,8,15,8,12,17,31,7,13
2021,9,100,5,0,0,0,1,1,0,0,0,1,1,1
2021,10,총,"54,707","5,413","1,907","4,040","4,226","3,346","3,827","3,024","8,779","13,479","1,803","4,863"
2021,10,0,"2,498",202,81,180,113,168,234,172,458,654,89,147
2021,10,10,"3,616",260,108,269,233,182,253,212,718,"1,043",88,250
2021,10,20,"6,374",561,215,473,409,358,408,286,994,"1,850",354,466
2021,10,30,"5,549",572,175,425,329,355,455,299,941,"1,405",173,420
2021,10,40,"7,667",750,267,499,591,494,602,467,"1,273","1,847",257,620
2021,10,50,"9,635","1,047",318,695,851,568,656,515,"1,528","2,309",243,905
2021,10,60,"10,696","1,098",395,776,870,689,620,575,"1,610","2,553",327,"1,183"
2021,10,70,"6,364",671,252,518,579,382,431,370,944,"1,360",211,646
2021,10,80,"2,161",237,91,190,243,134,160,116,297,425,54,214
2021,10,90,142,15,5,15,7,15,8,12,16,32,6,11
2021,10,100,5,0,0,0,1,1,0,0,0,1,1,1
2021,11,총,"54,612","5,417","1,916","4,031","4,210","3,333","3,846","3,005","8,746","13,474","1,791","4,843"
2021,11,0,"2,490",201,82,180,112,167,236,170,454,658,84,146
2021,11,10,"3,608",263,108,267,232,184,257,208,717,"1,033",89,250
2021,11,20,"6,329",559,215,473,412,351,398,290,975,"1,838",355,463
2021,11,30,"5,564",579,176,425,331,359,464,290,946,"1,408",157,429
2021,11,40,"7,620",738,269,499,585,489,601,464,"1,253","1,851",260,611
2021,11,50,"9,631","1,052",319,686,850,563,668,509,"1,535","2,304",246,899
2021,11,60,"10,684","1,103",396,779,865,688,615,573,"1,605","2,559",326,"1,175"
2021,11,70,"6,367",667,253,514,573,385,441,373,942,"1,363",211,645
2021,11,80,"2,171",239,93,193,241,132,158,116,305,425,56,213
2021,11,90,144,16,5,15,8,15,8,12,14,34,6,11
2021,11,100,4,0,0,0,1,0,0,0,0,1,1,1
2021,12,총,"54,471","5,417","1,919","4,014","4,183","3,329","3,849","2,993","8,719","13,450","1,778","4,820"
2021,12,0,"2,482",201,82,179,110,168,231,166,449,663,82,151
2021,12,10,"3,576",257,107,264,229,182,260,205,719,"1,023",86,244
2021,12,20,"6,285",563,217,469,404,353,397,286,967,"1,818",354,457
2021,12,30,"5,538",576,177,426,329,359,459,287,933,"1,402",156,434
2021,12,40,"7,616",743,270,492,582,482,607,464,"1,257","1,853",256,610
2021,12,50,"9,594","1,046",322,684,844,564,660,508,"1,528","2,299",247,892
2021,12,60,"10,680","1,107",389,780,869,686,624,576,"1,602","2,562",322,"1,163"
2021,12,70,"6,367",665,257,513,565,388,443,373,943,"1,360",213,647
2021,12,80,"2,186",242,93,191,243,133,160,117,306,436,55,210
2021,12,90,145,17,5,16,8,14,8,11,15,34,6,11
2021,12,100,2,0,0,0,0,0,0,0,0,0,1,1
