년도,월,나이,창원시,의창구,동읍,북면,대산면,의창동,팔룡동,명곡동,봉림동,용지동,성산구,반송동,중앙동,상남동,사파동,가음정동,성주동,웅남동,마산합포구,구산면,진동면,진북면,진전면,현동,가포동,월영동,문화동,반월중앙동,완월동,자산동,교방동,노산동,오동동,합포동,산호동,마산회원구,내서읍,회원1동,회원2동,석전동,회성동,양덕1동,양덕2동,합성1동,합성2동,구암1동,구암2동,봉암동,진해구,중앙동,태평동,충무동,여좌동,태백동,경화동,병암동,석동,이동,자은동,덕산동,풍호동,웅천동,웅동1동,웅동2동,용지동
2020,1,90,"3,148",723,84,136,68,119,66,92,83,75,397,78,55,59,85,70,27,23,894,62,54,53,84,36,5,97,62,77,45,52,80,0.0,91,44,52,544,138,51,38,45,44,34,83,32,14,35,22,8,590,0.0,0.0,86,59,39,42,28,41,37,41,30,50,38,39,60,
2020,1,100,168,32,1,6,2,7,3,7,5,1,20,7,4,2,6,1,0,0,62,0,3,2,0,0,2,4,5,8,3,3,18,0.0,6,3,5,38,1,6,3,3,6,4,1,4,2,3,3,2,16,0.0,0.0,3,1,2,4,2,1,0,1,0,1,1,0,0,
2020,2,총,"1,043,874","261,904","20,638","42,448","7,388","48,923","36,819","43,895","30,970","30,823","218,885","42,755","23,270","28,750","46,824","42,094","27,048","8,144","176,334","4,423","12,633","3,694","4,071","14,564",665,"32,476","11,689","15,520","9,662","11,333","14,788",,"20,442","7,180","13,194","193,780","66,547","11,092","7,788","16,691","6,606","11,684","32,435","9,726","8,156","9,531","9,980","3,544","192,971",,,"17,812","8,988","5,319","11,558","7,708","17,486","8,657","21,743","10,334","26,353","12,349","6,588","38,076",
2020,2,0,"87,219","22,065","1,338","6,608",277,"4,259","3,003","2,638","1,681","2,261","17,653","3,409","1,334","2,258","3,905","3,923","2,284",540,"12,955",127,"1,251",90,76,"2,349",29,"2,825",592,"1,058",462,567,"1,069",,"1,250",375,835,"14,112","5,707",475,350,"1,140",179,682,"3,297",692,331,501,584,174,"20,434",,,"1,660",400,219,"1,126",610,"1,616",431,"2,616","1,158","3,802","1,782",590,"4,424",
2020,2,10,"102,696","24,305","2,039","3,440",444,"4,633","3,972","4,441","2,389","2,947","24,316","5,569","1,549","3,595","5,108","4,351","3,324",820,"14,095",180,"1,022",181,149,"1,184",30,"3,288",849,"1,434",865,"1,003","1,224",,"1,211",449,"1,026","18,969","8,566",686,635,"1,238",393,889,"3,573",667,530,693,856,243,"21,011",,,"1,921",724,328,"1,057",752,"2,429",575,"2,263","1,239","3,137",891,726,"4,969",
2020,2,20,"133,068","36,431","2,396","4,050",709,"6,913","5,531","7,016","4,900","4,916","33,522","5,991","4,484","4,359","6,826","6,472","4,325","1,065","19,511",321,"1,142",313,288,"1,298",73,"4,257","1,673","1,742","1,197","1,302","1,495",,"2,124",689,"1,597","23,117","8,600","1,082",802,"1,851",689,"1,393","3,617","1,206","1,073","1,088","1,358",358,"20,487",,,"2,206",885,542,"1,169",828,"2,204","1,001","2,479","1,130","2,361","1,273",602,"3,807",
2020,2,30,"138,985","35,823","1,978","8,357",683,"6,963","5,130","4,558","3,947","4,207","30,413","4,766","4,383","3,637","6,764","6,304","3,489","1,070","21,347",350,"1,684",233,192,"2,832",72,"4,129","1,299","1,698",939,"1,118","1,726",,"2,631",831,"1,613","22,781","7,305","1,119",736,"2,201",592,"1,448","4,346","1,449",898,"1,011","1,226",450,"28,621",,,"2,433",774,438,"1,731",907,"2,266","1,115","3,481","1,450","4,443","2,516",766,"6,301",
2020,2,40,"170,342","41,452","3,387","6,698",871,"7,627","6,246","7,099","4,565","4,959","37,302","7,783","3,727","4,968","8,100","6,900","4,530","1,294","25,788",405,"1,994",363,343,"2,383",73,"5,080","1,518","2,381","1,320","1,568","2,205",,"3,133","1,029","1,993","31,048","12,084","1,504","1,065","2,316",803,"1,725","5,667","1,344","1,177","1,290","1,482",591,"34,752",,,"3,021","1,292",635,"1,764","1,279","3,474","1,305","3,750","1,745","4,875","1,923","1,131","8,558",
2020,2,50,"188,727","50,758","4,007","6,154","1,422","9,472","7,376","9,571","6,452","6,304","44,185","8,517","4,287","6,170","9,275","8,564","5,898","1,474","30,089",848,"2,086",778,752,"1,936",121,"5,673","1,985","2,640","1,848","2,082","2,402",,"3,408","1,264","2,266","35,358","12,450","1,954","1,402","2,959","1,311","2,059","5,568","1,739","1,502","1,933","1,793",688,"28,337",,,"2,301","1,447",974,"1,876","1,239","2,640","1,562","3,431","1,428","3,536","1,708","1,128","5,067",
2020,2,60,"133,266","31,951","2,980","4,347","1,505","5,803","3,835","5,555","4,544","3,382","21,586","4,553","2,406","2,628","4,662","3,853","2,351","1,133","28,866","1,116","1,936",850,973,"1,573",152,"4,382","2,009","2,350","1,678","2,075","2,586",,"3,635","1,358","2,193","28,636","7,095","2,276","1,577","2,862","1,409","2,129","4,046","1,509","1,606","1,839","1,662",626,"22,227",,,"2,103","1,550","1,025","1,593","1,100","1,848","1,563","2,338","1,217","2,625","1,283",934,"3,048",
2020,2,70,"60,992","12,820","1,632","1,770",911,"2,272","1,173","2,092","1,711","1,259","6,608","1,500",756,718,"1,434","1,142",556,502,"15,981",688,992,513,723,698,69,"2,038","1,173","1,477",887,"1,155","1,455",,"2,114",785,"1,214","14,168","3,302","1,389",868,"1,593",827,"1,011","1,673",826,790,834,763,292,"11,415",,,"1,405","1,232",747,850,659,709,769,915,641,"1,066",610,440,"1,372",
2020,2,80,"25,222","5,533",789,885,495,855,485,823,693,508,"2,875",579,288,355,656,513,264,220,"6,727",327,466,315,491,273,39,702,520,653,417,410,526,,834,352,402,"5,010","1,303",547,311,482,354,311,565,258,233,305,229,112,"5,077",,,672,625,367,345,304,259,298,427,297,457,323,234,469,
2020,2,90,"3,182",733,90,133,69,119,65,95,83,79,404,81,52,59,88,71,27,26,913,61,57,56,84,38,5,98,66,79,46,50,82,,96,45,50,542,133,54,39,46,43,33,82,32,14,34,24,8,590,,,85,58,42,42,28,40,38,42,29,50,39,37,60,
2020,2,100,175,33,2,6,2,7,3,7,5,1,21,7,4,3,6,1,0,0,62,0,3,2,0,0,2,4,5,8,3,3,18,,6,3,5,39,2,6,3,3,6,4,1,4,2,3,3,2,20,,,5,1,2,5,2,1,0,1,0,1,1,0,1,
2020,3,총,"1,042,260","262,140","20,545","42,510","7,375","49,842","36,525","43,683","30,938","30,722","218,233","42,600","23,183","28,753","46,602","41,979","26,993","8,123","175,909","4,412","12,597","3,673","4,047","14,564",672,"32,509","11,646","15,459","9,634","11,291","14,749",,"20,402","7,151","13,103","193,295","66,263","11,055","7,723","16,893","6,578","11,669","32,356","9,684","8,100","9,489","9,947","3,538","192,683",,,"17,718","8,999","5,274","11,538","7,694","17,422","8,608","21,743","10,325","26,338","12,377","6,579","38,068",
2020,3,0,"86,780","22,073","1,317","6,619",280,"4,354","2,966","2,621","1,659","2,257","17,539","3,388","1,328","2,269","3,817","3,916","2,288",533,"12,883",127,"1,238",85,74,"2,344",30,"2,835",575,"1,046",456,569,"1,054",,"1,257",368,825,"13,994","5,625",472,335,"1,156",176,674,"3,292",691,326,498,573,176,"20,291",,,"1,648",402,213,"1,131",603,"1,589",421,"2,594","1,142","3,773","1,788",589,"4,398",
2020,3,10,"102,190","24,223","2,013","3,456",442,"4,694","3,950","4,376","2,372","2,920","24,040","5,502","1,530","3,567","5,049","4,303","3,283",806,"14,036",174,"1,018",178,148,"1,190",32,"3,282",859,"1,427",844,994,"1,226",,"1,202",443,"1,019","18,878","8,520",676,631,"1,249",389,881,"3,557",659,523,702,849,242,"21,013",,,"1,909",725,316,"1,059",755,"2,419",557,"2,274","1,225","3,165",901,722,"4,986",
2020,3,20,"132,557","36,420","2,388","4,029",703,"7,053","5,469","6,978","4,905","4,895","33,402","5,967","4,441","4,367","6,815","6,453","4,300","1,059","19,358",325,"1,136",311,276,"1,298",73,"4,253","1,662","1,722","1,188","1,292","1,475",,"2,110",674,"1,563","22,944","8,521","1,072",794,"1,873",665,"1,391","3,594","1,197","1,064","1,065","1,353",355,"20,433",,,"2,180",893,530,"1,165",827,"2,206","1,006","2,444","1,144","2,357","1,270",599,"3,812",
2020,3,30,"138,260","35,766","1,946","8,332",674,"7,136","5,039","4,503","3,939","4,197","30,285","4,738","4,366","3,638","6,712","6,293","3,477","1,061","21,142",347,"1,670",228,187,"2,810",66,"4,117","1,271","1,680",937,"1,100","1,712",,"2,596",824,"1,597","22,699","7,250","1,110",724,"2,269",603,"1,452","4,313","1,435",881,991,"1,222",449,"28,368",,,"2,396",770,429,"1,712",890,"2,248","1,087","3,464","1,433","4,412","2,501",754,"6,272",
2020,3,40,"169,841","41,408","3,371","6,746",870,"7,751","6,214","7,026","4,535","4,895","37,029","7,719","3,701","4,932","8,021","6,837","4,528","1,291","25,734",404,"1,991",356,336,"2,395",76,"5,091","1,508","2,374","1,323","1,557","2,203",,"3,112","1,027","1,981","30,907","11,984","1,509","1,047","2,342",795,"1,720","5,677","1,334","1,159","1,285","1,468",587,"34,763",,,"3,023","1,289",635,"1,774","1,291","3,447","1,294","3,765","1,745","4,892","1,944","1,130","8,534",
2020,3,50,"188,379","50,850","4,003","6,132","1,410","9,657","7,355","9,552","6,439","6,302","44,097","8,500","4,285","6,161","9,268","8,530","5,886","1,467","29,935",837,"2,075",776,752,"1,935",123,"5,650","1,977","2,620","1,837","2,071","2,388",,"3,398","1,253","2,243","35,235","12,439","1,923","1,396","2,982","1,298","2,039","5,543","1,730","1,496","1,928","1,782",679,"28,262",,,"2,282","1,444",962,"1,850","1,230","2,656","1,556","3,434","1,426","3,520","1,692","1,123","5,087",
2020,3,60,"134,127","32,157","2,982","4,378","1,517","5,908","3,807","5,584","4,574","3,407","21,863","4,599","2,418","2,679","4,720","3,917","2,384","1,146","28,988","1,116","1,942",856,968,"1,579",155,"4,414","2,018","2,351","1,687","2,073","2,595",,"3,671","1,366","2,197","28,761","7,150","2,284","1,566","2,875","1,419","2,144","4,056","1,516","1,603","1,847","1,666",635,"22,358",,,"2,105","1,562","1,026","1,598","1,105","1,837","1,569","2,364","1,231","2,655","1,307",943,"3,056",
2020,3,70,"61,351","12,902","1,635","1,780",913,"2,302","1,174","2,114","1,728","1,256","6,649","1,508",766,726,"1,445","1,137",558,509,"16,083",694,"1,001",516,729,703,70,"2,055","1,182","1,494",892,"1,166","1,466",,"2,109",793,"1,213","14,245","3,318","1,398",874,"1,609",831,"1,014","1,675",827,797,833,777,292,"11,472",,,"1,404","1,232",753,853,657,711,778,924,654,"1,059",617,443,"1,387",
2020,3,80,"25,374","5,565",795,901,492,863,482,824,695,513,"2,886",587,290,348,655,519,264,223,"6,771",329,465,311,495,272,39,712,520,657,423,415,529,,840,354,410,"5,047","1,315",550,314,491,355,315,573,259,234,299,230,112,"5,105",,,679,624,365,347,307,265,300,437,298,452,318,239,474,
2020,3,90,"3,225",742,92,131,72,117,66,98,87,79,423,85,54,63,95,73,25,28,915,59,58,54,81,38,6,95,69,80,44,51,83,,101,46,50,547,139,55,39,45,41,35,75,32,15,38,24,9,598,,,87,57,43,44,27,43,40,42,27,52,38,37,61,
2020,3,100,176,34,3,6,2,7,3,7,5,1,20,7,4,3,5,1,0,0,64,0,3,2,1,0,2,5,5,8,3,3,18,,6,3,5,38,2,6,3,2,6,4,1,4,2,3,3,2,20,,,5,1,2,5,2,1,0,1,0,1,1,0,1,
2020,4,총,"1,041,553","262,241","20,477","42,606","7,372","50,440","36,323","43,511","30,864","30,648","217,948","42,589","23,174","28,674","46,518","41,907","26,971","8,115","175,504","4,392","12,530","3,670","4,028","14,546",672,"32,563","11,618","15,415","9,606","11,265","14,697",,"20,327","7,122","13,053","193,101","66,171","11,025","7,681","17,102","6,564","11,627","32,379","9,660","8,046","9,424","9,920","3,502","192,759",,,"17,656","9,009","5,264","11,538","7,689","17,469","8,575","21,703","10,294","26,322","12,434","6,592","38,214",
2020,4,0,"86,425","22,018","1,307","6,607",278,"4,401","2,956","2,588","1,646","2,235","17,464","3,388","1,324","2,238","3,777","3,921","2,286",530,"12,791",123,"1,225",81,72,"2,334",31,"2,831",571,"1,039",459,561,"1,046",,"1,235",367,816,"13,980","5,592",467,337,"1,176",175,663,"3,311",692,324,488,583,172,"20,172",,,"1,623",398,211,"1,129",601,"1,565",412,"2,577","1,124","3,746","1,807",589,"4,390",
2020,4,10,"101,793","24,139","2,002","3,470",440,"4,743","3,895","4,328","2,357","2,904","23,916","5,477","1,509","3,565","5,019","4,268","3,275",803,"13,964",169,"1,020",177,146,"1,197",32,"3,274",845,"1,419",840,981,"1,218",,"1,194",441,"1,011","18,759","8,476",673,619,"1,255",384,879,"3,537",653,514,694,842,233,"21,015",,,"1,907",720,311,"1,056",751,"2,438",557,"2,266","1,221","3,178",904,724,"4,982",
2020,4,20,"132,311","36,408","2,379","4,031",703,"7,172","5,447","6,939","4,876","4,861","33,280","5,955","4,470","4,354","6,773","6,397","4,274","1,057","19,277",321,"1,119",314,276,"1,293",73,"4,267","1,657","1,712","1,183","1,301","1,458",,"2,100",659,"1,544","22,880","8,489","1,066",792,"1,891",663,"1,376","3,604","1,185","1,057","1,053","1,347",357,"20,466",,,"2,186",899,531,"1,173",827,"2,210",996,"2,422","1,150","2,344","1,271",597,"3,860",
2020,4,30,"137,962","35,759","1,921","8,317",672,"7,220","5,030","4,482","3,929","4,188","30,305","4,752","4,355","3,627","6,733","6,304","3,485","1,049","20,981",343,"1,656",224,181,"2,794",67,"4,095","1,270","1,673",924,"1,085","1,709",,"2,551",819,"1,590","22,678","7,228","1,095",711,"2,344",612,"1,437","4,332","1,421",868,982,"1,211",437,"28,239",,,"2,363",770,423,"1,699",875,"2,264","1,058","3,446","1,425","4,353","2,505",768,"6,290",
2020,4,40,"169,453","41,347","3,359","6,790",861,"7,843","6,157","6,963","4,507","4,867","36,882","7,699","3,684","4,900","7,989","6,820","4,505","1,285","25,640",406,"1,979",354,332,"2,402",75,"5,088","1,491","2,358","1,316","1,542","2,171",,"3,118","1,030","1,978","30,794","11,944","1,505","1,035","2,350",789,"1,695","5,677","1,334","1,152","1,272","1,462",579,"34,790",,,"3,006","1,289",637,"1,776","1,299","3,456","1,299","3,760","1,740","4,909","1,948","1,135","8,536",
2020,4,50,"188,058","50,770","3,977","6,116","1,406","9,741","7,309","9,518","6,408","6,295","44,029","8,500","4,269","6,162","9,253","8,486","5,884","1,475","29,855",826,"2,063",773,746,"1,928",119,"5,677","1,971","2,595","1,821","2,080","2,385",,"3,391","1,245","2,235","35,120","12,424","1,908","1,387","3,007","1,281","2,043","5,507","1,727","1,478","1,919","1,769",670,"28,284",,,"2,271","1,442",957,"1,850","1,227","2,654","1,555","3,439","1,410","3,532","1,705","1,103","5,139",
2020,4,60,"134,979","32,478","2,998","4,450","1,530","6,006","3,811","5,629","4,609","3,445","22,067","4,616","2,445","2,693","4,774","3,977","2,411","1,151","29,047","1,125","1,940",858,964,"1,576",158,"4,420","2,025","2,380","1,693","2,080","2,599",,"3,667","1,365","2,197","28,889","7,216","2,283","1,560","2,916","1,421","2,154","4,074","1,518","1,602","1,844","1,664",637,"22,498",,,"2,116","1,560","1,022","1,611","1,111","1,853","1,574","2,385","1,243","2,677","1,312",954,"3,080",
2020,4,70,"61,660","12,952","1,642","1,782",913,"2,313","1,175","2,132","1,740","1,255","6,664","1,520",767,721,"1,440","1,141",559,516,"16,179",694,"1,003",522,737,714,71,"2,099","1,192","1,497",892,"1,165","1,478",,"2,115",785,"1,215","14,330","3,338","1,403",877,"1,617",827,"1,025","1,693",834,803,838,781,294,"11,535",,,"1,405","1,245",760,848,654,719,786,929,655,"1,075",620,445,"1,394",
2020,4,80,"25,494","5,593",791,908,494,875,479,829,701,516,"2,891",588,289,349,660,519,266,220,"6,787",326,463,308,494,273,38,710,520,656,431,415,531,,846,363,413,"5,085","1,324",563,320,497,364,317,569,261,233,292,234,111,"5,138",,,686,627,367,347,312,268,297,434,300,457,322,240,481,
2020,4,90,"3,243",743,98,129,73,119,61,96,86,81,430,87,58,62,95,73,26,29,919,59,59,57,79,35,6,97,71,78,44,52,84,,104,45,49,548,138,56,40,47,42,35,74,31,13,39,24,9,603,,,89,58,43,44,30,41,41,44,26,50,39,37,61,
2020,4,100,175,34,3,6,2,7,3,7,5,1,20,7,4,3,5,1,0,0,64,0,3,2,1,0,2,5,5,8,3,3,18,,6,3,5,38,2,6,3,2,6,3,1,4,2,3,3,3,19,,,4,1,2,5,2,1,0,1,0,1,1,0,1,
2020,5,총,"1,040,773","262,729","20,418","42,698","7,331","50,727","36,855","43,391","30,761","30,548","217,430","42,496","23,129","28,573","46,393","41,837","26,922","8,080","175,239","4,387","12,514","3,659","4,014","14,521",659,"32,621","11,608","15,361","9,573","11,218","14,659",,"20,294","7,105","13,046","192,751","66,041","10,976","7,661","17,187","6,539","11,540","32,333","9,672","8,026","9,411","9,887","3,478","192,624",,,"17,597","9,003","5,234","11,497","7,629","17,426","8,575","21,653","10,294","26,330","12,463","6,574","38,349",
2020,5,0,"86,079","22,031","1,285","6,607",272,"4,418","3,024","2,565","1,629","2,231","17,354","3,365","1,329","2,219","3,740","3,901","2,276",524,"12,691",127,"1,210",78,67,"2,333",31,"2,833",566,"1,030",448,552,"1,034",,"1,214",359,809,"13,921","5,549",464,337,"1,178",171,656,"3,304",701,324,490,580,167,"20,082",,,"1,620",395,209,"1,127",590,"1,559",404,"2,551","1,117","3,741","1,816",580,"4,373",
2020,5,10,"101,411","24,096","1,987","3,482",433,"4,753","3,932","4,292","2,336","2,881","23,771","5,437","1,492","3,543","4,982","4,261","3,258",798,"13,892",170,"1,024",172,148,"1,199",28,"3,269",829,"1,401",836,975,"1,215",,"1,197",430,999,"18,668","8,430",663,613,"1,262",382,868,"3,548",641,510,686,833,232,"20,984",,,"1,903",713,306,"1,045",748,"2,435",554,"2,243","1,218","3,191",904,719,"5,005",
2020,5,20,"132,030","36,432","2,363","4,015",693,"7,211","5,536","6,930","4,863","4,821","33,160","5,929","4,477","4,328","6,758","6,376","4,244","1,048","19,262",323,"1,115",319,270,"1,281",71,"4,273","1,667","1,708","1,178","1,287","1,453",,"2,088",667,"1,562","22,756","8,447","1,054",788,"1,915",646,"1,351","3,563","1,194","1,053","1,049","1,346",350,"20,420",,,"2,168",908,521,"1,167",810,"2,203","1,001","2,420","1,152","2,329","1,264",598,"3,879",
2020,5,30,"137,557","35,880","1,919","8,332",670,"7,276","5,148","4,441","3,913","4,181","30,221","4,755","4,318","3,625","6,700","6,302","3,481","1,040","20,803",331,"1,633",222,181,"2,771",63,"4,087","1,266","1,659",919,"1,076","1,684",,"2,521",811,"1,579","22,589","7,194","1,085",710,"2,373",602,"1,418","4,317","1,418",861,981,"1,197",433,"28,064",,,"2,344",763,418,"1,679",862,"2,254","1,055","3,420","1,418","4,336","2,495",766,"6,254",
2020,5,40,"169,124","41,325","3,324","6,806",851,"7,882","6,246","6,914","4,483","4,819","36,675","7,647","3,678","4,856","7,963","6,793","4,463","1,275","25,605",410,"1,977",352,328,"2,404",75,"5,100","1,488","2,340","1,311","1,524","2,171",,"3,131","1,028","1,966","30,672","11,882","1,494","1,033","2,356",791,"1,679","5,670","1,325","1,143","1,269","1,459",571,"34,847",,,"3,009","1,277",636,"1,777","1,294","3,435","1,313","3,751","1,731","4,934","1,968","1,127","8,595",
2020,5,50,"188,082","50,907","3,977","6,146","1,387","9,779","7,425","9,531","6,372","6,290","43,970","8,490","4,261","6,143","9,250","8,454","5,903","1,469","29,826",820,"2,069",766,747,"1,939",118,"5,696","1,973","2,585","1,815","2,068","2,387",,"3,364","1,235","2,244","35,063","12,466","1,900","1,370","3,007","1,274","2,029","5,487","1,731","1,474","1,904","1,754",667,"28,316",,,"2,253","1,455",949,"1,850","1,216","2,665","1,542","3,448","1,409","3,529","1,708","1,108","5,184",
2020,5,60,"135,480","32,654","3,021","4,468","1,541","6,071","3,820","5,642","4,632","3,459","22,249","4,663","2,451","2,722","4,797","4,023","2,440","1,153","29,081","1,118","1,942",861,961,"1,579",157,"4,428","2,018","2,392","1,690","2,096","2,589",,"3,689","1,371","2,190","28,954","7,247","2,286","1,555","2,918","1,434","2,149","4,097","1,517","1,591","1,852","1,670",638,"22,542",,,"2,115","1,557","1,023","1,605","1,109","1,847","1,579","2,400","1,250","2,683","1,317",946,"3,111",
2020,5,70,"62,000","13,035","1,644","1,792",918,"2,327","1,185","2,148","1,749","1,272","6,695","1,525",773,727,"1,444","1,138",562,526,"16,266",702,"1,018",521,740,714,70,"2,113","1,199","1,498",899,"1,168","1,485",,"2,121",791,"1,227","14,413","3,346","1,408",894,"1,623",829,"1,031","1,702",844,813,838,787,298,"11,591",,,"1,409","1,241",759,853,656,722,789,940,664,"1,076",626,453,"1,403",
2020,5,80,"25,559","5,588",795,912,492,882,477,824,694,512,"2,884",591,289,343,659,514,270,218,"6,811",328,463,310,491,265,38,716,522,661,431,416,536,,857,364,413,"5,118","1,339",561,318,506,361,321,567,265,238,300,232,110,"5,158",,,684,632,366,348,312,267,296,433,309,462,325,240,484,
2020,5,90,"3,273",747,100,132,72,121,59,97,85,81,430,87,57,64,95,73,25,29,936,58,60,56,80,36,6,101,75,79,43,53,85,,106,46,52,559,139,55,40,47,43,35,77,32,17,39,26,9,601,,,88,61,45,42,30,37,42,46,26,48,39,37,60,
2020,5,100,178,34,3,6,2,7,3,7,5,1,21,7,4,3,5,2,0,0,66,0,3,2,1,0,2,5,5,8,3,3,20,,6,3,5,38,2,6,3,2,6,3,1,4,2,3,3,3,19,,,4,1,2,4,2,2,0,1,0,1,1,0,1,
2020,6,총,"1,040,118","263,184","20,355","42,720","7,336","50,968","37,447","43,265","30,658","30,435","216,982","42,404","23,095","28,550","46,259","41,727","26,872","8,075","174,956","4,379","12,495","3,638","4,006","14,519",652,"32,649","11,569","15,310","9,562","11,172","14,608",,"20,271","7,115","13,011","192,433","65,911","10,922","7,621","17,278","6,512","11,532","32,330","9,616","7,987","9,383","9,877","3,464","192,563",,,"17,594","8,950","5,240","11,472","7,582","17,405","8,607","21,647","10,279","26,288","12,499","6,538","38,462",
