년도,월,나이,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020,9,40,"24,779","1,779","4,427","6,058","3,252","3,619","5,644"
2020,9,50,"29,533","2,093","5,138","6,837","4,270","4,295","6,900"
2020,9,60,"21,099","2,098","3,742","5,310","2,620","2,695","4,634"
2020,9,70,"8,990",996,"1,997","2,126","1,047","1,035","1,789"
2020,9,80,"4,157",408,"1,015",841,560,536,797
2020,9,90,722,85,143,153,88,94,159
2020,9,100,51,4,12,7,13,5,10
2020,10,총,"163,960","14,449","29,570","37,921","21,348","23,655","37,017"
2020,10,0,"13,281",897,"2,238","2,849","1,581","2,392","3,324"
2020,10,10,"14,756",996,"2,480","3,923","2,077","2,129","3,151"
2020,10,20,"23,466","2,448","4,156","5,024","3,366","3,332","5,140"
2020,10,30,"22,982","2,555","4,189","4,764","2,452","3,614","5,408"
2020,10,40,"24,743","1,789","4,444","6,017","3,238","3,599","5,656"
2020,10,50,"29,521","2,102","5,132","6,877","4,262","4,250","6,898"
2020,10,60,"21,228","2,134","3,749","5,321","2,657","2,694","4,673"
2020,10,70,"9,023","1,023","2,002","2,137","1,046","1,022","1,793"
2020,10,80,"4,196",418,"1,027",850,564,528,809
2020,10,90,715,83,140,152,93,91,156
2020,10,100,49,4,13,7,12,4,9
2020,11,총,"163,978","14,618","29,596","37,870","21,300","23,541","37,053"
2020,11,0,"13,210",902,"2,224","2,831","1,560","2,378","3,315"
2020,11,10,"14,694",998,"2,454","3,899","2,078","2,129","3,136"
2020,11,20,"23,519","2,526","4,164","5,020","3,349","3,298","5,162"
2020,11,30,"22,961","2,619","4,191","4,750","2,429","3,570","5,402"
2020,11,40,"24,688","1,794","4,431","5,998","3,218","3,606","5,641"
2020,11,50,"29,526","2,096","5,165","6,866","4,260","4,223","6,916"
2020,11,60,"21,341","2,144","3,775","5,357","2,671","2,690","4,704"
2020,11,70,"9,061","1,031","2,014","2,136","1,061","1,018","1,801"
2020,11,80,"4,218",422,"1,026",858,569,533,810
2020,11,90,712,83,139,149,93,91,157
2020,11,100,48,3,13,6,12,5,9
2020,12,총,"163,795","14,601","29,623","37,780","21,252","23,465","37,074"
2020,12,0,"13,162",898,"2,230","2,803","1,548","2,378","3,305"
2020,12,10,"14,596",985,"2,429","3,891","2,065","2,108","3,118"
2020,12,20,"23,532","2,534","4,175","4,984","3,341","3,298","5,200"
2020,12,30,"22,922","2,622","4,193","4,725","2,416","3,577","5,389"
2020,12,40,"24,616","1,787","4,434","5,964","3,195","3,590","5,646"
2020,12,50,"29,455","2,066","5,178","6,863","4,258","4,187","6,903"
2020,12,60,"21,419","2,166","3,786","5,373","2,686","2,695","4,713"
2020,12,70,"9,097","1,029","2,015","2,157","1,063","1,014","1,819"
2020,12,80,"4,226",425,"1,031",864,570,521,815
2020,12,90,722,86,139,150,98,92,157
2020,12,100,48,3,13,6,12,5,9
2021,1,총,"163,585","14,546","29,605","37,700","21,212","23,423","37,099"
2021,1,0,"13,016",884,"2,213","2,749","1,534","2,362","3,274"
2021,1,10,"14,561",972,"2,422","3,882","2,062","2,120","3,103"
2021,1,20,"23,456","2,521","4,177","4,972","3,316","3,258","5,212"
2021,1,30,"22,826","2,612","4,185","4,694","2,415","3,556","5,364"
2021,1,40,"24,587","1,778","4,426","5,957","3,176","3,614","5,636"
2021,1,50,"29,389","2,046","5,176","6,847","4,232","4,163","6,925"
2021,1,60,"21,610","2,191","3,801","5,391","2,729","2,721","4,777"
2021,1,70,"9,119","1,023","2,019","2,181","1,069","1,011","1,816"
2021,1,80,"4,235",428,"1,033",869,565,519,821
2021,1,90,739,88,139,153,102,94,163
2021,1,100,47,3,14,5,12,5,8
2021,2,총,"163,208","14,513","29,679","37,607","21,061","23,294","37,054"
2021,2,0,"12,943",878,"2,206","2,716","1,524","2,345","3,274"
2021,2,10,"14,477",965,"2,432","3,857","2,028","2,093","3,102"
2021,2,20,"23,300","2,500","4,176","4,954","3,299","3,218","5,153"
2021,2,30,"22,709","2,609","4,180","4,656","2,374","3,537","5,353"
2021,2,40,"24,469","1,768","4,436","5,943","3,145","3,571","5,606"
2021,2,50,"29,336","2,047","5,186","6,843","4,201","4,136","6,923"
2021,2,60,"21,770","2,202","3,838","5,412","2,745","2,744","4,829"
2021,2,70,"9,155","1,022","2,035","2,192","1,068","1,020","1,818"
2021,2,80,"4,260",435,"1,036",876,555,530,828
2021,2,90,741,84,140,153,110,95,159
2021,2,100,48,3,14,5,12,5,9
2021,3,총,"162,443","14,433","29,529","37,413","21,002","23,095","36,971"
2021,3,0,"12,888",875,"2,174","2,718","1,518","2,327","3,276"
2021,3,10,"14,393",959,"2,419","3,820","2,030","2,066","3,099"
2021,3,20,"23,187","2,477","4,191","4,944","3,247","3,195","5,133"
2021,3,30,"22,644","2,620","4,140","4,642","2,392","3,521","5,329"
2021,3,40,"24,241","1,738","4,390","5,872","3,127","3,522","5,592"
2021,3,50,"29,177","2,032","5,155","6,805","4,188","4,107","6,890"
2021,3,60,"21,808","2,187","3,869","5,406","2,752","2,747","4,847"
2021,3,70,"9,109","1,019","2,022","2,182","1,068",997,"1,821"
2021,3,80,"4,243",441,"1,028",874,563,518,819
2021,3,90,729,83,137,148,110,93,158
2021,3,100,24,2,4,2,7,2,7
2021,4,총,"162,227","14,382","29,498","37,307","20,970","23,015","37,055"
2021,4,0,"12,849",873,"2,166","2,707","1,498","2,317","3,288"
2021,4,10,"14,285",956,"2,400","3,771","2,016","2,055","3,087"
2021,4,20,"23,148","2,462","4,176","4,932","3,264","3,166","5,148"
2021,4,30,"22,571","2,611","4,127","4,629","2,393","3,490","5,321"
2021,4,40,"24,184","1,739","4,376","5,831","3,098","3,531","5,609"
2021,4,50,"29,105","2,012","5,162","6,779","4,161","4,086","6,905"
2021,4,60,"21,985","2,196","3,899","5,439","2,800","2,759","4,892"
2021,4,70,"9,082","1,013","2,020","2,187","1,052",991,"1,819"
2021,4,80,"4,264",435,"1,028",881,572,528,820
2021,4,90,729,83,140,149,108,90,159
2021,4,100,25,2,4,2,8,2,7
2021,5,총,"162,239","14,386","29,491","37,224","20,954","23,011","37,173"
2021,5,0,"12,838",881,"2,150","2,696","1,496","2,316","3,299"
2021,5,10,"14,222",937,"2,390","3,753","2,006","2,055","3,081"
2021,5,20,"23,090","2,453","4,168","4,908","3,250","3,151","5,160"
2021,5,30,"22,564","2,627","4,130","4,609","2,375","3,481","5,342"
2021,5,40,"24,109","1,724","4,337","5,808","3,106","3,531","5,603"
2021,5,50,"29,118","2,014","5,190","6,751","4,156","4,103","6,904"
2021,5,60,"22,172","2,221","3,934","5,470","2,826","2,765","4,956"
2021,5,70,"9,079","1,005","2,014","2,195","1,054",985,"1,826"
2021,5,80,"4,288",440,"1,027",882,572,533,834
2021,5,90,737,82,147,150,107,90,161
2021,5,100,22,2,4,2,6,1,7
2021,6,총,"162,215","14,382","29,534","37,215","20,935","22,969","37,180"
2021,6,0,"12,773",882,"2,146","2,691","1,489","2,292","3,273"
2021,6,10,"14,205",932,"2,390","3,751","2,002","2,063","3,067"
2021,6,20,"23,063","2,440","4,178","4,909","3,243","3,132","5,161"
2021,6,30,"22,530","2,636","4,126","4,586","2,380","3,470","5,332"
2021,6,40,"24,091","1,708","4,336","5,809","3,111","3,532","5,595"
2021,6,50,"29,024","2,019","5,189","6,727","4,127","4,077","6,885"
2021,6,60,"22,369","2,240","3,966","5,505","2,847","2,794","5,017"
2021,6,70,"9,091","1,003","2,017","2,199","1,053",980,"1,839"
2021,6,80,"4,312",438,"1,033",887,569,537,848
2021,6,90,736,82,149,149,109,91,156
2021,6,100,21,2,4,2,5,1,7
2021,7,총,"162,925","14,327","29,461","38,173","20,895","22,919","37,150"
2021,7,0,"12,815",882,"2,142","2,776","1,500","2,274","3,241"
2021,7,10,"14,239",927,"2,381","3,828","1,974","2,069","3,060"
2021,7,20,"23,017","2,403","4,128","5,026","3,222","3,110","5,128"
2021,7,30,"22,698","2,647","4,137","4,771","2,374","3,446","5,323"
2021,7,40,"24,153","1,695","4,308","5,943","3,097","3,530","5,580"
2021,7,50,"29,179","2,006","5,185","6,904","4,113","4,074","6,897"
2021,7,60,"22,595","2,250","3,972","5,637","2,875","2,801","5,060"
2021,7,70,"9,112",998,"2,019","2,227","1,045",982,"1,841"
2021,7,80,"4,350",436,"1,037",903,581,541,852
2021,7,90,745,81,148,155,109,91,161
2021,7,100,22,2,4,3,5,1,7
2021,8,총,"163,510","14,304","29,419","38,926","20,839","22,855","37,167"
2021,8,0,"12,804",888,"2,122","2,864","1,476","2,264","3,190"
2021,8,10,"14,246",925,"2,372","3,873","1,936","2,070","3,070"
2021,8,20,"23,024","2,380","4,106","5,121","3,230","3,080","5,107"
2021,8,30,"22,793","2,647","4,147","4,894","2,371","3,425","5,309"
2021,8,40,"24,207","1,695","4,296","6,037","3,066","3,525","5,588"
2021,8,50,"29,316","1,996","5,177","7,064","4,117","4,062","6,900"
2021,8,60,"22,831","2,249","3,995","5,741","2,913","2,811","5,122"
2021,8,70,"9,144",998,"2,014","2,251","1,040",986,"1,855"
2021,8,80,"4,379",440,"1,040",923,577,543,856
2021,8,90,744,83,147,155,108,88,163
2021,8,100,22,3,3,3,5,1,7
2021,9,총,"163,715","14,287","29,421","39,180","20,836","22,784","37,207"
2021,9,0,"12,798",895,"2,109","2,892","1,482","2,263","3,157"
2021,9,10,"14,175",915,"2,356","3,869","1,927","2,050","3,058"
2021,9,20,"23,016","2,349","4,114","5,142","3,230","3,053","5,128"
2021,9,30,"22,855","2,652","4,135","4,951","2,387","3,428","5,302"
2021,9,40,"24,197","1,699","4,299","6,060","3,038","3,509","5,592"
2021,9,50,"29,355","1,987","5,184","7,126","4,099","4,042","6,917"
2021,9,60,"22,983","2,258","4,009","5,798","2,945","2,805","5,168"
2021,9,70,"9,173","1,009","2,019","2,259","1,043",992,"1,851"
2021,9,80,"4,389",434,"1,051",925,569,547,863
2021,9,90,751,86,142,155,111,94,163
2021,9,100,23,3,3,3,5,1,8
2021,10,총,"163,704","14,223","29,478","39,269","20,819","22,666","37,249"
2021,10,0,"12,735",883,"2,112","2,897","1,461","2,242","3,140"
2021,10,10,"14,169",913,"2,351","3,864","1,930","2,054","3,057"
2021,10,20,"22,870","2,320","4,089","5,150","3,198","3,027","5,086"
2021,10,30,"22,911","2,647","4,196","4,967","2,400","3,392","5,309"
2021,10,40,"24,146","1,691","4,267","6,062","3,017","3,504","5,605"
2021,10,50,"29,337","1,976","5,189","7,138","4,099","4,006","6,929"
2021,10,60,"23,142","2,260","4,042","5,846","2,973","2,806","5,215"
2021,10,70,"9,196","1,007","2,027","2,256","1,051",984,"1,871"
2021,10,80,"4,421",436,"1,059",931,574,557,864
2021,10,90,754,88,143,155,110,93,165
2021,10,100,23,2,3,3,6,1,8
2021,11,총,"163,555","14,190","29,489","39,276","20,802","22,503","37,295"
2021,11,0,"12,649",884,"2,100","2,876","1,445","2,207","3,137"
2021,11,10,"14,132",898,"2,344","3,851","1,926","2,056","3,057"
2021,11,20,"22,802","2,296","4,082","5,140","3,214","2,984","5,086"
2021,11,30,"22,898","2,661","4,215","4,976","2,382","3,361","5,303"
2021,11,40,"24,072","1,683","4,248","6,037","3,016","3,490","5,598"
2021,11,50,"29,325","1,978","5,201","7,139","4,091","3,963","6,953"
2021,11,60,"23,257","2,257","4,069","5,897","2,988","2,809","5,237"
2021,11,70,"9,174","1,005","2,018","2,255","1,040",978,"1,878"
2021,11,80,"4,463",439,"1,067",946,582,560,869
2021,11,90,762,87,142,157,112,94,170
2021,11,100,21,2,3,2,6,1,7
2021,12,총,"163,356","14,183","29,446","39,309","20,756","22,378","37,284"
2021,12,0,"12,631",875,"2,101","2,888","1,437","2,191","3,139"
2021,12,10,"14,070",901,"2,328","3,845","1,913","2,042","3,041"
2021,12,20,"22,666","2,276","4,049","5,135","3,207","2,939","5,060"
2021,12,30,"22,916","2,673","4,232","4,988","2,372","3,333","5,318"
2021,12,40,"24,033","1,676","4,241","6,030","3,001","3,492","5,593"
2021,12,50,"29,275","1,970","5,187","7,139","4,079","3,946","6,954"
2021,12,60,"23,335","2,271","4,083","5,915","3,002","2,802","5,262"
2021,12,70,"9,154","1,003","2,006","2,257","1,037",983,"1,868"
2021,12,80,"4,484",445,"1,072",954,591,552,870
2021,12,90,773,91,145,156,111,97,173
2021,12,100,19,2,2,2,6,1,6
