년도,월,나이,대전광역시,동구,중구,서구,유성구,대덕구
2020,5,60,"84,172","15,330","15,610","25,637","16,026","11,569"
2020,5,70,"40,588","8,458","9,179","11,636","6,053","5,262"
2020,5,80,"14,160","2,936","3,408","3,935","2,045","1,836"
2020,5,90,"1,297",267,298,377,224,131
2020,5,100,82,27,18,17,13,7
2020,6,총,"734,441","113,088","117,801","236,945","177,640","88,967"
2020,6,0,"60,891","8,031","8,180","20,383","18,554","5,743"
2020,6,10,"77,383","10,538","11,613","26,266","20,055","8,911"
2020,6,20,"111,813","16,177","16,134","37,760","28,181","13,561"
2020,6,30,"102,796","14,253","13,932","34,354","29,589","10,668"
2020,6,40,"119,772","18,033","19,105","38,594","29,935","14,105"
2020,6,50,"120,905","18,972","20,251","37,819","26,825","17,038"
2020,6,60,"84,574","15,397","15,660","25,723","16,141","11,653"
2020,6,70,"40,742","8,450","9,191","11,707","6,084","5,310"
2020,6,80,"14,169","2,940","3,415","3,947","2,032","1,835"
2020,6,90,"1,312",270,301,375,231,135
2020,6,100,84,27,19,17,13,8
2020,7,총,"734,008","112,971","117,592","236,814","177,867","88,764"
2020,7,0,"60,602","7,987","8,119","20,275","18,521","5,700"
2020,7,10,"77,107","10,505","11,565","26,171","20,008","8,858"
2020,7,20,"111,815","16,149","16,083","37,803","28,269","13,511"
2020,7,30,"102,600","14,176","13,868","34,330","29,576","10,650"
2020,7,40,"119,547","18,011","19,049","38,458","29,983","14,046"
2020,7,50,"121,015","18,993","20,242","37,870","26,902","17,008"
2020,7,60,"84,765","15,412","15,699","25,784","16,190","11,680"
2020,7,70,"40,978","8,500","9,223","11,785","6,128","5,342"
2020,7,80,"14,165","2,936","3,416","3,946","2,038","1,829"
2020,7,90,"1,326",273,308,374,239,132
2020,7,100,88,29,20,18,13,8
2020,8,총,"733,547","112,774","117,413","236,763","178,001","88,596"
2020,8,0,"60,287","7,921","8,082","20,202","18,451","5,631"
2020,8,10,"76,800","10,456","11,504","26,063","19,954","8,823"
2020,8,20,"111,753","16,082","16,050","37,809","28,337","13,475"
2020,8,30,"102,423","14,135","13,818","34,299","29,564","10,607"
2020,8,40,"119,299","17,980","18,999","38,421","29,950","13,949"
2020,8,50,"121,080","18,974","20,216","37,885","26,995","17,010"
2020,8,60,"85,171","15,446","15,762","25,914","16,291","11,758"
2020,8,70,"41,097","8,535","9,223","11,814","6,157","5,368"
2020,8,80,"14,219","2,944","3,434","3,963","2,045","1,833"
2020,8,90,"1,329",272,305,374,244,134
2020,8,100,89,29,20,19,13,8
2020,9,총,"733,356","112,589","117,205","236,605","178,003","88,954"
2020,9,0,"59,910","7,842","7,983","20,094","18,342","5,649"
2020,9,10,"76,647","10,430","11,492","25,988","19,917","8,820"
2020,9,20,"111,753","16,034","15,993","37,852","28,375","13,499"
2020,9,30,"102,270","14,075","13,730","34,196","29,527","10,742"
2020,9,40,"119,062","17,969","18,966","38,291","29,920","13,916"
2020,9,50,"121,133","18,922","20,212","37,897","27,024","17,078"
2020,9,60,"85,695","15,511","15,833","26,063","16,408","11,880"
2020,9,70,"41,155","8,550","9,219","11,825","6,172","5,389"
2020,9,80,"14,307","2,954","3,453","4,000","2,066","1,834"
2020,9,90,"1,335",273,302,381,240,139
2020,9,100,89,29,22,18,12,8
2020,10,총,"732,552","112,333","116,865","236,113","177,833","89,408"
2020,10,0,"59,554","7,771","7,908","19,955","18,222","5,698"
2020,10,10,"76,337","10,373","11,427","25,884","19,846","8,807"
2020,10,20,"111,640","15,984","15,946","37,781","28,382","13,547"
2020,10,30,"101,876","13,961","13,602","34,008","29,425","10,880"
2020,10,40,"118,869","17,934","18,894","38,192","29,918","13,931"
2020,10,50,"121,052","18,868","20,200","37,862","27,004","17,118"
2020,10,60,"86,131","15,594","15,883","26,142","16,503","12,009"
2020,10,70,"41,301","8,566","9,227","11,871","6,210","5,427"
2020,10,80,"14,362","2,979","3,449","4,021","2,073","1,840"
2020,10,90,"1,342",274,308,380,238,142
2020,10,100,88,29,21,17,12,9
2020,11,총,"731,701","112,094","116,718","235,628","177,584","89,677"
2020,11,0,"59,078","7,706","7,856","19,762","18,066","5,688"
2020,11,10,"76,123","10,341","11,409","25,778","19,831","8,764"
2020,11,20,"111,566","15,908","15,946","37,774","28,336","13,602"
2020,11,30,"101,563","13,910","13,515","33,841","29,318","10,979"
2020,11,40,"118,585","17,889","18,834","38,116","29,828","13,918"
2020,11,50,"120,929","18,840","20,179","37,742","27,019","17,149"
2020,11,60,"86,615","15,658","15,924","26,255","16,647","12,131"
2020,11,70,"41,385","8,559","9,267","11,928","6,186","5,445"
2020,11,80,"14,408","2,975","3,459","4,027","2,098","1,849"
2020,11,90,"1,362",280,309,388,243,142
2020,11,100,87,28,20,17,12,10
2020,12,총,"730,699","112,416","116,233","235,112","177,240","89,698"
2020,12,0,"58,822","7,725","7,763","19,661","17,980","5,693"
2020,12,10,"75,777","10,325","11,332","25,654","19,752","8,714"
2020,12,20,"111,421","15,943","15,848","37,740","28,314","13,576"
2020,12,30,"101,293","13,992","13,430","33,683","29,156","11,032"
2020,12,40,"118,238","17,910","18,729","37,979","29,737","13,883"
2020,12,50,"120,638","18,839","20,046","37,636","26,996","17,121"
2020,12,60,"87,060","15,786","16,011","26,346","16,723","12,194"
2020,12,70,"41,509","8,596","9,269","11,962","6,215","5,467"
2020,12,80,"14,485","2,988","3,475","4,047","2,109","1,866"
2020,12,90,"1,367",284,309,386,246,142
2020,12,100,89,28,21,18,12,10
2021,1,총,"730,396","112,794","116,032","234,832","177,175","89,563"
2021,1,0,"58,464","7,752","7,706","19,501","17,856","5,649"
2021,1,10,"75,482","10,309","11,265","25,523","19,724","8,661"
2021,1,20,"111,283","15,964","15,776","37,702","28,290","13,551"
2021,1,30,"101,189","14,067","13,371","33,621","29,145","10,985"
2021,1,40,"118,023","17,959","18,654","37,836","29,733","13,841"
2021,1,50,"120,390","18,849","20,002","37,576","26,890","17,073"
2021,1,60,"87,810","15,946","16,098","26,571","16,902","12,293"
2021,1,70,"41,694","8,612","9,322","12,021","6,253","5,486"
2021,1,80,"14,576","3,018","3,499","4,072","2,120","1,867"
2021,1,90,"1,394",290,318,390,248,148
2021,1,100,91,28,21,19,14,9
2021,2,총,"729,663","113,026","115,744","234,558","176,852","89,483"
2021,2,0,"58,062","7,755","7,604","19,404","17,688","5,611"
2021,2,10,"75,235","10,330","11,233","25,424","19,640","8,608"
2021,2,20,"111,005","15,982","15,743","37,579","28,200","13,501"
2021,2,30,"100,790","14,057","13,275","33,548","29,002","10,908"
2021,2,40,"117,977","17,994","18,572","37,846","29,699","13,866"
2021,2,50,"120,216","18,875","19,948","37,462","26,891","17,040"
2021,2,60,"88,425","16,051","16,172","26,730","17,065","12,407"
2021,2,70,"41,708","8,607","9,320","12,028","6,277","5,476"
2021,2,80,"14,752","3,054","3,538","4,123","2,130","1,907"
2021,2,90,"1,404",294,318,396,246,150
2021,2,100,89,27,21,18,14,9
2021,3,총,"728,075","112,726","115,273","233,968","176,765","89,343"
2021,3,0,"57,718","7,712","7,550","19,270","17,622","5,564"
2021,3,10,"74,958","10,316","11,201","25,277","19,598","8,566"
2021,3,20,"110,997","16,052","15,663","37,531","28,214","13,537"
2021,3,30,"100,467","13,990","13,211","33,455","28,931","10,880"
2021,3,40,"117,325","17,882","18,460","37,592","29,655","13,736"
2021,3,50,"119,734","18,769","19,802","37,316","26,847","17,000"
2021,3,60,"89,062","16,095","16,255","26,966","17,225","12,521"
2021,3,70,"41,615","8,562","9,292","11,986","6,285","5,490"
2021,3,80,"14,798","3,064","3,526","4,167","2,139","1,902"
2021,3,90,"1,363",274,305,397,243,144
2021,3,100,38,10,8,11,6,3
2021,4,총,"727,522","112,660","114,991","233,902","176,715","89,254"
2021,4,0,"57,464","7,685","7,498","19,175","17,568","5,538"
2021,4,10,"74,723","10,301","11,133","25,203","19,561","8,525"
2021,4,20,"110,901","16,020","15,604","37,594","28,149","13,534"
2021,4,30,"100,347","13,969","13,178","33,435","28,916","10,849"
2021,4,40,"117,038","17,848","18,377","37,495","29,603","13,715"
2021,4,50,"119,640","18,731","19,756","37,317","26,916","16,920"
2021,4,60,"89,501","16,196","16,321","27,084","17,304","12,596"
2021,4,70,"41,606","8,551","9,253","12,009","6,291","5,502"
2021,4,80,"14,907","3,072","3,556","4,183","2,163","1,933"
2021,4,90,"1,359",277,307,396,240,139
2021,4,100,36,10,8,11,4,3
2021,5,총,"727,279","112,656","114,905","233,764","176,750","89,204"
2021,5,0,"57,181","7,656","7,464","19,079","17,485","5,497"
2021,5,10,"74,520","10,266","11,096","25,167","19,517","8,474"
2021,5,20,"110,845","16,067","15,583","37,511","28,182","13,502"
2021,5,30,"100,259","13,936","13,166","33,385","28,894","10,878"
2021,5,40,"116,591","17,797","18,278","37,353","29,528","13,635"
2021,5,50,"119,735","18,722","19,777","37,326","26,988","16,922"
2021,5,60,"90,083","16,288","16,411","27,306","17,410","12,668"
2021,5,70,"41,654","8,547","9,222","12,020","6,329","5,536"
2021,5,80,"15,015","3,088","3,594","4,208","2,177","1,948"
2021,5,90,"1,361",279,306,398,236,142
2021,5,100,35,10,8,11,4,2
2021,6,총,"726,666","112,571","114,783","233,513","176,644","89,155"
2021,6,0,"56,962","7,641","7,431","18,982","17,441","5,467"
2021,6,10,"74,318","10,238","11,057","25,119","19,459","8,445"
2021,6,20,"110,659","16,022","15,570","37,471","28,113","13,483"
2021,6,30,"100,001","13,875","13,129","33,303","28,836","10,858"
2021,6,40,"116,445","17,793","18,238","37,283","29,511","13,620"
2021,6,50,"119,425","18,679","19,702","37,219","26,938","16,887"
2021,6,60,"90,680","16,367","16,488","27,512","17,561","12,752"
2021,6,70,"41,670","8,554","9,223","11,995","6,354","5,544"
2021,6,80,"15,109","3,117","3,627","4,224","2,189","1,952"
2021,6,90,"1,363",275,310,394,239,145
2021,6,100,34,10,8,11,3,2
2021,7,총,"726,281","112,539","114,663","233,371","176,651","89,057"
2021,7,0,"56,671","7,609","7,410","18,866","17,366","5,420"
2021,7,10,"74,201","10,240","11,019","25,089","19,444","8,409"
2021,7,20,"110,519","15,982","15,551","37,444","28,065","13,477"
2021,7,30,"99,801","13,865","13,091","33,229","28,804","10,812"
2021,7,40,"116,203","17,740","18,160","37,214","29,502","13,587"
2021,7,50,"119,467","18,685","19,704","37,226","26,975","16,877"
2021,7,60,"91,051","16,432","16,530","27,609","17,656","12,824"
2021,7,70,"41,779","8,559","9,245","12,037","6,384","5,554"
2021,7,80,"15,191","3,141","3,635","4,257","2,206","1,952"
2021,7,90,"1,361",275,309,389,245,143
2021,7,100,37,11,9,11,4,2
2021,8,총,"725,956","112,538","114,475","233,278","176,672","88,993"
2021,8,0,"56,336","7,583","7,330","18,761","17,271","5,391"
2021,8,10,"74,118","10,206","11,000","25,046","19,463","8,403"
2021,8,20,"110,408","16,008","15,507","37,408","28,066","13,419"
2021,8,30,"99,627","13,792","13,059","33,231","28,745","10,800"
2021,8,40,"115,946","17,714","18,088","37,130","29,460","13,554"
2021,8,50,"119,607","18,726","19,738","37,231","27,035","16,877"
2021,8,60,"91,358","16,485","16,553","27,730","17,730","12,860"
2021,8,70,"41,831","8,569","9,228","12,043","6,414","5,577"
2021,8,80,"15,309","3,160","3,653","4,295","2,239","1,962"
2021,8,90,"1,378",284,309,392,245,148
2021,8,100,38,11,10,11,4,2
2021,9,총,"726,142","112,638","114,361","233,248","176,991","88,904"
2021,9,0,"56,030","7,539","7,286","18,661","17,185","5,359"
2021,9,10,"74,004","10,192","10,981","25,007","19,462","8,362"
2021,9,20,"110,691","16,102","15,464","37,452","28,282","13,391"
2021,9,30,"99,568","13,811","13,044","33,223","28,720","10,770"
2021,9,40,"115,730","17,657","18,010","37,059","29,479","13,525"
2021,9,50,"119,771","18,770","19,781","37,262","27,081","16,877"
2021,9,60,"91,605","16,508","16,564","27,788","17,851","12,894"
2021,9,70,"41,902","8,587","9,234","12,062","6,426","5,593"
2021,9,80,"15,414","3,173","3,669","4,336","2,257","1,979"
2021,9,90,"1,387",288,317,386,244,152
2021,9,100,40,11,11,12,4,2
2021,10,총,"725,742","112,624","114,258","233,068","176,936","88,856"
2021,10,0,"55,738","7,500","7,248","18,585","17,091","5,314"
2021,10,10,"73,895","10,199","10,934","24,922","19,511","8,329"
2021,10,20,"110,358","16,066","15,404","37,337","28,176","13,375"
2021,10,30,"99,571","13,791","13,028","33,239","28,730","10,783"
2021,10,40,"115,348","17,601","17,936","36,952","29,402","13,457"
2021,10,50,"119,969","18,833","19,818","37,319","27,133","16,866"
2021,10,60,"91,878","16,540","16,627","27,850","17,916","12,945"
2021,10,70,"42,039","8,607","9,246","12,099","6,457","5,630"
2021,10,80,"15,516","3,186","3,688","4,373","2,269","2,000"
2021,10,90,"1,393",290,320,381,247,155
2021,10,100,37,11,9,11,4,2
2021,11,총,"725,406","112,408","113,977","233,010","177,352","88,659"
2021,11,0,"55,492","7,430","7,191","18,500","17,093","5,278"
2021,11,10,"73,738","10,147","10,886","24,876","19,558","8,271"
2021,11,20,"110,127","16,006","15,356","37,308","28,142","13,315"
2021,11,30,"99,530","13,761","13,009","33,202","28,785","10,773"
2021,11,40,"115,145","17,529","17,880","36,926","29,428","13,382"
2021,11,50,"120,042","18,836","19,765","37,315","27,269","16,857"
2021,11,60,"92,225","16,590","16,640","27,972","18,048","12,975"
2021,11,70,"42,054","8,608","9,218","12,112","6,482","5,634"
2021,11,80,"15,636","3,205","3,714","4,402","2,296","2,019"
2021,11,90,"1,384",286,310,387,248,153
2021,11,100,33,10,8,10,3,2
2021,12,총,"724,626","111,953","113,507","232,714","177,463","88,989"
2021,12,0,"55,295","7,348","7,099","18,470","17,061","5,317"
2021,12,10,"73,527","10,087","10,816","24,805","19,578","8,241"
2021,12,20,"109,664","15,862","15,297","37,149","28,055","13,301"
2021,12,30,"99,378","13,646","12,898","33,146","28,748","10,940"
2021,12,40,"115,072","17,511","17,799","36,910","29,452","13,400"
2021,12,50,"119,967","18,762","19,703","37,251","27,333","16,918"
2021,12,60,"92,406","16,588","16,646","27,998","18,166","13,008"
2021,12,70,"42,139","8,640","9,189","12,130","6,509","5,671"
2021,12,80,"15,747","3,215","3,740","4,451","2,308","2,033"
2021,12,90,"1,405",288,312,397,250,158
2021,12,100,26,6,8,7,3,2
