년도,월,나이,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동,세종특별자치시  해밀동,세종특별자치시  반곡동
2020,5,20,"36,245","6,390",304,309,724,855,895,790,572,312,282,"1,718","5,958","3,755","1,766","2,666","2,634","3,078","1,962","1,275",,,
2020,5,30,"61,103","5,376",306,284,680,849,756,729,528,276,189,"2,703","12,085","5,916","3,693","5,868","6,998","7,557","3,964","2,346",,,
2020,5,40,"66,258","6,989",319,339,866,984,887,950,743,372,358,"4,607","10,916","6,899","5,990","6,331","7,339","5,722","3,862","1,785",,,
2020,5,50,"43,404","6,778",548,556,"1,129","1,645","1,234","1,320","1,092",724,461,"2,476","5,647","3,739","2,495","3,078","3,315","3,449","2,229","1,489",,,
2020,5,60,"28,280","5,173",471,683,971,"1,761","1,033","1,345",956,865,409,"1,099","2,861","1,865","1,134","1,805","2,198","1,693","1,198",760,,,
2020,5,70,"13,762","3,061",265,410,638,"1,140",575,909,692,520,274,474,845,830,443,788,763,514,413,208,,,
2020,5,80,"6,924","1,470",170,304,384,658,382,552,477,334,199,201,315,388,161,310,206,177,145,91,,,
2020,5,90,"1,132",231,23,60,45,100,52,74,79,47,22,33,62,75,43,44,43,48,30,21,,,
2020,5,100,56,14,2,4,2,6,2,4,6,7,1,2,1,0,1,0,1,1,1,1,,,
2020,6,총,"345,341","42,847","2,599","3,184","6,178","8,722","6,357","7,443","5,731","3,658","2,483","19,462","54,759","32,315","23,851","29,972","34,479","31,046","19,534","10,721",,,
2020,6,0,"47,105","3,365",84,103,356,296,197,357,209,86,110,"2,766","9,139","4,350","3,839","4,959","6,295","5,623","3,305","1,666",,,
2020,6,10,"41,077","4,205",111,129,367,419,314,444,411,134,191,"3,387","6,815","4,519","4,263","4,149","4,628","3,147","2,435","1,009",,,
2020,6,20,"36,098","6,312",319,306,726,861,894,791,563,307,280,"1,709","5,944","3,745","1,766","2,641","2,627","3,051","1,967","1,289",,,
2020,6,30,"60,923","5,351",296,286,682,842,758,710,526,267,189,"2,709","12,062","5,892","3,706","5,829","6,983","7,545","3,926","2,364",,,
2020,6,40,"66,382","6,949",316,333,872,986,897,940,732,368,354,"4,589","11,009","6,904","5,991","6,332","7,384","5,757","3,869","1,800",,,
