년도,월,나이,오산시,중앙동,남촌동,신장동,세마동,초평동,대원동
2020,6,50,"15,695","2,615","1,040","4,139","2,076","1,156","4,669"
2020,6,60,"9,629","1,541",758,"2,799","1,242",721,"2,568"
2020,6,70,"5,335",927,411,"1,508",545,416,"1,528"
2020,6,80,"2,463",424,182,736,263,223,635
2020,6,90,382,72,26,103,55,23,103
2020,6,100,34,5,5,10,5,2,7
2020,7,총,"110,266","18,103","8,247","29,450","15,551","7,850","31,065"
2020,7,0,"11,950","2,023",487,"3,538","2,011",696,"3,195"
2020,7,10,"12,146","2,166",593,"3,335","1,627",969,"3,456"
2020,7,20,"14,219","2,153","1,603","3,234","1,919",986,"4,324"
2020,7,30,"18,141","2,815","1,719","4,773","2,912","1,120","4,802"
2020,7,40,"20,155","3,346","1,405","5,258","2,869","1,534","5,743"
2020,7,50,"15,737","2,623","1,052","4,125","2,088","1,164","4,685"
2020,7,60,"9,692","1,548",762,"2,832","1,253",716,"2,581"
2020,7,70,"5,349",922,417,"1,509",547,418,"1,536"
2020,7,80,"2,463",432,178,734,263,222,634
2020,7,90,380,70,26,102,57,23,102
2020,7,100,34,5,5,10,5,2,7
2020,8,총,"110,464","18,009","8,232","29,813","15,541","7,836","31,033"
2020,8,0,"11,924","2,002",476,"3,582","2,017",692,"3,155"
2020,8,10,"12,160","2,150",594,"3,377","1,617",961,"3,461"
2020,8,20,"14,221","2,132","1,605","3,278","1,915",974,"4,317"
2020,8,30,"18,117","2,782","1,708","4,838","2,894","1,107","4,788"
2020,8,40,"20,211","3,343","1,398","5,353","2,865","1,534","5,718"
2020,8,50,"15,784","2,614","1,046","4,151","2,091","1,172","4,710"
2020,8,60,"9,782","1,560",773,"2,860","1,268",723,"2,598"
2020,8,70,"5,364",916,424,"1,520",542,426,"1,536"
2020,8,80,"2,479",435,176,741,267,220,640
2020,8,90,390,70,27,104,60,25,104
2020,8,100,32,5,5,9,5,2,6
2020,9,총,"110,681","17,985","8,259","29,973","15,548","7,854","31,062"
2020,9,0,"11,870","1,976",476,"3,586","2,011",691,"3,130"
2020,9,10,"12,188","2,154",590,"3,397","1,621",958,"3,468"
2020,9,20,"14,265","2,126","1,618","3,289","1,924",984,"4,324"
2020,9,30,"18,062","2,764","1,704","4,837","2,903","1,094","4,760"
2020,9,40,"20,273","3,345","1,414","5,393","2,859","1,533","5,729"
2020,9,50,"15,870","2,620","1,049","4,194","2,092","1,184","4,731"
2020,9,60,"9,856","1,569",777,"2,884","1,265",735,"2,626"
2020,9,70,"5,382",921,426,"1,531",539,429,"1,536"
2020,9,80,"2,477",433,172,743,267,219,643
2020,9,90,406,72,29,110,62,25,108
2020,9,100,32,5,4,9,5,2,7
2020,10,총,"110,759","17,965","8,257","30,073","15,555","7,865","31,044"
2020,10,0,"11,800","1,964",477,"3,575","1,996",684,"3,104"
2020,10,10,"12,208","2,141",584,"3,414","1,630",962,"3,477"
2020,10,20,"14,283","2,122","1,611","3,303","1,929",992,"4,326"
2020,10,30,"17,984","2,751","1,712","4,827","2,892","1,076","4,726"
2020,10,40,"20,313","3,338","1,413","5,432","2,861","1,538","5,731"
2020,10,50,"15,905","2,632","1,046","4,209","2,104","1,194","4,720"
2020,10,60,"9,944","1,580",785,"2,903","1,275",739,"2,662"
2020,10,70,"5,398",926,425,"1,539",542,435,"1,531"
2020,10,80,"2,487",432,172,753,261,217,652
2020,10,90,405,74,28,109,60,26,108
2020,10,100,32,5,4,9,5,2,7
2020,11,총,"110,885","17,989","8,266","30,139","15,575","7,846","31,070"
2020,11,0,"11,766","1,973",477,"3,554","1,999",679,"3,084"
2020,11,10,"12,179","2,143",577,"3,424","1,623",957,"3,455"
2020,11,20,"14,354","2,131","1,642","3,325","1,912",985,"4,359"
2020,11,30,"17,903","2,744","1,708","4,820","2,880","1,063","4,688"
2020,11,40,"20,337","3,335","1,411","5,451","2,871","1,540","5,729"
2020,11,50,"15,921","2,623","1,033","4,210","2,118","1,194","4,743"
2020,11,60,"10,028","1,600",788,"2,917","1,289",743,"2,691"
2020,11,70,"5,453",931,424,"1,558",552,440,"1,548"
2020,11,80,"2,504",431,175,762,264,218,654
2020,11,90,409,74,27,109,62,25,112
2020,11,100,31,4,4,9,5,2,7
2020,12,총,"110,940","17,995","8,295","30,116","15,613","7,874","31,047"
2020,12,0,"11,679","1,959",471,"3,514","2,015",675,"3,045"
2020,12,10,"12,191","2,153",580,"3,420","1,629",946,"3,463"
2020,12,20,"14,393","2,128","1,646","3,340","1,910","1,018","4,351"
2020,12,30,"17,906","2,722","1,723","4,814","2,890","1,066","4,691"
2020,12,40,"20,324","3,340","1,412","5,445","2,877","1,522","5,728"
2020,12,50,"15,916","2,642","1,038","4,204","2,098","1,200","4,734"
2020,12,60,"10,104","1,609",788,"2,935","1,307",759,"2,706"
2020,12,70,"5,458",934,428,"1,555",551,441,"1,549"
2020,12,80,"2,532",435,178,768,270,220,661
2020,12,90,407,69,27,112,62,25,112
2020,12,100,30,4,4,9,4,2,7
2021,1,총,"111,078","18,006","8,300","30,136","15,663","7,888","31,085"
2021,1,0,"11,602","1,940",466,"3,478","2,008",668,"3,042"
2021,1,10,"12,211","2,161",584,"3,423","1,647",947,"3,449"
2021,1,20,"14,418","2,121","1,646","3,341","1,907","1,024","4,379"
2021,1,30,"17,857","2,711","1,724","4,802","2,885","1,066","4,669"
2021,1,40,"20,358","3,328","1,411","5,470","2,898","1,521","5,730"
2021,1,50,"15,961","2,653","1,039","4,213","2,103","1,208","4,745"
2021,1,60,"10,196","1,639",783,"2,955","1,319",760,"2,740"
2021,1,70,"5,484",939,433,"1,558",560,444,"1,550"
2021,1,80,"2,549",442,183,773,268,221,662
2021,1,90,412,68,27,114,64,27,112
2021,1,100,30,4,4,9,4,2,7
2021,2,총,"111,285","17,975","8,359","30,270","15,669","7,915","31,097"
2021,2,0,"11,506","1,931",458,"3,457","1,994",663,"3,003"
2021,2,10,"12,213","2,151",587,"3,461","1,635",944,"3,435"
2021,2,20,"14,478","2,121","1,668","3,355","1,921","1,029","4,384"
2021,2,30,"17,767","2,680","1,741","4,779","2,866","1,064","4,637"
2021,2,40,"20,450","3,333","1,420","5,514","2,907","1,522","5,754"
2021,2,50,"16,018","2,649","1,051","4,227","2,114","1,222","4,755"
2021,2,60,"10,323","1,660",785,"3,002","1,331",769,"2,776"
2021,2,70,"5,503",933,432,"1,579",563,443,"1,553"
2021,2,80,"2,588",445,188,776,269,230,680
2021,2,90,411,68,26,112,65,27,113
2021,2,100,28,4,3,8,4,2,7
2021,3,총,"111,261","17,970","8,360","30,255","15,688","7,917","31,071"
2021,3,0,"11,399","1,903",456,"3,420","1,992",654,"2,974"
2021,3,10,"12,218","2,138",588,"3,476","1,639",942,"3,435"
2021,3,20,"14,503","2,133","1,661","3,370","1,923","1,025","4,391"
2021,3,30,"17,728","2,670","1,744","4,758","2,867","1,074","4,615"
2021,3,40,"20,437","3,339","1,422","5,498","2,923","1,512","5,743"
2021,3,50,"15,987","2,653","1,049","4,215","2,098","1,227","4,745"
2021,3,60,"10,432","1,677",794,"3,032","1,351",780,"2,798"
2021,3,70,"5,519",936,431,"1,579",562,442,"1,569"
2021,3,80,"2,608",451,187,780,269,233,688
2021,3,90,408,66,24,118,63,26,111
2021,3,100,22,4,4,9,1,2,2
2021,4,총,"111,256","17,952","8,359","30,305","15,641","7,903","31,096"
2021,4,0,"11,312","1,889",454,"3,404","1,973",650,"2,942"
2021,4,10,"12,203","2,129",591,"3,485","1,645",944,"3,409"
2021,4,20,"14,537","2,131","1,653","3,384","1,926","1,013","4,430"
2021,4,30,"17,633","2,653","1,743","4,737","2,835","1,066","4,599"
2021,4,40,"20,427","3,335","1,418","5,515","2,916","1,512","5,731"
2021,4,50,"16,028","2,658","1,060","4,209","2,100","1,232","4,769"
2021,4,60,"10,521","1,698",789,"3,074","1,349",785,"2,826"
2021,4,70,"5,537",935,431,"1,585",559,441,"1,586"
2021,4,80,"2,618",455,192,778,273,231,689
2021,4,90,418,65,24,125,64,27,113
2021,4,100,22,4,4,9,1,2,2
2021,5,총,"111,170","17,895","8,358","30,329","15,647","7,875","31,066"
2021,5,0,"11,222","1,875",447,"3,376","1,969",636,"2,919"
2021,5,10,"12,200","2,122",584,"3,496","1,651",940,"3,407"
2021,5,20,"14,518","2,128","1,649","3,389","1,926","1,006","4,420"
2021,5,30,"17,561","2,653","1,744","4,707","2,818","1,059","4,580"
2021,5,40,"20,406","3,319","1,417","5,529","2,915","1,502","5,724"
2021,5,50,"16,044","2,658","1,061","4,220","2,109","1,233","4,763"
2021,5,60,"10,600","1,694",804,"3,100","1,357",790,"2,855"
2021,5,70,"5,534",926,427,"1,591",562,444,"1,584"
2021,5,80,"2,648",454,196,790,275,235,698
2021,5,90,419,66,25,122,64,28,114
2021,5,100,18,0,4,9,1,2,2
2021,6,총,"111,144","17,858","8,348","30,331","15,673","7,884","31,050"
2021,6,0,"11,154","1,862",439,"3,362","1,964",638,"2,889"
2021,6,10,"12,202","2,115",579,"3,512","1,648",939,"3,409"
2021,6,20,"14,471","2,113","1,646","3,381","1,926",999,"4,406"
2021,6,30,"17,496","2,655","1,736","4,688","2,813","1,051","4,553"
2021,6,40,"20,424","3,301","1,421","5,533","2,924","1,499","5,746"
2021,6,50,"16,047","2,668","1,056","4,203","2,109","1,245","4,766"
2021,6,60,"10,706","1,699",818,"3,133","1,381",800,"2,875"
2021,6,70,"5,537",924,425,"1,593",566,441,"1,588"
2021,6,80,"2,670",455,200,795,274,243,703
2021,6,90,419,66,24,122,67,27,113
2021,6,100,18,0,4,9,1,2,2
2021,7,총,"111,069","17,867","8,359","30,313","15,642","7,877","31,011"
2021,7,0,"11,068","1,842",436,"3,334","1,951",629,"2,876"
2021,7,10,"12,174","2,110",581,"3,504","1,647",935,"3,397"
2021,7,20,"14,468","2,142","1,630","3,376","1,920",996,"4,404"
2021,7,30,"17,401","2,642","1,746","4,658","2,780","1,056","4,519"
2021,7,40,"20,431","3,301","1,429","5,547","2,938","1,498","5,718"
2021,7,50,"16,080","2,661","1,067","4,210","2,120","1,238","4,784"
2021,7,60,"10,804","1,726",818,"3,164","1,380",811,"2,905"
2021,7,70,"5,520",920,422,"1,590",566,439,"1,583"
2021,7,80,"2,683",458,201,800,271,245,708
2021,7,90,422,65,25,121,68,28,115
2021,7,100,18,0,4,9,1,2,2
2021,8,총,"110,965","17,845","8,367","30,240","15,624","7,862","31,027"
2021,8,0,"10,962","1,829",429,"3,292","1,926",624,"2,862"
2021,8,10,"12,169","2,102",577,"3,522","1,645",934,"3,389"
2021,8,20,"14,431","2,133","1,628","3,358","1,913",989,"4,410"
2021,8,30,"17,283","2,622","1,756","4,599","2,757","1,053","4,496"
2021,8,40,"20,480","3,307","1,433","5,573","2,946","1,496","5,725"
2021,8,50,"16,106","2,668","1,074","4,209","2,127","1,232","4,796"
2021,8,60,"10,862","1,730",812,"3,165","1,399",816,"2,940"
2021,8,70,"5,530",924,422,"1,589",567,443,"1,585"
2021,8,80,"2,694",462,204,802,278,244,704
2021,8,90,429,68,28,122,64,29,118
2021,8,100,19,0,4,9,2,2,2
2021,9,총,"110,837","17,843","8,357","30,206","15,573","7,858","31,000"
2021,9,0,"10,896","1,836",422,"3,267","1,913",618,"2,840"
2021,9,10,"12,154","2,092",574,"3,542","1,640",932,"3,374"
2021,9,20,"14,357","2,120","1,605","3,340","1,906",988,"4,398"
2021,9,30,"17,238","2,614","1,759","4,566","2,728","1,054","4,517"
2021,9,40,"20,451","3,306","1,431","5,582","2,932","1,491","5,709"
2021,9,50,"16,122","2,681","1,090","4,199","2,122","1,237","4,793"
2021,9,60,"10,937","1,741",823,"3,182","1,421",821,"2,949"
2021,9,70,"5,526",920,418,"1,592",565,441,"1,590"
2021,9,80,"2,704",468,202,801,277,245,711
2021,9,90,432,65,29,126,67,29,116
2021,9,100,20,0,4,9,2,2,3
2021,10,총,"110,815","17,775","8,355","30,223","15,605","7,858","30,999"
2021,10,0,"10,837","1,818",420,"3,255","1,908",608,"2,828"
2021,10,10,"12,135","2,086",574,"3,540","1,651",924,"3,360"
2021,10,20,"14,327","2,087","1,591","3,335","1,912",999,"4,403"
2021,10,30,"17,184","2,591","1,758","4,549","2,713","1,058","4,515"
2021,10,40,"20,455","3,306","1,445","5,590","2,933","1,487","5,694"
2021,10,50,"16,163","2,678","1,092","4,214","2,132","1,233","4,814"
2021,10,60,"10,999","1,743",822,"3,204","1,440",827,"2,963"
2021,10,70,"5,537",930,417,"1,589",568,441,"1,592"
2021,10,80,"2,725",473,204,810,277,250,711
2021,10,90,432,63,28,127,69,29,116
2021,10,100,21,0,4,10,2,2,3
2021,11,총,"110,704","17,722","8,333","30,215","15,592","7,839","31,003"
2021,11,0,"10,704","1,789",415,"3,229","1,867",595,"2,809"
2021,11,10,"12,158","2,088",566,"3,540","1,667",925,"3,372"
2021,11,20,"14,304","2,082","1,571","3,342","1,908","1,005","4,396"
2021,11,30,"17,041","2,565","1,746","4,493","2,695","1,044","4,498"
2021,11,40,"20,506","3,307","1,456","5,621","2,947","1,482","5,693"
2021,11,50,"16,194","2,682","1,095","4,222","2,142","1,235","4,818"
2021,11,60,"11,063","1,742",828,"3,226","1,448",831,"2,988"
2021,11,70,"5,545",931,419,"1,598",563,441,"1,593"
2021,11,80,"2,734",472,205,808,285,250,714
2021,11,90,440,64,29,131,68,29,119
2021,11,100,15,0,3,5,2,2,3
2021,12,총,"110,574","17,700","8,314","30,183","15,587","7,827","30,963"
2021,12,0,"10,590","1,773",417,"3,189","1,856",590,"2,765"
2021,12,10,"12,162","2,090",559,"3,541","1,676",928,"3,368"
2021,12,20,"14,259","2,079","1,569","3,338","1,901","1,002","4,370"
2021,12,30,"16,994","2,550","1,743","4,477","2,701","1,039","4,484"
2021,12,40,"20,505","3,309","1,452","5,637","2,936","1,472","5,699"
2021,12,50,"16,219","2,683","1,088","4,226","2,151","1,237","4,834"
2021,12,60,"11,086","1,746",824,"3,226","1,449",834,"3,007"
2021,12,70,"5,557",936,420,"1,601",562,442,"1,596"
2021,12,80,"2,745",473,209,809,286,253,715
2021,12,90,442,61,30,133,67,29,122
2021,12,100,15,0,3,6,2,1,3
