년도,월,나이,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020,8,총,"58,656","4,115","6,906","2,098","2,190","1,552","1,809","1,848","3,201","1,259","3,238","1,777","2,105","1,095","17,404","8,059"
2020,8,0,"3,792",183,459,58,55,69,43,47,106,28,222,38,48,28,"1,727",681
2020,8,10,"5,131",352,572,98,122,76,89,74,183,58,235,74,101,67,"2,059",971
2020,8,20,"6,448",420,763,170,174,117,116,163,237,65,263,146,265,82,"2,446","1,021"
2020,8,30,"5,795",295,725,156,157,136,119,132,191,77,297,100,162,73,"2,357",818
2020,8,40,"8,341",538,957,233,259,175,224,226,335,157,375,182,286,120,"2,945","1,329"
2020,8,50,"10,434",772,"1,169",372,437,284,394,389,678,242,568,322,438,204,"2,717","1,448"
2020,8,60,"9,864",788,"1,180",478,499,328,423,426,770,318,604,468,415,273,"1,871","1,023"
2020,8,70,"5,754",497,704,305,321,238,257,260,456,209,407,285,244,149,896,526
2020,8,80,"2,774",233,337,208,156,114,127,122,220,88,241,139,133,84,343,229
2020,8,90,302,30,39,20,9,14,17,9,24,16,25,22,12,15,39,11
2020,8,100,21,7,1,0,1,1,0,0,1,1,1,1,1,0,4,2
2020,9,총,"58,593","4,109","6,892","2,104","2,177","1,543","1,805","1,840","3,201","1,278","3,233","1,770","2,095","1,095","17,416","8,035"
2020,9,0,"3,766",186,460,59,55,68,37,51,108,28,220,38,49,27,"1,713",667
2020,9,10,"5,147",350,571,98,120,76,93,73,181,73,237,74,98,66,"2,062",975
2020,9,20,"6,416",420,753,173,173,115,115,160,232,66,257,143,265,85,"2,457","1,002"
2020,9,30,"5,769",296,724,155,153,135,117,128,187,75,298,99,162,74,"2,354",812
2020,9,40,"8,281",533,953,233,257,175,222,223,331,154,370,180,282,120,"2,928","1,320"
