년도,월,나이,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020,9,50,"4,671","1,293",256,584,95,272,251,159,679,727,158,197
2020,9,60,"3,964",833,240,381,78,290,279,191,594,710,165,203
2020,9,70,"2,479",466,208,217,51,161,195,155,317,445,98,166
2020,9,80,"1,144",227,117,81,34,106,115,95,106,130,44,89
2020,9,90,103,17,11,2,1,11,12,9,12,11,10,7
2020,9,100,2,0,0,0,0,0,0,0,1,0,1,0
2020,10,총,"24,419","7,079","1,413","3,506",370,"1,375","1,209",855,"3,333","3,693",629,957
2020,10,0,"1,500",583,36,394,4,66,25,20,155,185,12,20
2020,10,10,"2,060",859,204,247,12,61,42,35,221,307,22,50
2020,10,20,"2,667",889,105,442,31,125,126,71,427,371,25,55
2020,10,30,"2,352",728,92,609,18,98,72,39,329,287,28,52
2020,10,40,"3,451","1,188",140,542,46,178,90,79,489,521,62,116
2020,10,50,"4,667","1,287",254,583,95,273,250,163,682,718,161,201
2020,10,60,"3,987",836,241,388,79,292,280,192,596,717,165,201
2020,10,70,"2,482",465,210,218,51,162,197,153,316,443,100,167
2020,10,80,"1,147",226,119,81,33,109,115,95,105,134,43,87
2020,10,90,104,18,12,2,1,11,12,8,12,10,10,8
2020,10,100,2,0,0,0,0,0,0,0,1,0,1,0
2020,11,총,"24,426","7,067","1,413","3,519",368,"1,384","1,209",855,"3,335","3,698",625,953
2020,11,0,"1,490",577,35,393,4,65,23,20,156,185,12,20
2020,11,10,"2,062",858,202,251,12,60,43,36,220,310,22,48
2020,11,20,"2,665",893,102,443,31,128,128,71,417,371,24,57
2020,11,30,"2,336",721,94,604,17,96,70,40,339,280,25,50
2020,11,40,"3,436","1,180",140,543,46,173,93,78,483,523,62,115
2020,11,50,"4,680","1,288",253,586,91,286,247,167,686,718,160,198
2020,11,60,"4,034",845,247,398,82,294,283,190,601,724,166,204
2020,11,70,"2,468",463,210,216,50,161,195,152,316,441,99,165
2020,11,80,"1,150",226,118,83,34,110,114,93,104,136,44,88
2020,11,90,103,16,12,2,1,11,13,8,12,10,10,8
2020,11,100,2,0,0,0,0,0,0,0,1,0,1,0
2020,12,총,"24,441","7,093","1,393","3,522",366,"1,391","1,204",858,"3,332","3,709",626,947
2020,12,0,"1,494",587,35,392,4,60,24,21,152,186,12,21
2020,12,10,"2,048",861,193,251,12,61,40,35,220,310,22,43
2020,12,20,"2,666",897,100,439,31,129,128,72,413,376,24,57
2020,12,30,"2,334",731,89,595,17,100,70,40,330,287,25,50
2020,12,40,"3,435","1,175",139,554,44,171,92,78,488,520,61,113
2020,12,50,"4,678","1,288",256,591,90,290,241,169,684,714,160,195
2020,12,60,"4,061",847,244,399,83,298,286,192,610,727,167,208
2020,12,70,"2,451",463,206,214,50,155,195,150,316,441,99,162
2020,12,80,"1,168",228,118,85,34,116,115,93,106,138,45,90
2020,12,90,104,16,13,2,1,11,13,8,12,10,10,8
2020,12,100,2,0,0,0,0,0,0,0,1,0,1,0
2021,1,총,"24,412","7,094","1,369","3,524",367,"1,386","1,200",862,"3,329","3,706",626,949
2021,1,0,"1,485",582,35,394,4,59,23,21,151,183,13,20
2021,1,10,"2,027",852,176,249,12,60,42,36,224,310,22,44
2021,1,20,"2,662",900,99,439,30,129,128,72,411,376,24,54
2021,1,30,"2,337",727,86,601,18,103,74,38,327,286,25,52
2021,1,40,"3,415","1,175",135,550,43,172,89,81,483,520,57,110
2021,1,50,"4,658","1,285",258,578,92,287,236,168,684,709,162,199
2021,1,60,"4,081",864,238,407,84,298,284,194,611,724,166,211
2021,1,70,"2,472",467,209,220,49,154,197,149,317,447,101,162
2021,1,80,"1,170",228,119,84,34,113,114,95,108,140,46,89
2021,1,90,103,14,14,2,1,11,13,8,12,11,9,8
2021,1,100,2,0,0,0,0,0,0,0,1,0,1,0
2021,2,총,"24,303","7,078","1,364","3,498",367,"1,381","1,198",853,"3,308","3,686",624,946
2021,2,0,"1,461",572,36,387,4,57,23,21,147,182,12,20
2021,2,10,"2,001",849,168,250,12,59,42,35,220,303,22,41
2021,2,20,"2,643",898,101,434,30,122,127,69,414,370,23,55
2021,2,30,"2,307",722,83,597,18,103,73,37,319,279,25,51
2021,2,40,"3,395","1,169",136,544,43,174,92,78,478,519,55,107
2021,2,50,"4,624","1,280",256,576,92,283,231,164,673,706,162,201
2021,2,60,"4,122",874,241,406,84,302,285,199,622,729,168,212
2021,2,70,"2,456",472,207,218,48,156,194,145,316,441,100,159
2021,2,80,"1,187",228,121,84,35,114,118,96,107,145,47,92
2021,2,90,105,14,15,2,1,11,13,9,11,12,9,8
2021,2,100,2,0,0,0,0,0,0,0,1,0,1,0
2021,3,총,"24,278","7,077","1,360","3,496",363,"1,380","1,209",846,"3,305","3,671",622,949
2021,3,0,"1,463",569,35,388,4,59,27,21,147,182,11,20
2021,3,10,"1,981",843,165,246,12,57,43,36,214,301,22,42
2021,3,20,"2,626",906,102,440,29,116,124,65,407,359,23,55
2021,3,30,"2,290",716,84,583,18,104,76,35,317,279,25,53
2021,3,40,"3,371","1,158",130,543,43,174,94,80,476,515,54,104
2021,3,50,"4,637","1,276",260,583,89,284,233,158,682,706,163,203
2021,3,60,"4,160",895,242,409,84,303,286,203,628,731,166,213
2021,3,70,"2,449",467,207,216,49,156,193,144,315,442,101,159
2021,3,80,"1,193",231,120,86,34,116,120,96,107,144,47,92
2021,3,90,105,16,15,2,0,11,13,8,11,12,9,8
2021,3,100,3,0,0,0,1,0,0,0,1,0,1,0
2021,4,총,"24,262","7,090","1,349","3,484",362,"1,371","1,210",841,"3,300","3,680",626,949
2021,4,0,"1,463",570,34,382,4,59,28,22,146,186,11,21
2021,4,10,"1,970",843,155,250,11,57,42,34,215,298,23,42
2021,4,20,"2,629",920,102,437,28,113,120,65,404,362,22,56
2021,4,30,"2,284",718,85,571,19,100,79,35,317,283,24,53
2021,4,40,"3,352","1,150",129,542,42,175,95,79,472,511,55,102
2021,4,50,"4,643","1,278",258,590,90,281,234,159,682,706,163,202
2021,4,60,"4,174",896,245,406,84,303,289,202,631,733,169,216
2021,4,70,"2,432",465,206,217,49,155,188,142,311,442,100,157
2021,4,80,"1,202",234,119,87,33,116,122,94,110,146,49,92
2021,4,90,110,16,16,2,1,12,13,9,11,13,9,8
2021,4,100,3,0,0,0,1,0,0,0,1,0,1,0
2021,5,총,"24,252","7,082","1,335","3,506",363,"1,369","1,207",834,"3,303","3,674",628,951
2021,5,0,"1,455",563,32,379,4,59,29,23,146,188,11,21
2021,5,10,"1,962",844,155,249,11,59,42,34,213,292,23,40
2021,5,20,"2,618",914,100,440,27,110,118,64,404,360,23,58
2021,5,30,"2,280",717,82,574,18,100,80,33,319,280,23,54
2021,5,40,"3,344","1,145",129,550,42,170,92,76,470,512,55,103
2021,5,50,"4,640","1,278",256,595,92,282,232,158,681,703,162,201
2021,5,60,"4,213",910,247,413,85,307,289,201,634,740,169,218
2021,5,70,"2,427",463,200,217,48,155,189,142,316,441,102,154
2021,5,80,"1,199",232,119,86,34,115,123,94,109,143,50,94
2021,5,90,112,16,15,3,1,12,13,9,11,15,9,8
2021,5,100,2,0,0,0,1,0,0,0,0,0,1,0
2021,6,총,"24,213","7,064","1,338","3,525",359,"1,374","1,206",831,"3,272","3,663",628,953
2021,6,0,"1,450",558,32,387,4,56,29,23,143,186,11,21
2021,6,10,"1,959",843,154,250,11,61,41,34,211,291,23,40
2021,6,20,"2,624",921,100,441,27,115,115,61,401,363,23,57
2021,6,30,"2,260",707,84,571,18,101,81,35,313,275,22,53
2021,6,40,"3,335","1,138",129,558,42,170,92,76,463,508,54,105
2021,6,50,"4,619","1,277",255,599,90,282,232,154,674,695,162,199
2021,6,60,"4,247",917,252,415,84,307,293,202,633,749,172,223
2021,6,70,"2,421",460,199,216,49,157,189,142,312,439,102,156
2021,6,80,"1,183",226,118,86,33,113,121,94,111,140,50,91
2021,6,90,115,17,15,2,1,12,13,10,11,17,9,8
2021,6,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,총,"24,193","7,050","1,333","3,523",362,"1,385","1,208",830,"3,272","3,658",626,946
2021,7,0,"1,443",553,32,386,4,57,29,22,144,183,12,21
2021,7,10,"1,943",841,151,246,12,61,40,35,206,290,22,39
2021,7,20,"2,625",922,98,449,26,110,118,58,401,362,24,57
2021,7,30,"2,260",706,84,567,19,104,80,35,316,275,22,52
2021,7,40,"3,314","1,139",129,548,43,170,87,78,461,504,53,102
2021,7,50,"4,597","1,267",245,604,90,291,231,152,667,692,160,198
2021,7,60,"4,296",926,262,418,84,308,301,202,641,757,172,225
2021,7,70,"2,416",459,198,214,49,159,187,142,313,438,103,154
2021,7,80,"1,183",221,119,89,34,114,120,96,112,139,49,90
2021,7,90,116,16,15,2,1,11,15,10,11,18,9,8
2021,7,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,총,"24,146","7,040","1,329","3,525",357,"1,386","1,203",827,"3,260","3,645",622,952
2021,8,0,"1,449",553,33,387,4,58,28,21,146,183,12,24
2021,8,10,"1,929",834,145,243,12,61,42,37,206,292,18,39
2021,8,20,"2,584",907,99,448,23,107,113,55,395,355,24,58
2021,8,30,"2,251",707,85,564,18,102,77,34,314,276,23,51
2021,8,40,"3,318","1,140",128,555,42,172,86,76,465,499,53,102
2021,8,50,"4,576","1,267",246,604,91,286,231,156,655,684,159,197
2021,8,60,"4,328",933,262,419,83,313,303,203,642,765,174,231
2021,8,70,"2,421",463,198,216,49,162,187,143,313,432,103,155
2021,8,80,"1,173",221,117,88,34,114,120,92,112,141,47,87
2021,8,90,117,15,16,1,1,11,16,10,12,18,9,8
2021,8,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,9,총,"24,058","7,015","1,322","3,522",356,"1,376","1,186",821,"3,254","3,625",624,957
2021,9,0,"1,445",551,33,385,4,60,26,21,149,181,12,23
2021,9,10,"1,916",829,142,242,12,60,42,36,204,290,17,42
2021,9,20,"2,533",898,93,448,23,100,105,54,390,341,24,57
2021,9,30,"2,239",706,85,566,17,101,79,31,303,276,23,52
2021,9,40,"3,302","1,134",128,551,41,172,82,77,464,498,54,101
2021,9,50,"4,574","1,265",245,602,91,287,228,156,662,679,160,199
2021,9,60,"4,343",928,264,423,83,311,305,203,646,769,176,235
2021,9,70,"2,430",470,200,217,50,161,187,144,313,434,100,154
2021,9,80,"1,164",220,117,87,34,113,118,89,112,139,49,86
2021,9,90,112,14,15,1,1,11,14,10,11,18,9,8
2021,9,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,10,총,"24,052","7,025","1,317","3,518",353,"1,381","1,181",815,"3,247","3,632",627,956
2021,10,0,"1,434",547,32,381,4,61,26,20,148,180,12,23
2021,10,10,"1,903",831,138,240,10,60,43,35,198,289,18,41
2021,10,20,"2,539",896,93,442,24,104,105,54,395,349,23,54
2021,10,30,"2,246",713,88,569,17,98,77,30,306,272,25,51
2021,10,40,"3,284","1,128",125,552,41,173,76,74,458,501,54,102
2021,10,50,"4,564","1,269",242,605,89,286,231,155,658,674,160,195
2021,10,60,"4,366",935,268,424,84,312,302,202,649,772,177,241
2021,10,70,"2,439",472,198,217,49,162,188,147,314,439,99,154
2021,10,80,"1,162",220,118,86,34,114,118,88,110,137,50,87
2021,10,90,115,14,15,2,1,11,15,10,11,19,9,8
2021,10,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,11,총,"24,056","7,013","1,308","3,531",354,"1,385","1,181",816,"3,254","3,632",628,954
2021,11,0,"1,425",536,28,382,3,65,25,21,151,178,12,24
2021,11,10,"1,895",825,136,241,10,61,43,36,197,290,18,38
2021,11,20,"2,538",905,91,433,24,106,106,52,393,350,23,55
2021,11,30,"2,253",708,85,582,19,99,78,29,306,271,25,51
2021,11,40,"3,282","1,121",123,546,40,174,78,77,463,505,55,100
2021,11,50,"4,569","1,269",247,611,87,286,230,154,659,673,159,194
2021,11,60,"4,388",944,266,429,88,313,303,202,650,771,180,242
2021,11,70,"2,429",468,199,217,49,159,188,148,315,437,96,153
2021,11,80,"1,159",222,118,87,33,111,116,85,109,138,51,89
2021,11,90,118,15,15,3,1,11,14,12,11,19,9,8
2021,11,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,12,총,"24,026","7,018","1,297","3,534",351,"1,383","1,183",816,"3,244","3,619",630,951
2021,12,0,"1,406",533,26,384,3,66,24,19,146,173,12,20
2021,12,10,"1,897",834,132,238,10,59,45,38,194,291,18,38
2021,12,20,"2,525",891,91,437,23,107,109,50,393,346,24,54
2021,12,30,"2,255",719,82,584,18,97,75,31,304,271,25,49
2021,12,40,"3,271","1,117",123,549,40,175,75,76,460,505,53,98
2021,12,50,"4,570","1,273",246,603,87,281,232,156,657,675,161,199
2021,12,60,"4,390",943,262,430,86,316,307,200,656,764,183,243
2021,12,70,"2,429",466,202,218,49,161,186,150,312,437,95,153
2021,12,80,"1,161",226,118,88,34,110,116,83,109,137,51,89
2021,12,90,121,16,15,2,1,11,14,13,13,20,8,8
2021,12,100,1,0,0,1,0,0,0,0,0,0,0,0
