년도,월,나이,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면,경상북도 군위군 삼국유사면
2020,5,100,1,1,0,0,0,0,0,0,0,
2020,6,총,"11,971","4,286","1,159","1,948","1,045","1,031","1,178",611,713,
2020,6,0,388,248,17,50,23,13,14,11,12,
2020,6,10,538,329,30,60,33,25,36,12,13,
2020,6,20,953,437,64,171,92,66,65,21,37,
2020,6,30,783,364,62,99,63,55,64,39,37,
2020,6,40,"1,316",603,95,200,89,106,119,54,50,
2020,6,50,"2,460",837,256,405,242,205,228,136,151,
2020,6,60,"2,718",740,278,510,248,265,292,156,229,
2020,6,70,"1,863",493,212,320,162,185,236,121,134,
2020,6,80,886,216,134,127,84,103,117,56,49,
2020,6,90,65,18,11,6,9,8,7,5,1,
2020,6,100,1,1,0,0,0,0,0,0,0,
2020,7,총,"11,961","4,289","1,165","1,942","1,042","1,025","1,176",610,712,
2020,7,0,383,244,16,51,25,13,13,10,11,
2020,7,10,542,335,29,58,33,24,36,12,15,
2020,7,20,932,431,65,169,85,66,61,20,35,
2020,7,30,787,363,62,99,65,55,66,39,38,
2020,7,40,"1,305",605,94,198,86,103,116,52,51,
2020,7,50,"2,452",833,259,403,239,201,231,136,150,
2020,7,60,"2,744",748,282,513,255,266,292,160,228,
2020,7,70,"1,861",494,213,317,159,187,236,120,135,
2020,7,80,889,217,135,128,86,102,118,55,48,
2020,7,90,65,18,10,6,9,8,7,6,1,
2020,7,100,1,1,0,0,0,0,0,0,0,
2020,8,총,"11,945","4,288","1,177","1,938","1,036","1,014","1,172",606,714,
2020,8,0,381,244,19,50,23,9,14,11,11,
2020,8,10,544,336,29,59,34,23,36,12,15,
2020,8,20,920,430,63,169,83,65,54,21,35,
2020,8,30,785,364,63,98,64,53,67,38,38,
2020,8,40,"1,300",603,96,193,84,105,116,51,52,
2020,8,50,"2,454",835,261,404,239,198,230,136,151,
2020,8,60,"2,749",744,288,520,254,268,291,158,226,
2020,8,70,"1,865",498,213,315,160,188,236,119,136,
2020,8,80,882,215,135,124,86,98,120,55,49,
2020,8,90,64,18,10,6,9,7,8,5,1,
2020,8,100,1,1,0,0,0,0,0,0,0,
2020,9,총,"11,908","4,267","1,182","1,929","1,035","1,012","1,169",603,711,
2020,9,0,371,236,18,49,22,9,15,11,11,
2020,9,10,544,337,30,59,35,20,36,12,15,
2020,9,20,918,431,65,162,85,67,53,21,34,
2020,9,30,764,359,60,94,60,53,65,35,38,
2020,9,40,"1,294",599,96,194,85,102,115,52,51,
2020,9,50,"2,437",828,261,401,236,200,231,132,148,
2020,9,60,"2,775",749,295,528,257,268,290,160,228,
2020,9,70,"1,858",496,211,312,162,188,236,118,135,
2020,9,80,883,213,136,124,85,98,120,57,50,
2020,9,90,63,18,10,6,8,7,8,5,1,
2020,9,100,1,1,0,0,0,0,0,0,0,
2020,10,총,"11,923","4,265","1,190","1,931","1,042","1,015","1,160",606,714,
2020,10,0,372,235,19,50,23,8,15,11,11,
2020,10,10,537,332,30,60,35,20,34,11,15,
2020,10,20,923,431,67,161,88,66,53,23,34,
2020,10,30,770,360,61,99,60,53,64,35,38,
2020,10,40,"1,287",595,97,191,87,102,113,52,50,
2020,10,50,"2,445",833,265,396,236,202,231,131,151,
2020,10,60,"2,792",753,296,531,257,269,293,164,229,
2020,10,70,"1,847",494,209,313,164,186,230,116,135,
2020,10,80,884,213,135,124,83,101,120,58,50,
2020,10,90,65,18,11,6,9,8,7,5,1,
2020,10,100,1,1,0,0,0,0,0,0,0,
2020,11,총,"11,913","4,262","1,188","1,931","1,042","1,012","1,160",603,715,
2020,11,0,371,235,20,49,23,8,15,9,12,
2020,11,10,535,330,31,59,33,20,34,13,15,
2020,11,20,918,428,65,159,89,65,55,23,34,
2020,11,30,762,355,58,101,60,53,62,34,39,
2020,11,40,"1,279",594,94,188,85,100,113,51,54,
2020,11,50,"2,455",837,263,404,236,202,232,133,148,
2020,11,60,"2,789",757,300,527,261,265,290,163,226,
2020,11,70,"1,853",496,211,312,164,191,230,113,136,
2020,11,80,886,212,136,125,82,100,122,59,50,
2020,11,90,64,17,10,7,9,8,7,5,1,
2020,11,100,1,1,0,0,0,0,0,0,0,
2020,12,총,"11,892","4,249","1,182","1,935","1,047","1,011","1,152",603,713,
2020,12,0,370,234,20,50,25,7,13,9,12,
2020,12,10,523,325,29,59,33,18,34,11,14,
2020,12,20,927,429,64,160,91,67,54,26,36,
2020,12,30,749,350,56,97,62,53,61,32,38,
2020,12,40,"1,273",591,91,192,87,99,111,49,53,
2020,12,50,"2,432",830,264,398,234,202,229,131,144,
2020,12,60,"2,811",766,302,530,261,265,288,168,231,
2020,12,70,"1,854",494,211,313,162,192,233,113,136,
2020,12,80,886,210,135,129,83,100,122,59,48,
2020,12,90,66,19,10,7,9,8,7,5,1,
2020,12,100,1,1,0,0,0,0,0,0,0,
2021,1,총,"11,853","4,233","1,174","1,942","1,049","1,010","1,142",597,0,706
2021,1,0,362,230,18,50,24,6,13,9,0,12
2021,1,10,521,323,28,59,33,18,34,11,0,15
2021,1,20,914,427,62,155,92,67,52,24,0,35
2021,1,30,750,351,56,99,65,52,59,32,0,36
2021,1,40,"1,259",586,87,194,87,96,110,48,0,51
2021,1,50,"2,409",822,266,397,224,200,227,131,0,142
2021,1,60,"2,821",774,299,536,268,268,283,165,0,228
2021,1,70,"1,853",491,211,311,160,196,235,114,0,135
2021,1,80,894,209,136,132,88,99,121,58,0,51
2021,1,90,69,19,11,9,8,8,8,5,0,1
2021,1,100,1,1,0,0,0,0,0,0,0,0
2021,2,총,"11,820","4,215","1,169","1,935","1,051","1,009","1,144",595,,702
2021,2,0,360,228,19,50,23,7,13,9,,11
2021,2,10,515,321,28,59,30,18,34,11,,14
2021,2,20,905,418,62,155,94,66,51,24,,35
2021,2,30,735,342,54,97,65,52,58,32,,35
2021,2,40,"1,252",586,88,190,88,94,110,45,,51
2021,2,50,"2,394",821,264,388,224,200,224,132,,141
2021,2,60,"2,847",778,298,547,273,270,291,165,,225
2021,2,70,"1,849",491,210,310,159,193,234,113,,139
2021,2,80,891,210,135,130,87,101,119,59,,50
2021,2,90,71,19,11,9,8,8,10,5,,1
2021,2,100,1,1,0,0,0,0,0,0,,0
2021,3,총,"11,810","4,207","1,176","1,931","1,051","1,004","1,147",594,,700
2021,3,0,354,225,20,50,22,6,13,9,,9
2021,3,10,518,323,28,61,31,16,34,11,,14
2021,3,20,899,418,61,155,91,64,52,23,,35
2021,3,30,723,335,54,94,64,52,59,31,,34
2021,3,40,"1,234",585,86,188,84,88,108,45,,50
2021,3,50,"2,392",819,261,384,226,204,224,132,,142
2021,3,60,"2,871",783,306,546,278,271,295,166,,226
2021,3,70,"1,856",488,213,318,160,196,232,112,,137
2021,3,80,894,212,136,128,87,99,120,60,,52
2021,3,90,68,18,11,7,8,8,10,5,,1
2021,3,100,1,1,0,0,0,0,0,0,,0
2021,4,총,"11,789","4,198","1,179","1,930","1,047",999,"1,143",591,,702
2021,4,0,349,221,18,51,22,6,13,9,,9
2021,4,10,515,326,27,60,31,14,34,10,,13
2021,4,20,884,411,60,154,92,61,47,24,,35
2021,4,30,717,330,56,93,64,49,62,29,,34
2021,4,40,"1,229",584,87,184,82,90,106,45,,51
2021,4,50,"2,375",816,259,384,217,199,226,133,,141
2021,4,60,"2,902",790,312,551,284,277,293,166,,229
2021,4,70,"1,850",485,212,318,158,196,233,111,,137
2021,4,80,899,217,137,128,89,99,119,58,,52
2021,4,90,68,17,11,7,8,8,10,6,,1
2021,4,100,1,1,0,0,0,0,0,0,,0
2021,5,총,"11,737","4,189","1,180","1,916","1,042",990,"1,138",586,,696
2021,5,0,342,221,17,45,23,5,13,9,,9
2021,5,10,507,320,27,61,30,14,33,10,,12
2021,5,20,878,414,58,150,89,61,47,24,,35
2021,5,30,717,332,55,92,66,48,62,29,,33
2021,5,40,"1,219",577,88,184,83,89,105,43,,50
2021,5,50,"2,340",812,256,378,213,196,222,127,,136
2021,5,60,"2,908",789,315,555,282,275,294,169,,229
2021,5,70,"1,853",486,214,317,159,196,233,109,,139
2021,5,80,902,220,139,126,89,98,119,59,,52
2021,5,90,70,17,11,8,8,8,10,7,,1
2021,5,100,1,1,0,0,0,0,0,0,,0
2021,6,총,"11,730","4,186","1,177","1,916","1,043",984,"1,140",589,,695
2021,6,0,341,217,17,47,23,5,13,10,,9
2021,6,10,507,323,27,60,30,13,32,10,,12
2021,6,20,868,413,58,145,87,59,49,25,,32
2021,6,30,723,330,57,96,66,49,61,30,,34
2021,6,40,"1,200",569,84,184,81,86,105,41,,50
2021,6,50,"2,341",817,257,377,213,195,220,124,,138
2021,6,60,"2,915",790,314,556,284,273,298,170,,230
2021,6,70,"1,860",489,213,316,162,196,233,112,,139
2021,6,80,902,220,137,127,89,100,119,60,,50
2021,6,90,72,17,13,8,8,8,10,7,,1
2021,6,100,1,1,0,0,0,0,0,0,,0
2021,7,총,"11,709","4,182","1,177","1,914","1,046",980,"1,135",586,,689
2021,7,0,332,214,18,46,22,4,13,9,,6
2021,7,10,503,319,26,60,31,13,33,11,,10
2021,7,20,863,412,57,144,89,61,47,23,,30
2021,7,30,717,332,56,94,63,49,58,32,,33
2021,7,40,"1,199",567,86,185,82,86,105,40,,48
2021,7,50,"2,332",817,256,375,211,193,216,125,,139
2021,7,60,"2,929",797,315,559,288,271,298,169,,232
2021,7,70,"1,855",487,213,314,162,193,236,109,,141
2021,7,80,907,219,137,129,90,102,119,62,,49
2021,7,90,71,17,13,8,8,8,10,6,,1
2021,7,100,1,1,0,0,0,0,0,0,,0
2021,8,총,"11,698","4,184","1,172","1,912","1,038",980,"1,141",586,,685
2021,8,0,331,216,18,45,20,4,13,9,,6
2021,8,10,504,323,22,61,32,13,32,11,,10
2021,8,20,848,408,56,142,83,59,48,23,,29
2021,8,30,712,324,59,94,62,51,59,31,,32
2021,8,40,"1,191",568,84,181,83,85,103,40,,47
2021,8,50,"2,337",816,257,380,207,192,219,128,,138
2021,8,60,"2,936",802,314,557,291,272,301,168,,231
2021,8,70,"1,858",487,214,315,160,196,236,110,,140
2021,8,80,910,223,134,128,92,102,120,60,,51
2021,8,90,70,16,14,9,8,6,10,6,,1
2021,8,100,1,1,0,0,0,0,0,0,,0
2021,9,총,"11,695","4,182","1,165","1,917","1,036",979,"1,144",584,,688
2021,9,0,330,215,16,45,22,4,12,8,,8
2021,9,10,501,320,22,61,31,12,33,12,,10
2021,9,20,836,409,53,137,78,60,48,22,,29
2021,9,30,708,327,58,96,63,46,57,30,,31
2021,9,40,"1,184",559,84,176,82,88,106,41,,48
2021,9,50,"2,355",828,257,390,203,193,219,126,,139
2021,9,60,"2,935",795,311,560,294,275,301,168,,231
2021,9,70,"1,859",484,217,315,161,194,236,112,,140
2021,9,80,914,227,132,127,94,102,122,59,,51
2021,9,90,72,17,15,10,8,5,10,6,,1
2021,9,100,1,1,0,0,0,0,0,0,,0
2021,10,총,"11,723","4,195","1,165","1,929","1,037",977,"1,146",589,,685
2021,10,0,329,213,16,46,21,4,12,9,,8
2021,10,10,500,322,22,61,29,12,32,12,,10
2021,10,20,839,407,55,139,77,60,48,24,,29
2021,10,30,710,328,58,98,62,46,56,30,,32
2021,10,40,"1,187",566,81,176,84,89,103,40,,48
2021,10,50,"2,353",827,254,395,204,188,220,127,,138
2021,10,60,"2,956",802,313,561,297,278,305,169,,231
2021,10,70,"1,863",485,218,315,161,194,238,113,,139
2021,10,80,912,225,133,128,94,101,122,59,,50
2021,10,90,73,19,15,10,8,5,10,6,,0
2021,10,100,1,1,0,0,0,0,0,0,,0
2021,11,총,"11,730","4,208","1,164","1,931","1,042",970,"1,147",592,,676
2021,11,0,328,214,16,46,21,4,12,9,,6
2021,11,10,500,323,23,57,31,12,32,12,,10
2021,11,20,838,411,51,138,76,59,49,26,,28
2021,11,30,710,332,60,98,61,41,54,33,,31
2021,11,40,"1,174",558,83,175,81,89,104,38,,46
2021,11,50,"2,361",835,251,398,205,191,217,127,,137
2021,11,60,"2,968",805,315,562,301,276,309,168,,232
2021,11,70,"1,861",485,217,317,161,192,238,114,,137
2021,11,80,918,226,133,130,97,101,122,60,,49
2021,11,90,71,18,15,10,8,5,10,5,,0
2021,11,100,1,1,0,0,0,0,0,0,,0
2021,12,총,"11,761","4,223","1,175","1,937","1,041",968,"1,143",598,,676
2021,12,0,330,215,16,44,23,4,12,10,,6
2021,12,10,499,324,24,56,31,11,31,12,,10
2021,12,20,827,407,51,138,73,57,47,27,,27
2021,12,30,709,324,62,96,64,43,58,34,,28
2021,12,40,"1,168",561,85,176,79,87,97,37,,46
2021,12,50,"2,373",842,251,398,204,190,223,129,,136
2021,12,60,"2,986",813,315,568,300,278,308,170,,234
2021,12,70,"1,865",488,223,315,161,189,236,113,,140
2021,12,80,930,230,133,135,97,104,121,61,,49
2021,12,90,73,18,15,11,9,5,10,5,,0
2021,12,100,1,1,0,0,0,0,0,0,,0
