년도,월,나이,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020,11,총,"217,233","2,429","3,383","2,358","1,538","4,030","5,643","19,374","10,145","6,206","6,939","11,912","5,510","3,039","9,666","8,426","8,528","3,984","8,356","7,258","6,960","15,593","7,208","5,652","6,495","1,284","11,208","19,016","15,093"
2020,11,0,"16,501",123,134,122,40,268,227,"1,310",877,319,471,"1,077",195,278,732,574,571,143,476,243,463,"1,162",588,344,276,38,"1,304","1,901","2,245"
2020,11,10,"20,390",89,245,144,68,268,344,"1,785","1,111",464,667,"1,089",316,265,678,945,734,316,671,418,753,"2,175",792,508,351,55,"1,223","2,061","1,855"
2020,11,20,"29,712",546,658,428,270,459,"1,089","3,412","1,254",848,918,"1,456",663,342,"1,100","1,143","1,279",517,"1,131",802,"1,035","2,233",908,879,928,107,"1,323","2,497","1,487"
2020,11,30,"26,768",434,314,309,156,561,699,"2,200","1,228",602,772,"1,758",446,404,"1,275",820,960,355,850,590,821,"1,555",852,586,668,92,"1,771","2,875","2,815"
2020,11,40,"33,759",246,424,295,155,546,669,"2,866","1,686",803,"1,023","1,903",598,452,"1,269","1,345","1,260",499,"1,099",778,"1,268","3,292","1,256",833,759,104,"2,008","3,249","3,074"
2020,11,50,"36,775",299,467,325,238,605,868,"3,535","1,665","1,070","1,318","2,037",924,431,"1,664","1,629","1,462",705,"1,525","1,364","1,285","2,822","1,336","1,082","1,335",243,"1,633","3,007","1,901"
2020,11,60,"27,870",322,522,336,272,661,833,"2,363","1,402","1,121","1,014","1,515","1,131",421,"1,487","1,095","1,148",723,"1,422","1,429",736,"1,171",780,760,"1,091",266,960,"1,857","1,032"
2020,11,70,"16,205",247,411,277,212,469,598,"1,276",631,652,462,711,787,282,909,558,731,480,786,977,386,704,413,427,627,209,559,988,436
2020,11,80,"7,791",102,183,104,93,154,260,538,231,284,245,311,375,136,463,271,330,206,329,565,177,418,239,192,394,138,354,494,205
2020,11,90,"1,354",17,23,12,30,34,48,85,56,40,47,54,65,26,80,45,52,37,63,85,36,60,41,35,64,28,67,83,41
2020,11,100,108,4,2,6,4,5,8,4,4,3,2,1,10,2,9,1,1,3,4,7,0,1,3,6,2,4,6,4,2
