년도,월,나이,고성군,간성읍,거진읍,현내면,죽왕면,토성면,수동면
2020,7,총,"13,005","3,364","3,192","1,238","1,815","3,396",0
2020,7,0,629,274,115,34,81,125,0
2020,7,10,769,265,169,47,91,197,0
2020,7,20,"1,084",344,197,79,160,304,0
2020,7,30,957,376,156,63,116,246,0
2020,7,40,"1,360",418,297,78,162,405,0
2020,7,50,"2,286",548,532,218,346,642,0
2020,7,60,"2,458",494,683,283,345,653,0
2020,7,70,"2,002",348,593,252,297,512,0
2020,7,80,"1,194",243,356,156,183,256,0
2020,7,90,254,50,90,28,31,55,0
2020,7,100,12,4,4,0,3,1,0
2020,8,총,"13,005","3,342","3,186","1,235","1,808","3,434",0
2020,8,0,636,270,115,32,80,139,0
2020,8,10,767,260,167,47,93,200,0
2020,8,20,"1,068",342,194,78,156,298,0
2020,8,30,960,364,156,61,115,264,0
2020,8,40,"1,363",417,297,78,161,410,0
2020,8,50,"2,269",542,524,216,340,647,0
2020,8,60,"2,473",498,687,283,351,654,0
2020,8,70,"2,008",348,596,254,297,513,0
2020,8,80,"1,193",246,354,156,184,253,0
2020,8,90,255,51,92,30,27,55,0
2020,8,100,13,4,4,0,4,1,0
2020,9,총,"12,972","3,344","3,172","1,225","1,799","3,432",0
2020,9,0,637,271,114,32,78,142,0
2020,9,10,760,262,162,44,94,198,0
2020,9,20,"1,048",341,188,76,150,293,0
2020,9,30,956,360,156,61,114,265,0
2020,9,40,"1,353",418,292,76,162,405,0
2020,9,50,"2,262",544,522,215,338,643,0
2020,9,60,"2,491",500,688,283,355,665,0
2020,9,70,"2,000",348,598,253,291,510,0
2020,9,80,"1,194",243,356,155,183,257,0
2020,9,90,258,53,92,30,30,53,0
2020,9,100,13,4,4,0,4,1,0
2020,10,총,"12,969","3,349","3,163","1,218","1,803","3,436",0
2020,10,0,633,269,111,31,79,143,0
2020,10,10,747,262,157,44,96,188,0
2020,10,20,"1,056",336,189,74,151,306,0
2020,10,30,959,362,158,59,118,262,0
2020,10,40,"1,347",425,287,74,162,399,0
2020,10,50,"2,248",538,517,210,333,650,0
2020,10,60,"2,505",504,692,287,355,667,0
2020,10,70,"2,004",353,599,254,292,506,0
2020,10,80,"1,197",245,355,155,182,260,0
2020,10,90,260,51,94,30,31,54,0
2020,10,100,13,4,4,0,4,1,0
2020,11,총,"12,974","3,350","3,163","1,215","1,810","3,436",0
2020,11,0,635,272,108,31,79,145,0
2020,11,10,744,264,158,43,96,183,0
2020,11,20,"1,043",333,189,68,153,300,0
2020,11,30,970,365,161,60,119,265,0
2020,11,40,"1,347",426,287,74,164,396,0
2020,11,50,"2,226",526,509,211,331,649,0
2020,11,60,"2,526",506,697,286,357,680,0
2020,11,70,"2,005",354,599,255,294,503,0
2020,11,80,"1,203",247,358,158,182,258,0
2020,11,90,261,53,93,28,31,56,0
2020,11,100,14,4,4,1,4,1,0
2020,12,총,"12,955","3,327","3,141","1,222","1,810","3,455",0
2020,12,0,622,261,104,31,76,150,0
2020,12,10,742,263,157,42,98,182,0
2020,12,20,"1,044",335,186,71,150,302,0
2020,12,30,967,357,162,59,124,265,0
2020,12,40,"1,346",425,284,77,163,397,0
2020,12,50,"2,218",522,503,213,329,651,0
2020,12,60,"2,538",505,698,288,359,688,0
2020,12,70,"1,998",353,598,254,289,504,0
2020,12,80,"1,204",250,353,156,187,258,0
2020,12,90,262,52,92,30,31,57,0
2020,12,100,14,4,4,1,4,1,0
2021,1,총,"12,925","3,326","3,132","1,221","1,794","3,452",0
2021,1,0,621,260,101,31,78,151,0
2021,1,10,730,260,158,42,91,179,0
2021,1,20,"1,035",335,187,68,146,299,0
2021,1,30,961,360,155,61,121,264,0
2021,1,40,"1,347",426,281,78,161,401,0
2021,1,50,"2,202",519,504,215,322,642,0
2021,1,60,"2,553",508,700,284,365,696,0
2021,1,70,"1,986",351,595,255,287,498,0
2021,1,80,"1,212",250,352,158,187,265,0
2021,1,90,264,53,95,28,32,56,0
2021,1,100,14,4,4,1,4,1,0
2021,2,총,"12,963","3,340","3,114","1,223","1,790","3,496",0
2021,2,0,632,265,96,34,76,161,0
2021,2,10,732,263,155,43,89,182,0
2021,2,20,"1,022",333,184,64,141,300,0
2021,2,30,963,360,151,60,121,271,0
2021,2,40,"1,359",425,276,80,163,415,0
2021,2,50,"2,182",515,496,209,314,648,0
2021,2,60,"2,582",518,706,291,375,692,0
2021,2,70,"1,976",352,589,254,283,498,0
2021,2,80,"1,232",252,361,157,192,270,0
2021,2,90,269,53,96,30,32,58,0
2021,2,100,14,4,4,1,4,1,0
2021,3,총,"12,973","3,288","3,121","1,211","1,779","3,574",0
2021,3,0,630,264,98,31,68,169,0
2021,3,10,727,246,157,40,92,192,0
2021,3,20,"1,001",322,178,62,142,297,0
2021,3,30,968,351,153,60,117,287,0
2021,3,40,"1,358",413,277,75,162,431,0
2021,3,50,"2,177",511,491,205,313,657,0
2021,3,60,"2,607",519,710,294,375,709,0
2021,3,70,"1,974",351,586,254,284,499,0
2021,3,80,"1,248",255,371,157,191,274,0
2021,3,90,268,52,96,31,31,58,0
2021,3,100,15,4,4,2,4,1,0
2021,4,총,"12,998","3,265","3,103","1,206","1,797","3,627",0
2021,4,0,630,262,96,30,71,171,0
2021,4,10,731,243,157,40,92,199,0
2021,4,20,980,314,170,60,144,292,0
2021,4,30,976,347,154,57,117,301,0
2021,4,40,"1,372",414,279,74,166,439,0
2021,4,50,"2,177",507,482,208,315,665,0
2021,4,60,"2,636",521,714,294,383,724,0
2021,4,70,"1,968",349,581,254,284,500,0
2021,4,80,"1,248",252,370,157,191,278,0
2021,4,90,265,52,96,30,30,57,0
2021,4,100,15,4,4,2,4,1,0
2021,5,총,"13,050","3,208","3,099","1,200","1,776","3,767",0
2021,5,0,639,251,94,29,68,197,0
2021,5,10,729,233,160,40,94,202,0
2021,5,20,980,315,166,59,140,300,0
2021,5,30,976,333,152,59,112,320,0
2021,5,40,"1,398",403,278,74,163,480,0
2021,5,50,"2,173",500,477,204,312,680,0
2021,5,60,"2,667",519,725,295,379,749,0
2021,5,70,"1,958",350,575,254,280,499,0
2021,5,80,"1,259",253,372,155,196,283,0
2021,5,90,259,49,96,30,29,55,0
2021,5,100,12,2,4,1,3,2,0
2021,6,총,"13,076","3,195","3,048","1,200","1,765","3,868",0
2021,6,0,641,253,89,28,65,206,0
2021,6,10,727,229,161,42,90,205,0
2021,6,20,989,310,164,59,140,316,0
2021,6,30,973,335,142,57,109,330,0
2021,6,40,"1,389",391,269,71,157,501,0
2021,6,50,"2,182",497,469,201,310,705,0
2021,6,60,"2,702",525,720,303,384,770,0
2021,6,70,"1,951",349,571,251,283,497,0
2021,6,80,"1,259",255,370,155,196,283,0
2021,6,90,254,49,92,32,28,53,0
2021,6,100,9,2,1,1,3,2,0
2021,7,총,"13,101","3,189","3,047","1,191","1,758","3,916",0
2021,7,0,637,249,84,28,65,211,0
2021,7,10,742,235,166,41,88,212,0
2021,7,20,963,305,157,57,137,307,0
2021,7,30,988,335,145,58,108,342,0
2021,7,40,"1,396",393,269,68,156,510,0
2021,7,50,"2,189",495,470,202,307,715,0
2021,7,60,"2,714",522,724,301,388,779,0
2021,7,70,"1,952",351,571,251,281,498,0
2021,7,80,"1,262",253,370,154,198,287,0
2021,7,90,249,49,90,30,27,53,0
2021,7,100,9,2,1,1,3,2,0
2021,8,총,"13,106","3,199","3,040","1,190","1,748","3,929",0
2021,8,0,637,253,83,28,63,210,0
2021,8,10,746,235,167,41,88,215,0
2021,8,20,954,303,157,52,134,308,0
2021,8,30,988,329,147,60,108,344,0
2021,8,40,"1,395",393,271,67,150,514,0
2021,8,50,"2,194",501,465,202,304,722,0
2021,8,60,"2,718",524,722,302,390,780,0
2021,8,70,"1,950",352,570,250,280,498,0
2021,8,80,"1,264",256,369,156,199,284,0
2021,8,90,251,51,88,31,29,52,0
2021,8,100,9,2,1,1,3,2,0
2021,9,총,"13,100","3,203","3,034","1,177","1,735","3,951",0
2021,9,0,638,249,85,28,64,212,0
2021,9,10,738,239,162,38,86,213,0
2021,9,20,943,304,159,48,130,302,0
2021,9,30,984,328,145,57,106,348,0
2021,9,40,"1,393",389,271,67,147,519,0
2021,9,50,"2,207",503,470,200,301,733,0
2021,9,60,"2,727",526,715,304,394,788,0
2021,9,70,"1,949",358,571,248,277,495,0
2021,9,80,"1,263",256,367,156,196,288,0
2021,9,90,249,49,88,30,31,51,0
2021,9,100,9,2,1,1,3,2,0
2021,10,총,"13,119","3,241","3,037","1,174","1,707","3,960",0
2021,10,0,638,256,86,29,56,211,0
2021,10,10,734,240,163,37,83,211,0
2021,10,20,951,311,157,48,125,310,0
2021,10,30,992,336,146,58,101,351,0
2021,10,40,"1,386",393,266,66,144,517,0
2021,10,50,"2,198",504,475,196,298,725,0
2021,10,60,"2,744",536,715,302,398,793,0
2021,10,70,"1,943",352,568,250,275,498,0
2021,10,80,"1,274",264,371,155,194,290,0
2021,10,90,250,47,89,32,30,52,0
2021,10,100,9,2,1,1,3,2,0
2021,11,총,"13,169","3,335","2,999","1,174","1,690","3,971",0
2021,11,0,654,276,81,29,56,212,0
2021,11,10,728,240,160,38,74,216,0
2021,11,20,962,335,148,47,124,308,0
2021,11,30,"1,013",364,139,59,103,348,0
2021,11,40,"1,381",401,253,67,143,517,0
2021,11,50,"2,196",513,473,189,295,726,0
2021,11,60,"2,759",538,721,306,395,799,0
2021,11,70,"1,937",354,561,251,270,501,0
2021,11,80,"1,283",266,373,156,197,291,0
2021,11,90,247,46,89,31,30,51,0
2021,11,100,9,2,1,1,3,2,0
2021,12,총,"13,230","3,383","2,991","1,177","1,682","3,997",0
2021,12,0,668,289,80,28,58,213,0
2021,12,10,730,245,158,39,75,213,0
2021,12,20,968,347,148,45,123,305,0
2021,12,30,"1,023",374,136,59,101,353,0
2021,12,40,"1,390",409,251,74,142,514,0
2021,12,50,"2,204",511,473,186,289,745,0
2021,12,60,"2,761",538,718,310,391,804,0
2021,12,70,"1,934",356,559,247,270,502,0
2021,12,80,"1,297",268,378,157,201,293,0
2021,12,90,247,44,89,31,30,53,0
2021,12,100,8,2,1,1,2,2,0
