년도,월,나이,강진군,강진읍,군동면,칠량면,대구면,도암면,신전면,성전면,작천면,병영면,옴천면,마량면
2020,3,10,"2,628","1,437",321,131,48,150,97,137,78,90,48,91
2020,3,20,"2,920","1,545",335,164,65,134,84,193,122,102,32,144
2020,3,30,"2,646","1,426",289,120,63,134,98,179,97,80,31,129
2020,3,40,"3,885","1,909",451,208,117,210,177,264,136,162,62,189
2020,3,50,"5,868","2,327",705,400,186,398,314,462,337,275,112,352
2020,3,60,"6,055","1,976",701,467,257,541,391,586,345,323,113,355
2020,3,70,"5,285","1,425",606,466,260,520,324,519,396,320,132,317
2020,3,80,"3,485",756,484,314,133,372,250,363,287,243,106,177
2020,3,90,470,100,65,40,21,49,25,49,40,44,19,18
2020,3,100,31,11,2,2,1,6,2,3,2,2,0,0
2020,4,총,"35,054","13,910","4,237","2,383","1,172","2,567","1,845","2,855","1,888","1,684",670,"1,843"
2020,4,0,"1,885","1,072",224,79,28,69,90,119,48,52,23,81
2020,4,10,"2,597","1,413",327,133,49,135,98,136,80,90,47,89
2020,4,20,"2,899","1,535",345,158,63,130,84,186,120,100,33,145
2020,4,30,"2,633","1,421",301,117,60,130,95,175,99,79,29,127
2020,4,40,"3,868","1,884",467,208,118,206,177,266,134,160,58,190
2020,4,50,"5,826","2,308",710,401,184,399,306,456,334,270,111,347
2020,4,60,"6,061","1,978",709,466,253,543,394,583,346,325,110,354
2020,4,70,"5,258","1,417",600,466,261,520,323,515,391,319,131,315
2020,4,80,"3,522",769,484,315,133,379,251,366,294,244,109,178
2020,4,90,474,102,68,38,22,50,25,50,40,43,19,17
2020,4,100,31,11,2,2,1,6,2,3,2,2,0,0
2020,5,총,"34,977","13,830","4,267","2,375","1,161","2,569","1,836","2,855","1,892","1,686",670,"1,836"
2020,5,0,"1,873","1,057",229,78,26,69,89,118,51,53,22,81
2020,5,10,"2,582","1,394",332,131,49,133,100,137,79,91,48,88
2020,5,20,"2,877","1,529",339,156,62,131,79,188,119,97,34,143
2020,5,30,"2,609","1,393",313,115,58,131,93,171,101,81,27,126
2020,5,40,"3,846","1,872",476,207,115,204,173,264,130,159,58,188
2020,5,50,"5,815","2,306",712,401,179,396,304,456,340,269,110,342
2020,5,60,"6,058","1,976",708,465,257,547,390,579,343,327,113,353
2020,5,70,"5,253","1,410",601,462,258,520,323,521,392,317,131,318
2020,5,80,"3,547",777,485,321,134,380,257,366,294,246,107,180
2020,5,90,487,105,70,37,22,52,27,52,41,44,20,17
2020,5,100,30,11,2,2,1,6,1,3,2,2,0,0
2020,6,총,"34,913","13,781","4,317","2,361","1,154","2,549","1,833","2,853","1,884","1,684",671,"1,826"
2020,6,0,"1,863","1,044",237,77,26,66,90,119,50,54,21,79
2020,6,10,"2,576","1,383",342,129,49,132,98,136,80,89,49,89
2020,6,20,"2,868","1,525",346,153,62,128,79,187,119,99,33,137
2020,6,30,"2,579","1,371",316,114,56,125,95,172,99,78,27,126
2020,6,40,"3,847","1,873",483,205,115,205,173,264,128,158,58,185
2020,6,50,"5,774","2,302",714,397,177,390,297,440,334,272,111,340
2020,6,60,"6,080","1,974",717,464,258,549,392,586,346,327,113,354
2020,6,70,"5,271","1,414",609,466,254,518,324,525,392,318,133,318
2020,6,80,"3,541",781,483,316,133,377,257,367,295,244,106,182
2020,6,90,484,103,68,38,23,53,27,54,39,43,20,16
2020,6,100,30,11,2,2,1,6,1,3,2,2,0,0
2020,7,총,"34,858","13,769","4,329","2,348","1,151","2,548","1,820","2,840","1,882","1,680",668,"1,823"
2020,7,0,"1,854","1,041",243,74,26,60,88,116,51,53,20,82
2020,7,10,"2,572","1,381",339,124,48,144,96,134,79,91,50,86
2020,7,20,"2,882","1,536",351,151,64,131,80,184,117,99,33,136
2020,7,30,"2,551","1,355",319,112,52,120,93,171,100,77,28,124
2020,7,40,"3,832","1,875",485,199,114,201,168,264,129,155,56,186
2020,7,50,"5,750","2,289",709,401,178,384,298,437,333,273,111,337
2020,7,60,"6,084","1,970",723,467,257,551,392,584,348,326,112,354
2020,7,70,"5,281","1,425",612,459,253,522,324,528,387,318,134,319
2020,7,80,"3,533",778,480,320,132,377,255,364,296,243,105,183
2020,7,90,489,108,66,39,26,52,25,55,40,43,19,16
2020,7,100,30,11,2,2,1,6,1,3,2,2,0,0
2020,8,총,"34,809","13,780","4,319","2,340","1,151","2,546","1,810","2,826","1,880","1,676",664,"1,817"
2020,8,0,"1,826","1,027",245,72,26,60,83,114,50,52,19,78
2020,8,10,"2,548","1,373",332,122,46,143,98,131,79,90,50,84
2020,8,20,"2,907","1,557",351,150,66,130,82,181,117,98,33,142
2020,8,30,"2,533","1,344",319,113,51,120,90,174,100,75,27,120
2020,8,40,"3,816","1,890",474,199,109,200,164,254,130,153,56,187
2020,8,50,"5,732","2,277",711,399,181,382,298,433,331,275,111,334
2020,8,60,"6,110","1,981",726,468,259,555,390,592,349,325,112,353
2020,8,70,"5,261","1,430",609,455,251,522,321,526,383,313,133,318
2020,8,80,"3,551",782,484,320,134,375,258,363,298,250,104,183
2020,8,90,496,109,66,40,27,53,25,55,41,43,19,18
2020,8,100,29,10,2,2,1,6,1,3,2,2,0,0
2020,9,총,"34,749","13,756","4,317","2,337","1,155","2,544","1,805","2,820","1,875","1,674",655,"1,811"
2020,9,0,"1,809","1,019",239,70,26,63,78,116,51,51,18,78
2020,9,10,"2,539","1,370",329,124,46,140,99,133,78,89,48,83
2020,9,20,"2,895","1,550",357,145,68,129,85,175,114,99,33,140
2020,9,30,"2,510","1,331",317,111,53,121,86,174,100,74,25,118
2020,9,40,"3,809","1,900",471,197,107,202,163,247,132,149,55,186
2020,9,50,"5,703","2,253",713,400,182,378,302,436,324,274,109,332
2020,9,60,"6,136","2,003",728,473,260,556,387,593,349,327,109,351
2020,9,70,"5,250","1,423",608,451,246,516,320,525,387,316,135,323
2020,9,80,"3,555",786,482,323,138,377,257,361,297,248,104,182
2020,9,90,514,111,71,41,28,56,27,57,41,45,19,18
2020,9,100,29,10,2,2,1,6,1,3,2,2,0,0
2020,10,총,"34,724","13,774","4,324","2,318","1,160","2,532","1,807","2,804","1,865","1,671",655,"1,814"
2020,10,0,"1,801","1,029",236,69,29,57,78,110,50,49,18,76
2020,10,10,"2,541","1,371",334,121,42,140,98,131,78,89,48,89
2020,10,20,"2,895","1,551",360,142,70,131,85,173,113,98,33,139
2020,10,30,"2,490","1,330",316,110,52,116,85,167,99,73,25,117
2020,10,40,"3,796","1,891",469,190,109,205,166,246,130,148,55,187
2020,10,50,"5,694","2,253",714,399,182,373,301,437,322,272,110,331
2020,10,60,"6,156","2,021",738,468,259,556,388,593,350,328,108,347
2020,10,70,"5,237","1,419",600,451,248,517,317,522,384,318,134,327
2020,10,80,"3,574",792,487,325,140,373,260,365,296,249,105,182
2020,10,90,511,107,68,41,28,58,28,57,41,45,19,19
2020,10,100,29,10,2,2,1,6,1,3,2,2,0,0
2020,11,총,"34,670","13,760","4,313","2,314","1,152","2,522","1,805","2,803","1,865","1,674",651,"1,811"
2020,11,0,"1,785","1,025",233,69,28,52,76,109,50,48,18,77
2020,11,10,"2,523","1,366",333,119,40,139,97,130,77,87,46,89
2020,11,20,"2,883","1,544",360,140,67,130,83,176,111,101,33,138
2020,11,30,"2,476","1,322",313,111,52,112,88,168,97,74,25,114
2020,11,40,"3,792","1,893",474,186,105,206,165,245,131,147,55,185
2020,11,50,"5,673","2,248",708,401,184,375,298,430,320,272,107,330
2020,11,60,"6,178","2,028",737,469,260,556,391,597,355,328,108,349
2020,11,70,"5,245","1,419",601,452,249,516,319,521,383,322,133,330
2020,11,80,"3,572",798,488,323,137,372,258,365,298,247,106,180
2020,11,90,514,107,64,42,29,58,29,59,41,46,20,19
2020,11,100,29,10,2,2,1,6,1,3,2,2,0,0
2020,12,총,"34,597","13,722","4,328","2,316","1,157","2,514","1,797","2,796","1,847","1,669",648,"1,803"
2020,12,0,"1,775","1,023",237,67,29,51,76,107,45,49,16,75
2020,12,10,"2,520","1,361",343,118,42,140,95,129,74,85,49,84
2020,12,20,"2,865","1,538",352,142,68,126,80,178,109,100,34,138
2020,12,30,"2,461","1,313",315,110,53,113,87,161,94,74,26,115
2020,12,40,"3,773","1,872",480,189,103,205,166,250,127,147,54,180
2020,12,50,"5,649","2,244",700,400,182,368,294,428,323,271,107,332
2020,12,60,"6,198","2,036",743,469,262,555,393,600,353,330,105,352
2020,12,70,"5,233","1,419",602,452,250,517,321,517,380,315,133,327
2020,12,80,"3,566",794,489,322,138,371,256,366,297,249,104,180
2020,12,90,528,112,65,45,29,62,28,57,43,47,20,20
2020,12,100,29,10,2,2,1,6,1,3,2,2,0,0
2021,1,총,"34,568","13,667","4,381","2,311","1,154","2,503","1,796","2,797","1,849","1,664",644,"1,802"
2021,1,0,"1,739",997,241,64,28,50,74,106,43,48,14,74
2021,1,10,"2,512","1,352",353,118,40,138,95,126,71,85,48,86
2021,1,20,"2,883","1,536",365,142,69,123,79,182,114,100,37,136
2021,1,30,"2,431","1,297",328,106,51,107,85,158,90,71,24,114
2021,1,40,"3,755","1,865",479,193,100,197,163,252,128,147,51,180
2021,1,50,"5,634","2,241",702,392,184,369,293,427,322,273,104,327
2021,1,60,"6,238","2,029",752,474,263,563,399,601,360,330,108,359
2021,1,70,"5,222","1,421",606,452,247,513,322,516,376,313,131,325
2021,1,80,"3,582",805,486,319,142,373,256,366,299,248,107,181
2021,1,90,541,114,67,49,29,62,29,60,44,47,20,20
2021,1,100,31,10,2,2,1,8,1,3,2,2,0,0
2021,2,총,"34,487","13,616","4,389","2,311","1,142","2,499","1,796","2,787","1,844","1,657",639,"1,807"
2021,2,0,"1,722",979,244,65,28,51,72,101,43,50,14,75
2021,2,10,"2,503","1,344",354,121,40,139,97,126,65,83,46,88
2021,2,20,"2,849","1,528",367,139,63,120,71,182,112,96,37,134
2021,2,30,"2,388","1,272",327,105,50,105,85,151,86,72,22,113
2021,2,40,"3,765","1,878",478,194,102,192,160,248,129,149,51,184
2021,2,50,"5,616","2,219",707,387,183,373,299,431,319,268,104,326
2021,2,60,"6,262","2,048",748,476,260,565,398,605,364,329,109,360
2021,2,70,"5,215","1,419",604,452,243,513,325,514,382,313,128,322
2021,2,80,"3,590",806,489,320,142,372,258,364,300,248,107,184
2021,2,90,545,113,69,49,30,61,30,62,42,47,21,21
2021,2,100,32,10,2,3,1,8,1,3,2,2,0,0
2021,3,총,"34,327","13,527","4,392","2,312","1,134","2,490","1,785","2,792","1,840","1,627",635,"1,793"
2021,3,0,"1,695",960,249,64,25,49,69,103,41,47,14,74
2021,3,10,"2,489","1,336",349,123,43,134,95,127,66,82,46,88
2021,3,20,"2,840","1,519",367,142,64,120,73,185,111,93,37,129
2021,3,30,"2,358","1,251",330,102,50,104,83,154,85,69,22,108
2021,3,40,"3,707","1,845",473,190,98,192,160,244,126,145,49,185
2021,3,50,"5,603","2,219",708,387,183,375,297,434,312,263,104,321
2021,3,60,"6,279","2,045",756,478,258,568,398,606,373,328,107,362
2021,3,70,"5,178","1,412",601,454,240,507,321,511,378,303,129,322
2021,3,80,"3,586",813,487,318,140,370,257,363,302,249,106,181
2021,3,90,564,117,70,52,32,63,31,65,44,46,21,23
2021,3,100,28,10,2,2,1,8,1,0,2,2,0,0
2021,4,총,"34,314","13,520","4,410","2,307","1,141","2,503","1,770","2,784","1,835","1,629",628,"1,787"
2021,4,0,"1,687",950,252,64,26,51,66,101,41,47,15,74
2021,4,10,"2,471","1,330",343,119,45,141,95,124,63,81,45,85
2021,4,20,"2,842","1,529",368,142,62,120,70,185,110,94,36,126
2021,4,30,"2,351","1,233",336,102,55,106,81,158,85,67,20,108
2021,4,40,"3,699","1,846",473,189,96,195,158,240,126,145,49,182
2021,4,50,"5,593","2,215",717,390,182,377,293,430,312,261,98,318
2021,4,60,"6,321","2,057",757,477,261,568,402,612,377,333,112,365
2021,4,70,"5,151","1,416",604,450,241,499,315,503,370,303,127,323
2021,4,80,"3,602",817,486,320,140,375,258,364,305,249,104,184
2021,4,90,569,117,72,52,32,63,31,67,44,47,22,22
2021,4,100,28,10,2,2,1,8,1,0,2,2,0,0
2021,5,총,"34,275","13,486","4,418","2,287","1,136","2,508","1,776","2,786","1,833","1,624",628,"1,793"
2021,5,0,"1,682",948,250,61,25,51,67,102,41,47,15,75
2021,5,10,"2,457","1,328",337,118,44,141,95,124,60,80,45,85
2021,5,20,"2,818","1,505",375,140,64,118,69,179,112,93,36,127
2021,5,30,"2,343","1,226",337,101,53,104,80,161,83,67,19,112
2021,5,40,"3,674","1,829",470,188,97,197,160,239,124,139,50,181
2021,5,50,"5,606","2,216",721,388,181,378,291,431,317,264,99,320
2021,5,60,"6,338","2,061",764,473,260,574,408,612,375,336,112,363
2021,5,70,"5,139","1,425",605,443,239,494,313,504,366,300,126,324
2021,5,80,"3,610",817,483,322,141,378,260,367,309,250,103,180
2021,5,90,579,121,74,51,31,64,32,67,44,46,23,26
2021,5,100,29,10,2,2,1,9,1,0,2,2,0,0
2021,6,총,"34,248","13,482","4,408","2,282","1,139","2,511","1,779","2,775","1,831","1,617",625,"1,799"
2021,6,0,"1,671",941,248,60,25,52,70,99,39,47,14,76
2021,6,10,"2,452","1,329",335,117,43,140,93,126,62,79,45,83
2021,6,20,"2,809","1,505",370,142,62,116,71,171,114,91,35,132
2021,6,30,"2,329","1,205",341,100,54,107,79,161,84,66,19,113
2021,6,40,"3,649","1,821",460,182,96,193,164,242,124,139,48,180
2021,6,50,"5,591","2,213",720,384,187,378,289,423,319,262,99,317
2021,6,60,"6,376","2,079",766,481,259,574,406,618,371,341,113,368
2021,6,70,"5,133","1,435",606,441,237,493,314,504,365,292,125,321
2021,6,80,"3,630",821,485,321,144,383,259,369,309,253,103,183
2021,6,90,580,123,75,52,31,66,33,62,42,46,24,26
2021,6,100,28,10,2,2,1,9,1,0,2,1,0,0
2021,7,총,"34,194","13,438","4,423","2,277","1,144","2,508","1,779","2,772","1,817","1,621",624,"1,791"
2021,7,0,"1,646",923,252,59,26,53,69,94,37,47,14,72
2021,7,10,"2,444","1,320",338,117,44,140,92,128,62,79,44,80
2021,7,20,"2,797","1,503",365,138,61,116,69,172,112,94,35,132
2021,7,30,"2,332","1,200",345,103,54,105,81,165,81,66,19,113
2021,7,40,"3,620","1,797",464,180,96,191,162,239,124,142,46,179
2021,7,50,"5,576","2,219",717,379,183,379,286,422,317,261,101,312
2021,7,60,"6,401","2,081",776,485,265,570,412,616,369,343,112,372
2021,7,70,"5,130","1,438",600,440,237,497,316,504,363,290,125,320
2021,7,80,"3,644",824,489,324,146,382,258,370,312,250,104,185
2021,7,90,576,123,75,50,31,66,33,62,38,48,24,26
2021,7,100,28,10,2,2,1,9,1,0,2,1,0,0
2021,8,총,"34,099","13,374","4,418","2,273","1,142","2,506","1,789","2,763","1,812","1,606",618,"1,798"
2021,8,0,"1,615",899,247,59,26,52,70,94,34,47,13,74
2021,8,10,"2,435","1,325",334,119,45,134,93,126,62,74,44,79
2021,8,20,"2,766","1,486",361,134,60,116,71,172,108,92,33,133
2021,8,30,"2,321","1,195",350,101,53,106,82,162,81,64,17,110
2021,8,40,"3,602","1,780",466,181,97,188,159,240,126,137,46,182
2021,8,50,"5,559","2,214",716,374,181,374,290,418,314,264,103,311
2021,8,60,"6,422","2,082",779,488,264,582,412,615,372,344,109,375
2021,8,70,"5,108","1,437",597,435,235,497,318,502,361,283,126,317
2021,8,80,"3,659",821,489,327,148,384,259,370,315,252,104,190
2021,8,90,583,124,76,53,32,65,34,64,37,48,23,27
2021,8,100,29,11,3,2,1,8,1,0,2,1,0,0
2021,9,총,"33,961","13,317","4,398","2,260","1,137","2,492","1,778","2,752","1,809","1,610",620,"1,788"
2021,9,0,"1,585",883,243,60,24,51,69,90,34,46,13,72
2021,9,10,"2,435","1,329",333,119,44,134,89,125,62,77,44,79
2021,9,20,"2,717","1,465",358,129,56,112,68,173,107,93,34,122
2021,9,30,"2,294","1,190",341,100,54,101,78,159,81,62,17,111
2021,9,40,"3,573","1,761",464,181,95,189,157,234,126,137,48,181
2021,9,50,"5,553","2,208",713,369,183,373,292,418,316,265,102,314
2021,9,60,"6,422","2,089",777,488,261,575,411,618,371,347,108,377
2021,9,70,"5,095","1,433",596,433,235,494,320,501,359,285,126,313
2021,9,80,"3,668",824,494,326,150,388,257,370,316,248,104,191
2021,9,90,590,124,76,53,34,67,36,64,35,49,24,28
2021,9,100,29,11,3,2,1,8,1,0,2,1,0,0
2021,10,총,"33,860","13,281","4,401","2,244","1,133","2,454","1,770","2,760","1,816","1,603",620,"1,778"
2021,10,0,"1,564",873,244,56,24,50,66,90,35,43,12,71
2021,10,10,"2,424","1,329",331,116,44,130,90,120,62,77,45,80
2021,10,20,"2,711","1,462",351,131,53,111,68,181,110,92,34,118
2021,10,30,"2,270","1,171",341,98,55,98,78,159,82,62,17,109
2021,10,40,"3,560","1,754",462,182,93,182,156,243,126,134,48,180
2021,10,50,"5,538","2,202",722,363,185,363,293,413,316,268,102,311
2021,10,60,"6,422","2,094",781,489,262,572,404,617,373,346,108,376
2021,10,70,"5,091","1,442",595,430,232,493,321,502,357,283,124,312
2021,10,80,"3,676",825,494,326,151,388,258,370,318,248,105,193
2021,10,90,592,128,77,51,33,66,35,65,35,49,25,28
2021,10,100,12,1,3,2,1,1,1,0,2,1,0,0
2021,11,총,"33,793","13,274","4,397","2,234","1,128","2,434","1,768","2,759","1,823","1,602",610,"1,764"
2021,11,0,"1,544",865,242,53,24,49,66,89,33,43,11,69
2021,11,10,"2,414","1,326",333,109,44,128,88,118,68,77,43,80
2021,11,20,"2,721","1,471",352,136,51,109,66,179,111,93,35,118
2021,11,30,"2,255","1,164",340,98,56,98,79,157,79,60,17,107
2021,11,40,"3,545","1,760",460,181,93,178,156,239,124,129,47,178
2021,11,50,"5,520","2,192",719,363,182,358,288,418,320,269,100,311
2021,11,60,"6,440","2,097",785,485,263,577,406,619,378,348,107,375
2021,11,70,"5,085","1,447",595,427,231,490,324,502,356,284,122,307
2021,11,80,"3,664",821,493,328,150,382,260,372,316,250,103,189
2021,11,90,594,130,75,52,33,64,35,66,36,48,25,30
2021,11,100,11,1,3,2,1,1,0,0,2,1,0,0
2021,12,총,"33,753","13,256","4,407","2,232","1,120","2,435","1,765","2,748","1,811","1,595",620,"1,764"
2021,12,0,"1,531",863,238,54,23,51,66,85,31,42,11,67
2021,12,10,"2,404","1,324",332,107,44,124,88,116,65,74,48,82
2021,12,20,"2,705","1,453",355,137,50,109,66,180,106,95,38,116
2021,12,30,"2,237","1,152",338,98,55,98,74,159,79,57,17,110
2021,12,40,"3,546","1,771",462,182,93,170,160,233,125,126,47,177
2021,12,50,"5,512","2,185",723,369,181,365,282,412,314,267,101,313
2021,12,60,"6,461","2,102",791,480,261,578,410,620,383,353,106,377
2021,12,70,"5,056","1,453",591,422,226,489,322,502,345,281,121,304
2021,12,80,"3,692",821,501,330,153,382,260,376,325,251,105,188
2021,12,90,599,131,74,51,33,68,37,65,36,48,26,30
2021,12,100,10,1,2,2,1,1,0,0,2,1,0,0
