년도,월,나이,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020,10,100,51,14,4,11,5,3,14
2020,11,총,"62,026","11,119","11,086","10,401","11,614","9,792","8,014"
2020,11,0,"5,005",831,"1,277",624,962,676,635
2020,11,10,"6,251",994,"1,478","1,102","1,164",622,891
2020,11,20,"8,594","1,636","1,212","1,698","1,684","1,332","1,032"
2020,11,30,"8,587","1,492","1,392","1,194","1,796","1,708","1,005"
2020,11,40,"9,393","1,464","2,113","1,381","1,670","1,456","1,309"
2020,11,50,"10,898","2,084","1,738","2,064","2,071","1,588","1,353"
2020,11,60,"7,310","1,503","1,006","1,223","1,264","1,398",916
2020,11,70,"3,676",646,558,607,590,695,580
2020,11,80,"1,892",376,262,407,340,275,232
2020,11,90,367,79,46,88,68,39,47
2020,11,100,53,14,4,13,5,3,14
2020,12,총,"63,231","11,109","11,020","10,336","13,102","9,733","7,931"
2020,12,0,"5,175",819,"1,278",631,"1,168",664,615
2020,12,10,"6,319",988,"1,470","1,090","1,276",623,872
2020,12,20,"8,732","1,644","1,205","1,674","1,863","1,314","1,032"
2020,12,30,"8,787","1,486","1,389","1,199","2,039","1,690",984
2020,12,40,"9,526","1,465","2,097","1,354","1,885","1,440","1,285"
2020,12,50,"11,093","2,067","1,726","2,036","2,337","1,581","1,346"
2020,12,60,"7,524","1,525",996,"1,240","1,435","1,406",922
2020,12,70,"3,722",647,546,605,649,695,580
2020,12,80,"1,917",373,260,404,368,277,235
2020,12,90,383,82,48,90,77,40,46
2020,12,100,53,13,5,13,5,3,14
2021,1,총,"64,549","11,100","11,182","10,310","14,416","9,647","7,894"
2021,1,0,"5,377",831,"1,287",629,"1,372",657,601
2021,1,10,"6,435",986,"1,505","1,080","1,392",611,861
2021,1,20,"8,825","1,621","1,219","1,664","1,991","1,294","1,036"
2021,1,30,"8,987","1,485","1,389","1,197","2,266","1,680",970
2021,1,40,"9,758","1,456","2,141","1,354","2,094","1,429","1,284"
2021,1,50,"11,280","2,067","1,743","2,024","2,547","1,563","1,336"
2021,1,60,"7,714","1,544","1,020","1,249","1,578","1,398",925
2021,1,70,"3,789",646,552,603,706,697,585
2021,1,80,"1,940",369,273,407,382,275,234
2021,1,90,391,82,48,90,83,40,48
2021,1,100,53,13,5,13,5,3,14
2021,2,총,"67,279","11,053","13,419","10,606","14,850","9,563","7,788"
2021,2,0,"5,811",815,"1,643",692,"1,454",642,565
2021,2,10,"6,691",995,"1,716","1,117","1,416",597,850
2021,2,20,"9,055","1,601","1,474","1,655","2,008","1,294","1,023"
2021,2,30,"9,413","1,473","1,746","1,259","2,342","1,646",947
2021,2,40,"10,228","1,463","2,505","1,415","2,176","1,417","1,252"
2021,2,50,"11,707","2,055","2,111","2,040","2,603","1,556","1,342"
2021,2,60,"8,055","1,533","1,251","1,308","1,640","1,396",927
2021,2,70,"3,883",653,618,604,730,693,585
2021,2,80,"1,992",370,303,413,390,281,235
2021,2,90,390,82,47,90,86,38,47
2021,2,100,54,13,5,13,5,3,15
2021,3,총,"68,399","10,983","14,498","10,790","14,957","9,451","7,720"
2021,3,0,"5,890",813,"1,722",711,"1,474",626,544
2021,3,10,"6,722",984,"1,777","1,123","1,412",581,845
2021,3,20,"9,201","1,579","1,637","1,671","2,010","1,291","1,013"
2021,3,30,"9,604","1,448","1,920","1,302","2,383","1,607",944
2021,3,40,"10,330","1,450","2,650","1,436","2,158","1,405","1,231"
2021,3,50,"11,918","2,041","2,321","2,061","2,613","1,541","1,341"
2021,3,60,"8,349","1,544","1,422","1,366","1,686","1,398",933
2021,3,70,"3,931",659,668,610,736,684,574
2021,3,80,"2,022",374,326,415,391,278,238
2021,3,90,395,78,51,89,91,40,46
2021,3,100,37,13,4,6,3,0,11
2021,4,총,"68,955","10,999","14,962","10,866","15,032","9,404","7,692"
2021,4,0,"5,934",807,"1,762",713,"1,494",621,537
2021,4,10,"6,736",993,"1,801","1,123","1,403",579,837
2021,4,20,"9,278","1,577","1,704","1,679","2,010","1,290","1,018"
2021,4,30,"9,691","1,433","2,009","1,308","2,408","1,598",935
2021,4,40,"10,388","1,450","2,696","1,441","2,182","1,395","1,224"
2021,4,50,"12,021","2,057","2,398","2,076","2,622","1,528","1,340"
2021,4,60,"8,464","1,552","1,506","1,389","1,684","1,398",935
2021,4,70,"3,967",661,699,621,739,677,570
2021,4,80,"2,044",378,330,421,399,277,239
2021,4,90,395,78,53,89,88,41,46
2021,4,100,37,13,4,6,3,0,11
2021,5,총,"69,027","10,947","15,214","10,816","15,070","9,340","7,640"
2021,5,0,"5,964",811,"1,784",709,"1,507",620,533
2021,5,10,"6,747",988,"1,827","1,117","1,410",575,830
2021,5,20,"9,301","1,557","1,756","1,667","2,028","1,272","1,021"
2021,5,30,"9,701","1,416","2,037","1,312","2,413","1,589",934
2021,5,40,"10,378","1,453","2,730","1,429","2,184","1,371","1,211"
2021,5,50,"12,054","2,048","2,459","2,072","2,622","1,526","1,327"
2021,5,60,"8,510","1,561","1,531","1,387","1,695","1,399",937
2021,5,70,"3,941",656,704,616,728,673,564
2021,5,80,"2,037",379,336,417,393,275,237
2021,5,90,381,73,50,86,88,40,44
2021,5,100,13,5,0,4,2,0,2
2021,6,총,"69,276","10,939","15,406","10,869","15,106","9,325","7,631"
2021,6,0,"6,003",819,"1,796",718,"1,512",622,536
2021,6,10,"6,752",977,"1,848","1,110","1,407",582,828
2021,6,20,"9,304","1,551","1,775","1,664","2,030","1,267","1,017"
2021,6,30,"9,757","1,417","2,077","1,338","2,408","1,576",941
2021,6,40,"10,410","1,439","2,777","1,429","2,187","1,371","1,207"
2021,6,50,"12,070","2,047","2,471","2,086","2,636","1,513","1,317"
2021,6,60,"8,615","1,587","1,563","1,401","1,711","1,414",939
2021,6,70,"3,934",648,702,623,732,667,562
2021,6,80,"2,037",378,345,411,392,273,238
2021,6,90,382,72,52,85,89,40,44
2021,6,100,12,4,0,4,2,0,2
2021,7,총,"69,509","10,960","15,553","10,934","15,165","9,304","7,593"
2021,7,0,"6,042",826,"1,804",735,"1,527",614,536
2021,7,10,"6,778",973,"1,871","1,123","1,404",579,828
2021,7,20,"9,303","1,559","1,776","1,670","2,026","1,261","1,011"
2021,7,30,"9,786","1,413","2,093","1,343","2,431","1,572",934
2021,7,40,"10,457","1,443","2,815","1,446","2,187","1,361","1,205"
2021,7,50,"12,090","2,056","2,496","2,092","2,624","1,512","1,310"
2021,7,60,"8,676","1,589","1,590","1,410","1,745","1,424",918
2021,7,70,"3,952",647,706,621,743,666,569
2021,7,80,"2,035",378,349,409,388,274,237
2021,7,90,379,72,53,82,88,41,43
2021,7,100,11,4,0,3,2,0,2
2021,8,총,"69,640","10,980","15,606","10,964","15,174","9,313","7,603"
2021,8,0,"6,050",822,"1,810",748,"1,526",614,530
2021,8,10,"6,761",977,"1,859","1,121","1,396",582,826
2021,8,20,"9,330","1,562","1,796","1,661","2,025","1,260","1,026"
2021,8,30,"9,821","1,410","2,097","1,347","2,452","1,580",935
2021,8,40,"10,421","1,441","2,797","1,441","2,194","1,352","1,196"
2021,8,50,"12,133","2,060","2,522","2,105","2,608","1,520","1,318"
2021,8,60,"8,722","1,601","1,611","1,424","1,745","1,424",917
2021,8,70,"3,953",650,710,617,743,663,570
2021,8,80,"2,054",376,350,415,399,275,239
2021,8,90,384,77,54,82,84,43,44
2021,8,100,11,4,0,3,2,0,2
2021,9,총,"69,732","10,956","15,673","10,998","15,200","9,308","7,597"
2021,9,0,"6,025",808,"1,811",746,"1,526",604,530
2021,9,10,"6,762",975,"1,866","1,119","1,395",579,828
2021,9,20,"9,319","1,552","1,803","1,665","2,020","1,251","1,028"
2021,9,30,"9,880","1,415","2,099","1,365","2,470","1,596",935
2021,9,40,"10,414","1,426","2,823","1,449","2,195","1,335","1,186"
2021,9,50,"12,159","2,055","2,535","2,108","2,609","1,528","1,324"
2021,9,60,"8,757","1,609","1,619","1,431","1,756","1,432",910
2021,9,70,"3,961",654,712,611,751,665,568
2021,9,80,"2,062",382,351,419,394,276,240
2021,9,90,382,76,54,82,82,42,46
2021,9,100,11,4,0,3,2,0,2
2021,10,총,"69,910","10,985","15,739","11,036","15,215","9,306","7,629"
2021,10,0,"6,027",813,"1,818",745,"1,523",603,525
2021,10,10,"6,744",964,"1,878","1,111","1,389",578,824
2021,10,20,"9,349","1,562","1,802","1,666","2,029","1,237","1,053"
2021,10,30,"9,960","1,425","2,120","1,395","2,473","1,603",944
2021,10,40,"10,437","1,423","2,838","1,460","2,191","1,343","1,182"
2021,10,50,"12,166","2,058","2,536","2,105","2,617","1,523","1,327"
2021,10,60,"8,798","1,620","1,635","1,435","1,761","1,434",913
2021,10,70,"3,968",656,700,617,757,666,572
2021,10,80,"2,067",382,359,416,390,278,242
2021,10,90,384,78,53,84,83,41,45
2021,10,100,10,4,0,2,2,0,2
2021,11,총,"71,234","10,926","16,158","12,168","15,126","9,288","7,568"
2021,11,0,"6,199",816,"1,871",869,"1,514",606,523
2021,11,10,"6,829",950,"1,934","1,200","1,365",582,798
2021,11,20,"9,499","1,531","1,864","1,818","2,020","1,226","1,040"
2021,11,30,"10,261","1,424","2,198","1,605","2,475","1,601",958
2021,11,40,"10,611","1,417","2,891","1,633","2,176","1,337","1,157"
2021,11,50,"12,349","2,039","2,613","2,277","2,597","1,513","1,310"
2021,11,60,"8,993","1,627","1,645","1,602","1,761","1,433",925
2021,11,70,"3,997",651,716,652,740,671,567
2021,11,80,"2,096",385,368,426,394,279,244
2021,11,90,390,82,58,84,82,40,44
2021,11,100,10,4,0,2,2,0,2
2021,12,총,"73,345","10,925","16,891","13,842","15,002","9,212","7,473"
2021,12,0,"6,488",825,"2,010","1,066","1,495",579,513
2021,12,10,"7,014",948,"2,032","1,351","1,345",578,760
2021,12,20,"9,710","1,526","1,953","1,988","1,988","1,215","1,040"
2021,12,30,"10,669","1,429","2,340","1,880","2,474","1,586",960
2021,12,40,"10,892","1,413","2,999","1,891","2,146","1,321","1,122"
2021,12,50,"12,677","2,032","2,718","2,544","2,566","1,507","1,310"
2021,12,60,"9,288","1,634","1,674","1,870","1,758","1,435",917
2021,12,70,"4,086",649,733,722,750,672,560
2021,12,80,"2,115",384,373,440,395,278,245
2021,12,90,394,80,58,88,83,41,44
2021,12,100,12,5,1,2,2,0,2
