년도,월,나이,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020,2,20,"3,108",325,15,550,11,9,130,19,252,152,224,200,8,235,74,14,53,28,129,139,98,217,18,65,143
2020,2,30,"3,017",291,13,489,23,16,110,24,238,141,257,197,12,210,49,14,68,27,125,146,128,196,34,67,142
2020,2,40,"4,557",496,25,673,22,21,194,39,423,211,426,284,33,326,80,32,90,46,212,215,165,233,32,90,189
2020,2,50,"7,327",804,56,"1,148",49,36,295,72,605,439,662,406,61,460,90,46,111,59,321,304,250,480,53,146,374
2020,2,60,"7,499",830,53,"1,195",63,45,241,72,558,441,683,434,45,395,66,46,75,73,340,271,322,549,63,222,417
2020,2,70,"6,511",745,40,809,54,59,304,66,501,437,630,443,30,337,44,24,45,40,290,211,313,478,48,218,345
2020,2,80,"3,800",422,37,466,19,23,152,23,229,243,328,292,16,202,22,22,28,21,187,124,183,343,24,135,259
2020,2,90,437,46,3,67,1,1,14,1,17,22,48,26,2,38,0,3,0,5,13,9,19,54,4,15,29
2020,2,100,17,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,3,2,1,0,0,0
2020,3,총,"39,906","4,365",255,"5,944",254,227,"1,540",328,"3,249","2,281","3,602","2,600",221,"2,380",454,226,534,336,"1,793","1,593","1,612","2,755",291,"1,004","2,062"
2020,3,0,"1,686",164,5,241,9,9,52,5,188,95,146,131,9,73,11,10,33,13,81,77,78,122,9,21,104
2020,3,10,"2,095",237,8,300,4,6,58,14,225,101,221,218,5,122,21,15,33,22,106,103,64,101,8,31,72
2020,3,20,"3,082",332,16,552,11,9,131,19,254,149,220,193,6,231,74,14,52,29,124,137,100,213,18,61,137
2020,3,30,"2,976",289,13,481,22,17,104,23,240,140,252,190,13,201,48,14,71,28,122,142,124,199,34,65,144
2020,3,40,"4,503",490,23,669,21,20,194,35,418,212,422,280,31,320,83,32,89,48,209,211,163,227,32,88,186
2020,3,50,"7,292",808,57,"1,142",49,36,290,71,610,441,656,403,62,457,89,46,108,59,322,302,247,467,53,149,368
2020,3,60,"7,484",827,53,"1,205",63,47,239,71,556,439,679,429,45,394,62,46,76,70,337,272,323,550,63,221,417
2020,3,70,"6,479",744,38,807,54,59,301,67,505,436,624,435,31,330,44,24,45,43,289,212,306,476,47,219,343
2020,3,80,"3,840",421,39,475,20,23,157,22,235,246,333,294,16,209,22,22,27,19,189,124,185,341,24,134,263
2020,3,90,452,52,3,68,1,1,13,1,18,22,49,27,2,39,0,3,0,5,14,10,20,58,3,15,28
2020,3,100,17,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,3,2,1,0,0,0
2020,4,총,"39,745","4,351",253,"5,929",253,225,"1,522",328,"3,232","2,276","3,591","2,580",219,"2,383",459,224,526,333,"1,788","1,584","1,601","2,746",289,"1,003","2,050"
2020,4,0,"1,675",158,5,238,9,10,51,6,190,96,146,125,9,72,11,10,34,14,82,78,77,122,8,22,102
2020,4,10,"2,096",237,8,299,4,6,56,13,221,104,217,218,5,129,23,15,31,22,106,103,65,102,9,31,72
2020,4,20,"3,034",331,16,542,10,7,125,20,251,140,220,185,6,232,79,14,48,29,129,133,97,207,18,59,136
2020,4,30,"2,938",283,13,473,22,16,104,23,236,146,248,189,12,202,48,14,69,28,119,139,121,199,35,62,137
2020,4,40,"4,476",491,22,663,21,20,193,37,418,211,422,275,31,320,82,30,89,48,204,210,158,226,30,89,186
2020,4,50,"7,226",800,54,"1,140",48,36,281,69,602,433,649,404,60,453,89,47,106,57,323,304,248,465,50,147,361
2020,4,60,"7,508",828,54,"1,213",63,47,240,71,559,444,683,429,47,393,62,45,76,70,333,270,323,549,66,221,422
2020,4,70,"6,441",741,39,806,55,59,301,63,505,430,622,430,30,327,43,24,46,42,284,207,305,477,45,223,337
2020,4,80,"3,870",427,39,480,20,23,156,25,232,251,333,298,16,210,22,22,27,18,194,127,184,340,25,133,268
2020,4,90,464,54,3,71,1,1,14,1,18,21,51,27,2,41,0,3,0,5,14,10,21,58,3,16,29
2020,4,100,17,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,3,2,1,0,0,0
2020,5,총,"39,642","4,331",252,"5,900",251,225,"1,529",328,"3,228","2,276","3,578","2,572",218,"2,371",458,224,527,334,"1,786","1,585","1,602","2,731",288,996,"2,052"
2020,5,0,"1,669",158,5,237,9,10,52,6,190,95,145,122,9,73,11,10,35,12,81,79,77,123,8,22,100
2020,5,10,"2,070",234,8,286,4,6,55,13,217,102,216,217,5,127,23,15,31,23,106,104,63,99,8,32,76
2020,5,20,"3,005",322,15,542,8,7,124,20,249,142,223,185,6,224,79,14,49,31,123,134,95,204,18,57,134
2020,5,30,"2,908",283,13,464,21,16,106,23,233,144,244,185,12,204,49,14,67,27,123,135,120,191,35,61,138
2020,5,40,"4,459",482,22,662,22,20,194,37,426,213,421,274,31,313,78,29,91,47,205,209,157,225,30,86,185
2020,5,50,"7,200",793,54,"1,129",46,35,285,69,591,435,642,402,59,457,90,48,107,59,322,307,251,459,48,147,365
2020,5,60,"7,530",836,55,"1,219",63,48,240,70,563,441,679,438,46,395,63,45,75,69,332,269,325,545,68,221,425
2020,5,70,"6,429",736,38,803,56,58,301,64,508,431,622,427,31,323,43,24,44,43,285,207,305,480,44,220,336
2020,5,80,"3,887",432,39,482,21,24,154,25,232,252,337,297,16,211,22,22,28,18,192,128,185,345,26,135,264
2020,5,90,469,54,3,72,1,1,17,1,19,21,49,25,2,40,0,3,0,5,17,11,22,59,3,15,29
2020,5,100,16,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,2,2,1,0,0,0
2020,6,총,"39,582","4,314",250,"5,896",250,223,"1,527",333,"3,212","2,277","3,576","2,573",217,"2,364",459,223,521,334,"1,777","1,590","1,601","2,735",288,999,"2,043"
2020,6,0,"1,676",159,5,238,9,9,56,6,191,96,142,122,9,72,13,9,36,12,79,79,79,125,9,22,99
2020,6,10,"2,051",232,8,279,4,7,54,13,216,99,216,220,5,124,22,16,30,22,105,103,63,98,7,34,74
2020,6,20,"2,962",311,15,540,8,5,119,21,241,143,221,181,6,219,80,14,49,31,122,135,92,205,19,54,131
2020,6,30,"2,890",280,13,461,20,16,106,23,233,141,245,183,12,202,48,14,65,27,123,137,119,190,35,62,135
2020,6,40,"4,450",479,19,661,23,22,194,37,419,222,419,276,32,316,77,28,87,45,201,213,156,221,31,87,185
2020,6,50,"7,170",792,56,"1,121",44,34,286,73,589,434,633,399,57,456,91,48,109,62,319,300,250,466,46,142,363
2020,6,60,"7,579",834,55,"1,230",64,49,241,71,565,442,692,441,46,394,64,43,73,70,332,277,329,546,68,228,425
2020,6,70,"6,433",741,38,807,56,56,299,63,508,430,623,429,30,325,40,26,44,42,287,205,302,481,44,219,338
2020,6,80,"3,893",433,39,480,21,24,156,25,232,250,336,296,17,213,23,22,28,17,193,127,187,345,26,136,267
2020,6,90,462,52,2,75,1,1,15,1,18,20,49,26,2,39,1,3,0,6,16,12,22,57,3,15,26
2020,6,100,16,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,2,2,1,0,0,0
2020,7,총,"39,490","4,299",247,"5,876",248,223,"1,535",332,"3,197","2,267","3,577","2,562",220,"2,361",460,225,520,333,"1,775","1,591","1,591","2,733",284,996,"2,038"
2020,7,0,"1,660",159,5,242,9,9,59,6,182,92,138,119,9,71,12,9,34,12,78,79,79,126,10,21,100
2020,7,10,"2,048",234,7,280,3,7,53,13,216,97,219,219,5,123,23,16,32,23,106,99,63,98,7,34,71
2020,7,20,"2,912",302,14,527,9,5,117,21,237,142,215,174,6,217,80,16,48,31,120,138,89,203,19,53,129
2020,7,30,"2,871",279,15,448,18,16,108,22,228,141,249,181,13,202,47,14,65,26,121,137,120,189,34,63,135
2020,7,40,"4,429",474,17,656,23,22,193,38,414,220,419,281,33,318,77,27,87,45,202,214,154,219,28,86,182
2020,7,50,"7,154",785,55,"1,122",42,33,295,72,593,430,634,394,57,457,87,49,107,62,319,298,247,464,46,145,361
2020,7,60,"7,585",829,54,"1,227",65,49,239,71,563,448,694,443,46,392,69,43,75,70,331,280,331,551,67,223,425
2020,7,70,"6,439",744,39,815,57,56,298,62,509,429,619,427,30,326,40,26,43,40,288,206,298,482,44,220,341
2020,7,80,"3,917",438,39,484,20,25,157,26,237,248,341,297,18,213,24,22,29,18,193,126,187,343,26,138,268
2020,7,90,459,54,2,71,2,1,15,1,18,20,49,27,2,38,1,3,0,6,17,12,21,57,3,13,26
2020,7,100,16,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,2,2,1,0,0,0
2020,8,총,"39,386","4,279",246,"5,861",245,221,"1,521",329,"3,198","2,274","3,578","2,549",221,"2,363",459,224,514,331,"1,774","1,579","1,585","2,727",282,986,"2,040"
2020,8,0,"1,640",155,5,234,9,9,54,6,182,93,140,117,9,74,12,9,33,12,78,78,77,125,10,21,98
2020,8,10,"2,043",231,6,284,3,6,51,13,217,98,221,216,5,123,22,16,34,23,105,99,64,97,7,33,69
2020,8,20,"2,891",303,14,525,9,6,119,20,233,141,212,174,7,216,74,16,47,29,121,136,86,201,19,54,129
2020,8,30,"2,823",273,15,441,18,16,102,20,228,145,240,177,13,204,49,14,63,27,120,131,115,182,32,62,136
2020,8,40,"4,400",463,17,653,23,22,191,39,413,219,420,280,33,313,81,24,86,43,196,217,158,220,26,82,181
2020,8,50,"7,140",783,55,"1,121",40,31,294,72,586,437,634,387,59,461,87,51,104,62,320,290,244,464,47,146,365
2020,8,60,"7,609",832,54,"1,233",65,49,239,71,569,444,696,448,45,388,69,43,76,71,332,281,332,556,67,222,427
2020,8,70,"6,424",737,39,811,56,56,293,62,512,428,623,423,30,330,40,26,43,40,288,208,297,479,45,218,340
2020,8,80,"3,933",445,39,484,20,25,162,25,240,249,343,298,17,211,24,22,28,18,196,125,189,345,25,135,268
2020,8,90,466,56,2,71,2,1,15,1,18,20,49,29,2,38,1,3,0,6,18,12,21,57,4,13,27
2020,8,100,17,1,0,4,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,2,2,1,0,0,0
2020,9,총,"39,271","4,267",242,"5,847",245,224,"1,503",327,"3,168","2,281","3,566","2,544",219,"2,348",450,230,519,327,"1,780","1,575","1,583","2,728",280,987,"2,031"
2020,9,0,"1,626",155,5,233,9,11,48,6,176,91,141,114,9,71,11,11,35,12,79,78,78,125,10,20,98
2020,9,10,"2,049",225,6,284,5,6,50,14,219,99,218,215,5,124,23,17,34,23,106,102,64,97,7,34,72
2020,9,20,"2,839",291,14,516,9,6,114,20,227,143,213,173,7,210,70,16,50,30,121,131,84,198,18,52,126
2020,9,30,"2,790",273,15,445,17,15,97,20,219,141,235,177,13,201,48,14,62,27,121,131,114,180,33,61,131
2020,9,40,"4,388",461,16,650,22,23,189,37,411,218,418,276,33,311,75,28,90,43,195,219,161,227,25,80,180
2020,9,50,"7,099",781,55,"1,116",40,32,295,70,575,437,628,383,58,453,88,51,103,62,322,286,240,463,47,148,366
2020,9,60,"7,622",837,51,"1,228",64,49,241,72,575,450,699,456,44,390,70,43,72,66,330,281,333,554,67,226,424
2020,9,70,"6,415",738,39,816,56,54,291,62,506,429,624,422,30,329,40,25,44,41,287,208,296,476,45,219,338
2020,9,80,"3,944",447,39,482,21,27,163,25,242,250,342,298,17,213,24,22,29,17,200,124,189,349,24,132,268
2020,9,90,483,58,2,73,2,1,15,1,18,23,48,30,2,41,1,3,0,6,19,13,22,58,4,15,28
2020,9,100,16,1,0,4,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,2,1,0,0,0
2020,10,총,"39,161","4,260",243,"5,835",245,225,"1,493",324,"3,160","2,273","3,564","2,538",215,"2,353",449,227,515,324,"1,770","1,574","1,575","2,713",276,978,"2,032"
2020,10,0,"1,591",151,5,222,10,13,47,6,173,83,142,110,9,75,12,11,33,12,77,76,76,121,9,21,97
2020,10,10,"2,046",227,5,283,5,6,50,12,220,99,214,219,5,125,23,16,34,21,105,101,66,98,7,32,73
2020,10,20,"2,817",288,15,515,8,6,111,22,228,142,216,172,7,207,66,16,50,31,118,133,82,195,16,47,126
2020,10,30,"2,745",270,15,433,17,14,94,19,215,141,232,173,12,202,51,14,58,27,119,127,112,175,33,62,130
2020,10,40,"4,358",461,16,651,22,22,188,38,404,215,415,278,32,310,73,28,92,42,195,222,156,223,23,77,175
2020,10,50,"7,083",775,55,"1,114",40,33,295,68,573,436,630,376,58,454,89,49,104,62,317,283,242,459,48,149,374
2020,10,60,"7,647",845,50,"1,241",64,49,237,71,579,456,696,460,42,392,70,42,71,65,332,284,334,555,68,223,421
2020,10,70,"6,429",737,41,818,56,53,293,62,509,429,628,421,30,328,40,25,43,42,288,209,294,479,45,219,340
2020,10,80,"3,943",446,39,482,21,28,162,25,241,248,343,299,17,215,24,23,30,17,198,124,189,347,24,133,268
2020,10,90,484,59,2,72,2,1,16,1,18,23,48,29,2,40,1,3,0,5,21,13,22,60,3,15,28
2020,10,100,18,1,0,4,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,2,2,1,0,0,0
2020,11,총,"39,009","4,241",242,"5,821",244,224,"1,484",320,"3,145","2,264","3,552","2,524",217,"2,335",448,223,516,321,"1,774","1,560","1,568","2,705",275,976,"2,030"
2020,11,0,"1,563",145,5,213,10,13,47,6,174,81,142,109,9,75,12,11,34,12,76,71,73,120,10,19,96
2020,11,10,"2,040",227,5,285,5,6,48,12,219,99,214,217,5,123,22,14,34,20,108,102,66,97,7,32,73
2020,11,20,"2,795",282,15,516,9,6,104,22,222,141,215,170,7,207,67,16,51,31,119,131,84,196,15,45,124
2020,11,30,"2,701",266,16,424,17,12,97,19,210,142,225,165,11,198,51,13,57,25,119,123,110,175,34,62,130
2020,11,40,"4,351",459,14,647,22,22,188,38,404,214,414,276,32,308,74,27,91,43,198,222,153,224,23,80,178
2020,11,50,"7,045",772,55,"1,116",39,34,293,66,566,427,629,378,60,447,88,49,107,61,317,281,243,457,47,147,366
2020,11,60,"7,641",845,51,"1,244",63,48,236,72,586,453,693,461,43,394,70,42,69,65,330,283,335,544,68,221,425
2020,11,70,"6,428",743,41,819,56,54,292,59,507,432,629,416,30,325,39,25,43,42,289,205,295,481,44,220,342
2020,11,80,"3,942",439,39,483,21,28,163,25,239,251,345,302,17,213,24,23,30,17,196,125,187,350,24,134,267
2020,11,90,485,62,1,70,2,1,16,1,18,23,46,29,2,40,1,3,0,5,22,15,20,60,3,16,29
2020,11,100,18,1,0,4,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,2,2,1,0,0,0
2020,12,총,"38,938","4,222",242,"5,813",242,224,"1,480",316,"3,149","2,253","3,553","2,520",221,"2,314",475,226,502,322,"1,770","1,544","1,565","2,713",275,974,"2,023"
2020,12,0,"1,560",144,5,218,9,13,43,6,175,81,141,105,9,73,13,14,31,12,78,70,72,121,11,19,97
2020,12,10,"2,040",226,5,283,5,6,49,11,221,98,212,221,5,121,30,14,30,19,108,99,67,98,8,31,73
2020,12,20,"2,779",280,13,511,9,6,105,21,226,139,215,165,7,206,67,16,52,32,117,130,84,195,16,45,122
2020,12,30,"2,682",265,16,416,16,11,97,18,212,139,226,166,13,191,54,12,53,25,119,119,109,179,33,63,130
2020,12,40,"4,324",452,15,647,22,21,186,37,399,209,419,274,32,302,80,28,93,42,195,218,156,221,25,79,172
2020,12,50,"7,042",768,55,"1,112",39,36,296,66,566,431,630,384,60,444,95,45,102,63,314,282,238,459,47,144,366
2020,12,60,"7,641",846,52,"1,242",63,47,234,72,585,450,693,458,45,395,71,46,69,65,336,280,335,549,64,222,422
2020,12,70,"6,406",738,41,821,55,55,291,58,507,429,626,417,30,322,40,25,42,42,287,205,292,477,43,219,344
2020,12,80,"3,950",439,39,488,22,27,162,26,240,253,344,299,17,214,24,23,30,17,194,124,188,353,25,135,267
2020,12,90,496,63,1,71,2,2,17,1,18,23,47,30,2,41,1,3,0,5,22,15,22,60,3,17,30
2020,12,100,18,1,0,4,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,2,2,1,0,0,0
2021,1,총,"38,768","4,197",240,"5,785",243,225,"1,468",315,"3,148","2,250","3,546","2,501",221,"2,297",475,228,490,323,"1,764","1,544","1,547","2,700",273,966,"2,022"
2021,1,0,"1,529",132,5,221,10,13,45,6,172,81,137,104,9,70,13,15,27,11,77,70,72,117,11,19,92
2021,1,10,"2,038",226,6,286,6,6,47,11,221,97,214,218,5,123,28,14,30,20,107,101,63,99,8,30,72
2021,1,20,"2,755",281,13,503,9,6,100,21,227,135,214,163,8,203,64,17,47,33,119,133,81,195,16,46,121
2021,1,30,"2,658",256,16,414,15,11,92,18,213,136,228,166,13,190,57,14,50,25,120,121,104,178,31,63,127
2021,1,40,"4,273",441,15,635,22,20,192,35,398,209,410,267,31,295,83,27,89,41,196,213,158,215,25,80,176
2021,1,50,"7,010",770,54,"1,103",38,36,287,68,561,431,637,382,61,438,96,45,106,63,312,281,234,453,46,143,365
2021,1,60,"7,641",850,51,"1,238",64,48,234,71,590,452,690,456,45,392,70,45,69,66,332,283,335,552,63,218,427
2021,1,70,"6,372",734,41,824,55,56,289,58,504,426,627,411,30,324,39,25,41,41,284,198,289,477,45,214,340
2021,1,80,"3,970",442,37,482,22,27,165,26,244,258,341,305,16,215,24,23,31,18,194,127,189,352,25,135,272
2021,1,90,505,64,2,76,2,2,17,1,18,24,48,28,2,42,1,3,0,5,23,15,20,61,3,18,30
2021,1,100,17,1,0,3,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,2,2,1,0,0,0
2021,2,총,"38,907","4,226",243,"5,795",247,227,"1,463",309,"3,182","2,265","3,555","2,513",221,"2,300",465,223,483,322,"1,764","1,551","1,561","2,700",275,974,"2,043"
2021,2,0,"1,539",136,5,217,9,13,40,7,175,78,145,103,9,72,13,15,24,11,74,71,75,117,11,23,96
2021,2,10,"2,034",230,6,295,6,6,46,10,226,101,207,211,5,117,24,14,29,20,110,103,62,96,8,31,71
2021,2,20,"2,729",275,13,488,8,7,98,19,229,136,213,168,8,206,59,16,44,32,120,129,84,194,17,45,121
2021,2,30,"2,689",256,16,417,19,11,89,17,215,137,234,174,13,190,60,14,53,26,116,122,109,176,32,64,129
2021,2,40,"4,327",448,16,641,23,21,189,34,406,213,410,267,31,303,81,26,87,42,196,213,165,221,25,86,183
2021,2,50,"7,028",770,52,"1,100",37,35,294,67,575,426,631,388,61,432,97,44,107,64,312,283,236,458,46,141,372
2021,2,60,"7,667",866,54,"1,239",65,49,236,69,589,464,701,458,45,389,67,45,68,64,329,285,330,551,63,216,425
2021,2,70,"6,356",725,41,838,56,55,282,57,503,420,620,408,30,328,40,24,40,40,286,200,286,476,45,212,344
2021,2,80,"4,008",454,38,482,22,28,171,28,247,264,345,307,16,214,23,22,31,18,196,128,191,352,25,137,269
2021,2,90,513,65,2,75,2,2,18,1,17,25,49,28,2,44,1,3,0,5,25,15,21,58,3,19,33
2021,2,100,17,1,0,3,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,2,2,1,0,0,0
2021,3,총,"38,719","4,206",243,"5,757",236,231,"1,470",310,"3,198","2,272","3,530","2,511",217,"2,246",448,218,486,320,"1,739","1,533","1,559","2,694",277,975,"2,043"
2021,3,0,"1,540",142,5,210,8,15,42,7,172,77,148,106,8,75,11,14,27,11,71,70,78,113,12,22,96
2021,3,10,"2,016",227,6,295,4,6,44,9,230,102,201,207,6,117,23,15,28,20,103,105,62,96,8,31,71
2021,3,20,"2,706",268,13,480,9,7,101,19,228,140,215,169,8,198,53,16,44,31,116,132,83,192,18,45,121
2021,3,30,"2,653",250,15,410,17,12,90,16,212,135,232,175,13,185,56,14,53,27,117,119,106,177,30,64,128
2021,3,40,"4,288",444,17,629,20,22,186,36,410,214,406,262,28,302,80,25,87,42,192,208,162,225,26,87,178
2021,3,50,"6,955",747,52,"1,094",34,34,293,67,577,429,622,389,61,429,94,43,108,62,306,272,236,449,46,140,371
2021,3,60,"7,710",882,54,"1,250",65,50,245,68,598,470,698,458,46,370,68,44,68,64,329,285,336,553,64,216,429
2021,3,70,"6,302",723,41,821,54,55,275,57,503,415,616,408,30,315,40,23,40,40,286,200,278,479,44,213,346
2021,3,80,"4,032",461,38,495,23,28,176,30,249,267,344,307,15,208,23,22,30,17,196,126,193,350,26,137,271
2021,3,90,506,62,2,72,2,2,18,1,19,22,48,29,2,44,0,2,1,6,23,14,23,59,3,20,32
2021,3,100,11,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,2,2,1,0,0,0
2021,4,총,"38,741","4,218",242,"5,762",235,225,"1,468",313,"3,206","2,276","3,517","2,499",217,"2,240",451,218,483,320,"1,741","1,543","1,567","2,693",281,984,"2,042"
2021,4,0,"1,532",145,5,214,8,15,41,8,166,73,145,105,8,77,11,12,23,10,70,71,79,114,12,23,97
2021,4,10,"2,013",228,6,290,4,5,45,10,234,102,200,204,6,117,21,17,26,21,103,102,66,95,8,31,72
2021,4,20,"2,698",271,13,473,9,7,98,19,226,139,212,166,8,194,56,17,46,31,116,134,82,193,19,49,120
2021,4,30,"2,640",249,15,418,17,13,88,17,215,133,228,171,14,182,53,15,52,24,117,121,105,174,31,64,124
2021,4,40,"4,286",442,17,628,21,21,186,36,413,215,402,266,28,301,81,25,87,42,193,210,160,222,27,84,179
2021,4,50,"6,948",750,49,"1,088",34,33,291,68,575,433,620,384,61,424,97,42,108,64,310,270,239,449,44,144,371
2021,4,60,"7,754",889,55,"1,262",62,47,247,67,604,480,700,461,44,373,69,44,70,63,326,288,334,552,66,218,433
2021,4,70,"6,291",715,42,822,54,55,274,58,503,408,610,405,31,319,39,23,40,40,288,204,281,480,44,212,344
2021,4,80,"4,060",468,38,493,24,27,180,29,251,269,349,308,15,206,23,22,30,19,195,126,197,354,27,138,272
2021,4,90,508,61,2,73,2,2,18,1,19,23,51,28,2,44,1,1,1,6,23,15,22,59,3,21,30
2021,4,100,11,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,2,2,1,0,0,0
2021,5,총,"38,724","4,225",241,"5,756",232,224,"1,457",317,"3,213","2,283","3,520","2,496",217,"2,227",448,214,479,320,"1,737","1,532","1,557","2,712",286,986,"2,045"
2021,5,0,"1,521",143,5,211,8,15,39,11,165,74,141,108,8,76,11,12,21,10,69,70,80,110,16,24,94
2021,5,10,"2,016",228,6,293,4,5,44,10,231,104,201,206,6,111,21,17,26,21,103,104,65,97,8,32,73
2021,5,20,"2,689",270,12,472,9,7,95,19,228,138,213,166,8,191,53,16,46,30,114,131,76,201,22,49,123
2021,5,30,"2,628",255,15,418,17,14,87,17,214,133,225,167,14,184,53,16,52,25,116,119,102,174,30,63,118
2021,5,40,"4,248",440,18,620,20,21,177,36,409,222,396,265,28,298,79,26,86,42,192,207,157,219,26,84,180
2021,5,50,"6,956",756,47,"1,093",34,31,293,65,586,430,620,379,61,426,99,41,104,63,312,269,238,451,44,145,369
2021,5,60,"7,784",887,57,"1,259",61,49,250,70,602,484,712,462,44,376,70,42,73,63,321,285,334,563,65,216,439
2021,5,70,"6,264",714,39,821,52,52,274,59,507,401,608,400,31,318,37,23,38,40,287,207,283,473,45,210,345
2021,5,80,"4,084",470,40,494,25,28,179,29,252,272,351,313,15,201,24,20,32,18,199,123,197,361,27,141,273
2021,5,90,523,62,2,74,2,2,19,1,19,24,53,29,2,43,1,1,1,8,24,15,23,62,3,22,31
2021,5,100,11,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,2,2,1,0,0,0
2021,6,총,"38,687","4,226",239,"5,757",232,221,"1,454",319,"3,214","2,287","3,516","2,487",216,"2,222",446,208,474,319,"1,733","1,537","1,551","2,717",287,987,"2,038"
2021,6,0,"1,499",138,6,206,10,15,38,11,165,74,138,107,9,76,11,11,21,10,65,67,77,112,16,21,95
2021,6,10,"2,013",226,6,297,3,5,44,10,231,106,202,203,6,110,21,18,26,21,102,102,66,97,8,30,73
2021,6,20,"2,686",271,12,465,8,6,96,18,231,136,214,167,8,190,53,12,46,29,116,140,76,200,22,50,120
2021,6,30,"2,606",253,13,418,17,14,84,18,212,136,222,167,14,187,49,16,49,24,116,116,99,175,30,61,116
2021,6,40,"4,229",437,19,615,20,20,177,37,406,222,395,263,28,297,81,24,82,41,190,210,157,218,27,83,180
