년도,월,나이,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020,7,60,"9,887",764,637,223,677,"1,283",535,640,319,504,328,484,813,413,673,501,470,623
2020,7,70,"6,969",603,445,155,444,770,389,436,262,340,279,359,752,280,470,294,313,378
2020,7,80,"3,504",305,267,101,235,460,174,191,105,194,115,197,377,131,183,153,138,178
2020,7,90,688,47,51,18,56,118,34,33,29,52,26,30,62,25,31,26,22,28
2020,7,100,178,16,15,6,8,16,5,10,6,28,5,10,14,8,11,2,6,12
2020,8,총,"76,900","6,699","5,234","1,392","5,274","9,818","4,597","5,616","2,327","2,876","2,433","4,085","8,700","2,372","4,044","3,559","3,153","4,721"
2020,8,0,"3,817",395,296,55,276,575,396,430,102,92,58,122,364,72,107,191,149,137
2020,8,10,"5,543",560,369,79,442,806,537,452,159,91,122,228,668,114,251,278,202,185
2020,8,20,"11,869",826,669,157,665,"1,203",510,671,262,405,536,901,"2,249",275,544,447,398,"1,151"
2020,8,30,"10,071",916,812,191,640,"1,194",525,939,311,397,290,666,990,226,364,504,412,694
2020,8,40,"11,523","1,211",815,190,877,"1,556",800,967,397,370,256,512,"1,188",319,548,507,445,565
2020,8,50,"12,784","1,050",845,217,951,"1,822",687,843,377,405,417,578,"1,207",505,866,661,591,762
2020,8,60,"9,916",766,648,224,679,"1,290",538,641,317,504,326,481,825,416,664,493,475,629
2020,8,70,"6,992",604,446,154,446,779,388,435,262,341,281,359,749,274,477,300,315,382
2020,8,80,"3,522",309,267,101,234,460,177,194,105,191,116,200,384,138,183,150,137,176
2020,8,90,684,46,52,18,56,117,34,34,29,52,26,27,62,25,29,26,23,28
2020,8,100,179,16,15,6,8,16,5,10,6,28,5,11,14,8,11,2,6,12
2020,9,총,"76,928","6,664","5,284","1,396","5,248","9,837","4,589","5,630","2,330","2,877","2,446","4,060","8,744","2,367","4,046","3,547","3,134","4,729"
2020,9,0,"3,804",395,293,53,276,583,387,434,101,89,59,124,366,69,104,192,143,136
2020,9,10,"5,565",556,379,80,433,810,544,450,161,99,123,226,678,115,255,273,202,181
2020,9,20,"11,871",815,672,157,655,"1,205",512,670,264,405,539,907,"2,260",270,537,443,394,"1,166"
2020,9,30,"10,074",901,823,191,640,"1,199",523,940,309,398,293,651,990,227,371,506,407,705
2020,9,40,"11,489","1,202",825,193,870,"1,561",798,968,402,365,255,496,"1,194",317,540,500,448,555
2020,9,50,"12,767","1,053",866,219,945,"1,807",685,847,379,402,422,574,"1,204",505,864,658,581,756
2020,9,60,"9,959",766,646,225,685,"1,298",538,641,313,504,327,485,837,419,671,497,474,633
2020,9,70,"6,987",607,444,150,444,779,385,436,259,346,283,355,749,274,482,299,318,377
2020,9,80,"3,538",307,268,104,238,462,178,198,105,189,114,204,385,137,182,151,137,179
2020,9,90,696,46,53,19,54,118,34,36,31,51,26,27,67,26,29,26,24,29
2020,9,100,178,16,15,5,8,15,5,10,6,29,5,11,14,8,11,2,6,12
2020,10,총,"76,856","6,652","5,278","1,380","5,255","9,833","4,586","5,621","2,321","2,880","2,433","4,046","8,731","2,374","4,046","3,540","3,133","4,747"
2020,10,0,"3,786",402,287,56,279,578,384,428,105,86,61,122,364,67,105,185,143,134
2020,10,10,"5,561",549,385,80,428,818,548,456,155,99,124,225,675,114,252,277,195,181
2020,10,20,"11,868",808,671,152,655,"1,204",510,662,263,410,533,910,"2,252",272,536,445,395,"1,190"
2020,10,30,"10,078",908,822,183,644,"1,199",520,939,304,409,293,643,987,231,377,500,408,711
2020,10,40,"11,446","1,190",825,195,870,"1,554",804,963,402,363,251,486,"1,203",316,534,495,448,547
2020,10,50,"12,736","1,057",863,214,947,"1,810",682,843,377,397,416,576,"1,195",503,865,659,575,757
2020,10,60,"9,976",764,644,224,689,"1,298",540,642,308,501,327,489,841,424,676,500,483,626
2020,10,70,"6,973",606,442,149,446,774,382,441,263,343,279,355,749,272,476,300,315,381
2020,10,80,"3,550",306,269,103,234,464,178,197,107,193,118,203,383,141,185,151,139,179
2020,10,90,703,45,55,19,55,119,33,40,31,50,26,26,68,26,29,26,26,29
2020,10,100,179,17,15,5,8,15,5,10,6,29,5,11,14,8,11,2,6,12
