년도,월,나이,금천구,가산동,독산제1동,독산제2동,독산제3동,독산제4동,시흥제1동,시흥제2동,시흥제3동,시흥제4동,시흥제5동
2020,6,50,"20,518","1,711","3,140","1,976","2,457","1,691","2,973","1,826",985,"1,922","1,837"
2020,6,60,"15,860","1,248","2,371","1,446","1,840","1,194","2,258","1,543",905,"1,613","1,442"
2020,6,70,"8,320",573,"1,139",720,924,612,"1,298",826,505,842,881
2020,6,80,"2,472",153,384,175,275,165,359,265,146,246,304
2020,6,90,205,10,22,18,25,12,46,24,8,21,19
2020,6,100,57,3,3,5,6,4,6,19,0,6,5
2020,7,총,"117,567","11,939","21,919","9,700","12,455","7,928","16,988","10,729","5,625","10,427","9,857"
2020,7,0,"6,704",351,"1,718",462,579,363,"1,013",825,296,590,507
2020,7,10,"7,621",362,"1,150",679,702,499,"1,277","1,067",369,785,731
2020,7,20,"18,655","2,697","3,798","1,499","1,975","1,186","2,537","1,334",776,"1,476","1,377"
2020,7,30,"19,674","3,154","4,784","1,361","1,939","1,091","2,631","1,262",809,"1,398","1,245"
2020,7,40,"17,462","1,663","3,392","1,360","1,748","1,116","2,588","1,743",823,"1,529","1,500"
2020,7,50,"20,481","1,726","3,143","1,972","2,442","1,677","2,973","1,815",987,"1,913","1,833"
2020,7,60,"15,874","1,244","2,377","1,440","1,845","1,200","2,259","1,546",904,"1,612","1,447"
2020,7,70,"8,355",576,"1,147",731,917,613,"1,300",830,511,848,882
2020,7,80,"2,477",154,384,173,277,167,359,264,143,248,308
2020,7,90,207,9,23,18,25,12,45,24,7,22,22
2020,7,100,57,3,3,5,6,4,6,19,0,6,5
2020,8,총,"117,497","12,173","21,879","9,683","12,405","7,906","16,919","10,694","5,607","10,399","9,832"
2020,8,0,"6,640",350,"1,712",456,569,359,997,817,290,588,502
2020,8,10,"7,562",365,"1,158",673,694,486,"1,258","1,054",366,776,732
2020,8,20,"18,721","2,832","3,758","1,493","1,952","1,183","2,556","1,335",783,"1,465","1,364"
2020,8,30,"19,626","3,229","4,752","1,356","1,936","1,097","2,596","1,235",790,"1,388","1,247"
2020,8,40,"17,437","1,673","3,404","1,346","1,736","1,108","2,575","1,751",827,"1,526","1,491"
2020,8,50,"20,425","1,727","3,146","1,969","2,438","1,657","2,950","1,802",982,"1,911","1,843"
2020,8,60,"15,946","1,249","2,386","1,457","1,855","1,216","2,273","1,555",904,"1,615","1,436"
2020,8,70,"8,382",581,"1,153",735,914,613,"1,302",832,514,854,884
2020,8,80,"2,494",156,384,175,280,171,361,270,145,246,306
2020,8,90,207,8,23,18,25,12,45,24,6,24,22
2020,8,100,57,3,3,5,6,4,6,19,0,6,5
2020,9,총,"117,489","12,356","21,797","9,681","12,388","7,895","16,927","10,668","5,588","10,376","9,813"
2020,9,0,"6,593",345,"1,711",452,560,358,988,816,288,580,495
2020,9,10,"7,529",357,"1,145",672,693,484,"1,254","1,046",364,776,738
2020,9,20,"18,729","2,924","3,708","1,495","1,939","1,178","2,575","1,325",774,"1,456","1,355"
2020,9,30,"19,656","3,296","4,739","1,357","1,955","1,100","2,575","1,236",786,"1,390","1,222"
2020,9,40,"17,424","1,693","3,408","1,339","1,737","1,089","2,588","1,740",824,"1,513","1,493"
2020,9,50,"20,356","1,733","3,135","1,952","2,422","1,656","2,933","1,791",978,"1,906","1,850"
2020,9,60,"16,036","1,252","2,387","1,470","1,856","1,229","2,298","1,568",907,"1,624","1,445"
2020,9,70,"8,384",587,"1,150",740,917,614,"1,299",832,513,857,875
2020,9,80,"2,515",157,389,180,277,170,365,273,148,245,311
2020,9,90,209,9,22,19,26,13,46,21,6,23,24
2020,9,100,58,3,3,5,6,4,6,20,0,6,5
2020,10,총,"117,429","12,435","21,752","9,683","12,360","7,887","16,939","10,627","5,553","10,384","9,809"
2020,10,0,"6,548",332,"1,706",452,564,353,977,806,285,577,496
2020,10,10,"7,486",353,"1,143",670,679,481,"1,247","1,048",355,779,731
2020,10,20,"18,694","2,947","3,684","1,490","1,927","1,179","2,576","1,303",780,"1,445","1,363"
2020,10,30,"19,614","3,322","4,700","1,356","1,951","1,099","2,583","1,225",767,"1,383","1,228"
2020,10,40,"17,404","1,714","3,391","1,342","1,730","1,081","2,594","1,730",813,"1,516","1,493"
2020,10,50,"20,352","1,747","3,149","1,954","2,408","1,659","2,919","1,795",979,"1,903","1,839"
2020,10,60,"16,124","1,260","2,411","1,470","1,872","1,230","2,321","1,572",907,"1,639","1,442"
2020,10,70,"8,389",592,"1,148",742,917,618,"1,294",833,511,861,873
2020,10,80,"2,546",156,394,183,280,170,375,273,150,250,315
2020,10,90,213,9,23,19,26,13,47,21,6,25,24
2020,10,100,59,3,3,5,6,4,6,21,0,6,5
2020,11,총,"117,364","12,528","21,736","9,659","12,349","7,870","16,931","10,611","5,543","10,334","9,803"
2020,11,0,"6,517",329,"1,705",449,562,352,968,806,283,574,489
2020,11,10,"7,430",352,"1,133",663,672,478,"1,243","1,044",351,770,724
2020,11,20,"18,684","2,993","3,675","1,488","1,916","1,177","2,577","1,295",769,"1,429","1,365"
2020,11,30,"19,677","3,373","4,706","1,359","1,972","1,106","2,574","1,224",763,"1,372","1,228"
2020,11,40,"17,340","1,702","3,399","1,327","1,716","1,063","2,583","1,731",817,"1,505","1,497"
2020,11,50,"20,286","1,738","3,140","1,943","2,388","1,659","2,926","1,792",979,"1,889","1,832"
2020,11,60,"16,199","1,277","2,419","1,477","1,888","1,229","2,325","1,566",913,"1,649","1,456"
2020,11,70,"8,396",594,"1,139",747,921,616,"1,300",839,511,860,869
2020,11,80,"2,551",157,391,181,281,172,380,270,151,254,314
2020,11,90,226,10,27,20,27,14,49,23,6,26,24
2020,11,100,58,3,2,5,6,4,6,21,0,6,5
2020,12,총,"117,226","12,621","21,662","9,644","12,343","7,853","16,870","10,592","5,520","10,308","9,813"
2020,12,0,"6,422",326,"1,667",446,552,345,956,794,281,570,485
2020,12,10,"7,379",347,"1,131",653,661,482,"1,233","1,046",342,761,723
2020,12,20,"18,715","3,043","3,654","1,491","1,922","1,167","2,577","1,291",771,"1,430","1,369"
2020,12,30,"19,664","3,391","4,684","1,356","1,988","1,101","2,560","1,213",764,"1,377","1,230"
2020,12,40,"17,269","1,710","3,393","1,324","1,713","1,052","2,551","1,721",810,"1,492","1,503"
2020,12,50,"20,213","1,741","3,131","1,922","2,369","1,664","2,917","1,795",971,"1,881","1,822"
2020,12,60,"16,268","1,294","2,437","1,489","1,888","1,229","2,341","1,570",909,"1,649","1,462"
2020,12,70,"8,435",597,"1,144",754,934,621,"1,293",845,512,864,871
2020,12,80,"2,573",158,393,183,282,174,386,274,154,251,318
2020,12,90,230,11,26,21,28,14,50,22,6,27,25
2020,12,100,58,3,2,5,6,4,6,21,0,6,5
2021,1,총,"117,141","12,663","21,705","9,618","12,338","7,843","16,822","10,568","5,499","10,281","9,804"
2021,1,0,"6,356",326,"1,666",442,549,344,933,782,276,554,484
2021,1,10,"7,343",345,"1,142",647,650,478,"1,233","1,044",338,749,717
2021,1,20,"18,676","3,052","3,639","1,490","1,931","1,169","2,560","1,285",763,"1,424","1,363"
2021,1,30,"19,637","3,414","4,674","1,334","1,993","1,097","2,560","1,202",762,"1,376","1,225"
2021,1,40,"17,258","1,710","3,420","1,328","1,698","1,049","2,530","1,724",804,"1,484","1,511"
2021,1,50,"20,192","1,745","3,128","1,916","2,361","1,663","2,929","1,795",966,"1,879","1,810"
2021,1,60,"16,339","1,295","2,457","1,491","1,907","1,229","2,347","1,569",913,"1,666","1,465"
2021,1,70,"8,455",601,"1,150",759,929,624,"1,288",848,517,862,877
2021,1,80,"2,592",161,398,186,285,173,383,276,155,253,322
2021,1,90,233,11,28,20,29,13,52,22,5,28,25
2021,1,100,60,3,3,5,6,4,7,21,0,6,5
2021,2,총,"116,950","12,662","21,719","9,602","12,304","7,827","16,742","10,533","5,500","10,271","9,790"
2021,2,0,"6,305",317,"1,663",443,539,343,918,777,272,551,482
2021,2,10,"7,301",350,"1,126",641,647,476,"1,218","1,040",338,753,712
2021,2,20,"18,633","3,042","3,654","1,486","1,934","1,165","2,532","1,276",774,"1,424","1,346"
2021,2,30,"19,587","3,418","4,676","1,336","1,992","1,095","2,540","1,189",758,"1,357","1,226"
2021,2,40,"17,197","1,712","3,410","1,320","1,682","1,038","2,511","1,721",806,"1,483","1,514"
2021,2,50,"20,152","1,745","3,148","1,908","2,360","1,654","2,913","1,781",962,"1,882","1,799"
2021,2,60,"16,411","1,300","2,459","1,497","1,904","1,235","2,369","1,584",914,"1,668","1,481"
2021,2,70,"8,460",602,"1,149",756,926,627,"1,290",844,519,867,880
2021,2,80,"2,611",163,403,189,285,177,391,279,152,251,321
2021,2,90,235,10,28,21,29,14,53,21,5,29,25
2021,2,100,58,3,3,5,6,3,7,21,0,6,4
2021,3,총,"116,322","12,671","21,672","9,555","12,248","7,782","16,605","10,386","5,445","10,227","9,731"
2021,3,0,"6,257",313,"1,648",441,530,339,919,771,273,540,483
2021,3,10,"7,292",349,"1,126",637,646,483,"1,211","1,040",335,755,710
2021,3,20,"18,638","3,082","3,662","1,476","1,936","1,164","2,506","1,259",773,"1,429","1,351"
2021,3,30,"19,510","3,435","4,643","1,328","1,989","1,095","2,527","1,178",744,"1,342","1,229"
2021,3,40,"17,080","1,699","3,428","1,311","1,675","1,021","2,486","1,711",787,"1,469","1,493"
2021,3,50,"19,994","1,734","3,134","1,889","2,334","1,637","2,895","1,755",959,"1,876","1,781"
2021,3,60,"16,398","1,296","2,465","1,508","1,918","1,234","2,352","1,572",906,"1,673","1,474"
2021,3,70,"8,364",591,"1,143",756,912,622,"1,271",818,514,865,872
2021,3,80,"2,572",162,392,189,284,174,391,266,149,252,313
2021,3,90,205,9,29,20,23,13,44,15,5,25,22
2021,3,100,12,1,2,0,1,0,3,1,0,1,3
2021,4,총,"116,211","12,720","21,640","9,550","12,246","7,780","16,588","10,368","5,428","10,200","9,691"
2021,4,0,"6,189",314,"1,641",431,523,332,902,764,272,532,478
2021,4,10,"7,276",346,"1,129",637,643,481,"1,210","1,040",334,750,706
2021,4,20,"18,616","3,102","3,642","1,483","1,951","1,159","2,499","1,253",770,"1,412","1,345"
2021,4,30,"19,502","3,442","4,637","1,328","1,986","1,102","2,527","1,173",743,"1,353","1,211"
2021,4,40,"17,022","1,721","3,415","1,300","1,661","1,015","2,484","1,706",783,"1,459","1,478"
2021,4,50,"19,966","1,729","3,139","1,894","2,330","1,629","2,878","1,753",958,"1,862","1,794"
2021,4,60,"16,447","1,302","2,468","1,509","1,920","1,245","2,370","1,573",899,"1,680","1,481"
2021,4,70,"8,376",589,"1,142",756,925,629,"1,271",819,517,869,859
2021,4,80,"2,601",164,395,194,284,174,401,271,148,255,315
2021,4,90,203,10,30,18,22,14,43,15,4,26,21
2021,4,100,13,1,2,0,1,0,3,1,0,2,3
2021,5,총,"116,292","12,732","21,863","9,550","12,220","7,770","16,524","10,350","5,420","10,168","9,695"
2021,5,0,"6,187",315,"1,650",425,520,335,895,767,269,533,478
2021,5,10,"7,228",338,"1,124",633,644,477,"1,201","1,029",335,743,704
2021,5,20,"18,578","3,090","3,693","1,469","1,937","1,146","2,493","1,244",759,"1,396","1,351"
2021,5,30,"19,609","3,452","4,731","1,341","1,995","1,111","2,515","1,171",740,"1,344","1,209"
2021,5,40,"16,969","1,731","3,434","1,301","1,656","1,008","2,455","1,692",774,"1,443","1,475"
2021,5,50,"19,959","1,732","3,161","1,898","2,309","1,613","2,870","1,757",965,"1,864","1,790"
2021,5,60,"16,518","1,302","2,493","1,515","1,924","1,259","2,368","1,583",905,"1,690","1,479"
2021,5,70,"8,403",593,"1,147",750,923,631,"1,279",820,519,871,870
2021,5,80,"2,618",168,398,200,286,176,401,269,149,257,314
2021,5,90,210,10,30,18,25,14,44,17,5,25,22
2021,5,100,13,1,2,0,1,0,3,1,0,2,3
2021,6,총,"116,491","12,757","22,157","9,573","12,212","7,764","16,458","10,326","5,412","10,161","9,671"
2021,6,0,"6,220",321,"1,683",434,517,333,889,772,268,528,475
2021,6,10,"7,201",323,"1,128",625,648,480,"1,196","1,019",335,746,701
2021,6,20,"18,586","3,123","3,726","1,483","1,927","1,142","2,463","1,235",750,"1,385","1,352"
2021,6,30,"19,707","3,459","4,845","1,342","1,994","1,103","2,510","1,163",746,"1,344","1,201"
2021,6,40,"16,950","1,722","3,476","1,306","1,646","1,006","2,443","1,692",763,"1,435","1,461"
2021,6,50,"19,895","1,720","3,182","1,894","2,301","1,614","2,843","1,745",956,"1,852","1,788"
2021,6,60,"16,663","1,316","2,535","1,525","1,932","1,262","2,398","1,585",917,"1,708","1,485"
2021,6,70,"8,410",589,"1,147",748,935,635,"1,268",829,522,873,864
2021,6,80,"2,638",173,404,196,286,177,400,269,150,263,320
2021,6,90,208,10,29,20,25,12,45,16,5,25,21
2021,6,100,13,1,2,0,1,0,3,1,0,2,3
2021,7,총,"116,699","12,778","22,486","9,581","12,160","7,754","16,426","10,291","5,409","10,139","9,675"
2021,7,0,"6,205",323,"1,691",434,514,327,884,764,271,525,472
2021,7,10,"7,188",324,"1,143",624,643,474,"1,195","1,018",333,739,695
2021,7,20,"18,542","3,106","3,791","1,476","1,915","1,140","2,432","1,217",754,"1,367","1,344"
2021,7,30,"19,883","3,499","4,950","1,345","1,997","1,106","2,524","1,167",739,"1,348","1,208"
2021,7,40,"16,906","1,724","3,519","1,315","1,620","1,004","2,422","1,670",756,"1,428","1,448"
2021,7,50,"19,876","1,700","3,222","1,887","2,285","1,604","2,835","1,741",958,"1,841","1,803"
2021,7,60,"16,786","1,332","2,574","1,531","1,937","1,275","2,406","1,594",922,"1,723","1,492"
2021,7,70,"8,424",586,"1,160",751,932,631,"1,277",831,521,870,865
2021,7,80,"2,666",174,405,198,290,180,402,272,150,272,323
2021,7,90,210,9,29,20,26,13,46,16,5,24,22
2021,7,100,13,1,2,0,1,0,3,1,0,2,3
2021,8,총,"116,714","12,785","22,621","9,578","12,140","7,726","16,387","10,310","5,405","10,113","9,649"
2021,8,0,"6,163",321,"1,685",432,508,320,877,760,270,516,474
2021,8,10,"7,176",328,"1,149",614,636,475,"1,186","1,028",336,736,688
2021,8,20,"18,540","3,110","3,817","1,485","1,911","1,139","2,412","1,220",745,"1,360","1,341"
2021,8,30,"19,931","3,501","5,014","1,360","2,005","1,092","2,518","1,168",741,"1,345","1,187"
2021,8,40,"16,890","1,721","3,545","1,311","1,627",994,"2,415","1,669",755,"1,409","1,444"
2021,8,50,"19,826","1,697","3,234","1,866","2,261","1,602","2,825","1,744",957,"1,851","1,789"
2021,8,60,"16,859","1,336","2,576","1,540","1,949","1,278","2,421","1,598",929,"1,723","1,509"
2021,8,70,"8,415",586,"1,159",750,924,635,"1,275",830,516,872,868
2021,8,80,"2,693",175,412,201,292,179,409,275,152,274,324
2021,8,90,208,9,28,19,26,12,46,17,4,25,22
2021,8,100,13,1,2,0,1,0,3,1,0,2,3
2021,9,총,"116,588","12,780","22,716","9,537","12,110","7,691","16,370","10,269","5,396","10,086","9,633"
2021,9,0,"6,105",314,"1,675",428,505,318,868,744,263,515,475
2021,9,10,"7,144",318,"1,152",617,632,465,"1,184","1,020",334,730,692
2021,9,20,"18,473","3,105","3,832","1,467","1,908","1,124","2,404","1,216",739,"1,350","1,328"
2021,9,30,"19,959","3,519","5,032","1,358","2,010","1,087","2,514","1,162",737,"1,346","1,194"
2021,9,40,"16,856","1,727","3,572","1,307","1,607","1,004","2,387","1,656",754,"1,410","1,432"
2021,9,50,"19,761","1,682","3,248","1,852","2,243","1,596","2,843","1,737",957,"1,831","1,772"
2021,9,60,"16,903","1,335","2,577","1,539","1,960","1,275","2,424","1,613",938,"1,722","1,520"
2021,9,70,"8,427",592,"1,176",745,922,625,"1,282",824,513,882,866
2021,9,80,"2,736",178,423,204,294,185,415,279,156,274,328
2021,9,90,211,9,27,20,28,12,46,17,5,24,23
2021,9,100,13,1,2,0,1,0,3,1,0,2,3
2021,10,총,"116,588","12,808","22,840","9,517","12,119","7,647","16,347","10,255","5,364","10,062","9,629"
2021,10,0,"6,087",314,"1,675",432,500,318,864,746,255,510,473
2021,10,10,"7,104",319,"1,152",607,628,457,"1,180","1,018",328,725,690
2021,10,20,"18,397","3,104","3,830","1,456","1,909","1,113","2,372","1,210",733,"1,340","1,330"
2021,10,30,"20,065","3,529","5,130","1,354","2,019","1,094","2,515","1,166",725,"1,347","1,186"
2021,10,40,"16,819","1,730","3,582","1,307","1,600",987,"2,394","1,648",752,"1,399","1,420"
2021,10,50,"19,754","1,697","3,252","1,856","2,248","1,579","2,841","1,733",947,"1,825","1,776"
2021,10,60,"16,942","1,341","2,583","1,530","1,959","1,275","2,434","1,612",945,"1,734","1,529"
2021,10,70,"8,435",582,"1,179",744,927,625,"1,287",820,517,884,870
2021,10,80,"2,754",182,428,209,299,185,410,284,157,271,329
2021,10,90,218,9,27,22,29,14,47,17,5,25,23
2021,10,100,13,1,2,0,1,0,3,1,0,2,3
2021,11,총,"116,574","12,829","22,940","9,516","12,106","7,598","16,336","10,232","5,374","10,042","9,601"
2021,11,0,"6,056",313,"1,686",432,490,315,853,744,248,502,473
2021,11,10,"7,073",316,"1,148",606,624,448,"1,176","1,013",328,730,684
2021,11,20,"18,337","3,097","3,835","1,445","1,900","1,109","2,362","1,198",738,"1,330","1,323"
2021,11,30,"20,178","3,562","5,197","1,367","2,029","1,072","2,528","1,163",736,"1,339","1,185"
2021,11,40,"16,753","1,739","3,577","1,295","1,592",984,"2,380","1,639",745,"1,391","1,411"
2021,11,50,"19,750","1,692","3,256","1,858","2,248","1,563","2,842","1,739",954,"1,827","1,771"
2021,11,60,"16,987","1,334","2,612","1,535","1,964","1,280","2,440","1,611",944,"1,740","1,527"
2021,11,70,"8,426",581,"1,169",744,929,623,"1,291",821,516,880,872
2021,11,80,"2,778",186,431,209,300,190,413,286,159,277,327
2021,11,90,223,8,27,25,29,14,48,17,6,24,25
2021,11,100,13,1,2,0,1,0,3,1,0,2,3
2021,12,총,"116,527","12,863","22,990","9,465","12,106","7,591","16,326","10,210","5,368","10,030","9,578"
2021,12,0,"6,018",316,"1,676",428,494,317,849,734,245,492,467
2021,12,10,"7,057",315,"1,152",605,619,449,"1,168","1,004",327,736,682
2021,12,20,"18,339","3,131","3,858","1,422","1,895","1,112","2,350","1,197",736,"1,324","1,314"
2021,12,30,"20,237","3,566","5,218","1,372","2,044","1,075","2,528","1,174",736,"1,338","1,186"
2021,12,40,"16,674","1,724","3,586","1,293","1,573",967,"2,388","1,624",743,"1,382","1,394"
2021,12,50,"19,762","1,701","3,248","1,844","2,253","1,563","2,855","1,742",946,"1,829","1,781"
2021,12,60,"16,976","1,327","2,617","1,527","1,971","1,287","2,426","1,604",952,"1,737","1,528"
2021,12,70,"8,433",591,"1,175",738,927,615,"1,289",822,517,890,869
2021,12,80,"2,801",183,432,209,302,192,422,291,161,277,332
2021,12,90,223,9,27,27,27,14,49,17,5,23,25
2021,12,100,7,0,1,0,1,0,2,1,0,2,0
