년도,월,나이,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020,6,총,"42,813","15,438","13,610",0,"1,660","1,892","1,062","3,290","5,861"
2020,6,0,"3,938","1,243","2,027",0,41,67,27,126,407
2020,6,10,"4,195","1,739","1,343",0,100,69,44,217,683
2020,6,20,"5,178","2,181","1,553",0,123,184,69,334,734
2020,6,30,"6,125","1,741","2,960",0,118,156,67,303,780
2020,6,40,"7,228","2,649","2,579",0,191,241,106,430,"1,032"
2020,6,50,"7,384","2,831","1,687",0,376,424,229,693,"1,144"
2020,6,60,"5,022","1,714",891,0,379,417,267,680,674
2020,6,70,"2,505",923,370,0,213,223,154,345,277
2020,6,80,"1,148",383,183,0,112,101,94,153,122
2020,6,90,86,32,17,0,7,10,5,7,8
2020,6,100,4,2,0,0,0,0,0,2,0
2020,7,총,"42,880","15,452","13,673",0,"1,660","1,895","1,058","3,279","5,863"
2020,7,0,"3,930","1,236","2,037",0,42,65,27,121,402
2020,7,10,"4,197","1,725","1,354",0,98,70,43,213,694
2020,7,20,"5,182","2,190","1,552",0,124,185,67,332,732
2020,7,30,"6,120","1,741","2,970",0,118,155,66,296,774
2020,7,40,"7,230","2,648","2,583",0,189,242,104,435,"1,029"
2020,7,50,"7,421","2,841","1,708",0,375,426,229,694,"1,148"
2020,7,60,"5,051","1,725",898,0,381,418,268,684,677
2020,7,70,"2,499",926,368,0,213,220,155,341,276
2020,7,80,"1,161",388,186,0,113,104,93,154,123
2020,7,90,85,30,17,0,7,10,6,7,8
2020,7,100,4,2,0,0,0,0,0,2,0
2020,8,총,"42,920","15,463","13,752",0,"1,665","1,883","1,061","3,265","5,831"
2020,8,0,"3,914","1,227","2,044",0,43,60,26,119,395
2020,8,10,"4,209","1,726","1,372",0,94,72,44,213,688
2020,8,20,"5,154","2,191","1,539",0,128,180,66,327,723
2020,8,30,"6,133","1,741","2,993",0,118,153,68,288,772
2020,8,40,"7,242","2,641","2,616",0,187,242,103,431,"1,022"
2020,8,50,"7,439","2,850","1,711",0,381,426,229,697,"1,145"
2020,8,60,"5,077","1,736",905,0,380,419,271,687,679
2020,8,70,"2,496",934,364,0,214,218,155,336,275
2020,8,80,"1,163",385,191,0,113,102,92,156,124
2020,8,90,89,30,17,0,7,11,7,9,8
2020,8,100,4,2,0,0,0,0,0,2,0
2020,9,총,"43,149","15,418","14,090",0,"1,658","1,866","1,054","3,250","5,813"
2020,9,0,"3,935","1,212","2,091",0,42,59,26,114,391
2020,9,10,"4,229","1,721","1,412",0,94,69,42,213,678
2020,9,20,"5,191","2,188","1,582",0,124,175,66,329,727
2020,9,30,"6,170","1,713","3,074",0,114,156,70,280,763
2020,9,40,"7,279","2,630","2,687",0,187,236,102,428,"1,009"
2020,9,50,"7,456","2,852","1,736",0,378,418,226,697,"1,149"
2020,9,60,"5,130","1,756",930,0,383,423,272,684,682
2020,9,70,"2,501",930,367,0,216,217,153,339,279
2020,9,80,"1,166",384,195,0,113,102,90,155,127
2020,9,90,87,30,16,0,7,10,7,9,8
2020,9,100,5,2,0,0,0,1,0,2,0
2020,10,총,"43,522","15,410","14,508",0,"1,667","1,853","1,053","3,243","5,788"
2020,10,0,"3,966","1,203","2,134",0,44,60,25,111,389
2020,10,10,"4,246","1,709","1,455",0,97,67,42,205,671
2020,10,20,"5,277","2,212","1,642",0,127,171,66,335,724
2020,10,30,"6,258","1,694","3,198",0,111,155,67,278,755
2020,10,40,"7,326","2,618","2,756",0,192,228,102,426,"1,004"
2020,10,50,"7,484","2,862","1,768",0,376,416,223,693,"1,146"
2020,10,60,"5,194","1,766",967,0,383,425,278,687,688
2020,10,70,"2,511",930,376,0,216,218,152,339,280
2020,10,80,"1,170",384,196,0,114,102,91,158,125
2020,10,90,85,30,16,0,7,10,7,9,6
2020,10,100,5,2,0,0,0,1,0,2,0
2020,11,총,"43,802","15,377","14,855",0,"1,662","1,849","1,061","3,211","5,787"
2020,11,0,"3,989","1,188","2,170",0,42,62,26,107,394
2020,11,10,"4,269","1,709","1,489",0,98,69,42,201,661
2020,11,20,"5,320","2,200","1,704",0,122,167,65,335,727
2020,11,30,"6,310","1,690","3,258",0,112,153,71,272,754
2020,11,40,"7,376","2,596","2,843",0,189,228,103,420,997
2020,11,50,"7,515","2,870","1,798",0,374,415,221,688,"1,149"
2020,11,60,"5,233","1,766","1,000",0,385,421,284,687,690
2020,11,70,"2,525",936,383,0,218,220,150,334,284
2020,11,80,"1,175",390,195,0,115,103,92,155,125
2020,11,90,85,30,15,0,7,10,7,10,6
2020,11,100,5,2,0,0,0,1,0,2,0
2020,12,총,"43,836","15,389","14,949",0,"1,659","1,844","1,059","3,204","5,732"
2020,12,0,"3,993","1,176","2,182",0,45,63,29,109,389
2020,12,10,"4,234","1,711","1,495",0,95,71,42,201,619
2020,12,20,"5,325","2,209","1,728",0,124,163,63,325,713
2020,12,30,"6,290","1,684","3,259",0,109,150,72,273,743
2020,12,40,"7,411","2,595","2,873",0,189,230,102,418,"1,004"
2020,12,50,"7,493","2,868","1,803",0,370,414,214,679,"1,145"
2020,12,60,"5,284","1,784","1,009",0,385,422,287,698,699
2020,12,70,"2,524",938,385,0,218,220,149,331,283
2020,12,80,"1,190",392,197,0,117,101,94,158,131
2020,12,90,87,30,18,0,7,9,7,10,6
2020,12,100,5,2,0,0,0,1,0,2,0
2021,1,총,"43,937","15,428","15,046",0,"1,657","1,832","1,054","3,209","5,711"
2021,1,0,"3,984","1,164","2,196",0,46,59,26,108,385
2021,1,10,"4,235","1,699","1,522",0,93,71,42,201,607
2021,1,20,"5,343","2,223","1,734",0,125,161,60,321,719
2021,1,30,"6,316","1,704","3,262",0,109,151,71,278,741
2021,1,40,"7,420","2,587","2,904",0,189,228,98,417,997
2021,1,50,"7,489","2,881","1,801",0,366,409,219,676,"1,137"
2021,1,60,"5,334","1,803","1,022",0,388,420,290,708,703
2021,1,70,"2,532",944,389,0,218,221,147,329,284
2021,1,80,"1,190",390,198,0,116,102,93,159,132
2021,1,90,89,31,18,0,7,9,8,10,6
2021,1,100,5,2,0,0,0,1,0,2,0
2021,2,총,"44,050","15,433","15,165",0,"1,660","1,813","1,067","3,210","5,702"
2021,2,0,"3,994","1,154","2,222",0,46,58,26,105,383
2021,2,10,"4,230","1,686","1,542",0,91,72,41,199,599
2021,2,20,"5,325","2,227","1,717",0,123,151,64,319,724
2021,2,30,"6,342","1,701","3,283",0,115,150,74,287,732
2021,2,40,"7,438","2,581","2,950",0,184,223,99,411,990
2021,2,50,"7,498","2,879","1,804",0,367,406,222,672,"1,148"
2021,2,60,"5,399","1,842","1,037",0,396,417,292,714,701
2021,2,70,"2,536",934,393,0,217,225,151,331,285
2021,2,80,"1,194",397,198,0,114,101,90,160,134
2021,2,90,89,30,19,0,7,9,8,10,6
2021,2,100,5,2,0,0,0,1,0,2,0
2021,3,총,"44,101","15,420","15,260",0,"1,648","1,809","1,062","3,212","5,690"
2021,3,0,"3,974","1,139","2,230",0,47,61,25,101,371
2021,3,10,"4,253","1,680","1,565",0,91,71,41,204,601
2021,3,20,"5,350","2,241","1,721",0,121,151,63,325,728
2021,3,30,"6,339","1,690","3,313",0,113,146,73,279,725
2021,3,40,"7,433","2,576","2,962",0,185,219,98,405,988
2021,3,50,"7,470","2,865","1,812",0,361,400,218,671,"1,143"
2021,3,60,"5,477","1,867","1,059",0,396,428,291,728,708
2021,3,70,"2,515",935,383,0,215,217,155,327,283
2021,3,80,"1,202",396,198,0,112,108,89,163,136
2021,3,90,85,30,17,0,7,7,9,8,7
2021,3,100,3,1,0,0,0,1,0,1,0
2021,4,총,"44,228","15,460","15,346",0,"1,643","1,808","1,062","3,243","5,666"
2021,4,0,"3,946","1,123","2,234",0,44,61,24,102,358
2021,4,10,"4,320","1,726","1,577",0,90,73,41,206,607
2021,4,20,"5,338","2,234","1,716",0,120,150,62,332,724
2021,4,30,"6,350","1,698","3,320",0,111,145,73,286,717
2021,4,40,"7,446","2,570","2,994",0,186,221,98,406,971
2021,4,50,"7,457","2,861","1,824",0,350,393,217,667,"1,145"
2021,4,60,"5,555","1,881","1,078",0,410,433,293,741,719
2021,4,70,"2,516",936,388,0,212,218,153,328,281
2021,4,80,"1,208",400,197,0,112,106,92,164,137
2021,4,90,89,30,18,0,8,7,9,10,7
2021,4,100,3,1,0,0,0,1,0,1,0
2021,5,총,"44,376","15,481","15,411",0,"1,632","1,804","1,063","3,254","5,731"
2021,5,0,"3,939","1,128","2,235",0,36,57,26,102,355
2021,5,10,"4,352","1,719","1,572",0,88,74,41,207,651
2021,5,20,"5,356","2,240","1,723",0,124,151,61,332,725
2021,5,30,"6,358","1,686","3,330",0,110,147,69,294,722
2021,5,40,"7,443","2,564","3,011",0,183,212,100,405,968
2021,5,50,"7,485","2,862","1,844",0,348,389,214,665,"1,163"
2021,5,60,"5,604","1,902","1,092",0,410,439,294,751,716
2021,5,70,"2,530",942,388,0,211,220,155,325,289
2021,5,80,"1,215",404,198,0,115,107,94,163,134
2021,5,90,91,33,18,0,7,7,9,9,8
2021,5,100,3,1,0,0,0,1,0,1,0
2021,6,총,"44,459","15,490","15,483",0,"1,626","1,811","1,064","3,252","5,733"
2021,6,0,"3,928","1,124","2,233",0,34,56,26,100,355
2021,6,10,"4,353","1,716","1,580",0,86,76,42,206,647
2021,6,20,"5,361","2,243","1,726",0,125,151,60,329,727
2021,6,30,"6,348","1,671","3,335",0,112,149,69,294,718
2021,6,40,"7,456","2,563","3,037",0,177,211,98,407,963
2021,6,50,"7,512","2,867","1,866",0,345,393,214,663,"1,164"
2021,6,60,"5,664","1,925","1,106",0,413,441,296,753,730
2021,6,70,"2,526",940,388,0,212,220,156,325,285
2021,6,80,"1,219",408,195,0,115,106,94,165,136
2021,6,90,89,32,17,0,7,7,9,9,8
2021,6,100,3,1,0,0,0,1,0,1,0
2021,7,총,"44,526","15,511","15,487",0,"1,627","1,816","1,066","3,273","5,746"
2021,7,0,"3,917","1,112","2,230",0,37,54,27,101,356
2021,7,10,"4,353","1,718","1,581",0,85,74,41,206,648
2021,7,20,"5,370","2,245","1,719",0,126,154,59,328,739
2021,7,30,"6,338","1,664","3,326",0,112,149,70,303,714
2021,7,40,"7,473","2,580","3,039",0,179,209,97,413,956
2021,7,50,"7,523","2,867","1,872",0,342,389,213,665,"1,175"
2021,7,60,"5,703","1,936","1,120",0,412,452,299,756,728
2021,7,70,"2,539",940,387,0,215,221,157,329,290
2021,7,80,"1,216",416,196,0,110,106,95,162,131
2021,7,90,91,32,17,0,9,7,8,9,9
2021,7,100,3,1,0,0,0,1,0,1,0
2021,8,총,"44,558","15,497","15,508",0,"1,623","1,816","1,069","3,287","5,758"
2021,8,0,"3,889","1,092","2,226",0,35,54,27,102,353
2021,8,10,"4,352","1,708","1,591",0,83,73,41,209,647
2021,8,20,"5,379","2,261","1,717",0,124,149,59,328,741
2021,8,30,"6,322","1,653","3,310",0,113,152,68,308,718
2021,8,40,"7,468","2,561","3,059",0,178,208,99,408,955
2021,8,50,"7,541","2,888","1,876",0,338,385,211,666,"1,177"
2021,8,60,"5,735","1,942","1,127",0,415,458,299,762,732
2021,8,70,"2,550",937,390,0,217,222,160,330,294
2021,8,80,"1,228",422,195,0,111,107,97,165,131
2021,8,90,90,31,17,0,9,7,8,8,10
2021,8,100,4,2,0,0,0,1,0,1,0
2021,9,총,"44,559","15,488","15,542",0,"1,605","1,812","1,072","3,287","5,753"
2021,9,0,"3,869","1,081","2,226",0,34,51,27,99,351
2021,9,10,"4,349","1,713","1,600",0,83,71,40,210,632
2021,9,20,"5,369","2,252","1,718",0,122,146,60,326,745
2021,9,30,"6,317","1,646","3,309",0,112,153,68,309,720
2021,9,40,"7,458","2,548","3,070",0,174,206,99,408,953
2021,9,50,"7,548","2,889","1,885",0,333,382,214,666,"1,179"
2021,9,60,"5,784","1,969","1,135",0,415,463,301,765,736
2021,9,70,"2,539",933,387,0,210,223,161,329,296
2021,9,80,"1,230",422,195,0,113,109,94,166,131
2021,9,90,92,33,17,0,9,7,8,8,10
2021,9,100,4,2,0,0,0,1,0,1,0
2021,10,총,"44,628","15,503","15,581",0,"1,606","1,809","1,070","3,283","5,776"
2021,10,0,"3,855","1,073","2,223",0,34,49,27,99,350
2021,10,10,"4,348","1,713","1,607",0,83,68,39,208,630
2021,10,20,"5,385","2,249","1,721",0,121,150,60,323,761
2021,10,30,"6,296","1,641","3,305",0,111,154,64,310,711
2021,10,40,"7,469","2,560","3,084",0,168,199,98,404,956
2021,10,50,"7,590","2,893","1,907",0,338,388,217,668,"1,179"
2021,10,60,"5,804","1,978","1,135",0,415,459,301,766,750
2021,10,70,"2,555",937,389,0,213,225,162,331,298
2021,10,80,"1,225",422,192,0,113,109,94,165,130
2021,10,90,96,35,18,0,10,7,7,8,11
2021,10,100,5,2,0,0,0,1,1,1,0
2021,11,총,"44,663","15,507","15,617",0,"1,612","1,806","1,069","3,285","5,767"
2021,11,0,"3,832","1,062","2,222",0,35,48,27,97,341
2021,11,10,"4,342","1,708","1,618",0,83,68,39,207,619
2021,11,20,"5,372","2,249","1,711",0,121,147,61,319,764
2021,11,30,"6,296","1,646","3,307",0,110,150,62,316,705
2021,11,40,"7,474","2,556","3,086",0,169,198,99,398,968
2021,11,50,"7,611","2,902","1,929",0,339,384,216,667,"1,174"
2021,11,60,"5,838","1,986","1,144",0,415,466,301,771,755
2021,11,70,"2,553",935,388,0,216,223,161,335,295
2021,11,80,"1,243",425,194,0,114,115,95,165,135
2021,11,90,97,36,18,0,10,6,7,9,11
2021,11,100,5,2,0,0,0,1,1,1,0
2021,12,총,"44,715","15,512","15,646",0,"1,618","1,816","1,068","3,304","5,751"
2021,12,0,"3,798","1,054","2,204",0,38,46,24,99,333
2021,12,10,"4,339","1,706","1,630",0,82,68,39,202,612
2021,12,20,"5,354","2,253","1,684",0,122,147,59,332,757
2021,12,30,"6,303","1,645","3,304",0,112,149,63,323,707
2021,12,40,"7,502","2,552","3,119",0,171,198,98,398,966
2021,12,50,"7,635","2,909","1,949",0,339,391,215,660,"1,172"
2021,12,60,"5,867","1,982","1,157",0,415,468,306,777,762
2021,12,70,"2,559",943,388,0,213,226,161,332,296
2021,12,80,"1,256",429,194,0,116,116,94,171,136
2021,12,90,97,37,17,0,10,6,8,9,10
2021,12,100,5,2,0,0,0,1,1,1,0
