년도,월,나이,증평군,증평읍,도안면
2021,7,30,"4,483","4,384",99
2021,7,40,"5,518","5,332",186
2021,7,50,"5,990","5,665",325
2021,7,60,"5,268","4,787",481
2021,7,70,"2,667","2,385",282
2021,7,80,"1,532","1,315",217
2021,7,90,177,148,29
2021,7,100,4,4,0
2021,8,총,"36,406","34,550","1,856"
2021,8,0,"2,995","2,948",47
2021,8,10,"3,363","3,287",76
2021,8,20,"4,416","4,293",123
2021,8,30,"4,454","4,355",99
2021,8,40,"5,496","5,313",183
2021,8,50,"6,009","5,682",327
2021,8,60,"5,272","4,797",475
2021,8,70,"2,681","2,401",280
2021,8,80,"1,537","1,318",219
2021,8,90,179,152,27
2021,8,100,4,4,0
2021,9,총,"36,388","34,536","1,852"
2021,9,0,"2,994","2,947",47
2021,9,10,"3,369","3,293",76
2021,9,20,"4,405","4,280",125
2021,9,30,"4,421","4,322",99
2021,9,40,"5,470","5,291",179
2021,9,50,"6,018","5,693",325
2021,9,60,"5,306","4,830",476
2021,9,70,"2,673","2,397",276
2021,9,80,"1,546","1,324",222
2021,9,90,182,155,27
2021,9,100,4,4,0
2021,10,총,"36,371","34,530","1,841"
2021,10,0,"2,989","2,943",46
2021,10,10,"3,361","3,287",74
2021,10,20,"4,395","4,267",128
2021,10,30,"4,390","4,295",95
2021,10,40,"5,454","5,277",177
2021,10,50,"6,033","5,715",318
2021,10,60,"5,322","4,849",473
2021,10,70,"2,691","2,406",285
2021,10,80,"1,546","1,329",217
2021,10,90,188,160,28
2021,10,100,2,2,0
2021,11,총,"36,351","34,529","1,822"
2021,11,0,"2,952","2,909",43
2021,11,10,"3,352","3,283",69
2021,11,20,"4,403","4,275",128
2021,11,30,"4,373","4,285",88
2021,11,40,"5,440","5,265",175
2021,11,50,"6,030","5,710",320
2021,11,60,"5,367","4,897",470
2021,11,70,"2,691","2,408",283
2021,11,80,"1,551","1,335",216
2021,11,90,190,160,30
2021,11,100,2,2,0
2021,12,총,"36,426","34,617","1,809"
2021,12,0,"2,947","2,905",42
2021,12,10,"3,337","3,270",67
2021,12,20,"4,412","4,288",124
2021,12,30,"4,408","4,326",82
2021,12,40,"5,442","5,267",175
2021,12,50,"6,038","5,714",324
2021,12,60,"5,394","4,928",466
2021,12,70,"2,701","2,418",283
2021,12,80,"1,551","1,334",217
2021,12,90,193,165,28
2021,12,100,3,2,1
