년도,월,나이,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020,7,100,36,19,5,6,4,2
2020,8,총,"86,979","27,237","4,070","41,495","10,151","4,026"
2020,8,0,"9,534","1,609",213,"6,218","1,262",232
2020,8,10,"8,210","2,182",189,"4,975",670,194
2020,8,20,"7,874","2,928",414,"3,316",906,310
2020,8,30,"12,719","2,719",434,"7,378","1,843",345
2020,8,40,"15,321","4,228",405,"8,787","1,446",455
2020,8,50,"11,739","4,737",716,"4,079","1,489",718
2020,8,60,"11,041","4,260",785,"3,786","1,311",899
2020,8,70,"6,611","2,867",484,"1,983",746,531
2020,8,80,"3,303","1,425",362,820,402,294
2020,8,90,591,263,63,147,72,46
2020,8,100,36,19,5,6,4,2
2020,9,총,"87,193","27,215","4,070","41,456","10,438","4,014"
2020,9,0,"9,486","1,593",213,"6,151","1,299",230
2020,9,10,"8,241","2,159",190,"5,002",696,194
2020,9,20,"7,916","2,941",413,"3,324",930,308
2020,9,30,"12,637","2,684",436,"7,269","1,907",341
2020,9,40,"15,406","4,220",399,"8,852","1,492",443
2020,9,50,"11,783","4,747",713,"4,064","1,539",720
2020,9,60,"11,162","4,284",797,"3,823","1,347",911
2020,9,70,"6,602","2,861",482,"1,988",746,525
2020,9,80,"3,324","1,436",357,829,407,295
2020,9,90,599,272,65,148,69,45
2020,9,100,37,18,5,6,6,2
2020,10,총,"87,406","27,237","4,046","41,461","10,659","4,003"
2020,10,0,"9,430","1,582",205,"6,096","1,326",221
2020,10,10,"8,260","2,147",185,"5,022",712,194
2020,10,20,"7,951","2,949",411,"3,331",954,306
2020,10,30,"12,561","2,662",438,"7,174","1,951",336
2020,10,40,"15,509","4,221",393,"8,916","1,535",444
2020,10,50,"11,797","4,749",703,"4,067","1,567",711
2020,10,60,"11,262","4,328",799,"3,850","1,368",917
2020,10,70,"6,638","2,865",482,"2,010",756,525
2020,10,80,"3,357","1,446",360,838,412,301
2020,10,90,604,270,65,151,72,46
2020,10,100,37,18,5,6,6,2
2020,11,총,"87,762","27,258","4,038","41,524","10,941","4,001"
2020,11,0,"9,427","1,545",202,"6,078","1,386",216
2020,11,10,"8,311","2,152",185,"5,050",726,198
2020,11,20,"8,008","2,963",413,"3,357",971,304
2020,11,30,"12,521","2,649",428,"7,101","2,019",324
2020,11,40,"15,589","4,208",396,"8,967","1,571",447
2020,11,50,"11,844","4,768",700,"4,074","1,594",708
2020,11,60,"11,353","4,350",798,"3,868","1,410",927
2020,11,70,"6,685","2,876",479,"2,028",775,527
2020,11,80,"3,378","1,463",363,845,406,301
2020,11,90,609,266,69,150,77,47
2020,11,100,37,18,5,6,6,2
2020,12,총,"88,106","27,255","4,038","41,505","11,304","4,004"
2020,12,0,"9,411","1,529",201,"6,031","1,438",212
2020,12,10,"8,384","2,147",187,"5,089",762,199
2020,12,20,"8,013","2,963",413,"3,339",997,301
2020,12,30,"12,541","2,643",431,"7,047","2,089",331
2020,12,40,"15,684","4,201",393,"8,995","1,648",447
2020,12,50,"11,875","4,755",698,"4,084","1,630",708
2020,12,60,"11,439","4,374",796,"3,881","1,462",926
2020,12,70,"6,717","2,889",481,"2,034",783,530
2020,12,80,"3,396","1,468",364,850,412,302
2020,12,90,611,268,70,150,77,46
2020,12,100,35,18,4,5,6,2
2021,1,총,"88,580","27,172","4,041","41,426","11,950","3,991"
2021,1,0,"9,389","1,511",196,"5,969","1,509",204
2021,1,10,"8,438","2,136",185,"5,106",809,202
2021,1,20,"8,033","2,943",417,"3,304","1,070",299
2021,1,30,"12,554","2,644",433,"6,964","2,185",328
2021,1,40,"15,780","4,142",391,"9,038","1,766",443
2021,1,50,"11,986","4,743",694,"4,079","1,770",700
2021,1,60,"11,569","4,405",809,"3,904","1,525",926
2021,1,70,"6,759","2,893",480,"2,050",805,531
2021,1,80,"3,424","1,474",361,853,427,309
2021,1,90,612,263,70,154,78,47
2021,1,100,36,18,5,5,6,2
2021,2,총,"88,918","27,072","4,034","41,354","12,483","3,975"
2021,2,0,"9,385","1,488",196,"5,902","1,599",200
2021,2,10,"8,482","2,104",183,"5,121",873,201
2021,2,20,"8,040","2,941",419,"3,285","1,105",290
2021,2,30,"12,556","2,629",425,"6,910","2,271",321
2021,2,40,"15,894","4,097",396,"9,050","1,903",448
2021,2,50,"12,025","4,728",690,"4,095","1,824",688
2021,2,60,"11,636","4,416",810,"3,915","1,568",927
2021,2,70,"6,795","2,897",479,"2,069",812,538
2021,2,80,"3,455","1,492",361,847,443,312
2021,2,90,613,261,70,155,79,48
2021,2,100,37,19,5,5,6,2
2021,3,총,"88,884","26,967","3,985","41,344","12,619","3,969"
2021,3,0,"9,345","1,475",194,"5,863","1,617",196
2021,3,10,"8,476","2,092",178,"5,123",879,204
2021,3,20,"8,061","2,938",422,"3,293","1,122",286
2021,3,30,"12,509","2,628",429,"6,849","2,284",319
2021,3,40,"15,895","4,068",388,"9,071","1,923",445
2021,3,50,"12,019","4,713",666,"4,091","1,867",682
2021,3,60,"11,659","4,417",804,"3,930","1,576",932
2021,3,70,"6,818","2,889",472,"2,096",820,541
2021,3,80,"3,482","1,489",360,868,450,315
2021,3,90,594,248,68,156,76,46
2021,3,100,26,10,4,4,5,3
2021,4,총,"88,983","26,962","3,975","41,359","12,729","3,958"
2021,4,0,"9,294","1,454",192,"5,829","1,630",189
2021,4,10,"8,502","2,088",176,"5,145",883,210
2021,4,20,"8,070","2,939",419,"3,303","1,132",277
2021,4,30,"12,467","2,628",425,"6,795","2,304",315
2021,4,40,"15,963","4,068",391,"9,115","1,942",447
2021,4,50,"12,015","4,697",660,"4,104","1,880",674
2021,4,60,"11,730","4,445",809,"3,937","1,604",935
2021,4,70,"6,823","2,883",471,"2,100",825,544
2021,4,80,"3,498","1,503",356,874,444,321
2021,4,90,594,247,72,153,79,43
2021,4,100,27,10,4,4,6,3
2021,5,총,"89,044","26,951","3,968","41,341","12,840","3,944"
2021,5,0,"9,243","1,448",197,"5,768","1,643",187
2021,5,10,"8,530","2,074",178,"5,176",892,210
2021,5,20,"8,065","2,931",410,"3,303","1,148",273
2021,5,30,"12,401","2,625",423,"6,734","2,308",311
2021,5,40,"15,991","4,035",394,"9,150","1,965",447
2021,5,50,"12,051","4,711",654,"4,126","1,887",673
2021,5,60,"11,769","4,467",800,"3,940","1,627",935
2021,5,70,"6,848","2,895",477,"2,097",838,541
2021,5,80,"3,522","1,508",360,889,447,318
2021,5,90,594,244,71,154,80,45
2021,5,100,30,13,4,4,5,4
2021,6,총,"89,133","26,968","3,972","41,345","12,914","3,934"
2021,6,0,"9,218","1,441",195,"5,759","1,641",182
2021,6,10,"8,542","2,078",180,"5,167",903,214
2021,6,20,"8,069","2,928",406,"3,325","1,141",269
2021,6,30,"12,378","2,625",432,"6,698","2,316",307
2021,6,40,"15,995","4,024",390,"9,148","1,984",449
2021,6,50,"12,073","4,715",652,"4,140","1,897",669
2021,6,60,"11,830","4,486",805,"3,953","1,652",934
2021,6,70,"6,866","2,896",479,"2,102",844,545
2021,6,80,"3,541","1,519",359,897,450,316
2021,6,90,589,243,70,152,80,44
2021,6,100,32,13,4,4,6,5
2021,7,총,"89,221","27,000","3,978","41,355","12,967","3,921"
2021,7,0,"9,192","1,442",199,"5,721","1,649",181
2021,7,10,"8,580","2,070",178,"5,209",912,211
2021,7,20,"8,066","2,931",404,"3,319","1,143",269
2021,7,30,"12,344","2,632",431,"6,677","2,304",300
2021,7,40,"16,009","4,005",392,"9,141","2,024",447
2021,7,50,"12,088","4,740",649,"4,145","1,898",656
2021,7,60,"11,884","4,494",817,"3,980","1,649",944
2021,7,70,"6,887","2,906",475,"2,106",855,545
2021,7,80,"3,557","1,526",360,903,450,318
2021,7,90,583,242,69,150,77,45
2021,7,100,31,12,4,4,6,5
2021,8,총,"89,265","26,995","3,968","41,367","13,020","3,915"
2021,8,0,"9,145","1,432",198,"5,675","1,657",183
2021,8,10,"8,616","2,058",181,"5,240",929,208
2021,8,20,"8,020","2,916",404,"3,308","1,129",263
2021,8,30,"12,303","2,657",430,"6,601","2,313",302
2021,8,40,"16,044","3,971",383,"9,211","2,034",445
2021,8,50,"12,088","4,748",644,"4,151","1,892",653
2021,8,60,"11,955","4,510",824,"4,001","1,670",950
2021,8,70,"6,898","2,911",470,"2,118",858,541
2021,8,80,"3,571","1,530",360,908,452,321
2021,8,90,595,250,70,150,81,44
2021,8,100,30,12,4,4,5,5
2021,9,총,"89,290","26,989","3,956","41,409","13,029","3,907"
2021,9,0,"9,097","1,419",195,"5,650","1,651",182
2021,9,10,"8,624","2,052",179,"5,259",929,205
2021,9,20,"7,987","2,909",403,"3,288","1,127",260
2021,9,30,"12,258","2,670",426,"6,558","2,300",304
2021,9,40,"16,101","3,965",385,"9,256","2,050",445
2021,9,50,"12,129","4,749",641,"4,191","1,901",647
2021,9,60,"11,959","4,510",825,"4,002","1,671",951
2021,9,70,"6,923","2,910",469,"2,136",863,545
2021,9,80,"3,584","1,544",361,910,452,317
2021,9,90,600,250,68,155,81,46
2021,9,100,28,11,4,4,4,5
2021,10,총,"89,350","27,057","3,962","41,411","13,026","3,894"
2021,10,0,"9,058","1,418",198,"5,610","1,655",177
2021,10,10,"8,666","2,056",180,"5,278",939,213
2021,10,20,"7,970","2,904",399,"3,298","1,116",253
2021,10,30,"12,170","2,672",426,"6,485","2,284",303
2021,10,40,"16,162","3,982",387,"9,293","2,060",440
2021,10,50,"12,170","4,755",645,"4,213","1,910",647
2021,10,60,"11,986","4,533",824,"4,014","1,669",946
2021,10,70,"6,931","2,917",469,"2,141",857,547
2021,10,80,"3,601","1,554",361,914,452,320
2021,10,90,607,255,69,160,80,43
2021,10,100,29,11,4,5,4,5
2021,11,총,"89,500","27,108","3,967","41,451","13,058","3,916"
2021,11,0,"9,033","1,418",198,"5,580","1,656",181
2021,11,10,"8,691","2,050",175,"5,307",943,216
2021,11,20,"7,952","2,904",395,"3,282","1,111",260
2021,11,30,"12,129","2,663",430,"6,445","2,285",306
2021,11,40,"16,219","3,985",382,"9,321","2,087",444
2021,11,50,"12,194","4,761",650,"4,231","1,906",646
2021,11,60,"12,073","4,575",827,"4,045","1,677",949
2021,11,70,"6,947","2,935",462,"2,153",854,543
2021,11,80,"3,621","1,550",372,922,455,322
2021,11,90,612,256,72,160,80,44
2021,11,100,29,11,4,5,4,5
2021,12,총,"89,434","27,085","3,976","41,431","13,038","3,904"
2021,12,0,"8,972","1,406",200,"5,536","1,652",178
2021,12,10,"8,697","2,056",174,"5,301",949,217
2021,12,20,"7,952","2,907",400,"3,292","1,098",255
2021,12,30,"12,032","2,643",427,"6,390","2,272",300
2021,12,40,"16,258","3,997",384,"9,355","2,082",440
2021,12,50,"12,204","4,747",646,"4,246","1,915",650
2021,12,60,"12,078","4,576",828,"4,057","1,674",943
2021,12,70,"6,979","2,932",466,"2,173",858,550
2021,12,80,"3,615","1,558",372,911,455,319
2021,12,90,618,253,74,165,79,47
2021,12,100,29,10,5,5,4,5
