년도,월,나이,신안군,지도읍,지도읍선도출장소,압해읍,압해읍매화출장소,압해읍고이도출장소,증도면,증도면병풍출장소,임자면,자은면,비금면,도초면,도초면우이도출장소,흑산면,흑산면가거도출장소,흑산면태도출장소,흑산면홍도출장소,흑산면대둔도출장소,하의면,신의면,장산면,안좌면,안좌면자라출장소,팔금면,암태면
2020,4,총,"21,104","2,258",133,"3,187",136,129,817,188,"1,712","1,198","1,881","1,313",124,"1,328",298,124,299,194,956,856,841,"1,425",156,499,"1,052"
2020,4,0,870,87,2,129,5,8,25,2,96,55,78,62,6,33,5,5,18,8,38,33,41,60,5,10,59
2020,4,10,"1,087",114,4,143,3,4,28,10,116,55,105,106,3,78,16,9,21,12,59,54,29,55,6,17,40
2020,4,20,"1,800",202,10,306,6,5,77,8,155,74,113,110,3,147,57,8,24,17,80,71,59,124,11,48,85
2020,4,30,"1,851",168,7,297,15,12,74,19,143,98,158,120,6,135,38,9,45,17,64,86,73,123,23,39,82
2020,4,40,"2,997",321,16,433,17,16,137,28,272,139,269,164,24,221,61,24,65,36,139,146,116,152,18,57,126
2020,4,50,"4,350",476,33,644,31,22,183,46,366,248,403,239,38,288,59,30,61,42,208,185,157,284,24,78,205
2020,4,60,"4,080",458,35,671,33,26,122,34,293,237,360,237,25,218,37,24,41,37,177,155,167,304,38,123,228
2020,4,70,"2,855",306,14,381,21,28,118,33,214,194,289,195,16,139,18,11,18,23,136,94,134,215,24,92,142
2020,4,80,"1,120",117,12,166,4,7,51,8,54,93,98,77,3,66,7,3,6,2,52,28,61,94,5,32,74
2020,4,90,89,9,0,16,1,1,2,0,3,5,8,3,0,2,0,1,0,0,3,3,3,13,2,3,11
2020,4,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020,5,총,"21,048","2,250",132,"3,170",134,129,822,187,"1,712","1,203","1,871","1,311",123,"1,319",298,124,301,195,954,855,838,"1,412",156,496,"1,056"
2020,5,0,861,88,2,127,5,8,26,2,95,54,76,60,6,33,5,5,19,6,35,33,41,61,5,10,59
2020,5,10,"1,079",112,4,135,3,4,27,10,117,55,104,107,3,77,16,9,21,13,59,55,28,55,5,17,43
2020,5,20,"1,783",200,10,308,5,5,76,8,152,76,114,109,3,140,57,8,24,19,78,71,58,121,12,46,83
2020,5,30,"1,826",165,7,293,14,12,75,19,140,98,155,117,6,137,39,9,45,17,66,84,70,114,23,38,83
2020,5,40,"2,978",315,16,429,18,16,138,28,280,142,266,163,24,215,58,23,65,36,140,144,115,151,18,55,123
2020,5,50,"4,346",473,33,641,29,22,186,45,359,248,404,236,37,291,60,31,63,42,207,188,158,282,23,79,209
2020,5,60,"4,099",461,35,673,34,26,123,33,296,239,359,245,24,220,38,24,40,37,177,153,168,301,39,124,230
2020,5,70,"2,852",303,13,380,21,27,119,34,216,193,285,195,17,136,18,11,18,23,137,96,136,215,24,92,143
2020,5,80,"1,130",124,12,166,4,8,49,8,55,93,101,76,3,67,7,3,6,2,51,27,60,98,5,32,73
2020,5,90,89,9,0,17,1,1,3,0,2,5,7,3,0,2,0,1,0,0,4,3,3,13,2,3,10
2020,5,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020,6,총,"21,033","2,250",131,"3,167",132,128,818,192,"1,702","1,206","1,869","1,311",124,"1,314",295,124,297,196,951,862,837,"1,422",157,496,"1,052"
2020,6,0,867,89,2,128,5,7,29,2,96,53,75,60,6,32,7,5,19,6,34,33,43,62,5,10,59
2020,6,10,"1,063",110,4,134,3,5,26,10,116,52,104,107,3,76,14,9,20,12,58,55,27,55,4,17,42
2020,6,20,"1,755",197,10,304,5,3,72,9,147,78,112,109,3,133,57,8,25,19,77,72,57,122,13,43,80
2020,6,30,"1,818",164,7,292,13,12,74,19,139,98,154,117,6,136,38,9,44,17,68,84,69,114,23,39,82
2020,6,40,"2,967",313,13,427,19,17,138,28,276,145,265,165,25,221,56,22,61,34,138,146,114,148,19,55,122
2020,6,50,"4,344",476,36,637,27,22,185,48,360,248,396,233,37,289,61,32,64,45,208,184,159,289,23,76,209
2020,6,60,"4,125",459,34,680,34,26,124,34,294,241,366,245,24,220,38,23,39,38,175,161,169,305,39,129,228
2020,6,70,"2,867",308,13,382,21,27,120,34,217,193,289,197,17,137,17,12,19,23,138,94,134,215,24,90,146
2020,6,80,"1,136",125,12,165,4,8,49,8,55,93,101,75,3,67,7,3,6,1,51,29,61,99,5,34,75
2020,6,90,86,9,0,17,1,1,1,0,2,5,7,3,0,2,0,1,0,1,4,3,3,12,2,3,9
2020,6,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020,7,총,"20,995","2,242",128,"3,154",131,128,826,191,"1,696","1,194","1,870","1,310",127,"1,315",294,126,295,196,951,864,836,"1,421",154,497,"1,049"
2020,7,0,857,90,2,129,5,7,30,2,90,49,73,58,6,32,7,5,18,6,33,34,43,62,6,10,60
2020,7,10,"1,058",110,3,134,2,5,25,10,117,48,106,108,3,73,14,9,21,13,60,53,27,55,4,17,41
2020,7,20,"1,729",192,9,295,6,3,71,9,146,79,110,106,3,133,56,10,23,19,75,73,56,121,13,43,78
2020,7,30,"1,813",165,9,286,12,12,75,18,137,98,153,117,6,137,37,9,44,16,68,84,71,115,23,40,81
2020,7,40,"2,947",309,11,421,18,17,138,28,273,142,265,166,26,224,56,21,61,35,138,146,113,149,16,54,120
2020,7,50,"4,332",473,36,638,26,21,193,48,360,246,395,231,37,287,57,33,64,44,206,182,158,289,23,78,207
2020,7,60,"4,147",455,34,684,36,26,122,34,295,239,370,250,25,223,43,23,39,39,177,164,171,305,38,125,230
2020,7,70,"2,869",309,12,387,21,27,119,33,219,195,287,195,17,135,16,12,19,21,138,96,133,213,24,93,148
2020,7,80,"1,156",130,12,165,4,9,52,9,57,93,104,76,4,68,8,3,6,2,52,28,60,99,5,35,75
2020,7,90,82,9,0,14,1,1,1,0,2,5,7,3,0,2,0,1,0,1,4,3,3,12,2,2,9
2020,7,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020,8,총,"20,967","2,232",128,"3,151",129,127,822,191,"1,702","1,201","1,874","1,308",128,"1,320",293,125,293,194,948,859,831,"1,419",152,491,"1,049"
2020,8,0,848,87,2,131,5,7,29,2,90,50,73,58,6,32,7,5,17,5,33,33,40,62,6,10,58
2020,8,10,"1,053",109,2,134,2,4,24,10,117,49,106,107,3,73,13,9,23,13,59,54,28,54,4,16,40
2020,8,20,"1,725",193,10,293,6,4,73,9,143,80,111,106,3,134,51,10,22,18,77,73,54,121,13,43,78
2020,8,30,"1,790",162,9,283,12,12,70,17,139,102,148,116,6,137,39,9,44,16,67,79,70,110,21,39,83
2020,8,40,"2,932",300,11,417,18,17,138,29,274,140,268,169,26,223,60,20,60,33,134,149,114,149,15,51,117
2020,8,50,"4,333",475,36,642,24,20,192,48,356,252,393,226,39,292,58,33,63,45,204,179,155,290,24,78,209
2020,8,60,"4,168",457,34,685,37,26,123,34,303,236,372,252,25,221,41,23,39,40,179,163,173,310,38,125,232
2020,8,70,"2,870",310,12,385,20,27,119,33,217,194,293,194,17,137,16,12,19,21,139,97,133,212,24,93,146
2020,8,80,"1,160",130,12,166,4,9,53,9,61,93,103,76,3,68,8,3,6,2,52,28,60,98,5,34,77
2020,8,90,83,9,0,14,1,1,1,0,2,5,7,4,0,2,0,1,0,1,4,3,3,12,2,2,9
2020,8,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020,9,총,"20,917","2,226",126,"3,150",127,129,810,189,"1,685","1,203","1,866","1,308",127,"1,314",289,130,297,193,952,860,831,"1,419",152,491,"1,043"
2020,9,0,842,87,2,129,5,9,24,2,86,50,75,58,6,32,6,6,18,5,33,33,42,62,6,10,56
2020,9,10,"1,053",107,2,134,2,4,24,11,118,49,103,105,3,74,14,10,23,13,60,55,27,53,4,16,42
2020,9,20,"1,708",187,10,289,6,4,70,9,139,82,112,108,3,132,49,10,24,19,79,72,53,119,12,43,77
2020,9,30,"1,758",162,9,285,11,11,66,17,133,99,143,116,6,133,38,9,43,16,67,78,71,107,22,37,79
2020,9,40,"2,930",299,11,416,17,18,138,27,273,138,268,167,26,222,57,24,64,33,133,151,115,153,15,50,115
2020,9,50,"4,317",474,36,644,24,20,193,47,350,253,387,227,39,289,60,33,62,44,205,176,152,289,23,78,212
2020,9,60,"4,180",461,32,683,36,26,123,34,308,239,377,253,24,223,41,23,36,39,177,165,174,308,39,128,231
2020,9,70,"2,870",307,12,387,20,25,118,33,216,194,290,194,17,136,16,11,21,21,142,97,134,215,24,94,146
2020,9,80,"1,168",132,12,168,5,11,53,9,60,93,104,76,3,70,8,3,6,2,51,29,59,100,5,33,76
2020,9,90,86,10,0,14,1,1,1,0,2,6,7,4,0,2,0,1,0,1,5,3,3,12,2,2,9
2020,9,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020,10,총,"20,881","2,236",127,"3,142",126,131,808,187,"1,681","1,201","1,867","1,305",124,"1,312",288,128,296,191,946,865,827,"1,408",151,489,"1,045"
2020,10,0,822,85,2,121,5,11,24,2,84,45,77,57,6,32,6,6,17,5,32,32,41,61,5,11,55
2020,10,10,"1,055",108,1,133,2,4,25,9,119,52,102,106,3,75,14,10,23,11,59,55,28,54,4,16,42
2020,10,20,"1,698",187,11,287,5,4,66,11,141,81,112,108,3,130,47,9,24,20,78,74,52,117,12,41,78
2020,10,30,"1,734",163,9,277,11,11,65,16,129,99,140,113,5,132,40,9,41,16,66,77,71,104,22,38,80
2020,10,40,"2,921",303,11,419,17,17,140,28,271,137,267,168,25,223,55,24,64,33,131,153,111,150,14,49,111
2020,10,50,"4,308",470,36,642,24,21,194,46,350,250,388,223,39,286,62,32,64,43,203,177,154,285,24,78,217
2020,10,60,"4,198",468,32,690,36,26,122,33,308,244,376,257,23,226,40,23,36,38,179,166,173,309,39,126,228
2020,10,70,"2,885",309,13,390,20,24,120,33,217,195,293,191,17,135,16,11,20,22,142,97,134,216,24,95,151
2020,10,80,"1,167",132,12,169,5,12,50,9,60,92,105,78,3,70,8,3,7,2,51,29,59,99,5,33,74
2020,10,90,88,11,0,13,1,1,2,0,2,6,7,4,0,2,0,1,0,1,5,4,3,12,2,2,9
2020,10,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020,11,총,"20,798","2,217",127,"3,139",125,131,806,185,"1,675","1,199","1,862","1,295",127,"1,301",288,125,297,190,946,858,823,"1,404",151,483,"1,044"
2020,11,0,799,82,2,112,5,11,24,2,83,45,76,56,6,32,6,5,17,5,31,30,39,61,6,9,54
2020,11,10,"1,052",107,1,133,2,4,25,9,118,53,102,104,3,74,13,9,22,11,62,56,28,54,4,16,42
2020,11,20,"1,685",182,11,292,6,4,61,11,136,80,111,106,3,130,49,9,25,20,78,74,53,117,12,38,77
2020,11,30,"1,717",159,9,276,11,10,69,16,128,100,138,110,5,129,40,9,41,14,66,74,70,104,22,38,79
2020,11,40,"2,914",300,10,416,17,17,138,28,274,136,266,166,25,221,56,23,65,34,131,155,109,150,14,50,113
2020,11,50,"4,285",466,36,645,23,22,194,45,343,248,389,223,42,283,61,32,65,43,202,173,154,285,23,77,211
2020,11,60,"4,197",467,33,692,35,25,123,34,313,243,374,258,23,227,40,23,35,38,178,165,174,304,39,122,232
2020,11,70,"2,893",314,13,390,20,25,120,31,217,197,294,189,17,134,15,11,20,22,143,98,136,213,24,97,153
2020,11,80,"1,164",130,12,170,5,12,50,9,61,91,105,78,3,68,8,3,7,2,50,28,56,103,5,34,74
2020,11,90,87,10,0,12,1,1,2,0,2,6,7,5,0,2,0,1,0,1,5,4,3,12,2,2,9
2020,11,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020,12,총,"20,769","2,203",128,"3,136",124,130,807,183,"1,677","1,189","1,865","1,292",128,"1,287",309,126,288,192,942,849,819,"1,411",151,486,"1,047"
2020,12,0,795,82,2,114,4,11,21,2,83,44,74,54,6,31,8,6,14,5,33,30,38,62,6,10,55
2020,12,10,"1,057",107,1,131,2,4,25,9,119,52,101,106,3,73,18,9,20,10,62,54,28,57,6,17,43
2020,12,20,"1,679",177,10,290,6,4,64,11,140,81,114,103,3,128,48,9,24,21,76,75,53,116,12,37,77
2020,12,30,"1,710",161,9,272,11,9,70,16,129,97,140,108,6,124,43,9,40,14,67,70,69,106,22,39,79
2020,12,40,"2,899",295,11,418,17,16,135,27,273,134,267,163,25,217,60,23,66,34,129,153,110,150,15,51,110
2020,12,50,"4,277",463,37,641,23,23,196,44,341,249,390,227,41,281,68,29,62,45,198,174,152,286,23,75,209
2020,12,60,"4,208",469,33,696,35,24,123,34,312,238,374,257,24,229,41,26,35,38,183,164,174,306,36,123,234
2020,12,70,"2,881",311,13,388,19,26,120,31,217,195,292,192,17,133,15,11,20,22,140,98,134,209,24,98,156
2020,12,80,"1,166",128,12,172,6,12,50,9,61,93,106,76,3,68,8,3,7,2,49,26,56,106,5,34,74
2020,12,90,92,10,0,13,1,1,3,0,2,6,7,6,0,2,0,1,0,1,5,4,4,12,2,2,10
2020,12,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,1,총,"20,665","2,190",126,"3,118",123,131,799,183,"1,678","1,188","1,862","1,281",129,"1,273",310,127,281,193,936,842,811,"1,401",151,483,"1,049"
2021,1,0,776,73,2,116,4,11,21,2,81,44,71,52,6,30,8,7,13,5,35,30,38,60,6,10,51
2021,1,10,"1,059",110,2,132,2,4,25,9,120,53,104,104,3,73,16,9,19,10,60,55,27,56,6,16,44
2021,1,20,"1,656",178,10,285,6,4,60,11,141,78,111,104,3,125,45,9,22,22,76,75,50,116,12,38,75
2021,1,30,"1,694",153,9,271,10,9,67,16,128,96,143,108,6,124,46,10,38,14,69,69,66,105,21,39,77
2021,1,40,"2,863",288,11,411,17,16,137,25,272,133,263,160,25,209,63,22,64,33,127,149,112,146,15,52,113
2021,1,50,"4,259",465,36,633,22,23,191,46,341,252,395,222,42,278,69,29,64,45,196,171,151,281,23,75,209
2021,1,60,"4,208",472,32,693,36,25,122,34,314,237,374,256,24,228,41,26,34,39,181,165,173,306,36,122,238
2021,1,70,"2,875",311,13,393,19,26,121,31,218,195,290,188,17,135,14,11,20,22,138,93,134,211,25,95,155
2021,1,80,"1,177",130,11,170,6,12,52,9,61,94,104,80,3,68,8,3,7,2,49,30,56,107,5,33,77
2021,1,90,93,10,0,13,1,1,3,0,2,6,7,7,0,2,0,1,0,1,5,4,3,12,2,3,10
2021,1,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,2,총,"20,740","2,201",128,"3,126",125,132,798,181,"1,693","1,192","1,871","1,286",128,"1,271",301,125,281,192,935,844,821,"1,402",153,485,"1,069"
2021,2,0,773,77,2,113,4,11,18,3,76,43,77,51,6,30,8,7,11,5,34,30,38,59,6,12,52
2021,2,10,"1,055",113,2,139,2,4,25,9,123,54,100,98,3,69,15,9,18,10,61,55,26,54,6,17,43
2021,2,20,"1,647",175,10,282,5,5,59,10,142,79,108,108,3,125,40,9,22,21,75,74,51,115,13,38,78
2021,2,30,"1,705",149,9,273,13,9,66,15,126,94,148,111,6,124,48,10,40,15,65,70,69,106,22,37,80
2021,2,40,"2,893",290,12,412,17,16,136,25,276,136,262,159,24,217,61,21,64,34,128,147,116,151,15,56,118
2021,2,50,"4,279",464,36,633,20,22,197,46,354,245,395,226,42,273,69,28,66,45,197,173,153,284,23,74,214
2021,2,60,"4,224",479,33,693,37,26,122,33,315,245,379,257,24,225,39,26,34,38,180,165,173,306,36,120,239
2021,2,70,"2,865",307,13,398,20,25,117,29,218,191,288,186,17,137,14,11,19,21,141,94,132,210,25,94,158
2021,2,80,"1,198",137,11,169,6,13,55,11,61,99,107,83,3,68,7,3,7,2,49,31,58,105,5,34,74
2021,2,90,96,10,0,13,1,1,3,0,2,6,7,7,0,2,0,1,0,1,5,4,4,11,2,3,13
2021,2,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,3,총,"20,664","2,197",128,"3,114",117,131,801,180,"1,701","1,198","1,867","1,285",125,"1,249",290,121,282,189,926,833,821,"1,399",153,488,"1,069"
2021,3,0,779,80,2,111,3,11,19,3,76,43,80,51,6,31,7,7,12,5,34,31,41,56,7,11,52
2021,3,10,"1,041",112,2,138,1,4,24,8,125,55,97,95,3,70,14,9,18,10,56,55,26,53,6,17,43
2021,3,20,"1,626",169,10,280,5,5,59,10,139,80,111,105,3,120,36,9,22,19,73,75,50,116,13,39,78
2021,3,30,"1,700",150,9,269,12,9,66,14,124,95,152,116,6,120,47,10,39,16,68,70,67,107,20,36,78
2021,3,40,"2,872",289,12,406,14,16,137,27,276,136,257,158,22,218,60,20,63,34,127,142,112,154,16,57,119
2021,3,50,"4,238",449,37,633,19,21,194,45,353,246,392,228,41,276,65,27,68,44,193,166,154,278,23,75,211
2021,3,60,"4,260",490,32,699,36,26,129,32,325,249,379,258,25,216,40,26,34,37,181,165,178,306,36,120,241
2021,3,70,"2,849",309,13,391,20,25,115,28,217,191,288,186,17,132,14,10,19,21,140,94,128,212,25,95,159
2021,3,80,"1,202",139,11,175,6,13,55,13,64,98,105,81,2,63,7,3,6,2,49,30,59,105,5,35,76
2021,3,90,93,10,0,12,1,1,3,0,2,5,6,7,0,2,0,0,1,1,5,4,5,11,2,3,12
2021,3,100,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,4,총,"20,679","2,203",128,"3,110",116,129,801,181,"1,705","1,197","1,860","1,280",124,"1,245",292,123,282,189,928,838,829,"1,400",154,491,"1,074"
2021,4,0,776,82,2,112,3,11,19,3,75,41,79,50,6,33,7,6,10,4,33,32,42,57,7,11,51
2021,4,10,"1,035",113,2,135,1,3,24,9,124,53,96,95,3,70,12,10,17,11,56,54,28,51,6,18,44
2021,4,20,"1,627",168,10,278,5,5,58,10,140,80,109,104,3,118,39,10,23,19,72,76,52,118,13,40,77
2021,4,30,"1,682",150,9,270,12,10,66,14,124,93,148,112,6,117,44,11,39,15,69,71,65,105,20,36,76
2021,4,40,"2,875",286,13,404,14,16,135,27,281,139,256,163,22,217,61,20,63,32,127,143,111,152,16,56,121
2021,4,50,"4,239",449,34,633,19,21,193,46,349,247,394,226,41,273,68,27,69,46,196,166,156,277,23,75,211
2021,4,60,"4,271",494,33,701,35,25,130,31,329,250,378,257,23,216,40,26,35,37,179,164,177,306,37,121,247
2021,4,70,"2,850",306,14,389,20,25,115,28,216,189,284,185,18,135,14,10,19,21,141,97,132,213,25,95,159
2021,4,80,"1,225",144,11,175,6,12,58,13,65,99,110,81,2,63,7,3,6,3,50,30,61,108,5,36,77
2021,4,90,95,11,0,13,1,1,3,0,2,6,6,7,0,2,0,0,1,1,5,4,4,12,2,3,11
2021,4,100,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,5,총,"20,671","2,205",126,"3,116",115,130,798,182,"1,709","1,197","1,868","1,275",124,"1,242",288,122,276,189,924,832,824,"1,406",154,493,"1,076"
2021,5,0,774,80,2,111,3,11,18,4,76,42,78,52,6,34,7,6,11,4,34,31,43,53,8,11,49
2021,5,10,"1,034",115,2,137,1,3,24,9,121,52,97,97,3,65,12,10,15,11,54,55,28,52,6,19,46
2021,5,20,"1,623",166,9,280,5,5,55,10,142,82,110,102,3,119,36,9,21,19,72,74,48,124,14,40,78
2021,5,30,"1,665",155,9,266,12,11,64,14,122,93,148,108,6,118,44,12,39,15,66,70,63,103,18,36,73
2021,5,40,"2,833",282,13,399,14,16,130,26,276,140,251,160,22,214,59,20,62,32,128,142,109,147,16,55,120
2021,5,50,"4,260",450,32,639,19,20,198,46,357,244,398,224,41,274,69,26,67,46,196,164,158,279,23,76,214
2021,5,60,"4,285",497,34,699,35,26,133,32,326,251,382,257,23,218,40,26,35,37,177,163,176,313,37,120,248
2021,5,70,"2,856",305,13,393,19,24,115,28,222,185,286,187,18,136,14,10,19,21,141,98,133,211,25,94,159
2021,5,80,"1,241",143,12,179,6,13,58,13,65,102,111,81,2,61,7,3,6,3,52,30,61,111,5,39,78
2021,5,90,96,12,0,13,1,1,3,0,2,6,7,7,0,2,0,0,1,1,4,4,4,12,2,3,11
2021,5,100,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,6,총,"20,652","2,205",126,"3,120",117,128,796,184,"1,708","1,203","1,863","1,272",124,"1,240",286,119,269,190,921,834,823,"1,409",155,491,"1,069"
2021,6,0,764,77,3,110,5,11,17,4,75,42,75,52,7,34,7,5,11,4,31,30,43,55,8,9,49
2021,6,10,"1,031",115,2,140,0,3,24,9,121,52,99,93,3,63,12,11,15,11,56,53,28,52,6,18,45
2021,6,20,"1,620",166,9,278,5,5,58,9,144,79,110,103,3,119,36,7,20,19,71,79,49,123,14,39,75
2021,6,30,"1,644",153,8,264,12,11,61,16,121,93,146,108,6,120,40,12,36,15,67,68,61,102,18,34,72
2021,6,40,"2,817",282,14,398,14,15,132,26,272,142,245,159,22,212,61,19,58,31,126,142,109,147,17,56,118
2021,6,50,"4,254",449,31,635,19,21,193,45,357,245,401,221,40,273,71,25,70,48,195,164,160,276,23,78,214
2021,6,60,"4,314",501,34,709,36,26,135,32,327,255,384,260,23,215,39,27,34,36,180,163,175,316,37,122,248
2021,6,70,"2,864",308,13,393,19,24,115,30,222,184,286,188,18,139,14,10,19,22,139,100,133,212,25,94,157
2021,6,80,"1,242",142,12,181,6,11,58,13,67,105,110,81,2,61,6,3,5,3,52,30,60,111,5,38,80
2021,6,90,98,12,0,12,1,1,3,0,2,6,7,7,0,3,0,0,1,1,4,4,4,14,2,3,11
2021,6,100,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,7,총,"20,633","2,209",126,"3,122",116,128,796,182,"1,706","1,210","1,856","1,266",125,"1,244",280,118,268,189,918,833,821,"1,414",152,490,"1,064"
2021,7,0,766,79,3,112,4,11,16,4,74,43,74,53,7,33,8,5,11,4,31,30,41,57,8,9,49
2021,7,10,"1,032",116,2,139,0,3,24,8,123,50,100,93,3,63,12,11,15,10,54,52,30,56,6,16,46
2021,7,20,"1,612",166,9,276,5,5,60,10,142,80,109,98,4,120,34,7,19,19,72,78,49,122,13,39,76
2021,7,30,"1,627",151,8,263,12,11,58,15,119,91,143,107,6,124,36,11,37,15,63,70,61,103,17,35,71
2021,7,40,"2,806",285,13,401,14,15,127,26,269,141,244,160,22,208,61,18,58,30,126,140,110,148,17,56,117
