년도,월,나이,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021,3,90,157,20,9,8,13,12,11,13,19,10,9,4,18,11
2021,3,100,5,0,1,0,0,2,0,0,0,1,0,0,1,0
2021,4,총,"22,133","4,870","1,551","1,739",941,924,"1,122","1,765","2,951",858,851,779,"2,164","1,618"
2021,4,0,914,282,43,62,30,26,38,48,159,13,28,35,80,70
2021,4,10,"1,515",448,113,106,55,36,56,73,241,33,50,87,125,92
2021,4,20,"1,966",543,131,120,69,65,99,166,279,56,49,39,152,198
2021,4,30,"1,503",435,63,85,54,57,65,123,213,47,59,45,130,127
2021,4,40,"2,676",679,182,187,102,96,124,187,433,80,83,75,227,221
2021,4,50,"4,546",960,399,377,182,176,221,382,556,162,167,141,463,360
2021,4,60,"4,737",835,335,417,231,236,272,388,568,206,217,211,519,302
2021,4,70,"2,753",474,186,236,131,139,152,256,324,163,126,111,291,164
2021,4,80,"1,355",193,88,140,75,78,84,128,157,88,64,31,156,73
2021,4,90,163,21,10,9,12,13,11,14,21,9,8,4,20,11
2021,4,100,5,0,1,0,0,2,0,0,0,1,0,0,1,0
2021,5,총,"22,080","4,883","1,546","1,732",944,922,"1,113","1,758","2,949",850,840,776,"2,164","1,603"
2021,5,0,903,280,43,63,31,26,38,48,155,13,28,32,78,68
2021,5,10,"1,507",452,110,105,55,36,55,72,242,32,47,85,125,91
2021,5,20,"1,946",539,130,122,68,63,95,164,280,55,46,39,152,193
2021,5,30,"1,480",434,63,84,54,57,65,117,210,43,57,45,129,122
2021,5,40,"2,667",685,182,184,103,92,121,186,431,79,82,77,222,223
2021,5,50,"4,511",957,397,372,178,177,216,381,551,156,168,137,465,356
2021,5,60,"4,770",840,335,417,237,239,269,392,576,208,215,213,527,302
2021,5,70,"2,768",478,187,236,131,138,159,255,323,165,126,113,292,165
2021,5,80,"1,360",197,86,141,74,80,84,129,160,89,62,31,154,73
2021,5,90,163,21,12,8,13,12,11,14,21,9,9,4,19,10
2021,5,100,5,0,1,0,0,2,0,0,0,1,0,0,1,0
