년도,월,나이,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020,10,총,"143,000","3,863","9,865",672,"1,239",502,"1,873","1,313",429,"8,684","1,663","1,757","1,483","1,171","4,399","5,040","6,004","7,831","11,138","2,280","5,648","2,240","18,133","25,670","9,529","10,574"
2020,10,0,"10,608",177,"1,060",18,46,8,62,35,6,702,33,34,32,46,456,401,266,640,889,170,224,70,"1,307","2,175",716,"1,035"
2020,10,10,"12,982",220,"1,162",21,79,16,76,64,14,830,75,79,68,53,308,344,424,710,"1,009",175,299,115,"2,167","2,885",764,"1,025"
2020,10,20,"17,371",366,871,54,98,11,112,76,16,"1,053",111,407,194,114,492,582,890,"1,053","1,301",240,"1,112",522,"2,444","2,965","1,152","1,135"
2020,10,30,"16,828",301,"1,310",34,86,28,105,53,13,"1,152",109,186,145,97,692,638,603,"1,064","1,422",233,539,260,"1,842","3,267","1,262","1,387"
2020,10,40,"21,472",418,"1,791",45,112,29,145,115,29,"1,407",152,172,159,124,572,670,763,"1,158","1,636",336,625,213,"3,163","4,554","1,402","1,682"
2020,10,50,"23,499",703,"1,510",114,225,87,320,257,82,"1,394",294,245,248,196,560,873,"1,001","1,303","1,816",389,806,333,"3,134","4,328","1,689","1,592"
2020,10,60,"19,464",695,"1,194",166,296,129,424,316,111,"1,114",443,285,272,210,560,718,997,903,"1,530",341,871,342,"1,982","2,856","1,388","1,321"
2020,10,70,"11,835",515,541,113,136,102,289,220,97,583,244,197,194,183,464,482,631,578,875,251,683,229,"1,238","1,512",677,801
2020,10,80,"7,433",402,332,95,141,77,272,140,52,378,168,136,140,112,245,274,353,359,561,120,413,130,718,942,383,490
