년도,월,나이,김포시,통진읍,고촌읍,양촌읍,대곶면,월곶면,하성면,김포본동,장기본동,사우동,풍무동,장기동,구래동,마산동,운양동
2020,3,80,"9,798","1,013",703,824,489,359,543,"1,399",641,586,"1,193",597,410,434,607
2020,3,90,"1,403",119,118,149,75,68,68,194,81,77,145,77,57,68,107
2020,3,100,67,4,13,8,2,5,6,15,1,4,6,1,0,2,0
2020,4,총,"445,425","26,545","30,831","27,724","9,767","5,547","8,289","50,824","39,470","23,071","62,029","41,391","40,043","30,533","49,361"
2020,4,0,"52,281","1,761","3,450","2,256",336,152,274,"3,909","5,357","1,719","7,261","6,230","6,619","5,030","7,927"
2020,4,10,"45,555","2,325","3,054","2,367",567,274,483,"5,827","5,509","2,173","7,091","4,983","3,424","2,440","5,038"
2020,4,20,"48,465","3,217","3,069","2,872",917,497,842,"6,998","3,845","3,259","7,325","3,774","4,668","2,659","4,523"
2020,4,30,"71,403","2,924","4,737","3,794",876,425,667,"5,595","6,033","3,056","9,459","7,046","9,855","7,270","9,666"
2020,4,40,"82,474","4,127","5,491","4,660","1,304",616,953,"8,686","8,470","3,924","11,752","8,959","7,454","5,585","10,493"
2020,4,50,"63,934","5,175","4,478","4,759","2,241","1,217","1,761","9,482","4,843","4,224","8,867","4,786","3,652","2,936","5,513"
2020,4,60,"45,393","3,889","3,847","3,928","1,908","1,240","1,640","5,578","3,002","2,602","5,716","3,198","2,636","2,569","3,640"
2020,4,70,"24,543","1,987","1,867","2,093","1,051",694,"1,040","3,130","1,688","1,430","3,196","1,731","1,255","1,541","1,840"
2020,4,80,"9,895","1,014",712,836,489,359,555,"1,407",641,598,"1,207",604,421,434,618
2020,4,90,"1,414",122,114,151,76,68,68,195,81,82,149,79,59,67,103
2020,4,100,68,4,12,8,2,5,6,17,1,4,6,1,0,2,0
2020,5,총,"447,038","26,490","31,454","28,192","9,766","5,533","8,266","51,146","39,529","23,022","62,045","41,369","40,186","30,604","49,436"
2020,5,0,"52,326","1,745","3,558","2,310",333,150,271,"3,930","5,333","1,706","7,261","6,192","6,592","5,032","7,913"
2020,5,10,"45,686","2,312","3,091","2,393",567,270,486,"5,810","5,547","2,173","7,084","4,992","3,447","2,467","5,047"
2020,5,20,"48,678","3,214","3,127","2,933",908,498,827,"7,028","3,854","3,225","7,343","3,771","4,735","2,671","4,544"
2020,5,30,"71,424","2,904","4,899","3,878",870,419,671,"5,680","5,998","3,038","9,413","6,997","9,833","7,225","9,599"
2020,5,40,"82,849","4,115","5,604","4,722","1,294",614,940,"8,725","8,498","3,918","11,774","8,977","7,515","5,618","10,535"
2020,5,50,"64,247","5,169","4,555","4,855","2,239","1,214","1,750","9,531","4,873","4,217","8,853","4,810","3,673","2,954","5,554"
2020,5,60,"45,698","3,907","3,880","3,996","1,925","1,239","1,645","5,639","3,009","2,630","5,741","3,201","2,653","2,576","3,657"
2020,5,70,"24,718","1,980","1,893","2,104","1,060",694,"1,044","3,175","1,693","1,431","3,209","1,746","1,265","1,563","1,861"
2020,5,80,"9,930","1,021",719,841,493,362,557,"1,423",644,596,"1,212",597,415,429,621
2020,5,90,"1,413",119,116,152,75,68,69,189,78,84,149,85,57,67,105
2020,5,100,69,4,12,8,2,5,6,16,2,4,6,1,1,2,0
2020,6,총,"449,039","26,517","31,871","28,415","9,794","5,532","8,271","51,487","39,656","23,045","62,219","41,377","40,433","30,791","49,631"
2020,6,0,"52,458","1,744","3,605","2,346",333,147,270,"3,978","5,321","1,711","7,257","6,165","6,610","5,038","7,933"
2020,6,10,"45,816","2,303","3,121","2,404",570,278,481,"5,797","5,567","2,156","7,094","5,029","3,455","2,496","5,065"
2020,6,20,"48,959","3,226","3,183","2,958",914,503,830,"7,035","3,889","3,225","7,375","3,751","4,786","2,702","4,582"
2020,6,30,"71,607","2,906","4,980","3,900",881,403,666,"5,774","5,995","3,044","9,407","6,998","9,862","7,200","9,591"
2020,6,40,"83,297","4,095","5,699","4,746","1,296",628,938,"8,775","8,521","3,892","11,800","9,007","7,595","5,695","10,610"
2020,6,50,"64,394","5,163","4,597","4,894","2,228","1,202","1,752","9,560","4,876","4,225","8,870","4,777","3,692","2,979","5,579"
2020,6,60,"46,205","3,950","3,935","4,046","1,938","1,245","1,645","5,738","3,069","2,662","5,806","3,209","2,683","2,601","3,678"
2020,6,70,"24,841","1,983","1,893","2,114","1,065",694,"1,056","3,198","1,696","1,437","3,236","1,753","1,277","1,573","1,866"
2020,6,80,"9,980","1,025",725,851,495,359,556,"1,428",643,603,"1,218",599,418,435,625
2020,6,90,"1,413",118,121,148,72,68,71,189,77,86,149,88,54,70,102
2020,6,100,69,4,12,8,2,5,6,15,2,4,7,1,1,2,0
2020,7,총,"451,842","26,547","31,963","28,463","9,816","5,539","8,251","53,647","39,660","23,006","62,175","41,311","41,070","30,862","49,532"
2020,7,0,"52,697","1,745","3,603","2,341",332,145,266,"4,382","5,272","1,693","7,225","6,128","6,666","5,035","7,864"
2020,7,10,"46,031","2,295","3,137","2,418",568,275,469,"5,930","5,586","2,157","7,070","5,029","3,509","2,507","5,081"
2020,7,20,"49,311","3,230","3,186","2,953",931,509,828,"7,216","3,903","3,219","7,403","3,744","4,896","2,714","4,579"
2020,7,30,"72,023","2,923","5,014","3,892",871,401,668,"6,410","5,937","3,010","9,351","6,936","9,976","7,169","9,465"
2020,7,40,"83,930","4,077","5,703","4,752","1,300",623,929,"9,119","8,560","3,898","11,777","9,037","7,748","5,749","10,658"
2020,7,50,"64,684","5,163","4,578","4,893","2,218","1,210","1,744","9,778","4,887","4,219","8,910","4,779","3,758","2,982","5,565"
2020,7,60,"46,617","3,965","3,981","4,071","1,953","1,244","1,659","5,920","3,086","2,672","5,817","3,210","2,719","2,603","3,717"
2020,7,70,"25,022","1,998","1,894","2,129","1,066",698,"1,058","3,240","1,712","1,444","3,248","1,761","1,303","1,590","1,881"
2020,7,80,"10,036","1,026",732,857,502,358,558,"1,447",642,605,"1,216",601,435,437,620
2020,7,90,"1,420",121,121,149,73,71,66,191,74,83,150,86,59,74,102
2020,7,100,71,4,14,8,2,5,6,14,1,6,8,0,1,2,0
2020,8,총,"458,505","26,477","35,974","28,577","9,789","5,506","8,243","58,108","39,426","22,719","61,621","41,077","41,203","30,696","49,089"
2020,8,0,"53,693","1,713","4,451","2,351",326,150,265,"5,304","5,188","1,651","7,023","6,011","6,577","4,968","7,715"
2020,8,10,"46,500","2,282","3,464","2,417",558,269,463,"6,258","5,543","2,116","6,984","5,027","3,542","2,512","5,065"
2020,8,20,"50,039","3,224","3,496","2,971",931,501,827,"7,582","3,886","3,169","7,428","3,751","5,022","2,691","4,560"
2020,8,30,"73,392","2,895","6,043","3,874",857,395,663,"7,460","5,878","2,944","9,230","6,817","9,935","7,070","9,331"
2020,8,40,"85,274","4,059","6,524","4,770","1,287",617,916,"10,014","8,478","3,827","11,621","9,023","7,809","5,753","10,576"
2020,8,50,"65,406","5,150","4,948","4,917","2,228","1,197","1,743","10,194","4,913","4,181","8,875","4,780","3,773","2,975","5,532"
2020,8,60,"47,306","3,996","4,199","4,108","1,960","1,245","1,676","6,250","3,089","2,687","5,818","3,212","2,736","2,618","3,712"
2020,8,70,"25,225","2,001","1,947","2,143","1,057",698,"1,058","3,343","1,730","1,446","3,254","1,763","1,315","1,589","1,881"
2020,8,80,"10,169","1,032",763,867,511,358,561,"1,490",647,610,"1,230",602,433,446,619
2020,8,90,"1,428",121,125,151,72,71,65,200,71,82,150,91,59,72,98
2020,8,100,73,4,14,8,2,5,6,13,3,6,8,0,2,2,0
2020,9,총,"463,735","26,505","38,850","28,559","9,728","5,500","8,215","60,466","39,358","22,619","61,677","41,054","41,337","30,834","49,033"
2020,9,0,"54,228","1,705","4,960","2,318",319,147,266,"5,761","5,122","1,621","6,956","5,923","6,531","4,961","7,638"
2020,9,10,"46,944","2,299","3,695","2,433",554,269,464,"6,402","5,533","2,098","6,974","5,056","3,559","2,534","5,074"
2020,9,20,"50,627","3,197","3,757","2,967",925,495,811,"7,784","3,910","3,178","7,450","3,784","5,115","2,706","4,548"
2020,9,30,"74,513","2,905","6,780","3,833",850,387,660,"8,086","5,828","2,908","9,273","6,775","9,919","7,044","9,265"
2020,9,40,"86,263","4,058","7,056","4,761","1,269",615,909,"10,461","8,446","3,802","11,611","9,014","7,830","5,821","10,610"
2020,9,50,"65,968","5,139","5,265","4,930","2,202","1,192","1,736","10,406","4,946","4,158","8,905","4,767","3,804","2,997","5,521"
2020,9,60,"47,981","4,029","4,422","4,145","1,965","1,254","1,691","6,425","3,111","2,701","5,838","3,258","2,761","2,633","3,748"
2020,9,70,"25,439","2,008","1,995","2,141","1,061",702,"1,047","3,424","1,732","1,441","3,268","1,783","1,322","1,610","1,905"
2020,9,80,"10,241","1,033",773,870,505,359,556,"1,502",655,622,"1,248",606,434,455,623
2020,9,90,"1,458",128,133,153,76,75,69,202,72,84,146,88,60,71,101
2020,9,100,73,4,14,8,2,5,6,13,3,6,8,0,2,2,0
2020,10,총,"467,084","26,540","40,211","28,700","9,733","5,518","8,203","61,553","39,337","22,633","61,771","41,140","41,525","30,979","49,241"
2020,10,0,"54,529","1,695","5,165","2,345",322,150,265,"5,934","5,089","1,613","6,926","5,909","6,509","4,965","7,642"
2020,10,10,"47,186","2,300","3,807","2,451",554,265,459,"6,477","5,536","2,078","6,965","5,034","3,576","2,571","5,113"
2020,10,20,"51,001","3,190","3,885","2,959",911,504,801,"7,868","3,912","3,185","7,481","3,825","5,170","2,737","4,573"
2020,10,30,"75,055","2,900","7,095","3,838",852,393,657,"8,347","5,803","2,905","9,273","6,795","9,940","7,027","9,230"
2020,10,40,"87,005","4,057","7,343","4,780","1,266",601,905,"10,668","8,447","3,769","11,658","9,039","7,878","5,896","10,698"
2020,10,50,"66,365","5,136","5,396","4,966","2,204","1,200","1,725","10,528","4,974","4,173","8,892","4,766","3,845","2,999","5,561"
2020,10,60,"48,479","4,080","4,553","4,171","1,976","1,262","1,708","6,522","3,100","2,730","5,886","3,279","2,779","2,642","3,791"
2020,10,70,"25,582","2,006","2,042","2,154","1,064",707,"1,049","3,470","1,735","1,450","3,277","1,784","1,331","1,607","1,906"
2020,10,80,"10,336","1,037",777,874,508,357,559,"1,525",662,639,"1,256",623,433,460,626
2020,10,90,"1,474",135,134,154,74,74,69,203,76,84,149,86,62,73,101
2020,10,100,72,4,14,8,2,5,6,11,3,7,8,0,2,2,0
2020,11,총,"469,340","26,610","40,921","28,825","9,767","5,532","8,199","61,934","39,407","22,710","61,963","41,160","41,789","31,105","49,418"
2020,11,0,"54,595","1,690","5,239","2,344",326,150,265,"6,001","5,094","1,604","6,908","5,859","6,524","4,968","7,623"
2020,11,10,"47,395","2,291","3,903","2,457",555,261,456,"6,481","5,538","2,079","6,948","5,061","3,606","2,606","5,153"
2020,11,20,"51,423","3,212","3,967","2,981",916,513,803,"7,916","3,927","3,187","7,582","3,854","5,191","2,758","4,616"
2020,11,30,"75,324","2,939","7,201","3,856",854,405,661,"8,416","5,804","2,899","9,317","6,750","9,976","7,011","9,235"
2020,11,40,"87,582","4,032","7,516","4,797","1,266",601,888,"10,752","8,465","3,785","11,677","9,092","7,967","5,976","10,768"
2020,11,50,"66,521","5,132","5,478","4,982","2,183","1,196","1,716","10,560","4,983","4,180","8,908","4,761","3,877","2,985","5,580"
2020,11,60,"48,887","4,128","4,612","4,204","2,008","1,267","1,727","6,608","3,125","2,774","5,899","3,271","2,803","2,653","3,808"
2020,11,70,"25,663","2,006","2,074","2,157","1,072",704,"1,040","3,462","1,736","1,469","3,289","1,795","1,343","1,607","1,909"
2020,11,80,"10,387","1,036",783,884,511,357,567,"1,529",654,638,"1,273",629,434,465,627
2020,11,90,"1,490",140,134,155,74,73,70,198,78,88,154,87,66,74,99
2020,11,100,73,4,14,8,2,5,6,11,3,7,8,1,2,2,0
2020,12,총,"473,970","26,681","44,389","28,880","9,776","5,512","8,201","62,080","39,397","22,731","62,045","41,133","41,839","31,822","49,484"
2020,12,0,"55,253","1,686","5,962","2,335",325,151,268,"6,031","5,074","1,584","6,868","5,793","6,450","5,097","7,629"
2020,12,10,"47,723","2,300","4,180","2,469",545,251,453,"6,464","5,525","2,084","6,952","5,062","3,607","2,668","5,163"
2020,12,20,"52,038","3,221","4,231","2,976",910,518,809,"7,944","3,943","3,208","7,677","3,869","5,289","2,831","4,612"
2020,12,30,"76,392","2,935","8,167","3,866",856,401,658,"8,455","5,752","2,856","9,299","6,777","9,945","7,132","9,293"
2020,12,40,"88,432","4,023","8,231","4,819","1,265",594,882,"10,783","8,452","3,785","11,689","9,047","7,964","6,154","10,744"
2020,12,50,"66,885","5,161","5,746","4,997","2,176","1,189","1,708","10,527","4,991","4,186","8,910","4,780","3,882","3,055","5,577"
2020,12,60,"49,431","4,157","4,791","4,221","2,032","1,269","1,744","6,670","3,168","2,800","5,914","3,275","2,849","2,721","3,820"
2020,12,70,"25,784","2,015","2,134","2,141","1,077",705,"1,038","3,466","1,756","1,486","3,283","1,804","1,356","1,606","1,917"
2020,12,80,"10,443","1,033",796,893,510,354,562,"1,530",650,647,"1,291",639,430,475,633
2020,12,90,"1,516",146,137,155,78,75,73,199,83,88,154,86,65,81,96
2020,12,100,73,4,14,8,2,5,6,11,3,7,8,1,2,2,0
2021,1,총,"477,332","26,703","45,840","28,972","9,794","5,518","8,184","62,081","39,322","22,837","62,247","41,065","42,016","33,147","49,606"
2021,1,0,"55,468","1,670","6,207","2,331",322,147,262,"6,022","5,013","1,587","6,840","5,761","6,432","5,269","7,605"
2021,1,10,"48,102","2,283","4,344","2,490",539,250,450,"6,444","5,539","2,097","6,972","5,037","3,619","2,831","5,207"
2021,1,20,"52,445","3,227","4,315","2,985",909,525,815,"7,949","3,930","3,213","7,788","3,855","5,375","2,941","4,618"
2021,1,30,"76,728","2,920","8,453","3,861",863,396,650,"8,443","5,697","2,865","9,279","6,734","9,911","7,395","9,261"
2021,1,40,"89,210","4,036","8,611","4,805","1,254",596,880,"10,809","8,435","3,791","11,685","9,039","8,048","6,418","10,803"
2021,1,50,"67,232","5,150","5,848","5,022","2,176","1,172","1,689","10,476","5,020","4,220","8,944","4,797","3,885","3,221","5,612"
2021,1,60,"50,063","4,188","4,928","4,256","2,062","1,285","1,759","6,726","3,193","2,815","5,975","3,311","2,877","2,850","3,838"
2021,1,70,"25,901","2,035","2,173","2,152","1,075",711,"1,038","3,455","1,752","1,497","3,290","1,792","1,369","1,640","1,922"
2021,1,80,"10,575","1,038",816,906,507,355,559,"1,549",656,658,"1,311",650,431,497,642
2021,1,90,"1,533",151,132,155,85,76,75,198,84,87,155,87,67,83,98
2021,1,100,75,5,13,9,2,5,7,10,3,7,8,2,2,2,0
2021,2,총,"479,290","26,785","46,600","29,033","9,834","5,511","8,182","62,071","39,298","22,827","62,297","41,030","42,244","33,948","49,630"
2021,2,0,"55,509","1,660","6,344","2,304",331,147,258,"6,035","4,981","1,573","6,800","5,686","6,407","5,391","7,592"
2021,2,10,"48,327","2,291","4,448","2,499",535,245,446,"6,421","5,526","2,087","6,982","5,043","3,653","2,913","5,238"
2021,2,20,"52,542","3,253","4,337","2,964",911,524,813,"7,925","3,934","3,202","7,812","3,874","5,429","2,970","4,594"
2021,2,30,"76,765","2,911","8,549","3,866",865,399,655,"8,425","5,646","2,854","9,248","6,688","9,933","7,527","9,199"
2021,2,40,"89,778","4,034","8,856","4,826","1,258",597,880,"10,815","8,431","3,759","11,699","9,060","8,106","6,624","10,833"
2021,2,50,"67,587","5,164","5,919","5,041","2,186","1,164","1,683","10,441","5,058","4,247","8,974","4,825","3,927","3,330","5,628"
2021,2,60,"50,461","4,229","4,984","4,286","2,079","1,290","1,763","6,787","3,213","2,835","5,988","3,320","2,907","2,920","3,860"
2021,2,70,"25,968","2,027","2,193","2,166","1,067",709,"1,043","3,444","1,756","1,500","3,299","1,778","1,377","1,673","1,936"
2021,2,80,"10,718","1,055",824,916,517,354,556,"1,565",664,677,"1,332",664,435,511,648
2021,2,90,"1,561",156,133,156,83,77,78,203,87,86,155,90,68,87,102
2021,2,100,74,5,13,9,2,5,7,10,2,7,8,2,2,2,0
2021,3,총,"480,275","26,865","46,957","28,968","9,771","5,493","8,162","61,913","39,134","22,798","62,176","41,217","42,792","34,364","49,665"
2021,3,0,"55,429","1,660","6,409","2,300",327,141,264,"6,012","4,928","1,566","6,749","5,658","6,461","5,398","7,556"
2021,3,10,"48,432","2,295","4,472","2,510",524,242,442,"6,400","5,497","2,081","6,983","5,042","3,699","2,984","5,261"
2021,3,20,"52,833","3,298","4,382","2,948",913,520,802,"7,899","3,946","3,179","7,805","3,968","5,539","3,025","4,609"
2021,3,30,"76,700","2,912","8,639","3,857",848,399,654,"8,369","5,566","2,840","9,215","6,711","9,991","7,592","9,107"
2021,3,40,"90,022","4,014","8,909","4,831","1,239",600,868,"10,803","8,406","3,759","11,684","9,061","8,244","6,722","10,882"
2021,3,50,"67,621","5,160","5,935","4,999","2,162","1,147","1,679","10,428","5,069","4,229","8,939","4,861","3,986","3,368","5,659"
2021,3,60,"50,872","4,260","5,038","4,304","2,097","1,302","1,777","6,797","3,205","2,871","6,026","3,356","2,967","2,981","3,891"
2021,3,70,"25,999","2,044","2,199","2,152","1,058",708,"1,035","3,432","1,757","1,503","3,272","1,806","1,388","1,698","1,947"
2021,3,80,"10,746","1,057",829,915,516,354,555,"1,569",667,677,"1,340",663,445,509,650
2021,3,90,"1,568",160,137,148,86,77,80,200,91,87,156,88,70,85,103
2021,3,100,53,5,8,4,1,3,6,4,2,6,7,3,2,2,0
2021,4,총,"481,719","27,215","47,304","29,067","9,784","5,512","8,157","61,749","39,130","22,812","62,120","41,332","43,237","34,614","49,686"
2021,4,0,"55,329","1,653","6,439","2,316",326,143,263,"5,990","4,889","1,544","6,715","5,619","6,498","5,418","7,516"
2021,4,10,"48,622","2,284","4,519","2,510",521,240,444,"6,382","5,514","2,080","6,972","5,069","3,774","3,013","5,300"
2021,4,20,"53,041","3,327","4,385","2,970",912,526,813,"7,856","3,967","3,181","7,815","4,000","5,606","3,081","4,602"
2021,4,30,"76,664","2,946","8,681","3,870",854,401,656,"8,342","5,542","2,813","9,203","6,677","10,035","7,618","9,026"
2021,4,40,"90,428","4,050","9,022","4,837","1,247",597,865,"10,798","8,392","3,782","11,660","9,109","8,361","6,769","10,939"
2021,4,50,"67,795","5,221","5,982","5,004","2,140","1,152","1,666","10,369","5,091","4,222","8,942","4,884","4,044","3,402","5,676"
2021,4,60,"51,319","4,395","5,102","4,332","2,117","1,304","1,784","6,827","3,211","2,906","6,039","3,377","2,996","3,017","3,912"
2021,4,70,"26,081","2,117","2,199","2,150","1,053",705,"1,035","3,411","1,766","1,507","3,262","1,828","1,399","1,692","1,957"
2021,4,80,"10,812","1,055",831,922,525,365,551,"1,570",664,681,"1,348",674,453,519,654
2021,4,90,"1,578",162,136,152,88,76,77,199,92,90,157,92,69,84,104
2021,4,100,50,5,8,4,1,3,3,5,2,6,7,3,2,1,0
2021,5,총,"482,578","27,389","47,571","29,052","9,788","5,484","8,192","61,588","39,090","22,806","62,056","41,337","43,571","34,926","49,728"
2021,5,0,"55,201","1,653","6,456","2,302",322,139,257,"5,987","4,841","1,532","6,678","5,585","6,499","5,468","7,482"
2021,5,10,"48,741","2,280","4,533","2,500",525,247,443,"6,362","5,548","2,069","6,960","5,069","3,839","3,043","5,323"
2021,5,20,"53,055","3,340","4,392","2,978",901,517,823,"7,801","3,957","3,170","7,824","3,998","5,655","3,101","4,598"
2021,5,30,"76,518","2,982","8,711","3,836",862,404,661,"8,280","5,500","2,827","9,131","6,658","10,079","7,658","8,929"
2021,5,40,"90,606","4,031","9,102","4,837","1,250",597,857,"10,758","8,381","3,764","11,640","9,127","8,433","6,832","10,997"
2021,5,50,"68,056","5,262","6,012","5,015","2,127","1,137","1,672","10,352","5,110","4,235","8,973","4,901","4,077","3,460","5,723"
2021,5,60,"51,698","4,451","5,159","4,344","2,131","1,295","1,804","6,878","3,224","2,927","6,066","3,389","3,032","3,045","3,953"
2021,5,70,"26,155","2,155","2,220","2,156","1,052",704,"1,040","3,385","1,764","1,502","3,265","1,838","1,421","1,703","1,950"
2021,5,80,"10,904","1,065",837,925,527,363,552,"1,580",673,686,"1,352",677,467,529,671
2021,5,90,"1,589",164,140,154,89,78,79,200,90,88,160,92,67,86,102
2021,5,100,55,6,9,5,2,3,4,5,2,6,7,3,2,1,0
2021,6,총,"483,642","27,789","47,734","29,059","9,807","5,469","8,187","61,428","39,069","22,799","62,056","41,406","43,873","35,186","49,780"
2021,6,0,"55,105","1,691","6,460","2,305",319,137,259,"5,948","4,797","1,529","6,648","5,538","6,495","5,504","7,475"
2021,6,10,"48,942","2,293","4,567","2,499",529,247,441,"6,333","5,556","2,070","6,981","5,107","3,880","3,083","5,356"
2021,6,20,"53,058","3,403","4,390","2,957",899,512,813,"7,779","3,967","3,154","7,799","4,007","5,702","3,104","4,572"
2021,6,30,"76,433","3,052","8,698","3,837",862,403,664,"8,248","5,458","2,838","9,088","6,607","10,117","7,679","8,882"
2021,6,40,"90,977","4,086","9,178","4,852","1,241",594,862,"10,723","8,390","3,761","11,666","9,155","8,510","6,916","11,043"
2021,6,50,"68,045","5,293","6,020","4,967","2,143","1,127","1,659","10,301","5,124","4,210","8,972","4,931","4,111","3,471","5,716"
2021,6,60,"52,204","4,547","5,207","4,377","2,147","1,298","1,816","6,917","3,248","2,949","6,097","3,429","3,079","3,091","4,002"
2021,6,70,"26,222","2,179","2,218","2,157","1,039",705,"1,037","3,394","1,755","1,509","3,283","1,852","1,435","1,708","1,951"
2021,6,80,"10,997","1,075",845,950,535,365,553,"1,575",683,685,"1,351",684,474,544,678
2021,6,90,"1,603",163,142,152,91,78,79,206,89,88,164,93,68,85,105
2021,6,100,56,7,9,6,2,3,4,4,2,6,7,3,2,1,0
2021,7,총,"484,481","28,230","47,897","29,111","9,819","5,460","8,179","61,350","38,990","22,781","62,034","41,394","44,159","35,299","49,778"
2021,7,0,"54,933","1,722","6,470","2,305",314,134,253,"5,926","4,720","1,519","6,590","5,526","6,504","5,502","7,448"
2021,7,10,"49,121","2,320","4,597","2,512",528,243,437,"6,331","5,571","2,072","6,987","5,114","3,929","3,117","5,363"
2021,7,20,"53,075","3,456","4,383","2,957",914,511,808,"7,747","3,973","3,150","7,782","4,006","5,738","3,083","4,567"
2021,7,30,"76,224","3,103","8,666","3,851",863,399,665,"8,216","5,422","2,821","9,058","6,547","10,098","7,681","8,834"
2021,7,40,"91,225","4,183","9,263","4,850","1,240",595,862,"10,684","8,351","3,749","11,631","9,185","8,607","6,965","11,060"
2021,7,50,"68,295","5,372","6,048","4,963","2,145","1,125","1,647","10,305","5,141","4,203","9,017","4,941","4,157","3,489","5,742"
2021,7,60,"52,517","4,619","5,248","4,401","2,148","1,300","1,826","6,940","3,270","2,965","6,126","3,425","3,125","3,108","4,016"
2021,7,70,"26,328","2,192","2,226","2,151","1,031",703,"1,038","3,401","1,773","1,520","3,301","1,863","1,452","1,718","1,959"
2021,7,80,"11,071","1,085",848,958,543,367,558,"1,585",675,688,"1,365",688,478,550,683
2021,7,90,"1,635",171,140,157,91,79,81,210,92,88,170,96,69,85,106
2021,7,100,57,7,8,6,2,4,4,5,2,6,7,3,2,1,0
2021,8,총,"485,221","28,614","47,976","29,066","9,825","5,471","8,175","61,230","39,026","22,769","62,012","41,349","44,475","35,406","49,827"
