년도,월,나이,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020,6,총,"39,146","16,951","4,866","1,226","1,531","1,638",878,"1,218","3,372","1,260","2,259","1,773","2,174"
2020,6,0,"1,819","1,052",270,31,33,40,14,27,131,43,67,50,61
2020,6,10,"2,824","1,674",321,48,69,70,30,63,197,77,125,53,97
2020,6,20,"2,991","1,607",472,59,57,84,38,83,210,50,109,104,118
2020,6,30,"2,786","1,463",482,64,75,64,36,48,215,56,93,91,99
2020,6,40,"4,364","2,486",502,71,116,119,53,85,348,96,171,136,181
2020,6,50,"6,555","2,963",760,194,223,236,136,226,641,192,355,268,361
2020,6,60,"7,280","2,715",811,283,353,326,218,264,693,270,476,383,488
2020,6,70,"5,685","1,769",634,252,315,332,175,217,506,240,465,361,419
2020,6,80,"4,177","1,056",529,191,247,327,144,175,367,198,351,292,300
2020,6,90,632,156,78,31,41,39,33,30,59,36,45,35,49
2020,6,100,33,10,7,2,2,1,1,0,5,2,2,0,1
2020,7,총,"39,144","16,933","4,900","1,228","1,524","1,628",888,"1,222","3,381","1,254","2,247","1,775","2,164"
2020,7,0,"1,814","1,044",274,31,33,40,15,28,133,42,66,49,59
2020,7,10,"2,806","1,666",316,46,66,71,32,63,196,76,125,53,96
2020,7,20,"2,995","1,606",488,59,57,82,38,79,206,49,108,108,115
2020,7,30,"2,795","1,463",493,65,73,62,36,51,216,58,95,87,96
2020,7,40,"4,350","2,477",507,70,114,116,55,84,345,97,167,138,180
2020,7,50,"6,531","2,953",761,192,222,234,138,227,642,189,349,265,359
2020,7,60,"7,307","2,731",813,286,352,325,219,269,697,266,471,388,490
2020,7,70,"5,712","1,775",636,253,318,332,175,216,512,245,468,361,421
2020,7,80,"4,172","1,053",528,192,248,327,146,176,368,196,350,292,296
2020,7,90,629,156,77,32,38,38,33,29,61,34,46,34,51
2020,7,100,33,9,7,2,3,1,1,0,5,2,2,0,1
2020,8,총,"39,067","16,885","4,894","1,227","1,524","1,622",895,"1,212","3,387","1,254","2,246","1,774","2,147"
2020,8,0,"1,808","1,039",271,33,32,40,15,29,134,41,66,50,58
2020,8,10,"2,794","1,658",310,45,67,69,31,63,200,79,126,53,93
2020,8,20,"2,969","1,592",491,57,57,82,41,76,200,47,108,105,113
2020,8,30,"2,777","1,448",495,68,74,61,36,49,210,56,94,90,96
2020,8,40,"4,342","2,482",503,69,113,114,57,86,344,98,167,137,172
2020,8,50,"6,477","2,915",759,187,221,235,133,222,648,191,346,264,356
2020,8,60,"7,355","2,754",822,288,352,325,223,274,704,263,471,388,491
2020,8,70,"5,718","1,780",634,255,318,332,178,215,512,243,470,358,423
2020,8,80,"4,165","1,053",526,190,251,324,146,170,370,197,350,295,293
2020,8,90,629,154,76,33,37,39,34,28,60,37,46,34,51
2020,8,100,33,10,7,2,2,1,1,0,5,2,2,0,1
2020,9,총,"39,062","16,876","4,925","1,221","1,514","1,621",890,"1,214","3,386","1,257","2,244","1,774","2,140"
2020,9,0,"1,788","1,030",270,33,29,39,16,28,132,39,67,52,53
2020,9,10,"2,786","1,653",314,44,67,68,27,63,198,78,125,54,95
2020,9,20,"2,978","1,597",507,56,53,83,42,75,195,52,107,100,111
2020,9,30,"2,758","1,434",487,68,73,60,35,49,212,58,95,92,95
2020,9,40,"4,333","2,470",513,66,113,115,58,87,344,97,165,136,169
2020,9,50,"6,447","2,905",754,188,219,231,129,222,645,185,346,262,361
2020,9,60,"7,401","2,775",830,286,352,328,224,279,711,268,468,391,489
2020,9,70,"5,722","1,792",636,253,319,332,173,213,511,244,468,358,423
2020,9,80,"4,180","1,055",532,189,249,324,151,169,369,197,356,296,293
2020,9,90,636,155,75,36,38,40,34,29,64,37,45,33,50
2020,9,100,33,10,7,2,2,1,1,0,5,2,2,0,1
2020,10,총,"39,010","16,870","4,922","1,215","1,510","1,618",885,"1,214","3,380","1,254","2,240","1,764","2,138"
2020,10,0,"1,761","1,023",266,32,28,38,16,28,130,37,66,49,48
2020,10,10,"2,772","1,646",314,43,67,69,26,64,191,80,124,53,95
2020,10,20,"2,990","1,613",505,57,53,80,41,72,199,50,109,97,114
2020,10,30,"2,731","1,422",484,65,74,59,35,50,202,58,96,91,95
2020,10,40,"4,331","2,479",510,68,113,113,57,87,345,95,164,136,164
2020,10,50,"6,418","2,891",758,185,218,235,129,220,641,182,341,257,361
2020,10,60,"7,422","2,783",830,284,354,327,223,282,718,273,468,388,492
2020,10,70,"5,719","1,793",634,253,315,330,174,211,512,242,469,364,422
2020,10,80,"4,188","1,055",536,191,247,326,149,170,372,197,355,294,296
2020,10,90,644,156,78,34,39,40,34,30,65,38,46,34,50
2020,10,100,34,9,7,3,2,1,1,0,5,2,2,1,1
2020,11,총,"38,944","16,836","4,939","1,201","1,506","1,619",883,"1,210","3,382","1,246","2,238","1,751","2,133"
2020,11,0,"1,755","1,022",269,31,28,39,15,26,126,37,66,48,48
2020,11,10,"2,757","1,644",314,40,65,69,27,63,190,77,124,52,92
2020,11,20,"2,994","1,601",510,55,56,81,40,74,203,52,112,95,115
2020,11,30,"2,720","1,413",497,63,74,55,32,50,207,52,95,88,94
2020,11,40,"4,312","2,468",509,68,113,112,58,86,343,95,162,132,166
2020,11,50,"6,397","2,878",759,182,216,238,128,221,641,186,340,254,354
2020,11,60,"7,429","2,788",832,284,355,325,221,280,721,272,470,390,491
2020,11,70,"5,716","1,795",631,248,311,335,177,210,514,238,466,365,426
2020,11,80,"4,188","1,063",534,193,247,324,148,171,368,198,353,292,297
2020,11,90,641,155,77,34,39,40,36,28,65,37,47,34,49
2020,11,100,35,9,7,3,2,1,1,1,4,2,3,1,1
2020,12,총,"38,928","16,809","4,950","1,194","1,510","1,617",886,"1,217","3,366","1,242","2,242","1,752","2,143"
2020,12,0,"1,740","1,018",271,29,27,39,15,26,120,35,69,44,47
2020,12,10,"2,750","1,633",311,37,66,71,29,62,186,77,128,58,92
2020,12,20,"2,989","1,598",509,55,58,78,40,76,200,52,113,92,118
2020,12,30,"2,729","1,408",507,62,74,57,31,50,206,51,97,89,97
2020,12,40,"4,294","2,453",510,67,113,113,58,86,336,94,164,135,165
2020,12,50,"6,379","2,877",752,181,217,233,127,220,643,183,337,255,354
2020,12,60,"7,455","2,796",841,284,361,325,219,286,724,275,466,385,493
2020,12,70,"5,711","1,798",627,248,308,333,180,212,510,239,464,365,427
2020,12,80,"4,200","1,059",538,194,247,327,150,168,371,197,356,292,301
2020,12,90,646,159,77,34,37,40,36,30,66,37,46,36,48
2020,12,100,35,10,7,3,2,1,1,1,4,2,2,1,1
2021,1,총,"38,934","16,834","4,970","1,184","1,507","1,612",883,"1,213","3,372","1,243","2,231","1,752","2,133"
2021,1,0,"1,727","1,010",269,30,27,38,15,26,124,35,63,44,46
2021,1,10,"2,792","1,679",317,35,65,70,28,63,185,75,127,59,89
2021,1,20,"2,971","1,592",506,54,57,76,39,75,197,53,113,90,119
2021,1,30,"2,722","1,397",514,59,68,57,31,52,209,54,97,87,97
2021,1,40,"4,294","2,450",515,68,115,112,56,83,338,95,162,137,163
2021,1,50,"6,312","2,860",741,175,210,236,122,221,643,178,328,252,346
2021,1,60,"7,511","2,811",855,282,369,327,223,284,726,279,472,386,497
2021,1,70,"5,716","1,806",636,248,307,332,180,208,506,238,466,367,422
2021,1,80,"4,199","1,060",533,193,246,324,151,170,376,196,352,292,306
2021,1,90,656,159,78,37,41,39,37,29,65,38,49,37,47
2021,1,100,34,10,6,3,2,1,1,2,3,2,2,1,1
2021,2,총,"38,864","16,797","4,986","1,179","1,510","1,619",880,"1,201","3,362","1,237","2,228","1,744","2,121"
2021,2,0,"1,722","1,011",270,28,30,37,15,23,124,33,64,43,44
2021,2,10,"2,754","1,656",317,34,66,70,28,58,182,73,124,57,89
2021,2,20,"2,938","1,578",513,51,55,76,34,76,187,51,112,86,119
2021,2,30,"2,709","1,384",520,60,67,57,33,49,208,53,96,88,94
2021,2,40,"4,266","2,435",508,68,120,111,54,82,340,98,158,132,160
2021,2,50,"6,296","2,858",747,174,208,234,122,221,638,176,329,252,337
2021,2,60,"7,557","2,832",858,280,368,334,226,281,734,281,473,386,504
2021,2,70,"5,699","1,803",637,247,304,333,180,209,509,236,459,365,417
2021,2,80,"4,230","1,069",535,197,248,326,151,171,374,195,360,297,307
2021,2,90,658,160,75,37,42,39,37,29,63,39,51,37,49
2021,2,100,35,11,6,3,2,2,0,2,3,2,2,1,1
2021,3,총,"38,579","16,644","4,966","1,175","1,499","1,598",880,"1,206","3,354","1,222","2,213","1,726","2,096"
2021,3,0,"1,719",995,283,28,29,36,16,24,125,32,62,45,44
2021,3,10,"2,724","1,643",312,36,67,69,25,57,177,69,125,58,86
2021,3,20,"2,917","1,577",507,50,49,75,34,78,191,52,107,83,114
2021,3,30,"2,675","1,362",515,58,67,56,33,51,206,51,94,86,96
2021,3,40,"4,218","2,418",512,65,119,107,55,81,333,94,155,126,153
2021,3,50,"6,212","2,815",734,173,203,227,122,221,637,177,326,243,334
2021,3,60,"7,560","2,832",859,281,368,333,230,281,736,277,472,391,500
2021,3,70,"5,647","1,778",631,246,303,330,176,211,508,230,460,358,416
2021,3,80,"4,237","1,058",543,200,251,324,152,171,376,198,359,301,304
2021,3,90,646,160,68,36,41,39,37,29,62,40,51,35,48
2021,3,100,24,6,2,2,2,2,0,2,3,2,2,0,1
2021,4,총,"38,533","16,627","4,978","1,180","1,503","1,586",878,"1,202","3,350","1,217","2,205","1,721","2,086"
2021,4,0,"1,701",977,283,30,28,36,16,23,123,32,61,49,43
2021,4,10,"2,712","1,639",315,35,69,62,24,56,175,69,124,58,86
2021,4,20,"2,897","1,582",504,50,49,75,33,76,187,47,105,78,111
2021,4,30,"2,657","1,345",517,58,66,53,33,52,208,52,92,86,95
2021,4,40,"4,222","2,425",515,64,120,109,55,79,332,92,153,126,152
2021,4,50,"6,175","2,790",736,176,199,230,122,224,626,174,324,243,331
2021,4,60,"7,606","2,855",862,283,369,328,231,279,745,284,475,392,503
2021,4,70,"5,633","1,780",633,246,304,326,174,209,508,228,461,354,410
2021,4,80,"4,248","1,066",539,199,255,325,152,173,380,193,359,301,306
2021,4,90,657,161,72,37,42,40,38,29,63,44,49,34,48
2021,4,100,25,7,2,2,2,2,0,2,3,2,2,0,1
2021,5,총,"38,489","16,585","4,979","1,188","1,502","1,583",881,"1,211","3,351","1,215","2,201","1,712","2,081"
2021,5,0,"1,686",961,286,32,27,37,16,24,123,32,60,45,43
2021,5,10,"2,719","1,639",314,37,71,61,24,55,178,70,124,60,86
2021,5,20,"2,870","1,569",503,49,47,77,34,79,182,48,104,73,105
2021,5,30,"2,643","1,321",516,61,67,53,33,55,209,52,92,88,96
2021,5,40,"4,196","2,415",509,62,120,107,53,78,336,91,151,124,150
2021,5,50,"6,123","2,765",732,173,196,225,124,223,616,176,318,242,333
2021,5,60,"7,664","2,870",873,291,369,331,233,282,755,284,482,393,501
2021,5,70,"5,630","1,802",633,244,308,323,174,210,495,224,456,351,410
2021,5,80,"4,273","1,073",538,201,252,326,150,175,390,195,361,302,310
2021,5,90,658,163,72,36,42,41,40,28,63,42,51,34,46
2021,5,100,27,7,3,2,3,2,0,2,4,1,2,0,1
2021,6,총,"38,423","16,547","4,977","1,185","1,504","1,587",876,"1,207","3,349","1,210","2,209","1,703","2,069"
2021,6,0,"1,671",954,288,28,26,37,16,24,121,33,60,42,42
2021,6,10,"2,702","1,621",316,38,71,58,24,54,181,69,124,60,86
2021,6,20,"2,841","1,561",491,48,51,78,30,78,181,48,104,71,100
2021,6,30,"2,628","1,316",522,58,63,51,32,53,206,51,96,86,94
2021,6,40,"4,180","2,397",506,63,123,106,54,77,338,92,151,124,149
2021,6,50,"6,096","2,753",726,173,198,229,124,221,618,172,314,236,332
2021,6,60,"7,716","2,899",881,292,365,335,235,283,757,282,487,399,501
2021,6,70,"5,626","1,798",634,244,312,323,173,211,491,222,459,351,408
2021,6,80,"4,273","1,078",538,202,249,327,148,175,387,197,361,300,311
2021,6,90,663,163,72,37,43,41,40,29,65,43,51,34,45
2021,6,100,27,7,3,2,3,2,0,2,4,1,2,0,1
2021,7,총,"38,402","16,522","5,001","1,184","1,507","1,581",875,"1,201","3,348","1,212","2,200","1,707","2,064"
2021,7,0,"1,661",943,291,27,26,36,17,24,115,33,59,45,45
2021,7,10,"2,696","1,614",316,37,68,58,25,55,186,71,121,60,85
2021,7,20,"2,818","1,547",488,49,53,77,29,76,178,47,104,71,99
2021,7,30,"2,625","1,309",534,56,65,47,32,51,201,51,96,86,97
2021,7,40,"4,183","2,390",515,63,120,108,52,77,342,93,152,126,145
2021,7,50,"6,062","2,754",723,172,197,229,124,219,606,172,305,235,326
2021,7,60,"7,754","2,908",887,294,373,336,234,284,767,283,490,398,500
2021,7,70,"5,637","1,803",637,243,312,321,175,212,494,220,460,353,407
2021,7,80,"4,267","1,082",535,204,246,325,146,173,388,196,361,297,314
2021,7,90,672,165,72,37,44,42,41,28,67,45,50,36,45
2021,7,100,27,7,3,2,3,2,0,2,4,1,2,0,1
2021,8,총,"38,401","16,525","5,022","1,187","1,510","1,587",870,"1,203","3,342","1,223","2,190","1,691","2,051"
2021,8,0,"1,652",935,293,27,27,34,17,24,114,35,56,43,47
2021,8,10,"2,681","1,602",319,38,69,62,25,54,188,72,116,55,81
2021,8,20,"2,822","1,550",494,49,50,75,26,75,177,49,106,75,96
2021,8,30,"2,605","1,297",531,57,66,50,32,50,202,49,94,83,94
2021,8,40,"4,198","2,399",524,64,120,107,52,77,340,98,151,120,146
2021,8,50,"6,027","2,742",722,174,195,228,123,219,598,173,302,232,319
2021,8,60,"7,775","2,923",883,291,381,338,233,283,771,284,490,398,500
2021,8,70,"5,658","1,815",642,246,309,317,177,215,498,222,459,349,409
2021,8,80,"4,281","1,089",535,203,246,331,145,176,383,195,364,300,314
2021,8,90,677,167,76,36,44,43,40,28,67,46,50,36,44
2021,8,100,25,6,3,2,3,2,0,2,4,0,2,0,1
2021,9,총,"38,307","16,475","5,027","1,174","1,503","1,582",866,"1,196","3,347","1,236","2,179","1,683","2,039"
2021,9,0,"1,636",930,290,25,28,32,17,24,111,35,57,43,44
2021,9,10,"2,656","1,583",315,38,68,62,24,52,189,75,116,52,82
2021,9,20,"2,784","1,530",489,48,49,74,24,73,179,48,101,77,92
2021,9,30,"2,602","1,292",547,54,64,50,32,49,198,52,91,80,93
2021,9,40,"4,175","2,389",515,62,118,106,52,75,343,100,149,121,145
2021,9,50,"5,994","2,733",722,171,191,227,122,216,598,175,298,224,317
2021,9,60,"7,784","2,927",889,294,379,338,234,285,775,280,487,400,496
2021,9,70,"5,667","1,818",643,241,310,319,175,215,499,229,462,349,407
2021,9,80,"4,295","1,097",536,202,250,329,148,175,383,197,364,298,316
2021,9,90,689,170,78,37,43,43,38,30,68,45,52,39,46
2021,9,100,25,6,3,2,3,2,0,2,4,0,2,0,1
2021,10,총,"38,303","16,473","5,046","1,175","1,500","1,584",861,"1,195","3,348","1,229","2,175","1,682","2,035"
2021,10,0,"1,612",916,292,23,25,32,17,24,107,33,57,44,42
2021,10,10,"2,643","1,575",317,39,67,59,23,51,193,75,114,50,80
2021,10,20,"2,790","1,538",492,47,48,75,23,73,177,48,102,74,93
2021,10,30,"2,580","1,287",551,53,60,52,30,47,196,50,90,77,87
2021,10,40,"4,154","2,370",515,62,122,105,54,74,339,99,144,125,145
2021,10,50,"5,982","2,729",715,174,187,225,120,216,599,172,299,227,319
2021,10,60,"7,816","2,942",897,290,382,342,233,290,777,282,488,398,495
2021,10,70,"5,686","1,826",649,245,313,319,174,214,502,227,464,346,407
2021,10,80,"4,325","1,115",536,203,249,329,149,174,386,198,363,302,321
2021,10,90,689,169,79,37,44,44,38,30,67,45,52,39,45
2021,10,100,26,6,3,2,3,2,0,2,5,0,2,0,1
2021,11,총,"38,228","16,459","5,033","1,168","1,503","1,576",864,"1,196","3,342","1,227","2,164","1,670","2,026"
2021,11,0,"1,598",908,293,21,26,31,17,24,108,32,55,41,42
2021,11,10,"2,639","1,578",317,40,66,57,23,53,190,77,112,48,78
2021,11,20,"2,758","1,519",483,46,52,71,24,73,177,47,101,75,90
2021,11,30,"2,584","1,290",549,53,58,54,29,49,201,50,88,75,88
2021,11,40,"4,121","2,360",516,58,122,102,51,75,333,96,141,124,143
2021,11,50,"5,977","2,723",715,174,190,221,125,217,600,173,301,220,318
2021,11,60,"7,809","2,949",896,291,378,344,233,286,775,283,483,395,496
2021,11,70,"5,670","1,829",638,243,313,316,175,214,501,227,465,346,403
2021,11,80,"4,353","1,120",546,204,251,333,148,175,386,197,363,307,323
2021,11,90,693,177,77,36,44,45,39,28,66,45,53,39,44
2021,11,100,26,6,3,2,3,2,0,2,5,0,2,0,1
2021,12,총,"38,227","16,465","5,059","1,165","1,482","1,572",865,"1,195","3,349","1,227","2,171","1,661","2,016"
2021,12,0,"1,599",910,293,21,23,31,16,24,110,31,60,37,43
2021,12,10,"2,623","1,568",317,40,62,54,23,54,191,79,110,49,76
2021,12,20,"2,767","1,520",487,44,49,73,27,71,181,45,105,74,91
2021,12,30,"2,592","1,289",559,55,54,55,29,50,203,52,87,70,89
2021,12,40,"4,113","2,358",522,56,117,103,50,75,331,98,138,125,140
2021,12,50,"5,980","2,738",718,173,187,219,127,215,596,171,303,218,315
2021,12,60,"7,823","2,946",904,292,383,345,230,285,780,285,486,395,492
2021,12,70,"5,625","1,822",632,240,310,315,170,211,498,219,459,345,404
2021,12,80,"4,373","1,129",545,206,249,330,155,179,385,202,367,309,317
2021,12,90,704,179,80,34,44,45,38,29,69,45,54,39,48
2021,12,100,28,6,2,4,4,2,0,2,5,0,2,0,1
