년도,월,나이,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020,2,30,"82,690","40,275",794,440,"1,442",441,606,838,"1,767","2,395","4,876","1,383","5,377","1,317","1,429","2,267","1,246","1,144","1,774","4,577","6,162","42,415","1,358","2,026","1,389","4,124","3,455",930,"1,148",799,"1,299","2,064","2,190","9,258","3,064","1,673","5,201","2,437",0
2020,2,40,"108,523","54,783",967,566,"1,777",740,846,"1,267","2,046","3,655","7,104","1,806","7,632","1,818","1,888","3,776","1,624","1,500","2,263","6,215","7,293","53,740","1,959","3,222","1,553","6,178","3,098",888,"1,315","1,161","1,495","2,614","3,325","11,470","4,281","1,832","5,126","4,223",0
2020,2,50,"105,695","57,046","1,372",747,"2,140",829,"1,121","1,610","2,636","3,276","6,816","2,346","7,561","2,366","2,777","4,307","1,903","1,913","2,633","5,397","5,296","48,649","2,479","2,881","1,941","4,924","2,814","1,126","1,677","1,543","1,718","2,635","3,681","7,986","4,651","2,163","4,362","2,068",0
2020,2,60,"73,159","40,366","1,397",896,"2,158",877,"1,253","1,601","2,096","1,797","3,646","2,111","5,559","1,741","2,234","2,626","1,789","1,656","2,037","2,933","1,959","32,793","2,302","2,208","1,861","2,657","2,048",936,"1,659","1,364","1,449","1,720","2,664","3,800","2,936","1,595","2,754",840,0
2020,2,70,"42,119","22,766",984,677,"1,548",702,825,"1,090","1,104",839,"2,000","1,500","2,767",942,"1,061","1,363","1,179",956,"1,100","1,226",903,"19,353","1,955","1,483","1,342","1,704","1,305",659,"1,204",908,725,919,"1,292","1,702","1,542",934,"1,334",345,0
2020,2,80,"18,910","10,354",451,317,785,330,400,437,515,375,971,705,"1,245",368,416,743,461,351,502,570,412,"8,556",950,565,531,715,535,294,459,345,338,458,628,770,689,524,606,149,0
2020,2,90,"2,582","1,475",53,56,110,48,55,52,67,57,111,107,166,61,51,119,68,53,89,98,54,"1,107",119,71,59,90,73,36,49,39,41,54,79,134,88,57,85,33,0
2020,2,100,167,86,10,5,15,1,5,6,3,3,4,2,8,3,1,2,4,3,1,4,6,81,8,10,6,5,19,1,2,4,2,1,3,3,1,8,8,0,0
2020,3,총,"655,519","339,291","7,826","4,401","12,983","5,050","6,642","9,007","15,035","19,841","39,874","13,118","45,838","12,347","14,139","22,896","11,496","10,707","15,284","35,521","37,286","316,228","14,810","18,959","11,698","32,147","20,232","7,640","10,215","7,993","9,952","14,887","20,996","59,358","26,754","12,321","30,328","17,938",0
2020,3,0,"55,721","25,471",349,112,669,196,339,372,"1,051","1,509","3,223",666,"4,185",806,750,"1,713",711,564,"1,091","3,832","3,333","30,250",729,"1,582",613,"2,863","2,153",216,495,360,700,941,"1,648","8,074","2,260",876,"3,720","3,020",0
2020,3,10,"73,458","37,480",501,210,873,377,484,715,"1,361","2,753","5,084",931,"5,512","1,229","1,373","2,773",991,"1,018","1,666","4,677","4,952","35,978","1,156","2,475",796,"4,245","1,650",423,691,576,824,"1,381","2,680","8,447","3,257","1,033","3,117","3,227",0
2020,3,20,"92,176","49,050",964,413,"1,488",525,729,"1,041","2,388","3,203","6,085","1,406","5,851","1,763","2,195","3,212","1,536","1,571","2,163","5,601","6,916","43,126","1,780","2,436","1,611","4,635","3,104","2,100","1,571",889,"1,374","2,075","2,824","7,655","3,974","1,554","3,942","1,602",0
2020,3,30,"82,511","40,201",789,428,"1,428",436,610,821,"1,743","2,385","4,873","1,407","5,368","1,304","1,405","2,251","1,226","1,124","1,763","4,699","6,141","42,310","1,368","2,010","1,376","4,064","3,443",947,"1,118",788,"1,304","2,066","2,186","9,236","3,039","1,697","5,221","2,447",0
2020,3,40,"108,230","54,570",961,556,"1,757",734,830,"1,262","2,029","3,629","7,034","1,818","7,603","1,806","1,872","3,742","1,628","1,500","2,240","6,310","7,259","53,660","1,947","3,215","1,549","6,170","3,094",889,"1,313","1,166","1,482","2,583","3,304","11,476","4,282","1,841","5,130","4,219",0
2020,3,50,"105,664","56,997","1,368",732,"2,133",820,"1,113","1,613","2,648","3,266","6,797","2,393","7,541","2,339","2,749","4,301","1,886","1,902","2,617","5,467","5,312","48,667","2,468","2,879","1,938","4,953","2,789","1,132","1,658","1,536","1,707","2,641","3,677","8,013","4,658","2,163","4,400","2,055",0
2020,3,60,"73,555","40,599","1,400",886,"2,171",879,"1,253","1,591","2,111","1,814","3,674","2,158","5,583","1,721","2,241","2,648","1,794","1,637","2,036","3,020","1,982","32,956","2,325","2,220","1,861","2,672","2,052",935,"1,644","1,375","1,442","1,748","2,674","3,830","2,958","1,613","2,762",845,0
2020,3,70,"42,376","22,906",975,679,"1,550",699,827,"1,093","1,111",845,"2,013","1,513","2,782",943,"1,081","1,385","1,182",982,"1,101","1,232",913,"19,470","1,965","1,493","1,358","1,723","1,316",660,"1,215",912,730,930,"1,289","1,718","1,538",945,"1,339",339,0
2020,3,80,"19,041","10,426",455,319,786,336,396,443,526,376,972,715,"1,240",372,418,747,468,350,521,569,417,"8,615",946,569,535,727,539,300,462,348,341,464,630,775,690,530,607,152,0
2020,3,90,"2,624","1,507",55,61,113,47,56,50,64,58,115,109,166,61,54,122,70,56,85,110,55,"1,117",118,70,55,90,74,37,47,38,46,57,81,132,97,61,82,32,0
2020,3,100,163,84,9,5,15,1,5,6,3,3,4,2,7,3,1,2,4,3,1,4,6,79,8,10,6,5,18,1,1,5,2,1,3,2,1,8,8,0,0
2020,4,총,"655,713","338,965","7,816","4,382","12,956","5,043","6,625","8,964","15,009","19,854","39,738","13,184","45,831","12,302","14,070","22,837","11,457","10,693","15,294","35,733","37,177","316,748","14,750","18,917","11,691","32,088","20,188","7,648","10,195","7,935","9,927","14,842","20,894","60,207","26,744","12,351","30,484","17,887",0
2020,4,0,"55,480","25,268",340,112,656,192,336,365,"1,053","1,499","3,201",664,"4,152",798,734,"1,685",702,565,"1,089","3,853","3,272","30,212",714,"1,566",607,"2,825","2,118",212,493,354,702,937,"1,624","8,196","2,251",878,"3,751","2,984",0
2020,4,10,"73,314","37,316",497,205,879,372,483,712,"1,340","2,766","5,044",908,"5,509","1,213","1,367","2,749",989,"1,009","1,655","4,661","4,958","35,998","1,141","2,471",795,"4,234","1,639",416,689,571,811,"1,373","2,654","8,548","3,240","1,036","3,147","3,233",0
2020,4,20,"92,311","49,122",963,412,"1,477",521,722,"1,037","2,394","3,182","6,081","1,441","5,857","1,763","2,182","3,211","1,522","1,575","2,166","5,673","6,943","43,189","1,778","2,425","1,618","4,636","3,121","2,124","1,575",880,"1,372","2,045","2,809","7,749","3,988","1,539","3,932","1,598",0
2020,4,30,"82,469","40,093",793,419,"1,420",437,613,805,"1,739","2,400","4,862","1,405","5,352","1,284","1,383","2,246","1,214","1,124","1,756","4,749","6,092","42,376","1,362","1,992","1,363","4,033","3,420",945,"1,109",776,"1,303","2,080","2,166","9,406","3,047","1,711","5,248","2,415",0
2020,4,40,"108,083","54,330",958,558,"1,748",735,832,"1,251","2,026","3,637","6,945","1,827","7,580","1,802","1,862","3,712","1,617","1,498","2,241","6,297","7,204","53,753","1,925","3,209","1,546","6,169","3,087",892,"1,307","1,155","1,474","2,557","3,298","11,653","4,258","1,842","5,163","4,218",0
2020,4,50,"105,704","56,990","1,361",732,"2,123",822,"1,109","1,601","2,619","3,264","6,808","2,389","7,534","2,333","2,736","4,294","1,885","1,887","2,611","5,516","5,366","48,714","2,449","2,884","1,931","4,953","2,794","1,120","1,646","1,517","1,693","2,634","3,659","8,121","4,661","2,168","4,418","2,066",0
2020,4,60,"73,797","40,735","1,411",875,"2,176",877,"1,247","1,596","2,122","1,821","3,686","2,195","5,610","1,720","2,239","2,681","1,779","1,639","2,039","3,061","1,961","33,062","2,323","2,215","1,869","2,685","2,062",937,"1,636","1,377","1,446","1,754","2,676","3,881","2,956","1,624","2,770",851,0
2020,4,70,"42,590","23,042",974,684,"1,560",702,825,"1,099","1,120",851,"2,022","1,517","2,809",945,"1,090","1,383","1,200",985,"1,117","1,245",914,"19,548","1,981","1,504","1,356","1,716","1,305",661,"1,218",913,741,932,"1,290","1,740","1,550",949,"1,352",340,0
2020,4,80,"19,152","10,471",454,319,786,336,400,443,528,372,973,727,"1,252",378,419,752,476,351,532,565,408,"8,681",951,569,544,744,548,303,473,348,336,466,633,780,691,532,612,151,0
2020,4,90,"2,648","1,515",56,61,116,48,53,49,65,59,112,109,169,63,57,122,70,57,87,109,53,"1,133",117,72,56,88,76,37,48,39,47,62,81,131,101,64,83,31,0
2020,4,100,165,83,9,5,15,1,5,6,3,3,4,2,7,3,1,2,3,3,1,4,6,82,9,10,6,5,18,1,1,5,2,2,4,2,1,8,8,0,0
2020,5,총,"655,607","338,482","7,802","4,371","12,873","5,034","6,601","8,945","15,000","19,806","39,722","13,160","45,737","12,271","13,997","22,790","11,426","10,649","15,275","35,853","37,170","317,125","14,696","18,867","11,661","32,079","20,186","7,668","10,203","7,895","9,930","14,818","20,856","60,719","26,705","12,361","30,601","17,880",0
2020,5,0,"55,268","25,100",340,114,641,191,328,355,"1,042","1,487","3,179",657,"4,135",803,725,"1,664",688,566,"1,077","3,850","3,258","30,168",698,"1,548",593,"2,800","2,114",219,491,348,701,931,"1,621","8,246","2,232",875,"3,797","2,954",0
2020,5,10,"73,030","37,037",489,202,866,370,485,707,"1,330","2,736","5,007",910,"5,470","1,198","1,346","2,734",979,991,"1,645","4,660","4,912","35,993","1,141","2,470",793,"4,217","1,632",409,686,561,803,"1,348","2,652","8,626","3,203","1,035","3,157","3,260",0
2020,5,20,"92,289","49,133",952,405,"1,462",523,723,"1,039","2,390","3,183","6,109","1,434","5,826","1,757","2,159","3,188","1,520","1,566","2,170","5,725","7,002","43,156","1,764","2,402","1,600","4,640","3,121","2,143","1,577",869,"1,372","2,038","2,803","7,795","3,999","1,553","3,891","1,589",0
2020,5,30,"82,442","40,026",802,415,"1,400",438,596,793,"1,747","2,383","4,876","1,387","5,327","1,283","1,370","2,251","1,213","1,124","1,747","4,764","6,110","42,416","1,355","1,974","1,361","4,039","3,436",943,"1,102",777,"1,300","2,062","2,159","9,480","3,035","1,704","5,282","2,407",0
2020,5,40,"107,814","54,083",962,551,"1,730",721,831,"1,242","2,020","3,609","6,913","1,813","7,570","1,789","1,863","3,673","1,606","1,487","2,242","6,302","7,159","53,731","1,912","3,209","1,535","6,155","3,085",887,"1,312","1,145","1,469","2,535","3,278","11,744","4,231","1,845","5,170","4,219",0
2020,5,50,"105,932","57,059","1,353",734,"2,107",828,"1,100","1,603","2,618","3,283","6,835","2,393","7,538","2,329","2,721","4,317","1,882","1,881","2,608","5,537","5,392","48,873","2,445","2,883","1,935","4,979","2,783","1,127","1,648","1,505","1,691","2,651","3,654","8,225","4,672","2,155","4,452","2,068",0
2020,5,60,"73,990","40,769","1,408",878,"2,175",864,"1,253","1,594","2,124","1,833","3,673","2,201","5,602","1,722","2,236","2,695","1,783","1,641","2,035","3,091","1,961","33,221","2,321","2,220","1,877","2,703","2,062",937,"1,639","1,376","1,458","1,772","2,673","3,916","2,977","1,640","2,785",865,0
2020,5,70,"42,825","23,175",971,687,"1,566",712,825,"1,104","1,131",857,"2,046","1,527","2,833",937,"1,104","1,393","1,204",986,"1,126","1,252",914,"19,650","1,979","1,506","1,355","1,716","1,312",664,"1,223",920,748,943,"1,300","1,769","1,559",954,"1,363",339,0
2020,5,80,"19,193","10,500",461,319,795,340,404,452,531,372,970,727,"1,258",388,414,749,480,349,533,556,402,"8,693",955,574,551,739,546,300,477,348,338,470,635,781,691,529,611,148,0
2020,5,90,"2,662","1,520",55,61,116,46,53,50,64,60,110,109,171,62,58,124,68,55,91,112,55,"1,142",117,72,55,86,77,38,47,41,48,66,77,134,105,63,85,31,0
2020,5,100,162,80,9,5,15,1,3,6,3,3,4,2,7,3,1,2,3,3,1,4,5,82,9,9,6,5,18,1,1,5,2,2,4,3,1,8,8,0,0
2020,6,총,"655,472","338,697","7,796","4,368","12,819","5,028","6,585","8,886","14,905","19,679","39,569","13,102","45,490","12,196","13,904","22,537","11,375","10,597","15,141","37,726","36,994","316,775","14,658","18,819","11,659","31,979","20,135","7,640","10,174","7,876","9,895","14,750","20,794","61,016","26,642","12,326","30,631","17,781",0
2020,6,0,"55,174","25,166",339,116,636,194,324,353,"1,027","1,473","3,141",649,"4,069",785,722,"1,619",671,566,"1,062","4,196","3,224","30,008",692,"1,552",593,"2,763","2,087",213,490,345,684,924,"1,608","8,246","2,218",865,"3,803","2,925",0
2020,6,10,"72,734","36,873",487,198,862,370,478,696,"1,320","2,691","4,951",895,"5,447","1,188","1,335","2,678",971,974,"1,618","4,851","4,863","35,861","1,124","2,442",797,"4,209","1,615",393,687,554,806,"1,325","2,633","8,654","3,188","1,018","3,161","3,255",0
2020,6,20,"92,261","49,099",957,409,"1,442",521,727,"1,023","2,373","3,150","6,120","1,417","5,773","1,768","2,139","3,116","1,512","1,555","2,139","5,951","7,007","43,162","1,768","2,393","1,595","4,635","3,159","2,147","1,575",860,"1,356","2,022","2,808","7,842","3,982","1,556","3,889","1,575",0
2020,6,30,"82,399","40,134",804,419,"1,395",442,591,791,"1,735","2,382","4,809","1,379","5,264","1,262","1,353","2,239","1,192","1,128","1,736","5,132","6,081","42,265","1,369","1,974","1,361","4,013","3,409",946,"1,092",772,"1,287","2,051","2,126","9,507","3,014","1,694","5,270","2,380",0
2020,6,40,"107,657","54,043",960,546,"1,725",713,833,"1,224","2,002","3,577","6,884","1,806","7,528","1,759","1,841","3,640","1,597","1,464","2,214","6,625","7,105","53,614","1,881","3,190","1,538","6,123","3,069",876,"1,310","1,146","1,467","2,518","3,275","11,781","4,215","1,837","5,189","4,199",0
2020,6,50,"105,676","56,933","1,351",735,"2,083",817,"1,095","1,580","2,585","3,255","6,821","2,375","7,519","2,315","2,687","4,266","1,873","1,869","2,564","5,777","5,366","48,743","2,426","2,873","1,918","4,974","2,758","1,114","1,624","1,503","1,692","2,639","3,632","8,274","4,662","2,145","4,446","2,063",0
2020,6,60,"74,463","41,035","1,400",866,"2,184",866,"1,255","1,599","2,134","1,848","3,696","2,208","5,600","1,730","2,248","2,715","1,793","1,645","2,045","3,229","1,974","33,428","2,332","2,228","1,885","2,723","2,068",945,"1,638","1,380","1,461","1,787","2,690","3,987","2,985","1,655","2,803",861,0
2020,6,70,"43,085","23,315",974,696,"1,571",712,820,"1,106","1,131",867,"2,059","1,530","2,853",937,"1,109","1,398","1,213",994,"1,141","1,281",923,"19,770","1,981","1,516","1,361","1,710","1,326",664,"1,231",921,754,952,"1,304","1,795","1,580",964,"1,368",343,0
2020,6,80,"19,192","10,492",459,317,792,346,406,455,530,369,975,730,"1,258",388,414,742,482,341,527,570,391,"8,700",958,568,554,740,549,303,479,347,337,464,636,792,691,524,609,149,0
2020,6,90,"2,671","1,526",56,61,114,46,53,53,65,64,109,111,171,61,55,122,68,58,94,110,55,"1,145",119,75,52,84,77,38,47,43,49,66,78,135,105,61,85,31,0
2020,6,100,160,81,9,5,15,1,3,6,3,3,4,2,8,3,1,2,3,3,1,4,5,79,8,8,5,5,18,1,1,5,2,2,4,3,2,7,8,0,0
2020,7,총,"655,784","339,317","7,767","4,341","12,771","5,026","6,569","8,892","14,861","19,629","40,032","13,069","45,425","12,111","13,823","22,411","11,303","10,561","15,048","38,894","36,784","316,467","14,612","18,790","11,590","31,888","20,098","7,615","10,101","7,851","9,890","14,742","20,806","61,078","26,662","12,390","30,611","17,743",0
2020,7,0,"55,025","25,231",337,113,644,193,316,349,"1,021","1,479","3,188",646,"4,034",753,700,"1,606",660,566,"1,038","4,412","3,176","29,794",683,"1,523",588,"2,729","2,061",212,472,347,672,923,"1,594","8,199","2,202",868,"3,803","2,918",0
2020,7,10,"72,511","36,767",474,196,850,370,481,691,"1,314","2,675","4,972",887,"5,424","1,176","1,321","2,625",961,961,"1,602","4,987","4,800","35,744","1,115","2,449",787,"4,176","1,600",383,682,545,799,"1,327","2,633","8,667","3,172","1,019","3,139","3,251",0
2020,7,20,"92,416","49,240",960,399,"1,438",526,718,"1,040","2,378","3,133","6,223","1,405","5,773","1,761","2,129","3,118","1,488","1,554","2,124","6,081","6,992","43,176","1,759","2,386","1,589","4,635","3,173","2,129","1,566",861,"1,350","2,013","2,812","7,881","4,007","1,565","3,881","1,569",0
2020,7,30,"82,347","40,240",796,412,"1,398",442,589,791,"1,723","2,376","4,888","1,366","5,235","1,262","1,341","2,220","1,166","1,114","1,729","5,335","6,057","42,107","1,359","1,974","1,339","4,001","3,401",943,"1,069",763,"1,281","2,034","2,116","9,471","3,012","1,714","5,264","2,366",0
2020,7,40,"107,689","54,081",951,542,"1,726",713,834,"1,215","1,992","3,564","6,954","1,795","7,512","1,739","1,833","3,605","1,580","1,463","2,173","6,849","7,041","53,608","1,879","3,192","1,526","6,099","3,073",871,"1,298","1,146","1,471","2,528","3,278","11,789","4,223","1,846","5,196","4,193",0
2020,7,50,"105,759","56,995","1,346",737,"2,049",815,"1,090","1,582","2,571","3,237","6,883","2,360","7,528","2,311","2,670","4,247","1,867","1,854","2,564","5,912","5,372","48,764","2,426","2,873","1,914","4,982","2,753","1,100","1,618","1,498","1,690","2,651","3,636","8,302","4,652","2,149","4,451","2,069",0
2020,7,60,"74,635","41,173","1,403",859,"2,187",859,"1,257","1,600","2,121","1,866","3,747","2,214","5,616","1,718","2,248","2,720","1,792","1,642","2,054","3,306","1,964","33,462","2,320","2,217","1,869","2,716","2,065",964,"1,628","1,368","1,467","1,787","2,689","4,038","3,004","1,670","2,803",857,0
2020,7,70,"43,373","23,489",975,699,"1,564",713,817,"1,108","1,146",865,"2,089","1,551","2,858",945,"1,116","1,413","1,231","1,000","1,147","1,325",927,"19,884","1,981","1,520","1,371","1,722","1,327",667,"1,242",925,768,957,"1,322","1,810","1,588",962,"1,380",342,0
2020,7,80,"19,178","10,479",458,318,786,347,410,458,525,369,973,729,"1,265",384,411,732,485,343,524,570,392,"8,699",963,573,549,736,549,306,477,351,341,457,642,785,693,527,602,148,0
2020,7,90,"2,688","1,539",58,61,114,47,54,52,67,62,111,114,171,59,53,122,70,61,92,113,58,"1,149",119,75,53,87,78,39,48,42,49,63,79,133,107,63,84,30,0
2020,7,100,163,83,9,5,15,1,3,6,3,3,4,2,9,3,1,3,3,3,1,4,5,80,8,8,5,5,18,1,1,5,2,2,5,3,2,7,8,0,0
2020,8,총,"656,149","339,695","7,759","4,330","12,728","5,007","6,535","8,854","14,825","19,585","40,868","13,033","45,466","12,019","13,758","22,346","11,232","10,480","15,017","39,200","36,653","316,454","14,582","18,716","11,568","31,818","20,041","7,618","10,085","7,824","9,837","14,740","20,776","60,964","26,676","12,438","30,612","18,159",0
2020,8,0,"54,837","25,221",334,109,641,191,314,354,"1,015","1,472","3,315",638,"4,036",734,685,"1,582",654,555,"1,025","4,440","3,127","29,616",662,"1,505",576,"2,697","2,035",208,467,342,663,916,"1,579","8,149","2,183",866,"3,795","2,973",0
2020,8,10,"72,356","36,637",473,193,846,367,469,684,"1,307","2,661","5,048",879,"5,411","1,158","1,309","2,594",949,938,"1,589","4,992","4,770","35,719","1,108","2,423",787,"4,155","1,593",361,681,541,788,"1,335","2,616","8,668","3,172","1,031","3,149","3,311",0
2020,8,20,"92,560","49,351",960,400,"1,438",528,717,"1,029","2,365","3,163","6,293","1,399","5,789","1,749","2,114","3,111","1,466","1,536","2,125","6,171","6,998","43,209","1,760","2,386","1,583","4,607","3,193","2,178","1,554",855,"1,335","2,031","2,819","7,840","4,004","1,570","3,871","1,623",0
2020,8,30,"82,226","40,236",789,404,"1,373",441,581,789,"1,707","2,353","5,072","1,360","5,244","1,250","1,332","2,199","1,169","1,106","1,705","5,349","6,013","41,990","1,352","1,952","1,338","3,987","3,384",929,"1,060",761,"1,275","2,014","2,100","9,429","3,016","1,709","5,254","2,430",0
2020,8,40,"107,597","54,020",945,545,"1,727",706,829,"1,211","1,968","3,539","7,090","1,765","7,504","1,716","1,819","3,584","1,562","1,445","2,169","6,905","6,991","53,577","1,869","3,174","1,528","6,100","3,033",869,"1,301","1,147","1,456","2,523","3,256","11,762","4,207","1,867","5,177","4,308",0
2020,8,50,"105,737","57,048","1,342",726,"2,040",812,"1,083","1,567","2,570","3,218","6,998","2,361","7,528","2,299","2,665","4,253","1,853","1,828","2,549","5,959","5,397","48,689","2,410","2,869","1,900","4,999","2,731","1,097","1,608","1,474","1,691","2,632","3,631","8,305","4,644","2,136","4,450","2,112",0
