년도,월,나이,중랑구,면목제2동,면목제4동,면목제5동,면목본동,면목제7동,면목제3.8동,상봉제1동,상봉제2동,중화제1동,중화제2동,묵제1동,묵제2동,망우본동,망우제3동,신내1동,신내2동
2020,4,70,"30,748","2,008","1,792",785,"2,824","1,875","2,270","1,594","1,335","1,496","2,272","2,535","1,511","2,564","1,452","2,821","1,614"
2020,4,80,"11,235",725,492,255,939,657,803,639,442,566,836,964,514,962,532,"1,183",726
2020,4,90,"1,550",105,86,28,110,80,104,86,69,71,93,115,61,150,81,216,95
2020,4,100,196,11,9,4,26,12,11,2,11,5,17,22,11,18,15,16,6
2020,5,총,"394,982","25,364","19,381","9,539","35,231","22,452","26,005","25,161","19,731","20,549","26,237","35,763","19,557","30,489","17,439","40,517","21,567"
2020,5,0,"23,795","1,378","1,137",518,"1,777","1,255","1,249","1,948",826,"1,358","1,130","2,592","1,166","1,523",866,"3,613","1,459"
2020,5,10,"27,667","1,689","1,265",655,"2,109","1,321","1,613","2,065",875,"1,405","1,288","3,220","1,277","1,951","1,256","3,867","1,811"
2020,5,20,"56,090","3,470","2,542","1,261","5,304","3,099","3,819","3,681","3,876","2,980","3,887","4,956","2,788","4,245","2,384","5,121","2,677"
2020,5,30,"58,501","3,490","2,813","1,416","5,559","3,468","3,749","3,738","4,084","3,309","3,797","5,167","3,134","4,096","2,243","5,412","3,026"
2020,5,40,"58,487","3,874","3,047","1,433","5,245","3,224","3,678","3,664","2,647","2,894","3,672","5,983","2,943","4,214","2,512","6,140","3,317"
2020,5,50,"70,294","5,020","3,339","1,788","6,531","4,013","4,749","4,540","3,138","3,478","5,189","5,641","3,235","5,846","3,425","6,718","3,644"
2020,5,60,"56,229","3,570","2,840","1,391","4,802","3,430","3,935","3,194","2,413","2,991","4,050","4,559","2,909","4,900","2,670","5,398","3,177"
2020,5,70,"30,871","2,023","1,807",789,"2,821","1,891","2,290","1,606","1,344","1,495","2,266","2,541","1,515","2,580","1,452","2,827","1,624"
2020,5,80,"11,289",731,499,256,948,657,809,637,448,562,846,964,518,966,533,"1,188",727
2020,5,90,"1,562",108,82,28,109,82,104,86,69,72,95,118,60,150,83,217,99
2020,5,100,197,11,10,4,26,12,10,2,11,5,17,22,12,18,15,16,6
2020,6,총,"394,414","25,309","19,286","9,556","35,084","22,477","26,073","25,133","19,714","20,515","26,135","35,700","19,554","30,516","17,378","40,459","21,525"
2020,6,0,"23,635","1,366","1,124",521,"1,759","1,247","1,239","1,945",812,"1,338","1,133","2,556","1,165","1,526",853,"3,597","1,454"
2020,6,10,"27,525","1,687","1,248",652,"2,104","1,317","1,608","2,047",870,"1,399","1,272","3,219","1,265","1,943","1,234","3,855","1,805"
2020,6,20,"56,031","3,454","2,529","1,255","5,265","3,103","3,864","3,662","3,920","2,985","3,868","4,951","2,806","4,247","2,379","5,079","2,664"
2020,6,30,"58,354","3,448","2,787","1,415","5,517","3,486","3,774","3,722","4,068","3,311","3,784","5,144","3,148","4,111","2,232","5,395","3,012"
2020,6,40,"58,319","3,876","3,021","1,441","5,227","3,223","3,669","3,656","2,623","2,872","3,657","5,979","2,950","4,189","2,503","6,128","3,305"
2020,6,50,"69,966","4,993","3,333","1,793","6,484","3,995","4,739","4,526","3,139","3,463","5,129","5,618","3,194","5,835","3,383","6,714","3,628"
2020,6,60,"56,521","3,590","2,855","1,396","4,830","3,454","3,956","3,226","2,417","3,006","4,067","4,572","2,918","4,935","2,693","5,417","3,189"
2020,6,70,"30,967","2,045","1,801",793,"2,809","1,899","2,293","1,617","1,339","1,507","2,271","2,551","1,521","2,591","1,464","2,837","1,629"
2020,6,80,"11,328",731,496,258,948,654,816,643,446,558,847,968,512,969,541,"1,206",735
2020,6,90,"1,569",107,82,28,115,87,105,87,69,71,90,120,63,152,81,214,98
2020,6,100,199,12,10,4,26,12,10,2,11,5,17,22,12,18,15,17,6
2020,7,총,"394,293","25,231","19,265","10,343","34,900","22,481","26,000","25,061","19,734","20,437","26,045","35,677","19,511","30,428","17,321","40,382","21,477"
2020,7,0,"23,574","1,346","1,119",645,"1,747","1,244","1,234","1,936",804,"1,325","1,114","2,523","1,162","1,514",848,"3,565","1,448"
2020,7,10,"27,414","1,679","1,251",704,"2,097","1,304","1,583","2,049",862,"1,379","1,265","3,210","1,245","1,928","1,221","3,846","1,791"
2020,7,20,"55,983","3,438","2,529","1,335","5,241","3,128","3,850","3,638","3,939","2,965","3,847","4,962","2,785","4,228","2,370","5,072","2,656"
2020,7,30,"58,291","3,418","2,775","1,621","5,473","3,476","3,749","3,719","4,058","3,290","3,771","5,126","3,145","4,091","2,212","5,361","3,006"
2020,7,40,"58,239","3,854","3,001","1,578","5,195","3,224","3,654","3,637","2,625","2,876","3,624","5,955","2,951","4,149","2,509","6,117","3,290"
2020,7,50,"69,861","4,978","3,331","1,878","6,452","3,983","4,734","4,501","3,144","3,443","5,116","5,615","3,187","5,820","3,370","6,702","3,607"
2020,7,60,"56,685","3,605","2,858","1,464","4,799","3,459","3,962","3,235","2,437","3,007","4,083","4,604","2,915","4,932","2,697","5,435","3,193"
2020,7,70,"31,084","2,053","1,807",815,"2,803","1,911","2,296","1,614","1,343","1,516","2,270","2,568","1,532","2,615","1,455","2,840","1,646"
2020,7,80,"11,391",740,501,270,954,652,823,644,442,559,850,973,514,982,542,"1,209",736
2020,7,90,"1,569",108,83,29,112,88,105,85,69,72,87,119,63,151,82,218,98
2020,7,100,202,12,10,4,27,12,10,3,11,5,18,22,12,18,15,17,6
2020,8,총,"395,788","25,088","19,111","13,016","34,707","22,386","25,837","24,949","19,742","20,384","26,026","35,629","19,489","30,427","17,320","40,225","21,452"
2020,8,0,"23,753","1,331","1,097","1,096","1,715","1,218","1,190","1,922",791,"1,318","1,109","2,508","1,143","1,500",848,"3,532","1,435"
2020,8,10,"27,345","1,650","1,223",845,"2,069","1,300","1,561","2,033",845,"1,369","1,249","3,217","1,241","1,922","1,216","3,825","1,780"
2020,8,20,"56,162","3,431","2,522","1,622","5,215","3,119","3,827","3,620","3,965","2,953","3,861","4,977","2,763","4,233","2,356","5,036","2,662"
2020,8,30,"58,610","3,401","2,725","2,296","5,426","3,447","3,701","3,693","4,055","3,289","3,752","5,063","3,150","4,092","2,211","5,318","2,991"
2020,8,40,"58,364","3,790","2,984","2,015","5,152","3,196","3,616","3,603","2,619","2,860","3,609","5,950","2,941","4,148","2,506","6,091","3,284"
2020,8,50,"69,981","4,969","3,294","2,222","6,405","3,974","4,715","4,485","3,148","3,424","5,113","5,610","3,196","5,799","3,359","6,662","3,606"
2020,8,60,"57,147","3,615","2,844","1,681","4,832","3,466","3,983","3,247","2,456","3,026","4,108","4,612","2,926","4,947","2,720","5,478","3,206"
2020,8,70,"31,176","2,048","1,820",895,"2,790","1,918","2,307","1,616","1,338","1,511","2,269","2,579","1,530","2,636","1,459","2,815","1,645"
2020,8,80,"11,457",730,506,310,961,648,822,642,445,559,850,967,524,980,545,"1,229",739
2020,8,90,"1,587",111,86,29,114,88,105,85,69,70,88,123,63,152,85,221,98
2020,8,100,206,12,10,5,28,12,10,3,11,5,18,23,12,18,15,18,6
2020,9,총,"395,997","25,005","19,037","14,164","34,618","22,330","25,682","24,884","19,776","20,308","25,922","35,622","19,480","30,467","17,231","40,091","21,380"
2020,9,0,"23,628","1,318","1,062","1,259","1,693","1,198","1,145","1,908",785,"1,302","1,107","2,479","1,140","1,482",826,"3,496","1,428"
2020,9,10,"27,292","1,642","1,240",903,"2,039","1,297","1,556","2,036",842,"1,346","1,228","3,204","1,233","1,931","1,202","3,824","1,769"
2020,9,20,"56,186","3,424","2,500","1,731","5,210","3,123","3,800","3,617","3,968","2,945","3,850","5,029","2,752","4,249","2,333","5,005","2,650"
2020,9,30,"58,549","3,375","2,694","2,548","5,398","3,412","3,658","3,654","4,093","3,272","3,756","4,997","3,155","4,097","2,194","5,274","2,972"
2020,9,40,"58,307","3,781","2,980","2,170","5,129","3,194","3,588","3,593","2,619","2,840","3,579","5,948","2,935","4,156","2,475","6,055","3,265"
2020,9,50,"69,972","4,939","3,304","2,405","6,391","3,969","4,702","4,479","3,122","3,412","5,069","5,602","3,196","5,774","3,364","6,653","3,591"
2020,9,60,"57,481","3,628","2,839","1,819","4,854","3,470","3,992","3,254","2,471","3,052","4,094","4,653","2,930","4,981","2,714","5,502","3,228"
2020,9,70,"31,226","2,051","1,813",960,"2,796","1,924","2,298","1,603","1,341","1,508","2,283","2,584","1,535","2,628","1,459","2,813","1,630"
2020,9,80,"11,558",721,510,333,965,645,829,651,453,558,850,977,530,998,562,"1,228",748
2020,9,90,"1,590",114,85,31,115,86,103,86,71,68,88,126,62,152,87,222,94
2020,9,100,208,12,10,5,28,12,11,3,11,5,18,23,12,19,15,19,5
2020,10,총,"395,572","24,940","18,985","14,416","34,581","22,313","25,584","24,869","19,795","20,263","25,809","35,602","19,478","30,409","17,202","40,010","21,316"
2020,10,0,"23,403","1,303","1,047","1,278","1,648","1,186","1,139","1,879",793,"1,293","1,087","2,449","1,121","1,486",812,"3,467","1,415"
2020,10,10,"27,097","1,632","1,222",917,"2,028","1,290","1,532","2,023",827,"1,347","1,211","3,173","1,238","1,911","1,177","3,821","1,748"
2020,10,20,"56,186","3,425","2,497","1,761","5,254","3,104","3,798","3,605","3,981","2,945","3,823","5,043","2,756","4,234","2,340","4,986","2,634"
2020,10,30,"58,379","3,350","2,683","2,598","5,354","3,429","3,617","3,665","4,078","3,230","3,757","4,998","3,156","4,084","2,192","5,220","2,968"
2020,10,40,"58,169","3,747","2,967","2,203","5,115","3,189","3,569","3,601","2,629","2,831","3,542","5,949","2,907","4,133","2,464","6,067","3,256"
2020,10,50,"69,885","4,920","3,294","2,463","6,382","3,957","4,700","4,471","3,108","3,413","5,030","5,586","3,223","5,764","3,362","6,629","3,583"
2020,10,60,"57,706","3,649","2,847","1,847","4,870","3,480","3,993","3,270","2,487","3,059","4,112","4,676","2,928","5,005","2,718","5,527","3,238"
2020,10,70,"31,330","2,053","1,818",977,"2,809","1,937","2,293","1,619","1,357","1,523","2,281","2,596","1,535","2,624","1,472","2,814","1,622"
2020,10,80,"11,628",735,514,337,979,648,827,647,456,549,856,981,541,"1,000",564,"1,241",753
2020,10,90,"1,585",116,85,30,115,81,105,86,68,68,92,128,61,149,86,221,94
2020,10,100,204,10,11,5,27,12,11,3,11,5,18,23,12,19,15,17,5
2020,11,총,"395,194","24,908","18,915","14,484","34,565","22,385","25,580","24,795","19,867","20,290","25,655","35,520","19,484","30,417","17,179","39,886","21,264"
2020,11,0,"23,221","1,290","1,040","1,272","1,623","1,189","1,118","1,872",802,"1,289","1,064","2,416","1,126","1,492",801,"3,427","1,400"
2020,11,10,"26,942","1,615","1,209",919,"2,016","1,290","1,523","1,997",815,"1,351","1,194","3,160","1,232","1,891","1,181","3,807","1,742"
2020,11,20,"56,133","3,424","2,479","1,765","5,298","3,129","3,825","3,582","4,030","2,938","3,771","5,017","2,742","4,213","2,334","4,971","2,615"
2020,11,30,"58,262","3,330","2,664","2,613","5,343","3,438","3,594","3,656","4,095","3,228","3,752","4,988","3,139","4,107","2,182","5,181","2,952"
2020,11,40,"58,028","3,734","2,959","2,204","5,109","3,186","3,549","3,593","2,627","2,838","3,514","5,918","2,916","4,130","2,458","6,050","3,243"
2020,11,50,"69,716","4,934","3,264","2,476","6,347","3,939","4,728","4,438","3,129","3,413","4,995","5,567","3,235","5,742","3,338","6,607","3,564"
2020,11,60,"58,020","3,676","2,860","1,865","4,889","3,512","3,999","3,305","2,482","3,081","4,113","4,706","2,932","5,043","2,745","5,545","3,267"
2020,11,70,"31,383","2,043","1,825",995,"2,812","1,953","2,297","1,614","1,355","1,527","2,282","2,608","1,546","2,625","1,467","2,810","1,624"
2020,11,80,"11,680",739,517,341,982,649,826,650,456,552,861,987,541,"1,003",571,"1,248",757
2020,11,90,"1,601",112,86,29,119,88,110,85,64,68,91,130,63,151,87,223,95
2020,11,100,208,11,12,5,27,12,11,3,12,5,18,23,12,20,15,17,5
2020,12,총,"394,702","24,865","18,972","14,537","34,622","22,386","25,576","24,763","19,899","20,224","25,578","35,399","19,428","30,431","17,127","39,681","21,214"
2020,12,0,"23,064","1,280","1,052","1,286","1,605","1,187","1,113","1,858",793,"1,282","1,059","2,383","1,102","1,499",795,"3,377","1,393"
2020,12,10,"26,759","1,613","1,197",911,"1,991","1,270","1,496","1,990",813,"1,347","1,178","3,137","1,224","1,885","1,172","3,791","1,744"
2020,12,20,"56,112","3,416","2,501","1,769","5,386","3,136","3,815","3,574","4,051","2,923","3,771","4,990","2,724","4,215","2,334","4,928","2,579"
2020,12,30,"58,124","3,321","2,673","2,646","5,336","3,425","3,627","3,649","4,124","3,215","3,699","4,953","3,117","4,108","2,153","5,125","2,953"
2020,12,40,"57,883","3,700","2,953","2,207","5,097","3,182","3,532","3,600","2,624","2,837","3,506","5,903","2,907","4,128","2,444","6,038","3,225"
2020,12,50,"69,528","4,938","3,278","2,464","6,354","3,934","4,725","4,412","3,104","3,379","4,971","5,551","3,247","5,715","3,325","6,572","3,559"
2020,12,60,"58,222","3,686","2,875","1,879","4,895","3,537","4,021","3,322","2,496","3,072","4,127","4,729","2,940","5,072","2,756","5,535","3,280"
2020,12,70,"31,445","2,048","1,827",996,"2,819","1,956","2,301","1,615","1,355","1,544","2,294","2,609","1,546","2,631","1,467","2,817","1,620"
2020,12,80,"11,758",740,520,343,993,660,827,655,461,551,863,992,548,"1,008",580,"1,256",761
2020,12,90,"1,601",112,84,31,120,87,108,85,66,69,92,129,61,150,86,226,95
2020,12,100,206,11,12,5,26,12,11,3,12,5,18,23,12,20,15,16,5
2021,1,총,"394,532","24,791","19,250","14,634","34,543","22,363","25,594","24,714","20,001","20,179","25,529","35,322","19,416","30,430","17,102","39,500","21,164"
2021,1,0,"22,888","1,260","1,076","1,301","1,578","1,188","1,117","1,852",792,"1,265","1,054","2,357","1,085","1,491",795,"3,311","1,366"
2021,1,10,"26,617","1,606","1,208",907,"1,965","1,257","1,478","1,975",807,"1,330","1,169","3,124","1,228","1,873","1,168","3,785","1,737"
2021,1,20,"56,045","3,385","2,527","1,784","5,388","3,107","3,823","3,573","4,086","2,899","3,755","4,968","2,719","4,206","2,329","4,908","2,588"
2021,1,30,"57,979","3,311","2,735","2,678","5,303","3,413","3,599","3,615","4,159","3,216","3,695","4,929","3,098","4,106","2,153","5,045","2,924"
2021,1,40,"57,740","3,687","3,009","2,222","5,060","3,177","3,539","3,587","2,629","2,823","3,473","5,880","2,881","4,127","2,431","6,000","3,215"
2021,1,50,"69,436","4,908","3,297","2,470","6,333","3,931","4,737","4,416","3,101","3,363","4,966","5,557","3,255","5,693","3,304","6,561","3,544"
2021,1,60,"58,588","3,694","2,925","1,895","4,929","3,562","4,049","3,339","2,516","3,093","4,139","4,737","2,960","5,122","2,762","5,566","3,300"
2021,1,70,"31,551","2,066","1,845",995,"2,828","1,966","2,302","1,610","1,366","1,562","2,297","2,613","1,565","2,617","1,478","2,825","1,616"
2021,1,80,"11,850",749,530,345,"1,011",656,830,657,470,556,870,"1,002",553,"1,018",573,"1,261",769
2021,1,90,"1,635",114,86,33,122,94,109,87,64,67,93,132,61,156,94,223,100
2021,1,100,203,11,12,4,26,12,11,3,11,5,18,23,11,21,15,15,5
2021,2,총,"393,933","24,766","19,342","14,678","34,484","22,331","25,547","24,696","20,072","20,143","25,489","35,187","19,369","30,446","17,039","39,326","21,018"
2021,2,0,"22,635","1,250","1,076","1,311","1,563","1,177","1,102","1,838",786,"1,267","1,047","2,315","1,052","1,473",781,"3,257","1,340"
2021,2,10,"26,464","1,584","1,216",902,"1,931","1,259","1,464","1,958",800,"1,317","1,171","3,109","1,217","1,875","1,168","3,768","1,725"
2021,2,20,"55,924","3,378","2,529","1,779","5,414","3,103","3,814","3,588","4,117","2,865","3,759","4,960","2,711","4,189","2,313","4,880","2,525"
2021,2,30,"57,749","3,299","2,735","2,693","5,285","3,393","3,591","3,616","4,203","3,216","3,671","4,867","3,089","4,092","2,121","4,971","2,907"
2021,2,40,"57,576","3,686","3,024","2,229","5,038","3,181","3,520","3,586","2,624","2,819","3,466","5,826","2,868","4,130","2,418","5,961","3,200"
2021,2,50,"69,302","4,899","3,329","2,472","6,315","3,909","4,730","4,385","3,108","3,348","4,930","5,557","3,270","5,683","3,291","6,545","3,531"
2021,2,60,"58,942","3,715","2,944","1,914","4,948","3,579","4,077","3,367","2,530","3,104","4,165","4,774","2,971","5,154","2,786","5,619","3,295"
2021,2,70,"31,552","2,073","1,859",993,"2,827","1,960","2,292","1,597","1,360","1,576","2,289","2,617","1,562","2,644","1,474","2,816","1,613"
2021,2,80,"11,922",755,532,349,"1,017",658,834,671,468,557,879,"1,008",554,"1,022",574,"1,267",777
2021,2,90,"1,664",116,86,32,120,100,112,87,65,69,94,132,64,162,98,227,100
2021,2,100,203,11,12,4,26,12,11,3,11,5,18,22,11,22,15,15,5
2021,3,총,"392,041","24,704","19,224","14,601","34,247","22,143","25,358","24,639","20,113","20,058","25,267","35,072","19,318","30,229","16,979","39,098","20,991"
2021,3,0,"22,413","1,236","1,067","1,310","1,543","1,162","1,099","1,828",778,"1,242","1,037","2,290","1,043","1,468",760,"3,228","1,322"
2021,3,10,"26,288","1,575","1,212",890,"1,918","1,244","1,464","1,936",780,"1,304","1,165","3,079","1,206","1,873","1,159","3,753","1,730"
2021,3,20,"55,938","3,350","2,545","1,773","5,410","3,092","3,813","3,584","4,176","2,866","3,759","4,979","2,698","4,177","2,326","4,853","2,537"
2021,3,30,"57,444","3,279","2,717","2,700","5,268","3,348","3,557","3,629","4,216","3,181","3,660","4,856","3,065","4,064","2,086","4,925","2,893"
2021,3,40,"57,143","3,666","2,987","2,218","4,998","3,160","3,483","3,555","2,631","2,809","3,431","5,776","2,841","4,076","2,404","5,928","3,180"
2021,3,50,"68,812","4,887","3,320","2,461","6,269","3,860","4,682","4,348","3,087","3,321","4,855","5,543","3,262","5,649","3,279","6,472","3,517"
2021,3,60,"59,107","3,747","2,940","1,903","4,960","3,581","4,062","3,400","2,539","3,140","4,157","4,778","3,003","5,143","2,806","5,640","3,308"
2021,3,70,"31,270","2,073","1,821",966,"2,779","1,934","2,265","1,590","1,359","1,568","2,243","2,606","1,557","2,619","1,468","2,804","1,618"
2021,3,80,"11,904",761,537,350,992,667,821,677,472,556,864,"1,021",567,"1,003",580,"1,255",781
2021,3,90,"1,614",119,74,29,108,94,109,89,64,70,90,130,65,149,96,228,100
2021,3,100,108,11,4,1,2,1,3,3,11,1,6,14,11,8,15,12,5
2021,4,총,"391,502","24,667","19,189","14,634","34,230","22,120","25,321","24,623","20,094","20,054","25,207","35,016","19,303","30,206","16,816","39,068","20,954"
2021,4,0,"22,289","1,224","1,066","1,323","1,518","1,169","1,095","1,819",777,"1,235","1,028","2,279","1,034","1,460",746,"3,202","1,314"
2021,4,10,"26,154","1,563","1,201",883,"1,902","1,232","1,461","1,932",773,"1,303","1,166","3,068","1,200","1,858","1,139","3,755","1,718"
2021,4,20,"55,811","3,359","2,525","1,778","5,404","3,075","3,801","3,568","4,174","2,868","3,741","4,970","2,692","4,177","2,306","4,846","2,527"
2021,4,30,"57,337","3,261","2,730","2,692","5,274","3,352","3,546","3,647","4,236","3,159","3,642","4,840","3,056","4,048","2,036","4,929","2,889"
2021,4,40,"56,929","3,659","2,982","2,222","4,979","3,154","3,474","3,551","2,616","2,812","3,410","5,744","2,836","4,061","2,365","5,904","3,160"
2021,4,50,"68,616","4,865","3,299","2,470","6,263","3,847","4,657","4,311","3,079","3,316","4,835","5,549","3,259","5,647","3,259","6,456","3,504"
2021,4,60,"59,389","3,766","2,948","1,912","5,009","3,592","4,088","3,429","2,530","3,155","4,179","4,794","3,011","5,174","2,808","5,665","3,329"
2021,4,70,"31,248","2,071","1,814",967,"2,774","1,929","2,263","1,586","1,357","1,572","2,236","2,602","1,561","2,613","1,472","2,810","1,621"
2021,4,80,"11,996",769,549,354,997,675,825,685,476,561,875,"1,024",575,"1,009",571,"1,266",785
2021,4,90,"1,626",120,71,32,107,94,108,92,65,72,89,132,69,151,99,224,101
2021,4,100,107,10,4,1,3,1,3,3,11,1,6,14,10,8,15,11,6
2021,5,총,"390,476","24,445","19,153","14,644","34,165","22,122","25,240","24,575","20,148","20,000","25,124","34,964","19,138","30,165","16,686","39,018","20,889"
2021,5,0,"22,147","1,198","1,056","1,332","1,502","1,166","1,085","1,813",773,"1,227","1,022","2,272","1,017","1,459",741,"3,182","1,302"
2021,5,10,"26,043","1,561","1,199",885,"1,892","1,230","1,453","1,919",762,"1,308","1,163","3,063","1,195","1,848","1,122","3,746","1,697"
2021,5,20,"55,651","3,328","2,517","1,775","5,365","3,089","3,774","3,556","4,184","2,850","3,716","4,983","2,682","4,173","2,287","4,861","2,511"
2021,5,30,"57,123","3,231","2,711","2,675","5,264","3,347","3,528","3,630","4,287","3,156","3,633","4,809","3,024","4,044","2,029","4,877","2,878"
2021,5,40,"56,632","3,626","2,960","2,231","4,937","3,159","3,440","3,559","2,582","2,807","3,383","5,711","2,819","4,053","2,332","5,892","3,141"
2021,5,50,"68,444","4,817","3,291","2,461","6,298","3,845","4,646","4,288","3,103","3,301","4,813","5,549","3,233","5,609","3,251","6,443","3,496"
2021,5,60,"59,581","3,758","2,967","1,922","5,022","3,594","4,111","3,459","2,544","3,153","4,192","4,814","2,998","5,191","2,809","5,706","3,341"
