년도,월,나이,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020,8,100,21,9,0,2,2,1,2,2,3
2020,9,총,"25,080","5,210","1,864","2,501","2,091","2,521","2,608","1,790","6,495"
2020,9,0,982,291,50,67,76,59,75,48,316
2020,9,10,"1,238",358,58,90,101,102,95,52,382
2020,9,20,"1,718",471,93,136,135,125,119,96,543
2020,9,30,"1,722",480,128,113,108,124,114,103,552
2020,9,40,"2,404",620,149,157,204,197,202,132,743
2020,9,50,"4,757","1,016",368,502,411,481,488,289,"1,202"
2020,9,60,"5,441",899,464,641,437,680,625,438,"1,257"
2020,9,70,"4,056",628,338,478,353,453,524,339,943
2020,9,80,"2,441",389,196,283,236,265,316,249,507
2020,9,90,300,49,20,32,28,34,48,42,47
2020,9,100,21,9,0,2,2,1,2,2,3
2020,10,총,"25,110","5,204","1,864","2,503","2,095","2,536","2,620","1,789","6,499"
2020,10,0,982,288,50,66,77,61,76,48,316
2020,10,10,"1,233",361,59,90,96,101,96,48,382
2020,10,20,"1,722",467,92,135,141,125,118,99,545
2020,10,30,"1,716",480,126,115,107,129,113,103,543
2020,10,40,"2,400",617,148,157,205,196,201,132,744
2020,10,50,"4,733","1,000",364,502,411,478,494,285,"1,199"
2020,10,60,"5,486",913,472,642,436,687,629,439,"1,268"
2020,10,70,"4,064",629,337,481,357,455,523,340,942
2020,10,80,"2,450",391,197,281,235,269,318,250,509
2020,10,90,302,49,19,32,28,34,50,43,47
2020,10,100,22,9,0,2,2,1,2,2,4
2020,11,총,"25,077","5,202","1,859","2,505","2,093","2,537","2,614","1,792","6,475"
2020,11,0,976,282,50,66,78,63,74,48,315
2020,11,10,"1,217",361,59,94,96,97,94,48,368
2020,11,20,"1,713",468,91,129,141,126,118,99,541
2020,11,30,"1,713",484,126,116,106,129,112,103,537
2020,11,40,"2,399",607,146,159,206,196,200,133,752
2020,11,50,"4,709","1,002",363,503,408,469,494,284,"1,186"
2020,11,60,"5,502",919,468,646,438,697,620,439,"1,275"
2020,11,70,"4,062",630,338,477,355,453,531,343,935
2020,11,80,"2,462",390,199,282,236,272,319,250,514
2020,11,90,302,50,19,31,27,34,50,43,48
2020,11,100,22,9,0,2,2,1,2,2,4
2020,12,총,"25,044","5,196","1,860","2,507","2,097","2,532","2,609","1,805","6,438"
2020,12,0,979,287,48,66,77,61,77,50,313
2020,12,10,"1,207",363,58,94,96,97,93,50,356
2020,12,20,"1,694",460,94,134,139,119,113,101,534
2020,12,30,"1,693",479,124,116,104,129,116,103,522
2020,12,40,"2,399",606,146,159,209,190,202,134,753
2020,12,50,"4,708","1,002",364,501,409,473,492,290,"1,177"
2020,12,60,"5,527",915,466,647,447,701,619,445,"1,287"
2020,12,70,"4,042",635,339,474,351,452,527,336,928
2020,12,80,"2,466",389,200,281,236,274,320,252,514
2020,12,90,308,51,21,34,27,35,48,42,50
2020,12,100,21,9,0,1,2,1,2,2,4
2021,1,총,"25,030","5,217","1,850","2,510","2,091","2,534","2,611","1,793","6,424"
2021,1,0,973,291,49,64,76,60,71,53,309
2021,1,10,"1,212",362,56,97,97,99,95,49,357
2021,1,20,"1,677",468,92,129,131,120,117,94,526
2021,1,30,"1,686",482,122,122,104,126,114,100,516
2021,1,40,"2,370",600,143,159,207,184,201,131,745
2021,1,50,"4,715","1,011",365,495,409,482,492,286,"1,175"
2021,1,60,"5,542",919,465,654,449,699,622,447,"1,287"
2021,1,70,"4,036",630,338,476,350,451,528,335,928
2021,1,80,"2,493",394,200,281,239,275,321,255,528
2021,1,90,305,52,20,32,27,37,47,41,49
2021,1,100,21,8,0,1,2,1,3,2,4
2021,2,총,"24,991","5,220","1,842","2,509","2,093","2,530","2,605","1,784","6,408"
2021,2,0,965,292,48,65,76,55,70,52,307
2021,2,10,"1,197",360,53,97,95,100,93,47,352
2021,2,20,"1,660",458,95,128,130,118,116,90,525
2021,2,30,"1,680",481,117,121,107,125,112,100,517
2021,2,40,"2,358",605,143,160,202,185,200,124,739
2021,2,50,"4,687","1,005",360,484,415,475,491,289,"1,168"
2021,2,60,"5,584",933,469,662,447,706,629,446,"1,292"
2021,2,70,"4,020",630,335,471,350,451,525,337,921
2021,2,80,"2,507",394,200,287,243,276,320,254,533
2021,2,90,311,53,22,33,26,38,46,43,50
2021,2,100,22,9,0,1,2,1,3,2,4
2021,3,총,"24,907","5,207","1,827","2,499","2,087","2,508","2,608","1,784","6,387"
2021,3,0,961,286,48,64,77,55,72,53,306
2021,3,10,"1,196",356,52,97,95,100,93,52,351
2021,3,20,"1,640",461,91,126,133,112,113,88,516
2021,3,30,"1,673",480,117,120,103,128,112,101,512
2021,3,40,"2,341",604,139,160,198,177,199,127,737
2021,3,50,"4,662","1,009",355,478,418,469,489,279,"1,165"
2021,3,60,"5,607",933,472,663,445,712,629,457,"1,296"
2021,3,70,"3,979",620,329,467,347,443,527,331,915
2021,3,80,"2,520",402,201,290,241,273,324,254,535
2021,3,90,312,51,23,33,28,38,47,42,50
2021,3,100,16,5,0,1,2,1,3,0,4
2021,4,총,"24,904","5,197","1,825","2,509","2,094","2,503","2,596","1,790","6,390"
2021,4,0,959,283,48,67,77,54,71,52,307
2021,4,10,"1,177",353,53,95,94,98,88,53,343
2021,4,20,"1,655",466,91,127,133,117,113,89,519
2021,4,30,"1,661",469,115,119,104,123,113,99,519
2021,4,40,"2,340",600,140,164,196,176,201,131,732
2021,4,50,"4,668","1,015",350,481,424,463,490,279,"1,166"
2021,4,60,"5,595",930,472,658,448,719,619,458,"1,291"
2021,4,70,"3,981",620,331,471,345,437,527,331,919
2021,4,80,"2,532",405,202,291,241,276,323,254,540
2021,4,90,320,51,23,35,30,39,48,44,50
2021,4,100,16,5,0,1,2,1,3,0,4
2021,5,총,"24,825","5,177","1,829","2,498","2,093","2,503","2,608","1,771","6,346"
2021,5,0,952,282,48,68,75,54,73,51,301
2021,5,10,"1,177",354,53,91,98,94,90,52,345
2021,5,20,"1,640",463,93,128,133,117,115,85,506
2021,5,30,"1,634",460,116,118,103,121,119,95,502
2021,5,40,"2,321",596,139,163,192,174,199,131,727
2021,5,50,"4,626","1,005",352,474,426,459,492,267,"1,151"
2021,5,60,"5,622",933,472,656,449,726,623,462,"1,301"
2021,5,70,"3,971",618,329,471,344,438,525,333,913
2021,5,80,"2,544",409,204,292,241,280,321,253,544
2021,5,90,322,52,23,36,30,39,48,42,52
2021,5,100,16,5,0,1,2,1,3,0,4
2021,6,총,"24,784","5,171","1,825","2,496","2,086","2,499","2,607","1,763","6,337"
2021,6,0,947,283,45,69,75,54,72,50,299
2021,6,10,"1,174",351,54,92,98,94,91,52,342
2021,6,20,"1,640",464,90,126,135,114,113,84,514
2021,6,30,"1,614",460,115,117,96,122,116,94,494
2021,6,40,"2,314",594,137,162,192,174,199,130,726
2021,6,50,"4,588","1,001",349,475,417,449,493,266,"1,138"
2021,6,60,"5,648",933,477,658,454,731,626,464,"1,305"
2021,6,70,"3,971",617,332,468,345,442,522,330,915
2021,6,80,"2,552",411,201,291,242,280,325,253,549
2021,6,90,320,52,25,37,30,38,47,40,51
2021,6,100,16,5,0,1,2,1,3,0,4
2021,7,총,"24,768","5,148","1,830","2,494","2,085","2,497","2,609","1,763","6,342"
2021,7,0,950,281,44,69,75,54,72,52,303
2021,7,10,"1,173",349,54,89,99,94,95,52,341
2021,7,20,"1,632",454,89,130,136,115,111,84,513
2021,7,30,"1,602",454,111,119,96,120,116,92,494
2021,7,40,"2,311",593,139,160,192,172,196,133,726
2021,7,50,"4,566",997,348,472,417,446,490,263,"1,133"
2021,7,60,"5,662",938,483,656,448,732,635,461,"1,309"
2021,7,70,"3,978",613,336,471,351,447,518,329,913
2021,7,80,"2,557",412,201,289,236,279,327,257,556
2021,7,90,322,53,25,38,33,37,46,40,50
2021,7,100,15,4,0,1,2,1,3,0,4
2021,8,총,"24,773","5,145","1,830","2,497","2,086","2,501","2,603","1,766","6,345"
2021,8,0,952,279,46,70,74,55,74,54,300
2021,8,10,"1,168",344,53,88,100,95,93,52,343
2021,8,20,"1,626",454,86,131,137,116,107,84,511
2021,8,30,"1,590",450,110,120,98,115,117,91,489
2021,8,40,"2,305",592,141,162,188,174,194,133,721
2021,8,50,"4,548",996,344,464,420,443,486,265,"1,130"
2021,8,60,"5,692",942,483,661,446,735,638,461,"1,326"
2021,8,70,"3,985",617,338,471,350,449,517,328,915
2021,8,80,"2,559",413,204,290,237,279,327,255,554
2021,8,90,333,54,25,39,34,39,47,43,52
2021,8,100,15,4,0,1,2,1,3,0,4
2021,9,총,"24,706","5,142","1,825","2,497","2,081","2,495","2,590","1,761","6,315"
2021,9,0,949,281,46,70,74,55,71,53,299
2021,9,10,"1,163",345,53,88,99,94,96,51,337
2021,9,20,"1,586",438,85,130,134,112,101,82,504
2021,9,30,"1,576",451,108,119,97,114,116,90,481
2021,9,40,"2,297",591,139,163,188,174,191,132,719
2021,9,50,"4,537",997,342,466,417,444,485,261,"1,125"
2021,9,60,"5,701",953,478,665,447,736,636,463,"1,323"
2021,9,70,"3,977",614,340,464,354,446,515,327,917
2021,9,80,"2,566",414,209,292,235,280,326,257,553
2021,9,90,338,54,25,39,33,39,50,45,53
2021,9,100,16,4,0,1,3,1,3,0,4
2021,10,총,"24,605","5,128","1,821","2,481","2,077","2,495","2,583","1,752","6,268"
2021,10,0,935,276,46,66,74,56,72,52,293
2021,10,10,"1,160",345,52,87,98,93,96,52,337
2021,10,20,"1,582",440,86,129,137,111,101,79,499
2021,10,30,"1,556",441,107,112,95,114,118,88,481
2021,10,40,"2,281",594,136,165,187,174,183,132,710
2021,10,50,"4,507",992,343,464,413,442,485,260,"1,108"
2021,10,60,"5,708",960,480,664,448,737,638,463,"1,318"
2021,10,70,"3,967",614,337,463,353,446,509,326,919
2021,10,80,"2,557",409,209,289,234,283,326,256,551
2021,10,90,340,53,25,41,35,38,52,44,52
2021,10,100,12,4,0,1,3,1,3,0,0
2021,11,총,"24,590","5,115","1,815","2,480","2,085","2,489","2,582","1,748","6,276"
2021,11,0,921,274,42,67,74,56,71,46,291
2021,11,10,"1,164",344,53,85,97,92,97,55,341
2021,11,20,"1,573",437,84,125,139,112,100,78,498
2021,11,30,"1,565",442,108,117,95,113,120,84,486
2021,11,40,"2,257",585,134,163,186,172,181,132,704
2021,11,50,"4,492",985,344,458,417,435,484,258,"1,111"
2021,11,60,"5,731",960,481,668,448,741,642,464,"1,327"
2021,11,70,"3,976",624,335,467,357,446,504,331,912
2021,11,80,"2,562",409,209,286,236,284,329,256,553
2021,11,90,338,52,25,43,33,37,51,44,53
2021,11,100,11,3,0,1,3,1,3,0,0
2021,12,총,"24,539","5,108","1,808","2,461","2,091","2,494","2,574","1,741","6,262"
2021,12,0,917,276,41,66,73,56,70,45,290
2021,12,10,"1,149",334,56,81,97,93,97,53,338
2021,12,20,"1,572",445,86,124,141,109,102,76,489
2021,12,30,"1,554",434,107,116,93,112,118,84,490
2021,12,40,"2,239",582,131,161,184,178,182,128,693
2021,12,50,"4,471",983,337,457,416,433,477,261,"1,107"
2021,12,60,"5,734",962,480,661,455,745,642,462,"1,327"
2021,12,70,"3,970",625,336,464,356,447,498,331,913
2021,12,80,"2,583",412,208,288,241,284,330,258,562
2021,12,90,339,52,26,42,32,36,55,43,53
2021,12,100,11,3,0,1,3,1,3,0,0
