년도,월,나이,양평군,양평읍,강상면,강하면,양서면,옥천면,서종면,단월면,청운면,양동면,지평면,용문면,개군면
2020,9,총,"118,433","30,515","10,320","4,674","13,588","7,871","9,645","3,849","3,762","4,572","6,833","17,733","5,071"
2020,9,0,"7,387","2,256",947,175,725,489,639,124,116,141,242,"1,303",230
2020,9,10,"9,899","3,280",927,241,"1,111",548,823,223,162,193,384,"1,690",317
2020,9,20,"10,553","3,499",820,326,"1,248",734,596,259,229,275,479,"1,688",400
2020,9,30,"10,860","3,218","1,222",371,"1,210",782,831,285,204,291,414,"1,659",373
2020,9,40,"16,323","4,819","1,654",511,"1,825","1,040","1,511",437,364,381,686,"2,497",598
2020,9,50,"20,926","5,381","1,685",907,"2,447","1,390","1,722",690,691,910,"1,286","2,925",892
2020,9,60,"22,278","4,339","1,692","1,179","2,645","1,601","2,016",937,957,"1,154","1,636","2,960","1,162"
2020,9,70,"12,987","2,395",911,690,"1,587",866,"1,024",561,609,703,"1,012","1,914",715
2020,9,80,"6,183","1,164",399,226,675,360,400,296,382,437,582,921,341
2020,9,90,969,149,59,46,105,57,78,37,41,79,109,168,41
2020,9,100,68,15,4,2,10,4,5,0,7,8,3,8,2
2020,10,총,"118,609","30,568","10,364","4,661","13,592","7,919","9,683","3,841","3,757","4,581","6,837","17,741","5,065"
2020,10,0,"7,367","2,232",943,175,730,495,640,126,118,143,240,"1,291",234
2020,10,10,"9,860","3,302",935,232,"1,085",553,833,220,157,195,383,"1,651",314
2020,10,20,"10,542","3,491",829,328,"1,241",733,597,255,231,270,477,"1,700",390
2020,10,30,"10,837","3,208","1,222",367,"1,200",771,832,286,207,299,417,"1,662",366
2020,10,40,"16,315","4,825","1,656",503,"1,827","1,059","1,514",427,361,388,676,"2,485",594
2020,10,50,"20,939","5,398","1,674",893,"2,439","1,397","1,735",689,689,905,"1,286","2,945",889
2020,10,60,"22,453","4,359","1,723","1,192","2,672","1,614","2,014",941,961,"1,156","1,654","2,993","1,174"
2020,10,70,"13,045","2,419",916,696,"1,600",876,"1,032",561,606,702,"1,013","1,908",716
2020,10,80,"6,192","1,166",403,225,680,358,400,298,379,435,579,925,344
2020,10,90,993,153,59,49,108,59,81,38,42,80,109,173,42
2020,10,100,66,15,4,1,10,4,5,0,6,8,3,8,2
2020,11,총,"118,778","30,604","10,426","4,680","13,604","7,910","9,680","3,845","3,763","4,591","6,838","17,763","5,074"
2020,11,0,"7,320","2,210",946,172,734,485,640,124,119,142,234,"1,281",233
2020,11,10,"9,848","3,313",943,231,"1,074",553,829,219,156,202,391,"1,628",309
2020,11,20,"10,592","3,511",841,332,"1,252",732,599,249,229,271,477,"1,708",391
2020,11,30,"10,801","3,194","1,220",366,"1,204",771,829,285,206,298,417,"1,644",367
2020,11,40,"16,315","4,817","1,671",505,"1,819","1,061","1,497",430,361,393,679,"2,489",593
2020,11,50,"20,907","5,388","1,671",886,"2,440","1,376","1,741",682,690,900,"1,273","2,970",890
2020,11,60,"22,636","4,401","1,747","1,204","2,679","1,630","2,029",949,967,"1,155","1,672","3,022","1,181"
2020,11,70,"13,055","2,427",919,705,"1,606",880,"1,025",563,604,704,999,"1,903",720
2020,11,80,"6,231","1,169",407,228,677,361,407,304,381,436,583,933,345
2020,11,90,"1,006",158,57,50,109,57,79,40,44,82,110,177,43
2020,11,100,67,16,4,1,10,4,5,0,6,8,3,8,2
2020,12,총,"118,810","30,635","10,450","4,719","13,600","7,920","9,671","3,853","3,752","4,608","6,838","17,667","5,097"
2020,12,0,"7,298","2,190",950,179,737,483,635,128,117,143,226,"1,274",236
2020,12,10,"9,708","3,313",946,240,"1,032",548,825,215,152,197,396,"1,536",308
2020,12,20,"10,597","3,532",828,332,"1,238",741,604,250,232,281,482,"1,679",398
2020,12,30,"10,775","3,186","1,224",370,"1,213",764,815,282,202,295,413,"1,649",362
2020,12,40,"16,312","4,825","1,679",507,"1,818","1,051","1,493",433,356,395,685,"2,478",592
2020,12,50,"20,910","5,386","1,671",881,"2,451","1,381","1,732",682,686,909,"1,273","2,966",892
2020,12,60,"22,804","4,445","1,755","1,219","2,704","1,642","2,042",949,967,"1,156","1,672","3,059","1,194"
2020,12,70,"13,062","2,416",927,708,"1,606",879,"1,032",562,609,706,995,"1,901",721
2020,12,80,"6,268","1,168",410,234,679,369,409,310,381,439,582,942,345
2020,12,90,"1,012",160,57,48,112,58,79,42,45,79,111,174,47
2020,12,100,64,14,3,1,10,4,5,0,5,8,3,9,2
2021,1,총,"119,022","30,713","10,473","4,753","13,599","7,951","9,680","3,902","3,750","4,598","6,857","17,638","5,108"
2021,1,0,"7,263","2,174",942,182,742,479,625,129,113,141,228,"1,276",232
2021,1,10,"9,727","3,325",944,239,"1,033",560,838,230,156,196,385,"1,506",315
2021,1,20,"10,568","3,538",839,339,"1,220",734,605,255,229,277,477,"1,658",397
2021,1,30,"10,782","3,194","1,217",376,"1,207",756,820,286,198,292,421,"1,649",366
2021,1,40,"16,304","4,832","1,687",499,"1,822","1,058","1,480",438,352,387,683,"2,472",594
2021,1,50,"20,819","5,378","1,653",885,"2,417","1,393","1,722",681,678,908,"1,271","2,946",887
2021,1,60,"23,009","4,479","1,777","1,236","2,727","1,648","2,057",959,979,"1,162","1,696","3,085","1,204"
2021,1,70,"13,150","2,438",944,711,"1,622",882,"1,037",571,611,709,999,"1,904",722
2021,1,80,"6,318","1,174",408,236,689,379,412,311,381,439,584,962,343
2021,1,90,"1,016",165,59,49,109,58,79,42,48,79,110,172,46
2021,1,100,66,16,3,1,11,4,5,0,5,8,3,8,2
2021,2,총,"119,371","30,811","10,457","4,774","13,621","7,981","9,752","3,874","3,764","4,606","6,876","17,680","5,175"
2021,2,0,"7,243","2,193",917,179,732,477,626,125,114,142,229,"1,270",239
2021,2,10,"9,725","3,305",937,239,"1,033",568,851,226,157,193,383,"1,501",332
2021,2,20,"10,578","3,554",846,347,"1,213",730,603,248,230,279,478,"1,648",402
2021,2,30,"10,811","3,204","1,190",368,"1,215",766,834,284,193,299,419,"1,667",372
2021,2,40,"16,346","4,837","1,695",511,"1,814","1,067","1,492",433,357,379,684,"2,475",602
2021,2,50,"20,816","5,389","1,648",882,"2,424","1,388","1,720",673,675,906,"1,273","2,948",890
2021,2,60,"23,228","4,522","1,797","1,250","2,745","1,664","2,082",965,992,"1,167","1,708","3,117","1,219"
2021,2,70,"13,153","2,442",950,707,"1,627",873,"1,043",564,613,709,"1,001","1,901",723
2021,2,80,"6,389","1,185",416,241,697,388,417,313,380,442,591,971,348
2021,2,90,"1,013",164,58,49,110,56,78,43,47,82,106,174,46
2021,2,100,69,16,3,1,11,4,6,0,6,8,4,8,2
2021,3,총,"119,260","30,731","10,478","4,773","13,633","7,990","9,746","3,861","3,759","4,584","6,819","17,717","5,169"
2021,3,0,"7,235","2,189",925,174,730,474,624,127,110,138,225,"1,287",232
2021,3,10,"9,689","3,271",946,241,"1,042",559,849,225,158,192,375,"1,499",332
