년도,월,나이,무안군,무안읍,일로읍,삼향읍,삼향읍남악출장소,몽탄면,청계면,현경면,망운면,해제면,운남면
2020,5,총,"81,565","10,793","6,606","5,645","34,061","3,133","6,425","4,742","2,056","5,093","3,011"
2020,5,0,"7,120",757,276,200,"5,193",49,230,123,67,134,91
2020,5,10,"8,806","1,149",408,315,"5,543",154,457,219,97,282,182
2020,5,20,"8,261","1,316",548,526,"3,794",244,692,332,166,385,258
2020,5,30,"9,306","1,022",419,365,"6,069",153,460,258,132,251,177
2020,5,40,"12,726","1,545",761,625,"7,319",274,727,456,207,523,289
2020,5,50,"12,446","1,875","1,198","1,182","3,682",592,"1,150",913,369,892,593
2020,5,60,"10,409","1,538","1,249","1,130","1,538",590,"1,222",995,478,"1,037",632
2020,5,70,"7,766","1,053","1,066",802,628,587,892,898,360,976,504
2020,5,80,"4,120",486,602,423,255,435,506,475,145,539,254
2020,5,90,569,52,77,71,38,53,73,72,33,72,28
2020,5,100,36,0,2,6,2,2,16,1,2,2,3
2020,6,총,"81,620","10,768","6,582","5,627","34,210","3,135","6,420","4,744","2,042","5,076","3,016"
2020,6,0,"7,080",757,278,188,"5,178",48,223,119,62,136,91
2020,6,10,"8,796","1,132",400,320,"5,561",154,455,221,93,278,182
2020,6,20,"8,299","1,318",546,515,"3,846",239,702,331,165,377,260
2020,6,30,"9,311","1,023",417,365,"6,084",151,455,259,130,252,175
2020,6,40,"12,695","1,538",747,619,"7,334",272,720,454,202,521,288
2020,6,50,"12,425","1,863","1,194","1,172","3,708",594,"1,144",907,363,881,599
2020,6,60,"10,478","1,556","1,246","1,138","1,556",597,"1,231",997,486,"1,038",633
2020,6,70,"7,791","1,050","1,073",804,642,590,888,905,359,978,502
2020,6,80,"4,138",480,601,429,261,436,513,477,145,541,255
2020,6,90,571,51,78,71,38,53,73,73,34,72,28
2020,6,100,36,0,2,6,2,1,16,1,3,2,3
2020,7,총,"81,522","10,727","6,567","5,621","34,199","3,127","6,413","4,737","2,036","5,080","3,015"
2020,7,0,"7,004",754,274,183,"5,125",47,214,120,60,135,92
2020,7,10,"8,790","1,128",399,324,"5,560",151,458,217,92,280,181
2020,7,20,"8,290","1,300",543,515,"3,860",240,708,331,160,375,258
2020,7,30,"9,256","1,007",407,364,"6,069",148,458,257,131,249,166
2020,7,40,"12,688","1,538",753,616,"7,343",271,709,446,203,519,290
2020,7,50,"12,447","1,859","1,177","1,169","3,743",599,"1,149",912,361,881,597
2020,7,60,"10,482","1,549","1,249","1,138","1,559",590,"1,230",998,485,"1,046",638
2020,7,70,"7,815","1,057","1,077",808,644,592,886,905,361,980,505
2020,7,80,"4,139",483,603,427,260,435,512,476,146,540,257
2020,7,90,575,52,83,71,34,53,73,74,34,73,28
2020,7,100,36,0,2,6,2,1,16,1,3,2,3
2020,8,총,"83,006","10,663","8,816","5,616","33,545","3,128","6,409","4,744","2,037","5,047","3,001"
2020,8,0,"7,329",739,816,183,"4,931",45,212,122,60,128,93
2020,8,10,"8,968","1,117",704,318,"5,456",151,452,221,92,278,179
2020,8,20,"8,407","1,295",681,510,"3,867",238,707,329,159,372,249
2020,8,30,"9,567",987,980,364,"5,841",144,455,260,132,240,164
2020,8,40,"13,002","1,535","1,186",608,"7,236",273,712,445,204,511,292
2020,8,50,"12,574","1,844","1,335","1,171","3,724",601,"1,154",914,359,879,593
2020,8,60,"10,562","1,551","1,323","1,139","1,551",598,"1,231",998,482,"1,047",642
2020,8,70,"7,838","1,061","1,106",816,636,591,879,902,364,979,504
2020,8,80,"4,142",483,598,429,265,432,516,477,146,541,255
2020,8,90,581,51,85,72,36,54,75,75,36,70,27
2020,8,100,36,0,2,6,2,1,16,1,3,2,3
2020,9,총,"84,433","10,659","10,662","5,603","33,194","3,114","6,416","4,737","2,033","5,031","2,984"
2020,9,0,"7,583",726,"1,269",184,"4,755",46,206,120,60,128,89
2020,9,10,"9,101","1,127",892,318,"5,401",147,455,220,89,273,179
2020,9,20,"8,575","1,301",827,506,"3,906",231,708,326,158,370,242
2020,9,30,"9,904",972,"1,474",357,"5,705",150,456,256,133,238,163
2020,9,40,"13,258","1,532","1,527",603,"7,163",266,715,449,208,508,287
2020,9,50,"12,688","1,846","1,464","1,166","3,745",600,"1,150",907,352,868,590
2020,9,60,"10,651","1,551","1,387","1,148","1,573",595,"1,231",997,482,"1,045",642
2020,9,70,"7,885","1,066","1,120",816,646,587,885,907,364,985,509
2020,9,80,"4,159",484,610,426,263,435,515,478,148,545,255
2020,9,90,593,54,90,73,35,56,79,76,36,69,25
2020,9,100,36,0,2,6,2,1,16,1,3,2,3
2020,10,총,"84,944","10,668","11,483","5,595","32,929","3,100","6,388","4,727","2,031","5,029","2,994"
2020,10,0,"7,626",723,"1,445",176,"4,636",43,204,118,63,129,89
2020,10,10,"9,160","1,126","1,031",317,"5,345",145,443,218,88,268,179
2020,10,20,"8,678","1,306",894,506,"3,923",231,709,328,159,375,247
2020,10,30,"9,968",958,"1,666",352,"5,609",146,455,253,133,236,160
2020,10,40,"13,323","1,538","1,653",604,"7,127",261,709,441,205,500,285
2020,10,50,"12,739","1,847","1,532","1,160","3,747",594,"1,144",904,352,868,591
2020,10,60,"10,745","1,564","1,417","1,163","1,594",603,"1,226","1,005",480,"1,046",647
2020,10,70,"7,890","1,064","1,129",813,647,585,890,908,364,979,511
2020,10,80,"4,182",487,624,426,264,434,512,472,148,558,257
2020,10,90,596,55,90,72,35,56,80,79,36,68,25
2020,10,100,37,0,2,6,2,2,16,1,3,2,3
2020,11,총,"85,245","10,644","12,095","5,559","32,718","3,112","6,366","4,709","2,027","5,031","2,984"
2020,11,0,"7,662",711,"1,626",170,"4,514",46,200,119,62,132,82
2020,11,10,"9,192","1,121","1,103",317,"5,316",146,440,219,87,263,180
2020,11,20,"8,732","1,303",921,500,"3,968",232,707,323,157,374,247
2020,11,30,"10,033",941,"1,842",336,"5,537",148,447,258,132,233,159
2020,11,40,"13,351","1,534","1,759",600,"7,066",266,706,432,206,501,281
2020,11,50,"12,784","1,861","1,556","1,155","3,777",590,"1,149",897,348,860,591
2020,11,60,"10,764","1,563","1,444","1,167","1,594",597,"1,218","1,002",483,"1,052",644
2020,11,70,"7,906","1,068","1,130",810,644,596,889,906,362,991,510
2020,11,80,"4,172",484,620,425,264,433,514,473,150,547,262
2020,11,90,613,58,93,73,36,56,80,79,37,76,25
2020,11,100,36,0,1,6,2,2,16,1,3,2,3
2020,12,총,"86,132","10,646","12,902","5,542","32,829","3,120","6,367","4,701","2,017","5,017","2,991"
2020,12,0,"7,795",712,"1,828",168,"4,452",44,200,119,62,129,81
2020,12,10,"9,241","1,113","1,170",312,"5,311",148,441,217,86,262,181
2020,12,20,"8,828","1,302",973,498,"4,021",232,709,326,155,368,244
2020,12,30,"10,269",934,"2,074",334,"5,543",147,447,258,135,234,163
2020,12,40,"13,519","1,533","1,919",596,"7,100",266,698,422,208,498,279
2020,12,50,"12,872","1,874","1,602","1,150","3,813",594,"1,148",894,344,860,593
2020,12,60,"10,845","1,560","1,478","1,169","1,634",599,"1,225","1,004",475,"1,054",647
2020,12,70,"7,913","1,067","1,140",806,653,594,887,910,359,984,513
2020,12,80,"4,196",491,624,429,263,437,514,472,153,551,262
2020,12,90,620,60,93,75,37,58,82,78,37,75,25
2020,12,100,34,0,1,5,2,1,16,1,3,2,3
2021,1,총,"86,940","10,622","13,690","5,532","32,932","3,144","6,335","4,698","2,012","4,987","2,988"
2021,1,0,"7,888",703,"2,015",167,"4,371",49,198,117,63,124,81
2021,1,10,"9,295","1,104","1,290",306,"5,288",149,428,211,86,257,176
2021,1,20,"8,902","1,283","1,012",500,"4,097",236,699,320,149,363,243
2021,1,30,"10,414",933,"2,240",335,"5,507",145,450,267,135,236,166
2021,1,40,"13,745","1,522","2,111",591,"7,166",272,693,415,208,490,277
2021,1,50,"12,940","1,872","1,647","1,144","3,871",595,"1,136",888,340,853,594
2021,1,60,"10,943","1,579","1,501","1,183","1,654",606,"1,223","1,008",480,"1,059",650
2021,1,70,"7,916","1,070","1,148",795,677,594,885,909,356,973,509
2021,1,80,"4,233",494,631,432,261,439,521,482,155,556,262
2021,1,90,629,62,93,74,39,58,86,79,37,74,27
2021,1,100,35,0,2,5,1,1,16,2,3,2,3
2021,2,총,"87,570","10,585","14,617","5,536","32,715","3,133","6,333","4,694","2,007","4,984","2,966"
2021,2,0,"7,981",694,"2,252",163,"4,246",48,197,116,63,123,79
2021,2,10,"9,389","1,091","1,460",310,"5,245",143,422,206,85,256,171
2021,2,20,"8,962","1,278","1,054",500,"4,115",238,710,331,142,355,239
2021,2,30,"10,530",926,"2,443",335,"5,437",146,440,269,133,237,164
2021,2,40,"13,900","1,517","2,311",596,"7,123",273,698,413,203,493,273
2021,2,50,"12,961","1,863","1,678","1,140","3,892",590,"1,135",885,346,844,588
2021,2,60,"11,012","1,588","1,534","1,187","1,680",608,"1,220","1,005",478,"1,062",650
2021,2,70,"7,893","1,065","1,146",794,673,584,884,902,359,978,508
2021,2,80,"4,275",500,642,431,265,445,524,488,156,560,264
2021,2,90,632,63,95,75,38,57,87,77,39,74,27
2021,2,100,35,0,2,5,1,1,16,2,3,2,3
2021,3,총,"87,870","10,665","15,040","5,477","32,788","3,101","6,301","4,648","1,979","4,933","2,938"
2021,3,0,"8,046",712,"2,348",162,"4,220",46,195,111,57,117,78
2021,3,10,"9,383","1,109","1,520",304,"5,206",134,414,195,86,249,166
2021,3,20,"9,039","1,282","1,072",503,"4,177",234,714,332,139,351,235
2021,3,30,"10,651",938,"2,576",328,"5,451",154,427,266,119,232,160
2021,3,40,"13,938","1,535","2,387",581,"7,135",255,682,397,209,487,270
2021,3,50,"12,952","1,872","1,708","1,128","3,910",593,"1,125",874,337,827,578
2021,3,60,"11,098","1,595","1,541","1,194","1,710",610,"1,235","1,017",476,"1,064",656
2021,3,70,"7,839","1,058","1,154",778,677,577,886,886,354,965,504
2021,3,80,"4,283",506,643,425,264,438,527,491,159,566,264
2021,3,90,617,58,89,71,37,59,86,78,40,73,26
2021,3,100,24,0,2,3,1,1,10,1,3,2,1
2021,4,총,"88,075","10,629","15,245","5,461","32,835","3,110","6,313","4,644","1,985","4,909","2,944"
2021,4,0,"8,019",706,"2,373",161,"4,178",50,192,110,59,113,77
2021,4,10,"9,400","1,108","1,558",303,"5,200",127,411,199,85,245,164
2021,4,20,"9,062","1,267","1,080",501,"4,213",235,713,331,140,348,234
2021,4,30,"10,689",938,"2,615",325,"5,454",153,439,260,122,222,161
2021,4,40,"13,988","1,521","2,435",575,"7,163",254,686,400,209,478,267
2021,4,50,"12,967","1,867","1,727","1,125","3,932",599,"1,116",867,330,825,579
2021,4,60,"11,176","1,589","1,565","1,203","1,706",617,"1,250","1,028",477,"1,073",668
2021,4,70,"7,827","1,065","1,150",769,687,575,881,877,359,966,498
2021,4,80,"4,304",511,648,425,262,439,528,497,161,564,269
2021,4,90,619,57,92,71,39,60,87,74,40,73,26
2021,4,100,24,0,2,3,1,1,10,1,3,2,1
2021,5,총,"88,339","10,638","15,415","5,443","32,983","3,106","6,297","4,629","1,981","4,916","2,931"
2021,5,0,"8,017",705,"2,386",157,"4,182",48,185,110,58,114,72
2021,5,10,"9,414","1,105","1,589",300,"5,193",125,410,199,87,242,164
2021,5,20,"9,136","1,278","1,097",505,"4,273",234,713,321,139,345,231
2021,5,30,"10,664",937,"2,617",324,"5,442",153,432,255,120,228,156
2021,5,40,"14,025","1,517","2,487",565,"7,189",252,679,396,207,469,264
2021,5,50,"13,016","1,861","1,747","1,120","3,986",596,"1,105",866,329,826,580
2021,5,60,"11,230","1,598","1,584","1,208","1,722",616,"1,253","1,027",475,"1,080",667
2021,5,70,"7,850","1,066","1,156",770,695,577,892,875,361,959,499
2021,5,80,"4,342",514,657,414,263,445,531,506,163,579,270
2021,5,90,620,57,93,77,37,58,87,73,39,72,27
2021,5,100,25,0,2,3,1,2,10,1,3,2,1
2021,6,총,"88,660","10,782","15,500","5,431","33,174","3,100","6,285","4,602","1,961","4,904","2,921"
2021,6,0,"8,036",719,"2,388",157,"4,191",47,184,106,55,115,74
2021,6,10,"9,429","1,117","1,603",298,"5,199",125,404,199,85,235,164
2021,6,20,"9,178","1,283","1,103",496,"4,328",232,716,318,136,341,225
2021,6,30,"10,738",968,"2,637",325,"5,474",150,436,250,117,228,153
2021,6,40,"14,065","1,527","2,509",568,"7,210",257,671,394,203,467,259
2021,6,50,"13,031","1,879","1,753","1,105","4,022",588,"1,098",854,329,824,579
2021,6,60,"11,322","1,628","1,592","1,220","1,745",625,"1,254","1,030",474,"1,087",667
2021,6,70,"7,849","1,080","1,165",764,698,570,895,868,356,950,503
2021,6,80,"4,372",524,655,420,268,446,531,511,164,584,269
2021,6,90,615,57,93,75,38,58,86,71,39,71,27
2021,6,100,25,0,2,3,1,2,10,1,3,2,1
2021,7,총,"89,184","10,883","15,653","5,415","33,555","3,110","6,273","4,566","1,943","4,884","2,902"
2021,7,0,"8,093",726,"2,408",158,"4,229",48,184,104,50,115,71
2021,7,10,"9,467","1,116","1,622",294,"5,248",124,396,189,85,228,165
2021,7,20,"9,272","1,310","1,105",491,"4,404",235,716,316,130,344,221
2021,7,30,"10,822",982,"2,678",319,"5,542",149,418,242,118,225,149
2021,7,40,"14,135","1,542","2,548",568,"7,248",258,668,388,195,462,258
2021,7,50,"13,142","1,898","1,780","1,099","4,104",589,"1,100",846,330,821,575
2021,7,60,"11,381","1,640","1,600","1,223","1,769",628,"1,265","1,034",469,"1,087",666
2021,7,70,"7,840","1,093","1,156",765,702,572,894,865,358,938,497
2021,7,80,"4,396",519,665,421,268,448,533,514,166,591,271
2021,7,90,610,57,89,74,40,57,89,67,38,71,28
2021,7,100,26,0,2,3,1,2,10,1,4,2,1
2021,8,총,"89,675","10,913","15,876","5,411","33,830","3,111","6,272","4,561","1,933","4,871","2,897"
2021,8,0,"8,143",734,"2,445",157,"4,243",47,187,100,48,112,70
2021,8,10,"9,530","1,109","1,644",296,"5,301",125,396,188,85,220,166
2021,8,20,"9,309","1,324","1,117",487,"4,416",238,717,317,132,342,219
2021,8,30,"10,925",978,"2,726",316,"5,612",150,413,239,115,227,149
2021,8,40,"14,234","1,546","2,604",566,"7,297",257,668,388,195,455,258
2021,8,50,"13,198","1,905","1,797","1,094","4,148",587,"1,097",850,328,822,570
2021,8,60,"11,430","1,642","1,617","1,222","1,791",632,"1,269","1,033",466,"1,093",665
2021,8,70,"7,844","1,093","1,162",765,711,565,892,860,359,937,500
2021,8,80,"4,422",526,671,428,271,449,535,517,165,590,270
2021,8,90,614,56,91,77,39,59,88,68,37,70,29
2021,8,100,26,0,2,3,1,2,10,1,3,3,1
2021,9,총,"90,086","10,922","16,114","5,392","34,090","3,094","6,280","4,539","1,928","4,846","2,881"
2021,9,0,"8,175",733,"2,464",158,"4,258",44,189,99,49,111,70
2021,9,10,"9,562","1,104","1,669",294,"5,321",126,395,182,85,218,168
2021,9,20,"9,349","1,326","1,128",487,"4,469",234,716,311,128,336,214
2021,9,30,"10,999",969,"2,772",312,"5,671",148,409,233,118,226,141
2021,9,40,"14,275","1,549","2,657",560,"7,316",255,667,375,189,450,257
2021,9,50,"13,334","1,921","1,847","1,087","4,220",578,"1,104",858,328,821,570
2021,9,60,"11,480","1,645","1,647","1,226","1,806",637,"1,269","1,030",473,"1,086",661
2021,9,70,"7,840","1,088","1,158",769,716,562,893,864,353,936,501
2021,9,80,"4,436",531,675,426,275,446,541,518,165,590,269
2021,9,90,609,56,94,70,37,62,87,68,37,69,29
2021,9,100,27,0,3,3,1,2,10,1,3,3,1
2021,10,총,"90,488","10,947","16,285","5,390","34,309","3,098","6,278","4,539","1,924","4,834","2,884"
2021,10,0,"8,181",734,"2,484",161,"4,242",46,190,98,49,108,69
2021,10,10,"9,628","1,108","1,699",288,"5,365",126,397,178,84,214,169
2021,10,20,"9,417","1,313","1,153",488,"4,539",238,707,309,126,332,212
2021,10,30,"11,076",983,"2,788",315,"5,714",150,407,241,116,222,140
2021,10,40,"14,315","1,554","2,698",559,"7,325",251,672,377,179,444,256
2021,10,50,"13,411","1,921","1,875","1,081","4,260",581,"1,115",850,336,818,574
2021,10,60,"11,506","1,652","1,650","1,225","1,827",634,"1,268","1,025",471,"1,090",664
2021,10,70,"7,872","1,093","1,169",773,720,560,891,873,354,940,499
2021,10,80,"4,443",534,671,427,278,447,534,520,168,593,271
2021,10,90,614,55,95,70,38,65,87,67,38,70,29
2021,10,100,25,0,3,3,1,0,10,1,3,3,1
2021,11,총,"90,973","10,930","16,391","5,410","34,661","3,098","6,290","4,533","1,925","4,842","2,893"
2021,11,0,"8,195",731,"2,500",157,"4,261",46,183,93,48,110,66
2021,11,10,"9,676","1,107","1,708",289,"5,397",130,400,181,84,213,167
2021,11,20,"9,497","1,316","1,162",490,"4,618",234,702,303,127,334,211
2021,11,30,"11,155",973,"2,786",323,"5,790",148,412,244,117,220,142
2021,11,40,"14,446","1,546","2,748",571,"7,402",253,673,368,180,448,257
2021,11,50,"13,483","1,936","1,886","1,079","4,312",578,"1,115",851,333,815,578
2021,11,60,"11,538","1,642","1,662","1,231","1,831",635,"1,274","1,031",472,"1,092",668
2021,11,70,"7,901","1,092","1,171",770,734,564,896,867,355,951,501
2021,11,80,"4,453",532,669,431,279,446,540,528,168,587,273
2021,11,90,606,54,96,66,37,64,86,67,38,69,29
2021,11,100,23,1,3,3,0,0,9,0,3,3,1
2021,12,총,"91,107","10,946","16,432","5,442","34,777","3,088","6,291","4,512","1,920","4,826","2,873"
2021,12,0,"8,171",729,"2,507",156,"4,241",45,182,91,47,111,62
2021,12,10,"9,699","1,120","1,706",291,"5,424",129,397,174,85,208,165
2021,12,20,"9,488","1,304","1,161",495,"4,624",232,709,301,121,332,209
2021,12,30,"11,153",969,"2,775",331,"5,799",147,412,243,115,220,142
2021,12,40,"14,514","1,549","2,778",570,"7,453",253,674,358,179,445,255
2021,12,50,"13,513","1,936","1,903","1,082","4,323",582,"1,114",850,338,813,572
2021,12,60,"11,561","1,650","1,665","1,231","1,847",633,"1,273","1,034",470,"1,092",666
2021,12,70,"7,899","1,094","1,170",779,748,560,896,861,348,947,496
2021,12,80,"4,481",539,665,437,279,445,543,532,177,588,276
2021,12,90,610,55,99,67,39,62,87,68,37,67,29
2021,12,100,18,1,3,3,0,0,4,0,3,3,1
