년도,월,나이,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020,7,10,982,428,23,19,40,373,17,30,52
2020,7,20,"1,080",415,41,58,90,317,50,25,84
2020,7,30,"1,065",408,24,45,66,373,43,21,85
2020,7,40,"1,730",758,49,57,88,573,49,48,108
2020,7,50,"2,622",829,121,162,235,732,157,117,269
2020,7,60,"2,936",846,156,211,255,699,217,175,377
2020,7,70,"2,300",623,145,197,196,466,180,163,330
2020,7,80,"1,760",396,142,155,161,278,157,167,304
2020,7,90,233,53,14,20,23,32,24,16,51
2020,7,100,3,0,1,0,1,0,0,0,1
2020,8,총,"15,367","5,033",726,941,"1,186","4,083",909,769,"1,720"
2020,8,0,714,292,15,24,36,255,19,15,58
2020,8,10,976,426,23,21,40,372,16,28,50
2020,8,20,"1,059",408,40,55,90,313,48,23,82
2020,8,30,"1,055",405,23,45,64,368,43,22,85
2020,8,40,"1,719",758,47,55,89,572,46,46,106
2020,8,50,"2,601",820,122,158,234,722,156,115,274
2020,8,60,"2,940",847,155,212,254,707,216,176,373
2020,8,70,"2,298",630,144,194,196,462,183,162,327
2020,8,80,"1,760",390,141,156,159,280,158,166,310
2020,8,90,240,56,15,21,23,32,24,16,53
2020,8,100,5,1,1,0,1,0,0,0,2
2020,9,총,"15,344","5,011",727,942,"1,185","4,083",912,767,"1,717"
2020,9,0,705,284,17,24,37,251,19,15,58
2020,9,10,973,425,24,21,40,371,15,27,50
2020,9,20,"1,055",408,42,56,89,308,49,22,81
2020,9,30,"1,044",396,22,44,64,369,44,23,82
2020,9,40,"1,712",757,46,54,87,567,48,46,107
2020,9,50,"2,602",818,124,157,230,729,158,115,271
2020,9,60,"2,944",847,152,213,260,712,209,175,376
2020,9,70,"2,292",629,144,195,194,460,184,162,324
2020,9,80,"1,773",390,140,156,160,285,162,167,313
2020,9,90,239,56,15,22,23,31,24,15,53
2020,9,100,5,1,1,0,1,0,0,0,2
2020,10,총,"15,322","5,013",727,948,"1,178","4,072",903,770,"1,711"
2020,10,0,699,280,17,25,37,250,18,15,57
2020,10,10,962,420,23,22,40,364,16,27,50
2020,10,20,"1,061",415,40,57,82,314,49,22,82
2020,10,30,"1,033",394,23,44,62,361,44,24,81
2020,10,40,"1,708",759,46,56,86,564,47,46,104
2020,10,50,"2,586",819,123,158,230,722,154,114,266
2020,10,60,"2,960",848,153,213,259,722,206,178,381
2020,10,70,"2,292",624,146,194,199,460,185,161,323
2020,10,80,"1,779",398,139,157,159,284,160,168,314
2020,10,90,237,55,16,22,23,31,24,15,51
2020,10,100,5,1,1,0,1,0,0,0,2
2020,11,총,"15,302","5,020",726,944,"1,175","4,053",909,770,"1,705"
2020,11,0,693,281,16,24,37,247,19,14,55
2020,11,10,957,420,23,22,40,361,15,27,49
2020,11,20,"1,059",408,40,55,82,315,54,22,83
2020,11,30,"1,021",397,24,44,62,352,43,24,75
2020,11,40,"1,695",754,46,56,82,560,46,49,102
2020,11,50,"2,591",820,123,157,234,722,155,115,265
2020,11,60,"2,966",850,151,213,260,725,204,178,385
2020,11,70,"2,296",634,145,193,197,459,186,160,322
2020,11,80,"1,784",398,141,159,158,283,162,167,316
2020,11,90,234,56,16,21,22,29,25,14,51
2020,11,100,6,2,1,0,1,0,0,0,2
2020,12,총,"15,287","5,009",725,943,"1,171","4,057",907,769,"1,706"
2020,12,0,690,279,16,26,37,244,19,15,54
2020,12,10,950,422,22,22,39,357,14,27,47
2020,12,20,"1,063",406,42,54,81,323,52,21,84
2020,12,30,"1,021",397,23,47,61,349,42,25,77
2020,12,40,"1,674",740,44,56,81,561,47,48,97
2020,12,50,"2,579",827,122,156,235,707,152,114,266
2020,12,60,"2,982",849,154,213,258,733,209,178,388
2020,12,70,"2,288",630,144,189,197,467,184,159,318
2020,12,80,"1,795",400,140,159,158,287,164,165,322
2020,12,90,239,57,17,21,23,29,24,17,51
2020,12,100,6,2,1,0,1,0,0,0,2
2021,1,총,"15,266","5,005",719,937,"1,173","4,053",903,775,"1,701"
2021,1,0,675,278,16,26,36,233,18,16,52
2021,1,10,949,416,20,23,42,361,13,28,46
2021,1,20,"1,052",402,40,53,82,324,50,21,80
2021,1,30,"1,020",401,24,46,58,346,45,26,74
2021,1,40,"1,662",729,44,55,83,560,44,50,97
2021,1,50,"2,597",840,118,155,238,708,155,115,268
2021,1,60,"2,980",849,157,207,257,737,207,175,391
2021,1,70,"2,282",626,144,191,197,464,182,158,320
2021,1,80,"1,801",407,140,158,156,290,164,167,319
2021,1,90,242,55,15,23,23,30,25,19,52
2021,1,100,6,2,1,0,1,0,0,0,2
2021,2,총,"15,232","4,996",726,925,"1,170","4,055",898,769,"1,693"
2021,2,0,676,278,18,27,37,231,19,14,52
2021,2,10,944,413,20,22,40,362,13,28,46
2021,2,20,"1,052",401,42,51,83,326,50,23,76
2021,2,30,"1,000",393,25,42,56,341,44,24,75
2021,2,40,"1,657",729,43,54,80,561,45,49,96
2021,2,50,"2,561",835,114,152,230,709,150,115,256
2021,2,60,"3,003",854,162,207,266,740,206,171,397
2021,2,70,"2,288",627,142,191,196,467,182,162,321
2021,2,80,"1,797",408,143,156,156,286,164,165,319
2021,2,90,248,56,16,23,25,32,25,18,53
2021,2,100,6,2,1,0,1,0,0,0,2
2021,3,총,"15,174","4,974",722,920,"1,164","4,043",895,766,"1,690"
2021,3,0,669,273,18,27,37,230,18,13,53
2021,3,10,933,409,19,21,36,363,13,27,45
2021,3,20,"1,027",392,39,50,82,321,49,21,73
2021,3,30,997,389,27,43,58,336,44,24,76
2021,3,40,"1,648",725,43,52,79,559,48,47,95
2021,3,50,"2,546",836,112,148,228,706,147,116,253
2021,3,60,"3,022",862,163,210,264,740,212,171,400
2021,3,70,"2,290",627,139,189,198,469,180,164,324
2021,3,80,"1,791",407,145,158,156,284,157,165,319
2021,3,90,246,52,16,22,26,35,27,18,50
2021,3,100,5,2,1,0,0,0,0,0,2
2021,4,총,"15,155","4,963",719,918,"1,162","4,042",890,764,"1,697"
2021,4,0,668,273,18,26,36,229,17,15,54
2021,4,10,927,408,18,21,36,357,13,28,46
2021,4,20,"1,019",387,39,46,81,323,50,19,74
2021,4,30,993,390,27,43,61,328,42,24,78
2021,4,40,"1,644",722,40,53,79,560,45,48,97
2021,4,50,"2,527",826,112,145,221,707,148,114,254
2021,4,60,"3,045",864,163,216,270,747,214,170,401
2021,4,70,"2,277",625,136,187,197,466,178,164,324
2021,4,80,"1,798",412,150,159,156,289,154,164,314
2021,4,90,252,54,15,22,25,36,29,18,53
2021,4,100,5,2,1,0,0,0,0,0,2
2021,5,총,"15,085","4,960",714,912,"1,156","4,024",883,755,"1,681"
2021,5,0,669,278,18,26,35,228,17,15,52
2021,5,10,921,405,18,21,36,353,13,28,47
2021,5,20,"1,018",389,38,46,81,325,47,18,74
2021,5,30,988,393,24,44,59,324,41,26,77
2021,5,40,"1,611",712,39,50,77,553,42,45,93
2021,5,50,"2,501",822,110,140,218,699,152,110,250
2021,5,60,"3,053",872,164,218,272,750,213,171,393
2021,5,70,"2,260",619,138,186,196,467,174,157,323
2021,5,80,"1,803",415,149,158,154,289,155,166,317
2021,5,90,256,53,15,23,28,36,29,19,53
2021,5,100,5,2,1,0,0,0,0,0,2
2021,6,총,"15,048","4,935",716,921,"1,143","4,024",881,749,"1,679"
2021,6,0,659,276,17,26,34,224,16,14,52
2021,6,10,916,397,20,22,35,354,14,27,47
2021,6,20,999,381,38,47,78,323,44,18,70
2021,6,30,987,388,25,47,61,323,42,24,77
2021,6,40,"1,594",703,40,51,75,544,41,45,95
2021,6,50,"2,499",821,109,141,212,706,151,109,250
2021,6,60,"3,062",879,164,219,267,754,212,170,397
2021,6,70,"2,260",617,137,183,197,469,177,159,321
2021,6,80,"1,811",418,150,163,154,289,156,166,315
2021,6,90,256,53,15,22,30,38,28,17,53
2021,6,100,5,2,1,0,0,0,0,0,2
2021,7,총,"15,004","4,915",713,914,"1,144","4,023",879,744,"1,672"
2021,7,0,655,274,17,26,35,223,16,13,51
2021,7,10,906,396,18,21,36,350,14,24,47
2021,7,20,992,375,37,46,76,324,44,20,70
2021,7,30,977,383,26,47,60,325,40,23,73
2021,7,40,"1,584",693,39,49,75,546,41,44,97
2021,7,50,"2,493",823,108,141,210,702,151,110,248
2021,7,60,"3,055",878,164,217,270,755,211,165,395
2021,7,70,"2,270",622,138,181,197,469,178,163,322
2021,7,80,"1,808",416,150,164,154,289,156,165,314
2021,7,90,259,53,15,22,31,40,28,17,53
2021,7,100,5,2,1,0,0,0,0,0,2
2021,8,총,"14,962","4,912",711,905,"1,144","4,010",879,743,"1,658"
2021,8,0,652,274,17,23,35,223,17,12,51
2021,8,10,899,392,18,20,35,350,14,24,46
2021,8,20,973,371,36,44,76,315,43,19,69
2021,8,30,968,382,25,43,61,324,40,24,69
2021,8,40,"1,581",695,39,49,76,542,42,43,95
2021,8,50,"2,472",820,107,140,207,697,150,107,244
2021,8,60,"3,059",879,165,218,272,757,210,164,394
2021,8,70,"2,290",630,138,181,199,473,180,169,320
2021,8,80,"1,804",414,148,165,154,290,155,164,314
2021,8,90,259,53,17,22,29,39,28,17,54
2021,8,100,5,2,1,0,0,0,0,0,2
2021,9,총,"14,921","4,899",710,904,"1,135","4,005",872,744,"1,652"
2021,9,0,641,272,15,21,34,222,17,12,48
2021,9,10,897,388,18,21,32,354,14,24,46
2021,9,20,954,366,36,44,73,309,38,21,67
2021,9,30,961,381,26,44,60,321,39,23,67
2021,9,40,"1,569",687,40,48,74,539,42,41,98
2021,9,50,"2,480",827,105,141,208,697,151,109,242
2021,9,60,"3,052",874,164,218,274,756,210,163,393
2021,9,70,"2,283",630,137,178,195,475,178,170,320
2021,9,80,"1,811",417,151,166,155,294,153,163,312
2021,9,90,268,55,17,23,30,38,30,18,57
2021,9,100,5,2,1,0,0,0,0,0,2
2021,10,총,"14,925","4,891",712,904,"1,142","4,010",868,746,"1,652"
2021,10,0,638,269,14,20,37,224,15,12,47
2021,10,10,880,384,19,21,31,345,12,24,44
2021,10,20,969,367,35,44,71,321,40,23,68
2021,10,30,950,376,29,43,61,314,38,23,66
2021,10,40,"1,565",681,38,49,77,540,44,39,97
2021,10,50,"2,487",836,105,138,209,701,147,108,243
2021,10,60,"3,078",880,169,220,277,759,214,164,395
2021,10,70,"2,270",626,134,178,195,471,175,172,319
2021,10,80,"1,815",417,153,168,153,296,152,164,312
2021,10,90,268,53,15,23,31,39,31,17,59
2021,10,100,5,2,1,0,0,0,0,0,2
2021,11,총,"14,911","4,896",710,896,"1,144","4,002",876,746,"1,641"
2021,11,0,637,270,15,19,36,221,16,13,47
2021,11,10,887,388,19,20,33,346,13,24,44
2021,11,20,962,365,34,44,69,321,42,23,64
2021,11,30,943,375,29,43,63,310,36,22,65
2021,11,40,"1,561",680,37,48,76,539,45,39,97
2021,11,50,"2,471",834,105,136,204,698,146,108,240
2021,11,60,"3,090",881,169,220,279,765,219,162,395
2021,11,70,"2,273",630,134,175,196,469,175,175,319
2021,11,80,"1,821",420,153,169,157,295,153,163,311
2021,11,90,262,51,14,22,31,38,31,17,58
2021,11,100,4,2,1,0,0,0,0,0,1
2021,12,총,"14,885","4,898",703,894,"1,143","3,987",876,749,"1,635"
2021,12,0,628,267,14,19,36,214,16,15,47
2021,12,10,890,390,19,20,34,347,13,24,43
2021,12,20,959,371,32,42,69,314,43,22,66
2021,12,30,939,370,30,45,65,310,33,23,63
2021,12,40,"1,551",673,33,48,79,536,45,39,98
2021,12,50,"2,469",845,106,133,199,700,143,106,237
2021,12,60,"3,092",874,170,222,279,760,222,166,399
2021,12,70,"2,269",638,130,171,193,474,176,173,314
2021,12,80,"1,822",416,154,174,158,294,155,162,309
2021,12,90,263,53,14,20,31,38,30,19,58
2021,12,100,3,1,1,0,0,0,0,0,1
