년도,월,나이,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021,2,40,"25,069","1,341","2,017","1,278","1,767",738,"2,086","4,104","1,444","2,421","1,850","2,721","1,216","1,205",881
2021,2,50,"30,922","1,815","2,461","1,637","1,890",895,"2,555","4,726","2,310","3,348","2,640","2,459","1,644","1,365","1,177"
2021,2,60,"20,856","1,726","1,381","1,199","1,308",647,"1,909","2,809","1,514","1,768","1,690","1,672","1,073","1,074","1,086"
2021,2,70,"7,950",770,607,480,516,290,690,881,541,625,529,702,342,409,568
2021,2,80,"2,002",210,139,150,138,73,195,167,158,178,118,162,72,94,148
2021,2,90,127,9,9,10,12,2,12,16,10,11,7,12,4,5,8
2021,2,100,8,1,0,2,1,0,1,0,0,0,0,0,0,3,0
2021,3,총,"162,292","9,603","12,592","8,305","10,706","4,692","13,792","25,351","10,501","16,425","13,320","15,147","8,486","7,386","5,986"
2021,3,0,"12,060",428,"1,017",650,924,236,823,"1,778",653,"1,071","1,077","1,700",772,608,323
2021,3,10,"15,904",571,"1,697",658,"1,200",316,"1,097","2,270",888,"1,791","1,736","1,704",981,658,337
2021,3,20,"25,108","1,438","1,824","1,150","1,540",790,"2,309","4,315","1,770","3,288","2,087","1,798","1,198",957,644
2021,3,30,"22,387","1,315","1,452","1,085","1,432",706,"2,120","4,259","1,215","1,930","1,583","2,223","1,182","1,034",851
2021,3,40,"24,935","1,333","2,003","1,280","1,753",734,"2,070","4,107","1,442","2,405","1,840","2,686","1,210","1,193",879
2021,3,50,"30,800","1,798","2,456","1,633","1,880",900,"2,536","4,723","2,280","3,333","2,626","2,463","1,635","1,357","1,180"
2021,3,60,"21,012","1,734","1,389","1,213","1,314",641,"1,928","2,818","1,544","1,788","1,719","1,691","1,082","1,079","1,072"
2021,3,70,"7,958",769,607,480,516,292,697,893,536,629,529,707,350,403,550
2021,3,80,"2,011",209,140,149,137,75,201,171,163,179,116,162,72,92,145
2021,3,90,116,8,7,7,10,2,11,17,10,11,7,13,4,4,5
2021,3,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,4,총,"162,114","9,518","12,579","8,337","10,713","4,714","13,797","25,363","10,466","16,428","13,313","15,119","8,450","7,370","5,947"
2021,4,0,"11,994",418,"1,017",647,929,237,821,"1,758",641,"1,077","1,081","1,675",771,599,323
2021,4,10,"15,805",566,"1,679",662,"1,193",314,"1,094","2,273",880,"1,771","1,720","1,698",968,654,333
2021,4,20,"25,076","1,426","1,817","1,144","1,538",791,"2,301","4,318","1,755","3,311","2,081","1,793","1,199",964,638
2021,4,30,"22,374","1,287","1,453","1,100","1,447",715,"2,135","4,264","1,218","1,907","1,595","2,202","1,171","1,038",842
2021,4,40,"24,926","1,330","1,990","1,284","1,754",736,"2,072","4,097","1,452","2,412","1,829","2,697","1,207","1,191",875
2021,4,50,"30,733","1,784","2,455","1,644","1,874",901,"2,533","4,725","2,263","3,320","2,625","2,467","1,626","1,345","1,171"
2021,4,60,"21,076","1,724","1,408","1,217","1,312",643,"1,935","2,832","1,547","1,805","1,724","1,696","1,084","1,079","1,070"
2021,4,70,"7,992",766,611,479,518,297,691,911,537,632,532,717,348,404,549
2021,4,80,"2,018",209,141,153,138,78,203,169,163,181,118,161,72,91,141
2021,4,90,119,8,8,7,10,2,12,16,10,12,8,13,4,4,5
2021,4,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,5,총,"161,841","9,463","12,525","8,317","10,661","4,709","13,780","25,361","10,469","16,396","13,329","15,095","8,443","7,384","5,909"
2021,5,0,"11,919",414,"1,014",637,931,237,818,"1,740",635,"1,060","1,081","1,668",769,590,325
2021,5,10,"15,758",570,"1,665",653,"1,185",316,"1,096","2,279",872,"1,765","1,714","1,706",957,653,327
2021,5,20,"24,984","1,406","1,818","1,140","1,522",782,"2,298","4,318","1,749","3,316","2,076","1,768","1,191",960,640
2021,5,30,"22,307","1,275","1,450","1,104","1,442",710,"2,120","4,231","1,222","1,912","1,608","2,186","1,171","1,044",832
2021,5,40,"24,833","1,321","1,969","1,273","1,738",742,"2,078","4,105","1,446","2,390","1,828","2,691","1,207","1,191",854
2021,5,50,"30,672","1,777","2,447","1,648","1,871",891,"2,516","4,736","2,264","3,308","2,610","2,473","1,616","1,352","1,163"
2021,5,60,"21,213","1,728","1,404","1,221","1,308",652,"1,949","2,845","1,564","1,824","1,750","1,704","1,098","1,090","1,076"
2021,5,70,"8,010",760,607,483,522,300,688,916,540,625,534,722,358,411,544
2021,5,80,"2,024",204,144,151,131,77,205,175,167,184,120,164,72,87,143
2021,5,90,120,8,7,7,11,2,12,16,10,12,8,13,4,5,5
2021,5,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,6,총,"161,614","9,403","12,494","8,320","10,648","4,716","13,753","25,360","10,469","16,395","13,309","15,085","8,452","7,392","5,818"
2021,6,0,"11,866",414,"1,012",633,934,236,817,"1,734",631,"1,055","1,077","1,658",768,575,322
2021,6,10,"15,699",571,"1,652",650,"1,182",317,"1,090","2,269",865,"1,748","1,708","1,708",955,664,320
2021,6,20,"24,898","1,391","1,799","1,136","1,526",772,"2,282","4,329","1,739","3,325","2,061","1,763","1,189",964,622
2021,6,30,"22,238","1,255","1,441","1,103","1,414",724,"2,116","4,217","1,232","1,912","1,598","2,190","1,169","1,037",830
2021,6,40,"24,780","1,315","1,970","1,277","1,744",745,"2,073","4,100","1,447","2,379","1,825","2,682","1,199","1,191",833
2021,6,50,"30,562","1,759","2,435","1,643","1,866",887,"2,500","4,715","2,249","3,304","2,622","2,469","1,618","1,360","1,135"
2021,6,60,"21,384","1,722","1,428","1,234","1,314",654,"1,973","2,879","1,586","1,846","1,750","1,712","1,114","1,099","1,073"
2021,6,70,"8,028",763,605,484,526,300,683,925,542,628,539,725,364,410,534
2021,6,80,"2,044",205,145,153,132,79,207,177,168,187,122,165,72,87,145
2021,6,90,114,8,7,7,10,2,12,15,10,11,7,13,4,4,4
2021,6,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,7,총,"161,343","9,368","12,495","8,337","10,616","4,730","13,762","25,365","10,436","16,350","13,294","15,069","8,449","7,384","5,688"
2021,7,0,"11,816",419,"1,007",633,912,239,819,"1,726",624,"1,057","1,074","1,660",765,561,320
2021,7,10,"15,632",567,"1,646",647,"1,176",313,"1,075","2,277",863,"1,743","1,695","1,708",953,661,308
2021,7,20,"24,835","1,384","1,799","1,146","1,521",769,"2,304","4,310","1,720","3,313","2,054","1,745","1,186",972,612
2021,7,30,"22,167","1,245","1,438","1,102","1,419",729,"2,126","4,225","1,230","1,893","1,591","2,168","1,167","1,027",807
2021,7,40,"24,703","1,309","1,971","1,268","1,731",756,"2,055","4,086","1,440","2,357","1,828","2,695","1,199","1,196",812
2021,7,50,"30,462","1,738","2,431","1,638","1,871",880,"2,497","4,713","2,233","3,297","2,625","2,468","1,611","1,352","1,108"
2021,7,60,"21,507","1,732","1,439","1,252","1,315",663,"1,982","2,903","1,603","1,862","1,752","1,714","1,127","1,112","1,051"
2021,7,70,"8,041",761,608,488,528,299,685,929,544,629,545,729,365,411,520
2021,7,80,"2,066",205,148,155,133,80,207,181,169,189,124,169,73,87,146
2021,7,90,113,8,8,8,10,2,12,15,10,10,6,13,3,4,4
2021,7,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,8,총,"160,976","9,335","12,451","8,342","10,631","4,739","13,739","25,365","10,426","16,317","13,277","15,003","8,429","7,371","5,551"
2021,8,0,"11,768",415,"1,004",635,905,234,811,"1,729",622,"1,046","1,076","1,657",762,555,317
2021,8,10,"15,576",566,"1,639",639,"1,170",318,"1,073","2,279",853,"1,733","1,688","1,707",953,656,302
2021,8,20,"24,704","1,363","1,788","1,145","1,535",777,"2,294","4,292","1,721","3,305","2,030","1,726","1,177",964,587
2021,8,30,"22,069","1,239","1,426","1,103","1,417",728,"2,116","4,220","1,223","1,895","1,593","2,147","1,159","1,020",783
2021,8,40,"24,625","1,309","1,965","1,262","1,734",759,"2,044","4,090","1,431","2,342","1,829","2,679","1,193","1,188",800
2021,8,50,"30,391","1,729","2,431","1,646","1,877",880,"2,491","4,701","2,229","3,283","2,617","2,446","1,616","1,364","1,081"
2021,8,60,"21,576","1,728","1,433","1,261","1,313",668,"2,001","2,921","1,620","1,885","1,758","1,729","1,122","1,114","1,023"
2021,8,70,"8,067",772,609,487,537,297,686,939,545,627,550,727,370,415,506
2021,8,80,"2,084",206,149,156,133,76,211,179,172,189,130,172,74,89,148
2021,8,90,115,8,7,8,10,2,12,15,10,12,6,13,3,5,4
2021,8,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,9,총,"160,693","9,298","12,422","8,338","10,608","4,732","13,724","25,406","10,403","16,323","13,277","14,967","8,412","7,350","5,433"
2021,9,0,"11,710",410,996,633,896,234,811,"1,734",619,"1,040","1,077","1,640",761,545,314
2021,9,10,"15,509",554,"1,645",634,"1,164",310,"1,080","2,271",843,"1,727","1,679","1,709",943,656,294
2021,9,20,"24,543","1,349","1,771","1,129","1,531",780,"2,261","4,308","1,697","3,301","2,022","1,717","1,162",947,568
2021,9,30,"22,028","1,239","1,423","1,095","1,433",720,"2,124","4,213","1,228","1,899","1,600","2,129","1,154","1,010",761
2021,9,40,"24,565","1,297","1,956","1,280","1,718",757,"2,028","4,102","1,425","2,320","1,821","2,681","1,200","1,190",790
2021,9,50,"30,404","1,731","2,435","1,637","1,873",879,"2,500","4,697","2,244","3,298","2,615","2,452","1,613","1,366","1,064"
2021,9,60,"21,619","1,728","1,435","1,270","1,309",673,"2,006","2,945","1,613","1,903","1,772","1,726","1,128","1,120",991
2021,9,70,"8,096",778,605,496,540,297,688,940,550,631,551,728,373,420,499
2021,9,80,"2,098",205,148,156,134,80,213,181,174,191,133,171,75,90,147
2021,9,90,120,7,8,8,10,2,13,15,10,13,7,14,3,5,5
2021,9,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,10,총,"160,481","9,263","12,409","8,359","10,612","4,728","13,711","25,433","10,416","16,327","13,264","14,934","8,386","7,357","5,282"
2021,10,0,"11,677",411,994,627,892,230,805,"1,729",618,"1,045","1,074","1,648",751,542,311
2021,10,10,"15,456",544,"1,634",647,"1,174",309,"1,073","2,268",827,"1,718","1,680","1,708",941,649,284
2021,10,20,"24,420","1,342","1,761","1,126","1,520",772,"2,252","4,289","1,697","3,285","2,028","1,691","1,149",957,551
2021,10,30,"21,964","1,232","1,412","1,098","1,423",725,"2,117","4,225","1,239","1,899","1,585","2,121","1,145","1,002",741
2021,10,40,"24,534","1,292","1,969","1,283","1,719",760,"2,040","4,098","1,421","2,312","1,816","2,666","1,200","1,192",766
2021,10,50,"30,384","1,719","2,429","1,638","1,874",879,"2,490","4,705","2,258","3,327","2,603","2,457","1,600","1,368","1,037"
2021,10,60,"21,682","1,727","1,435","1,274","1,316",676,"2,012","2,970","1,614","1,909","1,778","1,723","1,146","1,128",974
2021,10,70,"8,125",779,613,503,548,296,694,951,554,627,560,729,375,424,472
2021,10,80,"2,117",210,154,155,136,79,214,183,178,192,133,177,76,89,141
2021,10,90,121,7,8,8,10,2,14,15,10,13,7,14,3,5,5
2021,10,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
