년도,월,나이,서천군,장항읍,서천읍,마서면,화양면,기산면,한산면,마산면,시초면,문산면,판교면,종천면,비인면,서면
2020,8,10,"3,529",882,"1,522",221,61,56,114,71,59,27,70,84,103,259
2020,8,20,"3,927","1,050","1,362",302,97,92,143,79,60,37,95,99,213,298
2020,8,30,"3,537",873,"1,155",321,116,63,114,80,64,58,92,103,164,334
2020,8,40,"5,951","1,571","2,015",505,168,140,237,104,78,101,152,150,242,488
2020,8,50,"8,604","1,924","2,292",817,316,258,369,225,187,195,342,309,559,811
2020,8,60,"10,098","1,952","2,069","1,047",519,360,528,338,288,311,519,499,694,974
2020,8,70,"8,058","1,472","1,401",942,481,345,514,295,251,291,426,402,570,668
2020,8,80,"5,216",726,816,568,433,281,412,237,244,199,333,289,329,349
2020,8,90,806,91,142,90,58,53,68,30,30,29,52,56,67,40
2020,8,100,42,5,8,5,4,1,3,1,1,2,3,3,4,2
2020,9,총,"52,026","11,101","13,778","4,962","2,298","1,678","2,550","1,512","1,286","1,272","2,130","2,048","2,992","4,419"
2020,9,0,"2,346",559,"1,026",168,53,31,59,55,26,32,40,46,55,196
2020,9,10,"3,509",874,"1,518",222,60,58,111,70,59,28,68,83,101,257
2020,9,20,"3,925","1,050","1,356",301,94,92,143,80,61,40,97,99,213,299
2020,9,30,"3,498",864,"1,152",305,115,61,116,77,65,55,93,103,161,331
2020,9,40,"5,915","1,560","1,997",497,167,140,230,106,79,99,154,152,246,488
2020,9,50,"8,581","1,929","2,286",814,311,257,367,221,179,194,342,313,557,811
2020,9,60,"10,118","1,953","2,075","1,050",521,361,527,339,293,308,523,497,694,977
2020,9,70,"8,043","1,482","1,396",938,479,344,513,298,250,289,420,400,564,670
2020,9,80,"5,229",727,818,573,437,279,412,234,241,199,339,295,332,343
2020,9,90,821,98,146,89,57,54,69,31,32,27,51,57,65,45
2020,9,100,41,5,8,5,4,1,3,1,1,1,3,3,4,2
2020,10,총,"51,933","11,110","13,749","4,942","2,291","1,674","2,548","1,512","1,292","1,264","2,128","2,034","2,977","4,412"
2020,10,0,"2,327",553,"1,019",168,52,31,60,55,28,32,38,44,51,196
2020,10,10,"3,494",873,"1,516",216,59,56,112,71,57,26,69,84,102,253
2020,10,20,"3,910","1,057","1,344",299,93,93,143,80,62,39,95,98,208,299
2020,10,30,"3,479",872,"1,141",304,113,59,113,79,65,54,92,100,155,332
2020,10,40,"5,868","1,552","1,985",490,160,140,228,102,78,98,151,152,246,486
2020,10,50,"8,560","1,928","2,294",810,313,255,369,225,175,194,340,308,549,800
2020,10,60,"10,144","1,962","2,078","1,052",522,363,528,336,303,304,524,498,695,979
2020,10,70,"8,045","1,476","1,402",933,478,345,512,296,250,289,423,397,564,680
2020,10,80,"5,235",733,814,578,437,275,411,236,242,201,340,292,336,340
2020,10,90,829,99,148,87,59,56,69,31,31,26,53,58,67,45
2020,10,100,42,5,8,5,5,1,3,1,1,1,3,3,4,2
2020,11,총,"51,926","11,143","13,744","4,947","2,281","1,670","2,540","1,507","1,295","1,258","2,132","2,043","2,962","4,404"
2020,11,0,"2,312",560,"1,010",168,50,29,60,52,29,31,38,44,48,193
2020,11,10,"3,499",877,"1,529",214,54,54,111,70,56,26,67,83,100,258
2020,11,20,"3,886","1,055","1,338",292,95,89,138,81,64,36,95,101,206,296
2020,11,30,"3,491",874,"1,143",311,116,60,113,76,64,55,92,102,152,333
2020,11,40,"5,847","1,547","1,991",486,153,140,227,104,79,95,146,151,247,481
2020,11,50,"8,544","1,937","2,284",810,314,249,370,222,177,191,344,309,546,791
2020,11,60,"10,189","1,975","2,072","1,061",523,369,528,340,302,309,529,501,697,983
2020,11,70,"8,047","1,475","1,414",932,477,346,509,296,249,286,423,399,563,678
2020,11,80,"5,237",739,807,581,432,276,413,233,240,203,342,291,335,345
2020,11,90,830,99,148,87,61,57,68,32,34,25,53,58,64,44
2020,11,100,44,5,8,5,6,1,3,1,1,1,3,4,4,2
2020,12,총,"51,866","11,126","13,744","4,939","2,264","1,674","2,540","1,494","1,286","1,262","2,135","2,049","2,950","4,403"
2020,12,0,"2,306",557,"1,009",163,48,29,63,50,28,31,39,47,51,191
2020,12,10,"3,487",863,"1,526",219,55,58,110,66,55,26,68,82,100,259
2020,12,20,"3,877","1,064","1,337",291,91,87,138,82,60,38,91,99,201,298
2020,12,30,"3,465",871,"1,139",304,113,58,110,74,65,55,91,104,150,331
2020,12,40,"5,844","1,545","1,998",487,156,140,225,100,77,95,146,153,241,481
2020,12,50,"8,503","1,929","2,271",810,311,254,372,219,177,185,341,312,540,782
2020,12,60,"10,232","1,987","2,093","1,062",524,369,522,343,301,313,536,496,702,984
2020,12,70,"8,037","1,467","1,407",923,471,347,516,295,249,288,425,405,563,681
2020,12,80,"5,240",738,808,587,428,274,415,233,239,204,342,288,335,349
2020,12,90,831,100,148,88,61,57,66,31,34,26,53,59,63,45
2020,12,100,44,5,8,5,6,1,3,1,1,1,3,4,4,2
2021,1,총,"51,742","11,119","13,694","4,938","2,268","1,674","2,529","1,489","1,286","1,260","2,125","2,041","2,930","4,389"
2021,1,0,"2,286",550,"1,001",163,49,28,63,49,28,32,38,48,50,187
2021,1,10,"3,464",854,"1,511",217,59,59,110,68,55,26,66,78,100,261
2021,1,20,"3,857","1,070","1,329",294,90,88,134,80,59,37,88,96,198,294
2021,1,30,"3,434",860,"1,123",302,119,58,109,76,63,56,88,104,145,331
2021,1,40,"5,802","1,540","1,974",483,156,141,220,100,79,93,148,153,240,475
2021,1,50,"8,461","1,932","2,278",803,303,253,369,215,180,188,339,307,521,773
2021,1,60,"10,267","1,991","2,103","1,069",523,370,527,344,299,308,535,500,709,989
2021,1,70,"8,029","1,476","1,401",922,471,345,509,292,250,286,423,406,569,679
2021,1,80,"5,267",741,817,592,431,275,418,232,239,205,344,287,333,353
2021,1,90,831,100,149,88,61,56,67,32,33,28,53,58,61,45
2021,1,100,44,5,8,5,6,1,3,1,1,1,3,4,4,2
2021,2,총,"51,657","11,085","13,671","4,922","2,280","1,669","2,537","1,487","1,288","1,257","2,118","2,029","2,922","4,392"
2021,2,0,"2,282",548,"1,001",166,51,28,59,49,30,31,36,47,46,190
2021,2,10,"3,438",854,"1,496",216,58,59,112,67,54,27,68,75,96,256
2021,2,20,"3,816","1,049","1,322",286,91,87,132,83,58,36,85,97,194,296
2021,2,30,"3,388",855,"1,114",295,119,54,106,74,65,54,85,104,140,323
2021,2,40,"5,786","1,527","1,970",486,159,143,223,98,78,94,146,149,243,470
2021,2,50,"8,465","1,933","2,288",801,303,249,370,215,178,184,333,303,523,785
2021,2,60,"10,282","1,990","2,100","1,064",523,370,536,342,302,312,544,502,709,988
2021,2,70,"8,031","1,473","1,406",922,473,346,510,293,249,288,418,403,569,681
2021,2,80,"5,283",746,818,595,435,273,420,232,238,202,348,287,335,354
2021,2,90,842,105,147,86,62,59,66,33,35,28,52,58,64,47
2021,2,100,44,5,9,5,6,1,3,1,1,1,3,4,3,2
2021,3,총,"51,361","11,077","13,550","4,885","2,262","1,653","2,497","1,480","1,279","1,253","2,132","2,029","2,890","4,374"
2021,3,0,"2,258",538,984,166,52,28,62,48,31,31,37,48,45,188
2021,3,10,"3,423",852,"1,490",212,59,60,110,67,52,27,67,77,96,254
2021,3,20,"3,769","1,049","1,303",278,91,85,121,82,57,37,87,98,191,290
2021,3,30,"3,361",865,"1,096",289,116,57,105,75,64,51,88,102,134,319
2021,3,40,"5,687","1,524","1,921",480,154,140,214,95,74,90,149,146,240,460
2021,3,50,"8,376","1,926","2,273",791,301,234,362,207,180,179,325,303,507,788
2021,3,60,"10,333","1,993","2,123","1,069",518,375,536,351,299,316,553,499,716,985
2021,3,70,"7,997","1,469","1,390",921,471,344,503,287,247,290,422,401,565,687
2021,3,80,"5,286",752,815,589,437,271,416,235,238,203,350,294,332,354
2021,3,90,847,104,150,88,62,59,67,32,35,29,52,58,63,48
2021,3,100,24,5,5,2,1,0,1,1,2,0,2,3,1,1
2021,4,총,"51,289","11,062","13,520","4,886","2,271","1,640","2,504","1,475","1,271","1,251","2,124","2,027","2,897","4,361"
2021,4,0,"2,247",535,979,162,51,27,64,48,31,31,38,47,43,191
2021,4,10,"3,403",846,"1,484",214,57,63,110,64,48,28,66,80,97,246
2021,4,20,"3,741","1,035","1,287",280,94,82,121,82,58,38,85,97,192,290
2021,4,30,"3,361",874,"1,106",280,118,54,109,74,61,48,86,102,134,315
2021,4,40,"5,661","1,513","1,906",487,158,137,214,94,74,92,147,146,240,453
2021,4,50,"8,358","1,936","2,264",786,304,234,362,204,180,177,316,302,503,790
2021,4,60,"10,358","1,994","2,125","1,086",516,377,536,350,299,316,557,497,725,980
2021,4,70,"7,985","1,461","1,392",914,473,341,499,294,245,284,424,404,564,690
2021,4,80,"5,294",758,823,583,432,268,420,230,236,208,349,295,334,358
2021,4,90,856,104,149,92,67,57,68,34,37,29,54,54,64,47
2021,4,100,25,6,5,2,1,0,1,1,2,0,2,3,1,1
2021,5,총,"51,274","11,102","13,508","4,863","2,268","1,635","2,501","1,478","1,266","1,243","2,126","2,033","2,895","4,356"
2021,5,0,"2,227",527,976,155,49,27,63,48,32,29,37,48,44,192
2021,5,10,"3,400",851,"1,486",218,57,63,106,64,48,27,66,79,92,243
2021,5,20,"3,736","1,042","1,286",279,91,81,121,80,57,35,85,96,192,291
2021,5,30,"3,322",875,"1,086",273,119,54,108,74,56,47,85,101,132,312
2021,5,40,"5,638","1,504","1,910",483,158,135,209,94,71,93,146,145,234,456
2021,5,50,"8,354","1,945","2,263",774,306,230,367,204,183,172,316,303,508,783
2021,5,60,"10,390","2,015","2,121","1,086",515,383,537,354,298,318,558,502,727,976
2021,5,70,"8,002","1,466","1,398",917,472,337,502,289,242,285,430,406,564,694
2021,5,80,"5,314",767,824,583,432,269,420,231,241,209,347,297,335,359
2021,5,90,867,104,153,94,68,56,67,39,36,28,54,53,66,49
2021,5,100,24,6,5,1,1,0,1,1,2,0,2,3,1,1
2021,6,총,"51,153","11,079","13,461","4,856","2,260","1,627","2,501","1,480","1,256","1,242","2,124","2,036","2,889","4,342"
2021,6,0,"2,216",525,965,153,49,25,63,48,32,29,36,52,42,197
2021,6,10,"3,383",849,"1,477",221,56,60,106,65,46,26,66,78,93,240
2021,6,20,"3,731","1,051","1,285",274,88,82,124,81,55,34,84,94,191,288
2021,6,30,"3,288",870,"1,066",271,119,51,106,72,56,46,85,104,132,310
2021,6,40,"5,587","1,477","1,903",479,154,134,208,96,71,93,145,143,230,454
2021,6,50,"8,314","1,924","2,264",769,305,229,371,201,181,171,317,306,508,768
2021,6,60,"10,422","2,038","2,124","1,084",515,384,538,357,295,319,555,501,731,981
2021,6,70,"8,011","1,463","1,399",928,473,337,500,289,241,286,434,404,562,695
2021,6,80,"5,310",773,822,580,431,269,416,231,242,210,345,300,334,357
2021,6,90,867,103,151,96,69,56,68,39,35,28,55,52,65,50
2021,6,100,24,6,5,1,1,0,1,1,2,0,2,2,1,2
2021,7,총,"51,072","11,089","13,441","4,829","2,259","1,623","2,492","1,471","1,257","1,246","2,120","2,025","2,880","4,340"
2021,7,0,"2,194",528,955,144,48,24,63,45,32,29,37,51,41,197
2021,7,10,"3,377",852,"1,472",214,58,63,107,64,45,26,66,78,95,237
2021,7,20,"3,690","1,046","1,285",268,86,79,119,79,53,34,82,91,183,285
2021,7,30,"3,256",865,"1,054",272,116,51,102,74,57,44,83,98,131,309
2021,7,40,"5,589","1,482","1,892",475,155,135,211,92,72,97,146,143,231,458
2021,7,50,"8,270","1,923","2,277",758,304,222,367,200,181,169,311,303,497,758
2021,7,60,"10,463","2,043","2,128","1,091",519,386,539,358,292,322,556,500,739,990
2021,7,70,"8,012","1,469","1,402",922,470,338,501,285,244,287,436,405,564,689
2021,7,80,"5,325",773,820,586,432,269,417,232,243,208,347,299,335,364
2021,7,90,872,103,151,98,70,55,65,41,36,30,54,55,63,51
2021,7,100,24,5,5,1,1,1,1,1,2,0,2,2,1,2
2021,8,총,"51,036","11,094","13,446","4,837","2,262","1,619","2,485","1,473","1,250","1,245","2,093","2,023","2,879","4,330"
2021,8,0,"2,185",525,956,140,47,24,65,45,31,30,37,50,42,193
2021,8,10,"3,371",847,"1,463",229,59,62,106,64,43,24,66,77,95,236
2021,8,20,"3,678","1,055","1,285",259,89,78,116,78,52,35,80,93,176,282
2021,8,30,"3,256",870,"1,047",274,115,52,108,75,56,42,79,98,131,309
2021,8,40,"5,554","1,477","1,884",473,157,136,207,91,70,99,139,136,231,454
2021,8,50,"8,242","1,913","2,286",768,299,221,362,202,175,169,303,298,494,752
2021,8,60,"10,485","2,046","2,139","1,089",522,384,540,357,298,318,555,501,742,994
2021,8,70,"7,999","1,470","1,410",912,472,333,494,285,242,291,432,410,566,682
2021,8,80,"5,366",782,822,594,429,274,421,233,244,207,345,301,338,376
2021,8,90,876,104,150,97,72,54,65,42,37,30,55,57,63,50
2021,8,100,24,5,4,2,1,1,1,1,2,0,2,2,1,2
2021,9,총,"50,968","11,087","13,429","4,833","2,250","1,614","2,477","1,462","1,247","1,242","2,089","2,033","2,882","4,323"
2021,9,0,"2,181",524,952,143,45,24,65,43,31,30,38,49,41,196
2021,9,10,"3,353",841,"1,462",227,58,60,105,64,40,23,67,78,94,234
2021,9,20,"3,650","1,052","1,272",257,89,78,107,75,54,35,76,98,176,281
2021,9,30,"3,236",863,"1,039",267,115,51,111,73,56,41,80,96,133,311
2021,9,40,"5,516","1,471","1,871",470,152,137,203,93,69,99,139,135,231,446
2021,9,50,"8,250","1,916","2,289",769,303,223,362,198,174,171,301,301,493,750
2021,9,60,"10,499","2,052","2,154","1,093",516,384,542,355,301,317,554,499,743,989
2021,9,70,"8,000","1,477","1,415",912,472,328,490,283,242,289,432,411,563,686
2021,9,80,"5,377",780,823,593,428,274,424,234,244,207,345,307,342,376
2021,9,90,884,106,149,100,71,54,67,43,35,30,55,57,65,52
2021,9,100,22,5,3,2,1,1,1,1,1,0,2,2,1,2
2021,10,총,"50,884","11,101","13,387","4,818","2,245","1,609","2,469","1,462","1,247","1,237","2,084","2,033","2,879","4,313"
2021,10,0,"2,165",525,944,138,47,24,66,41,30,30,37,49,39,195
2021,10,10,"3,331",838,"1,449",224,58,59,101,66,42,21,66,79,94,234
2021,10,20,"3,649","1,050","1,272",261,87,76,109,74,54,37,76,99,178,276
2021,10,30,"3,236",876,"1,035",264,113,52,108,73,56,40,79,98,131,311
2021,10,40,"5,459","1,450","1,861",467,150,135,202,92,71,96,139,131,229,436
2021,10,50,"8,236","1,929","2,285",767,300,222,365,199,170,172,300,293,486,748
2021,10,60,"10,520","2,064","2,146","1,094",514,381,538,355,306,318,555,504,752,993
2021,10,70,"7,995","1,472","1,421",909,474,330,490,281,236,288,433,413,564,684
2021,10,80,"5,376",784,820,593,431,274,420,237,244,206,341,307,339,380
2021,10,90,894,107,151,99,70,55,69,43,37,29,56,58,66,54
2021,10,100,23,6,3,2,1,1,1,1,1,0,2,2,1,2
2021,11,총,"50,798","11,079","13,369","4,805","2,242","1,615","2,468","1,457","1,241","1,233","2,081","2,028","2,862","4,318"
2021,11,0,"2,135",517,928,135,48,24,66,43,30,30,34,46,40,194
2021,11,10,"3,342",841,"1,457",227,58,59,101,64,40,21,69,80,90,235
2021,11,20,"3,639","1,050","1,276",262,88,73,104,73,54,35,78,95,178,273
2021,11,30,"3,204",862,"1,028",258,111,54,110,73,54,41,82,96,129,306
2021,11,40,"5,431","1,448","1,848",468,148,136,204,90,73,95,134,128,219,440
2021,11,50,"8,219","1,921","2,285",763,299,219,363,194,165,174,301,298,491,746
2021,11,60,"10,526","2,062","2,144","1,088",513,389,537,358,307,319,561,502,751,995
2021,11,70,"7,996","1,471","1,430",907,473,331,492,283,237,283,427,416,556,690
2021,11,80,"5,383",790,822,595,433,273,420,235,243,204,338,308,340,382
2021,11,90,901,111,149,100,70,56,70,43,37,31,55,57,67,55
2021,11,100,22,6,2,2,1,1,1,1,1,0,2,2,1,2
2021,12,총,"50,745","11,064","13,356","4,808","2,246","1,610","2,458","1,462","1,243","1,232","2,080","2,025","2,865","4,296"
2021,12,0,"2,121",515,919,136,49,24,67,42,31,30,33,44,41,190
2021,12,10,"3,322",836,"1,451",229,57,57,98,64,39,20,69,81,89,232
2021,12,20,"3,612","1,038","1,266",263,86,73,101,74,56,35,77,91,175,277
2021,12,30,"3,196",859,"1,024",255,115,52,113,75,54,42,84,96,130,297
2021,12,40,"5,409","1,447","1,847",468,146,128,202,85,72,96,134,128,215,441
2021,12,50,"8,196","1,925","2,283",759,295,219,359,200,164,171,295,294,492,740
2021,12,60,"10,545","2,059","2,158","1,088",517,389,538,359,304,320,565,505,755,988
2021,12,70,"8,008","1,478","1,427",901,471,334,489,282,240,285,426,421,559,695
2021,12,80,"5,396",789,825,603,437,277,420,237,246,199,338,305,340,380
2021,12,90,919,114,154,104,72,56,70,43,36,34,57,58,68,53
2021,12,100,21,4,2,2,1,1,1,1,1,0,2,2,1,3
