년도,월,나이,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020,5,90,753,30,47,73,54,63,41,27,31,37,36,30,49,83,7,21,91,33
2020,5,100,99,9,7,2,8,18,11,1,7,4,6,1,3,4,6,0,12,0
2020,6,총,"172,802","8,807","10,360","17,180","9,934","9,794","10,154","6,531","7,872","11,083","8,054","8,258","10,294","18,405","1,979","5,413","20,721","7,963"
2020,6,0,"7,941",357,350,788,324,315,394,212,220,389,300,656,356,"1,387",93,168,"1,351",281
2020,6,10,"11,362",546,563,"1,307",648,517,640,373,509,608,511,598,648,"1,256",122,346,"1,735",435
2020,6,20,"22,023","1,353","1,309","2,479","1,176","1,069","1,327",690,"1,035","1,357","1,037",936,"1,315","2,344",241,650,"2,717",988
2020,6,30,"17,999",989,992,"2,008",903,830,"1,001",632,711,"1,043",749,998,"1,027","2,402",198,506,"2,279",731
2020,6,40,"23,512","1,097","1,357","2,307","1,372","1,196","1,347",824,"1,051","1,491","1,070","1,252","1,389","2,622",268,704,"3,060","1,105"
2020,6,50,"34,955","1,730","2,048","3,230","2,149","1,968","2,057","1,321","1,696","2,485","1,684","1,519","2,269","3,526",411,"1,194","4,030","1,638"
2020,6,60,"30,371","1,536","1,941","2,836","1,768","1,870","1,864","1,282","1,453","2,042","1,457","1,305","1,874","2,859",377,"1,079","3,379","1,449"
2020,6,70,"17,108",828,"1,249","1,542","1,116","1,383","1,040",822,818,"1,207",859,712,994,"1,392",198,518,"1,519",911
2020,6,80,"6,681",335,496,608,419,564,432,347,342,421,344,251,371,528,59,227,547,390
2020,6,90,750,26,48,73,51,64,41,27,30,36,37,30,48,85,6,21,92,35
2020,6,100,100,10,7,2,8,18,11,1,7,4,6,1,3,4,6,0,12,0
2020,7,총,"172,657","8,779","10,362","17,191","9,908","9,798","10,157","6,517","7,911","11,092","8,016","8,235","10,257","18,414","1,960","5,420","20,688","7,952"
2020,7,0,"7,885",353,348,788,317,309,395,208,227,394,301,642,358,"1,376",93,172,"1,324",280
2020,7,10,"11,273",530,563,"1,295",649,512,636,358,515,609,498,594,632,"1,267",119,342,"1,724",430
2020,7,20,"22,042","1,357","1,316","2,488","1,170","1,074","1,333",690,"1,048","1,353","1,040",925,"1,315","2,344",235,653,"2,713",988
2020,7,30,"17,939",977,986,"2,002",888,830,"1,000",630,711,"1,046",751,"1,002","1,027","2,382",204,502,"2,276",725
2020,7,40,"23,427","1,095","1,352","2,310","1,370","1,189","1,334",815,"1,058","1,482","1,058","1,251","1,366","2,628",267,702,"3,051","1,099"
2020,7,50,"34,896","1,728","2,043","3,216","2,149","1,971","2,052","1,331","1,692","2,481","1,665","1,514","2,259","3,535",405,"1,193","4,018","1,644"
2020,7,60,"30,441","1,530","1,941","2,844","1,769","1,876","1,877","1,284","1,460","2,051","1,455","1,311","1,872","2,877",362,"1,085","3,402","1,445"
2020,7,70,"17,213",834,"1,257","1,562","1,122","1,385","1,044",833,819,"1,215",858,715,"1,002","1,395",203,521,"1,527",921
2020,7,80,"6,686",338,501,607,414,569,434,341,344,422,348,252,374,522,60,229,545,386
2020,7,90,755,27,48,77,52,65,41,26,30,35,36,28,49,84,6,21,96,34
2020,7,100,100,10,7,2,8,18,11,1,7,4,6,1,3,4,6,0,12,0
2020,8,총,"172,465","8,750","10,336","17,177","9,880","9,776","10,170","6,504","7,904","11,099","7,995","8,254","10,275","18,389","1,929","5,395","20,676","7,956"
2020,8,0,"7,824",347,338,784,313,307,391,205,223,389,300,645,358,"1,368",85,174,"1,316",281
2020,8,10,"11,213",524,563,"1,290",644,508,636,356,512,617,494,586,631,"1,255",115,340,"1,717",425
2020,8,20,"21,955","1,350","1,307","2,460","1,159","1,053","1,331",687,"1,045","1,347","1,035",932,"1,330","2,344",231,650,"2,707",987
2020,8,30,"17,874",966,977,"2,014",883,834,"1,002",629,709,"1,036",750,"1,005","1,024","2,356",202,492,"2,272",723
2020,8,40,"23,341","1,102","1,344","2,287","1,360","1,189","1,336",806,"1,044","1,486","1,048","1,254","1,358","2,623",257,695,"3,052","1,100"
2020,8,50,"34,827","1,723","2,042","3,223","2,142","1,957","2,045","1,323","1,690","2,482","1,657","1,511","2,261","3,543",401,"1,193","3,996","1,638"
2020,8,60,"30,618","1,526","1,946","2,861","1,776","1,890","1,895","1,289","1,482","2,058","1,465","1,319","1,876","2,899",362,"1,086","3,431","1,457"
2020,8,70,"17,230",831,"1,265","1,569","1,126","1,382","1,046",835,818,"1,223",850,717,"1,009","1,388",202,518,"1,529",922
2020,8,80,"6,732",343,498,609,419,575,436,345,346,423,353,257,378,524,63,227,550,386
2020,8,90,752,28,49,78,50,64,41,28,28,34,37,27,47,85,5,20,94,37
2020,8,100,99,10,7,2,8,17,11,1,7,4,6,1,3,4,6,0,12,0
2020,9,총,"171,947","8,697","10,235","17,140","9,847","9,753","10,140","6,445","7,915","11,145","7,993","8,204","10,232","18,381","1,907","5,348","20,640","7,925"
2020,9,0,"7,745",330,329,765,309,298,395,198,224,395,298,638,357,"1,374",84,164,"1,310",277
2020,9,10,"11,136",521,555,"1,288",642,503,632,345,512,617,490,584,626,"1,249",111,344,"1,698",419
2020,9,20,"21,845","1,349","1,293","2,454","1,147","1,053","1,316",677,"1,048","1,344","1,037",929,"1,313","2,325",228,637,"2,711",984
2020,9,30,"17,785",950,966,"2,005",884,822,996,625,706,"1,058",752,994,"1,012","2,343",203,488,"2,258",723
2020,9,40,"23,202","1,093","1,325","2,290","1,354","1,171","1,334",792,"1,034","1,484","1,047","1,245","1,347","2,642",249,687,"3,028","1,080"
2020,9,50,"34,680","1,708","2,017","3,195","2,133","1,967","2,034","1,316","1,699","2,472","1,654","1,496","2,248","3,540",397,"1,181","3,991","1,632"
2020,9,60,"30,754","1,533","1,948","2,881","1,779","1,900","1,910","1,283","1,489","2,085","1,465","1,326","1,886","2,904",359,"1,092","3,451","1,463"
2020,9,70,"17,180",827,"1,248","1,571","1,120","1,375","1,032",831,816,"1,228",847,707,"1,017","1,388",204,513,"1,531",925
2020,9,80,"6,756",343,500,612,420,580,437,348,351,424,358,258,376,526,62,222,554,385
2020,9,90,764,33,47,77,51,66,43,29,29,34,39,26,47,86,4,20,96,37
2020,9,100,100,10,7,2,8,18,11,1,7,4,6,1,3,4,6,0,12,0
2020,10,총,"171,576","8,680","10,218","17,060","9,838","9,721","10,117","6,423","7,868","11,169","7,983","8,208","10,217","18,360","1,886","5,320","20,607","7,901"
2020,10,0,"7,675",329,331,740,307,295,396,195,221,398,295,640,360,"1,353",80,162,"1,300",273
2020,10,10,"11,053",513,551,"1,268",637,496,627,347,502,615,484,584,620,"1,241",110,337,"1,701",420
2020,10,20,"21,816","1,337","1,297","2,446","1,156","1,051","1,317",675,"1,039","1,355","1,035",928,"1,313","2,340",226,636,"2,685",980
2020,10,30,"17,666",943,968,"1,989",874,809,985,615,701,"1,063",749,990,"1,013","2,313",198,491,"2,249",716
2020,10,40,"23,134","1,099","1,312","2,295","1,347","1,170","1,317",789,"1,021","1,479","1,051","1,248","1,351","2,631",245,676,"3,018","1,085"
2020,10,50,"34,562","1,688","2,010","3,176","2,130","1,956","2,033","1,312","1,696","2,467","1,655","1,478","2,232","3,547",395,"1,169","4,000","1,618"
2020,10,60,"30,833","1,549","1,945","2,884","1,789","1,902","1,916","1,281","1,485","2,092","1,461","1,341","1,877","2,931",359,"1,098","3,456","1,467"
2020,10,70,"17,167",835,"1,241","1,567","1,119","1,377","1,030",834,816,"1,233",842,709,"1,018","1,385",201,510,"1,533",917
2020,10,80,"6,810",344,510,615,421,583,442,343,351,429,366,264,383,530,61,222,558,388
2020,10,90,758,33,46,78,50,63,43,31,29,34,39,25,47,85,4,19,95,37
2020,10,100,102,10,7,2,8,19,11,1,7,4,6,1,3,4,7,0,12,0
2020,11,총,"171,060","8,656","10,189","17,001","9,826","9,660","10,076","6,401","7,879","11,139","7,975","8,199","10,162","18,289","1,845","5,305","20,570","7,888"
2020,11,0,"7,618",329,321,729,307,288,393,192,225,401,294,633,366,"1,334",77,158,"1,301",270
2020,11,10,"10,940",500,544,"1,249",634,489,610,349,504,602,476,590,610,"1,225",110,337,"1,695",416
2020,11,20,"21,749","1,334","1,291","2,433","1,161","1,045","1,317",670,"1,038","1,348","1,037",921,"1,302","2,330",226,634,"2,680",982
2020,11,30,"17,566",951,966,"1,990",862,804,972,617,695,"1,063",749,987,990,"2,299",188,484,"2,225",724
2020,11,40,"22,956","1,086","1,308","2,282","1,343","1,141","1,306",779,"1,026","1,466","1,038","1,242","1,341","2,605",241,672,"3,011","1,069"
2020,11,50,"34,442","1,687","1,998","3,149","2,126","1,948","2,025","1,307","1,696","2,454","1,650","1,474","2,213","3,542",386,"1,169","4,005","1,613"
2020,11,60,"30,920","1,544","1,955","2,907","1,804","1,905","1,920","1,279","1,489","2,102","1,479","1,353","1,882","2,938",346,"1,097","3,450","1,470"
2020,11,70,"17,175",836,"1,242","1,565","1,112","1,370","1,039",833,821,"1,236",834,707,"1,019","1,399",201,514,"1,531",916
2020,11,80,"6,834",348,511,614,419,589,441,342,348,429,373,265,391,529,59,220,565,391
2020,11,90,758,32,46,81,50,61,42,32,30,34,39,26,45,84,5,20,94,37
2020,11,100,102,9,7,2,8,20,11,1,7,4,6,1,3,4,6,0,13,0
2020,12,총,"170,700","8,634","10,149","16,963","9,811","9,650","10,037","6,383","7,848","11,087","7,980","8,158","10,134","18,310","1,829","5,257","20,568","7,902"
2020,12,0,"7,564",326,319,718,306,293,387,196,220,403,305,615,361,"1,323",75,155,"1,294",268
2020,12,10,"10,862",492,537,"1,241",632,480,605,343,501,589,472,591,604,"1,230",108,330,"1,689",418
2020,12,20,"21,673","1,331","1,291","2,435","1,164","1,044","1,300",662,"1,023","1,336","1,037",922,"1,297","2,316",225,632,"2,676",982
2020,12,30,"17,443",944,953,"1,968",851,792,971,612,696,"1,050",746,969,989,"2,305",183,481,"2,206",727
2020,12,40,"22,825","1,073","1,298","2,265","1,344","1,135","1,289",777,"1,014","1,452","1,036","1,224","1,325","2,613",241,657,"3,015","1,067"
2020,12,50,"34,321","1,682","1,993","3,138","2,112","1,932","2,031","1,301","1,681","2,442","1,648","1,472","2,220","3,528",375,"1,160","4,000","1,606"
2020,12,60,"31,085","1,553","1,951","2,921","1,810","1,930","1,917","1,285","1,504","2,116","1,486","1,368","1,885","2,955",352,"1,100","3,472","1,480"
2020,12,70,"17,173",839,"1,239","1,569","1,106","1,371","1,045",833,823,"1,224",828,706,"1,017","1,418",198,505,"1,537",915
2020,12,80,"6,896",353,516,625,430,592,440,342,348,437,377,264,392,534,61,215,570,400
2020,12,90,755,32,45,81,48,61,41,31,31,34,39,26,41,84,5,22,95,39
2020,12,100,103,9,7,2,8,20,11,1,7,4,6,1,3,4,6,0,14,0
2021,1,총,"170,383","8,651","10,130","16,929","9,793","9,657","10,008","6,384","7,844","11,052","7,964","8,154","10,081","18,314","1,807","5,228","20,501","7,886"
2021,1,0,"7,497",329,320,709,304,288,386,193,224,410,298,607,362,"1,312",72,149,"1,264",270
2021,1,10,"10,785",496,533,"1,226",625,482,599,343,499,577,463,588,586,"1,238",106,323,"1,686",415
2021,1,20,"21,606","1,319","1,285","2,437","1,165","1,043","1,287",663,"1,016","1,325","1,040",925,"1,287","2,320",218,637,"2,655",984
2021,1,30,"17,366",957,939,"1,963",851,793,951,608,696,"1,059",742,963,982,"2,285",181,475,"2,197",724
2021,1,40,"22,717","1,071","1,293","2,251","1,320","1,130","1,289",773,"1,017","1,432","1,037","1,225","1,321","2,615",242,648,"2,993","1,060"
2021,1,50,"34,135","1,678","1,981","3,100","2,106","1,921","2,025","1,309","1,664","2,422","1,636","1,465","2,199","3,518",371,"1,153","3,983","1,604"
2021,1,60,"31,247","1,554","1,963","2,963","1,827","1,935","1,932","1,285","1,513","2,127","1,493","1,377","1,886","2,979",347,"1,101","3,498","1,467"
2021,1,70,"17,218",849,"1,239","1,570","1,109","1,380","1,052",832,829,"1,224",827,714,"1,019","1,421",196,504,"1,535",918
2021,1,80,"6,955",358,527,632,429,603,435,345,349,436,382,264,395,534,63,214,583,406
2021,1,90,754,31,43,76,49,62,41,32,30,36,40,25,41,88,5,24,93,38
2021,1,100,103,9,7,2,8,20,11,1,7,4,6,1,3,4,6,0,14,0
2021,2,총,"170,005","8,613","10,138","16,927","9,803","9,655","9,963","6,372","7,836","11,009","7,955","8,113","10,037","18,285","1,804","5,221","20,426","7,848"
2021,2,0,"7,401",326,324,705,299,286,377,197,227,401,297,591,356,"1,291",68,144,"1,247",265
2021,2,10,"10,744",485,530,"1,222",623,479,593,337,499,572,462,592,579,"1,250",105,317,"1,690",409
2021,2,20,"21,415","1,311","1,287","2,439","1,162","1,034","1,278",656,"1,001","1,309","1,029",909,"1,278","2,286",217,635,"2,619",965
2021,2,30,"17,279",956,932,"1,965",852,800,945,606,696,"1,064",741,949,964,"2,265",181,479,"2,168",716
2021,2,40,"22,663","1,069","1,295","2,243","1,316","1,124","1,278",770,"1,010","1,406","1,036","1,215","1,311","2,637",240,648,"3,001","1,064"
2021,2,50,"33,937","1,667","1,977","3,080","2,110","1,905","2,025","1,300","1,647","2,405","1,630","1,466","2,171","3,493",369,"1,143","3,962","1,587"
2021,2,60,"31,451","1,547","1,976","2,977","1,835","1,947","1,933","1,288","1,533","2,150","1,506","1,385","1,912","3,014",354,"1,111","3,510","1,473"
2021,2,70,"17,229",846,"1,234","1,580","1,113","1,385","1,043",841,831,"1,213",826,710,"1,019","1,428",196,507,"1,536",921
2021,2,80,"7,031",367,534,636,436,614,440,347,352,447,382,270,404,533,63,213,588,405
2021,2,90,751,30,42,78,50,61,40,29,33,38,39,25,40,84,5,24,90,43
2021,2,100,104,9,7,2,7,20,11,1,7,4,7,1,3,4,6,0,15,0
2021,3,총,"169,432","8,605","10,073","16,875","9,786","9,601","9,965","6,322","7,829","10,939","7,937","8,089","10,059","18,252","1,788","5,176","20,305","7,831"
2021,3,0,"7,315",317,314,702,299,283,372,191,228,394,299,583,348,"1,272",69,140,"1,242",262
2021,3,10,"10,652",483,516,"1,201",618,472,599,336,502,560,459,593,586,"1,246",104,314,"1,660",403
2021,3,20,"21,274","1,318","1,277","2,428","1,152","1,024","1,271",644,985,"1,296","1,033",897,"1,271","2,264",219,622,"2,614",959
2021,3,30,"17,236",959,923,"1,968",856,793,944,606,696,"1,053",746,942,970,"2,250",179,475,"2,156",720
2021,3,40,"22,523","1,070","1,285","2,216","1,316","1,120","1,280",751,"1,004","1,395","1,023","1,209","1,308","2,640",237,643,"2,975","1,051"
2021,3,50,"33,728","1,654","1,966","3,049","2,095","1,891","2,028","1,280","1,634","2,384","1,614","1,461","2,171","3,499",365,"1,128","3,920","1,589"
2021,3,60,"31,575","1,550","1,981","3,008","1,846","1,950","1,928","1,300","1,545","2,155","1,511","1,404","1,926","3,024",354,"1,107","3,510","1,476"
2021,3,70,"17,244",850,"1,231","1,580","1,114","1,378","1,056",840,834,"1,210",825,703,"1,021","1,435",189,511,"1,548",919
2021,3,80,"7,070",366,535,641,436,624,437,345,358,447,385,272,414,536,63,210,592,409
2021,3,90,757,31,40,82,50,62,41,29,36,42,36,24,43,82,4,26,86,43
2021,3,100,58,7,5,0,4,4,9,0,7,3,6,1,1,4,5,0,2,0
2021,4,총,"169,022","8,597","10,039","16,842","9,782","9,571","9,959","6,298","7,797","10,850","7,919","8,090","10,028","18,198","1,799","5,151","20,299","7,803"
2021,4,0,"7,246",317,312,699,293,281,364,189,225,386,297,580,350,"1,247",73,138,"1,237",258
2021,4,10,"10,608",480,514,"1,192",626,469,597,332,494,557,462,600,581,"1,246",98,309,"1,653",398
2021,4,20,"21,178","1,325","1,261","2,411","1,136","1,025","1,267",641,976,"1,265","1,027",884,"1,262","2,261",228,617,"2,632",960
2021,4,30,"17,217",956,937,"1,967",863,790,938,603,694,"1,056",739,939,977,"2,233",181,482,"2,144",718
2021,4,40,"22,413","1,063","1,269","2,222","1,313","1,112","1,276",748,999,"1,377","1,016","1,218","1,298","2,638",237,634,"2,954","1,039"
2021,4,50,"33,522","1,651","1,957","3,020","2,082","1,874","2,026","1,270","1,623","2,357","1,616","1,451","2,141","3,479",365,"1,119","3,913","1,578"
2021,4,60,"31,657","1,544","1,971","3,020","1,860","1,960","1,947","1,294","1,545","2,153","1,506","1,413","1,943","3,023",352,"1,110","3,537","1,479"
2021,4,70,"17,256",856,"1,230","1,582","1,113","1,371","1,049",843,841,"1,203",830,704,"1,019","1,448",189,506,"1,548",924
2021,4,80,"7,111",364,540,647,443,624,444,350,359,452,387,275,412,537,67,209,595,406
2021,4,90,755,34,43,82,49,61,41,28,34,41,33,25,44,82,4,27,84,43
2021,4,100,59,7,5,0,4,4,10,0,7,3,6,1,1,4,5,0,2,0
2021,5,총,"168,704","8,550","10,033","16,835","9,781","9,551","9,942","6,274","7,770","10,767","7,944","8,078","10,032","18,180","1,778","5,125","20,277","7,787"
2021,5,0,"7,212",308,310,709,291,281,362,189,222,381,300,581,346,"1,235",71,134,"1,225",267
2021,5,10,"10,525",484,515,"1,175",623,464,589,325,487,555,457,599,571,"1,243",97,305,"1,642",394
2021,5,20,"21,070","1,316","1,246","2,396","1,132","1,019","1,237",641,976,"1,254","1,030",879,"1,259","2,254",227,616,"2,631",957
2021,5,30,"17,214",949,942,"1,978",859,788,948,597,690,"1,051",749,941,992,"2,227",177,478,"2,136",712
2021,5,40,"22,218","1,058","1,264","2,190","1,302","1,104","1,258",743,983,"1,350","1,011","1,205","1,292","2,636",235,627,"2,927","1,033"
2021,5,50,"33,428","1,631","1,954","3,037","2,088","1,868","2,032","1,273","1,618","2,333","1,615","1,452","2,125","3,459",360,"1,104","3,910","1,569"
2021,5,60,"31,793","1,543","1,982","3,031","1,868","1,971","1,967","1,292","1,554","2,142","1,518","1,416","1,959","3,039",348,"1,120","3,561","1,482"
2021,5,70,"17,257",851,"1,220","1,579","1,113","1,366","1,053",838,837,"1,200",833,709,"1,028","1,456",186,508,"1,554",926
2021,5,80,"7,166",370,551,657,453,625,445,349,361,458,392,270,411,543,69,206,603,403
2021,5,90,761,33,44,83,48,61,41,27,35,40,33,25,48,84,3,27,85,44
2021,5,100,60,7,5,0,4,4,10,0,7,3,6,1,1,4,5,0,3,0
2021,6,총,"167,773","8,516","9,995","16,804","9,719","9,399","9,876","6,213","7,760","10,607","7,909","8,040","9,992","18,150","1,770","5,078","20,211","7,734"
2021,6,0,"7,176",302,311,706,297,279,360,182,226,374,298,586,345,"1,221",72,131,"1,223",263
2021,6,10,"10,458",483,508,"1,173",622,465,581,322,485,548,452,590,564,"1,248",94,307,"1,629",387
2021,6,20,"20,929","1,319","1,242","2,379","1,125","1,004","1,229",642,972,"1,230","1,032",870,"1,255","2,243",225,599,"2,605",958
2021,6,30,"17,058",939,942,"1,977",861,779,941,577,683,"1,034",737,932,978,"2,203",173,475,"2,130",697
2021,6,40,"22,111","1,053","1,261","2,196","1,293","1,086","1,247",735,979,"1,326","1,008","1,206","1,288","2,632",236,615,"2,923","1,027"
2021,6,50,"33,153","1,617","1,944","3,012","2,065","1,839","2,040","1,263","1,600","2,291","1,597","1,431","2,114","3,461",354,"1,096","3,867","1,562"
2021,6,60,"31,830","1,553","1,988","3,049","1,859","1,942","1,971","1,283","1,568","2,128","1,531","1,430","1,967","3,050",349,"1,111","3,577","1,474"
2021,6,70,"17,177",852,"1,203","1,576","1,102","1,341","1,040",835,837,"1,185",832,702,"1,025","1,467",187,503,"1,569",921
2021,6,80,"7,123",364,555,657,454,605,430,346,366,450,388,268,410,540,72,213,600,405
2021,6,90,726,30,41,79,41,56,37,28,37,39,32,24,45,82,3,28,84,40
2021,6,100,32,4,0,0,0,3,0,0,7,2,2,1,1,3,5,0,4,0
2021,7,총,"167,270","8,502","9,964","16,759","9,715","9,385","9,864","6,191","7,753","10,457","7,899","8,002","9,974","18,140","1,766","5,016","20,204","7,679"
2021,7,0,"7,119",297,312,698,288,276,361,181,225,368,291,585,347,"1,215",68,125,"1,225",257
2021,7,10,"10,411",477,501,"1,178",625,470,578,316,477,540,454,587,556,"1,246",93,305,"1,627",381
2021,7,20,"20,762","1,319","1,233","2,344","1,127",999,"1,214",639,977,"1,207","1,029",858,"1,245","2,229",219,598,"2,582",943
2021,7,30,"16,975",938,947,"1,953",853,771,939,573,676,"1,019",738,923,988,"2,214",177,467,"2,116",683
2021,7,40,"22,020","1,050","1,249","2,208","1,295","1,086","1,252",717,981,"1,311","1,002","1,203","1,267","2,631",229,600,"2,916","1,023"
2021,7,50,"32,923","1,602","1,938","2,995","2,050","1,831","2,025","1,258","1,603","2,246","1,581","1,413","2,096","3,439",353,"1,084","3,869","1,540"
2021,7,60,"31,961","1,564","1,984","3,061","1,873","1,948","1,977","1,292","1,564","2,111","1,549","1,440","1,986","3,070",360,"1,104","3,599","1,479"
2021,7,70,"17,163",849,"1,194","1,583","1,097","1,338","1,048",837,839,"1,172",831,707,"1,027","1,460",186,496,"1,576",923
2021,7,80,"7,170",373,564,659,465,606,432,351,367,442,390,264,416,548,73,209,604,407
2021,7,90,734,29,42,80,42,57,38,27,37,39,32,22,45,84,3,28,86,43
2021,7,100,32,4,0,0,0,3,0,0,7,2,2,0,1,4,5,0,4,0
2021,8,총,"166,878","8,504","9,935","16,752","9,737","9,361","9,863","6,177","7,730","10,277","7,903","8,019","9,994","18,137","1,767","4,858","20,191","7,673"
2021,8,0,"7,049",296,306,693,285,273,354,180,220,365,290,578,341,"1,204",68,119,"1,221",256
2021,8,10,"10,383",482,496,"1,166",630,471,576,306,472,531,456,589,562,"1,250",94,290,"1,632",380
2021,8,20,"20,639","1,306","1,229","2,346","1,121",991,"1,214",636,962,"1,189","1,024",869,"1,242","2,222",216,575,"2,564",933
2021,8,30,"16,928",935,937,"1,941",859,774,938,569,672,"1,007",736,926,"1,004","2,193",177,451,"2,121",688
2021,8,40,"21,882","1,047","1,236","2,192","1,284","1,073","1,246",713,981,"1,286",994,"1,200","1,259","2,638",230,575,"2,910","1,018"
2021,8,50,"32,799","1,604","1,928","2,995","2,049","1,825","2,023","1,259","1,599","2,200","1,590","1,410","2,086","3,442",353,"1,054","3,846","1,536"
2021,8,60,"32,040","1,567","1,995","3,086","1,899","1,946","1,983","1,286","1,570","2,072","1,555","1,452","2,003","3,088",363,"1,076","3,612","1,487"
