년도,월,나이,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020,8,50,"7,777",304,248,455,571,715,942,314,382,208,638,"1,005",710,"1,285"
2020,8,60,"7,550",375,302,539,550,632,868,331,344,238,587,"1,094",672,"1,018"
2020,8,70,"5,666",221,294,399,511,529,646,256,276,191,453,857,454,579
2020,8,80,"2,659",99,118,184,217,253,290,121,141,91,192,447,203,303
2020,8,90,460,23,25,34,29,39,35,26,26,14,30,74,36,69
2020,8,100,55,5,3,4,2,4,3,4,3,1,9,3,5,9
2020,9,총,"51,070","2,242","1,864","3,726","4,085","4,484","5,376","2,183","2,323","1,555","4,307","6,284","4,192","8,449"
2020,9,0,"3,315",36,53,248,338,271,296,81,98,39,368,327,263,897
2020,9,10,"3,487",81,101,188,347,306,418,160,166,73,301,443,323,580
2020,9,20,"7,086",652,323,460,429,589,668,393,395,409,599,677,483,"1,009"
2020,9,30,"6,186",259,156,509,464,556,544,217,208,162,599,552,520,"1,440"
2020,9,40,"6,579",195,241,451,630,584,656,282,290,132,546,798,535,"1,239"
2020,9,50,"7,875",292,246,577,568,724,944,315,382,201,632,"1,004",701,"1,289"
2020,9,60,"7,654",375,300,627,551,627,870,328,340,241,581,"1,105",677,"1,032"
2020,9,70,"5,694",226,297,429,504,534,651,254,275,193,449,851,452,579
2020,9,80,"2,678",98,119,194,224,251,292,122,140,89,195,451,199,304
2020,9,90,464,23,25,39,28,38,34,27,26,15,28,73,37,71
2020,9,100,52,5,3,4,2,4,3,4,3,1,9,3,2,9
2020,10,총,"51,656","2,233","1,882","4,454","4,063","4,467","5,360","2,163","2,318","1,547","4,293","6,271","4,158","8,447"
2020,10,0,"3,392",34,45,353,337,275,299,75,96,39,361,329,252,897
2020,10,10,"3,492",80,95,241,334,296,409,161,162,72,305,436,322,579
2020,10,20,"7,190",654,343,545,427,577,665,392,399,414,604,679,479,"1,012"
2020,10,30,"6,334",258,160,684,464,562,544,212,205,159,589,545,514,"1,438"
2020,10,40,"6,652",190,243,568,618,582,656,278,287,130,540,794,528,"1,238"
2020,10,50,"7,927",284,244,672,577,726,929,309,381,195,629,"1,002",697,"1,282"
2020,10,60,"7,735",376,304,690,550,623,877,329,339,245,580,"1,104",679,"1,039"
2020,10,70,"5,716",230,300,450,506,527,653,254,275,187,453,848,450,583
2020,10,80,"2,702",99,120,206,221,258,291,122,145,90,194,458,198,300
2020,10,90,464,23,25,41,27,37,34,27,26,15,29,73,37,70
2020,10,100,52,5,3,4,2,4,3,4,3,1,9,3,2,9
2020,11,총,"51,940","2,218","1,924","4,765","4,048","4,457","5,346","2,154","2,315","1,554","4,279","6,265","4,145","8,470"
2020,11,0,"3,431",32,46,392,346,270,298,70,95,38,366,326,253,899
2020,11,10,"3,495",77,98,266,328,294,402,159,163,75,290,437,319,587
2020,11,20,"7,260",659,369,584,423,584,658,394,399,426,611,671,474,"1,008"
2020,11,30,"6,382",258,174,757,459,550,540,208,203,153,582,542,510,"1,446"
2020,11,40,"6,700",192,245,623,620,576,655,281,287,134,542,793,522,"1,230"
2020,11,50,"7,949",278,240,704,575,733,922,310,382,196,630,999,702,"1,278"
2020,11,60,"7,762",371,303,718,546,624,885,330,335,242,570,"1,111",679,"1,048"
2020,11,70,"5,743",224,299,468,503,521,656,255,275,186,456,851,452,597
2020,11,80,"2,702",101,120,208,218,263,293,117,147,88,194,460,196,297
2020,11,90,464,21,27,41,28,38,34,26,26,15,29,72,36,71
2020,11,100,52,5,3,4,2,4,3,4,3,1,9,3,2,9
2020,12,총,"52,087","2,232","1,945","4,917","4,042","4,441","5,331","2,182","2,301","1,549","4,267","6,255","4,125","8,500"
2020,12,0,"3,462",28,49,410,347,268,298,73,91,40,363,324,247,924
2020,12,10,"3,511",80,100,276,331,291,400,164,163,72,294,439,317,584
2020,12,20,"7,251",671,376,603,412,580,653,411,395,424,608,667,469,982
2020,12,30,"6,416",259,175,795,466,542,532,209,205,152,578,545,498,"1,460"
2020,12,40,"6,695",191,242,641,619,582,645,275,287,134,540,783,524,"1,232"
2020,12,50,"7,956",280,244,728,569,725,930,311,377,194,622,"1,000",702,"1,274"
2020,12,60,"7,792",365,304,738,543,633,893,334,326,243,570,"1,111",677,"1,055"
2020,12,70,"5,752",230,304,467,501,511,651,258,283,186,454,852,454,601
2020,12,80,"2,734",102,121,212,224,266,294,118,144,88,201,459,199,306
2020,12,90,467,21,27,43,28,39,32,26,27,15,28,72,36,73
2020,12,100,51,5,3,4,2,4,3,3,3,1,9,3,2,9
2021,1,총,"52,088","2,235","1,950","5,002","4,040","4,438","5,317","2,165","2,299","1,539","4,224","6,234","4,118","8,527"
2021,1,0,"3,451",30,48,420,345,267,294,73,88,39,356,319,253,919
2021,1,10,"3,517",79,103,289,329,290,402,159,163,71,289,433,315,595
2021,1,20,"7,238",671,375,612,413,578,652,410,402,418,595,665,461,986
2021,1,30,"6,402",267,176,801,467,539,522,204,203,155,573,541,496,"1,458"
2021,1,40,"6,690",188,242,659,610,572,653,270,289,129,534,774,530,"1,240"
2021,1,50,"7,940",278,247,739,570,721,921,311,375,191,628,998,688,"1,273"
2021,1,60,"7,821",364,302,741,542,646,896,333,323,246,560,"1,114",683,"1,071"
2021,1,70,"5,746",230,306,477,501,511,644,256,280,187,452,850,454,598
2021,1,80,"2,761",102,122,215,231,268,298,118,146,87,201,462,202,309
2021,1,90,470,21,27,45,30,41,32,28,27,15,27,73,34,70
2021,1,100,52,5,2,4,2,5,3,3,3,1,9,5,2,8
2021,2,총,"52,071","2,237","1,959","5,046","4,051","4,440","5,329","2,153","2,276","1,521","4,198","6,236","4,103","8,522"
2021,2,0,"3,454",28,47,433,352,265,298,69,85,41,353,315,253,915
2021,2,10,"3,529",79,103,291,330,296,398,157,163,75,293,438,311,595
2021,2,20,"7,184",675,381,623,407,568,651,410,396,401,573,660,461,978
2021,2,30,"6,401",272,178,812,468,541,522,203,197,157,573,536,488,"1,454"
2021,2,40,"6,714",190,237,665,613,576,656,266,290,136,534,781,528,"1,242"
2021,2,50,"7,921",279,253,745,565,718,917,311,371,183,622,997,679,"1,281"
2021,2,60,"7,831",358,302,739,549,649,902,333,321,245,557,"1,116",689,"1,071"
2021,2,70,"5,749",227,305,478,502,513,643,256,280,187,456,853,454,595
2021,2,80,"2,764",103,123,213,233,267,307,119,144,81,200,461,201,312
2021,2,90,471,21,28,42,30,42,32,26,26,14,28,74,37,71
2021,2,100,53,5,2,5,2,5,3,3,3,1,9,5,2,8
2021,3,총,"51,890","2,212","1,923","5,039","4,054","4,442","5,318","2,160","2,274","1,521","4,155","6,205","4,098","8,489"
2021,3,0,"3,431",28,47,433,348,265,300,70,83,42,350,306,246,913
2021,3,10,"3,529",75,96,294,331,296,393,164,159,78,289,447,314,593
2021,3,20,"7,160",667,373,628,403,569,654,415,413,407,568,643,453,967
2021,3,30,"6,389",270,179,808,473,541,525,196,194,162,570,538,487,"1,446"
2021,3,40,"6,690",190,231,659,614,577,653,274,284,135,529,774,527,"1,243"
2021,3,50,"7,867",274,246,745,566,721,912,313,360,183,614,990,675,"1,268"
2021,3,60,"7,822",360,296,736,547,648,899,327,323,239,563,"1,115",699,"1,070"
2021,3,70,"5,731",222,302,474,503,519,644,252,284,178,445,848,454,606
2021,3,80,"2,760",101,122,212,237,264,302,122,145,83,198,462,202,310
2021,3,90,477,23,29,45,30,40,35,24,27,13,27,78,39,67
2021,3,100,34,2,2,5,2,2,1,3,2,1,2,4,2,6
2021,4,총,"52,156","2,210","1,911","5,063","4,446","4,393","5,296","2,162","2,287","1,506","4,130","6,175","4,078","8,499"
2021,4,0,"3,482",29,46,431,425,259,298,70,83,41,348,293,244,915
2021,4,10,"3,550",78,93,295,357,301,385,166,162,78,284,447,313,591
2021,4,20,"7,189",666,381,641,432,554,646,419,419,400,566,641,449,975
2021,4,30,"6,442",265,175,811,583,527,518,195,199,159,568,534,480,"1,428"
2021,4,40,"6,728",188,229,660,680,573,654,270,277,130,528,765,525,"1,249"
2021,4,50,"7,851",276,236,748,591,705,900,313,363,183,608,985,671,"1,272"
2021,4,60,"7,884",359,302,737,582,655,904,326,323,239,563,"1,116",700,"1,078"
2021,4,70,"5,749",221,299,475,518,516,653,251,285,178,442,849,453,609
2021,4,80,"2,757",103,119,215,242,260,300,124,148,84,193,460,201,308
2021,4,90,490,23,29,45,34,41,37,25,26,13,28,81,40,68
2021,4,100,34,2,2,5,2,2,1,3,2,1,2,4,2,6
2021,5,총,"52,154","2,158","1,926","5,096","4,717","4,330","5,301","2,130","2,275","1,443","4,093","6,143","4,079","8,463"
2021,5,0,"3,518",29,47,441,459,253,299,68,84,41,348,288,247,914
2021,5,10,"3,539",76,93,300,367,296,385,163,162,80,281,443,305,588
2021,5,20,"7,206",653,388,645,463,551,649,415,421,401,558,634,454,974
2021,5,30,"6,471",265,184,823,645,516,515,194,193,152,552,527,484,"1,421"
2021,5,40,"6,712",186,232,661,720,566,651,265,275,121,531,757,515,"1,232"
2021,5,50,"7,822",269,232,741,623,701,891,305,354,165,602,978,674,"1,287"
2021,5,60,"7,873",345,304,743,618,642,909,318,324,217,559,"1,120",701,"1,073"
2021,5,70,"5,727",210,295,475,528,510,661,250,287,173,440,846,449,603
2021,5,80,"2,780",104,121,216,256,254,302,125,150,81,194,465,208,304
2021,5,90,479,20,28,46,36,39,36,24,24,11,28,83,40,64
2021,5,100,27,1,2,5,2,2,3,3,1,1,0,2,2,3
2021,6,총,"52,220","2,146","1,935","5,114","4,849","4,321","5,323","2,120","2,280","1,434","4,081","6,127","4,044","8,446"
2021,6,0,"3,524",28,50,442,468,255,301,69,80,43,344,294,244,906
2021,6,10,"3,553",76,93,300,379,303,387,161,164,82,275,441,304,588
2021,6,20,"7,226",660,392,659,481,539,645,412,424,402,561,629,448,974
2021,6,30,"6,505",266,187,829,672,520,523,189,191,153,554,521,485,"1,415"
2021,6,40,"6,693",177,233,660,740,561,652,260,279,122,522,750,513,"1,224"
2021,6,50,"7,815",266,234,741,640,698,884,307,355,162,605,970,669,"1,284"
2021,6,60,"7,885",339,303,739,635,640,925,317,322,208,562,"1,123",692,"1,080"
2021,6,70,"5,719",209,292,480,534,509,661,252,287,169,435,844,445,602
2021,6,80,"2,797",105,122,215,264,255,303,126,150,81,197,468,204,307
2021,6,90,479,19,27,44,35,39,39,24,27,11,26,85,39,64
2021,6,100,24,1,2,5,1,2,3,3,1,1,0,2,1,2
2021,7,총,"52,247","2,182","1,930","5,089","4,908","4,303","5,354","2,103","2,269","1,441","4,087","6,111","4,040","8,430"
2021,7,0,"3,527",29,48,448,475,250,298,67,80,44,350,292,247,899
2021,7,10,"3,561",78,93,294,392,305,395,156,163,81,274,438,301,591
2021,7,20,"7,219",684,394,649,482,529,641,408,419,407,560,627,451,968
2021,7,30,"6,498",276,185,826,683,519,526,189,194,155,548,515,479,"1,403"
2021,7,40,"6,702",178,229,657,760,555,665,255,276,120,519,750,511,"1,227"
2021,7,50,"7,811",266,237,734,642,705,886,306,354,160,608,961,667,"1,285"
2021,7,60,"7,899",335,299,741,637,636,927,318,320,211,566,"1,125",694,"1,090"
2021,7,70,"5,713",212,291,475,537,504,664,250,287,168,438,843,446,598
2021,7,80,"2,807",105,125,215,263,257,308,127,148,82,197,473,205,302
2021,7,90,484,18,27,45,36,40,41,23,27,12,27,85,38,65
2021,7,100,26,1,2,5,1,3,3,4,1,1,0,2,1,2
2021,8,총,"52,352","2,213","1,934","5,208","4,954","4,295","5,351","2,101","2,240","1,432","4,080","6,085","4,056","8,403"
2021,8,0,"3,519",28,48,456,480,244,295,68,78,43,346,285,245,903
2021,8,10,"3,573",79,93,294,397,306,393,160,159,79,280,434,305,594
2021,8,20,"7,235",703,396,669,480,528,641,409,413,414,548,618,451,965
2021,8,30,"6,499",286,188,848,692,517,527,187,189,148,543,510,480,"1,384"
2021,8,40,"6,705",177,227,685,760,545,657,250,271,117,522,752,516,"1,226"
2021,8,50,"7,841",265,241,760,658,715,883,309,352,157,609,960,659,"1,273"
2021,8,60,"7,935",338,295,744,640,636,934,315,322,213,570,"1,130",704,"1,094"
2021,8,70,"5,721",209,294,489,541,502,668,243,285,164,438,841,450,597
2021,8,80,"2,819",109,124,211,269,260,308,133,147,84,198,470,206,300
2021,8,90,478,18,26,47,36,39,42,23,23,12,25,83,39,65
2021,8,100,27,1,2,5,1,3,3,4,1,1,1,2,1,2
2021,9,총,"52,471","2,235","1,942","5,271","4,998","4,296","5,350","2,111","2,252","1,441","4,083","6,065","4,056","8,371"
2021,9,0,"3,534",26,51,466,494,242,294,69,81,44,346,284,243,894
2021,9,10,"3,549",77,89,297,406,300,385,163,160,74,277,429,303,589
2021,9,20,"7,294",731,407,683,489,521,646,416,411,431,550,610,455,944
2021,9,30,"6,509",285,189,853,691,528,531,187,193,145,548,508,479,"1,372"
2021,9,40,"6,691",177,223,702,769,540,655,248,270,113,518,744,509,"1,223"
2021,9,50,"7,860",262,244,765,660,722,881,312,355,156,608,958,664,"1,273"
2021,9,60,"7,964",342,292,751,639,639,932,312,322,214,574,"1,134",706,"1,107"
2021,9,70,"5,716",208,291,489,542,503,670,244,283,165,437,841,450,593
2021,9,80,"2,846",107,127,212,271,259,312,134,151,85,201,472,206,309
2021,9,90,481,19,27,48,36,39,41,22,25,13,23,83,40,65
2021,9,100,27,1,2,5,1,3,3,4,1,1,1,2,1,2
2021,10,총,"52,427","2,252","1,942","5,283","4,991","4,288","5,368","2,110","2,256","1,435","4,070","6,047","4,053","8,332"
2021,10,0,"3,522",26,51,475,493,232,293,69,84,43,348,281,240,887
2021,10,10,"3,541",73,93,294,398,305,396,164,158,73,269,423,308,587
2021,10,20,"7,269",743,410,678,491,526,640,411,413,432,543,605,451,926
2021,10,30,"6,495",294,188,857,681,523,533,189,190,141,546,507,482,"1,364"
2021,10,40,"6,674",179,220,698,774,540,656,250,275,115,522,738,501,"1,206"
2021,10,50,"7,844",255,242,765,655,720,882,312,358,157,601,951,665,"1,281"
2021,10,60,"7,996",346,292,751,646,644,940,303,323,212,577,"1,137",713,"1,112"
2021,10,70,"5,704",212,293,491,543,494,667,245,282,164,433,846,445,589
2021,10,80,"2,875",104,125,221,274,261,318,141,148,84,206,473,208,312
2021,10,90,480,19,26,48,35,40,40,22,24,13,24,84,39,66
2021,10,100,27,1,2,5,1,3,3,4,1,1,1,2,1,2
2021,11,총,"52,394","2,258","1,931","5,278","5,014","4,278","5,381","2,117","2,255","1,431","4,047","6,054","4,039","8,311"
2021,11,0,"3,509",27,49,477,488,230,295,69,84,42,346,279,236,887
2021,11,10,"3,553",67,93,296,406,308,392,166,156,75,273,425,311,585
2021,11,20,"7,214",758,407,668,483,523,636,411,409,424,523,603,443,926
2021,11,30,"6,494",286,186,858,699,515,539,192,192,142,549,509,482,"1,345"
2021,11,40,"6,688",183,221,699,770,544,654,256,277,120,522,739,497,"1,206"
2021,11,50,"7,829",251,242,770,661,716,885,308,355,157,594,948,665,"1,277"
2021,11,60,"8,033",346,290,752,651,644,946,304,328,214,578,"1,146",714,"1,120"
2021,11,70,"5,688",216,292,493,544,493,667,240,280,159,433,840,445,586
2021,11,80,"2,882",103,126,216,275,264,324,145,148,83,201,480,205,312
2021,11,90,483,20,25,47,36,38,40,22,25,14,28,83,40,65
2021,11,100,21,1,0,2,1,3,3,4,1,1,0,2,1,2
2021,12,총,"52,424","2,280","1,925","5,284","5,044","4,279","5,401","2,103","2,234","1,424","4,051","6,051","4,040","8,308"
2021,12,0,"3,519",25,49,481,496,230,295,67,78,43,354,280,237,884
2021,12,10,"3,554",70,90,293,402,307,395,163,157,75,277,429,311,585
2021,12,20,"7,219",780,412,669,492,523,646,411,405,414,519,591,437,920
2021,12,30,"6,494",298,184,851,708,521,540,190,184,145,549,510,479,"1,335"
2021,12,40,"6,721",184,217,708,774,541,659,252,272,122,527,747,505,"1,213"
2021,12,50,"7,809",248,236,773,660,719,883,312,357,156,588,938,662,"1,277"
2021,12,60,"8,022",341,290,753,651,640,948,303,329,209,574,"1,151",714,"1,119"
2021,12,70,"5,678",214,294,487,548,489,664,236,276,163,433,836,447,591
2021,12,80,"2,902",100,128,219,274,267,327,147,149,83,201,483,208,316
2021,12,90,491,19,25,48,38,39,42,22,26,13,29,84,40,66
2021,12,100,15,1,0,2,1,3,2,0,1,1,0,2,0,2
