년도,월,나이,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020,5,0,"8,238",202,"2,156",103,245,34,51,55,95,101,786,649,"1,289","1,292","1,180"
2020,5,10,"8,205",316,"1,344",146,262,57,99,96,175,198,936,512,"1,264","1,298","1,502"
2020,5,20,"9,508",453,"1,401",227,632,87,194,174,229,229,859,700,"1,909","1,204","1,210"
2020,5,30,"13,276",458,"3,282",190,786,84,127,140,170,194,952,"1,344","2,550","1,589","1,410"
2020,5,40,"14,894",699,"3,226",335,905,137,198,238,336,336,"1,386","1,274","2,133","1,898","1,793"
2020,5,50,"14,414",922,"2,624",568,"1,168",183,350,362,539,494,"1,392","1,079","1,701","1,573","1,459"
2020,5,60,"10,247",896,"1,640",573,849,303,430,371,492,505,960,707,"1,000",928,593
2020,5,70,"6,096",600,802,408,478,232,290,277,374,344,594,401,492,483,321
2020,5,80,"2,811",310,325,231,219,100,160,119,180,193,269,193,182,199,131
2020,5,90,271,29,39,21,24,7,10,18,25,21,21,17,17,10,12
2020,5,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020,6,총,"88,015","4,877","16,838","2,798","5,586","1,227","1,919","1,853","2,599","2,614","8,155","6,895","12,540","10,488","9,626"
2020,6,0,"8,190",203,"2,144",101,240,35,48,53,94,99,777,647,"1,279","1,295","1,175"
2020,6,10,"8,211",310,"1,350",149,263,57,106,100,175,199,938,513,"1,262","1,291","1,498"
2020,6,20,"9,494",459,"1,401",223,626,87,192,172,222,230,858,715,"1,905","1,200","1,204"
2020,6,30,"13,231",451,"3,267",190,783,83,126,141,167,195,948,"1,333","2,551","1,588","1,408"
2020,6,40,"14,945",703,"3,225",327,914,139,198,238,332,332,"1,387","1,284","2,147","1,911","1,808"
2020,6,50,"14,433",907,"2,634",566,"1,176",184,353,368,530,489,"1,393","1,083","1,713","1,573","1,464"
2020,6,60,"10,317",898,"1,647",586,855,299,433,366,502,511,972,711,999,938,600
2020,6,70,"6,102",602,806,406,482,235,294,275,375,348,589,399,483,484,324
2020,6,80,"2,803",313,325,227,220,99,159,121,177,188,270,191,185,196,132
2020,6,90,275,29,39,23,25,8,10,17,24,22,21,19,16,10,12
2020,6,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020,7,총,"88,007","4,867","16,815","2,808","5,575","1,227","1,911","1,846","2,583","2,620","8,156","6,900","12,509","10,571","9,619"
2020,7,0,"8,163",197,"2,140",103,234,36,49,50,90,101,776,642,"1,260","1,314","1,171"
2020,7,10,"8,214",313,"1,342",147,260,56,107,102,173,199,941,516,"1,265","1,304","1,489"
2020,7,20,"9,462",457,"1,410",222,607,85,191,169,215,228,867,699,"1,899","1,206","1,207"
2020,7,30,"13,160",442,"3,234",194,793,83,122,136,166,194,928,"1,329","2,537","1,602","1,400"
2020,7,40,"14,976",700,"3,232",330,911,139,197,238,332,332,"1,388","1,296","2,147","1,919","1,815"
2020,7,50,"14,410",904,"2,626",563,"1,186",180,347,366,519,495,"1,389","1,090","1,708","1,578","1,459"
2020,7,60,"10,384",897,"1,654",593,854,304,432,366,506,511,983,717,"1,007",951,609
2020,7,70,"6,152",612,813,407,488,237,295,279,378,350,594,401,488,486,324
2020,7,80,"2,794",312,324,226,217,98,161,121,179,185,267,192,183,198,131
2020,7,90,278,31,40,23,23,8,10,17,24,24,21,18,15,11,13
2020,7,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020,8,총,"88,049","4,849","16,818","2,804","5,590","1,221","1,907","1,851","2,580","2,615","8,146","6,889","12,501","10,662","9,616"
2020,8,0,"8,157",196,"2,142",102,233,36,48,50,88,100,772,636,"1,252","1,332","1,170"
2020,8,10,"8,196",312,"1,329",145,261,56,107,101,174,197,939,514,"1,261","1,310","1,490"
2020,8,20,"9,433",450,"1,397",222,601,85,185,171,209,229,866,697,"1,891","1,225","1,205"
2020,8,30,"13,102",439,"3,210",193,799,81,124,134,167,191,918,"1,313","2,521","1,613","1,399"
2020,8,40,"14,999",693,"3,262",330,909,136,194,240,327,338,"1,390","1,289","2,149","1,928","1,814"
2020,8,50,"14,427",904,"2,626",559,"1,192",177,349,369,525,483,"1,379","1,097","1,711","1,601","1,455"
2020,8,60,"10,475",896,"1,665",595,862,307,434,368,510,515,"1,000",726,"1,031",953,613
2020,8,70,"6,163",609,816,408,492,236,296,280,376,352,596,405,487,488,322
2020,8,80,"2,803",318,329,229,218,97,160,120,179,185,262,193,181,199,133
2020,8,90,280,30,42,21,21,9,10,16,24,24,22,19,17,11,14
2020,8,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020,9,총,"88,009","4,811","16,826","2,809","5,612","1,219","1,903","1,852","2,588","2,620","8,102","6,891","12,480","10,677","9,619"
2020,9,0,"8,092",186,"2,134",100,232,36,44,49,88,101,760,629,"1,245","1,334","1,154"
2020,9,10,"8,207",315,"1,339",145,262,55,107,101,168,196,940,519,"1,258","1,310","1,492"
2020,9,20,"9,423",446,"1,385",222,617,84,185,171,215,230,853,696,"1,890","1,220","1,209"
2020,9,30,"13,018",429,"3,185",192,797,79,125,130,168,187,904,"1,311","2,511","1,621","1,379"
2020,9,40,"14,996",680,"3,271",331,909,135,189,242,328,338,"1,382","1,286","2,158","1,928","1,819"
2020,9,50,"14,472",909,"2,641",560,"1,196",181,345,367,528,489,"1,379","1,097","1,705","1,604","1,471"
2020,9,60,"10,513",892,"1,682",600,866,304,439,373,506,514,"1,002",733,"1,025",958,619
2020,9,70,"6,174",605,811,407,490,236,299,281,380,357,597,407,489,489,326
2020,9,80,"2,816",316,335,230,220,99,160,120,182,182,260,195,183,200,134
2020,9,90,284,31,43,22,21,9,10,16,24,25,23,18,16,11,15
2020,9,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020,10,총,"88,081","4,808","16,827","2,807","5,675","1,215","1,898","1,854","2,576","2,606","8,095","6,871","12,523","10,703","9,623"
2020,10,0,"8,021",184,"2,108",96,232,35,46,48,87,98,745,625,"1,243","1,332","1,142"
2020,10,10,"8,238",323,"1,338",147,268,54,106,99,166,192,955,514,"1,263","1,316","1,497"
2020,10,20,"9,417",442,"1,383",222,634,86,186,172,208,234,837,678,"1,908","1,223","1,204"
2020,10,30,"13,010",431,"3,187",187,801,77,125,129,172,186,900,"1,309","2,518","1,614","1,374"
2020,10,40,"15,004",677,"3,271",332,917,134,185,236,326,333,"1,389","1,284","2,175","1,922","1,823"
2020,10,50,"14,521",903,"2,662",553,"1,209",182,342,373,524,483,"1,382","1,098","1,704","1,624","1,482"
2020,10,60,"10,565",892,"1,682",606,880,301,439,379,508,518,"1,008",746,"1,019",963,624
2020,10,70,"6,186",610,816,410,493,237,302,280,377,352,595,404,494,490,326
2020,10,80,"2,824",315,337,230,218,99,157,121,183,184,260,195,183,207,135
2020,10,90,281,29,43,24,21,9,10,15,24,25,22,18,16,10,15
2020,10,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020,11,총,"88,140","4,803","16,819","2,803","5,713","1,218","1,896","1,841","2,594","2,593","8,084","6,839","12,566","10,751","9,620"
2020,11,0,"7,991",185,"2,100",94,227,37,45,47,86,95,734,614,"1,249","1,347","1,131"
2020,11,10,"8,244",329,"1,347",144,266,55,105,97,168,195,951,512,"1,261","1,314","1,500"
2020,11,20,"9,410",435,"1,382",222,638,85,183,165,208,234,837,672,"1,915","1,219","1,215"
2020,11,30,"12,956",432,"3,154",185,810,78,128,133,171,177,885,"1,299","2,513","1,635","1,356"
2020,11,40,"15,038",674,"3,289",328,926,131,186,233,329,334,"1,400","1,268","2,192","1,922","1,826"
2020,11,50,"14,560",901,"2,658",554,"1,221",180,341,362,535,474,"1,379","1,115","1,721","1,633","1,486"
2020,11,60,"10,615",893,"1,686",607,894,303,437,386,511,524,"1,015",745,"1,021",969,624
2020,11,70,"6,199",609,823,410,486,238,304,283,379,352,596,402,494,491,332
2020,11,80,"2,830",313,337,235,221,101,157,120,182,182,262,194,184,209,133
2020,11,90,283,30,43,24,22,9,10,13,24,25,23,18,16,10,16
2020,11,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020,12,총,"88,206","4,765","16,760","2,805","5,704","1,211","1,878","1,838","2,590","2,611","8,041","6,783","12,977","10,742","9,501"
2020,12,0,"7,950",178,"2,082",92,223,38,45,50,80,97,723,593,"1,305","1,343","1,101"
2020,12,10,"8,246",326,"1,342",144,268,54,103,95,170,191,948,503,"1,316","1,309","1,477"
2020,12,20,"9,376",421,"1,364",219,646,83,182,159,208,246,818,664,"1,937","1,212","1,217"
2020,12,30,"13,000",432,"3,131",187,796,77,121,135,169,170,869,"1,292","2,653","1,648","1,320"
2020,12,40,"15,023",671,"3,281",327,915,131,180,232,329,340,"1,396","1,255","2,258","1,918","1,790"
2020,12,50,"14,526",900,"2,651",556,"1,212",175,342,358,534,467,"1,365","1,114","1,756","1,615","1,481"
2020,12,60,"10,733",881,"1,708",610,912,301,430,393,516,532,"1,038",746,"1,051",984,631
2020,12,70,"6,221",609,817,410,485,242,304,283,375,359,600,402,504,496,335
2020,12,80,"2,829",314,342,234,222,99,161,118,185,182,260,196,181,204,131
2020,12,90,288,31,42,26,23,10,10,13,23,26,22,18,16,11,17
2020,12,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2021,1,총,"88,211","4,752","16,707","2,779","5,709","1,208","1,875","1,829","2,574","2,616","8,021","6,780","13,133","10,776","9,452"
2021,1,0,"7,873",171,"2,055",90,220,40,47,49,81,91,720,580,"1,309","1,325","1,095"
2021,1,10,"8,232",325,"1,348",143,256,52,100,96,167,185,939,499,"1,336","1,330","1,456"
2021,1,20,"9,340",416,"1,351",216,641,81,179,152,200,252,813,666,"1,964","1,209","1,200"
2021,1,30,"12,975",426,"3,086",176,797,75,127,135,168,172,859,"1,284","2,690","1,659","1,321"
2021,1,40,"15,048",678,"3,287",323,920,133,182,228,319,340,"1,399","1,246","2,294","1,927","1,772"
2021,1,50,"14,550",894,"2,655",542,"1,212",175,337,349,534,468,"1,354","1,132","1,778","1,627","1,493"
2021,1,60,"10,821",878,"1,719",619,935,299,432,403,519,535,"1,052",756,"1,059",985,630
2021,1,70,"6,223",616,822,410,478,243,299,283,376,360,595,400,506,499,336
2021,1,80,"2,847",314,343,234,225,98,162,119,187,187,266,198,181,203,130
2021,1,90,288,32,41,26,23,11,10,13,22,25,22,19,16,10,18
2021,1,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2021,2,총,"88,241","4,745","16,634","2,771","5,721","1,210","1,866","1,817","2,566","2,613","7,994","6,739","13,099","11,106","9,360"
2021,2,0,"7,817",172,"2,015",84,214,41,46,48,76,91,711,560,"1,281","1,428","1,050"
2021,2,10,"8,228",325,"1,351",145,256,51,98,96,165,183,929,504,"1,347","1,338","1,440"
2021,2,20,"9,287",412,"1,327",216,626,79,171,145,200,245,812,645,"1,955","1,236","1,218"
2021,2,30,"12,901",423,"3,043",170,796,75,125,135,161,173,845,"1,267","2,648","1,756","1,284"
2021,2,40,"15,104",678,"3,289",320,937,131,183,229,314,342,"1,399","1,252","2,296","1,979","1,755"
2021,2,50,"14,586",896,"2,657",545,"1,218",171,331,344,539,461,"1,352","1,131","1,794","1,657","1,490"
2021,2,60,"10,925",877,"1,747",622,954,306,438,399,520,542,"1,060",763,"1,070",995,632
2021,2,70,"6,219",612,822,410,468,242,299,287,379,362,590,402,508,501,337
2021,2,80,"2,867",315,340,234,227,102,164,119,188,188,272,195,185,204,134
2021,2,90,293,33,43,25,23,11,11,13,23,25,22,20,15,10,19
2021,2,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2021,3,총,"88,279","4,709","16,620","2,752","5,752","1,204","1,873","1,814","2,536","2,590","7,943","6,702","13,103","11,358","9,323"
2021,3,0,"7,770",172,"2,014",87,211,40,43,47,70,85,707,539,"1,266","1,468","1,021"
2021,3,10,"8,232",317,"1,363",142,265,49,100,95,167,176,922,509,"1,335","1,352","1,440"
2021,3,20,"9,296",407,"1,319",215,623,82,170,142,197,248,798,642,"1,954","1,271","1,228"
2021,3,30,"12,865",423,"2,998",164,792,77,127,132,152,170,842,"1,240","2,647","1,840","1,261"
2021,3,40,"15,075",675,"3,276",312,943,132,186,228,305,337,"1,378","1,252","2,305","2,006","1,740"
2021,3,50,"14,631",893,"2,692",543,"1,218",166,329,344,532,451,"1,359","1,132","1,793","1,684","1,495"
2021,3,60,"11,042",871,"1,755",622,976,307,444,408,525,550,"1,059",775,"1,092","1,018",640
2021,3,70,"6,191",608,829,405,469,236,300,286,375,361,580,396,504,501,341
2021,3,80,"2,875",311,332,237,230,103,163,119,188,186,275,197,192,205,137
2021,3,90,294,32,42,25,23,11,11,13,25,25,22,20,15,11,19
2021,3,100,8,0,0,0,2,1,0,0,0,1,1,0,0,2,1
2021,4,총,"88,408","4,703","16,663","2,752","5,772","1,204","1,867","1,819","2,543","2,585","7,905","6,692","13,137","11,442","9,324"
2021,4,0,"7,733",168,"2,004",86,212,39,44,45,68,79,707,533,"1,261","1,489",998
2021,4,10,"8,239",320,"1,375",143,263,47,98,97,172,174,913,508,"1,337","1,351","1,441"
2021,4,20,"9,283",407,"1,320",218,624,83,168,138,196,249,789,636,"1,948","1,267","1,240"
2021,4,30,"12,815",413,"2,985",160,780,75,127,134,150,171,822,"1,229","2,659","1,858","1,252"
2021,4,40,"15,123",671,"3,293",309,958,131,183,223,298,337,"1,386","1,260","2,307","2,032","1,735"
2021,4,50,"14,651",887,"2,691",543,"1,216",168,325,348,535,454,"1,358","1,136","1,807","1,682","1,501"
2021,4,60,"11,176",884,"1,783",629,993,308,450,414,532,553,"1,052",777,"1,107","1,040",654
2021,4,70,"6,194",609,834,404,471,236,297,287,378,357,581,393,503,500,344
2021,4,80,"2,889",311,336,235,231,105,163,120,188,184,275,200,192,211,138
2021,4,90,297,33,42,25,22,11,12,13,26,26,21,20,16,10,20
2021,4,100,8,0,0,0,2,1,0,0,0,1,1,0,0,2,1
2021,5,총,"88,477","4,680","16,702","2,748","5,771","1,205","1,862","1,811","2,540","2,579","7,908","6,698","13,135","11,510","9,328"
2021,5,0,"7,677",165,"1,990",85,209,38,43,42,68,79,699,526,"1,251","1,494",988
2021,5,10,"8,243",321,"1,379",144,264,46,95,97,168,170,919,508,"1,334","1,357","1,441"
2021,5,20,"9,287",400,"1,330",218,618,83,172,137,196,241,794,626,"1,951","1,272","1,249"
2021,5,30,"12,780",408,"2,963",157,771,79,127,130,148,177,812,"1,230","2,656","1,877","1,245"
2021,5,40,"15,096",662,"3,307",308,945,127,181,220,301,334,"1,379","1,258","2,303","2,043","1,728"
2021,5,50,"14,693",885,"2,705",534,"1,227",170,320,349,524,449,"1,364","1,143","1,818","1,695","1,510"
2021,5,60,"11,296",886,"1,813",633,"1,017",308,450,417,539,561,"1,059",792,"1,108","1,049",664
2021,5,70,"6,213",609,836,408,467,237,299,287,381,357,589,392,506,500,345
2021,5,80,"2,891",311,339,234,230,106,163,120,189,184,271,203,193,211,137
2021,5,90,293,33,40,27,21,10,12,12,26,26,21,20,15,10,20
2021,5,100,8,0,0,0,2,1,0,0,0,1,1,0,0,2,1
2021,6,총,"88,637","4,673","16,746","2,751","5,734","1,205","1,857","1,817","2,542","2,571","7,885","6,722","13,214","11,580","9,340"
2021,6,0,"7,632",164,"1,980",86,205,38,42,42,66,79,695,520,"1,246","1,490",979
2021,6,10,"8,254",321,"1,389",143,259,46,92,100,171,168,910,508,"1,334","1,373","1,440"
2021,6,20,"9,334",392,"1,333",214,626,83,175,136,194,240,796,637,"1,980","1,278","1,250"
2021,6,30,"12,756",411,"2,954",158,755,81,125,130,150,174,798,"1,219","2,664","1,893","1,244"
2021,6,40,"15,138",663,"3,324",312,933,124,177,218,301,334,"1,371","1,269","2,312","2,066","1,734"
2021,6,50,"14,684",878,"2,708",524,"1,215",171,321,346,514,449,"1,366","1,144","1,832","1,702","1,514"
2021,6,60,"11,397",888,"1,841",641,"1,025",306,450,422,546,562,"1,072",804,"1,119","1,048",673
2021,6,70,"6,238",611,838,411,466,235,299,291,383,358,585,393,518,507,343
2021,6,80,"2,906",311,340,237,228,110,163,120,191,183,270,208,192,212,141
2021,6,90,290,34,39,25,20,10,13,12,26,23,21,20,17,9,21
2021,6,100,8,0,0,0,2,1,0,0,0,1,1,0,0,2,1
2021,7,총,"88,753","4,671","16,785","2,753","5,725","1,213","1,858","1,819","2,534","2,567","7,873","6,721","13,246","11,647","9,341"
2021,7,0,"7,590",165,"1,964",85,198,38,44,43,67,78,690,521,"1,229","1,497",971
2021,7,10,"8,260",318,"1,409",142,255,47,89,100,162,169,913,508,"1,337","1,381","1,430"
2021,7,20,"9,376",393,"1,339",214,628,84,175,139,190,239,782,638,"2,014","1,285","1,256"
2021,7,30,"12,691",407,"2,935",157,753,80,122,125,154,177,792,"1,211","2,639","1,903","1,236"
2021,7,40,"15,154",660,"3,346",308,927,125,177,211,294,331,"1,366","1,270","2,338","2,069","1,732"
2021,7,50,"14,721",874,"2,715",524,"1,229",175,320,355,511,446,"1,366","1,142","1,825","1,714","1,525"
2021,7,60,"11,498",896,"1,854",647,"1,018",307,456,418,555,565,"1,087",813,"1,134","1,062",686
2021,7,70,"6,244",610,835,414,469,234,298,295,382,355,585,390,520,515,342
2021,7,80,"2,919",314,350,237,226,112,164,121,193,184,268,207,192,210,141
2021,7,90,291,34,38,24,20,10,13,12,26,22,23,21,18,9,21
2021,7,100,9,0,0,1,2,1,0,0,0,1,1,0,0,2,1
2021,8,총,"88,687","4,667","16,797","2,740","5,715","1,211","1,856","1,813","2,536","2,549","7,871","6,699","13,219","11,708","9,306"
2021,8,0,"7,551",167,"1,944",83,191,37,43,42,68,77,685,516,"1,225","1,506",967
2021,8,10,"8,278",314,"1,413",140,256,46,91,100,163,169,921,512,"1,339","1,390","1,424"
2021,8,20,"9,321",385,"1,344",214,623,81,174,135,184,232,779,632,"2,004","1,292","1,242"
2021,8,30,"12,609",408,"2,907",156,748,80,124,128,154,174,785,"1,200","2,615","1,917","1,213"
2021,8,40,"15,127",663,"3,349",307,914,123,178,206,295,323,"1,359","1,275","2,325","2,072","1,738"
2021,8,50,"14,779",863,"2,744",529,"1,238",176,318,354,509,449,"1,382","1,138","1,842","1,722","1,515"
2021,8,60,"11,548",910,"1,864",640,"1,031",310,456,420,559,561,"1,079",814,"1,140","1,067",697
2021,8,70,"6,261",607,844,413,470,235,298,297,382,360,587,385,517,520,346
2021,8,80,"2,913",312,352,233,223,112,161,119,195,182,270,207,193,212,142
2021,8,90,292,38,36,24,19,10,13,12,27,21,23,20,19,9,21
2021,8,100,8,0,0,1,2,1,0,0,0,1,1,0,0,1,1
2021,9,총,"88,678","4,670","16,778","2,735","5,737","1,202","1,858","1,819","2,536","2,539","7,881","6,715","13,220","11,735","9,253"
2021,9,0,"7,502",167,"1,929",83,193,37,42,41,67,74,682,516,"1,214","1,504",953
2021,9,10,"8,305",314,"1,428",139,258,44,89,101,161,166,930,518,"1,346","1,393","1,418"
2021,9,20,"9,224",381,"1,314",213,627,81,168,134,188,231,778,626,"1,981","1,282","1,220"
2021,9,30,"12,543",409,"2,899",156,741,78,125,129,151,169,771,"1,197","2,598","1,913","1,207"
2021,9,40,"15,131",664,"3,349",300,913,117,175,208,291,319,"1,361","1,281","2,342","2,093","1,718"
2021,9,50,"14,883",872,"2,754",528,"1,246",179,325,351,512,454,"1,389","1,151","1,863","1,732","1,527"
2021,9,60,"11,576",901,"1,872",644,"1,039",308,456,431,561,562,"1,086",814,"1,144","1,062",696
2021,9,70,"6,278",613,839,412,475,235,303,293,383,361,587,386,512,529,350
2021,9,80,"2,933",311,356,235,224,111,162,118,195,182,272,207,201,217,142
2021,9,90,295,38,38,24,19,11,13,13,27,20,24,19,19,9,21
2021,9,100,8,0,0,1,2,1,0,0,0,1,1,0,0,1,1
2021,10,총,"88,773","4,652","16,822","2,714","5,764","1,208","1,846","1,817","2,544","2,555","7,870","6,735","13,203","11,797","9,246"
2021,10,0,"7,451",162,"1,913",78,193,38,43,39,70,76,675,508,"1,207","1,511",938
2021,10,10,"8,306",312,"1,441",137,256,45,85,102,160,168,923,524,"1,340","1,396","1,417"
2021,10,20,"9,242",370,"1,319",209,626,81,167,128,191,234,786,630,"1,982","1,290","1,229"
2021,10,30,"12,517",411,"2,879",156,742,78,126,129,155,171,764,"1,191","2,590","1,919","1,206"
2021,10,40,"15,137",660,"3,378",294,917,117,169,208,288,321,"1,356","1,278","2,337","2,107","1,707"
2021,10,50,"14,974",873,"2,768",533,"1,264",178,326,355,512,454,"1,397","1,173","1,865","1,741","1,535"
2021,10,60,"11,601",904,"1,892",638,"1,044",313,455,429,556,563,"1,078",813,"1,144","1,073",699
2021,10,70,"6,305",613,837,413,477,234,301,298,390,364,591,384,518,531,354
2021,10,80,"2,939",308,357,232,225,112,161,115,195,183,276,214,201,220,140
2021,10,90,296,39,38,23,20,11,13,14,27,20,23,20,19,9,20
2021,10,100,5,0,0,1,0,1,0,0,0,1,1,0,0,0,1
2021,11,총,"88,885","4,611","16,873","2,720","5,741","1,212","1,841","1,809","2,534","2,623","7,862","6,758","13,211","11,842","9,248"
2021,11,0,"7,419",157,"1,915",73,193,38,41,40,69,86,667,503,"1,200","1,511",926
2021,11,10,"8,321",305,"1,446",141,252,45,83,99,162,173,926,531,"1,345","1,397","1,416"
2021,11,20,"9,228",367,"1,314",211,618,81,166,131,188,237,775,621,"1,982","1,300","1,237"
2021,11,30,"12,502",411,"2,879",156,731,79,129,128,153,180,759,"1,199","2,573","1,916","1,209"
2021,11,40,"15,147",640,"3,374",287,921,116,169,201,283,337,"1,348","1,284","2,357","2,123","1,707"
2021,11,50,"15,049",868,"2,792",534,"1,264",183,325,349,510,474,"1,401","1,186","1,869","1,753","1,541"
2021,11,60,"11,656",908,"1,909",643,"1,046",314,455,433,558,568,"1,081",816,"1,143","1,081",701
2021,11,70,"6,317",605,848,419,470,230,301,298,386,365,604,384,524,532,351
2021,11,80,"2,942",312,358,232,227,115,160,113,198,182,276,213,197,220,139
2021,11,90,302,38,38,24,19,11,12,17,27,21,24,21,21,9,20
2021,11,100,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
