년도,월,나이,통영시,산양읍,용남면,도산면,광도면,욕지면,한산면,사량면,도천동,명정동,중앙동,정량동,북신동,미수동,봉평동,무전동
2020,2,40,"21,773",588,"2,289",306,"6,384",283,199,126,"1,342",401,576,"1,398","1,598","2,067","1,581","2,635"
2020,2,50,"22,950",997,"2,132",532,"4,392",428,352,331,"1,797",626,864,"1,894","1,910","2,061","2,119","2,515"
2020,2,60,"19,407","1,030","1,531",730,"2,717",469,460,353,"1,590",653,900,"1,723","1,928","1,724","1,842","1,757"
2020,2,70,"10,899",719,918,527,"1,233",310,468,281,984,491,574,944,993,707,"1,031",719
2020,2,80,"4,574",406,432,279,502,164,280,191,370,173,230,317,336,265,396,233
2020,2,90,588,57,69,35,72,19,29,19,45,24,22,33,48,32,57,27
2020,2,100,25,2,1,0,0,0,1,2,3,1,1,3,5,1,4,1
2020,3,총,"130,450","4,832","12,890","2,961","31,225","2,076","2,073","1,515","9,152","3,128","4,168","9,258","10,795","11,669","10,646","14,062"
2020,3,0,"10,525",137,"1,375",76,"4,102",53,39,19,446,109,142,534,757,"1,018",562,"1,156"
2020,3,10,"12,962",219,"1,439",134,"3,909",106,62,39,849,198,241,687,974,"1,439",985,"1,681"
2020,3,20,"11,642",340,"1,124",181,"2,725",123,90,76,946,239,314,746,"1,029","1,071","1,023","1,615"
2020,3,30,"15,068",348,"1,594",164,"5,096",130,98,79,805,211,319,971,"1,213","1,286","1,042","1,712"
2020,3,40,"21,689",584,"2,274",297,"6,395",279,199,123,"1,342",394,568,"1,394","1,595","2,058","1,572","2,615"
2020,3,50,"22,871",982,"2,126",532,"4,438",428,349,332,"1,757",623,853,"1,875","1,891","2,055","2,118","2,512"
2020,3,60,"19,525","1,028","1,535",732,"2,754",466,457,353,"1,600",664,901,"1,742","1,942","1,734","1,846","1,771"
2020,3,70,"10,962",724,912,531,"1,231",306,468,281,994,490,577,955,"1,002",712,"1,043",736
2020,3,80,"4,586",409,440,279,504,168,281,192,363,175,230,318,336,264,393,234
2020,3,90,595,59,70,35,71,17,29,19,47,24,22,33,51,31,58,29
2020,3,100,25,2,1,0,0,0,1,2,3,1,1,3,5,1,4,1
2020,4,총,"130,221","4,806","12,910","2,955","31,267","2,064","2,064","1,507","9,101","3,100","4,158","9,212","10,811","11,616","10,608","14,042"
2020,4,0,"10,411",138,"1,374",74,"4,056",53,38,21,435,105,142,532,756,994,559,"1,134"
2020,4,10,"12,959",214,"1,443",133,"3,946",106,62,38,837,193,241,673,988,"1,436",984,"1,665"
2020,4,20,"11,595",338,"1,120",180,"2,729",119,88,71,942,231,310,737,"1,022","1,070","1,017","1,621"
2020,4,30,"14,946",343,"1,578",160,"5,066",126,95,80,790,206,313,968,"1,209","1,270","1,026","1,716"
2020,4,40,"21,627",579,"2,284",293,"6,411",278,198,122,"1,331",386,564,"1,372","1,605","2,032","1,562","2,610"
2020,4,50,"22,837",973,"2,135",533,"4,462",423,346,323,"1,752",623,852,"1,868","1,884","2,055","2,106","2,502"
2020,4,60,"19,608","1,025","1,544",735,"2,769",465,458,359,"1,601",660,904,"1,739","1,959","1,746","1,859","1,785"
2020,4,70,"10,998",724,918,531,"1,246",308,466,280,994,492,579,963,995,718,"1,038",746
2020,4,80,"4,605",411,442,280,508,169,284,191,369,178,229,320,337,262,393,232
2020,4,90,609,59,71,36,74,17,28,20,47,24,23,37,51,32,60,30
2020,4,100,26,2,1,0,0,0,1,2,3,2,1,3,5,1,4,1
2020,5,총,"129,997","4,798","12,888","2,943","31,243","2,060","2,062","1,509","9,056","3,106","4,161","9,161","10,818","11,573","10,566","14,053"
2020,5,0,"10,343",137,"1,369",71,"4,041",53,37,19,437,107,139,523,743,977,557,"1,133"
2020,5,10,"12,941",214,"1,442",132,"3,949",102,59,38,831,194,243,668,995,"1,422",984,"1,668"
2020,5,20,"11,494",332,"1,107",178,"2,721",119,92,72,923,236,306,731,"1,010","1,074",981,"1,612"
2020,5,30,"14,829",346,"1,560",160,"5,024",128,93,79,785,200,306,948,"1,206","1,254","1,031","1,709"
2020,5,40,"21,616",576,"2,291",286,"6,410",276,196,121,"1,319",386,572,"1,374","1,620","2,020","1,546","2,623"
2020,5,50,"22,829",972,"2,138",534,"4,479",424,346,322,"1,749",620,857,"1,847","1,883","2,049","2,097","2,512"
2020,5,60,"19,630","1,020","1,549",728,"2,787",463,458,363,"1,590",665,903,"1,744","1,959","1,749","1,862","1,790"
2020,5,70,"11,065",732,916,538,"1,247",309,462,282,"1,002",492,585,962,"1,009",733,"1,046",750
2020,5,80,"4,607",408,442,280,509,168,288,190,371,180,226,324,337,260,399,225
2020,5,90,616,59,73,36,76,18,29,21,46,24,23,37,51,34,59,30
2020,5,100,27,2,1,0,0,0,2,2,3,2,1,3,5,1,4,1
2020,6,총,"129,711","4,773","12,831","2,954","31,224","2,048","2,051","1,517","9,056","3,086","4,144","9,143","10,791","11,541","10,538","14,014"
2020,6,0,"10,251",133,"1,335",72,"4,014",49,36,20,437,103,140,523,740,973,550,"1,126"
2020,6,10,"12,922",216,"1,436",133,"3,959",103,58,38,831,191,244,664,996,"1,411",981,"1,661"
2020,6,20,"11,433",331,"1,096",177,"2,717",117,92,72,919,232,301,725,"1,007","1,072",976,"1,599"
2020,6,30,"14,689",336,"1,555",163,"4,961",127,93,78,781,197,303,932,"1,183","1,236","1,037","1,707"
2020,6,40,"21,587",569,"2,269",283,"6,439",273,186,121,"1,317",386,569,"1,385","1,629","2,008","1,534","2,619"
2020,6,50,"22,779",962,"2,145",530,"4,500",418,349,323,"1,743",614,851,"1,832","1,867","2,055","2,089","2,501"
2020,6,60,"19,706","1,028","1,560",738,"2,795",467,456,369,"1,600",660,899,"1,752","1,970","1,756","1,858","1,798"
2020,6,70,"11,090",729,921,539,"1,259",309,464,282,"1,006",494,583,964,"1,009",737,"1,047",747
2020,6,80,"4,613",409,439,282,503,167,287,191,373,183,230,326,336,259,403,225
2020,6,90,614,58,74,37,77,18,28,21,46,24,23,37,49,33,59,30
2020,6,100,27,2,1,0,0,0,2,2,3,2,1,3,5,1,4,1
2020,7,총,"129,558","4,763","12,819","2,941","31,197","2,049","2,054","1,521","9,045","3,061","4,139","9,130","10,761","11,503","10,541","14,034"
2020,7,0,"10,157",131,"1,311",69,"4,000",49,34,20,426,96,139,522,729,957,547,"1,127"
2020,7,10,"12,921",210,"1,440",133,"3,965",102,59,38,827,190,243,666,993,"1,404",983,"1,668"
2020,7,20,"11,407",329,"1,094",173,"2,715",113,93,71,932,229,296,725,994,"1,070",976,"1,597"
2020,7,30,"14,560",333,"1,541",163,"4,912",129,91,79,773,193,300,908,"1,176","1,223","1,036","1,703"
2020,7,40,"21,598",575,"2,276",281,"6,469",272,187,121,"1,315",381,568,"1,380","1,625","1,997","1,529","2,622"
2020,7,50,"22,694",951,"2,145",528,"4,479",415,347,324,"1,728",609,845,"1,839","1,858","2,051","2,085","2,490"
2020,7,60,"19,844","1,039","1,573",734,"2,810",472,459,370,"1,614",660,910,"1,759","1,982","1,770","1,872","1,820"
2020,7,70,"11,106",726,926,544,"1,267",313,465,285,"1,007",496,586,958,"1,012",731,"1,045",745
2020,7,80,"4,634",409,439,282,501,166,290,189,375,182,229,335,339,265,403,230
2020,7,90,610,58,73,34,79,18,27,22,45,23,22,35,48,34,61,31
2020,7,100,27,2,1,0,0,0,2,2,3,2,1,3,5,1,4,1
2020,8,총,"129,226","4,746","12,765","2,934","31,141","2,042","2,036","1,518","9,038","3,049","4,121","9,095","10,730","11,457","10,549","14,005"
2020,8,0,"10,063",128,"1,290",68,"3,986",48,30,21,421,96,138,515,722,943,540,"1,117"
2020,8,10,"12,887",207,"1,435",128,"3,960",101,58,39,823,188,237,674,991,"1,392",989,"1,665"
2020,8,20,"11,331",323,"1,090",173,"2,694",114,92,71,936,225,290,709,990,"1,062",976,"1,586"
2020,8,30,"14,414",328,"1,513",168,"4,886",127,89,76,767,190,296,894,"1,155","1,201","1,033","1,691"
2020,8,40,"21,552",568,"2,277",275,"6,461",269,177,122,"1,309",384,560,"1,381","1,625","1,983","1,535","2,626"
2020,8,50,"22,611",953,"2,140",528,"4,480",416,349,315,"1,722",605,842,"1,822","1,836","2,046","2,075","2,482"
2020,8,60,"20,006","1,041","1,582",736,"2,827",473,463,379,"1,625",663,923,"1,777","2,008","1,793","1,883","1,833"
2020,8,70,"11,085",725,929,542,"1,264",309,462,282,"1,008",490,585,951,"1,013",736,"1,046",743
2020,8,80,"4,640",413,437,282,499,168,289,189,379,184,227,335,338,265,407,228
2020,8,90,611,58,71,34,84,17,25,22,45,22,22,34,48,35,61,33
2020,8,100,26,2,1,0,0,0,2,2,3,2,1,3,4,1,4,1
2020,9,총,"129,064","4,739","12,730","2,932","31,141","2,041","2,037","1,523","9,005","3,036","4,085","9,090","10,727","11,429","10,544","14,005"
2020,9,0,"9,983",129,"1,272",67,"3,974",44,29,21,416,95,133,503,719,924,532,"1,125"
2020,9,10,"12,896",209,"1,433",130,"3,975",102,59,39,815,185,237,679,994,"1,396",987,"1,656"
2020,9,20,"11,287",312,"1,082",169,"2,675",115,90,69,932,227,289,705,989,"1,065",981,"1,587"
2020,9,30,"14,278",329,"1,506",166,"4,860",122,87,75,753,184,284,883,"1,143","1,185","1,029","1,672"
2020,9,40,"21,505",565,"2,264",279,"6,456",273,177,127,"1,298",387,555,"1,381","1,619","1,971","1,525","2,628"
2020,9,50,"22,565",946,"2,132",522,"4,486",418,352,315,"1,711",591,842,"1,828","1,836","2,042","2,061","2,483"
2020,9,60,"20,179","1,049","1,607",743,"2,874",470,467,381,"1,637",668,916,"1,784","2,023","1,804","1,906","1,850"
2020,9,70,"11,051",724,924,540,"1,253",313,456,280,"1,009",488,581,950,"1,013",735,"1,043",742
2020,9,80,"4,675",416,438,280,505,168,294,191,386,186,225,339,338,271,412,226
2020,9,90,619,58,71,36,83,16,24,23,45,23,22,35,49,35,64,35
2020,9,100,26,2,1,0,0,0,2,2,3,2,1,3,4,1,4,1
2020,10,총,"128,835","4,710","12,719","2,933","31,145","2,041","2,026","1,521","8,962","3,017","4,095","9,067","10,715","11,416","10,489","13,979"
2020,10,0,"9,847",129,"1,255",67,"3,931",44,26,20,413,93,131,495,712,913,512,"1,106"
2020,10,10,"12,873",205,"1,444",126,"3,976",101,59,39,807,184,243,673,997,"1,389",983,"1,647"
2020,10,20,"11,285",308,"1,080",174,"2,695",115,88,70,921,230,288,693,984,"1,075",977,"1,587"
2020,10,30,"14,109",326,"1,484",164,"4,802",119,86,74,741,182,286,884,"1,120","1,171","1,014","1,656"
2020,10,40,"21,458",559,"2,273",277,"6,487",276,171,122,"1,286",377,555,"1,368","1,624","1,955","1,514","2,614"
2020,10,50,"22,573",937,"2,129",525,"4,504",423,356,311,"1,703",584,849,"1,826","1,839","2,045","2,063","2,479"
2020,10,60,"20,296","1,051","1,624",745,"2,905",469,463,393,"1,642",671,913,"1,791","2,027","1,823","1,905","1,874"
2020,10,70,"11,059",718,914,533,"1,262",311,456,276,"1,014",482,582,955,"1,019",735,"1,052",750
2020,10,80,"4,694",419,444,286,503,166,294,191,386,189,226,343,339,273,405,230
2020,10,90,615,56,71,36,80,17,25,23,46,23,21,36,50,36,60,35
2020,10,100,26,2,1,0,0,0,2,2,3,2,1,3,4,1,4,1
2020,11,총,"128,595","4,694","12,674","2,922","31,145","2,031","2,022","1,513","8,953","3,011","4,055","9,046","10,672","11,399","10,472","13,986"
2020,11,0,"9,747",127,"1,234",67,"3,908",44,27,18,401,92,127,483,698,910,503,"1,108"
2020,11,10,"12,849",202,"1,439",126,"3,993",98,58,39,817,181,239,677,983,"1,386",978,"1,633"
2020,11,20,"11,284",304,"1,075",171,"2,699",118,88,70,909,225,281,686,"1,002","1,066",987,"1,603"
2020,11,30,"13,970",323,"1,469",162,"4,769",114,84,74,737,182,284,878,"1,106","1,155",999,"1,634"
2020,11,40,"21,414",552,"2,259",275,"6,488",271,171,122,"1,293",380,540,"1,363","1,609","1,945","1,523","2,623"
2020,11,50,"22,518",940,"2,140",524,"4,512",419,356,307,"1,684",574,840,"1,823","1,829","2,047","2,056","2,467"
2020,11,60,"20,415","1,053","1,628",742,"2,937",474,462,395,"1,657",682,915,"1,798","2,032","1,836","1,908","1,896"
2020,11,70,"11,045",715,914,531,"1,258",306,450,273,"1,014",482,582,955,"1,016",743,"1,054",752
2020,11,80,"4,711",423,445,289,501,169,297,189,392,187,225,345,344,274,399,232
2020,11,90,615,53,70,35,80,18,27,24,46,24,21,35,49,35,61,37
2020,11,100,27,2,1,0,0,0,2,2,3,2,1,3,4,2,4,1
2020,12,총,"128,293","4,677","12,668","2,933","31,088","2,018","2,025","1,506","8,932","2,993","4,044","9,043","10,658","11,347","10,441","13,920"
2020,12,0,"9,660",124,"1,226",72,"3,879",42,31,17,396,91,126,481,695,896,489,"1,095"
2020,12,10,"12,848",204,"1,440",127,"4,000",97,54,39,816,180,236,684,986,"1,382",981,"1,622"
2020,12,20,"11,223",295,"1,075",171,"2,697",115,92,67,909,223,280,687,"1,003","1,047",975,"1,587"
2020,12,30,"13,820",323,"1,452",160,"4,707",112,84,75,726,180,287,871,"1,096","1,137",991,"1,619"
2020,12,40,"21,331",549,"2,259",276,"6,495",270,163,120,"1,287",375,528,"1,346","1,603","1,942","1,525","2,593"
2020,12,50,"22,474",934,"2,144",529,"4,525",417,356,304,"1,672",562,840,"1,822","1,811","2,041","2,043","2,474"
2020,12,60,"20,489","1,058","1,634",745,"2,942",477,472,393,"1,661",686,917,"1,807","2,043","1,843","1,910","1,901"
2020,12,70,"11,068",715,918,528,"1,257",302,449,275,"1,021",479,578,965,"1,018",745,"1,061",757
2020,12,80,"4,736",420,447,291,510,168,296,190,397,189,229,342,349,277,400,231
2020,12,90,616,53,72,34,76,18,26,24,44,26,22,35,50,35,62,39
2020,12,100,28,2,1,0,0,0,2,2,3,2,1,3,4,2,4,2
2021,1,총,"128,084","4,650","12,628","2,937","31,114","2,004","2,019","1,505","8,897","2,990","4,031","9,019","10,620","11,285","10,456","13,929"
2021,1,0,"9,560",121,"1,214",74,"3,854",42,29,19,379,90,125,474,685,880,489,"1,085"
2021,1,10,"12,832",205,"1,425",125,"4,010",95,53,39,818,180,233,684,985,"1,383",967,"1,630"
2021,1,20,"11,171",294,"1,074",173,"2,698",106,90,64,881,218,281,681,994,"1,030",982,"1,605"
2021,1,30,"13,686",313,"1,441",158,"4,674",109,83,73,721,177,282,855,"1,086","1,116",997,"1,601"
2021,1,40,"21,305",548,"2,246",275,"6,536",269,163,119,"1,278",374,534,"1,336","1,591","1,928","1,520","2,588"
2021,1,50,"22,386",926,"2,145",526,"4,524",415,354,303,"1,661",562,828,"1,810","1,791","2,037","2,029","2,475"
2021,1,60,"20,630","1,060","1,646",751,"2,964",483,473,395,"1,678",692,916,"1,830","2,055","1,844","1,930","1,913"
2021,1,70,"11,099",711,919,527,"1,264",298,447,274,"1,026",476,581,964,"1,028",751,"1,071",762
2021,1,80,"4,762",417,443,294,515,166,298,192,405,193,229,345,350,282,402,231
2021,1,90,625,53,74,34,75,21,27,25,47,26,21,37,51,32,65,37
2021,1,100,28,2,1,0,0,0,2,2,3,2,1,3,4,2,4,2
2021,2,총,"127,720","4,643","12,596","2,935","31,046","2,009","2,016","1,497","8,875","2,990","4,001","9,006","10,582","11,239","10,415","13,870"
2021,2,0,"9,462",117,"1,203",72,"3,807",45,32,18,374,89,118,469,688,867,485,"1,078"
2021,2,10,"12,751",208,"1,424",124,"3,988",96,51,37,813,181,228,678,979,"1,371",964,"1,609"
2021,2,20,"11,091",292,"1,072",173,"2,702",107,88,63,879,215,280,679,976,"1,011",963,"1,591"
2021,2,30,"13,476",314,"1,422",157,"4,588",108,80,69,710,178,275,841,"1,068","1,109",979,"1,578"
2021,2,40,"21,250",537,"2,233",275,"6,557",269,163,115,"1,272",373,528,"1,336","1,589","1,910","1,520","2,573"
2021,2,50,"22,364",932,"2,145",520,"4,543",412,351,306,"1,660",561,821,"1,806","1,786","2,030","2,015","2,476"
2021,2,60,"20,719","1,057","1,660",758,"2,987",483,477,396,"1,674",691,915,"1,842","2,056","1,859","1,933","1,931"
2021,2,70,"11,120",706,922,524,"1,272",301,439,271,"1,033",479,581,963,"1,034",761,"1,070",764
2021,2,80,"4,825",423,440,296,528,167,305,194,407,195,234,351,350,287,416,232
2021,2,90,634,55,74,36,74,21,28,26,50,26,20,38,52,32,66,36
2021,2,100,28,2,1,0,0,0,2,2,3,2,1,3,4,2,4,2
2021,3,총,"126,988","4,628","12,579","2,898","30,955","1,986","1,983","1,483","8,815","2,936","3,933","8,938","10,504","11,201","10,337","13,812"
2021,3,0,"9,346",115,"1,197",69,"3,772",46,30,18,368,89,117,463,679,853,472,"1,058"
2021,3,10,"12,678",208,"1,435",123,"3,979",94,49,33,806,178,219,665,956,"1,360",960,"1,613"
2021,3,20,"10,962",282,"1,058",173,"2,681",108,83,65,876,215,269,655,958,"1,012",956,"1,571"
2021,3,30,"13,294",306,"1,402",148,"4,564",106,79,67,689,169,263,832,"1,060","1,097",956,"1,556"
2021,3,40,"21,097",534,"2,236",267,"6,550",262,160,110,"1,255",361,522,"1,317","1,556","1,905","1,504","2,558"
2021,3,50,"22,196",924,"2,129",513,"4,530",400,345,301,"1,644",551,800,"1,800","1,773","2,026","1,999","2,461"
2021,3,60,"20,772","1,065","1,678",747,"3,002",488,472,401,"1,673",676,909,"1,843","2,067","1,864","1,934","1,953"
2021,3,70,"11,139",711,923,522,"1,276",295,434,267,"1,041",478,577,966,"1,043",766,"1,066",774
2021,3,80,"4,848",426,453,299,524,168,301,192,412,190,236,355,354,283,423,232
2021,3,90,640,55,68,37,77,19,29,28,51,27,21,39,54,33,67,35
2021,3,100,16,2,0,0,0,0,1,1,0,2,0,3,4,2,0,1
2021,4,총,"126,798","4,613","12,512","2,888","30,972","1,991","1,980","1,481","8,800","2,914","3,921","8,928","10,491","11,173","10,320","13,814"
2021,4,0,"9,232",109,"1,181",72,"3,729",46,29,18,365,86,114,455,674,836,469,"1,049"
2021,4,10,"12,679",211,"1,421",118,"4,006",95,49,32,802,174,219,660,953,"1,364",960,"1,615"
2021,4,20,"10,911",284,"1,047",165,"2,687",107,83,66,873,214,265,648,955,"1,010",949,"1,558"
2021,4,30,"13,221",302,"1,386",150,"4,536",106,76,67,686,164,263,833,"1,054","1,086",951,"1,561"
2021,4,40,"21,058",529,"2,222",266,"6,569",260,163,109,"1,250",363,505,"1,310","1,552","1,901","1,499","2,560"
2021,4,50,"22,141",917,"2,127",505,"4,524",404,341,304,"1,635",540,803,"1,808","1,759","2,014","1,998","2,462"
2021,4,60,"20,844","1,066","1,688",756,"3,029",488,474,400,"1,682",669,916,"1,844","2,074","1,872","1,934","1,952"
2021,4,70,"11,181",711,920,519,"1,287",293,432,263,"1,046",486,574,975,"1,052",771,"1,065",787
2021,4,80,"4,867",425,450,300,529,174,301,192,408,188,242,353,359,283,429,234
2021,4,90,648,57,70,37,76,18,31,29,53,28,20,39,55,34,66,35
2021,4,100,16,2,0,0,0,0,1,1,0,2,0,3,4,2,0,1
2021,5,총,"126,587","4,614","12,510","2,865","30,969","1,986","1,985","1,471","8,767","2,882","3,930","8,884","10,506","11,161","10,253","13,804"
2021,5,0,"9,151",106,"1,176",68,"3,711",44,28,18,368,86,113,444,672,827,456,"1,034"
2021,5,10,"12,655",208,"1,424",113,"4,017",93,52,29,799,168,216,660,952,"1,368",941,"1,615"
2021,5,20,"10,892",287,"1,045",163,"2,699",106,83,64,871,211,268,642,945,"1,001",944,"1,563"
2021,5,30,"13,076",300,"1,371",143,"4,509",103,75,68,671,161,262,815,"1,054","1,072",935,"1,537"
2021,5,40,"21,015",529,"2,232",263,"6,574",261,165,107,"1,243",351,506,"1,304","1,544","1,908","1,476","2,552"
2021,5,50,"22,108",909,"2,126",502,"4,520",408,339,298,"1,624",533,793,"1,798","1,770","2,016","1,992","2,480"
2021,5,60,"20,928","1,077","1,688",755,"3,046",489,477,402,"1,686",671,930,"1,836","2,090","1,879","1,943","1,959"
2021,5,70,"11,205",711,925,520,"1,290",288,434,262,"1,043",483,574,990,"1,051",772,"1,068",794
2021,5,80,"4,894",428,454,299,525,176,302,194,408,187,248,353,370,285,432,233
2021,5,90,646,56,69,39,78,18,29,28,54,29,20,39,54,32,66,35
2021,5,100,17,3,0,0,0,0,1,1,0,2,0,3,4,1,0,2
2021,6,총,"126,413","4,602","12,473","2,850","30,948","1,984","1,986","1,463","8,802","2,873","3,907","8,869","10,517","11,129","10,214","13,796"
2021,6,0,"9,062",105,"1,154",67,"3,669",44,27,17,383,86,112,440,668,816,448,"1,026"
2021,6,10,"12,669",205,"1,427",113,"4,035",92,54,28,806,164,213,657,962,"1,361",947,"1,605"
2021,6,20,"10,848",289,"1,041",159,"2,707",105,83,64,863,209,262,636,937,"1,001",931,"1,561"
2021,6,30,"12,995",296,"1,367",141,"4,479",103,75,67,675,158,259,810,"1,045","1,058",921,"1,541"
2021,6,40,"20,954",526,"2,216",264,"6,568",260,160,105,"1,239",353,498,"1,296","1,544","1,909","1,473","2,543"
2021,6,50,"22,044",904,"2,118",494,"4,519",405,337,294,"1,628",528,790,"1,791","1,783","2,012","1,981","2,460"
2021,6,60,"21,041","1,079","1,691",751,"3,082",492,484,404,"1,701",669,924,"1,843","2,097","1,890","1,945","1,989"
2021,6,70,"11,214",712,930,522,"1,289",286,433,258,"1,043",484,577,995,"1,052",767,"1,066",800
2021,6,80,"4,916",428,460,300,520,180,302,196,411,190,252,359,368,280,436,234
2021,6,90,653,55,69,39,80,17,30,29,53,30,20,39,57,34,66,35
2021,6,100,17,3,0,0,0,0,1,1,0,2,0,3,4,1,0,2
2021,7,총,"126,312","4,595","12,448","2,860","30,972","1,986","1,978","1,456","8,811","2,874","3,884","8,849","10,517","11,113","10,198","13,771"
2021,7,0,"8,975",104,"1,140",65,"3,641",44,27,17,383,89,110,436,665,797,443,"1,014"
2021,7,10,"12,681",204,"1,430",113,"4,054",94,54,27,801,163,207,652,964,"1,367",955,"1,596"
2021,7,20,"10,798",288,"1,036",162,"2,696",106,80,59,860,207,264,642,933,"1,003",915,"1,547"
2021,7,30,"12,920",299,"1,335",144,"4,465",99,75,67,673,157,257,808,"1,045","1,046",914,"1,536"
2021,7,40,"20,955",522,"2,223",264,"6,572",258,162,105,"1,243",351,496,"1,289","1,546","1,896","1,481","2,547"
2021,7,50,"21,982",905,"2,124",493,"4,525",410,334,291,"1,626",530,769,"1,780","1,767","2,017","1,966","2,445"
2021,7,60,"21,173","1,074","1,701",759,"3,116",488,484,403,"1,714",675,932,"1,852","2,110","1,900","1,955","2,010"
2021,7,70,"11,222",709,929,521,"1,299",290,433,258,"1,049",477,575,989,"1,056",768,"1,063",806
2021,7,80,"4,930",431,461,301,522,180,299,199,409,193,254,359,367,284,437,234
2021,7,90,658,56,68,38,82,17,29,29,53,30,20,39,60,34,69,34
2021,7,100,18,3,1,0,0,0,1,1,0,2,0,3,4,1,0,2
2021,8,총,"126,141","4,614","12,428","2,857","30,982","1,982","1,974","1,450","8,797","2,858","3,875","8,823","10,508","11,089","10,176","13,728"
2021,8,0,"8,899",105,"1,124",64,"3,617",44,29,18,388,92,108,428,670,777,439,996
2021,8,10,"12,678",210,"1,441",110,"4,075",93,54,27,791,161,207,641,957,"1,372",950,"1,589"
2021,8,20,"10,773",290,"1,025",162,"2,686",111,78,59,861,202,261,654,929,997,911,"1,547"
2021,8,30,"12,793",297,"1,323",142,"4,432",98,74,66,661,160,254,795,"1,032","1,034",903,"1,522"
2021,8,40,"20,926",521,"2,227",265,"6,584",253,163,106,"1,240",342,491,"1,276","1,552","1,890","1,477","2,539"
2021,8,50,"21,915",910,"2,110",496,"4,530",411,327,288,"1,621",524,757,"1,775","1,754","2,008","1,952","2,452"
2021,8,60,"21,273","1,078","1,711",756,"3,149",484,487,403,"1,718",678,944,"1,855","2,115","1,921","1,971","2,003"
2021,8,70,"11,245",709,932,522,"1,303",291,432,258,"1,053",472,574,995,"1,067",762,"1,063",812
2021,8,80,"4,967",434,463,305,527,180,300,192,410,196,260,362,368,293,444,233
2021,8,90,654,57,71,35,79,17,29,32,54,29,19,39,60,34,66,33
2021,8,100,18,3,1,0,0,0,1,1,0,2,0,3,4,1,0,2
2021,9,총,"125,881","4,598","12,397","2,853","31,025","1,979","1,964","1,444","8,747","2,855","3,861","8,790","10,449","11,071","10,144","13,704"
2021,9,0,"8,809",106,"1,110",64,"3,598",43,28,18,380,93,104,424,663,763,428,987
2021,9,10,"12,654",206,"1,444",106,"4,083",93,54,25,785,164,205,627,948,"1,383",943,"1,588"
2021,9,20,"10,640",283,"1,012",160,"2,670",108,74,57,848,194,258,657,913,971,904,"1,531"
2021,9,30,"12,663",292,"1,309",143,"4,388",98,72,64,645,161,249,788,"1,024","1,021",895,"1,514"
2021,9,40,"20,907",518,"2,215",261,"6,624",253,163,106,"1,232",334,494,"1,271","1,554","1,892","1,467","2,523"
2021,9,50,"21,931",914,"2,112",502,"4,559",413,324,288,"1,614",530,757,"1,762","1,735","2,010","1,954","2,457"
2021,9,60,"21,307","1,075","1,722",756,"3,179",480,482,403,"1,725",676,939,"1,853","2,108","1,931","1,969","2,009"
2021,9,70,"11,298",708,932,520,"1,316",294,436,257,"1,051",472,573,995,"1,075",772,"1,073",824
2021,9,80,"4,991",435,468,304,529,181,301,193,412,200,263,368,365,292,445,235
2021,9,90,663,58,72,37,79,16,29,32,55,29,19,42,60,35,66,34
2021,9,100,18,3,1,0,0,0,1,1,0,2,0,3,4,1,0,2
