년도,월,나이,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020,8,30,"4,538",200,83,77,146,132,181,118,140,55,91,160,372,251,306,"1,159","1,067"
2020,8,40,"6,385",351,101,87,210,224,250,155,212,110,182,297,556,372,453,"1,558","1,267"
2020,8,50,"9,037",695,268,212,444,457,449,400,415,236,360,404,704,433,766,"1,676","1,118"
2020,8,60,"9,011",843,354,296,656,456,387,515,526,317,471,412,759,407,747,"1,213",652
2020,8,70,"6,243",609,300,279,460,261,265,393,433,275,300,340,496,224,557,651,400
2020,8,80,"4,623",451,283,273,398,150,216,361,376,246,218,208,279,168,318,381,297
2020,8,90,730,67,31,48,61,29,41,61,56,33,32,41,39,28,45,64,54
2020,8,100,47,3,5,3,3,1,1,4,7,3,4,2,5,1,2,1,2
2020,9,총,"52,536","3,733","1,627","1,439","2,758","2,005","2,268","2,267","2,539","1,478","1,809","2,365","4,222","2,738","3,981","9,955","7,352"
2020,9,0,"2,848",120,59,32,87,63,106,56,80,35,41,91,213,180,149,703,833
2020,9,10,"4,043",204,47,66,138,85,181,104,155,82,47,162,371,285,271,"1,022",823
2020,9,20,"5,051",187,100,66,152,146,184,104,141,88,67,256,425,389,372,"1,512",862
2020,9,30,"4,496",196,82,75,145,133,177,115,138,55,90,164,369,250,298,"1,151","1,058"
2020,9,40,"6,372",350,100,89,205,225,249,158,213,109,182,288,563,373,451,"1,557","1,260"
2020,9,50,"9,013",700,264,210,448,450,451,398,411,233,359,402,700,429,761,"1,686","1,111"
2020,9,60,"9,071",837,358,299,662,461,398,520,531,322,472,412,758,407,753,"1,224",657
2020,9,70,"6,233",611,297,277,456,261,266,384,431,274,300,338,495,229,557,657,400
2020,9,80,"4,620",456,284,273,399,151,214,357,374,244,215,208,285,167,322,379,292
2020,9,90,741,69,31,49,63,29,41,67,58,33,31,42,38,28,45,63,54
2020,9,100,48,3,5,3,3,1,1,4,7,3,5,2,5,1,2,1,2
2020,10,총,"52,430","3,732","1,625","1,436","2,738","2,022","2,261","2,256","2,526","1,479","1,798","2,351","4,214","2,734","3,977","9,930","7,351"
2020,10,0,"2,820",121,57,32,84,66,104,55,76,34,42,91,207,176,151,685,839
2020,10,10,"4,021",201,46,66,138,83,181,101,154,85,46,161,363,286,273,"1,014",823
2020,10,20,"5,041",188,98,63,145,150,184,103,139,90,67,251,432,386,373,"1,511",861
2020,10,30,"4,469",197,84,75,139,136,175,115,136,52,91,166,369,247,293,"1,146","1,048"
2020,10,40,"6,331",346,98,90,205,226,247,157,204,109,183,281,555,377,451,"1,556","1,246"
2020,10,50,"9,005",693,266,210,444,458,448,395,410,235,359,400,699,427,758,"1,688","1,115"
2020,10,60,"9,107",846,357,297,665,465,399,520,538,321,463,407,764,411,761,"1,229",664
2020,10,70,"6,214",613,299,277,456,261,263,379,430,272,298,340,493,227,549,658,399
2020,10,80,"4,627",458,283,273,393,148,216,361,373,245,211,210,285,168,323,380,300
2020,10,90,747,66,32,50,66,28,43,66,59,33,33,42,42,28,43,62,54
2020,10,100,48,3,5,3,3,1,1,4,7,3,5,2,5,1,2,1,2
2020,11,총,"52,342","3,717","1,623","1,438","2,728","2,010","2,258","2,253","2,534","1,480","1,795","2,340","4,220","2,724","3,955","9,940","7,327"
2020,11,0,"2,800",123,57,35,84,64,100,53,76,34,40,91,204,178,153,681,827
2020,11,10,"3,979",197,46,66,132,82,179,102,152,82,45,159,362,286,267,"1,002",820
2020,11,20,"5,055",187,97,65,147,146,189,105,142,91,69,250,438,381,367,"1,521",860
2020,11,30,"4,434",196,83,76,137,132,171,112,133,55,89,166,374,246,289,"1,145","1,030"
2020,11,40,"6,301",341,99,91,206,222,245,162,204,105,180,280,550,374,444,"1,552","1,246"
2020,11,50,"8,992",694,265,209,442,454,447,388,410,232,361,398,701,427,757,"1,692","1,115"
2020,11,60,"9,139",847,355,297,671,466,402,517,546,326,460,403,764,412,763,"1,240",670
2020,11,70,"6,215",608,302,275,447,265,264,385,426,273,301,338,493,225,551,660,402
2020,11,80,"4,626",453,283,270,395,148,217,358,377,246,212,212,286,167,320,381,301
2020,11,90,752,68,31,51,64,30,43,67,61,33,33,40,42,27,43,65,54
2020,11,100,49,3,5,3,3,1,1,4,7,3,5,3,6,1,1,1,2
2020,12,총,"52,248","3,698","1,617","1,432","2,718","2,002","2,257","2,260","2,530","1,476","1,788","2,321","4,237","2,713","3,960","9,912","7,327"
2020,12,0,"2,773",121,56,35,83,63,100,52,78,33,39,89,203,172,155,662,832
2020,12,10,"3,939",194,43,66,127,79,178,98,150,82,45,151,367,286,267,993,813
2020,12,20,"5,045",185,96,63,146,139,185,111,144,94,68,255,435,375,356,"1,529",864
2020,12,30,"4,426",201,81,76,137,135,168,113,134,53,91,166,376,248,291,"1,134","1,022"
2020,12,40,"6,277",331,103,92,203,218,252,161,202,106,177,274,553,369,443,"1,548","1,245"
2020,12,50,"8,945",680,265,201,429,451,443,389,401,232,358,399,703,425,760,"1,692","1,117"
2020,12,60,"9,223",854,358,301,683,472,408,521,557,324,461,398,767,417,775,"1,249",678
2020,12,70,"6,214",610,298,278,448,264,265,386,420,268,301,342,499,228,551,661,395
2020,12,80,"4,593",450,279,267,393,148,217,355,376,247,211,204,284,165,317,376,304
2020,12,90,764,69,33,50,66,32,40,70,61,34,32,40,44,27,44,67,55
2020,12,100,49,3,5,3,3,1,1,4,7,3,5,3,6,1,1,1,2
2021,1,총,"52,169","3,696","1,612","1,430","2,719","2,008","2,260","2,254","2,516","1,465","1,777","2,329","4,222","2,698","3,955","9,895","7,333"
2021,1,0,"2,753",120,55,35,81,60,98,51,76,32,38,88,203,168,154,663,831
2021,1,10,"3,942",196,44,70,128,79,185,94,147,81,42,152,362,290,268,985,819
2021,1,20,"4,995",180,94,61,143,137,184,113,146,90,67,265,433,359,354,"1,522",847
2021,1,30,"4,385",199,77,75,138,137,163,112,130,53,90,165,364,243,287,"1,131","1,021"
2021,1,40,"6,288",332,104,92,199,218,254,162,199,106,177,268,556,373,447,"1,551","1,250"
2021,1,50,"8,891",670,262,202,431,453,441,376,398,230,350,402,702,423,756,"1,682","1,113"
2021,1,60,"9,262",858,359,296,683,474,411,527,557,325,465,399,771,419,769,"1,262",687
2021,1,70,"6,222",611,300,280,450,266,261,386,417,268,302,342,494,229,552,663,401
2021,1,80,"4,613",455,278,266,396,152,220,360,379,242,207,204,287,164,324,372,307
2021,1,90,769,72,33,50,67,31,43,69,60,35,34,41,44,29,43,63,55
2021,1,100,49,3,6,3,3,1,0,4,7,3,5,3,6,1,1,1,2
2021,2,총,"52,142","3,673","1,615","1,433","2,724","2,013","2,265","2,254","2,505","1,469","1,776","2,323","4,220","2,701","3,971","9,896","7,304"
2021,2,0,"2,736",117,55,35,79,57,99,51,76,32,38,86,206,165,156,651,833
2021,2,10,"3,906",191,44,66,130,81,182,96,143,84,42,147,352,292,261,990,805
2021,2,20,"4,971",177,93,62,142,142,187,110,140,90,65,265,437,347,358,"1,523",833
2021,2,30,"4,350",193,77,75,136,135,158,113,130,53,88,160,362,244,289,"1,113","1,024"
2021,2,40,"6,264",325,106,90,198,221,254,162,194,104,174,261,552,380,453,"1,553","1,237"
2021,2,50,"8,897",667,263,204,432,451,442,369,398,230,349,406,702,425,756,"1,693","1,110"
2021,2,60,"9,334",864,359,301,690,476,414,530,559,327,467,408,776,420,774,"1,265",704
2021,2,70,"6,220",612,297,277,446,268,259,388,419,268,307,341,491,227,551,669,400
2021,2,80,"4,640",452,282,267,400,150,225,362,380,242,207,206,293,170,329,375,300
2021,2,90,775,72,33,53,68,31,45,69,60,36,34,40,42,30,43,63,56
2021,2,100,49,3,6,3,3,1,0,4,6,3,5,3,7,1,1,1,2
2021,3,총,"51,867","3,640","1,583","1,437","2,677","2,011","2,259","2,218","2,502","1,450","1,770","2,293","4,190","2,695","3,950","9,912","7,280"
2021,3,0,"2,722",117,55,35,80,57,100,51,77,31,39,85,204,164,149,656,822
2021,3,10,"3,912",191,41,64,132,80,181,93,147,82,42,142,353,297,262,"1,004",801
2021,3,20,"4,969",177,95,67,130,143,183,109,140,89,64,270,431,352,361,"1,538",820
2021,3,30,"4,320",191,78,75,136,135,158,110,127,52,85,160,368,241,283,"1,111","1,010"
2021,3,40,"6,206",319,102,89,194,222,250,158,195,102,171,255,540,376,458,"1,533","1,242"
2021,3,50,"8,799",655,256,201,417,440,442,358,395,222,343,396,705,415,748,"1,689","1,117"
2021,3,60,"9,353",866,354,306,684,487,415,526,565,326,471,411,762,420,771,"1,280",709
2021,3,70,"6,162",601,287,275,439,266,257,384,412,266,311,332,490,227,548,666,401
2021,3,80,"4,618",455,278,267,397,149,227,360,376,243,204,201,291,169,329,371,301
2021,3,90,776,67,34,55,68,31,46,68,62,34,35,41,42,33,41,64,55
2021,3,100,30,1,3,3,0,1,0,1,6,3,5,0,4,1,0,0,2
2021,4,총,"51,857","3,624","1,574","1,442","2,681","2,017","2,261","2,221","2,508","1,448","1,766","2,291","4,194","2,698","3,954","9,940","7,238"
2021,4,0,"2,708",116,54,33,79,56,103,54,76,32,40,87,203,162,146,661,806
2021,4,10,"3,903",191,39,66,129,84,181,94,143,82,42,142,347,299,259,"1,004",801
2021,4,20,"4,971",179,94,65,131,146,182,108,147,89,60,274,439,353,355,"1,537",812
2021,4,30,"4,299",184,81,75,140,134,156,108,126,53,86,158,367,241,282,"1,116",992
2021,4,40,"6,220",317,101,91,190,224,256,160,197,99,171,253,543,378,460,"1,537","1,243"
2021,4,50,"8,757",643,253,201,422,438,434,353,399,223,339,392,700,414,740,"1,689","1,117"
2021,4,60,"9,416",869,355,311,681,488,423,533,563,324,479,410,767,420,791,"1,289",713
2021,4,70,"6,142",602,285,278,441,264,254,376,411,265,310,331,486,227,551,665,396
2021,4,80,"4,622",454,275,263,397,150,225,367,376,244,198,203,296,168,328,377,301
2021,4,90,789,68,34,56,71,32,47,67,64,34,36,41,42,35,42,65,55
2021,4,100,30,1,3,3,0,1,0,1,6,3,5,0,4,1,0,0,2
2021,5,총,"51,828","3,624","1,567","1,440","2,674","2,020","2,252","2,218","2,504","1,439","1,762","2,289","4,195","2,709","3,951","9,935","7,249"
2021,5,0,"2,692",116,55,31,78,60,99,53,76,31,41,85,207,162,148,646,804
2021,5,10,"3,893",193,38,66,127,81,183,93,145,79,42,140,348,300,256,996,806
2021,5,20,"4,965",182,89,65,131,146,181,110,144,89,60,274,436,354,353,"1,544",807
2021,5,30,"4,272",184,83,71,135,134,148,103,127,51,85,163,363,239,281,"1,115",990
2021,5,40,"6,180",312,97,88,183,218,258,157,200,96,166,252,546,381,455,"1,531","1,240"
2021,5,50,"8,734",629,254,201,429,440,429,355,391,225,339,383,697,415,738,"1,692","1,117"
2021,5,60,"9,479",879,352,315,680,492,425,536,566,322,480,418,763,425,793,"1,302",731
2021,5,70,"6,141",604,285,275,437,264,252,376,407,267,308,329,491,228,559,662,397
2021,5,80,"4,644",456,275,268,402,152,230,366,382,241,199,204,296,169,326,379,299
2021,5,90,798,68,36,57,72,32,47,68,60,35,37,41,44,35,42,68,56
2021,5,100,30,1,3,3,0,1,0,1,6,3,5,0,4,1,0,0,2
2021,6,총,"51,805","3,632","1,570","1,434","2,672","2,023","2,253","2,211","2,498","1,439","1,751","2,287","4,190","2,715","3,953","9,934","7,243"
2021,6,0,"2,683",116,56,30,77,59,95,50,75,30,41,89,209,160,148,648,800
2021,6,10,"3,886",196,38,64,128,80,183,91,144,78,39,141,347,294,260,991,812
2021,6,20,"4,936",178,89,65,133,147,179,105,145,87,58,268,431,360,353,"1,539",799
2021,6,30,"4,268",183,85,71,134,129,150,103,127,52,82,166,367,239,281,"1,116",983
2021,6,40,"6,168",308,95,83,179,224,263,156,198,96,165,249,542,380,455,"1,528","1,247"
2021,6,50,"8,713",629,258,201,419,441,431,351,389,223,338,383,692,420,734,"1,689","1,115"
2021,6,60,"9,517",888,348,320,689,493,423,539,571,326,476,414,767,427,795,"1,307",734
2021,6,70,"6,139",605,284,273,438,262,253,378,406,267,312,331,489,229,556,663,393
2021,6,80,"4,658",460,278,267,404,155,227,368,379,241,199,203,295,170,326,384,302
2021,6,90,805,68,36,57,71,32,48,69,58,36,36,43,47,35,44,69,56
2021,6,100,32,1,3,3,0,1,1,1,6,3,5,0,4,1,1,0,2
2021,7,총,"51,803","3,628","1,575","1,436","2,664","2,025","2,256","2,210","2,494","1,444","1,747","2,290","4,189","2,706","3,946","9,957","7,236"
2021,7,0,"2,654",112,55,30,74,56,94,49,70,32,38,88,210,158,148,649,791
2021,7,10,"3,890",198,39,64,128,84,183,92,147,80,39,141,344,291,255,989,816
2021,7,20,"4,955",177,85,65,133,144,179,105,145,83,57,274,427,365,354,"1,565",797
2021,7,30,"4,243",180,88,75,127,128,151,104,128,55,80,168,372,233,278,"1,106",970
2021,7,40,"6,166",306,96,81,183,224,264,156,195,99,166,251,543,376,454,"1,527","1,245"
2021,7,50,"8,681",629,258,198,409,436,433,349,387,222,331,382,686,414,736,"1,695","1,116"
2021,7,60,"9,571",891,349,324,696,502,425,538,574,329,483,410,771,436,795,"1,308",740
2021,7,70,"6,151",610,285,275,440,264,251,377,408,262,314,329,484,231,557,668,396
2021,7,80,"4,646",456,276,266,402,154,228,368,377,242,197,204,299,169,324,379,305
2021,7,90,814,67,41,55,72,32,47,71,57,38,37,43,49,32,44,71,58
2021,7,100,32,2,3,3,0,1,1,1,6,2,5,0,4,1,1,0,2
2021,8,총,"51,714","3,626","1,568","1,424","2,643","2,025","2,255","2,207","2,498","1,440","1,745","2,281","4,199","2,699","3,928","9,949","7,227"
2021,8,0,"2,634",108,53,28,69,59,93,47,73,30,39,88,212,160,140,648,787
2021,8,10,"3,865",198,39,65,130,83,182,90,140,81,39,143,345,288,254,983,805
2021,8,20,"4,922",172,83,64,128,132,179,103,146,83,57,264,424,360,351,"1,575",801
2021,8,30,"4,223",177,89,73,123,132,150,103,134,56,80,167,369,234,276,"1,094",966
2021,8,40,"6,145",307,94,79,180,226,267,155,197,95,163,249,547,377,441,"1,522","1,246"
2021,8,50,"8,670",628,259,194,404,432,430,351,384,221,329,380,692,414,744,"1,695","1,113"
2021,8,60,"9,616",902,349,324,697,510,426,542,575,334,485,407,775,434,796,"1,315",745
2021,8,70,"6,140",607,282,275,440,261,250,376,410,262,311,334,482,233,556,667,394
2021,8,80,"4,646",459,277,263,401,157,230,365,378,237,199,204,299,165,324,380,308
2021,8,90,820,66,40,56,71,32,46,74,56,39,37,45,50,33,45,70,60
2021,8,100,33,2,3,3,0,1,2,1,5,2,6,0,4,1,1,0,2
2021,9,총,"51,698","3,614","1,562","1,425","2,642","2,032","2,236","2,209","2,497","1,434","1,755","2,277","4,186","2,676","3,926","9,982","7,245"
2021,9,0,"2,614",106,51,30,68,57,92,48,73,28,37,86,210,151,137,652,788
2021,9,10,"3,853",195,38,62,128,81,182,91,139,81,42,143,343,284,259,989,796
2021,9,20,"4,920",171,80,66,125,133,169,103,143,81,59,262,418,354,347,"1,592",817
2021,9,30,"4,193",176,89,73,124,126,150,104,135,52,76,164,371,230,278,"1,090",955
2021,9,40,"6,099",298,94,74,181,224,259,148,193,94,165,249,536,373,444,"1,524","1,243"
2021,9,50,"8,693",620,259,198,400,436,425,355,388,223,332,387,693,415,742,"1,692","1,128"
2021,9,60,"9,661",912,349,326,699,521,434,545,578,330,490,408,774,434,796,"1,319",746
2021,9,70,"6,133",602,279,273,444,260,251,371,408,262,310,329,488,237,553,670,396
2021,9,80,"4,673",464,280,264,401,160,225,370,378,241,199,205,299,164,326,386,311
2021,9,90,825,67,40,56,72,33,47,73,57,40,39,44,50,33,43,68,63
2021,9,100,34,3,3,3,0,1,2,1,5,2,6,0,4,1,1,0,2
2021,10,총,"51,708","3,603","1,567","1,424","2,633","2,030","2,228","2,198","2,507","1,433","1,753","2,274","4,203","2,683","3,920","9,981","7,271"
2021,10,0,"2,592",101,51,30,64,55,90,49,74,28,39,86,211,150,137,639,788
2021,10,10,"3,838",196,40,62,127,80,181,92,139,80,41,140,345,280,262,983,790
2021,10,20,"4,964",172,79,65,128,135,169,101,141,78,58,260,419,360,343,"1,626",830
2021,10,30,"4,171",167,87,69,120,132,150,102,135,53,77,165,377,228,275,"1,078",956
2021,10,40,"6,097",298,93,78,180,221,260,147,193,95,164,253,539,375,442,"1,517","1,242"
2021,10,50,"8,663",618,259,195,395,430,416,356,395,223,328,382,691,421,740,"1,685","1,129"
2021,10,60,"9,700",910,354,327,703,520,439,540,578,333,492,412,784,433,797,"1,327",751
2021,10,70,"6,133",602,280,275,441,265,253,372,409,260,306,327,481,236,551,671,404
2021,10,80,"4,691",470,279,264,403,156,223,365,382,240,204,207,303,166,328,388,313
2021,10,90,825,66,42,56,72,35,45,72,56,41,39,42,49,33,44,67,66
2021,10,100,34,3,3,3,0,1,2,2,5,2,5,0,4,1,1,0,2
2021,11,총,"51,721","3,611","1,570","1,420","2,627","2,034","2,231","2,209","2,498","1,432","1,750","2,283","4,211","2,675","3,911","9,987","7,272"
2021,11,0,"2,569",101,54,32,65,54,88,48,72,27,37,85,210,147,136,633,780
2021,11,10,"3,848",190,40,63,124,81,183,94,140,82,42,141,343,282,261,984,798
2021,11,20,"4,974",176,79,66,130,134,167,102,143,77,56,260,417,366,340,"1,633",828
2021,11,30,"4,145",161,88,72,116,132,151,102,131,52,77,171,375,232,270,"1,067",948
2021,11,40,"6,089",296,89,77,177,221,259,148,193,92,162,252,541,368,443,"1,519","1,252"
2021,11,50,"8,652",624,260,188,393,430,420,355,386,224,331,385,689,418,730,"1,686","1,133"
2021,11,60,"9,738",920,353,326,706,523,441,547,584,333,493,405,794,427,805,"1,330",751
2021,11,70,"6,140",602,281,275,440,265,252,373,405,258,306,334,478,233,553,679,406
2021,11,80,"4,706",471,281,261,404,159,225,363,381,243,202,208,314,168,325,390,311
2021,11,90,828,67,43,57,72,34,43,75,58,42,40,42,46,33,47,66,63
2021,11,100,32,3,2,3,0,1,2,2,5,2,4,0,4,1,1,0,2
2021,12,총,"51,686","3,611","1,563","1,411","2,624","2,038","2,227","2,210","2,486","1,426","1,752","2,282","4,205","2,677","3,902","9,999","7,273"
2021,12,0,"2,543",100,51,31,64,50,86,46,70,26,37,82,211,145,141,622,781
2021,12,10,"3,839",190,39,62,129,85,178,94,141,83,45,140,335,283,258,979,798
2021,12,20,"4,991",175,78,64,129,136,174,102,139,78,55,263,428,366,335,"1,655",814
2021,12,30,"4,110",158,85,68,115,122,149,101,127,48,79,167,378,233,263,"1,071",946
2021,12,40,"6,078",303,89,79,170,228,255,149,191,92,162,248,537,370,442,"1,507","1,256"
2021,12,50,"8,655",625,255,183,393,428,420,360,388,220,333,389,688,416,730,"1,688","1,139"
2021,12,60,"9,747",916,355,333,703,526,445,548,581,336,491,409,787,430,803,"1,329",755
2021,12,70,"6,142",601,285,273,446,262,248,370,406,256,304,332,477,233,553,692,404
2021,12,80,"4,717",475,279,258,402,167,226,363,382,243,204,210,316,166,328,388,310
2021,12,90,838,65,45,58,73,33,44,75,58,42,38,42,47,35,47,68,68
2021,12,100,26,3,2,2,0,1,2,2,3,2,4,0,1,0,2,0,2
