년도,월,나이,목포시,용당1동,용당2동,연동,산정동,연산동,원산동,대성동,목원동,동명동,삼학동,만호동,유달동,죽교동,북항동,용해동,이로동,상동,하당동,신흥동,삼향동,옥암동,부흥동,부주동
2020,3,30,"27,819","1,095",524,423,"1,051","1,792","1,579",858,658,490,722,259,331,297,"1,112","2,410","1,288","2,139","1,855","2,048",662,"1,413","1,386","3,427"
2020,3,40,"38,305","1,518",744,668,"1,385","1,716","2,400",856,"1,051",771,990,454,602,491,"1,585","3,371","1,819","3,035","2,252","2,824",867,"2,073","1,732","5,101"
2020,3,50,"36,876","1,869",918,876,"1,508","1,201","2,396",839,"1,481",957,976,588,776,558,"1,687","2,542","1,649","2,911","1,997","3,190",797,"1,855","1,815","3,490"
2020,3,60,"27,896","2,093","1,063",875,"1,223",766,"1,557",684,"1,522","1,100",995,674,866,573,"1,324","1,715","1,343","2,371","1,200","1,812",646,959,968,"1,567"
2020,3,70,"17,312","1,499",761,773,778,407,876,434,"1,272",905,629,508,759,505,709,"1,081",754,"1,370",571,781,369,480,474,617
2020,3,80,"6,743",544,220,307,315,153,355,199,487,312,203,176,341,194,270,462,311,564,233,324,161,201,203,208
2020,3,90,924,69,37,37,49,21,41,18,84,28,17,28,35,27,30,70,45,87,37,51,22,22,25,44
2020,3,100,76,5,4,4,3,2,7,4,7,2,0,6,9,5,0,3,3,5,2,2,0,3,0,0
2020,4,총,"228,916","11,226","5,462","4,926","9,007","9,976","13,856","5,497","8,009","5,711","6,425","3,133","4,646","3,407","9,794","18,202","10,953","18,143","12,521","17,157","5,153","11,262","10,029","24,421"
2020,4,0,"19,790",540,243,189,687,"1,422","1,115",556,247,229,488,75,154,167,816,"2,087","1,036","1,627",960,"1,419",499,"1,123",946,"3,165"
2020,4,10,"25,442",810,367,315,968,"1,147","1,666",502,460,359,630,153,221,266,"1,068","2,512","1,423","2,107","1,225","2,008",576,"1,629","1,121","3,909"
2020,4,20,"27,666","1,200",583,461,"1,054","1,314","1,856",557,761,561,774,220,567,336,"1,173","1,929","1,167","1,919","2,204","2,660",563,"1,524","1,391","2,892"
2020,4,30,"27,727","1,092",521,418,"1,046","1,792","1,582",852,663,489,706,257,324,293,"1,111","2,416","1,317","2,119","1,837","2,059",663,"1,401","1,370","3,399"
2020,4,40,"38,256","1,503",732,661,"1,379","1,735","2,384",850,"1,047",776,997,444,594,485,"1,586","3,378","1,852","3,036","2,232","2,816",856,"2,071","1,727","5,115"
2020,4,50,"36,885","1,876",921,879,"1,506","1,206","2,401",833,"1,447",941,969,585,778,560,"1,704","2,532","1,682","2,909","2,012","3,187",798,"1,850","1,811","3,498"
2020,4,60,"28,023","2,093","1,068",879,"1,230",772,"1,562",689,"1,526","1,102","1,005",682,860,567,"1,331","1,729","1,353","2,386","1,198","1,840",645,957,969,"1,580"
2020,4,70,"17,299","1,492",760,769,767,403,885,434,"1,275",907,630,505,760,502,703,"1,082",761,"1,377",572,785,370,482,466,612
2020,4,80,"6,823",548,225,314,321,161,356,201,489,316,209,179,345,198,274,464,313,568,241,329,162,201,203,206
2020,4,90,928,67,38,37,46,22,42,19,87,29,17,27,34,28,28,70,46,88,38,52,21,22,25,45
2020,4,100,77,5,4,4,3,2,7,4,7,2,0,6,9,5,0,3,3,7,2,2,0,2,0,0
2020,5,총,"228,587","11,233","5,414","4,922","9,009","9,980","13,786","5,475","8,072","5,714","6,370","3,129","4,616","3,398","9,746","18,175","11,026","18,112","12,545","17,123","5,116","11,261","9,977","24,388"
2020,5,0,"19,670",543,239,191,687,"1,424","1,102",561,260,228,475,76,152,171,794,"2,063","1,038","1,620",953,"1,406",497,"1,118",929,"3,143"
2020,5,10,"25,359",803,366,311,973,"1,149","1,645",501,466,361,625,152,215,261,"1,055","2,522","1,435","2,093","1,240","1,989",567,"1,620","1,118","3,892"
2020,5,20,"27,589","1,193",569,458,"1,049","1,298","1,861",551,768,559,759,220,554,329,"1,170","1,919","1,173","1,917","2,214","2,659",563,"1,523","1,376","2,907"
2020,5,30,"27,592","1,096",510,428,"1,039","1,790","1,562",843,677,497,693,256,331,285,"1,101","2,405","1,316","2,109","1,824","2,040",655,"1,398","1,358","3,379"
2020,5,40,"38,179","1,514",719,648,"1,377","1,741","2,353",853,"1,053",765,986,434,583,488,"1,574","3,379","1,872","3,053","2,227","2,817",849,"2,073","1,711","5,110"
2020,5,50,"36,856","1,868",914,883,"1,511","1,216","2,395",811,"1,447",939,964,589,775,565,"1,706","2,549","1,690","2,895","2,013","3,175",790,"1,849","1,811","3,501"
2020,5,60,"28,117","2,097","1,071",878,"1,233",775,"1,573",696,"1,517","1,104","1,004",684,855,565,"1,337","1,728","1,368","2,381","1,213","1,862",639,967,973,"1,597"
2020,5,70,"17,361","1,491",758,770,773,400,888,436,"1,295",911,633,503,758,506,710,"1,080",772,"1,385",575,780,372,481,472,612
2020,5,80,"6,852",553,225,314,318,162,359,200,495,319,216,182,351,194,270,459,311,567,246,340,161,208,201,201
2020,5,90,936,70,39,37,46,23,41,19,87,29,15,27,33,29,29,68,48,86,38,53,23,22,28,46
2020,5,100,76,5,4,4,3,2,7,4,7,2,0,6,9,5,0,3,3,6,2,2,0,2,0,0
2020,6,총,"228,231","11,198","5,393","4,895","8,973","9,981","13,734","5,442","8,088","5,718","6,346","3,095","4,600","3,359","9,721","18,118","11,069","18,070","12,512","17,331","5,134","11,267","9,835","24,352"
2020,6,0,"19,579",547,240,187,682,"1,418","1,082",554,257,235,463,71,153,158,796,"2,043","1,043","1,623",939,"1,426",496,"1,123",912,"3,131"
2020,6,10,"25,244",800,358,306,965,"1,149","1,632",496,465,358,623,148,213,258,"1,049","2,519","1,447","2,085","1,235","1,997",567,"1,608","1,089","3,877"
2020,6,20,"27,537","1,181",555,449,"1,052","1,301","1,867",552,769,558,751,214,546,322,"1,160","1,892","1,179","1,908","2,223","2,711",570,"1,520","1,356","2,901"
2020,6,30,"27,407","1,094",506,424,"1,019","1,794","1,534",821,678,495,684,255,335,277,"1,086","2,383","1,306","2,094","1,811","2,074",648,"1,400","1,330","3,359"
2020,6,40,"38,142","1,497",711,647,"1,373","1,730","2,350",863,"1,064",771,987,426,574,484,"1,568","3,379","1,880","3,058","2,216","2,845",860,"2,065","1,677","5,117"
2020,6,50,"36,738","1,862",915,875,"1,505","1,219","2,397",796,"1,438",927,958,588,776,553,"1,703","2,540","1,680","2,862","2,010","3,204",790,"1,857","1,791","3,492"
2020,6,60,"28,294","2,096","1,073",880,"1,235",777,"1,582",700,"1,524","1,100","1,006",680,849,571,"1,345","1,751","1,393","2,397","1,225","1,895",646,971,978,"1,620"
2020,6,70,"17,403","1,494",765,771,776,404,883,435,"1,302",920,638,499,761,506,716,"1,078",774,"1,390",568,780,370,489,474,610
2020,6,80,"6,877",550,227,315,318,163,359,202,499,322,218,182,351,197,269,464,316,562,247,343,163,208,199,203
2020,6,90,933,72,39,37,45,24,41,19,85,30,18,26,33,28,29,66,48,85,36,54,24,24,28,42
2020,6,100,77,5,4,4,3,2,7,4,7,2,0,6,9,5,0,3,3,6,2,2,0,2,1,0
2020,7,총,"228,198","11,130","5,354","4,874","8,910","9,962","13,644","5,404","8,100","5,704","6,314","3,085","4,570","3,329","9,640","18,011","11,023","19,076","12,357","17,305","5,073","11,448","9,647","24,238"
2020,7,0,"19,490",545,236,182,667,"1,420","1,059",552,261,226,459,66,150,150,770,"2,018","1,033","1,719",918,"1,426",482,"1,163",889,"3,099"
2020,7,10,"25,200",780,352,298,954,"1,135","1,619",493,464,356,621,148,218,257,"1,047","2,515","1,445","2,219","1,218","1,977",554,"1,612","1,050","3,868"
2020,7,20,"27,507","1,185",548,450,"1,046","1,303","1,856",547,767,553,743,214,538,316,"1,139","1,864","1,174","2,079","2,201","2,708",556,"1,541","1,321","2,858"
2020,7,30,"27,265","1,082",490,411,997,"1,788","1,512",813,679,487,671,245,329,266,"1,066","2,341","1,288","2,230","1,774","2,077",629,"1,448","1,307","3,335"
2020,7,40,"38,187","1,485",714,645,"1,364","1,723","2,334",850,"1,066",777,981,431,564,480,"1,569","3,365","1,878","3,238","2,187","2,829",846,"2,112","1,641","5,108"
2020,7,50,"36,735","1,844",906,876,"1,505","1,211","2,391",804,"1,427",926,948,584,769,548,"1,682","2,542","1,674","3,034","1,988","3,196",789,"1,851","1,755","3,485"
2020,7,60,"28,394","2,081","1,064",877,"1,231",786,"1,591",689,"1,538","1,100","1,004",678,847,570,"1,340","1,763","1,382","2,481","1,221","1,905",651,992,979,"1,624"
2020,7,70,"17,481","1,497",771,776,778,406,874,435,"1,299",923,648,500,754,509,725,"1,074",782,"1,415",566,786,379,495,474,615
2020,7,80,"6,916",553,232,317,318,163,362,198,502,323,222,187,357,201,273,464,317,563,246,343,163,207,202,203
2020,7,90,944,73,37,38,47,25,39,19,89,31,17,26,35,27,29,62,46,92,36,56,24,25,28,43
2020,7,100,79,5,4,4,3,2,7,4,8,2,0,6,9,5,0,3,4,6,2,2,0,2,1,0
2020,8,총,"226,875","11,049","5,306","4,824","8,855","9,837","13,578","5,324","8,069","5,664","6,282","3,060","4,551","3,315","9,598","17,926","10,969","19,348","12,156","17,090","5,044","11,584","9,467","23,979"
2020,8,0,"19,151",528,232,175,661,"1,403","1,044",527,255,220,450,64,151,148,761,"1,981","1,031","1,722",890,"1,386",477,"1,173",848,"3,024"
2020,8,10,"24,985",773,346,293,951,"1,105","1,606",487,460,356,613,140,216,258,"1,036","2,505","1,438","2,240","1,191","1,954",551,"1,617","1,029","3,820"
2020,8,20,"27,384","1,173",537,440,"1,043","1,290","1,854",539,765,544,741,215,532,311,"1,134","1,854","1,171","2,159","2,144","2,660",547,"1,557","1,302","2,872"
2020,8,30,"26,823","1,063",482,395,977,"1,749","1,478",787,673,477,670,235,327,259,"1,051","2,312","1,262","2,273","1,725","2,042",613,"1,476","1,254","3,243"
2020,8,40,"38,013","1,475",707,641,"1,351","1,710","2,326",841,"1,060",769,969,432,558,480,"1,563","3,353","1,885","3,280","2,159","2,793",853,"2,132","1,617","5,059"
2020,8,50,"36,581","1,838",894,869,"1,498","1,193","2,379",798,"1,415",910,938,575,762,540,"1,662","2,536","1,662","3,067","1,974","3,185",786,"1,866","1,739","3,495"
2020,8,60,"28,491","2,071","1,059",873,"1,230",794,"1,601",687,"1,533","1,098","1,015",680,856,579,"1,353","1,784","1,376","2,522","1,223","1,887",653,"1,028",979,"1,610"
2020,8,70,"17,485","1,499",774,777,770,401,881,439,"1,304",931,645,500,755,508,728,"1,073",773,"1,423",566,785,378,495,468,612
2020,8,80,"6,928",550,232,319,323,161,362,197,508,325,223,187,348,200,280,464,318,567,245,345,161,213,201,199
2020,8,90,955,74,39,38,48,29,40,18,88,32,18,26,37,27,30,61,49,89,37,51,25,25,29,45
2020,8,100,79,5,4,4,3,2,7,4,8,2,0,6,9,5,0,3,4,6,2,2,0,2,1,0
2020,9,총,"225,684","10,989","5,305","4,805","8,810","9,817","13,491","5,291","8,024","5,629","6,260","3,045","4,519","3,278","9,552","17,773","10,952","19,395","12,082","16,979","4,994","11,594","9,359","23,741"
2020,9,0,"18,822",520,232,172,647,"1,393","1,022",517,246,213,447,65,149,144,737,"1,939","1,013","1,706",878,"1,379",460,"1,176",821,"2,946"
2020,9,10,"24,837",762,340,292,945,"1,113","1,597",482,451,353,618,136,215,249,"1,027","2,504","1,445","2,228","1,172","1,908",548,"1,615","1,022","3,815"
2020,9,20,"27,261","1,165",532,439,"1,039","1,290","1,844",538,755,540,735,209,524,308,"1,140","1,838","1,179","2,188","2,154","2,657",539,"1,555","1,279","2,814"
2020,9,30,"26,401","1,055",484,384,959,"1,716","1,448",773,660,472,658,227,322,258,"1,028","2,277","1,240","2,253","1,693","2,021",598,"1,481","1,215","3,179"
2020,9,40,"37,784","1,455",713,642,"1,349","1,709","2,315",834,"1,050",755,963,425,555,466,"1,553","3,316","1,879","3,273","2,137","2,760",845,"2,133","1,615","5,042"
2020,9,50,"36,435","1,820",887,857,"1,496","1,196","2,368",797,"1,416",905,943,570,756,536,"1,656","2,519","1,653","3,101","1,971","3,152",783,"1,859","1,718","3,476"
2020,9,60,"28,602","2,081","1,069",879,"1,226",801,"1,610",687,"1,534","1,094","1,011",689,858,571,"1,359","1,783","1,386","2,547","1,222","1,911",651,"1,035",985,"1,613"
2020,9,70,"17,508","1,495",772,778,779,406,876,440,"1,305",933,644,502,745,506,735,"1,068",779,"1,427",571,791,383,497,469,607
2020,9,80,"6,993",555,231,319,323,162,363,200,509,331,223,191,348,207,286,464,325,576,247,348,161,215,205,204
2020,9,90,961,76,41,39,43,29,41,19,90,31,18,25,38,28,31,62,49,90,35,50,26,26,29,45
2020,9,100,80,5,4,4,4,2,7,4,8,2,0,6,9,5,0,3,4,6,2,2,0,2,1,0
2020,10,총,"225,278","10,880","5,307","4,744","8,762","9,791","13,409","5,255","7,988","5,618","6,229","3,034","4,484","3,272","9,507","17,629","10,917","20,152","11,964","16,926","4,958","11,569","9,209","23,674"
2020,10,0,"18,668",491,232,166,631,"1,394","1,010",510,249,208,437,63,149,144,727,"1,908","1,001","1,784",849,"1,365",443,"1,177",803,"2,927"
2020,10,10,"24,721",761,331,286,944,"1,111","1,577",481,446,343,610,138,211,249,"1,008","2,494","1,440","2,289","1,159","1,896",546,"1,609",991,"3,801"
2020,10,20,"27,238","1,145",548,430,"1,024","1,298","1,834",530,745,546,731,207,519,313,"1,143","1,816","1,179","2,326","2,110","2,650",545,"1,527","1,264","2,808"
2020,10,30,"26,191","1,037",483,367,943,"1,681","1,413",765,649,465,650,221,316,251,"1,022","2,244","1,215","2,376","1,669","2,003",576,"1,482","1,200","3,163"
2020,10,40,"37,697","1,435",722,645,"1,351","1,713","2,293",828,"1,047",750,948,421,547,459,"1,536","3,293","1,878","3,383","2,108","2,760",836,"2,143","1,576","5,025"
2020,10,50,"36,382","1,810",868,840,"1,477","1,192","2,377",797,"1,402",903,952,565,745,534,"1,656","2,494","1,657","3,227","1,975","3,146",782,"1,837","1,687","3,459"
2020,10,60,"28,752","2,075","1,074",867,"1,240",804,"1,607",685,"1,527","1,099","1,006",684,857,576,"1,364","1,786","1,389","2,635","1,235","1,909",661,"1,055",981,"1,636"
2020,10,70,"17,560","1,491",773,783,780,405,883,436,"1,315",934,649,509,749,504,737,"1,058",782,"1,444",577,789,386,497,473,606
2020,10,80,"7,025",554,229,317,324,162,365,200,510,337,228,193,345,210,284,472,324,590,245,355,160,215,203,203
2020,10,90,963,76,43,39,44,29,43,19,89,31,18,27,37,27,30,61,48,92,35,51,23,25,30,46
2020,10,100,81,5,4,4,4,2,7,4,9,2,0,6,9,5,0,3,4,6,2,2,0,2,1,0
2020,11,총,"224,973","10,820","5,306","4,742","8,706","9,817","13,324","5,226","7,931","5,577","6,196","3,023","4,461","3,262","9,494","17,520","10,908","20,730","11,946","16,889","4,897","11,548","9,054","23,596"
2020,11,0,"18,501",486,234,162,617,"1,390","1,006",497,241,206,433,61,146,144,721,"1,884","1,001","1,816",839,"1,346",424,"1,171",772,"2,904"
2020,11,10,"24,631",747,329,303,937,"1,127","1,562",476,441,338,605,140,207,246,"1,007","2,468","1,444","2,327","1,161","1,893",539,"1,594",969,"3,771"
2020,11,20,"27,206","1,127",553,424,"1,022","1,295","1,821",526,739,541,718,208,516,316,"1,148","1,792","1,161","2,422","2,109","2,642",545,"1,513","1,248","2,820"
2020,11,30,"26,078","1,025",475,365,927,"1,681","1,389",750,640,457,648,213,312,248,"1,013","2,218","1,226","2,470","1,647","2,007",564,"1,484","1,174","3,145"
2020,11,40,"37,641","1,420",721,647,"1,349","1,716","2,271",828,"1,037",739,942,417,535,455,"1,533","3,293","1,871","3,486","2,118","2,750",829,"2,141","1,555","4,988"
2020,11,50,"36,381","1,808",866,831,"1,458","1,205","2,375",798,"1,390",900,952,554,739,531,"1,638","2,485","1,651","3,360","1,980","3,135",773,"1,838","1,659","3,455"
2020,11,60,"28,849","2,071","1,072",863,"1,248",806,"1,600",682,"1,525","1,091","1,001",685,867,577,"1,381","1,787","1,398","2,689","1,234","1,920",656,"1,066",977,"1,653"
2020,11,70,"17,608","1,492",784,785,777,409,887,440,"1,308",933,650,517,750,508,736,"1,064",782,"1,461",575,789,387,492,468,614
2020,11,80,"7,043",561,227,319,323,157,364,206,512,340,229,194,343,205,287,467,324,602,247,357,157,219,202,201
2020,11,90,954,78,41,39,44,29,42,19,89,30,18,28,37,27,30,59,46,91,34,48,23,28,29,45
2020,11,100,81,5,4,4,4,2,7,4,9,2,0,6,9,5,0,3,4,6,2,2,0,2,1,0
2020,12,총,"224,044","10,764","5,252","4,712","8,643","9,817","13,240","5,195","7,850","5,551","6,153","2,988","4,449","3,249","9,461","17,444","10,878","20,957","11,916","16,787","4,877","11,512","8,896","23,453"
2020,12,0,"18,295",483,227,164,603,"1,374",996,493,234,205,421,59,144,139,711,"1,860",993,"1,849",841,"1,328",417,"1,155",742,"2,857"
2020,12,10,"24,511",730,320,307,932,"1,140","1,540",467,426,341,606,140,209,241,"1,014","2,454","1,453","2,346","1,152","1,880",532,"1,596",946,"3,739"
2020,12,20,"27,134","1,120",550,410,"1,018","1,295","1,799",519,728,532,699,204,522,319,"1,142","1,785","1,162","2,444","2,152","2,611",548,"1,512","1,228","2,835"
2020,12,30,"25,751","1,009",457,361,913,"1,657","1,384",734,633,458,638,206,303,251,993,"2,185","1,209","2,492","1,627","1,984",558,"1,464","1,130","3,105"
2020,12,40,"37,381","1,395",709,641,"1,342","1,725","2,241",821,"1,022",730,941,414,534,445,"1,527","3,276","1,875","3,505","2,087","2,741",820,"2,138","1,526","4,926"
2020,12,50,"36,297","1,797",850,825,"1,438","1,211","2,379",801,"1,369",893,944,540,728,532,"1,634","2,494","1,636","3,411","1,960","3,122",773,"1,838","1,647","3,475"
2020,12,60,"28,933","2,087","1,082",861,"1,242",818,"1,596",690,"1,526","1,090","1,001",682,869,578,"1,379","1,795","1,395","2,728","1,248","1,923",659,"1,065",974,"1,645"
2020,12,70,"17,606","1,493",784,779,782,407,890,443,"1,307",930,649,510,750,506,736,"1,059",770,"1,474",566,792,390,490,471,628
2020,12,80,"7,096",570,230,321,323,161,368,205,502,338,236,199,346,208,294,472,334,607,246,356,156,222,204,198
2020,12,90,958,75,38,39,46,27,40,18,94,32,18,28,35,25,31,61,47,95,35,48,24,30,27,45
2020,12,100,82,5,5,4,4,2,7,4,9,2,0,6,9,5,0,3,4,6,2,2,0,2,1,0
2021,1,총,"223,362","10,731","5,230","4,724","8,594","9,781","13,183","5,187","7,809","5,516","6,147","2,969","4,396","3,227","9,439","17,435","10,861","21,080","11,909","16,682","4,871","11,496","8,805","23,290"
2021,1,0,"18,041",474,224,163,591,"1,365",981,488,220,201,411,59,138,133,694,"1,829",979,"1,862",841,"1,301",417,"1,143",718,"2,809"
2021,1,10,"24,413",722,329,312,916,"1,142","1,524",467,422,345,610,134,212,237,"1,015","2,478","1,454","2,345","1,138","1,866",525,"1,602",935,"3,683"
2021,1,20,"27,029","1,111",532,401,"1,009","1,267","1,792",528,718,525,696,206,492,316,"1,140","1,803","1,166","2,458","2,161","2,594",553,"1,497","1,224","2,840"
2021,1,30,"25,452","1,011",452,364,886,"1,659","1,370",720,618,450,620,204,302,253,982,"2,134","1,185","2,522","1,610","1,973",551,"1,436","1,106","3,044"
2021,1,40,"37,260","1,385",698,640,"1,347","1,716","2,233",825,"1,020",730,953,404,529,433,"1,519","3,292","1,884","3,512","2,085","2,709",816,"2,152","1,501","4,877"
2021,1,50,"36,288","1,789",856,836,"1,441","1,213","2,355",806,"1,360",889,947,539,723,535,"1,633","2,500","1,630","3,434","1,972","3,092",771,"1,840","1,638","3,489"
2021,1,60,"29,062","2,096","1,076",858,"1,249",816,"1,613",688,"1,538","1,079","1,005",683,865,576,"1,377","1,799","1,404","2,761","1,241","1,946",666,"1,077",983,"1,666"
2021,1,70,"17,625","1,495",785,775,782,413,896,439,"1,304",925,647,502,742,502,744,"1,070",771,"1,474",572,795,390,494,471,637
2021,1,80,"7,150",568,233,331,325,162,374,203,504,337,239,202,348,212,303,471,337,608,251,359,157,225,202,199
2021,1,90,960,75,40,40,44,26,38,19,96,33,19,30,36,25,32,56,47,98,35,45,25,29,26,46
2021,1,100,82,5,5,4,4,2,7,4,9,2,0,6,9,5,0,3,4,6,3,2,0,1,1,0
2021,2,총,"222,809","10,701","5,212","4,757","8,573","9,757","13,108","5,180","7,814","5,490","6,141","2,952","4,357","3,200","9,380","17,422","10,843","21,191","11,903","16,639","4,850","11,496","8,665","23,178"
2021,2,0,"17,837",461,219,161,591,"1,356",955,477,218,188,407,58,134,131,684,"1,814",980,"1,856",827,"1,298",413,"1,143",699,"2,767"
2021,2,10,"24,272",722,319,323,906,"1,144","1,519",476,419,340,615,132,213,231,"1,013","2,480","1,444","2,352","1,140","1,832",518,"1,584",905,"3,645"
2021,2,20,"26,997","1,097",531,412,"1,011","1,247","1,773",520,723,530,689,207,476,314,"1,119","1,802","1,167","2,470","2,187","2,604",550,"1,510","1,216","2,842"
2021,2,30,"25,198","1,006",448,369,870,"1,654","1,352",708,614,447,615,199,297,250,963,"2,103","1,168","2,509","1,589","1,942",555,"1,442","1,077","3,021"
2021,2,40,"37,171","1,390",697,642,"1,336","1,716","2,222",832,"1,025",724,962,401,516,429,"1,515","3,308","1,887","3,536","2,073","2,695",808,"2,145","1,464","4,848"
2021,2,50,"36,284","1,782",856,840,"1,442","1,218","2,343",807,"1,355",876,938,535,720,531,"1,625","2,514","1,624","3,461","1,973","3,115",767,"1,843","1,628","3,491"
2021,2,60,"29,141","2,097","1,076",860,"1,257",816,"1,624",690,"1,539","1,079","1,005",682,868,570,"1,375","1,802","1,412","2,798","1,248","1,946",667,"1,076",975,"1,679"
2021,2,70,"17,639","1,498",789,768,784,415,900,441,"1,298",930,654,500,735,503,748,"1,051",773,"1,485",575,801,387,495,469,640
2021,2,80,"7,215",567,232,337,327,162,374,207,515,341,234,205,351,211,308,486,338,620,247,360,159,229,205,200
2021,2,90,973,76,40,41,45,27,39,18,99,33,22,27,38,25,30,59,46,98,41,44,26,28,26,45
2021,2,100,82,5,5,4,4,2,7,4,9,2,0,6,9,5,0,3,4,6,3,2,0,1,1,0
2021,3,총,"221,463","10,601","5,146","4,771","8,524","9,717","12,998","5,092","7,696","5,438","6,109","2,877","4,208","3,130","9,328","17,352","10,831","21,274","11,874","16,574","4,807","11,440","8,537","23,139"
2021,3,0,"17,614",451,218,166,587,"1,344",944,465,208,188,405,56,132,134,671,"1,795",973,"1,834",805,"1,283",402,"1,141",678,"2,734"
2021,3,10,"24,145",717,312,325,908,"1,138","1,503",478,414,330,606,133,203,225,"1,000","2,464","1,452","2,389","1,138","1,828",508,"1,567",874,"3,633"
2021,3,20,"26,899","1,083",517,415,995,"1,244","1,755",526,715,521,691,203,468,305,"1,105","1,797","1,166","2,491","2,189","2,595",547,"1,493","1,212","2,866"
